id,component,categories
105,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
106,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
107,habitats-bd-soft-bottom-without-corals,"{sea_ice_edge,soft_bottom,NULL,NULL,NULL,NULL}"
108,habitats-bd-corals-only,"{corals,NULL,NULL,NULL,NULL,NULL}"
109,habitats-bd-soft-bottom-with-corals,"{corals,seagrasses,soft_bottom,NULL,NULL,NULL}"
110,habitats-bd-soft-bottom-with-corals,"{corals,soft_bottom,NULL,NULL,NULL,NULL}"
111,habitats-bd-soft-bottom-with-corals,"{corals,seagrasses,soft_bottom,NULL,NULL,NULL}"
112,habitats-bd-soft-bottom-with-corals,"{corals,seagrasses,NULL,NULL,NULL,NULL}"
113,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
114,habitats-bd-soft-bottom-with-corals,"{corals,soft_bottom,NULL,NULL,NULL,NULL}"
115,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,salt_marshes,soft_bottom,NULL,NULL}"
116,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,salt_marshes,seagrasses,sea_ice_edge,soft_bottom}"
117,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
118,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
119,habitats-bd-soft-bottom-without-corals,"{mangroves,soft_bottom,NULL,NULL,NULL,NULL}"
120,habitats-bd-soft-bottom-without-corals,"{mangroves,soft_bottom,NULL,NULL,NULL,NULL}"
121,habitats-bd-soft-bottom-without-corals,"{mangroves,soft_bottom,NULL,NULL,NULL,NULL}"
122,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
123,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
124,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
125,habitats-bd-soft-bottom-without-corals,"{sea_ice_edge,soft_bottom,NULL,NULL,NULL,NULL}"
126,habitats-bd-soft-bottom-without-corals,"{seagrasses,sea_ice_edge,soft_bottom,NULL,NULL,NULL}"
127,habitats-bd-soft-bottom-without-corals,"{salt_marshes,sea_ice_edge,soft_bottom,NULL,NULL,NULL}"
128,habitats-bd-soft-bottom-without-corals,"{salt_marshes,seagrasses,sea_ice_edge,soft_bottom,NULL,NULL}"
129,habitats-bd-soft-bottom-without-corals,"{salt_marshes,seagrasses,sea_ice_edge,soft_bottom,NULL,NULL}"
130,habitats-bd-soft-bottom-without-corals,"{salt_marshes,seagrasses,sea_ice_edge,soft_bottom,NULL,NULL}"
131,habitats-bd-soft-bottom-without-corals,"{salt_marshes,sea_ice_edge,soft_bottom,NULL,NULL,NULL}"
132,habitats-bd-soft-bottom-without-corals,"{salt_marshes,soft_bottom,NULL,NULL,NULL,NULL}"
133,habitats-bd-soft-bottom-without-corals,"{seagrasses,soft_bottom,NULL,NULL,NULL,NULL}"
134,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
135,habitats-bd-soft-bottom-without-corals,"{salt_marshes,seagrasses,soft_bottom,NULL,NULL,NULL}"
137,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
138,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
139,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
140,habitats-bd-soft-bottom-without-corals,"{sea_ice_edge,soft_bottom,NULL,NULL,NULL,NULL}"
141,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
142,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
143,habitats-bd-soft-bottom-without-corals,"{seagrasses,soft_bottom,NULL,NULL,NULL,NULL}"
144,habitats-bd-soft-bottom-without-corals,"{mangroves,seagrasses,soft_bottom,NULL,NULL,NULL}"
145,habitats-bd-soft-bottom-without-corals,"{mangroves,seagrasses,soft_bottom,NULL,NULL,NULL}"
146,habitats-bd-soft-bottom-without-corals,"{mangroves,soft_bottom,NULL,NULL,NULL,NULL}"
147,habitats-bd-soft-bottom-without-corals,"{mangroves,seagrasses,soft_bottom,NULL,NULL,NULL}"
148,habitats-bd-soft-bottom-without-corals,"{mangroves,soft_bottom,NULL,NULL,NULL,NULL}"
149,habitats-bd-soft-bottom-without-corals,"{mangroves,soft_bottom,NULL,NULL,NULL,NULL}"
150,habitats-bd-soft-bottom-without-corals,"{mangroves,soft_bottom,NULL,NULL,NULL,NULL}"
151,habitats-bd-soft-bottom-without-corals,"{mangroves,seagrasses,soft_bottom,NULL,NULL,NULL}"
152,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
153,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
154,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,soft_bottom,NULL,NULL,NULL}"
155,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
156,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
157,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
158,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
159,habitats-bd-soft-bottom-with-corals,"{corals,salt_marshes,seagrasses,sea_ice_edge,soft_bottom,NULL}"
160,habitats-bd-soft-bottom-with-corals,"{corals,seagrasses,sea_ice_edge,soft_bottom,NULL,NULL}"
161,habitats-bd-soft-bottom-with-corals,"{corals,seagrasses,soft_bottom,NULL,NULL,NULL}"
162,habitats-bd-soft-bottom-without-corals,"{sea_ice_edge,soft_bottom,NULL,NULL,NULL,NULL}"
163,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
164,habitats-bd-soft-bottom-with-corals,"{corals,seagrasses,NULL,NULL,NULL,NULL}"
165,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
166,habitats-bd-soft-bottom-without-corals,"{salt_marshes,seagrasses,sea_ice_edge,soft_bottom,NULL,NULL}"
167,habitats-bd-soft-bottom-without-corals,"{sea_ice_edge,soft_bottom,NULL,NULL,NULL,NULL}"
168,habitats-bd-soft-bottom-without-corals,"{salt_marshes,seagrasses,sea_ice_edge,soft_bottom,NULL,NULL}"
169,habitats-bd-soft-bottom-without-corals,"{sea_ice_edge,soft_bottom,NULL,NULL,NULL,NULL}"
170,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
171,habitats-bd-soft-bottom-with-corals,"{corals,mangroves,seagrasses,soft_bottom,NULL,NULL}"
172,habitats-bd-soft-bottom-without-corals,"{soft_bottom,NULL,NULL,NULL,NULL,NULL}"
