WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3
555547506,555547506,1,Tyre Coast Nature Reserve,Réserve Naturelle de la Côte de Tyre,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,0.22,38.991437930309,3.8,38.904225568223,Not Reported,0,Adopted,2012,Federal or national ministry or agency,Not Reported,Ministry of Environment - General Directorate of Environment (Lebanon),Not Reported,State Verified,1675,LB-JA,LBN,LBN
555542339,555542339,1,Kenya Lake System in the Great Rift Valley,Réseau des lacs du Kenya dans la vallée du Grand Rift,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix)(x),0,0,0,320.34,332.622423791747,Not Applicable,0,Inscribed,2011,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,KE-700,KEN,KEN
555542337,555542337,1,Wadi Rum Protected Area,Zone protégée du Wadi Rum,World Heritage Site,World Heritage Site,International,Not Applicable,(iii)(v)(vii),0,0,0,741.8,729.643841652543,Not Applicable,0,Inscribed,2011,Not Reported,Not Reported,Aqaba Special Economic Zone Authority (ASEZA),Not Reported,Not Reported,946,JO-AQ,JOR,JOR
555542338,555542338,1,Côte de Ningaloo,Ningaloo Coast,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(x),1,0,5231.179437,7050.15,6076.20533682781,Not Applicable,0,Inscribed,2011,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,AU-WA,AUS,AUS
555542336,555542336,1,Ogasawara Islands,Iles d’Ogasawara,World Heritage Site,World Heritage Site,International,Not Applicable,(ix),1,0,40.00528,79.39,79.4563886008731,Not Applicable,0,Inscribed,2011,Not Reported,Not Reported,Ministry of the Environment,Not Reported,Not Reported,1842,JP-13,JPN,JPN
555512000,555512000,1,Central Highlands of Sri Lanka,Hauts plateaux du centre de Sri Lanka,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),0,0,0,550.12,536.195888473517,Not Applicable,0,Inscribed,2010,Federal or national ministry or agency,Not Reported,Forest Department/Department of Wildlife Conservation,Not Reported,Not Reported,946,Not Reported,LKA,LKA
555512005,555512005,1,China Danxia,Danxia de Chine,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0,821.51,836.450771116258,Not Applicable,0,Inscribed,2010,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CN-43,CHN,CHN
555512003,555512003,1,Putorana Plateau,Putorana Plateau,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix),0,0,0,18872.51,19756.7479447292,Not Applicable,0,Inscribed,2010,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,RUS,RUS
555512001,555512001,1,Papahānaumokuākea,Papahānaumokuākea,World Heritage Site,World Heritage Site,International,Not Applicable,(iii)(vi)(viii)(ix)(x),2,0,364792.680868055,362075,363976.747087225,Not Applicable,0,Inscribed,2010,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,US-HI,USA,USA
555512002,555512002,1,Phoenix Islands Protected Area,Aire protégée des îles Phoenix,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix),2,0,408258.12899463,408250,407344.975808683,Not Applicable,0,Inscribed,2010,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Marine,KIR,KIR
555512006,555512006,1,"Pitons, cirques and remparts of Reunion Island","Pitons, cirques et remparts de l’ile de la Réunion",World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(x),0,0,0.884869,1058.38,1062.92871705753,Not Applicable,0,Inscribed,2010,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,FR-RE,FRA,FRA
478638,478638,1,The Wadden Sea,La mer des Wadden,World Heritage Site,World Heritage Site,International,Not Applicable,(viii)(ix)(x),1,0,10843.508664,11434.03,11524.1667778252,Not Applicable,0,Inscribed,2009,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,NLD;DEU;DNK,NLD;DEU;DNK
478641,478641,1,The Dolomites,Les Dolomites,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0,1419.028,1414.32343305765,Not Applicable,0,Inscribed,2009,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,IT-34,ITA,ITA
555547527,555547527,1,Punta Campanella,Punta Campanella,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,15.39,15.2603853528535,15.39,15.2262523656219,Part,1.73,Adopted,2009,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,IT-72,ITA,ITA
555547508,555547508,1,Natural Reserve of Bouches de Bonifacio,Réserve Naturelle des Bouches de Bonifacio,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,782.94,798.444360614608,794.6,796.658475754219,Not Reported,0,Adopted,2009,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,FR-H,FRA,FRA
555547510,555547510,1,Capo Caccia - Isola Piana,Capo Caccia Isola Piana,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,26.31,26.4096278363473,26.31,26.3505572775856,Part,0.38,Adopted,2009,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,ITG2,ITA,ITA
555547509,555547509,1,Al-Hoceima National Park,Al-Hoceima National Park,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,196,491.82059409646,484.6,490.720536288622,Not Reported,0,Adopted,2009,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,MA-HOC,MAR,MAR
903133,903133,1,Joggins Fossil Cliffs,Falaises fossilifères de Joggins,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,6.89,5.79536632956822,Not Applicable,0,Inscribed,2008,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CA-NS,CAN,CAN
903134,903134,1,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,Lagons de Nouvelle-Calédonie : diversité récifale et écosystèmes associés,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix)(x),2,0,15752.275925165,15743.13,15717.0427236058,Not Applicable,0,Inscribed,2008,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Marine,FRA,FRA
903136,903136,1,Mount Sanqingshan National Park,Parc national du mont Sanqingshan,World Heritage Site,World Heritage Site,International,Not Applicable,(vii),0,0,0,229.5,232.719428923666,Not Applicable,0,Inscribed,2008,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CN-36,CHN,CHN
903137,903137,1,Saryarka – Steppe and Lakes of Northern Kazakhstan,Saryarka - Steppe et lacs du Kazakhstan septentrional,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),0,0,0,4503.44,4472.34221082836,Not Applicable,0,Inscribed,2008,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,KZ-AKM,KAZ,KAZ
903138,903138,1,Socotra Archipelago,Archipel de Socotra,World Heritage Site,World Heritage Site,International,Not Applicable,(x),1,0,1234.214472,4104.6,4098.99902025332,Not Applicable,0,Inscribed,2008,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,YE-AD,YEM,YEM
903139,903139,1,Surtsey,Surtsey,World Heritage Site,World Heritage Site,International,Not Applicable,(ix),2,0,33.7022238345183,33.71,33.6268418864713,Not Applicable,0,Inscribed,2008,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,ISL,ISL
903140,903140,1,Swiss Tectonic Arena Sardona,Haut lieu tectonique suisse Sardona,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,328.5,330.226719391374,Not Applicable,0,Inscribed,2008,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CH-SG,CHE,CHE
365004,365004,1,Torre Guaceto,Torre Guaceto,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,22.27,21.8358751664517,22.27,21.7870347452615,Part,3.42,Adopted,2008,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,ITF4,ITA,ITA
365003,365003,1,Tavolara - Punta Coda Cavallo,Tavolara - Punta Coda Cavallo,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,153.57,153.403888836534,153.57,153.060769520891,Part,5.29,Adopted,2008,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,ITG2,ITA,ITA
365002,365002,1,Miramare,Miramare,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,0.3,0.287473873368261,0.3,0.286830878986159,Not Reported,0,Adopted,2008,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,ITD4,ITA,ITA
365005,365005,1,Plemmirio,Plemmirio,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,24.29,24.330833910766,24.29,24.2764130017277,Not Reported,0,Adopted,2008,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,ITG1,ITA,ITA
903129,903129,1,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,Ecosystème et paysage culturel relique de Lopé-Okanda,World Heritage Site,World Heritage Site,International,Not Applicable,(iii)(iv)(ix)(x),0,0,0,5119.91,4956.07867734011,Not Applicable,0,Inscribed,2007,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,GA-6,GAB,GAB
903130,903130,1,Jeju Volcanic Island and Lava Tubes,Île volcanique et tunnels de lave de Jeju,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0.067919,94.752,93.0788269176287,Not Applicable,0,Inscribed,2007,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,KR-49,KOR,KOR
903062,903062,1,Rainforests of the Atsinanana,Forêts humides de l’Atsinanana,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),0,0,8.0122,4796.607,4800.11923458202,Not Applicable,0,Inscribed,2007,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,MG-A,MDG,MDG
903141,903141,1,Primeval Beech Forests of the Carpathians and the Ancient Beech Forests of Germany,Forêts primaires de hêtres des Carpates,World Heritage Site,World Heritage Site,International,Not Applicable,(ix),0,0,0.002503,292.789,288.519399633536,Not Applicable,0,Inscribed,2007,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,UKR;DEU;SVK,UKR;DEU;SVK
903131,903131,1,South China Karst,Karst de Chine du Sud,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0,971.25,855.807497934579,Not Applicable,0,Inscribed,2007,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CN-52,CHN,CHN
903132,903132,1,Teide National Park,Parc national de Teide,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0,189.9,191.47021046692,Not Applicable,0,Inscribed,2007,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,ES-CN,ESP,ESP
902899,902899,1,Malpelo Fauna and Flora Sanctuary,Sanctuaire de faune et de flore de Malpelo,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix),2,0,9642.18760809047,8575,9620.62087442737,Not Applicable,0,Inscribed,2006,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,CO-VAU,COL,COL
902902,902902,1,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains","Sanctuaires du grand panda du Sichuan - Wolong, Mont Siguniang et Montagnes de Jiajin",World Heritage Site,World Heritage Site,International,Not Applicable,(x),0,0,0,9245,9838.84798087323,Not Applicable,0,Inscribed,2006,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CN-51,CHN,CHN
902479,902479,1,Coiba National Park and its Special Zone of Marine Protection,Parc national de Coiba et sa zone spéciale de protection marine,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),2,0,4330.21223518575,4308.25,4320.52682583918,Not Applicable,0,Inscribed,2005,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,PA-9,PAN,PAN
902480,902480,1,Dong Phayayen-Khao Yai Forest Complex,Complexe forestier de Dong Phayayen-Khao Yai,World Heritage Site,World Heritage Site,International,Not Applicable,(x),0,0,0,6155,6204.67518640692,Not Applicable,0,Inscribed,2005,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,TH-30,THA,THA
902487,902487,1,Wadi Al-Hitan (Whale Valley),Wadi Al-Hitan (La vallée des Baleines),World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,200.15,192.305123384759,Not Applicable,0,Inscribed,2005,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,EGY,EGY
902489,902489,1,West Norwegian Fjords – Geirangerfjord and Nærøyfjord,Fjords de l’Ouest de la Norvège – Geirangerfjord et Nærøyfjord,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),1,0,100.448235,1227.12,1223.628002682,Not Applicable,0,Inscribed,2005,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,NO-14,NOR,NOR
902483,902483,1,Dôme de Vredefort,Vredefort Dome,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,301.11,314.982989370704,Not Applicable,0,Inscribed,2005,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,ZA-FS,ZAF,ZAF
365021,365021,1,Portofino,Portofino,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,3.46,3.62191545117755,3.46,3.61381429311431,Not Reported,0.18,Adopted,2005,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,ITC3,ITA,ITA
555599909,555599909,1,Les îles  Habibas,Les îles  Habibas,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,26.8,26.4142361010096,25.97,26.3551552349225,Not Reported,0,Adopted,2005,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,DZA,DZA
902482,902482,1,Shiretoko,Shiretoko,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),1,0,214.238925,711,713.399402205753,Not Applicable,0,Inscribed,2005,Not Reported,Not Reported,Ministry of the Environment,Not Reported,Not Reported,1842,JP-01,JPN,JPN
902373,902373,1,Ilulissat Icefjord,Fjord glacé d’Ilulissat,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),1,0,379.266439,4024,3997.96886588829,Not Applicable,0,Inscribed,2004,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,DNK,DNK
902356,902356,1,Natural System of Wrangel Island Reserve,Natural System of Wrangel Island Reserve,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),1,11543,7821.473444,19163,20053.6188521976,Not Reported,0,Inscribed,2004,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,RUS,RUS
902367,902367,1,Pitons Management Area,Zone de gestion des Pitons,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0,29.09,19.3658887310639,Not Applicable,0,Inscribed,2004,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,LCA,LCA
902335,902335,1,Tropical Rainforest Heritage of Sumatra,Patrimoine des forêts tropicales ombrophiles de Sumatra,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix)(x),0,0,44.610426,25951.25,25919.3280411992,Not Applicable,0,Inscribed,2004,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,ID-SB,IDN,IDN
902347,902347,1,Aires protégées de la Région florale du Cap,Cape Floral Region Protected Areas,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),0,0,0,10947.42,11021.2804861619,Not Applicable,0,Inscribed,2004,Federal or national ministry or agency,State,"Western Cape Nature Conservation Board, Eastern Cape Parks Board, South African National Parks",Not Reported,State Verified,946,ZA-WC; ZA-EC,ZAF,ZAF
900879,900879,1,Monte San Giorgio,Monte San Giorgio,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,10.8934,11.2048148147448,Not Applicable,0,Inscribed,2003,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CH-TI;IT-25,CHE;ITA,CHE;ITA
900883,900883,1,Phong Nha-Ke Bang National Park,Parc national de Phong Nha-Ke Bang,World Heritage Site,World Heritage Site,International,Not Applicable,(viii)(ix)(x),0,0,0,857.54,1226.12904481762,Not Applicable,0,Inscribed,2003,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,VN-24,VNM,VNM
900881,900881,1,Three Parallel Rivers of Yunnan Protected Areas,Aires protégées des trois fleuves parallèles au Yunnan,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii)(ix)(x),0,0,0,9777.213,21086.7180493905,Not Applicable,0,Inscribed,2003,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,CN-53,CHN,CHN
900880,900880,1,Uvs Nuur Basin,Bassin d’Ubs Nuur,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),0,0,0,10688.53,12505.0224662665,Not Applicable,0,Inscribed,2003,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,MN-046;RU-TY,MNG;RUS,MNG;RUS
365022,365022,1,Acantilados De Maro Cerro Gordo,Acantilados De Maro Cerro Gordo,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,14.2,18.2022961617514,18.16,18.1615829865543,Not Reported,0,Adopted,2003,Federal or national ministry or agency,Not Reported,"Ministerio de Agricultura, Alimentacion y Medio Ambiente (Spain)",Not Reported,State Verified,1675,ES614,ESP,ESP
365008,365008,1,Archipielago De Cabrera,Archipielago De Cabrera,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,87.72,100.427367819238,110.87,100.202741377368,Not Reported,0,Adopted,2003,Federal or national ministry or agency,Not Reported,"Ministerio de Agricultura, Alimentacion y Medio Ambiente (Spain)",Not Reported,State Verified,1675,ES-IB,ESP,ESP
365006,365006,1,Isla De Alboran,Isla De Alboran,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,263.7,264.673488483854,265,264.081491847203,Not Reported,0,Adopted,2003,Federal or national ministry or agency,Not Reported,"Ministerio de Agricultura, Alimentacion y Medio Ambiente (Spain)",Not Reported,State Verified,1675,ES611,ESP,ESP
900878,900878,1,Parc national de Purnululu,Purnululu National Park,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0,2397.23,2442.88414795229,Not Applicable,0,Inscribed,2003,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,AU-WA,AUS,AUS
