"sp_type","sp_id","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","rgn_id_ccamlr","rgn_id_ccamlr_rgn_type"
"land-disputed",22,"Paracel Islands","XD-PF","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",0.605068805791,0.00106106925768,12.5302751716,255,"255_land-disputed"
"land-disputed",23,"Spratly Islands","XD-PG","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",1.0349937186,0.00179235531343,21.7322898218,255,"255_land-disputed"
"land-disputed",27,"Southern Kuriles","XD-KU","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",15.1067215035,0.580605468891,5112.35555928,255,"255_land-disputed"
"land-disputed",165,"Colombia - Jamaica","XD-CO-JM","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",0.131179461246,0.000178798534151,2.11957083065,255,"255_land-disputed"
"land-disputed",214,"Sudan/Egypt","XD-EG-SD","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",3.72222693631,0.00661301798732,75.2836050601,255,"255_land-disputed"
"land-disputed",217,"Conflict Zone","XD-CN-JP","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",0.284821532864,0.000728199733515,8.09077814489,255,"255_land-disputed"
"land-disputed",226,"Japan - South Korea Conflict Zone","XD-JP-KR","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",0.0214218536083,1.61489430503e-05,0.159008033672,255,"255_land-disputed"
"land-disputed",239,"Australia - Papua New Guinea","XD-AU-PG","land-disputed",255,"DISPUTED","XD","XD",174,"DISPUTED",1.58986459175,0.0178215121517,216.525205113,255,"255_land-disputed"
"land-noeez",241,"Azerbaijan","AZE","land-noeez",255,"Azerbaijan","AZE","AZE",173,"Azerbaijan",26.5610102921,9.11488991134,86052.5390871,255,"255_land-noeez"
"land-noeez",242,"Kazakhstan","KAZ","land-noeez",255,"Kazakhstan","KAZ","nan",173,"nan",151.951578559,329.697668239,2723263.25269,255,"255_land-noeez"
"land-noeez",243,"Turkmenistan","TKM","land-noeez",255,"Turkmenistan","TKM","nan",173,"nan",55.338445711,49.1480028155,471658.335491,255,"255_land-noeez"
