rgn_id,year,lsp_status
42,2007,15.08
42,2008,18.08
42,2009,19.835
42,2010,21.05
42,2011,24.735
42,2012,24.75
42,2013,24.75
42,2014,24.75
42,2015,24.75
43,2000,28.53
43,2001,28.53
43,2002,28.53
43,2003,28.53
43,2004,28.53
43,2005,28.53
43,2006,28.53
43,2007,28.53
43,2008,28.53
43,2009,28.53
43,2010,28.53
43,2011,28.53
43,2012,28.53
43,2013,28.53
43,2014,28.53
43,2015,28.53
44,2000,0.035
44,2001,0.035
44,2002,0.035
44,2003,0.035
44,2004,0.035
44,2005,0.035
44,2006,0.035
44,2007,0.035
44,2008,0.035
44,2009,0.035
44,2010,0.035
44,2011,0.035
44,2012,0.035
44,2013,0.035
44,2014,0.035
44,2015,0.035
45,2000,0
45,2001,0
45,2002,0
45,2003,0
45,2004,0
45,2005,0
45,2006,0
45,2007,0
45,2008,0
45,2009,0
45,2010,0
45,2011,0
45,2012,0
45,2013,0
45,2014,0
45,2015,0
46,2000,0
46,2001,0
46,2002,0
46,2003,0
46,2004,0
46,2005,0
46,2006,0
46,2007,0
46,2008,0
46,2009,0
46,2010,0
46,2011,0
46,2012,0
46,2013,0
46,2014,0
46,2015,0
47,2000,0
47,2001,0
47,2002,0
47,2003,0
47,2004,0
47,2005,0
47,2006,0
47,2007,0
47,2008,0
47,2009,0
47,2010,0
47,2011,0
47,2012,0
47,2013,0
47,2014,0
47,2015,0
48,2000,15.985
48,2001,15.985
48,2002,15.985
48,2003,15.985
48,2004,15.985
48,2005,15.985
48,2006,15.985
48,2007,15.985
48,2008,15.985
48,2009,15.985
48,2010,15.985
48,2011,15.985
48,2012,15.985
48,2013,15.985
48,2014,15.985
48,2015,15.985
49,2000,0
49,2001,0
49,2002,0
49,2003,0
49,2004,0
49,2005,0
49,2006,0
49,2007,0
49,2008,0
49,2009,0
49,2010,0
49,2011,0
49,2012,0
49,2013,0
49,2014,0
49,2015,0
50,2000,13.885
50,2001,13.885
50,2002,13.885
50,2003,13.885
50,2004,13.885
50,2005,13.885
50,2006,13.885
50,2007,13.885
50,2008,13.885
50,2009,13.885
50,2010,13.885
50,2011,13.885
50,2012,13.885
50,2013,13.885
50,2014,13.885
50,2015,13.885
51,2000,5.365
51,2001,5.365
51,2002,5.385
51,2003,5.385
51,2004,5.385
51,2005,5.385
51,2006,5.385
51,2007,5.385
51,2008,5.385
51,2009,5.385
51,2010,50.7
51,2011,50.715
51,2012,50.715
51,2013,50.715
51,2014,50.715
51,2015,50.715
52,2000,0
52,2001,0
52,2002,0
52,2003,0
52,2004,0
52,2005,0
52,2006,0
52,2007,0
52,2008,0
52,2009,0
52,2010,0
52,2011,0
52,2012,0
52,2013,0
52,2014,0
52,2015,0
53,2000,51.22
53,2001,51.22
53,2002,51.22
53,2003,51.22
53,2004,51.22
53,2005,51.22
53,2006,51.22
53,2007,51.22
53,2008,51.22
53,2009,51.22
53,2010,51.22
53,2011,51.22
53,2012,51.22
53,2013,51.22
53,2014,51.22
53,2015,51.22
54,2000,0
54,2001,0
54,2002,0
54,2003,0
54,2004,0
54,2005,17.835
54,2006,17.835
54,2007,69.95
54,2008,69.95
54,2009,69.95
54,2010,69.95
54,2011,69.95
54,2012,69.95
54,2013,69.95
54,2014,69.95
54,2015,69.95
55,2000,13.73
55,2001,13.73
55,2002,13.73
55,2003,13.73
55,2004,21.285
55,2005,23.085
55,2006,30.985
55,2007,30.985
55,2008,46.765
55,2009,46.765
55,2010,46.765
55,2011,62.42
55,2012,62.42
55,2013,62.42
55,2014,62.42
55,2015,62.42
56,2000,0
56,2001,0
56,2002,0
56,2003,0
56,2004,0
56,2005,0
56,2006,0
56,2007,0
56,2008,0
56,2009,0
56,2010,0
56,2011,0
56,2012,0
56,2013,0.085
56,2014,0.085
56,2015,0.085
57,2000,36.35
57,2001,36.35
57,2002,36.35
57,2003,46.665
57,2004,72.315
57,2005,72.315
57,2006,72.315
57,2007,72.315
57,2008,73.965
57,2009,73.965
57,2010,73.965
57,2011,73.965
57,2012,73.965
57,2013,73.965
57,2014,73.965
57,2015,73.965
58,2000,68.7
58,2001,69.35
58,2002,69.35
58,2003,69.35
58,2004,69.35
58,2005,69.35
58,2006,70.6
58,2007,70.6
58,2008,70.6
58,2009,70.6
58,2010,70.6
58,2011,70.6
58,2012,70.6
58,2013,70.6
58,2014,100
58,2015,100
59,2000,55.835
59,2001,55.835
59,2002,78.12
59,2003,92.115
59,2004,92.115
59,2005,94.115
59,2006,94.115
59,2007,94.115
59,2008,100
59,2009,100
59,2010,100
59,2011,100
59,2012,100
59,2013,100
59,2014,100
59,2015,100
60,2000,0
60,2001,0
60,2002,0
60,2003,0
60,2004,0
60,2005,0
60,2006,0
60,2007,55.75
60,2008,55.75
60,2009,55.75
60,2010,55.75
60,2011,100
60,2012,100
60,2013,100
60,2014,100
60,2015,100
61,2000,0.7
61,2001,0.7
61,2002,0.7
61,2003,0.7
61,2004,0.7
61,2005,0.7
61,2006,0.7
61,2007,0.7
