"rgn_id","mean_cat","mean_trend","status"
78,0.477778,NaN,0.362963
79,0.428333,NaN,0.428889
80,0.398148,NaN,0.469136
81,0.440476,NaN,0.412698
82,0.440476,NaN,0.412698
84,0.42619,NaN,0.431746
86,0.433333,NaN,0.422222
89,0.46,NaN,0.386667
95,0.46,NaN,0.386667
96,0.321429,NaN,0.571429
97,0.36875,NaN,0.508333
98,0.4125,NaN,0.45
99,0.39375,NaN,0.475
100,0.38125,NaN,0.491667
101,0.458333,NaN,0.388889
102,0.401852,NaN,0.464198
103,0.5,NaN,0.333333
104,0.405556,NaN,0.459259
106,0.395,NaN,0.473333
108,0.383333,NaN,0.488889
110,0.439286,NaN,0.414286
111,0.383333,NaN,0.488889
112,0.403571,NaN,0.461905
113,0.35,NaN,0.533333
114,0.405556,NaN,0.459259
115,0.391667,NaN,0.477778
116,0.3875,NaN,0.483333
117,0.386364,NaN,0.484848
118,0.264286,NaN,0.647619
119,0.383333,NaN,0.488889
120,0.35,NaN,0.533333
121,0.35,NaN,0.533333
122,0.361111,NaN,0.518519
123,0.294444,NaN,0.607407
124,0.385,NaN,0.486667
125,0.422727,NaN,0.436364
126,0.40625,NaN,0.458333
127,0.33125,NaN,0.558333
129,0.403571,NaN,0.461905
130,0.403571,NaN,0.461905
131,0.419231,NaN,0.441026
132,0.419231,NaN,0.441026
133,0.415,NaN,0.446667
134,0.461111,NaN,0.385185
135,0.4625,NaN,0.383333
136,0.395455,NaN,0.472727
137,0.402778,NaN,0.462963
138,0.375641,NaN,0.499145
139,0.404167,NaN,0.461111
140,0.386364,NaN,0.484848
141,0.45,NaN,0.4
143,0.425926,NaN,0.432099
144,0.266667,NaN,0.644444
145,0.461111,NaN,0.385185
146,0.383333,NaN,0.488889
147,0.315,NaN,0.58
149,0.25,NaN,0.666667
150,0.25,NaN,0.666667
151,0.3875,NaN,0.483333
152,0.39375,NaN,0.475
153,0.361111,NaN,0.518519
154,0.35,NaN,0.533333
155,0.33125,NaN,0.558333
156,0.34,NaN,0.546667
158,0.25,NaN,0.666667
159,0.25,NaN,0.666667
161,0.333333,NaN,0.555556
162,0.378889,NaN,0.494815
163,0.423457,NaN,0.435391
164,0.38125,NaN,0.491667
166,0.405,NaN,0.46
167,0.338889,NaN,0.548148
168,0.338889,NaN,0.548148
169,0.305,NaN,0.593333
171,0.425397,NaN,0.432804
172,0.419444,NaN,0.440741
173,0.415556,NaN,0.445926
175,0.380556,NaN,0.492593
176,0.570833,NaN,0.238889
177,0.366667,NaN,0.511111
179,0.457576,NaN,0.389899
180,0.419444,NaN,0.440741
181,0.455556,NaN,0.392593
182,0.445238,NaN,0.406349
183,0.459524,NaN,0.387302
184,0.398148,NaN,0.469136
185,0.5,NaN,0.333333
186,0.376667,NaN,0.497778
187,0.376667,NaN,0.497778
188,0.377778,NaN,0.496296
190,0.466667,NaN,0.377778
191,0.43125,NaN,0.425
192,0.4,NaN,0.466667
193,0.33125,NaN,0.558333
194,0.3625,NaN,0.516667
196,0.36875,NaN,0.508333
197,0.36875,NaN,0.508333
198,0.36875,NaN,0.508333
199,0.5,NaN,0.333333
200,0.4125,NaN,0.45
202,0.389286,NaN,0.480952
203,0.453125,NaN,0.395833
204,0.385,NaN,0.486667
205,0.454167,NaN,0.394444
206,0.477273,NaN,0.363636
207,0.425,NaN,0.433333
208,0.4375,NaN,0.416667
209,0.448958,NaN,0.401389
210,0.439167,NaN,0.414444
212,0.338889,NaN,0.548148
213,0,NaN,1
214,0.421795,NaN,0.437607
215,0.4,NaN,0.466667
216,0.415625,NaN,0.445833
218,0.448889,NaN,0.401481
219,0.42,NaN,0.44
222,0.3375,NaN,0.55
223,0.416667,NaN,0.444444
224,0.417949,NaN,0.442735
231,0.408333,NaN,0.455556
232,0.466667,NaN,0.377778
247,0.4375,NaN,0.416667
250,0.36,NaN,0.52
