iucn_sid,am_sid,am_cat,sciname,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
13241,ITS-Mam-180515,DD,Mesoplodon bidens,Unknown,DD,MARINE_MAMMALS_update,13241,NA,iucn,NA,NA
13252,ITS-Mam-180514,DD,Mesoplodon stejnegeri,Unknown,DD,MARINE_MAMMALS_update,13252,NA,iucn,NA,NA
136623,NA,NA,Balaenoptera omurai,Unknown,DD,MARINE_MAMMALS_update,136623,NA,iucn,NA,NA
13251,ITS-Mam-552772,DD,Mesoplodon peruvianus,Unknown,DD,MARINE_MAMMALS_update,13251,NA,iucn,NA,NA
176742,NA,NA,Hydrophis anomala,Unknown,DD,SEASNAKES,176742,NA,iucn,NA,NA
176742,NA,NA,Thalassophina anomala,Unknown,DD,SEASNAKES,176742,NA,iucn,NA,NA
176742,NA,NA,Thalassophis anomalus,Unknown,DD,SEASNAKES,176742,NA,iucn,NA,NA
176724,NA,NA,Anguis mamillaris,Unknown,DD,SEASNAKES,176724,NA,iucn,NA,NA
176724,NA,NA,Aturia mamillaris,Unknown,DD,SEASNAKES,176724,NA,iucn,NA,NA
176724,NA,NA,Chitulia mamillaris,Unknown,DD,SEASNAKES,176724,NA,iucn,NA,NA
176724,NA,NA,Hydrophis mamillaris,Unknown,DD,SEASNAKES,176724,NA,iucn,NA,NA
176724,NA,NA,Leioselasma mamillaris,Unknown,DD,SEASNAKES,176724,NA,iucn,NA,NA
176753,NA,NA,Hydrophis klossi,Unknown,DD,SEASNAKES,176753,NA,iucn,NA,NA
176733,NA,NA,Aturia stricticollis,Unknown,DD,SEASNAKES,176733,NA,iucn,NA,NA
176733,NA,NA,Chitulia stricticollis,Unknown,DD,SEASNAKES,176733,NA,iucn,NA,NA
176733,NA,NA,Hydrophis stricticollis,Unknown,DD,SEASNAKES,176733,NA,iucn,NA,NA
176683,NA,NA,Enhydris bennettii,Unknown,DD,SEASNAKES,176683,NA,iucn,NA,NA
176683,NA,NA,Hypsirhina bennettii,Unknown,DD,SEASNAKES,176683,NA,iucn,NA,NA
176683,NA,NA,Hypsirhina maculata,Unknown,DD,SEASNAKES,176683,NA,iucn,NA,NA
176707,NA,NA,Hydrophis pachycercos,Unknown,DD,SEASNAKES,176707,NA,iucn,NA,NA
176722,NA,NA,Disteira nigrocincta,Unknown,DD,SEASNAKES,176722,NA,iucn,NA,NA
176722,NA,NA,Hydrophis nigrocinctus,Unknown,DD,SEASNAKES,176722,NA,iucn,NA,NA
176716,NA,NA,Enhydrina zweifeli,Unknown,DD,SEASNAKES,176716,NA,iucn,NA,NA
176758,NA,NA,Chitulia laboutei,Unknown,DD,SEASNAKES,176758,NA,iucn,NA,NA
176758,NA,NA,Hydrophis laboutei,Unknown,DD,SEASNAKES,176758,NA,iucn,NA,NA
176723,NA,NA,Chitulia torquata,Unknown,DD,SEASNAKES,176723,NA,iucn,NA,NA
176723,NA,NA,Hydrophis torquatus,Unknown,DD,SEASNAKES,176723,NA,iucn,NA,NA
46967873,Rep-4381,VU,Dermochelys coriacea,Unknown,DD,REPTILES_update,46967873,Northeast Indian,iucn,NA,NA
176760,NA,NA,Aipysurus tenuis,Unknown,DD,SEASNAKES,176760,NA,iucn,NA,NA
176713,NA,NA,Hydrophis cantoris,Unknown,DD,SEASNAKES,176713,NA,iucn,NA,NA
176713,NA,NA,Microcephalophis cantoris,Unknown,DD,SEASNAKES,176713,NA,iucn,NA,NA
176772,NA,NA,Distira mertoni,Unknown,DD,SEASNAKES,176772,NA,iucn,NA,NA
176772,NA,NA,Parahydrophis mertoni,Unknown,DD,SEASNAKES,176772,NA,iucn,NA,NA
176751,NA,NA,Aturia belcheri,Unknown,DD,SEASNAKES,176751,NA,iucn,NA,NA
176751,NA,NA,Chitulia belcheri,Unknown,DD,SEASNAKES,176751,NA,iucn,NA,NA
176751,NA,NA,Distira belcheri,Unknown,DD,SEASNAKES,176751,NA,iucn,NA,NA
176751,NA,NA,Hydrophis belcheri,Unknown,DD,SEASNAKES,176751,NA,iucn,NA,NA
176749,NA,NA,Hydrophis parviceps,Unknown,DD,SEASNAKES,176749,NA,iucn,NA,NA
176762,NA,NA,Disteira melanocephala,Unknown,DD,SEASNAKES,176762,NA,iucn,NA,NA
176762,NA,NA,Hydrophis melanocephalus,Unknown,DD,SEASNAKES,176762,NA,iucn,NA,NA
176762,NA,NA,Leioselasma melanocephala,Unknown,DD,SEASNAKES,176762,NA,iucn,NA,NA
176759,NA,NA,Distira melanosoma,Unknown,DD,SEASNAKES,176759,NA,iucn,NA,NA
176759,NA,NA,Hydrophis melanosoma,Unknown,DD,SEASNAKES,176759,NA,iucn,NA,NA
176768,NA,NA,Hydrophis vorisi,Unknown,DD,SEASNAKES,176768,NA,iucn,NA,NA
176728,NA,NA,Aturia bituberculata,Unknown,DD,SEASNAKES,176728,NA,iucn,NA,NA
176728,NA,NA,Chitulia bituberculata,Unknown,DD,SEASNAKES,176728,NA,iucn,NA,NA
176728,NA,NA,Distira bituberculatus,Unknown,DD,SEASNAKES,176728,NA,iucn,NA,NA
176728,NA,NA,Hydrophis bituberculatus,Unknown,DD,SEASNAKES,176728,NA,iucn,NA,NA
176728,NA,NA,Lioselasma bituberculatus,Unknown,DD,SEASNAKES,176728,NA,iucn,NA,NA
176730,Rep-6240,DD,Hydrophis czeblukovi,Unknown,DD,SEASNAKES,176730,NA,iucn,NA,NA
176730,NA,NA,Hydrophis geometricus,Unknown,DD,SEASNAKES,176730,NA,iucn,NA,NA
176730,NA,NA,Leioselasma czeblukovi,Unknown,DD,SEASNAKES,176730,NA,iucn,NA,NA
176731,NA,NA,Distira annandalei,Unknown,DD,SEASNAKES,176731,NA,iucn,NA,NA
176731,NA,NA,Kolpophis annandalei,Unknown,DD,SEASNAKES,176731,NA,iucn,NA,NA
176731,NA,NA,Lapemis annandalei,Unknown,DD,SEASNAKES,176731,NA,iucn,NA,NA
176691,NA,NA,Cantoria annulata,Unknown,DD,SEASNAKES,176691,NA,iucn,NA,NA
6494,NA,NA,Testudo coriacea,Decreasing,VU,NA,NA,NA,NA,0.4,-0.5
19711325,NA,NA,Holothuria squamifera,Unknown,DD,SEACUCUMBERS,19711325,NA,iucn,NA,NA
177973,Fis-26618,DD,Zebrasoma gemmatum,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177973,NA,iucn,NA,NA
177973,NA,NA,Acanthurus gemmatus,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177973,NA,iucn,NA,NA
187432,Fis-145604,DD,Halichoeres bleekeri,Unknown,DD,WRASSE,187432,NA,iucn,NA,NA
187432,NA,NA,Halichoeres tremebundus,Unknown,DD,WRASSE,187432,NA,iucn,NA,NA
187432,NA,NA,Platyglossus bleekeri,Unknown,DD,WRASSE,187432,NA,iucn,NA,NA
