sp_type,sp_id,sp_name,sp_key,area_km2
land,247,Brunei,BRN,4940.53233507
land,248,Saba,BES,14.0752202565
land,249,Sint-Eustasius,ANT,22.0319730494
land,250,Aruba,AW,188.270426823
land,251,Martinique,MTQ,1143.20581418
land,252,Guadeloupe,GLP,1669.04343658
land,255,Puerto Rico of the United States,PRI,8992.38188586
land,256,Virgin Islands of the United States,VIR,372.116958294
land-ccamlr,248100,CCAMLR 48.1,XAQ481,120933.963509
land-ccamlr,248200,CCAMLR 48.2,XAQ482,612.866613763
land-ccamlr,248500,CCAMLR 48.5,XAQ485,307286.671637
land-ccamlr,248600,CCAMLR 48.6,XAQ486,137146.218951
land-ccamlr,258410,CCAMLR 58.4.1,XAQ5841,199994.386665
land-ccamlr,258420,CCAMLR 58.4.2,XAQ5842,191483.276488
land-ccamlr,288100,CCAMLR 88.1,XAQ881,164170.394648
land-ccamlr,288200,CCAMLR 88.2,XAQ882,216822.214524
land-ccamlr,288300,CCAMLR 88.3,XAQ883,153509.806212
