"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"China",209,"Other brown algae (laminaria, eisenia/ecklonia)","seaweeds",,,,,,,,,,,,,,,,,,,,,10833,13861,12782,13600,12810,14739,17812,15260,13471,15628,16301,14852,16533,12861,12902,10019
"China",209,"Other red algae","seaweeds",,,,,,,,,,,,,,,,,,,,,175,237,139,130,65,0,0,0,0,0,0,0,18,2,0,8
"China",209,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,0,0,0,0,35575,37436,31124,36911,5730,6690,5842,4319,4692,4663,4287,3087,3586,2880,3086,3090,3678,4726
"China",209,"Undaria pinnafitida (brown algae)","seaweeds",,,,,,,,,,,,,,,,,,,,,,,29149,36278,31670,36563,38786,27425,36906,27510,24940,21207,14098,11898,13074,17634
"China",209,"Z_TOTAL","corals",,,,,,,,,,,,,,,0,0,0,0,1956,3484,1748,3094,1429,1620,707,1884,2309,2228,3220,4937,5795,7679,6919,14625,17705,10958
"China",209,"Z_TOTAL","fish_oil",,,,,,,1,0,1,0,2,5,2,3,44,13,215,231,98,135,170,209,2272,913,340,428,341,208,306,984,3522,4035,5335,4646,9000,23052
"China",209,"Z_TOTAL","ornamentals",,,0,0,0,0,0,1,3,0,0,0,1,0,0,0,471,0,1029,460,414,405,607,412,0,0,0,0,0,0,0,0,0,0,530,571
"China",209,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,0,0,0,0,36162,38331,42817,51720,49720,59119,53516,58912,65442,52933,61290,52873,51598,46379,39734,33833,37033,39983
"China",209,"Z_TOTAL","sponges",,,,,,,,,,,,,,,36,26,4,40,15,4,22,5,3,4,5,4,3,3,0,1,3.63657295269732,0,0,0,0,0
"Colombia",132,"Coral and the like","corals",,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0.280610831981643,1,0.280610831981643,12,3,9,0.280610831981643,0,0,0,0,0
"Colombia",132,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,,,,,3,13,2,13.2050430345881,3,19,32,13.6576482915888,13.2955640859882,13.5671272401887,0,12.6619167261873,1,2,6,20,31,128,188,1
"Colombia",132,"Fish liver oils, nei","fish_oil",,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.374426641533145,0.519509896324223,3,0.809676405906378,1,4,3,2,3,4,1,0.6645931511153,0.6645931511153,0,2,2
"Colombia",132,"Natural sponges nei","sponges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,72,6,13,22
"Colombia",132,"Ornamental fish nei","ornamentals",164,217,346,270,217,205,146,94,80,253,389,244,277,266,222,1034,139,174,127,135,161,120,125,170,141,121,166,166,213,239,294,542,321,452,368,559
"Colombia",132,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,,,,,,,,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0,0,0,1,1,0,0,1,0.666666666666667,0
"Colombia",132,"Z_TOTAL","corals",,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0.280610831981643,1,0.280610831981643,12,3,9,0.280610831981643,0,0,0,0,0
"Colombia",132,"Z_TOTAL","fish_oil",,,,,,1,0,0,0,0,0,0,0,0,0,0,3,13,2,14.2050430345881,3.37442664153314,19.5195098963242,35,14.4673246974952,14.2955640859882,17.5671272401887,3,14.6619167261873,4,6,7,20.6645931511153,31.6645931511153,128,190,3
"Colombia",132,"Z_TOTAL","ornamentals",164,217,346,270,217,205,146,94,80,253,389,244,277,266,222,1034,139,174,127,135,161,120,125,170,141,121,166,166,213,239,294,542,321,452,368,559
"Colombia",132,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,,,,,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0,0,0,1,1,0,0,1,0.666666666666667,0
"Colombia",132,"Z_TOTAL","sponges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,72,6,13,22
"Cook Islands",153,"Miscellaneous corals and shells","shells",,,,,,,,,,,,,,,,,,,,,,,,,,26.8991766503969,7.29423655277819,24.97712369965,13.060395405019,56,18.8265542572598,73,32,20,0,0
"Cook Islands",153,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,13,9,16,10.7748345300185,10.2260401805552,6.11008255958089,14,8,14,6,12,19,9,5,3,3.9149051617279,11,7,4.18930233645953,1.4453305891433
"Cook Islands",153,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,13,9,16,10.7748345300185,10.2260401805552,6.11008255958089,14,8,14,6,12,19,9,5,3,3.9149051617279,11,7,4.18930233645953,1.4453305891433
"Cook Islands",153,"Z_TOTAL","shells",,,,,,,,,,,,,,,,,,,,,,,,,,26.8991766503969,7.29423655277819,24.97712369965,13.060395405019,56,18.8265542572598,73,32,20,0,0
"Costa Rica",130,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,2,0,0,0,0,0,0,3.4245292150178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116
"Costa Rica",130,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,,22,0,1,0,0,2,3,0,1,0,0,0,0,0,0,149
"Costa Rica",130,"Ornamental fish nei","ornamentals",,,,,,,,,9,0,7,28,66,81,68.139251756718,97,87,77,104,87,83,90,100,93,95,97,101,114,85,75,69,73,72,24,11,12
"Costa Rica",130,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,2.94713656387665,16.6343612334802,0,0,0.656387665198238,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.255506607929515
"Costa Rica",130,"Z_TOTAL","fish_oil",,,,,,,,,,,,,2,0,0,0,0,0,0,3.4245292150178,22,0,1,0,0,2,3,0,1,0,0,0,0,0,1,265
"Costa Rica",130,"Z_TOTAL","ornamentals",,,,,,,,,9,0,7,28,66,81,68.139251756718,97,87,77,104,87,83,90,100,93,95,97,101,114,85,75,69,73,72,24,11,12
"Costa Rica",130,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,2.94713656387665,16.6343612334802,0,0,0.656387665198238,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.255506607929515
"Croatia",187,"Agar agar nei","seaweeds",,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.350785340314136,1,0,0.350785340314136,0.350785340314136,0.955497382198953,1,0.782722513089005,0.782722513089005,1.30104712041885
"Croatia",187,"Coral and the like","corals",,,,,,,,,,,,,,,,,,,1,1,1,1,2,1.43674996322061,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia",187,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,,,,,4,115,46,16,14,16,43,0,28,27,1,24.5779476360324,15,25.0397119416863,11,12.4694613988856,9,4,4,3
"Croatia",187,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01754385964912,1,2,0.964912280701755,0.912280701754386,1,1.85964912280702
"Croatia",187,"Miscellaneous corals and shells","shells",,,,,,,,,,,,,,,,,,,,,,,,,1.25382944511834,1,1,1,3,1,1,1,1,1,1,1
"Croatia",187,"Natural sponges nei","sponges",,,,,,,,,,,,,,,,,,,,,,,,,8,5,7,6,0,0,0,0,0,0,0,0
"Croatia",187,"Natural sponges other than raw","sponges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,3,2,1,2,1
"Croatia",187,"Natural sponges raw","sponges",,,,,,,,,,,,,,,,,,,5,13,7,5,5,7,0,0,0,0,3,2,4,5,5,5,6,4
"Croatia",187,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,,,,,1,3,4,0,3,1,1,1,0.573630136986301,0.743150684931506,0.912671232876712,1.76027397260274,1.92979452054795,2.77739726027397,1.08219178082192,2.43835616438356,0.573630136986301
"Croatia",187,"Z_TOTAL","corals",,,,,,,,,,,,,,,,,,,1,1,1,1,2,1.43674996322061,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia",187,"Z_TOTAL","fish_oil",,,,,,,,,,,,,,,,,4,115,46,16,14,16,43,0,28,27,1,24.5779476360324,15,26.0572558013354,12,14.4694613988856,9.96491228070176,4.91228070175439,5,4.85964912280702
"Croatia",187,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,,1,3,4,0,3,3,1,1.35078534031414,1.5736301369863,0.743150684931506,1.26345657319085,2.11105931291688,2.8852919027469,3.77739726027397,1.86491429391092,3.22107867747257,1.87467725740515
"Croatia",187,"Z_TOTAL","shells",,,,,,,,,,,,,,,,,,,,,,,,,1.25382944511834,1,1,1,3,1,1,1,1,1,1,1
"Croatia",187,"Z_TOTAL","sponges",,,,,,,,,,,,,,,,,,,5,13,7,5,5,7,8,5,7,6,6,7,7,8,7,6,8,5
"Cuba",112,"Miscellaneous corals and shells","shells",,,,,,,,,,,,,,,,,,,,,,,,6,4,0.411764705882353,2,2.63275039745628,0,0,0,0,0,0,0,0
"Cuba",112,"Natural sponges nei","sponges",,,,,,,,,,,,,,,,,,,,,,,,38,45,32,45,46,38,28,36,29,0,0,0,0
"Cuba",112,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,,,,,,,,10,14,16,14,14,14,12,19,20,10,11,9,6
"Cuba",112,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,,,,,,,,,3,11,8,5,3,3,1,1,0,0,3,1,0
"Cuba",112,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,,,,,,,,10,14,16,14,14,14,12,19,20,10,11,9,6
"Cuba",112,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,,,,,,3,11,8,5,3,3,1,1,0,0,3,1,0
"Cuba",112,"Z_TOTAL","shells",,,,,,,,,,,,,,,,,,,,,,,,6,4,0.411764705882353,2,2.63275039745628,0,0,0,0,0,0,0,0
"Cuba",112,"Z_TOTAL","sponges",,,,,,,,,,,,,,,,,,,,,,,,38,45,32,45,46,38,28,36,29,0,0,0,0
"Cyprus",81,"Natural sponges other than raw","sponges",,,,,,,,,,,,,,,,,,,11,1,1.05839821550352,1.14322431234371,3,5,1,1,0.962968856558309,2,1.38709934075926,0,0,0,0,0,0,0
"Cyprus",81,"Natural sponges raw","sponges",,,,1,3,1,0,1,0.407155934336841,0.465771959235963,0,1,0.309462559504971,0.329001234471345,0,0,0,0,0.289923884538598,0.289923884538598,0,0,15,3,9,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",81,"Z_TOTAL","sponges",,,,1,3,1,0,1,0.407155934336841,0.465771959235963,0,1,0.309462559504971,0.329001234471345,0,0,0,0,11.2899238845386,1.2899238845386,1.05839821550352,1.14322431234371,18,8,10,1,0.962968856558309,2,1.38709934075926,0,0,0,0,0,0,0
"Democratic Republic of the Congo",199,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Democratic Republic of the Congo",199,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Denmark",175,"Agar agar nei","seaweeds",,,,,,,,12,7,7,8,25,23,18,0,0,0,0,8,43,108,115,48,53,27,6,27,27,53,46,27,26,9,4,3,7
"Denmark",175,"Fish body oils, nei","fish_oil",,,,,103040,87821,69734,68214,64151,61059,62437,39407,47696,26453,38681,78113,94154,74751,96045,140297,107676,103938,75589,94206,113512,95688,81046,100875,112268,104273,119371,127241,119797,169207,159507,168256
"Denmark",175,"Fish liver oils, nei","fish_oil",1,1,308.498672606172,231,1797,1022,91,20,4,2,4,238,210,404,374,277,98,96,1085,291,275,159,216,83,182,104,763,1606,423,216,430,327,354,79,21,118
"Denmark",175,"Halibuts, liver oils","fish_oil",,,,,,,,,,,,,,,,,,,,,,,2,7,22,1.47642083785829,0,0,0,0,3,0,4,0,0,0
"Denmark",175,"Herring oil","fish_oil",85651,74461,66077,64431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark",175,"Miscellaneous corals and shells","shells",,,,,,,,,,,,,,,,,,,31327,23669,30405,41614,20867,4755,9773,20611,25544,23564,4572,2900,1327,1109,1838,1614,1652,1681
"Denmark",175,"Natural sponges other than raw","sponges",,,,,,,,,,,,,,,,,,,1.04220271210014,0,1.71153511821975,1.20953581363004,1.9625347705146,1.87886821974965,1.4605354659249,1.20953581363004,1.29320236439499,1.71153511821975,1.04220271210014,1.29320236439499,1.6278685674548,10,1,4,0,1.04220271210014
"Denmark",175,"Natural sponges raw","sponges",2.3049672808604,1.76377458303847,1.76377458303847,1.58337701709783,1.58337701709783,2.12456971491975,1.76377458303847,2.12456971491975,2.3049672808604,1.94417214897911,2.48536484680104,3.20695511056361,1,0,0,0,0,0,2,53,0,0,0,2.66576241274168,0,0,0,0,0,0,0,0,24,0,0,21
"Denmark",175,"Ornamental saltwater fish","ornamentals",,,,,,,,,,,,,19,0,8,41,13,4,4,156,7.41380263044292,6.60885256281118,10,3,1,4,1,1,0,0,1,6.40761504590325,5.60266497827151,0,0,0
"Denmark",175,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,2,2,0,0,0,0,22.0264970247384,20,13,66,55,70,120,323,26,88,200,582,194,180,199,267,376,477
"Denmark",175,"Shells nei","shells",35605,37853,37594,33754,31090,33843,32995,29742,29069,33381,35183,38048,35621,38478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark",175,"Z_TOTAL","fish_oil",85652,74462,66385.4986726062,64662,104837,88843,69825,68234,64155,61061,62441,39645,47906,26857,39055,78390,94252,74847,97130,140588,107951,104097,75807,94296,113716,95793.4764208379,81809,102481,112691,104489,119804,127568,120155,169286,159528,168374
"Denmark",175,"Z_TOTAL","ornamentals",,,,,,,,,,,,,19,0,8,41,13,4,4,156,7.41380263044292,6.60885256281118,10,3,1,4,1,1,0,0,1,6.40761504590325,5.60266497827151,0,0,0
"Denmark",175,"Z_TOTAL","seaweeds",,,,,,,,12,7,7,8,25,25,20,0,0,0,0,30.0264970247384,63,121,181,103,123,147,329,53,115,253,628,221,206,208,271,379,484
"Denmark",175,"Z_TOTAL","shells",35605,37853,37594,33754,31090,33843,32995,29742,29069,33381,35183,38048,35621,38478,0,0,0,0,31327,23669,30405,41614,20867,4755,9773,20611,25544,23564,4572,2900,1327,1109,1838,1614,1652,1681
"Denmark",175,"Z_TOTAL","sponges",2.3049672808604,1.76377458303847,1.76377458303847,1.58337701709783,1.58337701709783,2.12456971491975,1.76377458303847,2.12456971491975,2.3049672808604,1.94417214897911,2.48536484680104,3.20695511056361,1,0,0,0,0,0,3.04220271210014,53,1.71153511821975,1.20953581363004,1.9625347705146,4.54463063249133,1.4605354659249,1.20953581363004,1.29320236439499,1.71153511821975,1.04220271210014,1.29320236439499,1.6278685674548,10,25,4,0,22.0422027121001
"Dominica",123,"Miscellaneous corals and shells","shells",,,,,,,,,,,,,,,,,,,,,,,,,,,0.950041631973356,2,2,1,0,0,0,0,0,0
"Dominica",123,"Z_TOTAL","shells",,,,,,,,,,,,,,,,,,,,,,,,,,,0.950041631973356,2,2,1,0,0,0,0,0,0
"Dominican Republic",115,"Coral and the like","corals",,,,,,,,,,,,,,,,,,,,,,37,10.2088817035896,19,2,0,0,21,10.1265314370879,15,37,0,11.3617854346124,0,3,10
"Dominican Republic",115,"Fish body oils, nei","fish_oil",,,,,,,,0.306603773584906,0.306603773584906,0,0,0,0,0,0,0,0,0,0,0,0,0.306603773584906,1,0.306603773584906,1,0.306603773584906,0.60377358490566,0,0,0,0,0,0,0,0,0
"Dominican Republic",115,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,,,,,0.5,0,0.5,0,0,0,4,0,0,2,0,0,0
"Dominican Republic",115,"Ornamental fish nei","ornamentals",,,,8.44410828535464,0,0,0,0,0,0,0,0,0,0,0,8.58314567266524,14.9788654889524,10.1125569330817,29.1606789946327,40.8398195287223,12.1981177427406,11.5029308061876,9.69544477114996,9.27833260921819,9.83448215846055,10.5296690950135,33,36,19,48,20,62,45,40,44,45
"Dominican Republic",115,"Z_TOTAL","corals",,,,,,,,,,,,,,,,,,,,,,37,10.2088817035896,19,2,0,0,21,10.1265314370879,15,37,0,11.3617854346124,0,3,10
"Dominican Republic",115,"Z_TOTAL","fish_oil",,,,,,,,0.306603773584906,0.306603773584906,0,0,0,0,0,0,0,0,0,0,0,0,0.306603773584906,1,0.806603773584906,1,0.806603773584906,0.60377358490566,0,0,4,0,0,2,0,0,0
"Dominican Republic",115,"Z_TOTAL","ornamentals",,,,8.44410828535464,0,0,0,0,0,0,0,0,0,0,0,8.58314567266524,14.9788654889524,10.1125569330817,29.1606789946327,40.8398195287223,12.1981177427406,11.5029308061876,9.69544477114996,9.27833260921819,9.83448215846055,10.5296690950135,33,36,19,48,20,62,45,40,44,45
"Ecuador",137,"Coral and the like","corals",,,,,,,,,,,,,,,,,,,45,31,70,41,6,10,2,5,1,1,7,0,0,322,4,0,0,0
"Ecuador",137,"Fish body oils, nei","fish_oil",3853,4506,7500,3000,0,0,0,0,0,5458,7218,0,0,0,0,0,0,0,30,0,307,3384,0,180,264,547,0,3831,7476,6806,4025,8778,6238,10787,8571,9736
"Ecuador",137,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,20,16,33,0,158,140,3838,579,1942,3082,2662,0,2,7,5,0,0
"Ecuador",137,"Ornamental fish nei","ornamentals",1,2,1,1,1,1,1,0,1,13,0,0,12,22,37,30,19,23,28,32,43,64,57,38,37,53,58,55,7,11,22,10,6,10,20,19
"Ecuador",137,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,,,,,,,3,0,8,9,6,5,7,6,7,14,22,24,15,27,26
"Ecuador",137,"Z_TOTAL","corals",,,,,,,,,,,,,,,,,,,45,31,70,41,6,10,2,5,1,1,7,0,0,322,4,0,0,0
"Ecuador",137,"Z_TOTAL","fish_oil",3853,4506,7500,3000,0,0,0,0,0,5458,7218,0,0,0,0,0,0,0,30,20,323,3417,0,338,404,4385,579,5773,10558,9468,4025,8780,6245,10792,8571,9736
"Ecuador",137,"Z_TOTAL","ornamentals",1,2,1,1,1,1,1,0,1,13,0,0,12,22,37,30,19,23,28,32,43,64,57,38,37,53,58,55,7,11,22,10,6,10,20,19
"Ecuador",137,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,,,,3,0,8,9,6,5,7,6,7,14,22,24,15,27,26
"Egypt",214,"Coral and the like","corals",,,,,,,,,,,,,,,,,,,3,2,0,19,13,11,8,15,4,0,0,0,3,0,0,3.96961037782918,0,2.08010160112487
"Egypt",214,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,73,126,15
"Egypt",214,"Natural sponges raw","sponges",,,,,,,,,,,,,,,,,,,,3,0,9,0,1,0,0,0,0,0,18,1.92486894407623,1.95288783454614,1.50458558702749,0,1,1.47656669655758
"Egypt",214,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,,,61,55,0,35,30,29,63,39,23,12,11,0,1,5.82487232952088,5,4,18,3
"Egypt",214,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,,,,40,2,0,60,61,60,20,26,10,20,70,0,0,20,25,59,56,81
"Egypt",214,"Z_TOTAL","corals",,,,,,,,,,,,,,,,,,,3,2,0,19,13,11,8,15,4,0,0,0,3,0,0,3.96961037782918,0,2.08010160112487
"Egypt",214,"Z_TOTAL","fish_oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,73,126,15
"Egypt",214,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,,,61,55,0,35,30,29,63,39,23,12,11,0,1,5.82487232952088,5,4,18,3
"Egypt",214,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,40,2,0,60,61,60,20,26,10,20,70,0,0,20,25,59,56,81
"Egypt",214,"Z_TOTAL","sponges",,,,,,,,,,,,,,,,,,,,3,0,9,0,1,0,0,0,0,0,18,1.92486894407623,1.95288783454614,1.50458558702749,0,1,1.47656669655758
"El Salvador",134,"Coral and the like","corals",,,,,,,,,,,,,,,,,,,,11.218289413821,0,0,0,16.7681305049408,0,5.66844832270127,2.89352777714139,2.89352777714139,0,2.89352777714139,0,1021,240,2.89352777714139,0,0
"El Salvador",134,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,,0,1000,0,83,0,0,0,2,0,98,34,20,108,123,72,108
"El Salvador",134,"Ornamental fish nei","ornamentals",,0,0,0,0,0,0,0,0,0,0,0,0.869565217391304,0,0,0,0,0,0,1,0.869565217391304,0.869565217391304,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",134,"Z_TOTAL","corals",,,,,,,,,,,,,,,,,,,,11.218289413821,0,0,0,16.7681305049408,0,5.66844832270127,2.89352777714139,2.89352777714139,0,2.89352777714139,0,1021,240,2.89352777714139,0,0
"El Salvador",134,"Z_TOTAL","fish_oil",,,,,,,,,,,,,,,,,,,,,0,1000,0,83,0,0,0,2,0,98,34,20,108,123,72,108
"El Salvador",134,"Z_TOTAL","ornamentals",,0,0,0,0,0,0,0,0,0,0,0,0.869565217391304,0,0,0,0,0,0,1,0.869565217391304,0.869565217391304,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"Equatorial Guinea",104,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0,0,,0,,,0,0
"Equatorial Guinea",104,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eritrea",45,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,,,,0.776664283585294,1,2,0.192929543469697,0.0582215265199439,0,0,0,0,0,0,0,0,3,1,0.103124198836528,0.0432539690810824
"Eritrea",45,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,,,,0.776664283585294,1,2,0.192929543469697,0.0582215265199439,0,0,0,0,0,0,0,0,3,1,0.103124198836528,0.0432539690810824
"Estonia",70,"Agar agar nei","seaweeds",,,,,,,,,,,,,,,,,,,,,,,45,40,53,96,63,31,6,26,24,26,19,2,18,9
"Estonia",70,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,,,,,29,7,11,14,24,8,7,14.3389775946433,53,34,18,16,14.4307236672676,0,0,2,8,3,2,1
"Estonia",70,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,,,,,,,36,11,18,6.24258613170519,0,0,0,0,6.22733786056943,0,6.09010342034764,6.22733786056943,5.93762070899009,5.66315182854651,1,0,6.24258613170519,0,6.16634477602641
"Estonia",70,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,,,,,,,,146,129,117,161,139,142,315,108,118,276,219,18,74,62.5753517177333
"Estonia",70,"Z_TOTAL","fish_oil",,,,,,,,,,,,,,,,,29,43,22,32,30.2425861317052,8,7,14.3389775946433,53,40.2273378605694,18,22.0901034203476,20.658061527837,5.93762070899009,5.66315182854651,3,8,9.24258613170519,2,7.16634477602641
"Estonia",70,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,,,,,191,169,170,257,202,173,321,134,142,302,238,20,92,71.5753517177333
"Faeroe Islands",141,"Fish body oils, nei","fish_oil",6310,6003,6492,2974,7300,5366,3497,7645,8647,16482,9912,7191,12759,7834,3033,2835,9463,16488,10278,6834,9984,7054,1245,3454,1199,988,1223,803,5346,4516,678,2524,55,67,2091,430
"Faeroe Islands",141,"Fish liver oils, nei","fish_oil",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,212,141,85,0,0,0,0,0,0,285,0,35,0,0,0
"Faeroe Islands",141,"Miscellaneous corals and shells","shells",,,,,,,,,,,,,,,,,,,,,20,0,53,0,5,0,3950,1200,0,1300,251.467797855557,0,2373,1631,0,0
"Faeroe Islands",141,"Z_TOTAL","fish_oil",6332,6003,6492,2974,7300,5366,3497,7645,8647,16482,9912,7191,12759,7834,3033,2835,9463,16488,10278,6834,10359,7266,1386,3539,1199,988,1223,803,5346,4516,963,2524,90,67,2091,430
"Faeroe Islands",141,"Z_TOTAL","shells",,,,,,,,,,,,,,,,,,,,,20,0,53,0,5,0,3950,1200,0,1300,251.467797855557,0,2373,1631,0,0
"Fiji",18,"Coral and the like","corals",,,,,,,,,,,,,,,589,457,351,109,307,0,536,1180,1280,830,1235,0,1026,1412,1695,1852,1837,1814,1244,782,1030,1127
"Fiji",18,"Kelp","seaweeds",,,,,,,,,,,,,,,,,,,,,,,,,106,0,0,12.9660832084177,19,10,91,41,15,32,28,21
"Fiji",18,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,13.2549305921533,43.9136527456865,60.3054447881696,0,0,0,0,0,0,47.5562731995716,48.1633766085524,217.545227714211,233,253,220,269,126,90,117,119,99,175,199.028573740295
"Fiji",18,"Trochus shells","shells",,,,,,,,,,,,,,,,,,,,,42,32.4325160210491,37,49,0,0,0,0,0,0,0,0,0,0,0,0
"Fiji",18,"Z_TOTAL","corals",,,,,,,,,,,,,,,589,457,351,109,307,0,536,1180,1280,830,1235,0,1026,1412,1695,1852,1837,1814,1244,782,1030,1127
"Fiji",18,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,13.2549305921533,43.9136527456865,60.3054447881696,0,0,0,0,0,0,47.5562731995716,48.1633766085524,217.545227714211,233,253,220,269,126,90,117,119,99,175,199.028573740295
"Fiji",18,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,,,,,,,106,0,0,12.9660832084177,19,10,91,41,15,32,28,21
"Fiji",18,"Z_TOTAL","shells",,,,,,,,,,,,,,,,,,,,,42,32.4325160210491,37,49,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",174,"Agar agar nei","seaweeds",,,,,,,,,,,,,,,,,,,,,,,0.123786888492771,0.123786888492771,1,0,0.123786888492771,0.123786888492771,0,0,1,1,0,0,0,0
"Finland",174,"Fish body oils, nei","fish_oil",,,,,,,,64,0,0,28,3,13,2,334,0,4.97232029762603,4,2,0,3.88035977480679,7,0,4,1,0,1,7,6.06428082044528,8.79418212749338,7,183,673,39,419,657
"Finland",174,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,,26,0,4.06741632359352,3.81188026206815,3.93964829283084,16,4,10,1,3,1,0,0,0,0,1,1,6,7,10,5,8,8,10
"Finland",174,"Natural sponges other than raw","sponges",,,,,,,,,,,,,,,,,,,,,,1,6,0.151856763925729,0.151856763925729,0,0.151856763925729,0,0,0,0,0,0,0,0,0
"Finland",174,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,,,,,4.87438130389672,9,17,2,2,1,5.19171500008505,5.56193764563809,1,4.98015920262616,5.24460394944977,5.08593710135561,10,10,12,12,2
"Finland",174,"Z_TOTAL","fish_oil",,,,,,,,64,0,0,28,3,39,2,338.067416323594,3.81188026206815,8.91196859045687,20,6,10,4.88035977480679,10,1,4,1,0,1,8,7.06428082044528,14.7941821274934,14,193,678,47,427,667
"Finland",174,"Z_TOTAL","seaweeds",,,,,,,,,,,,,,,,,,,,4.87438130389672,9,17,2.12378688849277,2.12378688849277,2,5.19171500008505,5.68572453413086,1.12378688849277,4.98015920262616,5.24460394944977,6.08593710135561,11,10,12,12,2
