"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","year","model"
"51","Crassostrea-34","Cupped oysters",1.22215526163086,1.57482232846274,1.78473425785841,1.89281414787317,1.97052257537551,0.215000145204551,1.71915642394651,2000,"COM-SIR"
"52","Crassostrea-34","Cupped oysters",1.20234499572909,1.56339069600896,1.78078345351762,1.89020957897573,1.96961974017649,0.220187158981569,1.71286408659993,2001,"COM-SIR"
"53","Crassostrea-34","Cupped oysters",1.18744957545711,1.55502007796952,1.77691688981705,1.88718106457384,1.96869378318433,0.225350277749895,1.70660469971303,2002,"COM-SIR"
"54","Crassostrea-34","Cupped oysters",1.17296991666261,1.54687395233875,1.77234040769085,1.88474863578795,1.96777369022885,0.230483935501584,1.70038447246783,2003,"COM-SIR"
"55","Crassostrea-34","Cupped oysters",1.15892072282332,1.53920656999692,1.76740043727943,1.88266905282204,1.96697428169245,0.235582746870959,1.69420938825197,2004,"COM-SIR"
"56","Crassostrea-34","Cupped oysters",1.14124119019062,1.53260698626639,1.7623269189186,1.88101357043036,1.96616767421675,0.240641525414107,1.68808518562721,2005,"COM-SIR"
"57","Crassostrea-34","Cupped oysters",1.12339985839475,1.52669262764692,1.75728181896581,1.87959122270009,1.96522900113308,0.245655300067712,1.68201734160013,2006,"COM-SIR"
"58","Crassostrea-34","Cupped oysters",1.10585071174716,1.52100023645905,1.75352004921062,1.87666972083412,1.96421921442523,0.250619329709754,1.67601105723551,2007,"COM-SIR"
"59","Crassostrea-34","Cupped oysters",1.0886164569873,1.51387455191916,1.74982994772654,1.87503679244885,1.96318274209366,0.255529115767482,1.67007124562329,2008,"COM-SIR"
"60","Crassostrea-34","Cupped oysters",1.07171826138564,1.50528753781047,1.74537886214832,1.8730730556495,1.96225224619937,0.260380412841455,1.66420252218222,2009,"COM-SIR"
"61","Crassostrea-34","Cupped oysters",1.05517568812197,1.49830731905763,1.73994290445707,1.87146657457696,1.96130910154207,0.265169237337796,1.65840919725754,2010,"COM-SIR"
"62","Crassostrea-77","Cupped oysters",2,2,2,2,2,0,2,1950,"COM-SIR"
"63","Crassostrea-77","Cupped oysters",1.7906035005784,1.88451298856415,1.93390636245306,1.96042075544709,1.98603008743391,0.0538838073386484,1.91881350686751,1951,"COM-SIR"
"64","Crassostrea-77","Cupped oysters",1.74941076097136,1.84438712005846,1.90357179736856,1.94018660665432,1.97609355323599,0.0644730840046058,1.88877176816717,1952,"COM-SIR"
"65","Crassostrea-77","Cupped oysters",1.72877339835445,1.81614856366404,1.88711841016302,1.92811104879541,1.96877108652664,0.0716647108642454,1.87032046049327,1953,"COM-SIR"
"66","Crassostrea-77","Cupped oysters",1.7075835791586,1.79558505801308,1.87057355502519,1.91983346822789,1.96585639332755,0.0782605621208917,1.85648847721296,1954,"COM-SIR"
"67","Crassostrea-77","Cupped oysters",1.68545059987549,1.78015286534787,1.86233178172544,1.91477897400289,1.96367530580992,0.0848825709203807,1.84485710088593,1955,"COM-SIR"
"68","Crassostrea-77","Cupped oysters",1.66152361757073,1.76345092120331,1.85282903154284,1.90950526206356,1.9620457069111,0.0916484651904007,1.83440511461713,1956,"COM-SIR"
"69","Crassostrea-77","Cupped oysters",1.63948471609223,1.74965840216083,1.84475948820021,1.90419124969307,1.96014752893973,0.0985147580352425,1.82465108832727,1957,"COM-SIR"
"70","Crassostrea-77","Cupped oysters",1.61637280336559,1.73684782045074,1.83604246454534,1.90034958650271,1.95878817330283,0.105380181631883,1.81535310398501,1958,"COM-SIR"
