season.year,ASD,ASD2,ScientificName,SpeciesCode,EnglishName,Class,Tax_Lev,totC_old,corr.Catch2
2005,5852,58,Notothenia acuta,NOA,Trangular rockcod,F,6,0.1,0.0001
2005,882,88,Lithodidae,KCX,Crab spp.,C,4,0.1,0.0001
2005,883,88,Lithodidae,KCX,Crab spp.,C,4,0.1,0.0001
2008,5843b,58,Bathydraconidae,BTI,Bathydraconidae,F,4,0.1,0.0001
2012,481,48,Akarotaxis nudiceps,AKN,,F,6,0.1,0.0001
2012,481,48,Artedidraco skottsbergi,ADK,Plunderfish,F,6,0.1,0.0001
2012,481,48,Electrona spp,ELT,Lanternfishes,F,5,0.1,0.0001
2012,481,48,Gymnoscopelus braueri,GYR,Lanternfish,F,6,0.1,0.0001
2012,481,48,Harpagifer antarcticus,HGW,Antarctic spiny plunderfish,F,6,0.1,0.0001
2012,482,48,Electrona carlsbergi,ELC,Lanternfish,F,6,0.1,0.0001
2012,483,48,Artedidraco mirus,AZT,Plunderfish,F,6,0.1,0.0001
2012,483,48,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.1,0.0001
2012,5852,58,Borostomias antarcticus,BRT,Snaggletooth,F,6,0.1,0.0001
2012,881,88,Bathydraco antarcticus,BDN,,F,6,0.1,0.0001
2012,881,88,Careproctus spp,CWS,Snailfish,F,5,0.1,0.0001
2012,881,88,Vomeridens infuscipinnis,VOI,,F,6,0.1,0.0001
2010,482,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,0.101,0.000101
2009,483,48,Trematomus vicarius,TMW,Orange notothen,F,6,0.101999998,0.000102
2006,481,48,Gymnoscopelus braueri,GYR,Lanternfish,F,6,0.107,0.000107
2010,483,48,Myctophidae,LXX,Lanternfish,F,4,0.115,0.000115
2011,483,48,Notothenia angustifrons,NOF,Narrowheaded rockcod,F,6,0.115000002,0.000115
2009,5852,58,Bathylagus spp,BTY,Deep-sea Smelts,F,5,0.12,0.00012
2009,5852,58,Melanostigma spp,MEL,Eelpout spp.,F,5,0.12,0.00012
2009,483,48,Psychroteuthis glacialis,PSG,Glacial squid,C,6,0.123,0.000123
2010,483,48,Adelieledone polymorpha,TWP,Antarctic knobbed octopus,C,6,0.125,0.000125
2004,5852,58,Muraenolepis spp,MRL,Moray cods,F,5,0.14,0.00014
2009,5852,58,Cynomacrurus piriei,MNI,Dogtooth grenadier,F,6,0.14,0.00014
2010,482,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,0.14,0.00014
2008,483,48,Gymnoscopelus bolini,GYB,Lanternfish,F,6,0.149000004,0.000149
2008,5844b,58,Nototheniidae,NOX,Antarctic Rockcods,F,4,0.15,0.00015
2011,483,48,Artedidraco mirus,AZT,Plunderfish,F,6,0.152,0.000152
2004,5852,58,Borostomias antarcticus,BRT,Snaggletooth,F,6,0.16,0.000159844
2008,483,48,Melanostigma spp,MEL,Eelpout spp.,F,5,0.162,0.000162
2007,481,48,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.166,0.000166
2004,5852,58,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.17,0.00017
2005,5852,58,Bathylagus antarcticus,BAA,deepsea smelt,F,6,0.17,0.00017
2011,482,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,0.18,0.00018
2007,481,48,Chionodraco myersi,MIC,Myers' icefish,F,6,0.19,0.00019
2006,481,48,Racovitzia glacialis,RGG,Dragonfish spp.,F,6,0.198,0.000198
2005,883,88,Lepidion spp,LEV,Lepidion codlings nei,F,5,0.2,0.0002
2007,5842,58,Pogonophryne permitini,PGR,Plunderfish,F,6,0.2,0.0002
2007,882,88,Lithodidae,KCX,Crab spp.,C,4,0.2,0.0002
2011,882,88,Muraenolepis marmoratus,MVC,Marbled moray cod,F,6,0.2,0.0002
2012,481,48,Chionobathyscus dewitti,CHW,Icefish spp.,F,6,0.2,0.0002
2012,481,48,Dolloidraco longedorsalis,DLL,Plunderfish spp,F,6,0.2,0.0002
2012,481,48,Gerlachea australis,GEA,Dragonfish spp.,F,6,0.2,0.0002
2012,481,48,Paraliparis spp,PVZ,,F,5,0.2,0.0002
2012,481,48,Pogonophryne marmorata,PGM,Marbled plunderfish,F,6,0.2,0.0002
2012,483,48,Gymnoscopelus nicholsi,GYN,lanternfish,F,6,0.2,0.0002
2012,483,48,Pagothenia hansoni,TRH,Striped rockcod,F,6,0.2,0.0002
2012,483,48,Parachaenichthys georgianus,PGE,Bathydraconidae,F,6,0.2,0.0002
2012,483,48,Teuthoidea,SQQ,Squids,C,4,0.2,0.0002
2012,881,88,Paralomis aculeata,KCU,Red stone crab,C,6,0.2,0.0002
2012,883,88,Pogonophryne spp,POG,plunderfish,F,5,0.2,0.0002
2011,483,48,Electrona antarctica,ELN,,F,6,0.206000003,0.000206
2008,483,48,Artedidraco mirus,AZT,Plunderfish,F,6,0.209000004,0.000209
2006,481,48,Aethotaxis mitopteryx,AEM,Longfin icedevil,F,6,0.21,0.00021
2011,483,48,Borostomias antarcticus,BRT,Snaggletooth,F,6,0.213,0.000213
2007,481,48,Racovitzia glacialis,RGG,Dragonfish spp.,F,6,0.22,0.00022
2009,5852,58,Stomias boa boa,SBB,dragonfish,F,6,0.22,0.00022
2007,483,48,Artedidraco mirus,AZT,Plunderfish,F,6,0.236999999,0.000237
2007,481,48,Gerlachea australis,GEA,Dragonfish spp.,F,6,0.243,0.000243
2006,481,48,Trematomus loennbergii,TLO,Scaly rockcod,F,6,0.257,0.000257
2010,483,48,Artedidraco mirus,AZT,Plunderfish,F,6,0.259999998,0.00026
2007,881,88,Paralomis spp,PAI,Crabs,C,5,0.26,0.00026
2009,5852,58,Halargyreus johnsonii,MHJ,Slender codling,F,6,0.26,0.00026
2007,481,48,Artedidraco skottsbergi,ADK,Plunderfish,F,6,0.299,0.000299
2005,5841,58,Lycodichthys antarcticus,LCN,eelpout,F,6,0.3,0.0003
2008,881,88,Octopodidae,OCT,Octopus spp.,C,4,0.3,0.0003
2012,481,48,Aethotaxis mitopteryx,AEM,Longfin icedevil,F,6,0.3,0.0003
2012,481,48,Lycodichthys antarcticus,LCN,eelpout,F,6,0.3,0.0003
2012,481,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,0.3,0.0003
2012,481,48,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.3,0.0003
2012,481,48,Trematomus scotti,TRM,Rockcod,F,6,0.3,0.0003
2012,483,48,Paralomis formosa,KCF,Antarctic king crab,C,6,0.3,0.0003
2012,5852,58,Icichthys australis,ICA,Southern driftfish,F,6,0.3,0.0003
2004,882,88,Lithodes murrayi,KCM,Stone crab,C,6,0.305,0.000305
2007,881,88,Dacodraco hunteri,DAH,Icefish spp.,F,6,0.32,0.00032
2007,881,88,Pachycara brachycephalum,PHB,Eelpout,F,6,0.33,0.00033
2008,5844b,58,Halargyreus johnsonii,MHJ,Slender codling,F,6,0.35,0.00035
2008,5844b,58,Lepidion spp,LEV,Lepidion codlings nei,F,5,0.35,0.00035
2007,483,48,Cephalopoda,CEP,Cephalopods,C,2,0.359999999,0.00036
2011,482,48,Electrona carlsbergi,ELC,Lanternfish,F,6,0.3818,0.0003818
2000,5844b,58,Muraenolepis spp,MRL,Moray cods,F,5,0.4,0.0004
2005,5852,58,Chionodraco myersi,MIC,Myers' icefish,F,6,0.4,0.0004
2007,881,88,Liparididae,LIZ,Snailfish,F,4,0.4,0.0004
2009,882,88,Trematomus spp,TRT,Trematomus spp,F,5,0.4,0.0004
2011,883,88,Pogonophryne spp,POG,plunderfish,F,5,0.4,0.0004
2012,481,48,Pagetopsis macropterus,PMA,Icefish spp.,F,6,0.4,0.0004
2012,483,48,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,0.4,0.0004
2012,881,88,Neopagetopsis ionah,JIC,Crocodile icefishes,F,6,0.4,0.0004
2011,483,48,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.403000003,0.000403
2006,481,48,Electrona antarctica,ELN,,F,6,0.446,0.000446
2009,5841,58,Notothenia coriiceps,NOC,Black rockcod,F,6,0.48,0.00048
2006,481,48,Trematomus scotti,TRM,Rockcod,F,6,0.493,0.000493
2006,5852,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,0.5,0.0004995
2005,5852,58,Macrouridae,RTX,"Grenadiers, rattails nei",F,4,0.5,0.000499551
2002,586,58,Notothenia kempi,NOK,Striped-eyed rockcod,F,6,0.5,0.0005
2004,586,58,Lithodes murrayi,KCM,Stone crab,C,6,0.5,0.0005
2005,5852,58,Alepocephalus spp,ALH,Slickheads nei,F,5,0.5,0.0005
2005,586,58,Muraenolepis spp,MRL,Moray cods,F,5,0.5,0.0005
2006,5841,58,Cephalopoda,CEP,Cephalopods,C,2,0.5,0.0005
2009,881,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,0.5,0.0005
2010,882,88,Trematomus lepidorhinus,TRD,Slender scalyhead,F,6,0.5,0.0005
2011,484,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,0.5,0.0005
2011,881,88,Notothenia squamifrons,NOS,Grey rockcod,F,6,0.5,0.0005
2012,481,48,Pogonophryne scotti,SZT,,F,6,0.5,0.0005
2012,5852,58,Anotopterus pharao,ANH,Daggertooth,F,6,0.5,0.0005
2012,5852,58,Lithodidae,KCX,Crab spp.,C,4,0.5,0.0005
2006,881,88,Artedidraconidae,PLF,Barbeled plunderfishes nei,F,4,0.51,0.00051
2010,483,48,Magnisudis prionosa,MAP,Southern barracudina,F,6,0.524999976,0.000525
2003,5852,58,Mancopsetta maculata,MMM,Antarctic armless flounder,F,6,0.57,0.00057
2006,481,48,Pogonophryne marmorata,PGM,Marbled plunderfish,F,6,0.587,0.000587
2009,881,88,Lithodidae,KCX,Crab spp.,C,4,0.59,0.00059
2011,483,48,Moroteuthis knipovitchi,UHK,Smooth hooked squid,C,6,0.59999999,0.0006
2002,881,88,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,0.6,0.0006
2007,881,88,Paralomis anamerae,KDD,,C,6,0.6,0.0006
2011,881,88,Lithodidae,KCX,Crab spp.,C,4,0.6,0.0006
2012,481,48,Electrona antarctica,ELN,,F,6,0.6,0.0006
2012,481,48,Racovitzia glacialis,RGG,Dragonfish spp.,F,6,0.6,0.0006
2012,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,0.6,0.0006
2012,883,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,0.6,0.0006
2007,481,48,Anotopterus pharao,ANH,Daggertooth,F,6,0.607,0.000607
2004,5852,58,Myctophidae,LXX,Lanternfish,F,4,0.62,0.000618113
2011,882,88,Octopodidae,OCT,Octopus spp.,C,4,0.62,0.00062
2011,483,48,Paralomis formosa,KCF,Antarctic king crab,C,6,0.625,0.000625
2011,5841,58,Careproctus spp,CWS,Snailfish,F,5,0.63,0.00063
2006,484,48,Muraenolepis spp,MRL,Moray cods,F,5,0.64,0.00064
2008,486,48,Muraenolepis spp,MRL,Moray cods,F,5,0.7,0.0007
2009,881,88,Pogonophryne spp,POG,plunderfish,F,5,0.7,0.0007
2012,481,48,Pogonophryne spp,POG,plunderfish,F,5,0.7,0.0007
2011,481,48,Anotopterus pharao,ANH,Daggertooth,F,6,0.704,0.000704
2007,481,48,Trematomus scotti,TRM,Rockcod,F,6,0.705,0.000705
2000,5844b,58,Antimora rostrata,ANT,Blue antimora,F,6,0.8,0.0008
2006,5843b,58,Raja georgiana,SRR,,F,6,0.8,0.0008
2011,5843b,58,Muraenolepis spp,MRL,Moray cods,F,5,0.8,0.0008
2012,483,48,Gempylidae,GEP,"Snake mackerels, escolars nei",F,4,0.8,0.0008
2012,483,48,Pareledone turqueti,TWT,Turquet's octopus,C,6,0.8,0.0008
2007,481,48,Electrona carlsbergi,ELC,Lanternfish,F,6,0.816,0.000816
2010,482,48,Notothenia coriiceps,NOC,Black rockcod,F,6,0.85,0.00085
2010,483,48,Paralomis formosa,KCF,Antarctic king crab,C,6,0.895000011,0.000895
2009,483,48,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.896000005,0.000896
2000,5844a,58,Muraenolepis spp,MRL,Moray cods,F,5,0.9,0.0009
2009,483,48,Muraenolepis spp,MRL,Moray cods,F,5,0.9,0.0009
2012,483,48,Nototheniops nudifrons,NOD,Yellowfin rockcod,F,6,0.9,0.0009
2011,881,88,Pogonophryne permitini,PGR,Plunderfish,F,6,0.93,0.00093
2009,882,88,Lithodidae,KCX,Crab spp.,C,4,0.94,0.00094
2005,881,88,Zoarcidae,ELZ,eelpouts,F,4,0.98,0.00098
2005,5852,58,Benthalbella elongata,BEE,pearleyes,F,6,1,0.000999
1997,5852,58,Notothenia rossii,NOR,Marbled rockcod,F,6,1,0.000999
2002,587,58,Lithodidae,KCX,Crab spp.,C,4,1,0.000999
1997,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,1,0.000999
2003,5852,58,Etmopterus granulosus,ETM,Lucifer Shark,F,6,1,0.000999013
2004,5852,58,Halargyreus johnsonii,MHJ,Slender codling,F,6,1,0.000999041
2005,5852,58,Halargyreus johnsonii,MHJ,Slender codling,F,6,1,0.000999041
2003,483,48,Muraenolepis microps,MOY,Smalleye moray cod,F,6,1,0.000999616
1981,481,48,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,1,0.001
1981,481,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,1,0.001
1981,481,48,"Loliginidae, Ommastrephidae",SQU,Flying squids,C,3,1,0.001
1981,481,48,Myctophidae,LXX,Lanternfish,F,4,1,0.001
1981,481,48,Notothenia rossii,NOR,Marbled rockcod,F,6,1,0.001
1986,483,48,Nototheniops nudifrons,NOD,Yellowfin rockcod,F,6,1,0.001
1987,481,48,Nototheniops nudifrons,NOD,Yellowfin rockcod,F,6,1,0.001
1991,5842,58,Rajiformes,SRX,Skates and rays,F,3,1,0.001
1993,5852,58,Notothenia acuta,NOA,Trangular rockcod,F,6,1,0.001
1994,482,48,Champsocephalus gunnari,ANI,Mackerel icefish,F,6,1,0.001
1994,482,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,1,0.001
1997,5843,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,1,0.001
1998,881,88,Paralomis aculeata,KCU,Red stone crab,C,6,1,0.001
1999,482,48,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,1,0.001
2000,483,48,Bothidae,LEF,Lefteye flounders nei,F,4,1,0.001
2001,481,48,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,1,0.001
2001,481,48,Pleuragramma antarcticum,ANS,Antarctic silverfish,F,6,1,0.001
2001,5844b,58,Antimora rostrata,ANT,Blue antimora,F,6,1,0.001
2001,5844b,58,Macrourus spp,GRV,"Rat tails, Grenadiers",F,5,1,0.001
2004,5842,58,Octopodidae,OCT,Octopus spp.,C,4,1,0.001
2004,586,58,Martialia hyadesi,SQS,Sevenstar flying squid,C,6,1,0.001
2004,587,58,Paralomis aculeata,KCU,Red stone crab,C,6,1,0.001
2004,881,88,Chionodraco hamatus,TIC,,F,6,1,0.001
2005,481,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,1,0.001
2005,481,48,Cryodraco antarcticus,FIC,Long-fingered Icefish,F,6,1,0.001
2005,5852,58,Bothidae,LEF,Lefteye flounders nei,F,4,1,0.001
2005,5852,58,Centrolophidae,CEN,"Ruffs, barrelfishes nei",F,4,1,0.001
2005,883,88,Muraenolepis microps,MOY,Smalleye moray cod,F,6,1,0.001
2006,5841,58,Liparididae,LIZ,Snailfish,F,4,1,0.001
2006,5843b,58,Lithodidae,KCX,Crab spp.,C,4,1,0.001
2008,484,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,1,0.001
2008,5843a,58,Antimora rostrata,ANT,Blue antimora,F,6,1,0.001
2008,5843b,58,Chionobathyscus dewitti,CHW,Icefish spp.,F,6,1,0.001
2009,483,48,Moroteuthis knipovitchi,UHK,Smooth hooked squid,C,6,1,0.001
2010,484,48,Lithodidae,KCX,Crab spp.,C,4,1,0.001
2010,881,88,Pogonophryne permitini,PGR,Plunderfish,F,6,1,0.001
2010,881,88,Trematomus loennbergii,TLO,Scaly rockcod,F,6,1,0.001
2010,882,88,Aethotaxis mitopteryx,AEM,Longfin icedevil,F,6,1,0.001
2011,5852,58,Notothenia acuta,NOA,Trangular rockcod,F,6,1,0.001
2011,5842,58,Pogonophryne spp,POG,plunderfish,F,5,1.01,0.00101
2009,483,48,Paralomis formosa,KCF,Antarctic king crab,C,6,1.019000053,0.001019
2008,483,48,Gymnoscopelus nicholsi,GYN,lanternfish,F,6,1.047000021,0.001047
2007,481,48,Pachycara brachycephalum,PHB,Eelpout,F,6,1.059,0.001059
2007,486,48,Paralomis spp,PAI,Crabs,C,5,1.1,0.0011
2010,486,48,Octopodidae,OCT,Octopus spp.,C,4,1.1,0.0011
2011,5841,58,Pogonophryne spp,POG,plunderfish,F,5,1.1,0.0011
2012,481,48,Pachycara brachycephalum,PHB,Eelpout,F,6,1.1,0.0011
2006,5852,58,Somniosus pacificus,SON,Pacific Sleeper Shark,F,6,1.11,0.00111
2005,5842,58,Cryodraco antarcticus,FIC,Long-fingered Icefish,F,6,1.2,0.0012
2010,5844b,58,Notothenia kempi,NOK,Striped-eyed rockcod,F,6,1.2,0.0012
2012,881,88,Muraenolepis microps,MOY,Smalleye moray cod,F,6,1.2,0.0012
2006,481,48,Magnisudis prionosa,MAP,Southern barracudina,F,6,1.21,0.00121
2007,881,88,Notothenia squamifrons,NOS,Grey rockcod,F,6,1.23,0.00123
2009,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,1.25,0.00125
2009,483,48,Cephalopoda,CEP,Cephalopods,C,2,1.297999999,0.001298
2004,5852,58,Gymnoscopelus spp,GYY,Lanternfish,F,5,1.3,0.0013
2011,5841,58,Notothenia kempi,NOK,Striped-eyed rockcod,F,6,1.3,0.0013
2012,881,88,Lithodidae,KCX,Crab spp.,C,4,1.3,0.0013
2009,5852,58,Alepocephalus spp,ALH,Slickheads nei,F,5,1.31,0.00131
2007,881,88,Bathyraja spp,BHY,Bathyraja rays nei,F,5,1.34,0.00134
2006,5852,58,Muraenolepis spp,MRL,Moray cods,F,5,1.38,0.00138
2005,5841,58,Careproctus spp,CWS,Snailfish,F,5,1.4,0.0014
2007,881,88,Lithodes spp,KCZ,King crabs,C,5,1.42,0.00142
2007,481,48,Aethotaxis mitopteryx,AEM,Longfin icedevil,F,6,1.43,0.00143
2008,881,88,Lithodes murrayi,KCM,Stone crab,C,6,1.45,0.00145
2011,483,48,Psilodraco breviceps,PSR,Dragonfish spp.,F,6,1.453000039,0.001453
2009,5852,58,Myctophidae,LXX,Lanternfish,F,4,1.476,0.001476
2008,5843b,58,Muraenolepis orangiensis,MWO,Patagonian moray cod,F,6,1.5,0.0015
2008,881,88,Paralomis aculeata,KCU,Red stone crab,C,6,1.5,0.0015
2009,5843a,58,Lithodidae,KCX,Crab spp.,C,4,1.5,0.0015
2010,486,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,1.5,0.0015
2010,5841,58,Pogonophryne spp,POG,plunderfish,F,5,1.5,0.0015
2010,5844b,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,1.5,0.0015
2011,483,48,Lithodes murrayi,KCM,Stone crab,C,6,1.5,0.0015
2012,481,48,Gymnodraco acuticeps,GYA,Antarctic dragonfish,F,6,1.5,0.0015
2011,882,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,1.57,0.00157
2005,5841,58,Pogonophryne spp,POG,plunderfish,F,5,1.6,0.0016
2007,881,88,Lithodes murrayi,KCM,Stone crab,C,6,1.6,0.0016
2007,483,48,Gymnoscopelus nicholsi,GYN,lanternfish,F,6,1.649999958,0.00165
2007,483,48,Psilodraco breviceps,PSR,Dragonfish spp.,F,6,1.670000043,0.00167
2006,5843b,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,1.7,0.0017
2010,484,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,1.7,0.0017
2012,481,48,Trematomus newnesi,TRW,Dusky rockcod,F,6,1.7,0.0017
2012,483,48,Muraenolepis microps,MOY,Smalleye moray cod,F,6,1.7,0.0017
2008,483,48,Neolithodes diomedeae,NDW,Antarctic king crab,C,6,1.722000003,0.001722
2009,5852,58,Bathylagus antarcticus,BAA,deepsea smelt,F,6,1.74,0.00174
2008,881,88,Muraenolepis marmoratus,MVC,Marbled moray cod,F,6,1.75,0.00175
2010,483,48,Psilodraco breviceps,PSR,Dragonfish spp.,F,6,1.754999951,0.001755
2007,481,48,Electrona antarctica,ELN,,F,6,1.795,0.001795
2012,5852,58,Centrolophidae,CEN,"Ruffs, barrelfishes nei",F,4,1.8,0.0018
2011,882,88,Lithodidae,KCX,Crab spp.,C,4,1.83,0.00183
2010,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,1.835000008,0.001835
2011,882,88,Paralomis spinosissima,KCV,Antarctic king crab,C,6,1.84,0.00184
2010,5844a,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,1.85,0.00185
2010,5844a,58,Lithodes spp,KCZ,King crabs,C,5,1.95,0.00195
2006,481,48,Ophthalmolycus amberensis,LYA,Eelpout,F,6,1.951,0.001951
1982,481,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,2,0.002
1993,5852,58,Nototheniops mizops,NOZ,Toad rockcod,F,6,2,0.002
1994,483,48,Mancopsetta maculata,MMM,Antarctic armless flounder,F,6,2,0.002
1994,483,48,Scorpaenidae,SCO,Scorpionfishes,F,4,2,0.002
1996,5844a,58,Euphausia spp,KRX,Euphausids,C,5,2,0.002
1996,5844a,58,Lampanyctus achirus,LAC,Lanternfish,F,6,2,0.002
1996,5844a,58,Myctophidae,LXX,Lanternfish,F,4,2,0.002
1997,5843,58,Lithodidae,KCX,Crab spp.,C,4,2,0.002
1998,881,88,Calamus spp,PRG,Porgies,F,5,2,0.002
1999,482,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,2,0.002
2000,483,48,Mancopsetta maculata,MMM,Antarctic armless flounder,F,6,2,0.002
2001,5844b,58,Muraenolepis spp,MRL,Moray cods,F,5,2,0.002
2001,587,58,Muraenolepis microps,MOY,Smalleye moray cod,F,6,2,0.002
2002,587,58,Brama brama,POA,Atlantic pomfret,F,6,2,0.002
2003,5842,58,Notothenia kempi,NOK,Striped-eyed rockcod,F,6,2,0.002
2004,5842,58,Antimora rostrata,ANT,Blue antimora,F,6,2,0.002
2004,5852,58,Alepocephalus spp,ALH,Slickheads nei,F,5,2,0.002
2004,5852,58,Bathyraja maccaini,BAM,McCain's skate,F,6,2,0.002
2004,587,58,Muraenolepis microps,MOY,Smalleye moray cod,F,6,2,0.002
2004,881,88,Notothenia rossii,NOR,Marbled rockcod,F,6,2,0.002
2004,882,88,Octopodidae,OCT,Octopus spp.,C,4,2,0.002
2005,483,48,Muraenolepis spp,MRL,Moray cods,F,5,2,0.002
2005,5842,58,Raja georgiana,SRR,,F,6,2,0.002
2006,486,48,Muraenolepis spp,MRL,Moray cods,F,5,2,0.002
2008,483,48,Raja georgiana,SRR,,F,6,2,0.002
2008,881,88,Bathyraja maccaini,BAM,McCain's skate,F,6,2,0.002
2009,484,48,Lithodidae,KCX,Crab spp.,C,4,2,0.002
2011,5844b,58,Lithodes spp,KCZ,King crabs,C,5,2,0.002
2012,481,48,Parachaenichthys charcoti,PCH,Antarctic dragonfishes,F,6,2,0.002
2012,586,58,Lithodidae,KCX,Crab spp.,C,4,2,0.002
