X,assessid,stockid,stocklong.x,tsn,scientificname,commonname,areaid,region,inmyersdb,myersstockid,OHI_rgn,OHI_name,FAO
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,5,New Caledonia,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,5,New Caledonia,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,5,New Caledonia,81
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,5,New Caledonia,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,5,New Caledonia,81
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,5,New Caledonia,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,5,New Caledonia,81
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,5,New Caledonia,71
192,SPC-STMARLINSWPO-1952-2011-CHING,STMARLINSWPO,Striped marlin Southwestern Pacific Ocean,768127,Kajikia audax,Striped marlin,multinational-WCPFC-WPO,Pacific Ocean,0,NULL,5,New Caledonia,81
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,5,New Caledonia,71
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,5,New Caledonia,71
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,6,Vanuatu,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,6,Vanuatu,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,6,Vanuatu,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,6,Vanuatu,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,6,Vanuatu,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,6,Vanuatu,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,6,Vanuatu,71
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,6,Vanuatu,71
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,7,Solomon Islands,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,7,Solomon Islands,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,7,Solomon Islands,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,7,Solomon Islands,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,7,Solomon Islands,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,7,Solomon Islands,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,7,Solomon Islands,71
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,7,Solomon Islands,71
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,8,Palau,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,8,Palau,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,8,Palau,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,8,Palau,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,8,Palau,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,8,Palau,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,8,Palau,71
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,8,Palau,71
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,9,Micronesia,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,9,Micronesia,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,9,Micronesia,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,9,Micronesia,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,9,Micronesia,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,9,Micronesia,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,9,Micronesia,71
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,9,Micronesia,71
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,10,Nauru,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,10,Nauru,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,10,Nauru,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,10,Nauru,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,10,Nauru,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,10,Nauru,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,10,Nauru,71
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,10,Nauru,71
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,11,Marshall Islands,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,11,Marshall Islands,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,11,Marshall Islands,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,11,Marshall Islands,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,11,Marshall Islands,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,11,Marshall Islands,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,11,Marshall Islands,71
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,11,Marshall Islands,71
5,ISC-ALBANPAC-1952-2010-CHING,ALBANPAC,Albacore tuna North Pacific,172419,Thunnus alalunga,Albacore tuna,Multinational-ISC-NPAC,US West Coast,0,NA,12,Wake Island,61
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,12,Wake Island,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,12,Wake Island,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,12,Wake Island,61
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,12,Wake Island,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,12,Wake Island,61
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,12,Wake Island,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,12,Wake Island,61
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,12,Wake Island,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,12,Wake Island,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,12,Wake Island,61
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,12,Wake Island,71
200,ISC-SWORDNPAC-1952-2010-CHING,SWORDNPAC,Swordfish North Pacific,172482,Xiphias gladius,swordfish,Multinational-ISC-NPAC,Pacific Ocean,0,,12,Wake Island,61
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,12,Wake Island,71
5,ISC-ALBANPAC-1952-2010-CHING,ALBANPAC,Albacore tuna North Pacific,172419,Thunnus alalunga,Albacore tuna,Multinational-ISC-NPAC,US West Coast,0,NA,13,Northern Mariana Islands and Guam,61
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,13,Northern Mariana Islands and Guam,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,13,Northern Mariana Islands and Guam,61
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,13,Northern Mariana Islands and Guam,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,61
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,61
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,13,Northern Mariana Islands and Guam,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,61
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,71
200,ISC-SWORDNPAC-1952-2010-CHING,SWORDNPAC,Swordfish North Pacific,172482,Xiphias gladius,swordfish,Multinational-ISC-NPAC,Pacific Ocean,0,,13,Northern Mariana Islands and Guam,61
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,13,Northern Mariana Islands and Guam,71
5,ISC-ALBANPAC-1952-2010-CHING,ALBANPAC,Albacore tuna North Pacific,172419,Thunnus alalunga,Albacore tuna,Multinational-ISC-NPAC,US West Coast,0,NA,14,Taiwan,61
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,14,Taiwan,71
27,SPC-BIGEYECWPAC-1952-2010-CHING,BIGEYECWPAC,Bigeye tuna Central Western Pacific,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,,14,Taiwan,71
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,14,Taiwan,61
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,14,Taiwan,71
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,14,Taiwan,61
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,14,Taiwan,71
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,14,Taiwan,61
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,14,Taiwan,71
170,SPC-SKJCWPAC-1950-2011-CHING,SKJCWPAC,Skipjack tuna Central Western Pacific,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,14,Taiwan,71
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,14,Taiwan,61
193,ISC-STMARLINWCNPAC-1951-2010-CHING,STMARLINWCNPAC,Striped marlin Western and Central North Pacific,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Pacific Ocean,0,,14,Taiwan,71
200,ISC-SWORDNPAC-1952-2010-CHING,SWORDNPAC,Swordfish North Pacific,172482,Xiphias gladius,swordfish,Multinational-ISC-NPAC,Pacific Ocean,0,,14,Taiwan,61
234,SPC-YFINCWPAC-1952-2010-CHING,YFINCWPAC,Yellowfin tuna Central Western Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Pacific Ocean,0,NA,14,Taiwan,71
