"rgn_id","rgn_name","pop_total"
183,"Portugal",7656752
184,"Italy",32773809
185,"Monaco",59308
186,"Montenegro",248648
187,"Croatia",1600339
188,"Slovenia",344097
189,"Lithuania",444854
190,"Qatar",609164
191,"Iran",2649643
192,"Iraq",461532
193,"Guinea Bissau",1055166
194,"Guinea",1804492
195,"Ivory Coast",4979793
196,"Nigeria",21600998
197,"Cameroon",1729841
198,"Gabon",722199
199,"Democratic Republic of the Congo",173981
200,"Angola",3166046
202,"Tanzania",5706083
203,"India",152183998
204,"Bangladesh",29303956
205,"Myanmar",17099089
206,"Malaysia",19137696
207,"Vietnam",48692974
208,"Singapore",4537801
209,"China",226549764
210,"Japan",110552443
212,"Kiribati",76146
214,"Egypt",18363192
215,"Jordan",1267475
216,"Indonesia",162587004
218,"Canada",6443407
219,"Saint Pierre and Miquelon",6424
220,"Sint Maarten",54662
221,"Northern Saint-Martin",61968
222,"Sweden",5906793
223,"Norway",3998694
224,"Chile",5044886
227,"Jersey",88452
228,"Guernsey",56107
231,"East Timor",727355
232,"Bosnia and Herzegovina",517125
237,"Oecussi Ambeno",59214
244,"Curacao",164740
245,"Bonaire",14433
247,"Brunei",358085
248,"Saba",1902
249,"Sint Eustatius",3251
250,"Aruba",118793
