"","","Population","Sanitation","","","","","",""
"","2011","69.5","43.4","62.4","26.2","37.6","","",""
"","2012","70.7","44.1","62.5","26.5","37.5","","",""
"Andorra","1990","52.8","52.8","100.0","0.0","0.0","26","",""
"","1991","55.0","55.0","100.0","0.0","0.0","","",""
"","1992","57.8","57.8","100.0","0.0","0.0","","",""
"","1993","60.7","60.7","100.0","0.0","0.0","","",""
"","1994","63.1","63.1","100.0","0.0","0.0","","",""
"","1995","64.7","64.7","100.0","0.0","0.0","","",""
"","1996","65.2","65.2","100.0","0.0","0.0","","",""
"","1997","64.9","64.9","100.0","0.0","0.0","","",""
"","1998","64.2","64.2","100.0","0.0","0.0","","",""
"","1999","64.0","64.0","100.0","0.0","0.0","","",""
"","2000","64.6","64.6","100.0","0.0","0.0","","",""
"","2001","66.4","66.4","100.0","0.0","0.0","","",""
"","2002","69.0","69.0","100.0","0.0","0.0","","",""
"","2003","72.2","72.2","100.0","0.0","0.0","","",""
"","2004","75.3","75.3","100.0","0.0","0.0","","",""
"","2005","77.9","77.9","100.0","0.0","0.0","","",""
"","2006","79.9","79.9","100.0","0.0","0.0","","",""
"","2007","81.4","81.4","100.0","0.0","0.0","","",""
"","2008","82.6","82.6","100.0","0.0","0.0","","",""
"","2009","83.7","83.7","100.0","0.0","0.0","","",""
"","2010","84.9","84.9","100.0","0.0","0.0","","",""
"","2011","86.2","86.2","100.0","0.0","0.0","","",""
"","2012","87.5","87.5","100.0","0.0","0.0","","",""
"Angola","1990","10333.8","3014.0","29.2","7319.9","70.8","40","",""
"","1991","10652.7","3200.0","30.0","7452.7","70.0","","",""
"","1992","11002.8","3402.8","30.9","7600.0","69.1","","",""
"","1993","11372.2","3618.9","31.8","7753.3","68.2","","",""
"","1994","11743.4","3894.9","33.2","7848.5","66.8","","",""
"","1995","12105.0","4194.3","34.6","7910.6","65.4","","",""
"","1996","12451.9","4500.4","36.1","7951.6","63.9","","",""
"","1997","12791.4","4814.6","37.6","7976.8","62.4","","",""
"","1998","13137.5","5142.7","39.1","7994.8","60.9","","",""
"","1999","13510.6","5493.2","40.7","8017.4","59.3","","",""
"","2000","13924.9","5873.4","42.2","8051.5","57.8","","",""
"","2001","14385.3","6286.9","43.7","8098.3","56.3","","",""
"","2002","14886.6","6733.9","45.2","8152.7","54.8","","",""
"","2003","15421.1","7212.4","46.8","8208.6","53.2","","",""
"","2004","15976.7","7716.3","48.3","8260.4","51.7","","",""
"","2005","16544.4","8241.6","49.8","8302.8","50.2","","",""
"","2006","17122.4","8787.5","51.3","8334.9","48.7","","",""
"","2007","17712.8","9355.5","52.8","8357.3","47.2","","",""
"","2008","18314.4","9945.4","54.3","8369.1","45.7","","",""
"","2009","18926.7","10556.8","55.8","8369.9","44.2","","",""
"","2010","19549.1","11189.8","57.2","8359.3","42.8","","",""
"","2011","20180.5","11843.8","58.7","8336.7","41.3","","",""
"","2012","20820.5","12518.8","60.1","8301.7","39.9","","",""
"Anguilla","1990","8.3","","","","","41","",""
"","1991","8.7","","","","","","",""
"","1992","9.0","","","","","","",""
"","1993","9.3","","","","","","",""
"","1994","9.5","","","","","","",""
"","1995","9.8","9.0","91.5","0.8","8.5","","",""
"","1996","10.0","9.2","91.5","0.9","8.5","","",""
"","1997","10.2","9.4","91.5","0.9","8.5","","",""
"","1998","10.5","9.6","91.5","0.9","8.5","","",""
"","1999","10.7","9.8","91.5","0.9","8.5","","",""
"","2000","11.1","10.2","92.0","0.9","8.0","","",""
"","2001","11.5","10.6","92.5","0.9","7.5","","",""
"","2002","12.0","11.2","93.1","0.8","6.9","","",""
"","2003","12.5","11.7","93.6","0.8","6.4","","",""
"","2004","13.1","12.3","94.1","0.8","5.9","","",""
"","2005","13.6","12.9","94.7","0.7","5.3","","",""
"","2006","14.0","13.3","95.2","0.7","4.8","","",""
"","2007","14.4","13.8","95.7","0.6","4.3","","",""
"","2008","14.7","14.2","96.3","0.6","3.7","","",""
"","2009","15.1","14.6","96.8","0.5","3.2","","",""
"","2010","15.4","14.9","97.3","0.4","2.7","","",""
"","2011","15.6","15.3","97.9","0.3","2.1","","",""
"","2012","15.9","15.6","97.9","0.3","2.1","","",""
"Antigua and Barbuda","1990","61.9","46.3","74.7","15.6","25.3","","",""
"","1991","62.4","47.3","75.7","15.2","24.3","","",""
"","1992","63.4","48.7","76.7","14.8","23.3","","",""
"","1993","64.9","50.4","77.7","14.5","22.3","","",""
"","1994","66.5","52.4","78.7","14.2","21.3","","",""
"","1995","68.3","54.4","79.6","13.9","20.4","","",""
"","1996","70.2","56.6","80.6","13.6","19.4","","",""
"","1997","72.2","58.9","81.6","13.3","18.4","","",""
"","1998","74.2","61.3","82.6","12.9","17.4","","",""
"","1999","76.0","63.6","83.6","12.5","16.4","","",""
"","2000","77.6","65.7","84.6","12.0","15.4","","",""
"","2001","79.0","67.6","85.5","11.4","14.5","","",""
"","2002","80.0","69.2","86.5","10.8","13.5","","",""
"","2003","80.9","70.8","87.5","10.1","12.5","","",""
"","2004","81.7","72.3","88.5","9.4","11.5","","",""
"","2005","82.6","73.9","89.5","8.7","10.5","","",""
"","2006","83.5","75.5","90.4","8.0","9.6","","",""
"","2007","84.4","77.2","91.4","7.2","8.6","","",""
"","2008","85.3","78.0","91.4","7.3","8.6","","",""
"","2009","86.3","78.9","91.4","7.4","8.6","","",""
"","2010","87.2","79.8","91.4","7.5","8.6","","",""
"","2011","88.2","80.6","91.4","7.6","8.6","","",""
"","2012","89.1","","","","","","",""
"Argentina","1990","32624.9","28210.6","86.5","4414.2","13.5","22","",""
"","1991","33075.2","28787.3","87.0","4287.9","13.0","","",""
"","1992","33520.8","29361.2","87.6","4159.6","12.4","","",""
"","1993","33961.9","29933.1","88.1","4028.8","11.9","","",""
"","1994","34399.3","30503.7","88.7","3895.6","11.3","","",""
"","1995","34833.2","31073.1","89.2","3760.0","10.8","","",""
"","1996","35264.1","31641.8","89.7","3622.3","10.3","","",""
"","1997","35690.8","32208.5","90.2","3482.3","9.8","","",""
"","1998","36109.3","32769.6","90.8","3339.7","9.2","","",""
"","1999","36514.6","33320.3","91.3","3194.3","8.7","","",""
"","2000","36903.1","33857.2","91.7","3045.9","8.3","","",""
"","2001","37273.4","34378.6","92.2","2894.7","7.8","","",""
"","2002","37627.5","34886.5","92.7","2741.1","7.3","","",""
"","2003","37970.4","35384.7","93.2","2585.7","6.8","","",""
"","2004","38308.8","35879.6","93.7","2429.2","6.3","","",""
"","2005","38647.9","36376.2","94.1","2271.7","5.9","","",""
"","2006","38988.9","36875.7","94.6","2113.2","5.4","","",""
"","2007","39331.4","37377.8","95.0","1953.5","5.0","","",""
"","2008","39676.1","37883.4","95.5","1792.7","4.5","","",""
"","2009","40023.6","38393.2","95.9","1630.5","4.1","","",""
"","2010","40374.2","38907.4","96.4","1466.8","3.6","","",""
"","2011","40728.7","39427.1","96.8","1301.6","3.2","","",""
"","2012","41086.9","39952.2","97.2","1134.7","2.8","","",""
"Armenia","1990","3544.7","","","","","-6","",""
"","1991","3511.9","","","","","","",""
"","1992","3449.5","3064.6","88.8","384.9","11.2","","",""
"","1993","3369.7","2991.8","88.8","377.9","11.2","","",""
"","1994","3289.9","2919.2","88.7","370.7","11.3","","",""
"","1995","3223.2","2858.2","88.7","365.0","11.3","","",""
"","1996","3173.4","2812.3","88.6","361.1","11.4","","",""
"","1997","3137.7","2783.1","88.7","354.5","11.3","","",""
"","1998","3113.0","2763.7","88.8","349.2","11.2","","",""
"","1999","3093.8","2749.3","88.9","344.5","11.1","","",""
"","2000","3076.1","2736.1","88.9","340.0","11.1","","",""
"","2001","3060.0","2724.4","89.0","335.6","11.0","","",""
"","2002","3047.0","2716.5","89.2","330.5","10.8","","",""
"","2003","3036.0","2710.8","89.3","325.3","10.7","","",""
"","2004","3025.7","2705.5","89.4","320.1","10.6","","",""
"","2005","3014.9","2699.9","89.6","315.0","10.4","","",""
"","2006","3002.9","2693.2","89.7","309.7","10.3","","",""
"","2007","2989.9","2685.5","89.8","304.4","10.2","","",""
"","2008","2977.5","2678.3","90.0","299.2","10.0","","",""
"","2009","2968.2","2674.0","90.1","294.2","9.9","","",""
"","2010","2963.5","2673.9","90.2","289.6","9.8","","",""
"","2011","2964.1","2678.7","90.4","285.5","9.6","","",""
"","2012","2969.1","2687.4","90.5","281.7","9.5","","",""
"Aruba","1990","62.1","61.3","98.6","0.9","1.4","20","",""
"","1991","64.6","63.7","98.6","0.9","1.4","","",""
"","1992","68.2","67.2","98.5","1.0","1.5","","",""
"","1993","72.5","71.4","98.5","1.1","1.5","","",""
"","1994","76.7","75.5","98.4","1.2","1.6","","",""
"","1995","80.3","79.0","98.4","1.3","1.6","","",""
"","1996","83.2","81.8","98.3","1.4","1.7","","",""
"","1997","85.4","84.0","98.3","1.4","1.7","","",""
"","1998","87.3","85.8","98.3","1.5","1.7","","",""
"","1999","89.0","87.4","98.2","1.6","1.8","","",""
"","2000","90.9","89.2","98.2","1.7","1.8","","",""
"","2001","92.9","91.2","98.1","1.7","1.9","","",""
"","2002","95.0","93.2","98.1","1.8","1.9","","",""
"","2003","97.0","95.1","98.0","1.9","2.0","","",""
"","2004","98.7","96.8","98.0","2.0","2.0","","",""
"","2005","100.0","98.0","98.0","2.0","2.0","","",""
"","2006","100.8","98.7","97.9","2.1","2.1","","",""
"","2007","101.2","99.1","97.9","2.2","2.1","","",""
"","2008","101.3","99.1","97.8","2.2","2.2","","",""
"","2009","101.4","99.2","97.8","2.2","2.2","","",""
"","2010","101.6","99.3","97.7","2.3","2.3","","",""
"","2011","101.9","99.6","97.7","2.3","2.3","","",""
"","2012","102.4","100.0","97.7","2.4","2.3","","",""
"Australia","1990","17096.9","17096.9","100.0","0.0","0.0","21","",""
"","1991","17321.7","17321.7","100.0","0.0","0.0","","",""
"","1992","17528.6","17528.6","100.0","0.0","0.0","","",""
"","1993","17724.7","17724.7","100.0","0.0","0.0","","",""
"","1994","17920.6","17920.6","100.0","0.0","0.0","","",""
"","1995","18124.2","18124.2","100.0","0.0","0.0","","",""
"","1996","18339.0","18339.0","100.0","0.0","0.0","","",""
"","1997","18563.4","18563.4","100.0","0.0","0.0","","",""
"","1998","18794.6","18794.6","100.0","0.0","0.0","","",""
"","1999","19027.4","19027.4","100.0","0.0","0.0","","",""
"","2000","19259.4","19259.4","100.0","0.0","0.0","","",""
"","2001","19487.3","19487.3","100.0","0.0","0.0","","",""
"","2002","19714.6","19714.6","100.0","0.0","0.0","","",""
"","2003","19953.1","19953.1","100.0","0.0","0.0","","",""
"","2004","20218.5","20218.5","100.0","0.0","0.0","","",""
"","2005","20520.7","20520.7","100.0","0.0","0.0","","",""
"","2006","20865.6","20865.6","100.0","0.0","0.0","","",""
"","2007","21246.3","21246.3","100.0","0.0","0.0","","",""
"","2008","21645.1","21645.1","100.0","0.0","0.0","","",""
"","2009","22037.1","22037.1","100.0","0.0","0.0","","",""
"","2010","22404.5","22404.5","100.0","0.0","0.0","","",""
"","2011","22740.5","22740.5","100.0","0.0","0.0","","",""
"","2012","23050.5","23050.5","100.0","0.0","0.0","","",""
"Austria","1990","7670.0","7670.0","100.0","0.0","0.0","6","",""
"","1991","7726.4","7726.4","100.0","0.0","0.0","","",""
"","1992","7797.2","7797.2","100.0","0.0","0.0","","",""
"","1993","7872.4","7872.4","100.0","0.0","0.0","","",""
"","1994","7938.2","7938.2","100.0","0.0","0.0","","",""
"","1995","7985.4","7985.4","100.0","0.0","0.0","","",""
"","1996","8009.3","8009.3","100.0","0.0","0.0","","",""
"","1997","8014.1","8014.1","100.0","0.0","0.0","","",""
"","1998","8009.1","8009.1","100.0","0.0","0.0","","",""
"","1999","8007.8","8007.8","100.0","0.0","0.0","","",""
"","2000","8020.3","8020.3","100.0","0.0","0.0","","",""
"","2001","8049.4","8049.4","100.0","0.0","0.0","","",""
"","2002","8091.8","8091.8","100.0","0.0","0.0","","",""
"","2003","8142.3","8142.3","100.0","0.0","0.0","","",""
"","2004","8193.2","8193.2","100.0","0.0","0.0","","",""
"","2005","8238.6","8238.6","100.0","0.0","0.0","","",""
"","2006","8277.4","8277.4","100.0","0.0","0.0","","",""
"","2007","8311.5","8311.5","100.0","0.0","0.0","","",""
"","2008","8342.1","8342.1","100.0","0.0","0.0","","",""
"","2009","8371.7","8371.7","100.0","0.0","0.0","","",""
"","2010","8401.9","8401.9","100.0","0.0","0.0","","",""
"","2011","8432.9","8432.9","100.0","0.0","0.0","","",""
"","2012","8463.9","8463.9","100.0","0.0","0.0","","",""
"Azerbaijan","1990","7216.5","","","","","34","",""
"","1991","7332.5","","","","","","",""
"","1992","7450.9","","","","","","",""
"","1993","7567.2","","","","","","",""
"","1994","7675.1","4412.1","57.5","3263.0","42.5","","",""
"","1995","7770.8","4460.6","57.4","3310.2","42.6","","",""
"","1996","7852.3","4500.8","57.3","3351.5","42.7","","",""
"","1997","7921.7","4534.0","57.2","3387.7","42.8","","",""
"","1998","7984.5","4563.2","57.2","3421.2","42.8","","",""
"","1999","8047.9","4796.2","59.6","3251.7","40.4","","",""
"","2000","8117.7","5042.0","62.1","3075.7","37.9","","",""
"","2001","8195.4","5295.9","64.6","2899.6","35.4","","",""
"","2002","8279.8","5557.4","67.1","2722.3","32.9","","",""
"","2003","8370.2","5826.8","69.6","2543.4","30.4","","",""
"","2004","8465.1","6103.4","72.1","2361.8","27.9","","",""
"","2005","8563.4","6386.5","74.6","2176.9","25.4","","",""
"","2006","8665.0","6676.3","77.0","1988.7","23.0","","",""
"","2007","8770.1","6973.4","79.5","1796.7","20.5","","",""
"","2008","8877.7","7276.9","82.0","1600.7","18.0","","",""
"","2009","8986.3","7367.5","82.0","1618.8","18.0","","",""
"","2010","9094.7","7458.0","82.0","1636.7","18.0","","",""
"","2011","9202.4","7548.1","82.0","1654.4","18.0","","",""
"","2012","9309.0","7637.3","82.0","1671.7","18.0","","",""
"Bahamas","1990","256.3","","","","","26","",""
"","1991","261.1","","","","","","",""
"","1992","266.1","","","","","","",""
"","1993","271.1","","","","","","",""
"","1994","275.8","242.8","88.0","33.0","12.0","","",""
"","1995","280.1","246.5","88.0","33.5","12.0","","",""
"","1996","283.7","249.7","88.0","34.0","12.0","","",""
"","1997","286.8","252.5","88.0","34.4","12.0","","",""
"","1998","289.9","255.2","88.0","34.7","12.0","","",""
"","1999","293.4","259.1","88.3","34.3","11.7","","",""
"","2000","297.8","263.8","88.6","34.0","11.4","","",""
"","2001","303.0","269.3","88.9","33.7","11.1","","",""
"","2002","309.0","275.5","89.2","33.5","10.8","","",""
"","2003","315.6","282.3","89.4","33.3","10.6","","",""
"","2004","322.4","289.3","89.7","33.1","10.3","","",""
"","2005","329.1","296.2","90.0","32.9","10.0","","",""
"","2006","335.6","303.1","90.3","32.5","9.7","","",""
"","2007","342.0","309.9","90.6","32.2","9.4","","",""
"","2008","348.3","316.5","90.9","31.8","9.1","","",""
"","2009","354.5","323.1","91.2","31.3","8.8","","",""
"","2010","360.5","329.6","91.4","30.9","8.6","","",""
"","2011","366.3","336.0","91.7","30.3","8.3","","",""
"","2012","372.0","342.2","92.0","29.7","8.0","","",""
"Bahrain","1990","495.9","491.0","99.0","4.9","1.0","57","",""
"","1991","509.6","504.6","99.0","5.0","1.0","","",""
"","1992","522.8","517.6","99.0","5.2","1.0","","",""
"","1993","535.7","530.4","99.0","5.3","1.0","","",""
"","1994","549.2","543.9","99.0","5.3","1.0","","",""
"","1995","563.7","558.4","99.1","5.4","0.9","","",""
"","1996","579.7","574.3","99.1","5.4","0.9","","",""
"","1997","597.4","591.9","99.1","5.5","0.9","","",""
"","1998","617.5","612.0","99.1","5.5","0.9","","",""
"","1999","640.9","635.3","99.1","5.6","0.9","","",""
"","2000","668.2","662.5","99.1","5.7","0.9","","",""
"","2001","698.7","692.9","99.2","5.9","0.8","","",""
"","2002","732.5","726.5","99.2","6.0","0.8","","",""
"","2003","772.1","765.9","99.2","6.2","0.8","","",""
"","2004","820.5","813.9","99.2","6.6","0.8","","",""
"","2005","879.5","872.5","99.2","7.1","0.8","","",""
"","2006","951.0","943.3","99.2","7.6","0.8","","",""
"","2007","1032.4","1024.1","99.2","8.3","0.8","","",""
"","2008","1116.0","1107.1","99.2","9.0","0.8","","",""
"","2009","1191.5","1182.0","99.2","9.6","0.8","","",""
"","2010","1251.5","1241.5","99.2","10.0","0.8","","",""
"","2011","1292.8","1282.4","99.2","10.4","0.8","","",""
"","2012","1317.8","1307.3","99.2","10.6","0.8","","",""
"Bangladesh","1990","107385.8","35855.1","33.4","71530.7","66.6","27","",""
"","1991","109934.6","37974.2","34.5","71960.4","65.5","","",""
"","1992","112431.0","40109.7","35.7","72321.2","64.3","","",""
"","1993","114897.5","42284.4","36.8","72613.2","63.2","","",""
"","1994","117369.5","44510.4","37.9","72859.1","62.1","","",""
"","1995","119869.6","46795.9","39.0","73073.6","61.0","","",""
"","1996","122400.9","49143.0","40.1","73257.9","59.9","","",""
"","1997","124945.3","51544.2","41.3","73401.2","58.7","","",""
"","1998","127478.5","53989.4","42.4","73489.2","57.6","","",""
"","1999","129966.8","56462.7","43.4","73504.1","56.6","","",""
"","2000","132383.3","58950.2","44.5","73433.1","55.5","","",""
"","2001","134729.5","61449.7","45.6","73279.8","54.4","","",""
"","2002","137006.3","63958.9","46.7","73047.4","53.3","","",""
"","2003","139186.0","66461.7","47.8","72724.3","52.2","","",""
"","2004","141235.0","68937.9","48.8","72297.1","51.2","","",""
"","2005","143135.2","71373.6","49.9","71761.6","50.1","","",""
"","2006","144868.7","73754.2","50.9","71114.5","49.1","","",""
"","2007","146457.1","76085.2","52.0","70371.9","48.0","","",""
"","2008","147970.0","78398.1","53.0","69571.9","47.0","","",""
"","2009","149503.1","80741.6","54.0","68761.5","46.0","","",""
"","2010","151125.5","83153.8","55.0","67971.7","45.0","","",""
"","2011","152862.4","85650.6","56.0","67211.8","44.0","","",""
"","2012","154695.4","88224.3","57.0","66471.0","43.0","","",""
"Barbados","1990","259.3","213.6","82.3","45.8","17.7","","",""
"","1991","260.2","216.3","83.1","43.9","16.9","","",""
"","1992","261.0","218.9","83.9","42.0","16.1","","",""
"","1993","261.7","221.6","84.7","40.1","15.3","","",""
"","1994","262.4","224.2","85.4","38.2","14.6","","",""
"","1995","263.2","226.8","86.2","36.3","13.8","","",""
"","1996","263.9","229.5","87.0","34.4","13.0","","",""
"","1997","264.6","232.2","87.7","32.4","12.3","","",""
"","1998","265.4","234.9","88.5","30.5","11.5","","",""
"","1999","266.2","237.7","89.3","28.5","10.7","","",""
"","2000","267.2","240.6","90.1","26.6","9.9","","",""
"","2001","268.3","243.7","90.8","24.6","9.2","","",""
"","2002","269.5","246.9","91.6","22.7","8.4","","",""
"","2003","270.8","248.1","91.6","22.8","8.4","","",""
"","2004","272.2","249.3","91.6","22.9","8.4","","",""
"","2005","273.6","250.6","91.6","23.0","8.4","","",""
"","2006","274.9","251.8","91.6","23.1","8.4","","",""
"","2007","276.3","","","","","","",""
"","2008","277.6","","","","","","",""
"","2009","279.0","","","","","","",""
"","2010","280.4","","","","","","",""
"","2011","281.8","","","","","","",""
"","2012","283.2","","","","","","",""
"Belarus","1990","10259.9","9767.3","95.2","492.5","4.8","-9","",""
"","1991","10270.8","9776.2","95.2","494.6","4.8","","",""
"","1992","10265.1","9769.3","95.2","495.9","4.8","","",""
"","1993","10246.3","9749.9","95.2","496.5","4.8","","",""
"","1994","10219.7","9723.0","95.1","496.7","4.9","","",""
"","1995","10189.1","9692.4","95.1","496.7","4.9","","",""
"","1996","10156.3","9659.7","95.1","496.6","4.9","","",""
"","1997","10120.6","9624.2","95.1","496.3","4.9","","",""
"","1998","10080.8","9580.5","95.0","500.3","5.0","","",""
"","1999","10034.8","9530.8","95.0","503.9","5.0","","",""
"","2000","9981.5","9474.2","94.9","507.3","5.1","","",""
"","2001","9920.2","9410.2","94.9","509.9","5.1","","",""
"","2002","9852.9","9340.8","94.8","512.0","5.2","","",""
"","2003","9784.1","9270.3","94.7","513.8","5.3","","",""
"","2004","9720.0","9204.4","94.7","515.6","5.3","","",""
"","2005","9664.7","9147.0","94.6","517.7","5.4","","",""
"","2006","9620.4","9100.3","94.6","520.1","5.4","","",""
"","2007","9585.4","9062.6","94.5","522.8","5.5","","",""
"","2008","9555.8","9030.2","94.5","525.6","5.5","","",""
"","2009","9525.8","8997.5","94.5","528.3","5.5","","",""
"","2010","9491.1","8960.6","94.4","530.5","5.6","","",""
"","2011","9450.4","8918.3","94.4","532.1","5.6","","",""
"","2012","9405.1","8871.7","94.3","533.4","5.7","","",""
"Belgium","1990","9978.2","9978.2","100.0","0.0","0.0","8","",""
"","1991","10011.1","10011.1","100.0","0.0","0.0","","",""
"","1992","10049.9","10049.9","100.0","0.0","0.0","","",""
"","1993","10091.2","10091.2","100.0","0.0","0.0","","",""
"","1994","10129.6","10129.6","100.0","0.0","0.0","","",""
"","1995","10161.9","10161.9","100.0","0.0","0.0","","",""
"","1996","10186.8","10186.8","100.0","0.0","0.0","","",""
"","1997","10206.0","10206.0","100.0","0.0","0.0","","",""
"","1998","10222.9","10222.9","100.0","0.0","0.0","","",""
"","1999","10242.4","10242.4","100.0","0.0","0.0","","",""
"","2000","10268.4","10268.4","100.0","0.0","0.0","","",""
"","2001","10300.8","10300.8","100.0","0.0","0.0","","",""
"","2002","10339.0","10339.0","100.0","0.0","0.0","","",""
"","2003","10385.0","10385.0","100.0","0.0","0.0","","",""
"","2004","10441.0","10441.0","100.0","0.0","0.0","","",""
"","2005","10508.1","10508.1","100.0","0.0","0.0","","",""
"","2006","10587.7","10587.7","100.0","0.0","0.0","","",""
"","2007","10678.1","10678.1","100.0","0.0","0.0","","",""
"","2008","10772.6","10772.6","100.0","0.0","0.0","","",""
"","2009","10862.4","10862.4","100.0","0.0","0.0","","",""
"","2010","10941.3","10941.3","100.0","0.0","0.0","","",""
"","2011","11006.6","11006.6","100.0","0.0","0.0","","",""
