"rgn_name","rgn_id","area_eez","area_inland1km","coastal_pop","total_pop","coastal_jobs","coastal_rev"
"Latvia",69,28901.4070452,413.920865728991,1224050,2025473,69900,1483625182.85852
"Estonia",70,36441.5281808,1471.42755011255,756882,1339396,84900,1754045650.42751
"Bulgaria",71,35080.8593914,275.073993047747,833557,7304632,355900,823214666.803201
"Romania",72,29024.2387169,197.354674377114,623307,21326905,500700,289545175.401682
"Russia",73,7680902.00042,79527.8210185757,8454450,143533000,3934900,7340545156.16618
"Georgia",74,22957.1096577,284.679751535129,1037240,4511800,317900,783252067.910812
"Ukraine",75,132896.343902,2235.52197524518,5860660,45593300,1570100,1836738528.24867
"Turkey",76,255467.17816,4995.86766421003,32497800,73997128,2317400,44459155055.3151
"Syria",77,10317.743976,150.199132711786,3381180,22399254,490500,512326210.506832
"Lebanon",78,19273.507541,193.861671290793,3847450,4424888,255100,7635968616.60679
"Israel",79,27775.0732902,211.326686722396,7977150,7907900,267800,2.118e+10
"Greece",80,492805.98719,8398.92592105787,9037330,11280167,657000,28648232436.6297
"Cyprus",81,98073.7144496,529.18996757757,821352,1128994,76600,3169024203.84874
"Albania",82,11104.5501173,345.807305545739,2259790,3162083,146600,1607967754.16711
"Algeria",84,127390.337567,1069.73219518568,15509900,38481705,746900,5724866390.40552
"Ascension",85,441643.004255,34.930030863206,798.242,880,,
"Saint Helena",86,444918.140997,39.2962847211067,6606.6,4255,26.3,0
"Tristan da Cunha",88,754645.151604,79.4658202137935,259.238,264,,
"South Georgia and the South Sandwich Islands",89,1449077.29938,818.2359729706,30,30,,
"Prince Edward Islands",90,473320.366045,80.3390709853737,50,50,,
"Crozet Islands",91,574472.927806,117.88885416332,0,0,,
"Amsterdam Island and Saint Paul Island",92,509013.679637,38.4230339495266,25,25,,
"Kerguelen Islands",93,567319.305787,1551.76662109792,90,90,,
"Heard and McDonald Islands",94,416877.470112,96.0575848738164,0,0,,
"Falkland Islands",95,549415.391881,2448.59516351074,2841.46,2932,787.6,0
"Sierra Leone",96,159573.505211,644.45906942615,2585890,5978727,54600,83042908.6325567
"Liberia",97,246510.644443,457.583404307998,2143750,4190435,0,334.062871754364
"Togo",98,15537.4808682,42.7892878074273,1772240,6642928,54300,66162920.9288434
"Benin",99,30283.7046252,100.423838731717,3368860,10050702,109000,170945133.981686
"Republique du Congo",100,40604.0929151,142.339875767564,892737,4337051,30600,94480393.0135938
"Namibia",101,559803.758383,1364.01770520819,167275,2259393,103300,117272028.372222
"South Africa",102,1067081.80295,2598.79429622252,11444500,51189306.61,1404100,7475803372.67632
"Sao Tome and Principe",103,130807.454013,162.424643513908,169688,188098,8500,36085019.5111059
"Equatorial Guinea",104,308413.9672,369.385076378403,346269,736296,0,0
"Bouvet Island",105,441207.322383,24.4510216042442,0,0,,
"Ghana",106,225509.154836,462.822908937479,7071600,25366462,310800,849992734.501169
"Clipperton Island",107,431278.030733,10.4790092589618,0,0,,
"Bermuda",108,450397.737015,63.7473063253509,79062.8,64806,7300,8.58e+08
"Bahamas",110,595474.513135,3947.09348754227,341504,371960,102500,3578832648.6719
"Turks and Caicos Islands",111,153566.868259,361.525819434182,38404.8,32427,0,0
"Cuba",112,364448.155528,5594.91769351401,10027600,11270957,439900,6815875847.987
"Cayman Islands",113,119133.27997,156.311888112847,54912.1,57570,8700,816480069.480632
"Haiti",114,123440.016772,1336.07368051763,9906550,10173775,139000,352491685.731206
"Dominican Republic",115,269361.073786,1177.14204009004,7697950,10276621,590700,6797097830.11361
"Puerto Rico and Virgin Islands of the United States",116,211074.631384,740.516654299966,3772275,3667084,152800,1.7256e+10
"British Virgin Islands",117,80090.8539689,126.621361879122,31373.9,27800,8800,7.81e+08
"Anguilla",118,92177.4685663,48.9020432084883,14052.7,13600,4200,1.65e+08
"Saint Kitts and Nevis",119,10212.0739555,87.3250771580149,32246,53584,5200,104710435.95103
"Antigua and Barbuda",120,107917.354953,146.706129625465,66221.5,89069,16100,571740263.166758
"Montserrat",121,7586.83608174,36.6765324063663,5421.22,5164,0,
"Saint Lucia",122,15390.6791842,107.409844904358,182674,180870,31500,5.2e+08
"Dominica",123,28574.3986419,124.001609564381,67393.3,71684,9600,144782213.604152
"Barbados",124,186029.694883,82.085572528534,333198,283221,46400,1.698e+09
"Grenada",125,26062.827031,123.128358792801,121584,105483,8700,1.63e+08
"Trinidad and Tobago",126,77272.4882202,468.93566433854,1536520,1337439,0,0
"Saint Vincent and the Grenadines",127,36174.6438604,158.931640427587,135286,109373,8300,1.56e+08
"Panama",129,330286.142818,2726.28890887322,3393660,3802281,233900,5202572913.46957
"Costa Rica",130,572092.75225,1170.1560339174,1670960,4805295,241600,2067273122.66989
"Nicaragua",131,148735.30038,901.194796270714,2846710,5991733,195700,479857346.780973
"Colombia",132,796774.35711,2478.28568974446,7151740,47704427,1157100,3033885353.65911
"Honduras",133,217494.917265,929.138820961278,3148220,7935846,427000,1169497563.33477
"El Salvador",134,93719.2011292,282.933249991968,5280850,6297394,209700,1849062366.11525
"Mexico",135,3267906.23409,12063.0861586082,19471900,120847477,7023500,27069809192.6239
"Guatemala",136,117741.180582,321.356283941495,1539130,15082831,458500,469101630.191308
"Ecuador",137,1071074.52811,2281.80426613893,5912970,15492264,674400,3588484158.287
"Peru",138,826222.133971,2455.58116968338,14445800,29987800,1178300,9378656660.37522
"Venezuela",139,470107.651601,3752.3585654799,14867300,29954782,956000,17037836376.1753
"Guadeloupe and Martinique",140,137829.257271,509.978450602807,817805,809295,73400,6.558e+09
"Faeroe Islands",141,267759.545443,636.599812481929,54494.8,49506,0,310461.42
"Iceland",143,755883.277131,4233.51974062056,318438,320137,37900,3132287932.97869
"Jan Mayen",144,292523.007147,123.128358792801,18,18,,
"Greenland",145,2279687.6494,50912.2664846658,60174.5,56840,0,128
"Pitcairn",146,836100.774864,36.6765324063663,69.1951,48,,
"French Polynesia",147,4770184.35956,3016.20816503783,308800,273814,22.8,0
"Line Group",148,1645299.29546,253.242723758243,6641.21,6295.89,,
"Jarvis Island",149,316569.829721,4.36625385790074,0,0,,
"Palmyra Atoll",150,346346.105083,77.7193186706333,0,0,,
"American Samoa",151,404363.089242,117.01560339174,100505,55128,0,0
"Samoa",152,131383.11003,329.215540885716,161249,188889,0,0
"Cook Islands",153,1959870.41651,256.735726844564,23309,19569,0,78
"Niue",154,316573.068647,56.7613001527097,1834.38,1398,59.3,8977.44
"Tonga",155,664616.429853,512.598202917547,126193,104941,5200,7e+07
"Tokelau",156,319012.414826,56.7613001527097,4404.27,1411,,
"Phoenix Group",157,742975.518105,106.536594132778,217.202,204.299,,
"Howland Island and Baker Island",158,434921.382069,4.36625385790074,0,0,,
"Johnston Atoll",159,442691.394613,6.11275540106104,0,0,,
"Wallis and Futuna",161,258210.846207,110.029597219099,16062.9,15289,,
"New Zealand",162,4102669.77301,11009.9457280825,4145630,4433100,374700,22786890936.3651
"United States",163,8615590.40791,69569.2692194757,100790000,313914040,42362100,1363705729441.09
"Belize",164,36153.9863771,734.403898898905,195058,324060,46800,353326686.416096
"Jamaica",166,245024.238978,572.852506156578,2848280,2712100,274700,3.678e+09
"Guyana",167,135703.560915,528.31671680599,415428,795369,19000,118564032.543386
"Suriname",168,128032.147947,354.53981326154,425992,534541,3800,98819375.8757513
"French Guiana",169,134784.364473,357.159565576281,144462,239450,0,54.9009897682188
"Brazil",171,3642742.61455,13111.8603352759,57649100,198656019,16997200,119345837016.899
"Argentina",172,1082619.01065,5152.17955232288,16068900,41086927,1685300,18578977554.1013
"Uruguay",173,128756.954568,670.656592573554,2424140,3395253,132000,3426386151.48856
"Finland",174,80912.9224865,5144.32029537866,2675690,5414293,178800,8264341045.08197
"Denmark",175,100516.847657,3221.42209635917,5256400,5590478,219100,22221670061.1289
"Germany",176,56155.8334652,2089.6890963913,6778120,81889839,2093400,13592851521.4201
"Netherlands",177,64265.1098903,1236.52309255749,11144000,16767705,763200,29918125587.2524
"Poland",178,31941.9669205,670.656592573554,3036450,38542737,792200,2129145568.9823
"France",179,332969.833398,3651.0614759766,14946400,65696689,2833000,56004958508.6396
"United Kingdom",180,756260.960738,10321.8241200774,37832200,63227526,4020000,160744375815.052
"Ireland",181,409966.639401,3078.20896982003,3476720,4588798,169900,14121150540.9478
"Spain",182,555063.964413,3334.07144589301,19248900,46217961,2655700,84862989992.1375
"Portugal",183,311142.791749,933.505074819179,7868980,10526703,818200,24168997772.6169
"Italy",184,538092.204793,5149.55980000814,31148800,60917978,2619000,103208112652.721
"Monaco",185,291.354303526,2.61975231474045,3138.82,37579,0,0
"Montenegro",186,7451.21794618,164.171145057068,251542,621081,30500,433357227.157166
"Croatia",187,55557.9442764,2585.69553464882,1509300,4267000,311300,4964030044.52777
"Slovenia",188,189.300524895,27.9440246905648,261658,2058152,105100,725163754.669237
"Lithuania",189,6220.50912068,165.917646600228,395203,2985509,57200,275205010.937833
"Qatar",190,31768.8508438,500.372692115425,767590,2050514,86300,5206699056.91939
"Iran",191,164513.604046,2471.29968357182,2940330,76424443,1184000,861079559.716255
"Iraq",192,625.71230682,71.6065632695722,447473,32578209,406600,122601705.882604
"Guinea Bissau",193,105164.775763,1221.67782944063,1079780,1663558,,5308.16529390619
"Guinea",194,109218.136896,575.472258471318,1663040,11451273,91100,43713484.0816388
"Ivory Coast",195,173946.934918,440.991639647975,6475860,19839750,211300,413232967.149284
"Nigeria",196,180851.34172,778.066437477913,22043700,168833776,1836800,1273787403.77162
"Cameroon",197,14756.5522359,491.640184399624,1749800,21699631,230400,129019705.450291
"Gabon",198,192272.261841,883.729780839111,547392,1632572,9700,154235353.785315
"Democratic Republic of the Congo",199,820.77261246,48.9020432084883,142883,65705093,293200,1026416.26273933
"Angola",200,502149.992912,1648.69745674332,4009640,20820525,149300,903012866.390257
"Tanzania",202,241208.179911,1737.7690354445,6871720,47783107,1196200,623419197.081512
"India",203,1626985.17013,6588.67707157222,148865000,1236686732,35438500,13628028565.281
"Bangladesh",204,83075.4003626,1364.01770520819,31324900,154695368,2846400,1191677804.47053
"Myanmar",205,508592.824023,4563.60853227786,15131500,52797319,823600,599845410.711101
"Malaysia",206,445871.540222,5163.53181235342,22254000,29239927,1857400,38312137578.1821
"Vietnam",207,643166.155479,3738.38655313462,40760300,88775500,4071300,6805818349.65728
"Singapore",208,577.726968105,104.790092589618,4968980,5312400,295600,29668525830.1333
"China",209,875263.560274,13717.023119981,218966000,1350695000,64412300,137818102886.292
"Japan",210,4026435.40247,15917.615064363,103863000,127561489,4496800,276748998947.48
"Kiribati",212,1048512.24838,496.879689029105,132014,100786,5700,4e+07
"Antarctica",213,10294666.2909,70549.0565851886,0,0,,
"Egypt",214,233517.501997,2759.47243819327,17733200,80721874,2847800,6942632669.8015
"Jordan",215,86.9525857911,21.8312692895037,1054210,6318000,267900,1140475680.59512
"Indonesia",216,5879312.44821,56160.5036218625,169934000,246864191,9227500,55650615993.9576
"Canada",218,5725121.15445,163643.701591034,6315110,34880491,960300,14818211505.6809
"Saint Pierre and Miquelon",219,12351.76202,107.409844904358,6372.81,5774,1,0
"Sint Maarten",220,501.526189423,13.9720123452824,25892.8,39088,23600,1359954932.46009
"Northern Saint-Martin",221,5345.22675692,48.0287924369082,59543.5,30959,0,211128.3025
"Sweden",222,156586.707407,6782.53874286302,6034730,9516617,558400,36280225156.6917
"Norway",223,1739236.90715,27009.646364974,4019550,5018869,222000,25874276027.1288
"Chile",224,3588532.01729,31957.4852367471,5577400,17464814,1276000,15516610208.3881
"Jersey",227,2965.30239762,45.4090401221677,89865.4,97857,,
"Guernsey",228,8681.90213125,52.3950462948089,58177.2,65345,,
"East Timor",231,39669.7209554,576.345509242898,617331,1210233,3926.524,65.8019563175025
"Bosnia and Herzegovina",232,9.46355858358,10.4790092589618,450134,3833916,113900,195719827.455792
"Oecussi Ambeno",237,2241.10502043,45.4090401221677,44330.1,57469,,
"Curacao",244,30359.0874494,116.14235262016,205828,151892,23600,2.053e+09
"Bonaire",245,13203.0393803,91.6913310159156,15808.3,16541,23600,1962060328.87975
"Brunei",247,25382.4841522,155.438637341267,375164,412238,15100,1026555028.89108
"Saba",248,9418.91298786,9.60575848738164,1967.42,1991,23600,2028685715.72074
"Sint Eustatius",249,2236.78038245,15.7185138884427,4391.27,3791,23600,2.053e+09
"Aruba",250,25192.6085403,55.8880493811295,152599,102384,42300,2.172e+09
