Site_name,latitude_dd,longitude_dd
Waddington Bay,-65.26666667,-64.08333333
Walker Bay (by Hannah Point),-62.63333333,-60.7
Waterboat Point/Gonzalez Videla Station,-64.81666667,-62.85
Weddell Sea,-72,-45
Whalers Bay,-62.98333333,-60.56666667
Wiggins Glacier,-65.23333333,-64.05
Wilhelmina Bay,-64.63333333,-62.16666667
Winter Island,-65.25,-64.26666667
Yalour Islands,-65.23333333,-64.16666667
Yankee Harbor,-62.53333333,-59.78333333
Alcock Island,-64.23333333,-61.13333333
Amery Ice Shelf,-69.75,71
Artigas station,-62.18455,-58.90245
"Astrolabe Glacier Area, or Vicinity",-66.75,139.9166667
Beascochea Bay,-65.5,-64
Bennett Islands,-66.93333333,-67.66666667
Blaiklock Island,-67.55,-67.06666667
Boyd Strait,-62.83333333,-62
Brabant Island,-64.25,-62.33333333
Butler Passage,-64.96666667,-63.73333333
Campbell Glacier/Gondwana Area,-74.41666667,164.3666667
Cape Darnley,-67.71666667,69.5
Cape Denison,-67,142.6666667
Cape Jules,-66.73333333,140.9166667
Chiriguano Bay,-64.46666667,-62.51666667
Cockburn Island,-64.2,-56.85
Coronation Island,-60.61666667,-45.58333333
Crystal Hill,-63.65,-57.73333333
Davis Station,-68.57593333,77.96951667
Dumont D'Urville Station,-66.66283333,140.0013333
Eckener Point,-64.43333333,-61.6
Edgell Bay,-62.26666667,-58.98333333
Extension Reef,-65.96666667,-66.13333333
Fast Ice,-65.9,-65.16666667
Galindez Is -Penola Strait,-65.25,-64.25
Harry Island,-64.13333333,-61.98333333
Herbert Sound,-63.91666667,-57.66666667
Heroina Island,-63.4,-54.6
Heywood Island,-62.33333333,-59.68333333
James Ross Island,-64.16666667,-57.75
Jonassen Island,-63.55,-56.66666667
Larrouy Island,-65.86666667,-65.25
Lion Sound,-64.66666667,-63.15
"Marguerite Bay, The Gullet",-68.5,-68.5
Martel Inlet,-62.08333333,-58.36666667
Mendel/Czech Station,-63.80063333,-57.8826
Mount Mill,-65.25,-64.05
North Point,-60.68333333,-45.63333333
Ohridski (Bulgarian Station),-62.64071667,-60.36523333
Penguin Point,-60.51666667,-45.93333333
Possession Island,-71.86666667,171.2
Primero de Mayo Bay,-62.96666667,-60.7
Prince Gustav Channel,-63.83333333,-58.25
Renaud Island,-65.66666667,-66
Rothera Station,-67.56863333,-68.12438333
Sandefjord Bay,-60.61666667,-46.05
Selvick Cove,-64.65,-62.56666667
Seymour Island,-64.28333333,-56.75
Shackleton Ice Shelf,-66,100
Shingle Cove,-60.65,-45.56666667
Signy Island Station,-60.70828333,-45.59538333
Snow Hill - Nordenskjolds Hut,-60.7,-45.63333333
Snow Hill Island,-64.46666667,-57.2
South Orkney Islands,-60.58333333,-45.5
Terra Firma Islands,-68.7,-67.53333333
Trinity Island-Mikkelsen Hrbr,-54,-38.16666667
Wauwermans Islands,-64.91666667,-63.88333333
Wyatt Earp,-77.56666667,-86.41666667
Yelcho Point,-61.05,-55.36666667
Admiralty Sound,-64.33333333,-57.16666667
Atka Bay Rookery,-70.58333333,-7.85
Cape Herschel,-64.06666667,-61.03333333
Cape Washington,-74.65,165.4166667
Casabianca Island,-64.81666667,-63.51666667
D'Urville Monument,-63.41666667,-56.3
Dannebrog Islands,-65.05,-64.13333333
False Island Point,-63.91666667,-57.33333333
French Passage,-65.16666667,-64.33333333
"Haddon Bay, Joinville Isl",-63.3,-55.73333333
Laurie Island,-60.73333333,-44.61666667
Liard Island,-66.85,-67.41666667
Mikkelsen Harbor,-63.9,-60.78333333
Monroe Island,-60.6,-46.05
Mutton Cove,-66,-65.65
Peter Oy Island,-68.78333333,-90.58333333
Phantom Coast,-66.41666667,-65.68333333
Pourquoi-Pas Island,-67.68333333,-67.46666667
Riiser Larsen,-68.91666667,34
Rosenthal Islands,-64.6,-64.3
Sally Rocks,-62.7,-60.43333333
Siple Island,-73.65,-125
Snow Hill Emperor Rookery,-64.51666667,-57.45
"Sorge Island, Gullet",-67.18333333,-67.71666667
Steinheil point,-64.85,-62.68333333
Straggle Islands,-65.88333333,-65.1
Tay Head,-63.35,-55.56666667
Terra Nova Bay,-74.83333333,164.5
Two Hummock Island,-64.13333333,-61.7
Cape Valentine,-61.1,-54.65
Carvajal Station,-67.76131667,-68.91481667
Cobalescou Island,-64.18333333,-61.65
Duseberg Buttress,-65.16666667,-64.1
Edwards Point,-62.48333333,-59.5
Greenwich Island,-62.51666667,-59.78333333
King Sejong Station,-62.22323333,-58.7865
Mertz Glacier Tongue,-67.16666667,145.5
Novolazarevskaya,-70.77693333,11.82366667
Patriot Hills,-80.33333333,-81.41666667
Peon Peak,-64.75,-62.65
Potter Cove,-62.23333333,-58.7
Watkins Island,-66.36666667,-67.1
Webb Island,-67.45,-67.93333333
Audrey Island,-68.13333333,-67.11666667
Campbell Island,-52.54,169.145
Cape Colbeck,-77.11666667,-157.9
Cape Decouverte,-66.76666667,141.55
Cape Gray,-66.85,143.3666667
Cape Lachman,-63.78333333,-57.78333333
Cape Mergerie,-66.81666667,141.4
Covey Rocks,-67.55,67.71666667
Decepcion Base Research Station,-62.97676667,-60.7007
Dion Islands (ASPA),-67.86666667,-68.71666667
Dogs Leg Fjord,-67.71666667,-66.86666667
Drygalski Ice Tongue,-75.4,163.5
Dundee Island,-63.5,-55.91666667
Ferraz Station,-62.08461667,-58.39256667
Gand Island,-64.4,-62.85
Harrison Passage,-65.88333333,-65.18333333
John Beach,-62.65,-60.76666667
Lavoisier,-65.86666667,-65.25
Lister Cove,-62.5,-60.08333333
Mount Double,-64.68333333,-62.58
Port Martin,-66.81666667,141.4
Ross Sea,-75,-175
Terra Nova Station,-74.6948,164.1132667
Vortex Island,-63.73333333,-57.63333333
ZigZag Island,-63.6,-59.86666667
Amanda Bay,-69.25,76.83333333
Auguste Island,-64.05,-61.61666667
Auster Rookery,-67.38333333,64.03333333
Beneden Head,-64.76666667,-62.7
Bob Island,-64.93333333,-63.43333333
Camp Point,-67.96666667,-67.31666667
Clear Island,-64.91666667,-63.73333333
Davis Islands,-66.66666667,108.4166667
Dobrowolski Island,-64.6,-62.91666667
Gaston Islands,-64.46666667,-61.83333333
Iceberg Point,-64.63333333,-63.1
Intercurrence Island,-63.91666667,-61.4
Louise Island,-64.6,-62.38333333
Moreno Rock,-64.08333333,-61.3
Moureaux Islands,-65.08333333,-63.13333333
Murray Monolith,-67.78333333,66.9
Neyt Point,-63.96666667,-61.8
President Head,-62.73333333,-61.2
Sophie Rocks,-64.73333333,-62.25
Truant Island,-64.91666667,-63.41666667
Wylie Bay,-64.73333333,-64.16666667
Balleny Islands,-66.93333333,-163.3166667
Bancroft Bay,-64.566667,-61.866667
Bay of Whales,-78.66666667,-164.4
Betbeder Islands,-65.436581,-65.525104
Borgen Bay,-63.75,-63.5
Brabazon Point,-64.4,-61.26667
Cape Kinnes,-63.75,-63.5
Challenger Island,-64.35,-61.58333333
Charles Point,-64.233333,-61
Eagle Island,-63.63333333,-57.4
Elephant Point,-61.16666667,-55.23333333
Flounder Island,-66.01666667,-65.4
Forge Islands,-65.23333333,-64.28333333
Gondwana Station,-74.63333333,164.2166667
Hardy Cove,-62.53333333,-59.58333333
Hoodwink Island,-67.016667,-66.866667
Humps Island,-67.599394,62.880571
Hut Point,-77.845415,166.640936
Lallemand Fjord,-67.08333,-66.75
Lippman Islands,-65.5,-64.43333333
Mist Rocks,-66.8,-66.616667
Pl�neau Island,-65.1,-64.06666667
Rush Glacier,-64.382769,-62.619119
Salvesen Cove,-64.401117,-61.344729
"Shmidt Point, Arrowsmith Peninsula",-66.916667,-67.03333
Spring Point,-66.3,-61.05
Steinheil Point,-64.85,-62.68333333
Tetra Rocks,-63.90166667,-60.735
Triangle Point,-62.533333,-59.85
Vieugue Island,-65.666667,-65.216667
Zhongshan Station,-69.426706,76.381245
Access Point,-64.83333,-63.783333
Aitcho Islands - Barrientos Island,-62.4,-59.78333333
Aitcho Islands - Other,-62.4,-59.78333333
Almirante Brown Station,-64.9,-62.86666667
Alvaro Cove,-64.85,-63.01666667
Amsler Island,-64.763845,-64.084779
Arrowsmith Peninsula,-67.25,-67.25
Artigas Station,-62.183727,-58.902004
Bourgeois Fjord,-67.66667,-67.083333
Boutan Rocks,-64.9,-63.1666667
Bryde Island,-64.874226,-63.009338
Buls Bay,-64.383333,-62.316667
Chutney Cove,,
Danger Islands,-63.41666667,-54.66666667
Dee Island,-62.422421,-59.781646
Dream Island,-64.729933,-64.248846
Duchaylard Island,-65.813564,-65.649774
Fanfare Island,-65.216668,-64.183333
Foyn Harbor,-64.55,-62.016667
Galindez Island,-65.25,-64.23333333
Grandidier Channel,-65.583333,-64.75
Guyou Islands,-65.05,-63.4
Hook Island,-65.633333,-65.1666667
Jang Bogo Station,-74.6153,164.2008
Laktionov Island,-65.766667,-65.766667
Lippmann Islands,-63.5,-64.43333333
Lockley Point,-64.783333,-63.383333
Lystad Bay,-67.833333,-67.283333
Mario Zucchelli Station,-74.6936,164.1117
Martin Islands,-66.733333,57
"Maxwell Bay, King George Island",-62.25,-58.85
McMurdo Sound,-77.600659,165.466919
Novolazarevskaya Station,-70.81666667,-11.61666667
Orcadas Station,-60.75,-44.73333333
Paradise Harbor,-64.85,-62.9
Pleneau Island,-65.1,-64.06666667
Pourquoi Pas Island,-67.683333,-67.466667
Refugio Gabriel de Castilla,-62.983333,-60.683333
Roman Four Promontory,-68.216667,-66.933333
Sable Pinnacles,-64.6667,-62.5667
Screen Islands,-65.01666667,-63.71666667
Security Bay,-65.85,-63.61666667
Stony Point,,
Trinity Island,-63.75,-60.733333
Vega Island,-63.833333,-57.416667
Wiencke Island,-64.833333,-63.416667
