"rgn_id","r2_label","v_label","r2_order"
115,"Caribbean","Dominican Republic","110"
125,"Caribbean","Grenada","110"
140,"Caribbean","Guadeloupe + Martinique","110"
114,"Caribbean","Haiti","110"
166,"Caribbean","Jamaica","110"
121,"Caribbean","Montserrat","110"
221,"Caribbean","Northern Saint-Martin","110"
116,"Caribbean","Puerto Rico + U.S. Virgin Islands","110"
248,"Caribbean","Saba","110"
119,"Caribbean","Saint Kitts and Nevis","110"
122,"Caribbean","Saint Lucia","110"
249,"Caribbean","Sint Eustatius","110"
220,"Caribbean","Sint Maarten","110"
127,"Caribbean","St. Vincent + the Grenadines","110"
126,"Caribbean","Trinidad + Tobago","110"
111,"Caribbean","Turks + Caicos Islands","110"
92,"Southern Islands","Amsterdam Island + St. Paul Island","201"
105,"Southern Islands","Bouvet Island","201"
91,"Southern Islands","Crozet Islands","201"
94,"Southern Islands","Heard + McDonald Islands","201"
93,"Southern Islands","Kerguelen Islands","201"
90,"Southern Islands","Prince Edward Islands","201"
89,"Southern Islands","S. Georgia + S. Sandwich Islands","201"
101,"Southern Africa","Namibia","202"
102,"Southern Africa","South Africa","202"
200,"Middle Africa","Angola","203"
197,"Middle Africa","Cameroon","203"
199,"Middle Africa","Dem. Rep. of the Congo","203"
104,"Middle Africa","Equatorial Guinea","203"
198,"Middle Africa","Gabon","203"
100,"Middle Africa","Republique du Congo","203"
103,"Middle Africa","Sao Tome + Principe","203"
34,"Eastern Africa","Bassas da India","204"
28,"Eastern Africa","Comoro Islands","204"
46,"Eastern Africa","Djibouti","204"
45,"Eastern Africa","Eritrea","204"
30,"Eastern Africa","Glorioso Islands","204"
35,"Eastern Africa","Ile Europa","204"
36,"Eastern Africa","Ile Tromelin","204"
33,"Eastern Africa","Juan de Nova Island","204"
43,"Eastern Africa","Kenya","204"
42,"Eastern Africa","Madagascar","204"
37,"Eastern Africa","Mauritius","204"
29,"Eastern Africa","Mayotte","204"
41,"Eastern Africa","Mozambique","204"
32,"Eastern Africa","Réunion","204"
31,"Eastern Africa","Seychelles","204"
44,"Eastern Africa","Somalia","204"
202,"Eastern Africa","Tanzania","204"
99,"Western Africa","Benin","205"
56,"Western Africa","Cape Verde","205"
65,"Western Africa","Gambia","205"
106,"Western Africa","Ghana","205"
194,"Western Africa","Guinea","205"
193,"Western Africa","Guinea Bissau","205"
195,"Western Africa","Ivory Coast","205"
97,"Western Africa","Liberia","205"
64,"Western Africa","Mauritania","205"
196,"Western Africa","Nigeria","205"
66,"Western Africa","Senegal","205"
96,"Western Africa","Sierra Leone","205"
98,"Western Africa","Togo","205"
84,"Northern Africa","Algeria","206"
214,"Northern Africa","Egypt","206"
67,"Northern Africa","Libya","206"
62,"Northern Africa","Morocco","206"
49,"Northern Africa","Sudan","206"
61,"Northern Africa","Tunisia","206"
63,"Northern Africa","Western Sahara","206"
82,"Southern Europe","Albania","207"
55,"Southern Europe","Azores","207"
232,"Southern Europe","Bosnia + Herzegovina","207"
58,"Southern Europe","Canary Islands","207"
187,"Southern Europe","Croatia","207"
60,"Southern Europe","Gibraltar","207"
80,"Southern Europe","Greece","207"
184,"Southern Europe","Italy","207"
57,"Southern Europe","Madeira","207"
68,"Southern Europe","Malta","207"
186,"Southern Europe","Montenegro","207"
183,"Southern Europe","Portugal","207"
188,"Southern Europe","Slovenia","207"
182,"Southern Europe","Spain","207"
71,"Eastern Europe","Bulgaria","208"
178,"Eastern Europe","Poland","208"
72,"Eastern Europe","Romania","208"
73,"Eastern Europe","Russia","208"
75,"Eastern Europe","Ukraine","208"
59,"Western Europe","Belgium","209"
179,"Western Europe","France","209"
176,"Western Europe","Germany","209"
185,"Western Europe","Monaco","209"
177,"Western Europe","Netherlands","209"
85,"Northern Europe","Ascension","210"
175,"Northern Europe","Denmark","210"
70,"Northern Europe","Estonia","210"
141,"Northern Europe","Faeroe Islands","210"
95,"Northern Europe","Falkland Islands","210"
174,"Northern Europe","Finland","210"
145,"Northern Europe","Greenland","210"
228,"Northern Europe","Guernsey","210"
143,"Northern Europe","Iceland","210"
181,"Northern Europe","Ireland","210"
144,"Northern Europe","Jan Mayen","210"
227,"Northern Europe","Jersey","210"
69,"Northern Europe","Latvia","210"
189,"Northern Europe","Lithuania","210"
223,"Northern Europe","Norway","210"
86,"Northern Europe","Saint Helena","210"
222,"Northern Europe","Sweden","210"
88,"Northern Europe","Tristan da Cunha","210"
180,"Northern Europe","United Kingdom","210"
172,"South America","Argentina","211"
171,"South America","Brazil","211"
224,"South America","Chile","211"
132,"South America","Colombia","211"
137,"South America","Ecuador","211"
169,"South America","French Guiana","211"
167,"South America","Guyana","211"
138,"South America","Peru","211"
168,"South America","Suriname","211"
173,"South America","Uruguay","211"
139,"South America","Venezuela","211"
218,"Northern America","Canada","212"
219,"Northern America","Saint Pierre + Miquelon","212"
163,"Northern America","United States","212"
