Common.name,Scientific name,TaxonName,rfmo,TL,Taxonkey
squid,Martialia hyadesi,Martialia hyadesi,ccamlr,6,690354
Squid,Sevenstar flying squid,Martialia hyadesi,seafo,6,690354
Squid,Sevenstar flying squid,Martialia hyadesi,sprfmo,6,690354
pink spiny lobster,Palinurus mauritanicus,Palinurus mauritanicus,gfcm,6,690305
Squid,Patagonian squid,Loligo gahi,seafo,6,690296
Squid,Patagonian squid,Loligo gahi,sprfmo,6,690296
norway lobster,Nephrops norvegicus,Nephrops norvegicus,gfcm,6,690273
shortfinned squid,Illex illecebrosus,Illex illecebrosus,nafo,6,690271
Squid,Northern shortfin squid,Illex illecebrosus,seafo,6,690271
Squid,Northern shortfin squid,Illex illecebrosus,sprfmo,6,690271
Squid,Longfin squid,Loligo pealeii,seafo,6,690227
Squid,Longfin squid,Loligo pealeii,sprfmo,6,690227
Squid,Jumbo flying squid,Dosidicus gigas,seafo,6,690206
Squid,Jumbo flying squid,Dosidicus gigas,sprfmo,6,690206
Squid,Japanese flying squid,Todarodes pacificus,seafo,6,690198
Squid,Japanese flying squid,Todarodes pacificus,sprfmo,6,690198
Great Mediterranean scallop,Pecten jacobaeus,Pecten jacobaeus,gfcm,6,690157
Squid,European flying squid,Todarodes sagittatus,seafo,6,690124
Squid,European flying squid,Todarodes sagittatus,sprfmo,6,690124
deepwater rose shrimp,Parapenaeus longirostris,Parapenaeus longirostris,gfcm,6,690109
common spiny lobster,Palinurus elephas,Palinurus elephas,gfcm,6,690092
common octopus,Octopus vulgaris,Octopus vulgaris,gfcm,6,690088
common cuttlefish,Sepia officinalis,Sepia officinalis,gfcm,6,690085
Squid,Common cuttlefish,Sepia officinalis,seafo,6,690085
Squid,Common cuttlefish,Sepia officinalis,sprfmo,6,690085
European squid,Loligo vulgaris,Loligo vulgaris,gfcm,6,690067
Squid,Cape Hope squid,Loligo vulgaris,seafo,6,690067
Squid,Cape Hope squid,Loligo vulgaris,sprfmo,6,690067
Squid,Broadtail shortfin squid,Illex coindetii,seafo,6,690059
Squid,Broadtail shortfin squid,Illex coindetii,sprfmo,6,690059
blue and red shrimp,Aristeus antennatus,Aristeus antennatus,gfcm,6,690051
Squid,Argentine shortfin squid,Illex argentinus,seafo,6,690023
Squid,Argentine shortfin squid,Illex argentinus,sprfmo,6,690023
Antarctic krill,Euphausia superba,Euphausia superba,ccamlr,6,690016
Squid,Angolan flying squid,Todarodes angolensis,seafo,6,690014
Squid,Angolan flying squid,Todarodes angolensis,sprfmo,6,690014
"Marlins, sailfishes, spearfishes, nei",Histiophryne bougainvilli,Histiophryne bougainvilli,iattc,6,624733
Pacific bluefin Tuna,Thunnus orientalis,Thunnus orientalis,iattc,6,614290
Tunas nei,Pacific bluefin tuna,Thunnus orientalis,iattc,6,614290
"Marlins, sailfishes, spearfishes, nei",Cryptic anglerfish,Histiophryne cryptacanthus,iattc,6,614043
Antarctic rockcod,Trematomus eulepidotus,Trematomus eulepidotus,ccamlr,6,607054
Antartic toothfish,Dissostichus mawsoni,Dissostichus mawsoni,ccamlr,6,607039
Carangids nei,Brassy trevally,Caranx papuensis,iattc,6,606360
Jack/horse mackerels,Cape horse mackerel,Trachurus capensis,sprfmo,6,605382
blackbellied angler,Lophius budegassa,Lophius budegassa,gfcm,6,605094
Bonitos nei,Pacific bonito,Sarda chiliensis lineolata,iattc,6,604796
Carangids nei,Malabar trevally,Carangoides malabaricus,iattc,6,604443
American Plaice,Hippoglossoides platessoides,Hippoglossoides platessoides,nafo,6,604239
Shortbill spearfish,Tetrapturus angustirostris,Tetrapturus angustirostris,iattc,6,603915
Armourhead,Pseudopentaceros richardsoni,Pseudopentaceros richardsoni,seafo,6,603611
bigeye thresher,Alopias superciliosus,Alopias superciliosus,iotc,6,602534
Cardinal fish,Black cardinal fish,Epigonus telescopus,seafo,6,602508
Carangids nei,Indian pompano,Trachinotus mookalee,iattc,6,601964
Carangids nei,Snubnose pompano,Trachinotus blochii,iattc,6,601963
Carangids nei,Blue runner,Caranx crysos,iattc,6,601933
Carangids nei,Yellowspotted trevally,Carangoides fulvoguttatus,iattc,6,601926
Carangids nei,Orangespotted trevally,Carangoides bajad,iattc,6,601923
Carangids nei,Bar jack,Caranx ruber,iattc,6,601918
Carangids nei,Bigeye trevally,Caranx sexfasciatus,iattc,6,601917
Carangids nei,Island trevally,Carangoides orthogrammus,iattc,6,601909
Carangids nei,Bluefin trevally,Caranx melampygus,iattc,6,601906
Carangids nei,False scad,Caranx rhonchus,iattc,6,601899
Carangids nei,Giant trevally,Caranx ignobilis,iattc,6,601895
Carangids nei,Alexandria pompano,Alectis alexandrina,iattc,6,601888
Carangids nei,Pompano,Trachinotus ovatus,iattc,6,601773
blue ling,Molva dypterygia,Molva dypterygia,neafc,6,601383
haddock,Melanogrammus aeglefinus,Melanogrammus aeglefinus,neafc,6,601381
Atlantic horse mackerel,Trachurus trachurus,Trachurus trachurus,gfcm,6,601365
Jack/horse mackerels,Atlantic horse mackerel,Trachurus trachurus,sprfmo,6,601365
european sprat,Sprattus sprattus,Sprattus sprattus,gfcm,6,601357
european pilchard (sardine),Sardina pilchardus,Sardina pilchardus,gfcm,6,601350
turbot,Psetta maxima,Scophthalmus maximus,gfcm,6,601348
striped red mullet,Mullus surmuletus,Mullus surmuletus,gfcm,6,601327
Alfonsino,Beryx splendens,Beryx splendens,seafo,6,601320
Jack/horse mackerels,Blue jack mackerel,Trachurus picturatus,sprfmo,6,601279
mediterranean horse macerel,Trachurus mediterraneus,Trachurus mediterraneus,gfcm,6,601278
Jack/horse mackerels,Mediterranean horse mackerel,Trachurus mediterraneus,sprfmo,6,601278
round sardinella,Sardinella aurita,Sardinella aurita,gfcm,6,601043
Carangids nei,White trevally,Pseudocaranx dentex,iattc,6,601002
scalloped hammerhead,Sphyrna lewini,Sphyrna lewini,iotc,6,600912
Pelagic Sharks,Prionace glauca,Prionace glauca,iccat,6,600898
blue shark,Prionace glauca,Prionace glauca,wcpfc,6,600898
blue shark,Prionace glauca,Prionace glauca,iotc,6,600898
blue shark,Prionace glauca,Prionace glauca,gfcm,6,600898
common pandora,Pagellus erythrinus,Pagellus erythrinus,gfcm,6,600893
blackspot (=red) seabream,Pagellus bogaraveo,Pagellus bogaraveo,gfcm,6,600890
oceanic whitetip shark,Carcharhinus longimanus,Carcharhinus longimanus,wcpfc,6,600875
oceanic whitetip ,Carcharhinus longimanus,Carcharhinus longimanus,iotc,6,600875
silky shark,Carcharhinus falciformis,Carcharhinus falciformis,wcpfc,6,600868
silky shark,Carcharhinus falciformis,Carcharhinus falciformis,iotc,6,600868
mako sharks,Isurus paucus,Longfin mako,wcpfc,6,600753
Pelagic Sharks,Isurus oxyrinchus,Isurus oxyrinchus,iccat,6,600752
shortfin mako,Isurus oxyrinchus,Isurus oxyrinchus,iotc,6,600752
Shortfin mako,Isurus oxyrinchus,Isurus oxyrinchus,gfcm,6,600752
mako sharks,Isurus oxyrinchus,Shortfin mako,wcpfc,6,600752
angelshark,Squatina squatina,Squatina squatina,gfcm,6,600736
Angler (=monk),Lophius piscatorius,Lophius piscatorius,gfcm,6,600716
black scabbardfish,Aphanopus carbo,Aphanopus carbo,neafc,6,600646
common sole,Solea solea,Solea solea,gfcm,6,600525
Yellowtail flounder,Limanda ferruginea,Limanda ferruginea,nafo,6,600521
Greenland halibut,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,nafo,6,600516
Redfish,Sebastes mentella,Sebastes mentella,neafc,6,600505
Carangids nei,Pacific pompano,Peprilus simillimus,iattc,6,600493
spiny icefish,Chaenodraco wilosni,Chaenodraco wilsoni,ccamlr,6,600478
mackerel icefish,Champsocephalus gunnari,Champsocephalus gunnari,ccamlr,6,600474
Antarctic silverfish,Pleuragramma antarcticum,Pleuragramma antarctica,ccamlr,6,600472
Patagonia toothfish,Dissostichus eleginoides,Dissostichus eleginoides,ccamlr,6,600467
Patagonian Toothfish,Dissostichus eleginoides,Dissostichus eleginoides,seafo,6,600467
Carangids nei,Florida pompano,Trachinotus carolinus,iattc,6,600380
Jack/horse mackerels,Greenback horse mackerel,Trachurus declivis,sprfmo,6,600372
Jack/horse mackerels,Cunene horse mackerel,Trachurus trecae,sprfmo,6,600371
Jack/horse mackerels,Rough scad,Trachurus lathami,sprfmo,6,600369
Jack/horse mackerels,Pacific jack mackerel,Trachurus symmetricus,sprfmo,6,600368
Jack/horse mackerels,Chilean jack mackerel,Trachurus murphyi,sprfmo,6,600367
Jack/horse mackerels,Japanese jack mackerel,Trachurus japonicus,sprfmo,6,600366
bluefsih,Pomatomus saltatrix,Pomatomus saltatrix,gfcm,6,600364
wreckfish,Polyprion americanus,Polyprion americanus,seafo,6,600349
orange roughy,Hoplostethus atlanticus,Hoplostethus atlanticus,neafc,6,600334
orange roughy,Hoplostethus athlanticus,Hoplostethus atlanticus,seafo,6,600334
Orange Roughy,Hoplostethus atlanticus,Hoplostethus atlanticus,sprfmo,6,600334
Walleye pollock,Theragra chalcogramma,Theragra chalcogramma,ccbsp,6,600318
White hake,Urophycis tenuis,Urophycis tenuis,nafo,6,600313
capelin,Mallotus villosus,Mallotus villosus,nafo,6,600252
coho salmon,Oncorhynchus kisutch,Oncorhynchus kisutch,npafc,6,600245
chinook salmon,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,npafc,6,600244
sockeye salmon,Oncorhynchus nerka,Oncorhynchus nerka,npafc,6,600243
cheery salmon ,Oncorhynchus masou,Oncorhynchus masou masou,npafc,6,600242
Chum salmon,Oncorhynchus keta,Oncorhynchus keta,npafc,6,600241
pink salmon,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,npafc,6,600240
steelhead trout,Oncorhynchus mykiss,Oncorhynchus mykiss,npafc,6,600239
Atlantic Salmon,Salmo salar L,Salmo salar,nasco,6,600236
swordfish Atl.,Xiphias gladius,Xiphias gladius,iccat,6,600226
swordfish Med,Xiphias gladius,Xiphias gladius,iccat,6,600226
Swordfish,Xiphias gladius,Xiphias gladius,iattc,6,600226
swordfish,Xiphias gladius,Xiphias gladius,wcpfc,6,600226
swordfish,Xiphias gladius,Xiphias gladius,iotc,6,600226
swordfish,Xiphias gladius (Med),Xiphias gladius,gfcm,6,600226
Striped Marlin,Kajikia audax,Kajikia audax,iattc,6,600223
striped marlin,Tetrapturus audax,Kajikia audax,wcpfc,6,600223
stripted marlin,Tetrapturus audax,Kajikia audax,iotc,6,600223
"Marlins, sailfishes, spearfishes, nei",Striped marlin,Kajikia audax,iattc,6,600223
spearfish,Tetrapturus pfluegeri,Tetrapturus pfluegeri,iccat,6,600220
white marlin,Tetrapturus albidus,Tetrapturus albidus,iccat,6,600219
"Marlins, sailfishes, spearfishes, nei",Atlantic white marlin,Tetrapturus albidus,iattc,6,600219
Indo-pacific blue marlin,Makaira mazara,Makaira mazara,iotc,6,600218
"Marlins, sailfishes, spearfishes, nei",Indo-Pacific blue marlin,Makaira mazara,iattc,6,600218
Black Marlin,Makaira indica,Istiompax indica,iattc,6,600217
black marlin,Makaira indica,Istiompax indica,wcpfc,6,600217
black marlin,Makaira indica,Istiompax indica,iotc,6,600217
"Marlins, sailfishes, spearfishes, nei",Black marlin,Istiompax indica,iattc,6,600217
blue marlin,Makaira nigricans,Makaira nigricans,iccat,6,600216
Blue Marlin,Makaira nigricans,Makaira nigricans,iattc,6,600216
blue marlin,Makaira nigricans,Makaira nigricans,wcpfc,6,600216
blue marlin,Makaira nigicans*,Makaira nigricans,iotc,6,600216
"Marlins, sailfishes, spearfishes, nei",Blue marlin,Makaira nigricans,iattc,6,600216
bogue,Boops boops,Boops boops,gfcm,6,600203
longtail tuna,Thunnus tonggol,Thunnus tonggol,iotc,6,600148
Tunas nei,Longtail tuna,Thunnus tonggol,iattc,6,600148
Atlantic bluefin,Thunnus thynnus thynnus,Thunnus thynnus,iccat,6,600147
atlantic bluefin tuna,Thunnus thynnus,Thunnus thynnus,gfcm,6,600147
Tunas nei,Atlantic bluefin tuna,Thunnus thynnus,iattc,6,600147
bigeye tuna,Thunnus obesus,Thunnus obesus,iccat,6,600146
Bigeye Tuna,Thunnus obesus,Thunnus obesus,iattc,6,600146
Bigeye,Thunnus obesus,Thunnus obesus,wcpfc,6,600146
bigeye tuna,Thunnus obesus,Thunnus obesus,iotc,6,600146
Tunas nei,Bigeye tuna,Thunnus obesus,iattc,6,600146
Southern bluefin tuna,Thunnus maccoyii,Thunnus maccoyii,ccsbt,6,600145
southern bluefin tuna,Thunnus maccoyii,Thunnus maccoyii,iotc,6,600145
Tunas nei,Southern bluefin tuna,Thunnus maccoyii,iattc,6,600145
Tunas nei,Blackfin tuna,Thunnus atlanticus,iattc,6,600144
yellowfin,Thunnus albacares,Thunnus albacares,iccat,6,600143
Yellowfin tuna,Thunnus albacares,Thunnus albacares,iattc,6,600143
yellowfin,Thunnus albacares,Thunnus albacares,wcpfc,6,600143
Yellowfin tuna,Thunnus albacares,Thunnus albacares,iotc,6,600143
Tunas nei,Yellowfin tuna,Thunnus albacares,iattc,6,600143
albacore,Thunnus alalunga,Thunnus alalunga,iccat,6,600142
Albacore,Thunnus alalunga,Thunnus alalunga,iattc,6,600142
albacore,Thunnus alalunga,Thunnus alalunga,wcpfc,6,600142
albacore tuna,Thunnus alalunga,Thunnus alalunga,iotc,6,600142
albacore,Thunnus alalunga,Thunnus alalunga,gfcm,6,600142
Tunas nei,Albacore,Thunnus alalunga,iattc,6,600142
spotted Spanish mackerel (sm. Tuna),Scomberomorus maculatus,Scomberomorus maculatus,iccat,6,600126
indo-pacific king mackerel,Scombermorus guttatus,Scomberomorus guttatus,iotc,6,600123
narrow barred spanish mackerel,Scomberomorus commersoni,Scomberomorus commerson,iotc,6,600121
king mackerel (sm. Tuna),Scomberomorus cavalla,Scomberomorus cavalla,iccat,6,600120
atlantic mackerel,Scomber scombrus,Scomber scombrus,gfcm,6,600118
mackerel ,Scomber scombrus,Scomber scombrus,neafc,6,600118
atlantic bonito (sm. Tuna),Sarda sarda,Sarda sarda,iccat,6,600115
atlantic bonito,Sarda sarda,Sarda sarda,gfcm,6,600115
Bonitos nei,Atlantic bonito,Sarda sarda,iattc,6,600115
Bonitos nei,Striped bonito,Sarda orientalis,iattc,6,600114
Bonitos nei,Eastern Pacific bonito,Sarda chiliensis chiliensis,iattc,6,600113
plain bonito,Orcynopsis unicolor,Orcynopsis unicolor,gfcm,6,600108
Bonitos nei,Plain bonito,Orcynopsis unicolor,iattc,6,600108
skipjack,Katsuwonus pelamis,Katsuwonus pelamis,iccat,6,600107
Skipjack tuna,Katsuwonus pelamis,Katsuwonus pelamis,iattc,6,600107
Skipjack,Katsuwonus pelamis,Katsuwonus pelamis,wcpfc,6,600107
skipjack,Katsuwonus pelamis,Katsuwonus pelamis,iotc,6,600107
Skipjack tuna,Katsuwonus pelamis,Katsuwonus pelamis,gfcm,6,600107
Tunas nei,Skipjack tuna,Katsuwonus pelamis,iattc,6,600107
Bonitos nei,Dogtooth tuna,Gymnosarda unicolor,iattc,6,600106
Tunas nei,Dogtooth tuna,Gymnosarda unicolor,iattc,6,600106
Black skipjack,Euthynnus lineatus,Euthynnus lineatus,iattc,6,600098
Tunas nei,Black skipjack,Euthynnus lineatus,iattc,6,600098
black skipjack,Euthynnus alletteratus,Euthynnus alletteratus,iccat,6,600097
little tunny (=Atl. Black skipj),Euthynnus alletteratus,Euthynnus alletteratus,gfcm,6,600097
Tunas nei,Little tunny,Euthynnus alletteratus,iattc,6,600097
kawakawa,Euthynnus affinis,Euthynnus affinis,iotc,6,600096
Tunas nei,Kawakawa,Euthynnus affinis,iattc,6,600096
frigate tuna (sm. Tuna),Auxis thazard,Auxis thazard thazard,iccat,6,600094
frigate tuna,Auxis thazard,Auxis thazard thazard,iotc,6,600094
Tunas nei,Frigate tuna,Auxis thazard thazard,iattc,6,600094
bullet tuna,Auxis rochei,Auxis rochei rochei,iotc,6,600093
bullet tuna,Auxis rochei,Auxis rochei rochei,gfcm,6,600093
Tunas nei,Bullet tuna,Auxis rochei rochei,iattc,6,600093
Pelagic Sharks,Lamna nasus,Lamna nasus,iccat,6,600088
Porbeagle,Lamna nasus,Lamna nasus,gfcm,6,600088
sailfish,Istiophorus albicans,Istiophorus albicans,iccat,6,600078
"Marlins, sailfishes, spearfishes, nei",Atlantic sailfish,Istiophorus albicans,iattc,6,600078
indo-pacific Sailfish,Istiophorus platypterus,Istiophorus platypterus,iattc,6,600077
indo-pacific sailfish,Istiophorus platypterus,Istiophorus platypterus,iotc,6,600077
"Marlins, sailfishes, spearfishes, nei",Indo-Pacific sailfish,Istiophorus platypterus,iattc,6,600077
Carangids nei,Crevalle jack,Caranx hippos,iattc,6,600071
Atlantic cod,Gadus morhua,Gadus morhua,nafo,6,600069
european anchovy,Engraulis encrasicolus,Engraulis encrasicolus,gfcm,6,600066
blue whiting (=poutasou),Micromesistius poutassou,Micromesistius poutassou,gfcm,6,600031
blue whiting,Micromesistius poutassou,Micromesistius poutassou,neafc,6,600031
European hake,Merluccius merluccius,Merluccius merluccius,gfcm,6,600030
whiting,Merlangius merlangus,Merlangius merlangus,gfcm,6,600029
Witch flounder,Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,nafo,6,600026
herring,Clupea Harengus,Clupea Harengus,neafc,6,600024
common dolphinfish,Coryphaena hippurus,Coryphaena hippurus,gfcm,6,600006
Dorado,Common dolphinfish,Coryphaena hippurus,iattc,6,600006
deep-sea red crab,Chaceon spp.,Geryon,seafo,6,590067
octopus,Octopus spp.,Octopus,seafo,6,590013
Atlantic Redfishes,Sebastes spp.,Sebastes,nafo,6,501135
