TaxonKey,TaxonName,CommonName,TargetGrpNum,Description
600239,Oncorhynchus mykiss,Rainbow trout,15,Large Benthopelagics (>=90 cm)
600241,Oncorhynchus keta,Chum salmon,15,Large Benthopelagics (>=90 cm)
600242,Oncorhynchus masou,Cherry salmon,14,Medium Benthopelagics (30 - 90 cm)
600244,Oncorhynchus tshawytscha,Chinook salmon,15,Large Benthopelagics (>=90 cm)
600247,Salvelinus alpinus,Charr,15,Large Benthopelagics (>=90 cm)
600248,Salvelinus namaycush,Lake trout,15,Large Benthopelagics (>=90 cm)
600249,Centrolophus niger,Blackfish,9,Large Bathypelagics (>=90 cm)
600257,Glossanodon semifasciatus,Deepsea smelt,13,Small Benthopelagics (<30 cm)
600260,Harpadon nehereus,Bombay duck,14,Medium Benthopelagics (30 - 90 cm)
600263,Colossoma macropomum,Tambaqui,15,Large Benthopelagics (>=90 cm)
600268,Abramis brama,Carp bream,14,Medium Benthopelagics (30 - 90 cm)
600272,Rutilus rutilus,Roach,14,Medium Benthopelagics (30 - 90 cm)
600273,Cirrhinus chinensis,Chinese mud carp,14,Medium Benthopelagics (30 - 90 cm)
600274,Hypophthalmichthys molitrix,Silver carp,15,Large Benthopelagics (>=90 cm)
600275,Aristichthys nobilis,Bighead carp,15,Large Benthopelagics (>=90 cm)
600277,Osteochilus hasseltii,Nilem carp,14,Medium Benthopelagics (30 - 90 cm)
600282,Parabramis pekinensis,White amur bream,14,Medium Benthopelagics (30 - 90 cm)
600285,Megalobrama amblycephala,Wuchang bream,15,Large Benthopelagics (>=90 cm)
600286,Barbodes gonionotus,Java barb,14,Medium Benthopelagics (30 - 90 cm)
600292,Pangasius pangasius,Pangas catfish,15,Large Benthopelagics (>=90 cm)
600318,Theragra chalcogramma,Alaska pollack,15,Large Benthopelagics (>=90 cm)
600320,Micromesistius australis,Southern blue whiting,15,Large Benthopelagics (>=90 cm)
600322,Merluccius australis,Southern hake,15,Large Benthopelagics (>=90 cm)
600324,Merluccius gayi gayi,South Pacific hake,11,Medium Bathydemersals (30 - 90 cm)
600325,Merluccius hubbsi,Argentine hake,15,Large Benthopelagics (>=90 cm)
600326,Merluccius productus,North Pacific hake,15,Large Benthopelagics (>=90 cm)
600327,Merluccius polli,Benguela hake,11,Medium Bathydemersals (30 - 90 cm)
600329,Macruronus magellanicus,Patagonian grenadier,15,Large Benthopelagics (>=90 cm)
600331,Macrourus berglax,Onion-eye grenadier,15,Large Benthopelagics (>=90 cm)
600332,Coryphaenoides rupestris,Roundnose grenadier,8,Medium Bathypelagics (30 - 90 cm)
600334,Hoplostethus atlanticus,Orange roughy,8,Medium Bathypelagics (30 - 90 cm)
600336,Zenopsis conchifer,Silvery John dory,14,Medium Benthopelagics (30 - 90 cm)
600343,Channa striata,Snakehead murrel,15,Large Benthopelagics (>=90 cm)
600344,Channa micropeltes,Giant snakehead,15,Large Benthopelagics (>=90 cm)
600349,Polyprion americanus,Wreckfish,12,Large Bathydemersals (>=90 cm)
600351,Acanthistius brasilianus,Sea bass,14,Medium Benthopelagics (30 - 90 cm)
600352,Paralabrax humeralis,Peruvian rock seabass,14,Medium Benthopelagics (30 - 90 cm)
600357,Synagrops japonicus,Japanese splitfin,11,Medium Bathydemersals (30 - 90 cm)
600359,Perca flavescens,Yellow perch,14,Medium Benthopelagics (30 - 90 cm)
600369,Trachurus lathami,Rough scad,14,Medium Benthopelagics (30 - 90 cm)
600371,Trachurus trecae,Cunene horse mackerel,14,Medium Benthopelagics (30 - 90 cm)
600372,Trachurus declivis,Greenback horse mackerel,14,Medium Benthopelagics (30 - 90 cm)
600380,Trachinotus carolinus,Florida pompano,14,Medium Benthopelagics (30 - 90 cm)
600382,Seriola lalandi,Yellowtail amberjack,15,Large Benthopelagics (>=90 cm)
600391,Brama brama,Atlantic pomfret,8,Medium Bathypelagics (30 - 90 cm)
600395,Emmelichthys nitidus,Redbait,11,Medium Bathydemersals (30 - 90 cm)
600397,Isacia conceptionis,Cabinza grunt,14,Medium Benthopelagics (30 - 90 cm)
600416,Larimichthys polyactis,Yellow croaker,14,Medium Benthopelagics (30 - 90 cm)
600418,Argyrosomus regius,Meagre,15,Large Benthopelagics (>=90 cm)
600420,Atractoscion aequidens,Geelbeck croaker,15,Large Benthopelagics (>=90 cm)
600422,Genyonemus lineatus,White croaker,14,Medium Benthopelagics (30 - 90 cm)
600423,Pteroscion peli,Boe drum,14,Medium Benthopelagics (30 - 90 cm)
600427,Nibea mitsukurii,Nibe croaker,14,Medium Benthopelagics (30 - 90 cm)
600428,Larimichthys croceus,Large yellow croaker,14,Medium Benthopelagics (30 - 90 cm)
600434,Pennahia argentata,White croaker,13,Small Benthopelagics (<30 cm)
600438,Dentex macrophthalmus,Large-eye dentex,14,Medium Benthopelagics (30 - 90 cm)
600439,Dentex dentex,Common dentex,15,Large Benthopelagics (>=90 cm)
600443,Argyrozona argyrozona,Carpenter seabream,15,Large Benthopelagics (>=90 cm)
600448,Pterogymnus laniarius,Panga seabream,14,Medium Benthopelagics (30 - 90 cm)
600449,Rhabdosargus globiceps,White stumpnose,14,Medium Benthopelagics (30 - 90 cm)
600450,Lithognathus lithognathus,White steenbras,15,Large Benthopelagics (>=90 cm)
600455,Drepane africana,African sicklefish,14,Medium Benthopelagics (30 - 90 cm)
600461,Cheilodactylus variegatus,Peruvian morwong,14,Medium Benthopelagics (30 - 90 cm)
600463,Arctoscopus japonicus,Sailfin sandfish,10,Small Bathydemersals (<30 cm)
600466,Eleginops maclovinus,Patagonian blennie,14,Medium Benthopelagics (30 - 90 cm)
600467,Dissostichus eleginoides,Patagonian toothfish,12,Large Bathydemersals (>=90 cm)
600468,Notothenia rossii,Marbled rockcod,15,Large Benthopelagics (>=90 cm)
600476,Chionodraco rastrospinosus,Ocellated icefish,14,Medium Benthopelagics (30 - 90 cm)
600478,Chaenodraco wilsoni,Spiny icefish,14,Medium Benthopelagics (30 - 90 cm)
600481,Trisopterus minutus,Poor cod,14,Medium Benthopelagics (30 - 90 cm)
600482,Genypterus blacodes,Pink cusk-eel,12,Large Bathydemersals (>=90 cm)
600483,Genypterus chilensis,Red cusk-eel,12,Large Bathydemersals (>=90 cm)
600485,Genypterus capensis,Kingklip,12,Large Bathydemersals (>=90 cm)
600486,Brotula barbata,Bearded brotula,15,Large Benthopelagics (>=90 cm)
600488,Hypoptychus dybowskii,Korean sandeel,13,Small Benthopelagics (<30 cm)
600489,Thyrsites atun,Snoek,15,Large Benthopelagics (>=90 cm)
600490,Thyrsitops lepidopoides,White snake mackerel,14,Medium Benthopelagics (30 - 90 cm)
600491,Pampus argenteus,Silver pomfret,14,Medium Benthopelagics (30 - 90 cm)
600492,Peprilus triacanthus,American butterfish,13,Small Benthopelagics (<30 cm)
600493,Peprilus simillimus,Pacific pompano,13,Small Benthopelagics (<30 cm)
600496,Hyperoglyphe antarctica,Antarctic butterfish,12,Large Bathydemersals (>=90 cm)
600497,Psenopsis anomala,Melon seed,13,Small Benthopelagics (<30 cm)
600498,Osphronemus goramy,Giant gourami,14,Medium Benthopelagics (30 - 90 cm)
600499,Trichogaster pectoralis,Snakeskin gourami,13,Small Benthopelagics (<30 cm)
600500,Helostoma temminckii,Kissing gourami,14,Medium Benthopelagics (30 - 90 cm)
600501,Sebastes marinus,Ocean perch,15,Large Benthopelagics (>=90 cm)
600505,Sebastes mentella,Deepwater redfish,8,Medium Bathypelagics (30 - 90 cm)
600512,Anoplopoma fimbria,Sablefish,12,Large Bathydemersals (>=90 cm)
600543,Anchovia clupeoides,Zabaleta anchovy,13,Small Benthopelagics (<30 cm)
600616,Lampanyctus alatus,Lampanyctus alatus,7,Small Bathypelagics (<30 cm)
600617,Lampanyctus crocodilus,Jewel lanternfish,8,Medium Bathypelagics (30 - 90 cm)
600619,Lepidophanes gaussi,Lepidophanes gaussi,7,Small Bathypelagics (<30 cm)
600621,Ceratoscopelus maderensis,Ceratoscopelus maderensis,7,Small Bathypelagics (<30 cm)
600623,Lampanyctus pusillus,Lampanyctus pusillus,7,Small Bathypelagics (<30 cm)
600645,Lepidopus caudatus,Silver scabbardfish,12,Large Bathydemersals (>=90 cm)
600646,Aphanopus carbo,Black scabbardfish,15,Large Benthopelagics (>=90 cm)
600706,Lithognathus mormyrus,Striped seabream,14,Medium Benthopelagics (30 - 90 cm)
600716,Lophius piscatorius,Angler,12,Large Bathydemersals (>=90 cm)
600754,Maurolicus muelleri,Pearlsides,7,Small Bathypelagics (<30 cm)
600785,Mugil cephalus,Flathead mullet,15,Large Benthopelagics (>=90 cm)
600850,Oblada melanura,Saddled seabream,13,Small Benthopelagics (<30 cm)
600889,Pagellus acarne,Axillary seabream,14,Medium Benthopelagics (30 - 90 cm)
600890,Pagellus bogaraveo,Blackspot seabream,14,Medium Benthopelagics (30 - 90 cm)
600893,Pagellus erythrinus,Common pandora,14,Medium Benthopelagics (30 - 90 cm)
600994,Decapterus punctatus,Round scad,14,Medium Benthopelagics (30 - 90 cm)
600995,Decapterus tabl,Roughear scad,14,Medium Benthopelagics (30 - 90 cm)
601002,Pseudocaranx dentex,White trevally,15,Large Benthopelagics (>=90 cm)
601006,Seriola fasciata,Lesser amberjack,14,Medium Benthopelagics (30 - 90 cm)
601007,Seriola rivoliana,Almaco jack,15,Large Benthopelagics (>=90 cm)
601008,Seriola zonata,Banded rudderfish,14,Medium Benthopelagics (30 - 90 cm)
601013,Centropomus ensiferus,Swordspine snook,14,Medium Benthopelagics (30 - 90 cm)
601015,Centropomus pectinatus,Tarpon snook,14,Medium Benthopelagics (30 - 90 cm)
601023,Trisopterus esmarkii,Norway pout,14,Medium Benthopelagics (30 - 90 cm)
601041,Gempylus serpens,Snake mackerel,9,Large Bathypelagics (>=90 cm)
601042,Lepidocybium flavobrunneum,Escolar,9,Large Bathypelagics (>=90 cm)
601044,Ruvettus pretiosus,Oilfish,15,Large Benthopelagics (>=90 cm)
601072,Lampris guttatus,Opah,9,Large Bathypelagics (>=90 cm)
601077,Lobotes surinamensis,Atlantic tripletail,15,Large Benthopelagics (>=90 cm)
601078,Lophius gastrophysus,Blackfin goosefish,11,Medium Bathydemersals (30 - 90 cm)
601080,Merluccius albidus,Offshore hake,11,Medium Bathydemersals (30 - 90 cm)
601086,Mugil curema,White mullet,15,Large Benthopelagics (>=90 cm)
601198,Stromateus fiatola,Blue butterfish,14,Medium Benthopelagics (30 - 90 cm)
601206,Epinephelus mystacinus,Misty grouper,12,Large Bathydemersals (>=90 cm)
601217,Paranthias furcifer,Creole-fish,14,Medium Benthopelagics (30 - 90 cm)
601267,Acropoma japonicum,Glowbelly,10,Small Bathydemersals (<30 cm)
601268,Neoscombrops annectens,Sombre splitfin,11,Medium Bathydemersals (30 - 90 cm)
601269,Synagrops adeni,Aden splitfin,10,Small Bathydemersals (<30 cm)
601279,Trachurus picturatus,Blue jack mackerel,14,Medium Benthopelagics (30 - 90 cm)
601284,Arius africanus,African sea catfish,14,Medium Benthopelagics (30 - 90 cm)
601288,Trichiurus lepturus,Largehead hairtail,15,Large Benthopelagics (>=90 cm)
601300,Ariomma indica,Indian ariomma,13,Small Benthopelagics (<30 cm)
601319,Beryx decadactylus,Alfonsino,11,Medium Bathydemersals (30 - 90 cm)
601320,Beryx splendens,Splendid alfonsino,14,Medium Benthopelagics (30 - 90 cm)
601328,Myctophum punctatum,Spotted lanternfish,7,Small Bathypelagics (<30 cm)
601330,Nansenia groenlandica,Greenland argentine,7,Small Bathypelagics (<30 cm)
601340,Phycis blennoides,Greater forkbeard,15,Large Benthopelagics (>=90 cm)
601353,Serranus cabrilla,Comber,11,Medium Bathydemersals (30 - 90 cm)
601355,Spinachia spinachia,Sea stickleback,13,Small Benthopelagics (<30 cm)
601356,Spondyliosoma cantharus,Black seabream,14,Medium Benthopelagics (30 - 90 cm)
601358,Stomias boa ferox,Boa dragonfish,8,Medium Bathypelagics (30 - 90 cm)
601367,Trisopterus luscus,Pouting,14,Medium Benthopelagics (30 - 90 cm)
601370,Zeus faber,John dory,15,Large Benthopelagics (>=90 cm)
601385,Etelis coruscans,Flame snapper,12,Large Bathydemersals (>=90 cm)
601387,Oreochromis aureus,Blue tilapia,14,Medium Benthopelagics (30 - 90 cm)
601391,Etelis oculatus,Queen snapper,12,Large Bathydemersals (>=90 cm)
601396,Oreochromis macrochir macrochir,Longfin tilapia,14,Medium Benthopelagics (30 - 90 cm)
601397,Tilapia rendalli,Redbreast tilapia,14,Medium Benthopelagics (30 - 90 cm)
601399,Oreochromis andersonii,Three spotted tilapia,14,Medium Benthopelagics (30 - 90 cm)
601413,Oreochromis leucostictus,Oreochromis leucostictus,13,Small Benthopelagics (<30 cm)
601415,Oreochromis mortimeri,Kariba tilapia,14,Medium Benthopelagics (30 - 90 cm)
601416,Oreochromis spilurus spilurus,Sabaki tilapia,13,Small Benthopelagics (<30 cm)
601420,Oreochromis urolepis urolepis,Rufigi tilapia,14,Medium Benthopelagics (30 - 90 cm)
601421,Oreochromis urolepis hornorum,Wami tilapia,13,Small Benthopelagics (<30 cm)
601422,Oreochromis jipe,Oreochromis jipe,14,Medium Benthopelagics (30 - 90 cm)
601430,Oreochromis variabilis,Oreochromis variabilis,14,Medium Benthopelagics (30 - 90 cm)
601431,Oreochromis esculentus,Singida tilapia,14,Medium Benthopelagics (30 - 90 cm)
601432,Oreochromis shiranus shiranus,Oreochromis shiranus shiranus,14,Medium Benthopelagics (30 - 90 cm)
601433,Oreochromis niloticus eduardianus,Tilapia,14,Medium Benthopelagics (30 - 90 cm)
601434,Oreochromis shiranus chilwae,Chilwa tilapia,13,Small Benthopelagics (<30 cm)
601437,Oreochromis spilurus niger,Athi River tilapia,14,Medium Benthopelagics (30 - 90 cm)
601440,Oreochromis tanganicae,Oreochromis tanganicae,14,Medium Benthopelagics (30 - 90 cm)
601441,Lutjanus goldiei,Papuan black snapper,15,Large Benthopelagics (>=90 cm)
601446,Oreochromis karomo,Karomo,13,Small Benthopelagics (<30 cm)
601447,Oreochromis schwebischi,Oreochromis schwebischi,14,Medium Benthopelagics (30 - 90 cm)
601448,Oreochromis korogwe,Oreochromis korogwe,13,Small Benthopelagics (<30 cm)
601450,Cyprinus carpio,Common carp,15,Large Benthopelagics (>=90 cm)
601615,Nematalosa japonica,Japanese gizzard shad,13,Small Benthopelagics (<30 cm)
601699,Bathophilus nigerrimus,Scaleless dragonfish,7,Small Bathypelagics (<30 cm)
601711,Diaphus holti,Diaphus holti,7,Small Bathypelagics (<30 cm)
601712,Diaphus rafinesquii,White-spoted lantern fish,7,Small Bathypelagics (<30 cm)
601714,Electrona risso,Chubby flashlightfish,7,Small Bathypelagics (<30 cm)
601716,Gonichthys cocco,Gonichthys cocco,7,Small Bathypelagics (<30 cm)
601718,Hygophum benoiti,Benoits lanternfish,7,Small Bathypelagics (<30 cm)
601719,Hygophum hygomii,Hygophum hygomii,7,Small Bathypelagics (<30 cm)
601720,Hymenocephalus italicus,Glasshead grenadier,13,Small Benthopelagics (<30 cm)
601724,Lestidiops sphyrenoides,Lestidiops sphyrenoides,7,Small Bathypelagics (<30 cm)
601726,Caelorinchus caelorhincus caelorhincus,Hollowsnout grenadier,14,Medium Benthopelagics (30 - 90 cm)
601731,Microstoma microstoma,Slender argentine,7,Small Bathypelagics (<30 cm)
601734,Mora moro,Common mora,8,Medium Bathypelagics (30 - 90 cm)
601737,Symbolophorus veranyi,Large scale lanternfish,7,Small Bathypelagics (<30 cm)
601747,Phycis phycis,Forkbeard,14,Medium Benthopelagics (30 - 90 cm)
601749,Diplodus puntazzo,Sharpsnout seabream,14,Medium Benthopelagics (30 - 90 cm)
601752,Diplodus annularis,Annular seabream,13,Small Benthopelagics (<30 cm)
601754,Diplodus vulgaris,Common two-banded seabream,14,Medium Benthopelagics (30 - 90 cm)
601756,Pagrus pagrus,Common seabream,15,Large Benthopelagics (>=90 cm)
601757,Paralepis coregonoides,Sharpchin barracudina,7,Small Bathypelagics (<30 cm)
601772,Tetragonurus cuvieri,Smalleye squaretail,8,Medium Bathypelagics (30 - 90 cm)
601774,Cyclothone braueri,Garrick,7,Small Bathypelagics (<30 cm)
601775,Cyclothone microdon,Veiled anglemouth,7,Small Bathypelagics (<30 cm)
601776,Zu cristatus,Scalloped ribbonfish,9,Large Bathypelagics (>=90 cm)
601777,Trachipterus trachypterus,Ribbon fish,9,Large Bathypelagics (>=90 cm)
601781,Vinciguerria poweriae,Powers deep-water bristle-mouth fish,7,Small Bathypelagics (<30 cm)
601782,Glossanodon leioglossus,Smalltoothed argentine,10,Small Bathydemersals (<30 cm)
601786,Chauliodus sloani,Sloanes viperfish,8,Medium Bathypelagics (30 - 90 cm)
601794,Lobianchia dofleini,Lobianchia dofleini,7,Small Bathypelagics (<30 cm)
601795,Lobianchia gemellarii,Coccos lantern fish,7,Small Bathypelagics (<30 cm)
601796,Evermannella balbo,Balbo sabretooth,7,Small Bathypelagics (<30 cm)
601799,Gonostoma denudatum,Gonostoma denudatum,7,Small Bathypelagics (<30 cm)
601804,Ichthyococcus ovatus,Lightfish,7,Small Bathypelagics (<30 cm)
601805,Physiculus dalwigki,Black codling,14,Medium Benthopelagics (30 - 90 cm)
601806,Stomias boa boa,Scaly dragonfish,8,Medium Bathypelagics (30 - 90 cm)
601808,Chlorophthalmus agassizi,Shortnose greeneye,10,Small Bathydemersals (<30 cm)
601824,Macruronus capensis,Cape grenadier,15,Large Benthopelagics (>=90 cm)
601826,Merluccius paradoxus,Deep-water Cape hake,12,Large Bathydemersals (>=90 cm)
601828,Merluccius capensis,Shallow-water Cape hake,12,Large Bathydemersals (>=90 cm)
601829,Steindachneria argentea,Luminous hake,11,Medium Bathydemersals (30 - 90 cm)
601872,Arctogadus glacialis,Arctic cod,8,Medium Bathypelagics (30 - 90 cm)
601877,Gaidropsarus biscayensis,Mediterranean bigeye rockling,14,Medium Benthopelagics (30 - 90 cm)
601880,Phycis chesteri,Longfin hake,14,Medium Benthopelagics (30 - 90 cm)
601881,Theragra finnmarchica,Norwegian pollock,14,Medium Benthopelagics (30 - 90 cm)
601884,Urophycis cirrata,Gulf hake,11,Medium Bathydemersals (30 - 90 cm)
601894,Campogramma glaycos,Vadigo,14,Medium Benthopelagics (30 - 90 cm)
601897,Caranx senegallus,Senegal jack,15,Large Benthopelagics (>=90 cm)
601899,Caranx rhonchus,False scad,14,Medium Benthopelagics (30 - 90 cm)
601934,Clarias gariepinus,North African catfish,15,Large Benthopelagics (>=90 cm)
601943,Hemicaranx leucurus,Yellowfin jack,14,Medium Benthopelagics (30 - 90 cm)
601944,Hemicaranx zelotes,Blackfin jack,13,Small Benthopelagics (<30 cm)
601945,Oligoplites altus,Longjaw leatherjack,14,Medium Benthopelagics (30 - 90 cm)
601947,Parastromateus niger,Black pomfret,14,Medium Benthopelagics (30 - 90 cm)
601956,Selene brevoortii,Mexican lookdown,14,Medium Benthopelagics (30 - 90 cm)
601957,Selene oerstedii,Mexican moonfish,14,Medium Benthopelagics (30 - 90 cm)
601958,Selene peruviana,Pacific moonfish,14,Medium Benthopelagics (30 - 90 cm)
601959,Seriola carpenteri,Guinean amberjack,14,Medium Benthopelagics (30 - 90 cm)
601961,Seriola peruana,Fortune jack,14,Medium Benthopelagics (30 - 90 cm)
601972,Trachinotus paitensis,Paloma pompano,14,Medium Benthopelagics (30 - 90 cm)
601981,Trachurus delagoa,African scad,14,Medium Benthopelagics (30 - 90 cm)
601983,Uraspis helvola,Whitemouth jack,14,Medium Benthopelagics (30 - 90 cm)
602005,Antimora rostrata,Blue antimora,8,Medium Bathypelagics (30 - 90 cm)
602006,Antimora microlepis,Finescale mora,8,Medium Bathypelagics (30 - 90 cm)
602008,Austrophycis marginata,Dwarf codling,13,Small Benthopelagics (<30 cm)
602010,Gadella imberbis,Beardless codling,13,Small Benthopelagics (<30 cm)
602011,Gadella maraldi,Gadella,14,Medium Benthopelagics (30 - 90 cm)
602012,Halargyreus johnsonii,Slender codling,8,Medium Bathypelagics (30 - 90 cm)
602013,Laemonema laureysi,Guinean codling,14,Medium Benthopelagics (30 - 90 cm)
602014,Laemonema longipes,Longfin codling,14,Medium Benthopelagics (30 - 90 cm)
602015,Lepidion ensiferus,Patagonian codling,8,Medium Bathypelagics (30 - 90 cm)
602016,Lepidion eques,North Atlantic codling,14,Medium Benthopelagics (30 - 90 cm)
602017,Lepidion lepidion,Mediterranean codling,8,Medium Bathypelagics (30 - 90 cm)
602019,Physiculus japonica,Japanese codling,11,Medium Bathydemersals (30 - 90 cm)
602022,Pseudophycis breviuscula,Northern bastard codling,13,Small Benthopelagics (<30 cm)
602023,Tripterophycis gilchristi,Grenadier cod,14,Medium Benthopelagics (30 - 90 cm)
602029,Oreochromis placidus placidus,Black tilapia,14,Medium Benthopelagics (30 - 90 cm)
602030,Oreochromis placidus ruvumae,Oreochromis placidus ruvumae,13,Small Benthopelagics (<30 cm)
602031,Oreochromis pangani girigan,Oreochromis pangani girigan,14,Medium Benthopelagics (30 - 90 cm)
602032,Oreochromis hunteri,Oreochromis hunteri,14,Medium Benthopelagics (30 - 90 cm)
602033,Oreochromis alcalicus grahami,Oreochromis alcalicus grahami,13,Small Benthopelagics (<30 cm)
602034,Oreochromis alcalicus alcalicus,Magadi tilapia,13,Small Benthopelagics (<30 cm)
602035,Oreochromis amphimelas,Oreochromis amphimelas,13,Small Benthopelagics (<30 cm)
602036,Oreochromis angolensis,Oreochromis angolensis,13,Small Benthopelagics (<30 cm)
602037,Oreochromis lepidurus,Oreochromis lepidurus,13,Small Benthopelagics (<30 cm)
602038,Oreochromis upembae,Oreochromis upembae,13,Small Benthopelagics (<30 cm)
602039,Oreochromis malagarasi,Oreochromis malagarasi,13,Small Benthopelagics (<30 cm)
602040,Oreochromis rukwaensis,Lake Rukwa tilapia,14,Medium Benthopelagics (30 - 90 cm)
602041,Oreochromis salinicola,Oreochromis salinicola,13,Small Benthopelagics (<30 cm)
602042,Oreochromis karongae,Oreochromis karongae,14,Medium Benthopelagics (30 - 90 cm)
602043,Oreochromis saka,Oreochromis saka,14,Medium Benthopelagics (30 - 90 cm)
602044,Oreochromis squamipinnis,Oreochromis squamipinnis,14,Medium Benthopelagics (30 - 90 cm)
602045,Oreochromis lidole,Oreochromis lidole,14,Medium Benthopelagics (30 - 90 cm)
602047,Sudis hyalina,Sudis hyalina,9,Large Bathypelagics (>=90 cm)
602068,Oreochromis niloticus cancellatus,Oreochromis niloticus cancellatus,13,Small Benthopelagics (<30 cm)
602069,Oreochromis niloticus filoa,Oreochromis niloticus filoa,13,Small Benthopelagics (<30 cm)
602070,Oreochromis niloticus vulcani,Oreochromis niloticus vulcani,13,Small Benthopelagics (<30 cm)
602071,Oreochromis niloticus baringoensis,Oreochromis niloticus baringoensis,13,Small Benthopelagics (<30 cm)
602072,Oreochromis niloticus sugutae,Oreochromis niloticus sugutae,13,Small Benthopelagics (<30 cm)
602079,Brachymystax lenok,Lenok,14,Medium Benthopelagics (30 - 90 cm)
602080,Oreochromis spilurus percivali,Oreochromis spilurus percivali,13,Small Benthopelagics (<30 cm)
602082,Argyropelecus gigas,Hatchetfish,7,Small Bathypelagics (<30 cm)
602086,Aplocheilichthys vitschumbaensis,Bitschumbi lampeye,13,Small Benthopelagics (<30 cm)
602088,Oreochromis chungruruensis,Oreochromis chungruruensis,13,Small Benthopelagics (<30 cm)
602112,Protomelas kirkii,Protomelas kirkii,13,Small Benthopelagics (<30 cm)
602113,Protomelas labridens,Protomelas labridens,13,Small Benthopelagics (<30 cm)
602114,Protomelas pleurotaenia,Protomelas pleurotaenia,13,Small Benthopelagics (<30 cm)
602115,Protomelas macrodon,Protomelas macrodon,13,Small Benthopelagics (<30 cm)
602116,Protomelas similis,Protomelas similis,13,Small Benthopelagics (<30 cm)
602117,Protomelas marginatus marginatus,Protomelas marginatus marginatus,13,Small Benthopelagics (<30 cm)
602118,Protomelas marginatus vuae,Protomelas marginatus vuae,13,Small Benthopelagics (<30 cm)
602119,Protomelas spilonotus,Protomelas spilonotus,13,Small Benthopelagics (<30 cm)
602120,Protomelas insignis,One-and-a-half-stripe hap,13,Small Benthopelagics (<30 cm)
602121,Protomelas annectens,Protomelas annectens,13,Small Benthopelagics (<30 cm)
602122,Protomelas fenestratus,Fenestratus,13,Small Benthopelagics (<30 cm)
602123,Protomelas taeniolatus,Spindle hap,13,Small Benthopelagics (<30 cm)
602124,Protomelas virgatus,Protomelas virgatus,13,Small Benthopelagics (<30 cm)
602125,Protomelas triaenodon,Protomelas triaenodon,13,Small Benthopelagics (<30 cm)
602126,Protomelas spilopterus,Protomelas spilopterus,13,Small Benthopelagics (<30 cm)
602136,Dimidiochromis kiwinge,Dimidiochromis kiwinge,14,Medium Benthopelagics (30 - 90 cm)
602164,Lethrinops oculatus,Lethrinops oculatus,13,Small Benthopelagics (<30 cm)
602175,Aulonocara macrochir,Aulonocara macrochir,13,Small Benthopelagics (<30 cm)
602176,Aulonocara rostratum,Aulonocara rostratum,13,Small Benthopelagics (<30 cm)
602178,Aulonocara brevirostris,Aulonocara brevirostris,13,Small Benthopelagics (<30 cm)
602180,Aulonocara trematocephalum,Aulonocara trematocephalum,13,Small Benthopelagics (<30 cm)
602187,Aulonocara maylandi kandeensis,Blue orchid aulonocara,13,Small Benthopelagics (<30 cm)
602188,Aulonocara saulosi,Greenface aulonocara,13,Small Benthopelagics (<30 cm)
602190,Aulonocara stuartgranti,Flavescent peacock,13,Small Benthopelagics (<30 cm)
602195,Alticorpus pectinatum,Alticorpus pectinatum,13,Small Benthopelagics (<30 cm)
602219,Hemitilapia oxyrhyncha,Giant Haplochromis,13,Small Benthopelagics (<30 cm)
