"rgn_name","rgn_id","product","n_diffs_per_rgn_product"
"Saudi Arabia",50,"seaweeds",2
"Senegal",66,"corals",6
"Senegal",66,"seaweeds",2
"Seychelles",31,"fish_oil",1
"Seychelles",31,"seaweeds",1
"Seychelles",31,"shells",1
"Sierra Leone",96,"corals",8
"Sierra Leone",96,"ornamentals",3
"Singapore",208,"corals",8
"Sint Eustatius",249,"corals",2
"Sint Eustatius",249,"fish_oil",3
"Sint Eustatius",249,"ornamentals",8
"Sint Maarten",220,"corals",2
"Sint Maarten",220,"fish_oil",3
"Sint Maarten",220,"ornamentals",8
"Slovenia",188,"fish_oil",4
"Slovenia",188,"ornamentals",3
"Slovenia",188,"seaweeds",6
"Slovenia",188,"shells",4
"Slovenia",188,"sponges",5
"Solomon Islands",7,"corals",8
"Solomon Islands",7,"ornamentals",2
"Solomon Islands",7,"seaweeds",2
"Somalia",44,"corals",7
"Somalia",44,"shells",2
"South Africa",102,"corals",8
"South Africa",102,"seaweeds",4
"South Africa",102,"shells",8
"South Korea",20,"fish_oil",1
"South Korea",20,"ornamentals",7
"South Korea",20,"seaweeds",2
"South Korea",20,"sponges",2
"Spain",182,"corals",3
"Spain",182,"shells",1
"Spain",182,"sponges",6
"Sri Lanka",40,"corals",8
"Sri Lanka",40,"fish_oil",6
"Sri Lanka",40,"ornamentals",8
"Sri Lanka",40,"seaweeds",8
"Sri Lanka",40,"shells",2
"Sudan",49,"corals",8
"Suriname",168,"corals",7
"Suriname",168,"ornamentals",5
"Sweden",222,"fish_oil",2
"Sweden",222,"ornamentals",1
"Sweden",222,"seaweeds",3
"Sweden",222,"sponges",8
"Syria",77,"corals",5
"Syria",77,"ornamentals",2
"Syria",77,"seaweeds",2
"Syria",77,"shells",1
"Syria",77,"sponges",1
"Taiwan",14,"corals",8
"Taiwan",14,"ornamentals",1
"Taiwan",14,"seaweeds",1
"Taiwan",14,"shells",1
"Tanzania",202,"corals",2
"Tanzania",202,"fish_oil",1
"Thailand",25,"corals",7
"Thailand",25,"fish_oil",1
"Thailand",25,"ornamentals",5
"Thailand",25,"seaweeds",6
"Thailand",25,"shells",1
"Togo",98,"shells",1
"Tonga",155,"shells",4
"Trinidad and Tobago",126,"fish_oil",1
"Trinidad and Tobago",126,"seaweeds",5
"Trinidad and Tobago",126,"shells",6
"Tunisia",61,"corals",8
"Tunisia",61,"ornamentals",1
"Turkey",76,"corals",8
"Turkey",76,"fish_oil",3
"Turkey",76,"ornamentals",2
"Turkey",76,"seaweeds",3
"Turkey",76,"sponges",7
"Ukraine",75,"corals",1
"Ukraine",75,"fish_oil",4
"Ukraine",75,"seaweeds",2
"United Arab Emirates",54,"corals",2
"United Arab Emirates",54,"ornamentals",2
"United Arab Emirates",54,"seaweeds",1
"United Arab Emirates",54,"shells",1
"United States",163,"corals",8
"Uruguay",173,"seaweeds",1
"Vanuatu",6,"corals",5
"Vanuatu",6,"ornamentals",1
"Vanuatu",6,"shells",3
"Venezuela",139,"corals",6
"Venezuela",139,"fish_oil",5
"Venezuela",139,"ornamentals",1
"Venezuela",139,"sponges",2
"Vietnam",207,"corals",8
"Vietnam",207,"fish_oil",1
"Vietnam",207,"seaweeds",2
"Yemen",47,"fish_oil",3
"Yemen",47,"seaweeds",3
