"rgn_name","rgn_id","product","year","tonnes_orig","tonnes","usd_orig","usd","n_years","usd_ix0","usd_coef","tonnes_mdl","tonnes_ix0","tonnes_coef","usd_mdl","tonnes_rollmean","usd_rollmean","tonnes_peak","usd_peak","usd_peak_product_weight"
"Solomon Islands",7,"corals",2004,194,246.25,886,789.25,13,,,,,,,246.25,789.25,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2005,282,312.75,946,831.75,13,,,,,,,312.75,831.75,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2006,378,369.25,799,810.25,13,,,,,,,369.25,810.25,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2007,397,368.75,696,786.25,13,,,,,,,368.75,786.25,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2008,420,333.75,800,770,13,,,,,,,333.75,770,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2009,280,312.666666666667,850,794.666666666667,13,,,,,,,312.666666666667,794.666666666667,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2010,238,259,734,792,13,,,,,,,259,792,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"ornamentals",1996,,49.6596501870387,50,36,15,33.1086037812152,0.459751289050652,56.0961682337478,,,,49.6596501870387,36,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",1997,,51.1538418764533,22,39.25,15,33.1086037812152,0.459751289050652,43.2231321403296,,,,51.1538418764533,39.25,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",1998,,45.7517642301082,36,27.5,15,33.1086037812152,0.459751289050652,49.6596501870387,,,,45.7517642301082,27.5,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",1999,,65.5210696592862,49,70.5,15,33.1086037812152,0.459751289050652,55.6364169446972,,,,65.5210696592862,70.5,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2000,,63.3561571125265,3,72.25,15,33.1086037812152,0.459751289050652,34.4878576483672,,,,63.3561571125265,72.25,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2001,,62.9470528763522,194,73.75,15,33.1086037812152,0.459751289050652,122.300353857042,,,,62.9470528763522,73.75,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2002,41,74.3250884642604,43,89.5,15,33.1086037812152,0.459751289050652,52.8779092103933,,,,74.3250884642604,89.5,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2003,54,69.25,55,59.25,15,33.1086037812152,0.459751289050652,58.3949246790011,,,,69.25,59.25,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2004,80,94.75,66,72.5,15,33.1086037812152,0.459751289050652,63.4521888585583,,,,94.75,72.5,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2005,102,106.25,73,85.25,15,33.1086037812152,0.459751289050652,66.6704478819128,,,,106.25,85.25,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2006,143,103.5,96,85.75,15,33.1086037812152,0.459751289050652,77.2447275300779,,,,103.5,85.75,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2007,100,78,106,99,15,33.1086037812152,0.459751289050652,81.8422404205844,,,,78,99,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2008,69,42.25,68,75,15,33.1086037812152,0.459751289050652,64.3716914366596,,,,42.25,75,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2009,0,23,126,64.6666666666667,15,33.1086037812152,0.459751289050652,91.0372662015974,,,,23,64.6666666666667,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"ornamentals",2010,0,0,0,63,15,33.1086037812152,0.459751289050652,33.1086037812152,,,,0,63,69.0625,64.35,0.0764036272429095
"Solomon Islands",7,"seaweeds",2004,168,225.666666666667,148,178.666666666667,7,,,,,,,225.666666666667,178.666666666667,160.55,237.25,0.28169014084507
"Solomon Islands",7,"seaweeds",2005,362,195.5,282,157.5,7,,,,,,,195.5,157.5,160.55,237.25,0.28169014084507
"Solomon Islands",7,"seaweeds",2006,147,166,106,135.5,7,,,,,,,166,135.5,160.55,237.25,0.28169014084507
"Solomon Islands",7,"seaweeds",2007,105,113,94,107.5,7,,,,,,,113,107.5,160.55,237.25,0.28169014084507
"Solomon Islands",7,"seaweeds",2008,50,162.25,60,221,7,,,,,,,162.25,221,160.55,237.25,0.28169014084507
"Solomon Islands",7,"seaweeds",2009,150,181.333333333333,170,263.333333333333,7,,,,,,,181.333333333333,263.333333333333,160.55,237.25,0.28169014084507
"Solomon Islands",7,"seaweeds",2010,344,247,560,365,7,,,,,,,247,365,160.55,237.25,0.28169014084507
"Palau",8,"corals",1998,50,36,195,67.3333333333333,13,,,,,,,36,67.3333333333333,26.975,51.35,0.478063540090772
"Palau",8,"corals",1999,38,27,4,50.5,13,,,,,,,27,50.5,26.975,51.35,0.478063540090772
"Palau",8,"corals",2000,20,14.5,3,1.75,13,,,,,,,14.5,1.75,26.975,51.35,0.478063540090772
"Palau",8,"corals",2001,0,5,0,1.5,13,,,,,,,5,1.5,26.975,51.35,0.478063540090772
"Palau",8,"corals",2002,0,0,0,0.75,13,,,,,,,0,0.75,26.975,51.35,0.478063540090772
"Palau",8,"corals",2003,0,13.75,3,61,13,,,,,,,13.75,61,26.975,51.35,0.478063540090772
"Palau",8,"corals",2004,0,17.25,0,63,13,,,,,,,17.25,63,26.975,51.35,0.478063540090772
"Palau",8,"corals",2005,55,17.5,241,65.5,13,,,,,,,17.5,65.5,26.975,51.35,0.478063540090772
"Palau",8,"corals",2006,14,41.5,8,79,13,,,,,,,41.5,79,26.975,51.35,0.478063540090772
"Palau",8,"corals",2007,1,27.75,13,18.75,13,,,,,,,27.75,18.75,26.975,51.35,0.478063540090772
"Palau",8,"corals",2008,96,24.25,54,17.75,13,,,,,,,24.25,17.75,26.975,51.35,0.478063540090772
"Palau",8,"corals",2009,0,32,0,19.3333333333333,13,,,,,,,32,19.3333333333333,26.975,51.35,0.478063540090772
"Palau",8,"corals",2010,0,0,4,2,13,,,,,,,0,2,26.975,51.35,0.478063540090772
"Palau",8,"ornamentals",1995,,,19,6.66666666666667,16,,,,,,,,6.66666666666667,,52.325,0.48714069591528
"Palau",8,"ornamentals",1996,,,1,5.75,16,,,,,,,,5.75,,52.325,0.48714069591528
"Palau",8,"ornamentals",1997,,,0,1,16,,,,,,,,1,,52.325,0.48714069591528
"Palau",8,"ornamentals",1998,,,3,0.75,16,,,,,,,,0.75,,52.325,0.48714069591528
"Palau",8,"ornamentals",1999,,,0,0.75,16,,,,,,,,0.75,,52.325,0.48714069591528
"Palau",8,"ornamentals",2000,,,0,14.25,16,,,,,,,,14.25,,52.325,0.48714069591528
"Palau",8,"ornamentals",2001,,,0,40.5,16,,,,,,,,40.5,,52.325,0.48714069591528
"Palau",8,"ornamentals",2002,,,57,63,16,,,,,,,,63,,52.325,0.48714069591528
"Palau",8,"ornamentals",2003,,,105,78.5,16,,,,,,,,78.5,,52.325,0.48714069591528
"Palau",8,"ornamentals",2004,,,90,80.5,16,,,,,,,,80.5,,52.325,0.48714069591528
"Palau",8,"ornamentals",2005,,,62,70.75,16,,,,,,,,70.75,,52.325,0.48714069591528
"Palau",8,"ornamentals",2006,,,65,48.25,16,,,,,,,,48.25,,52.325,0.48714069591528
"Palau",8,"ornamentals",2007,,,66,32.75,16,,,,,,,,32.75,,52.325,0.48714069591528
"Palau",8,"ornamentals",2008,,,0,16.5,16,,,,,,,,16.5,,52.325,0.48714069591528
"Palau",8,"ornamentals",2009,,,0,0,16,,,,,,,,0,,52.325,0.48714069591528
"Palau",8,"ornamentals",2010,,,0,0,16,,,,,,,,0,,52.325,0.48714069591528
"Palau",8,"shells",2003,3,1,4,1.33333333333333,8,,,,,,,1,1.33333333333333,2.925,3.7375,0.0347957639939486
"Palau",8,"shells",2004,0,2.25,0,5.75,8,,,,,,,2.25,5.75,2.925,3.7375,0.0347957639939486
"Palau",8,"shells",2005,0,1.5,0,4.75,8,,,,,,,1.5,4.75,2.925,3.7375,0.0347957639939486
"Palau",8,"shells",2006,6,1.5,19,4.75,8,,,,,,,1.5,4.75,2.925,3.7375,0.0347957639939486
"Palau",8,"shells",2007,0,1.5,0,4.75,8,,,,,,,1.5,4.75,2.925,3.7375,0.0347957639939486
"Palau",8,"shells",2008,0,2.25,0,1,8,,,,,,,2.25,1,2.925,3.7375,0.0347957639939486
"Palau",8,"shells",2009,0,3,0,1.33333333333333,8,,,,,,,3,1.33333333333333,2.925,3.7375,0.0347957639939486
"Palau",8,"shells",2010,9,4.5,4,2,8,,,,,,,4.5,2,2.925,3.7375,0.0347957639939486
"Micronesia",9,"corals",1998,26,28.6666666666667,129,115.333333333333,13,,,,,,,28.6666666666667,115.333333333333,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",1999,44,21.5,173,86.5,13,,,,,,,21.5,86.5,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2000,16,18,44,88.5,13,,,,,,,18,88.5,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2001,0,7.75,0,56.25,13,,,,,,,7.75,56.25,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2002,12,3.75,137,47.25,13,,,,,,,3.75,47.25,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2003,3,13.75,44,57,13,,,,,,,13.75,57,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2004,0,48.5,8,42.5,13,,,,,,,48.5,42.5,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2005,40,53.75,39,48,13,,,,,,,53.75,48,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2006,151,57.5,79,52,13,,,,,,,57.5,52,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2007,24,48,66,54.25,13,,,,,,,48,54.25,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2008,15,50.25,24,63.5,13,,,,,,,50.25,63.5,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2009,2,59,48,62.6666666666667,13,,,,,,,59,62.6666666666667,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"corals",2010,160,81,116,82,13,,,,,,,81,82,52.65,74.9666666666667,0.677435144395497
"Micronesia",9,"ornamentals",1991,,1.83301430019142,40,26.6666666666667,20,0.792590924445445,0.0390158765904741,2.35322598806441,,,,1.83301430019142,26.6666666666667,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1992,,1.57290845625493,40,20,20,0.792590924445445,0.0390158765904741,2.35322598806441,,,,1.57290845625493,20,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1993,,1.18274969035019,0,10,20,0.792590924445445,0.0390158765904741,0.792590924445445,,,,1.18274969035019,10,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1994,,0.977916338250197,0,4.75,20,0.792590924445445,0.0390158765904741,0.792590924445445,,,,0.977916338250197,4.75,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1995,,1.10471793716924,0,8,20,0.792590924445445,0.0390158765904741,0.792590924445445,,,,1.10471793716924,8,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1996,,1.15657020605788,19,16.25,20,0.792590924445445,0.0390158765904741,1.53389257966445,,,,1.15657020605788,16.25,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1997,,2.95842247494652,13,20.75,20,0.792590924445445,0.0390158765904741,1.29979732012161,,,,2.95842247494652,20.75,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1998,1,3.8249493300304,33,18.5,20,0.792590924445445,0.0390158765904741,2.08011485193109,,,,3.8249493300304,18.5,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",1999,8,4,18,16,20,0.792590924445445,0.0390158765904741,1.49487670307398,,,,4,16,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2000,5,3.75,10,8.25,20,0.792590924445445,0.0390158765904741,1.18274969035019,,,,3.75,8.25,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2001,2,1.75,3,10.5,20,0.792590924445445,0.0390158765904741,0.909638554216867,,,,1.75,10.5,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2002,0,0.5,2,13.25,20,0.792590924445445,0.0390158765904741,0.870622677626393,,,,0.5,13.25,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2003,0,0,27,13.5,20,0.792590924445445,0.0390158765904741,1.84601959238825,,,,0,13.5,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2004,0,0,21,13,20,0.792590924445445,0.0390158765904741,1.6119243328454,,,,0,13,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2005,0,0,4,6.25,20,0.792590924445445,0.0390158765904741,0.948654430807341,,,,0,6.25,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2006,0,0,0,2.25,20,0.792590924445445,0.0390158765904741,0.792590924445445,,,,0,2.25,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2007,0,0,0,3.75,20,0.792590924445445,0.0390158765904741,0.792590924445445,,,,0,3.75,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2008,0,0,5,7,20,0.792590924445445,0.0390158765904741,0.987670307397815,,,,0,7,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2009,0,0,10,9.33333333333333,20,0.792590924445445,0.0390158765904741,1.18274969035019,,,,0,9.33333333333333,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"ornamentals",2010,0,0,13,11.5,20,0.792590924445445,0.0390158765904741,1.29979732012161,,,,0,11.5,2.6,17.3333333333333,0.156632403328439
"Micronesia",9,"shells",2001,20,12,46,25.3333333333333,10,,,,,,,12,25.3333333333333,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2002,16,9,30,19,10,,,,,,,9,19,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2003,0,10.25,0,28.25,10,,,,,,,10.25,28.25,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2004,0,6.25,0,20.75,10,,,,,,,6.25,20.75,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2005,25,6.25,83,20.75,10,,,,,,,6.25,20.75,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2006,0,6.25,0,20.75,10,,,,,,,6.25,20.75,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2007,0,0,0,0,10,,,,,,,0,0,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2008,0,0,0,0,10,,,,,,,0,0,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2009,0,0,0,0,10,,,,,,,0,0,7.8,18.3625,0.165932452276065
"Micronesia",9,"shells",2010,0,0,0,0,10,,,,,,,0,0,7.8,18.3625,0.165932452276065
"Marshall Islands",11,"corals",1998,33,11,151,50.3333333333333,13,,,,,,,11,50.3333333333333,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",1999,0,8.25,0,38,13,,,,,,,8.25,38,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2000,0,1.75,0,20.75,13,,,,,,,1.75,20.75,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2001,0,4.75,1,48.5,13,,,,,,,4.75,48.5,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2002,7,9.25,82,87.5,13,,,,,,,9.25,87.5,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2003,12,17.75,111,117.25,13,,,,,,,17.75,117.25,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2004,18,26.5,156,142,13,,,,,,,26.5,142,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2005,34,26.5,120,147.25,13,,,,,,,26.5,147.25,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2006,42,23.75,181,142.75,13,,,,,,,23.75,142.75,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2007,12,19.25,132,138,13,,,,,,,19.25,138,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2008,7,8.75,138,93.75,13,,,,,,,8.75,93.75,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2009,16,7.66666666666667,101,81,13,,,,,,,7.66666666666667,81,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"corals",2010,0,8,4,52.5,13,,,,,,,8,52.5,17.225,95.7125,0.127765726681128
"Marshall Islands",11,"ornamentals",1981,,,73,24.3333333333333,30,,,,,,,,24.3333333333333,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1982,,,0,18.25,30,,,,,,,,18.25,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1983,,,0,0,30,,,,,,,,0,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1984,,,0,0,30,,,,,,,,0,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1985,,,0,0,30,,,,,,,,0,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1986,,,0,27.5,30,,,,,,,,27.5,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1987,,,0,82.5,30,,,,,,,,82.5,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1988,,,110,125,30,,,,,,,,125,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1989,,,220,125,30,,,,,,,,125,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1990,,,170,97.5,30,,,,,,,,97.5,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1991,,,0,42.5,30,,,,,,,,42.5,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1992,,,0,0,30,,,,,,,,0,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1993,,,0,119.5,30,,,,,,,,119.5,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1994,,,0,189,30,,,,,,,,189,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1995,,,478,216.25,30,,,,,,,,216.25,,636.35,0.849457700650759
"Marshall Islands",11,"ornamentals",1996,,,278,232.5,30,,,,,,,,232.5,,636.35,0.849457700650759
