"rgn_name","rgn_id","product","commodity","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Bahrain",52,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",52,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",204,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,1,1
"Bangladesh",204,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,1,1
"Bangladesh",204,"ornamentals","Ornamental fish nei",,,,,,,,,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11,10,2,0,0,1,0
"Bangladesh",204,"ornamentals","Z_TOTAL",,,,,,,,,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11,10,2,0,0,1,0
"Bangladesh",204,"seaweeds","Agar agar nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8,0,0,0,0
"Bangladesh",204,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Bangladesh",204,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8,0,0,0,0
"Bangladesh",204,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,121,248,414,1114,1557,2782
"Bangladesh",204,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,121,248,414,1114,1557,2782
"Barbados",124,"fish_oil","Fish liver oils, nei",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1
"Barbados",124,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1
"Barbados",124,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,10,4,3,3,3,1,0,0,0,0,0,0
"Barbados",124,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,10,4,3,3,3,1,0,0,0,0,0,0
"Barbados",124,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,0,0,0
"Barbados",124,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,0,0,0
"Barbados",124,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,0,0,0,0,0,0
"Barbados",124,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,0,0,0,0,0,0
"Belgium",59,"fish_oil","Fish body oils, nei",442,347,328,407,591,195,149,253,550,135,194,641,162,710,519,309,275,788,584,2176,1635,1019,485,52,31,37,801,3708,12764,26131,21259,16136,7941,28589,14140,11855
"Belgium",59,"fish_oil","Fish liver oils, nei",448,29,6,80,34,31,34,6,26,56,114,251,496,287,117,104,66,138,74,177,69,73,123,106,100,136,146,151,121,75,53,203,223,102,46,21
"Belgium",59,"fish_oil","Halibuts, liver oils",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,21,8,0,0
"Belgium",59,"fish_oil","Z_TOTAL",890,376,334,487,625,226,183,259,576,191,308,892,658,997,636,413,341,926,658,2353,1704,1092,608,158,131,173,947,3859,12885,26206,21312,16339,8185,28699,14186,11876
"Belgium",59,"ornamentals","Ornamental saltwater fish",,,,,,,,,,,,,20,7,7,6,12,19,33,43,27,16,2,3,1,26,27,12,3,5,3,2,0,2,3,3
"Belgium",59,"ornamentals","Z_TOTAL",,,,,,,,,,,,,20,7,7,6,12,19,33,43,27,16,2,3,1,26,27,12,3,5,3,2,0,2,3,3
"Belgium",59,"seaweeds","Agar agar nei",,1,4,3,5,6,5,13,15,16,9,10,8,2,0,0,0,0,3,6,4,8,8,30,24,8,13,5,9,51,20,53,38,37,39,32
"Belgium",59,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,115,13,10,10,28,63,122,54,63,522,372,192,166,203,253,290,328,1321,344,170,320,271,309,338
"Belgium",59,"seaweeds","Z_TOTAL",,1,4,3,5,6,5,13,15,16,9,10,123,15,10,10,28,63,125,60,67,530,380,222,190,211,266,295,337,1372,364,223,358,308,348,370
"Belgium",59,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,726,602,751,681,793,474,269,433,378,84,233,592,645,590,1021,55287,68142,50105,35124,2336,1165,1070
"Belgium",59,"shells","Shells nei",966,1398,1340,1136,678,609,422,1198,1214,1195,1412,1177,821,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"shells","Z_TOTAL",966,1398,1340,1136,678,609,422,1198,1214,1195,1412,1177,821,730,726,602,751,681,793,474,269,433,378,84,233,592,645,590,1021,55287,68142,50105,35124,2336,1165,1070
"Belgium",59,"sponges","Natural sponges other than raw",,,,,,,,,,,,,,,,,,,4,7,8,13,15,18,20,33,17,111,18,13,3,2,1,6,0,2
"Belgium",59,"sponges","Natural sponges raw",,,,,,,,,,,,,,,2,9,25,9,7,0,0,0,0,0,1,11,15,9,3,0,0,0,3,0,0,0
"Belgium",59,"sponges","Z_TOTAL",,,,,,,,,,,,,,,2,9,25,9,11,7,8,13,15,18,21,44,32,120,21,13,3,2,4,6,0,2
"Belize",164,"fish_oil","Fish body oils, nei",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"fish_oil","Z_TOTAL",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,6,7,12,0,0,0,0,0,56,53,90,57,40,39,28,20,30
"Belize",164,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,6,7,12,0,0,0,0,0,56,53,90,57,40,39,28,20,30
"Belize",164,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,255,0,0,0,0,0,0
"Belize",164,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,255,0,0,0,0,0,0
"Benin",99,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benin",99,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermuda",108,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,0,0,0,0,0,0,0
"Bermuda",108,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,0,0,0,0,0,0,0
"Bermuda",108,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Bermuda",108,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Bermuda",108,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Bermuda",108,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Bermuda",108,"sponges","Natural sponges raw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Bermuda",108,"sponges","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Bonaire",245,"corals","Coral and the like",,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.5,0.25,0,0,0,0,0,0,0,0
"Bonaire",245,"corals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.5,0.25,0,0,0,0,0,0,0,0
"Bonaire",245,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,26,0,0,0,0,0,0,0,0
"Bonaire",245,"fish_oil","Fish liver oils, nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.25,0,0,0,0,0,0,0
"Bonaire",245,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,26,84.25,0,0,0,0,0,0,0
"Bonaire",245,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,0.75,0,0.5,0.5,0.25,0.5,0.5,0,1.5,2,2.25,0.5,0.5,0,0
"Bonaire",245,"ornamentals","Ornamental saltwater fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0,0,0,0,0,0,0
"Bonaire",245,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,0.75,0,0.5,0.5,0.25,0.5,0.5,0.25,1.5,2,2.25,0.5,0.5,0,0
"Bonaire",245,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Bonaire",245,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Bonaire",245,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0,0,0,0,0
"Bonaire",245,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0,0,0,0,0
"Bonaire",245,"sponges","Natural sponges nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Bonaire",245,"sponges","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Bosnia and Herzegovina",232,"corals","Coral and the like",,,,,,,,,,,,,,,,,,,,,,,,,,15,28,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",232,"corals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,15,28,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",232,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Bosnia and Herzegovina",232,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Bosnia and Herzegovina",232,"seaweeds","Agar agar nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",232,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",232,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",232,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,95,82,48,64,53,5,51
"Bosnia and Herzegovina",232,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,95,82,48,64,53,5,51
"Brazil",171,"corals","Coral and the like",,,,,,,,,,,,,,,,,,,7,17,44,33,5,0,1,1,9,513,510,35,16,11,3,1,1,1
"Brazil",171,"corals","Z_TOTAL",,,,,,,,,,,,,,,,,,,7,17,44,33,5,0,1,1,9,513,510,35,16,11,3,1,1,1
"Brazil",171,"fish_oil","Cod liver oil",,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",171,"fish_oil","Fish body oils, nei",42,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,26,0,0,0,0,60,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"Brazil",171,"fish_oil","Fish liver oils, nei",,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0
"Brazil",171,"fish_oil","Z_TOTAL",42,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,26,1,0,0,0,63,0,0,1,0,0,0,4,5,0,0,0,0,0,0
"Brazil",171,"ornamentals","Ornamental fish nei",188,194,236,271,233,211,198,211,261,345,360,468,532,493,545,578,671,921,275,256,326,321,269,288,197,181,172,110,95,174,152,158,131,97,86,76
"Brazil",171,"ornamentals","Z_TOTAL",188,194,236,271,233,211,198,211,261,345,360,468,532,493,545,578,671,921,275,256,326,321,269,288,197,181,172,110,95,174,152,158,131,97,86,76
"Brazil",171,"seaweeds","Agar agar nei",,,,,,,,,,,,,,,,,,,29,10,23,0,1,8,6,1,3,3,3,0,0,0,0,0,3,6
"Brazil",171,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,207,156,135,144,159,258,205,146,239,356,173,128,131,89,126,47,81,84,94,121,137
"Brazil",171,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,207,156,135,173,169,281,205,147,247,362,174,131,134,92,126,47,81,84,94,124,143
"Brazil",171,"sponges","Natural sponges raw",,,,,,,,,,,,,,,,,,,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",171,"sponges","Z_TOTAL",,,,,,,,,,,,,,,,,,,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei",247,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei",247,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei",247,"seaweeds","Agar agar nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Brunei",247,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Brunei",247,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Brunei",247,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,21,0,0,0,0
"Brunei",247,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,21,0,0,0,0
"Bulgaria",71,"corals","Coral and the like",,,,,,,,,,,,,,,,,,,,,,,,135,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"corals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,135,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,0,0,0,0,0,0
"Bulgaria",71,"ornamentals","Ornamental saltwater fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
"Bulgaria",71,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,0,0,4,0,0,0
"Bulgaria",71,"seaweeds","Agar agar nei",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,6,0,2,0,0,0,0,0,0,0,0,0,5,8,5
"Bulgaria",71,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,6,0,2,0,0,0,0,0,0,0,0,0,5,8,5
"Bulgaria",71,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,271,200,332,241,68,82,69,62,80,81,146
"Bulgaria",71,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,271,200,332,241,68,82,69,62,80,81,146
"Bulgaria",71,"sponges","Natural sponges nei",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"sponges","Natural sponges other than raw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Bulgaria",71,"sponges","Natural sponges raw",,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"sponges","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia",24,"corals","Coral and the like",,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
"Cambodia",24,"corals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
"Cambodia",24,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,,,,322,449,433,253,142,124,63,110,13,47,230,141
"Cambodia",24,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,322,449,433,253,142,124,63,110,13,47,230,141
"Cambodia",24,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,56,323,210,476,1943,1266,120,0,0,0,43,0
