"rgn_id","year","Ed","L","U","S_score","rgn_label","E","S","Xtr","gaps","r1","r2"
199,2013,140013,2.66846e+07,0.08,NA,"Democratic Republic of the Congo",0.00570322,NA,NA,"__S_","Africa","Middle Africa"
212,2013,2140,NA,NA,NA,"Kiribati",NA,NA,NA,"_USL","Oceania","Micronesia"
247,2013,5036,199681,0.038,NA,"Brunei",0.0262165,NA,NA,"__S_","Asia","South-Eastern Asia"
250,2013,15442,NA,NA,NA,"Aruba",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
255,2013,89749,NA,NA,3.48,NA,NA,0.496,NA,"_U_L",NA,NA
232,2013,NA,1.46213e+06,0.284,NA,"Bosnia and Herzegovina",NA,NA,NA,"E_S_","Europe","Southern Europe"
100,2013,NA,1.80692e+06,0.065,NA,"Republique du Congo",NA,NA,NA,"E_S_","Africa","Middle Africa"
46,2013,NA,300966,NA,NA,"Djibouti",NA,NA,NA,"EUS_","Africa","Eastern Africa"
104,2013,NA,401157,0.08,NA,"Equatorial Guinea",NA,NA,NA,"E_S_","Africa","Middle Africa"
45,2013,NA,3.05287e+06,0.072,NA,"Eritrea",NA,NA,NA,"E_S_","Africa","Eastern Africa"
147,2013,NA,119573,NA,NA,"French Polynesia",NA,NA,NA,"EUS_","Oceania","Polynesia"
13,2013,NA,76248,NA,NA,"Northern Mariana Islands and Guam",NA,NA,NA,"EUS_","Oceania","Micronesia"
193,2013,NA,731325,0.071,NA,"Guinea Bissau",NA,NA,NA,"E_S_","Africa","Western Africa"
21,2013,NA,1.52067e+07,0.046,NA,"North Korea",NA,NA,NA,"E_S_","Asia","Eastern Asia"
97,2013,NA,1.5083e+06,0.037,NA,"Liberia",NA,NA,NA,"E_S_","Africa","Western Africa"
64,2013,NA,1.25579e+06,0.31,2.64,"Mauritania",NA,0.328,NA,"E___","Africa","Western Africa"
5,2013,NA,114664,NA,NA,"New Caledonia",NA,NA,NA,"EUS_","Oceania","Melanesia"
152,2013,NA,49184,NA,NA,"Samoa",NA,NA,NA,"EUS_","Oceania","Polynesia"
44,2013,NA,3.10904e+06,0.069,NA,"Somalia",NA,NA,NA,"E_S_","Africa","Eastern Africa"
49,2013,NA,1.19461e+07,0.152,NA,"Sudan",NA,NA,NA,"E_S_","Africa","Northern Africa"
231,2013,NA,242495,0.044,NA,"East Timor",NA,NA,NA,"E_S_","Asia","South-Eastern Asia"
