Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
US$ in bn (Nominal),0.09,0.123327,0.144543,0.159545,0.146734,0.170122,0.248828,0.128728,0.154041,0.173775,0.257973,0.273174,0.255991,0.384266,0.450021,0.560933,0.908211,1.32288,1.55116,2.32688,2.91422,3.40996,3.2767,3.41614,3.67262,4.86574,5.13549,5.60747,6.28719,7.08223,7.91334,8.76312,9.60662,10.4465,11.3456,12.3182,13.3797,14.4828
Percentage growth,-100,16.3982,5.6236,-5.66602,-24.5956,21.6225,44.0262,26.3961,7.91522,1.55211,76.1898,-11.9131,-12.8304,44.8032,11.1285,5.46822,27.0659,5.78526,9.18687,27.7529,2.36215,33.5919,-9.05099,-14.1762,2.78284,23.1294,-0.366531,4.14384,7.46897,8.394,8.02927,7.36934,6.5982,5.84344,5.81451,5.88338,6.0311,5.98273
Local currency in bn,40.7905,47.4794,50.1494,47.308,35.6723,43.3855,62.4865,78.9805,85.2319,86.5548,152.501,134.333,117.098,169.561,188.431,198.735,252.524,267.133,291.674,372.622,381.424,509.552,463.432,397.735,408.804,503.358,501.513,522.294,561.304,608.42,657.272,705.709,752.273,796.231,842.528,892.098,945.901,1002.49
US$ in bn,0.417694,0.486189,0.51353,0.484433,0.365284,0.444267,0.639861,0.80876,0.872775,0.886321,1.56161,1.37557,1.19908,1.73631,1.92953,2.03504,2.58584,2.73544,2.98674,3.81565,3.90578,5.21781,4.74554,4.07281,4.18615,5.15438,5.13549,5.34829,5.74776,6.23022,6.73046,7.22645,7.70327,8.15341,8.62749,9.13507,9.68602,10.2655
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),24.9658,21.1323,21.5092,14.0863,19.2692,20.9923,44.9279,63.2711,73.1027,67.5751,67.7734,84.3144,93.806,111.624,119.728,128.341,137.535,141.105,165.083,214.624,230.342,188.564,197.137,221.922,221.229,240.54,255.235,278.091,309.104,335.846,363.364,393.489,423.741,456.994,493.175,532.104,574.625,622.853
Percentage of GDP,5.17497,4.40992,4.28215,2.6305,3.44562,3.46409,5.38181,5.84221,6.05238,5.1041,4.67923,5.50208,5.58489,6.09279,6.11822,6.20768,6.42683,6.13842,6.71004,8.1246,7.7542,6.06483,6.06962,6.44471,5.73405,5.75781,5.88237,5.91152,6.12,6.16514,6.16433,6.15712,6.13561,6.10412,6.08094,6.05983,6.04462,6.0518
US$ in bn (Nominal),0.08,0.07,0.08,0.05,0.07,0.07,0.08,0.126758,0.142904,0.115776,0.11488,0.136941,0.131754,0.152275,0.171778,0.220821,0.26034,0.267513,0.315713,0.447815,0.514374,0.399339,0.398031,0.470302,0.433332,0.48698,0.520902,0.550026,0.574245,0.614874,0.664391,0.719517,0.777927,0.843129,0.914365,0.989566,1.06864,1.15833
Percentage growth,-100,-15.3867,0.07,-35.9832,34.8725,6.40092,58.5053,19.5533,8.08553,-10.8318,-4.69269,23.8658,6.43984,15.911,4.8568,5.40144,6.76042,-1.75089,13.4137,26.6829,0.230637,-19.7077,2.6333,9.85712,-6.19115,7.64838,7.11913,5.88361,7.91458,5.48682,5.0424,5.13645,4.51013,4.66444,4.73219,4.70927,4.804,5.19396
Local currency in bn,75.4511,63.8416,63.8869,40.8984,55.1607,58.6915,93.0291,111.219,120.212,107.191,102.161,126.542,134.691,156.122,163.705,172.547,184.212,180.987,205.264,260.034,260.634,209.269,214.78,235.951,221.343,238.272,255.235,270.252,291.641,307.643,323.155,339.754,355.077,371.64,389.226,407.556,427.135,449.32
US$ in bn,0.153987,0.130294,0.130386,0.08,0.112577,0.119783,0.189862,0.226986,0.245339,0.218765,0.208499,0.258259,0.27489,0.318628,0.334103,0.352149,0.375956,0.369373,0.41892,0.5307,0.531924,0.427094,0.438341,0.481548,0.451735,0.486286,0.520905,0.551553,0.595206,0.627864,0.659523,0.693399,0.724672,0.758474,0.794367,0.831776,0.871734,0.917012
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.265233,0.362757,0.418733,0.497418,0.596599,0.686654,0.93898,0.990452,0.935512,1.06139,1.52891,2.00223,2.19386,2.53193,3.09036,4.01162,4.68271,5.34379,7.5375,8.63909,9.0024,9.19063,10.3062,10.364,12.5087,14.1924,15.8425,17.4222,19.5131,21.6522,23.7206,26.2032,29.1495,32.2007,35.5146,39.1583,43.1357,47.4936
Percentage of GDP,5.70259,5.87784,5.93749,6.24054,6.81995,6.79109,8.22664,7.53894,5.76974,5.62224,6.70107,7.38006,7.63165,7.18491,8.01263,9.96287,9.88299,10.3575,11.8734,11.9125,10.6708,9.05571,8.2596,7.21533,8.24059,8.34353,8.5358,8.62068,8.83334,8.97588,9.00489,9.10928,9.28012,9.43347,9.5741,9.71405,9.84688,9.9779
US$ in bn (Nominal),0.145047,0.180037,0.225065,0.246052,0.282788,0.283378,0.349752,0.35728,0.281425,0.290728,0.361795,0.432971,0.430016,0.433461,0.488378,0.810445,0.997828,1.04567,1.29142,1.40729,1.31867,1.28003,1.51179,1.51028,1.63598,1.68385,1.7728,1.88502,2.22068,2.51704,2.73153,2.95785,3.21973,3.48172,3.7549,4.04488,4.35319,4.6827
Percentage growth,-100,17.1504,8.69808,12.9441,12.473,3.07002,20.6726,-1.07971,-19.9885,6.98992,31.54,20.8497,9.4996,-2.49084,21.9115,32.6325,4.31283,5.49525,19.0957,7.01658,-14.7059,5.62922,-2.22959,-7.64632,18.9818,7.22012,6.81941,5.23618,6.66788,5.6782,4.33613,5.20562,5.95045,5.21017,5.04285,5.01289,4.91503,4.86334
Local currency in bn,2.1791,2.55284,2.77489,3.13407,3.52497,3.63319,4.38426,4.33691,3.47004,3.71259,4.88356,5.90176,6.46239,6.30143,7.68216,10.189,10.6285,11.2126,13.3536,14.2906,12.189,12.8752,12.5881,11.6256,13.8323,14.831,15.8424,16.672,17.7836,18.7934,19.6083,20.6291,21.8566,22.9954,24.155,25.3659,26.6126,27.9069
US$ in bn,0.243845,0.285666,0.310513,0.350706,0.39445,0.40656,0.490606,0.485309,0.388303,0.415445,0.546476,0.660415,0.723151,0.705139,0.859645,1.14017,1.18934,1.2547,1.49429,1.59914,1.36397,1.44075,1.40863,1.30092,1.54786,1.65962,1.77279,1.86562,1.99002,2.10302,2.19421,2.30843,2.44579,2.57322,2.70298,2.83848,2.97799,3.12282
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.423278,0.474252,4.04733,6.47775,7.66123,9.87586,31.2213,113.099,85.7914,126.15,156.873,185.468,48.4183,75.2823,85.509,80.9919,92.2105,109.886,109.106,135.895,147.644,160.848,166.725,161.326,193.477,196.544,211.454,218.782,235.517,252.047,271.895,292.428,314.635,337.453,362.098,391.007,418.949,451.529
Percentage of GDP,0.05,0.06,0.474431,0.724983,0.853481,1.07895,2.93674,9.42548,6.41796,8.74042,9.38379,9.99889,2.58311,3.62361,3.82717,3.31343,3.60742,3.81361,3.58749,4.1971,3.94825,4.08048,3.74338,3.32599,3.54603,3.36032,3.33147,3.1759,3.13494,3.0733,3.0401,3.00069,2.96303,2.91653,2.87214,2.84636,2.79898,2.76402
US$ in bn (Nominal),0,0,0.01,0.02,0.03,0.03,0.06,0.226583,0.167709,0.216132,0.265909,0.301231,0.07,0.102699,0.122683,0.139353,0.174545,0.208326,0.20866,0.283547,0.329703,0.340642,0.336628,0.341886,0.378972,0.39783,0.4284,0.391858,0.411961,0.433415,0.461928,0.494814,0.530264,0.566447,0.606297,0.653657,0.699247,0.752419
Percentage growth,-100,6.88466,738.172,66.6772,17.9926,30.8009,175.754,239.303,-24.4082,44.7894,15.2066,13.2058,-73.6782,49.5584,10.2153,-6.66839,13.7484,14.8726,-0.05,21.8026,-0.472931,6.41024,-0.512703,-6.63663,13.258,1.01738,5.78473,1.53551,5.12628,4.40593,5.25029,4.92232,4.96546,4.63258,4.68201,5.34544,4.52868,5.14393
Local currency in bn,0.895764,0.957434,8.02495,13.3758,15.7824,20.6435,56.9253,193.149,146.005,211.399,243.546,275.708,72.5712,108.536,119.624,111.647,126.996,145.884,145.816,177.607,176.767,188.098,187.134,174.715,197.878,199.891,211.455,214.701,225.708,235.652,248.025,260.233,273.155,285.809,299.191,315.184,329.457,346.404
US$ in bn,0,0,0.02,0.03,0.03,0.04,0.115329,0.391313,0.2958,0.428287,0.493415,0.558574,0.147027,0.219891,0.242353,0.226192,0.25729,0.295556,0.295417,0.359826,0.358124,0.381081,0.379127,0.353966,0.400894,0.404973,0.428399,0.434977,0.457276,0.477423,0.502489,0.527223,0.553402,0.579039,0.606149,0.638551,0.667469,0.701803
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.75362,2.0391,2.84184,3.14799,4.53182,3.96198,4.37125,3.07585,5.56951,5.01418,4.53859,4.35868,11.605,10.5692,13.8145,17.5929,22.7779,31.6383,27.1552,47.3462,74.5435,106.483,140.147,152.648,171.803,190.139,202.96,224.276,249.77,276.252,302.21,328.253,354.935,383.223,413.669,445.489,479.909,520.508
Percentage of GDP,1.14685,1.13569,1.44508,1.53597,2.0065,1.67401,1.61867,1.231,2.11708,1.46277,1.13418,0.95702,2.27087,1.92174,2.36304,2.72894,3.0432,2.61854,2.07308,3.22691,3.90047,4.87518,5.60352,5.10768,4.74365,4.49467,4.32481,4.27542,4.25164,4.19899,4.10176,3.98962,3.86307,3.73504,3.61043,3.48179,3.35881,3.25132
US$ in bn (Nominal),0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.06,0.09,0.113871,0.121047,0.1191,0.122269,0.131276,0.140831,0.151876,0.162613,0.17221,0.181426,0.190275,0.199455,0.209031,0.218978,0.230152,0.24281
Percentage growth,-100,0.241211,31.7929,11.9904,33.6762,-22.8132,-6.51437,-29.0933,56.9295,-30.3899,-19.0786,-16.306,135.094,-13.8159,28.5485,14.1642,16.387,-13.1016,-16.6655,61.0822,26.7873,29.8887,20.4273,-5.03879,-3.22907,-0.71463,0.935555,3.90022,4.71446,3.99592,2.86157,2.42117,1.95988,1.8102,1.78687,1.54826,1.5806,2.27243
Local currency in bn,36.7688,36.8575,48.5756,54.4,72.7199,56.1301,52.4736,37.2073,58.3892,40.6448,32.8903,27.5272,64.7149,55.774,71.6966,81.8519,95.265,82.7837,68.9874,111.126,140.894,183.006,220.389,209.284,202.526,201.079,202.96,210.876,220.817,229.641,236.212,241.932,246.673,251.138,255.626,259.584,263.687,269.679
US$ in bn,0.02,0.02,0.03,0.04,0.05,0.04,0.03,0.02,0.04,0.03,0.02,0.02,0.04,0.04,0.05,0.05,0.06,0.05,0.04,0.07,0.09,0.11837,0.14255,0.135367,0.130996,0.13006,0.131276,0.136396,0.142827,0.148534,0.152784,0.156484,0.159551,0.162439,0.165341,0.167901,0.170555,0.174431
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),3.59668,4.87511,3.32943,4.80434,2.3047,5.13508,6.82245,10.3996,10.6628,13.9667,13.9682,19.3599,25.9512,27.0228,27.7555,24.9776,28.2806,37.3069,41.1785,42.2911,48.4123,48.2936,50.4966,49.4757,52.3063,35.8164,43.5725,48.0339,51.617,55.001,58.7738,62.8829,67.3478,72.1176,77.2238,82.5412,88.0578,94.1009
Percentage of GDP,0.954665,1.23849,0.848793,1.23643,0.616688,1.41813,1.44367,1.86793,2.06828,2.55178,2.44763,3.14602,3.98573,3.95608,4.01679,3.77062,4.21492,5.23797,5.34373,5.1964,5.44534,5.16098,5.13371,4.73861,4.69079,4.94032,5.00022,4.9384,4.86977,4.8084,4.77068,4.74358,4.7304,4.72541,4.72933,4.72913,4.71102,4.69444
US$ in bn (Nominal),0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.07,0.08,0.09,0.108109,0.102276,0.101956,0.10485,0.102455,0.07,0.09,0.09,0.09,0.09,0.1,0.106397,0.113496,0.121049,0.129296,0.137978,0.146964,0.156798
Percentage growth,-100,35.5445,-31.7054,44.2992,-52.0287,129.158,7.07101,36.0546,2.36791,30.9286,0.285378,36.1658,29.1261,-0.118095,0.915443,-12.7481,14.8774,27.2318,5.87438,0.851974,6.90823,-3.60211,2.50262,-4.69206,2.93378,-32.5955,2.22804,3.9931,4.33011,4.46651,4.97021,5.09937,5.20655,5.18906,5.18735,4.99568,4.79719,4.97298
Local currency in bn,8.7938,11.9195,8.14039,11.7465,5.63495,12.9129,13.826,18.8109,19.2563,25.212,25.284,34.4281,44.4557,44.4032,44.8097,39.0973,44.914,57.1449,60.5018,61.0173,65.2325,62.8827,64.4564,61.4321,63.2344,42.6228,43.5725,45.3124,47.2744,49.3859,51.8405,54.4841,57.3208,60.2952,63.4229,66.5914,69.7859,73.2563
US$ in bn,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.04,0.04,0.05,0.05,0.07,0.09,0.09,0.09,0.08,0.09,0.115769,0.12257,0.123614,0.132154,0.127393,0.130581,0.124454,0.128106,0.09,0.09,0.09,0.1,0.10005,0.105023,0.110379,0.116126,0.122151,0.128488,0.134907,0.141378,0.148409
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),90.335,108.087,95.0741,99.4949,88.8463,99.6721,111.072,134.347,200.608,217.316,203.093,226.076,334.016,378.593,405.009,521.903,498.357,573.359,586.63,584.062,553.976,674.114,670.165,761.131,846.447,879.155,946.09,998.938,1083.85,1158.94,1256.51,1359.85,1468.93,1585.93,1719.8,1862.6,2015.53,2171.88
Percentage of GDP,2.7597,3.34515,2.94788,3.09889,2.89355,2.86945,2.81218,3.01991,4.10761,4.08124,3.50286,3.66375,5.05137,5.36142,5.34096,6.58636,5.97989,6.553,6.24907,5.96452,5.30434,6.10596,5.7279,6.06689,6.35398,6.1338,6.21165,6.1241,6.18617,6.15134,6.19611,6.24782,6.28809,6.31686,6.3722,6.41072,6.44374,6.45178
US$ in bn (Nominal),0.30329,0.338821,0.349191,0.352681,0.335662,0.351999,0.200054,0.269152,0.392158,0.372327,0.344255,0.367185,0.469137,0.51647,0.581083,0.897974,0.94334,1.087,1.1219,1.21865,1.23708,1.42763,1.3531,1.61301,1.65798,1.77952,1.9168,1.78929,1.89596,1.99301,2.13483,2.30112,2.47576,2.66228,2.8798,3.11393,3.3642,3.61939
Percentage growth,-100,17.401,-12.4008,1.1659,-9.47455,-3.96436,-2.11528,11.7404,42.8675,4.63815,-9.96995,8.84198,43.6284,10.9293,3.61218,28.2887,-5.84692,12.1009,-1.5636,-1.44609,-8.50349,17.3363,-3.16414,10.348,10.2723,1.94077,6.33292,3.71761,6.16502,4.60796,6.06654,5.87579,5.67699,5.62215,6.08826,5.95254,5.86241,5.41911
Local currency in bn,219.538,257.74,225.778,228.411,206.77,198.573,194.372,217.192,310.297,324.689,292.318,318.164,456.975,506.919,525.23,673.811,634.414,711.183,700.063,689.939,631.271,740.709,717.272,791.496,872.801,889.74,946.086,981.258,1041.75,1089.76,1155.87,1223.78,1293.26,1365.97,1449.13,1535.39,1625.4,1713.48
US$ in bn,0.444788,0.522186,0.457431,0.462764,0.418919,0.402312,0.393802,0.440036,0.628668,0.657827,0.592242,0.644607,0.925839,1.02703,1.06413,1.36515,1.28533,1.44087,1.41834,1.39783,1.27897,1.50069,1.45321,1.60359,1.76831,1.80263,1.91679,1.98805,2.11061,2.20787,2.34181,2.47941,2.62017,2.76747,2.93597,3.11073,3.29309,3.47155
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.82232,0.628861,1.24204,1.40295,0.966009,1.50654,2.28985,3.12968,4.31129,7.17576,7.76367,9.03023,12.4315,15.6925,18.7645,20.9139,25.2175,27.7835,39.3772,46.006,59.1688,55.3214,58.1833,60.5495,68.3866,73.4407,67.9329,73.5364,80.605,87.1864,94.474,102.54,110.791,119.795,129.868,141.265,153.91,168.485
Percentage of GDP,3.78107,2.64239,5.0625,5.37992,3.48392,4.55571,6.01091,7.29861,9.09152,13.7261,13.2301,12.8539,16.9373,19.8882,22.6775,23.1239,27.0128,28.346,35.5546,37.718,43.9268,40.7137,41.9889,40.0242,41.8648,44.0361,40.0494,41.0622,42.2226,42.8425,43.5493,44.4275,44.9458,45.4484,46.0569,47.0129,48.1109,49.4219
US$ in bn (Nominal),0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.04,0.05,0.08,0.08,0.09,0.107282,0.127361,0.16003,0.213871,0.284148,0.31342,0.447845,0.570688,0.785398,0.691212,0.698658,0.763772,0.792255,0.884055,0.818788,0.783546,0.838763,0.891899,0.954834,1.03219,1.1108,1.19627,1.29363,1.4049,1.5282,1.67024
Percentage growth,-100,-26.1326,92.9062,7.7649,-33.2712,40.3274,41.0826,30.5236,32.9006,62.5096,4.49566,8.68068,41.3421,24.6288,20.0485,6.744,21.8174,11.7782,38.1513,15.2601,24.2067,-8.49229,4.64475,0.130714,9.08839,5.71242,-8.14569,5.60404,6.93896,5.52682,5.71642,6.09665,5.61794,5.69608,5.97135,6.33015,6.50109,7.00974
Local currency in bn,1.69414,1.25141,2.41406,2.60151,1.73595,2.43602,3.4368,4.48583,5.96169,9.68832,10.1239,11.0027,15.5514,19.3816,23.2673,24.8364,30.2551,33.8186,46.7209,53.8505,66.886,61.2058,64.0487,64.1324,69.961,73.9574,67.9331,71.7401,76.7181,80.9582,85.5861,90.804,95.9053,101.368,107.421,114.221,121.647,130.174
US$ in bn,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.05,0.07,0.116772,0.122022,0.132614,0.18744,0.233604,0.280438,0.299351,0.364661,0.407612,0.563121,0.649055,0.806169,0.737707,0.771971,0.77298,0.843232,0.891401,0.81879,0.864675,0.924675,0.97578,1.03156,1.09445,1.15594,1.22178,1.29474,1.37669,1.46619,1.56897
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),2.32131,8.74422,13.3089,11.6293,2.30031,5.34225,6.73652,6.74911,11.079,19.8441,27.325,25.0194,30.3544,53.476,42.0063,44.0217,58.5352,129.603,129.345,137.358,135.315,152.103,181.324,212.357,227.974,239.047,254.331,276.47,310.405,346.509,376.349,405.741,440.395,479.35,520.205,564.494,612.488,661.701
Percentage of GDP,0.525671,1.9119,2.81158,2.19605,0.461807,1.28935,1.0284,0.935131,1.34741,2.20102,2.6546,2.64784,3.07814,4.26778,3.03218,2.7677,2.50972,3.69671,3.33283,3.31764,2.919,3.48111,3.43514,3.70206,3.46506,3.60717,3.41368,3.32921,3.32797,3.35439,3.38449,3.38997,3.41832,3.4568,3.48537,3.51364,3.54175,3.55711
US$ in bn (Nominal),0.01,0.03,0.05,0.04,0.01,0.02,0.01,0.01,0.02,0.03,0.05,0.04,0.04,0.07,0.06,0.08,0.110801,0.245707,0.247366,0.286599,0.30217,0.322122,0.366105,0.450032,0.446543,0.483861,0.515279,0.495209,0.542979,0.595879,0.639417,0.686583,0.742247,0.804675,0.871076,0.943726,1.02232,1.1027
Percentage growth,-100,270.806,51.7657,-13.7679,-78.468,173.405,-15.8569,-9.7736,47.1354,72.5859,28.9924,-0.935852,15.228,54.8114,-22.9191,4.71561,21.1731,58.9835,-9.25896,2.80014,-9.32952,24.286,12.0515,7.85961,1.91172,8.19742,4.09529,5.33085,7.96011,7.34527,4.42847,3.66817,4.36543,4.65811,4.3485,4.33901,4.32848,3.87904
Local currency in bn,8.93416,33.1284,50.2775,43.3554,9.33527,25.5231,21.4759,19.377,28.5103,49.2049,63.4705,62.8765,72.4514,112.163,86.4563,90.5332,109.702,174.408,158.26,162.691,147.513,183.338,205.433,221.579,225.815,244.326,254.332,267.89,289.214,310.458,324.206,336.099,350.771,367.11,383.074,399.696,416.996,433.172
US$ in bn,0.02,0.07,0.101863,0.09,0.02,0.05,0.04,0.04,0.06,0.1,0.128592,0.127389,0.146788,0.227244,0.175162,0.183422,0.222258,0.353353,0.320636,0.329615,0.298863,0.371445,0.41621,0.448922,0.457505,0.495008,0.51528,0.542749,0.585952,0.628992,0.656847,0.680941,0.710667,0.743771,0.776114,0.80979,0.844841,0.877613
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),2.90716,3.41946,2.83265,5.10059,4.412,4.96389,10.5448,12.8482,15.2543,18.1979,12.9217,14.3039,13.7025,10.4392,11.5759,11.2537,12.3982,13.9365,13.9864,13.8661,12.4043,12.5666,14.0681,14.718,15.8347,16.0286,17.3168,18.1322,19.9547,21.6501,23.2842,24.8349,26.3558,28.0066,29.7525,31.5639,33.3206,35.1537
Percentage of GDP,4.70444,5.39372,4.16113,7.32527,6.26188,6.65116,13.6324,14.8,17.2498,19.6001,13.5585,13.9167,12.7097,8.62638,8.81686,7.9567,8.6341,9.10214,8.84576,8.29682,6.96687,6.63019,6.9699,6.81356,6.93997,6.58125,6.64224,6.50325,6.69156,6.78413,6.81127,6.78212,6.69959,6.62641,6.55257,6.47066,6.35828,6.28411
US$ in bn (Nominal),0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08
Percentage growth,-100,11.0121,-18.9254,66.5413,-7.22789,9.41565,94.1503,12.4819,15.0472,18.2062,-29.9408,4.62195,-7.37701,-29.8685,6.4491,-7.52232,8.25278,9.88092,-1.61213,-5.74361,-15.214,-3.10861,7.28205,-0.07,4.86951,-1.83212,4.89131,1.75494,6.94932,5.43882,4.51669,3.65466,2.83322,2.96792,2.94012,2.79875,2.29189,2.22998
Local currency in bn,7.79359,8.65183,7.01444,11.6819,10.8376,11.858,23.0223,25.896,29.7926,35.2167,24.6725,25.8129,23.9087,16.7675,17.8488,16.5062,17.8684,19.634,19.3174,18.2079,15.4378,14.9579,16.0471,16.0364,16.8173,16.5092,17.3167,17.6206,18.8451,19.8701,20.7675,21.5265,22.1364,22.7934,23.4636,24.1202,24.6731,25.2233
US$ in bn,0.02,0.02,0.02,0.03,0.03,0.03,0.06,0.07,0.08,0.1,0.07,0.07,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07
Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),16.3602,18.7935,20.481,21.8808,21.9929,21.3362,28.7885,28.3866,30.7351,55.6676,32.844,40.3053,71.568,79.5225,88.7458,82.3603,97.5854,109.816,124.356,136.724,214.349,182.829,176.303,195.029,212.285,236.596,246.512,273.573,297.45,320.565,341.795,362.131,382.037,401.142,420.604,438.167,453.471,481.309
Percentage of GDP,2.48257,2.4787,2.68744,2.84647,2.83597,2.80665,2.93072,2.68762,2.36479,4.10619,2.85575,2.78102,3.12183,3.88237,4.21615,3.99691,4.24912,3.48071,3.19369,3.751,4.61075,4.41361,3.726,3.93469,3.96881,4.03951,3.94312,3.99212,3.92883,3.85378,3.80306,3.76545,3.73015,3.67783,3.62107,3.54021,3.43986,3.42768
US$ in bn (Nominal),0.05,0.06,0.08,0.08,0.08,0.08,0.05,0.06,0.06,0.1,0.06,0.07,0.10052,0.108483,0.127327,0.141707,0.184719,0.208195,0.237824,0.285276,0.478661,0.387194,0.355966,0.413311,0.415813,0.478997,0.499434,0.490017,0.520314,0.551262,0.580708,0.612786,0.643886,0.673386,0.704291,0.732527,0.7569,0.802078
