rgn_type,type_w_ant,rgn_id,rgn_ant_id,rgn_name
eez,eez-ccamlr,213,248500,Antarctica
eez,eez-ccamlr,213,248600,Antarctica
eez,eez,249,249,Sint Eustatius
eez,eez,25,25,Thailand
eez,eez,250,250,Aruba
eez,eez-ccamlr,213,258410,Antarctica
eez,eez-ccamlr,213,258420,Antarctica
eez,eez-ccamlr,213,258431,Antarctica
eez,eez-ccamlr,213,258432,Antarctica
eez,eez-ccamlr,213,258441,Antarctica
eez,eez-ccamlr,213,258442,Antarctica
eez,eez-ccamlr,213,258510,Antarctica
eez,eez-ccamlr,213,258520,Antarctica
eez,eez-ccamlr,213,258600,Antarctica
eez,eez-ccamlr,213,258700,Antarctica
eez,eez,26,26,Andaman and Nicobar
fao,fao,260,260,Arctic Sea
fao,fao,261,261,"Atlantic, Northwest"
fao,fao,262,262,"Atlantic, Northeast"
fao,fao,263,263,"Atlantic, Western-Central"
fao,fao,264,264,"Atlantic, Eastern Central"
fao,fao,266,266,"Atlantic, Southwest"
fao,fao,267,267,"Atlantic, Southeast"
fao,fao,269,269,"Indian Ocean, Western"
fao,fao,270,270,"Indian Ocean, Eastern"
fao,fao,272,272,"Pacific, Northwest"
fao,fao,273,273,"Pacific, Northeast"
fao,fao,274,274,"Pacific, Western Central"
fao,fao,275,275,"Pacific, Eastern Central"
fao,fao,276,276,"Pacific, Southwest"
fao,fao,277,277,"Pacific, Southeast"
eez,eez,28,28,Comoro Islands
eez,eez-ccamlr,213,288100,Antarctica
eez,eez-ccamlr,213,288200,Antarctica
eez,eez-ccamlr,213,288300,Antarctica
eez,eez,29,29,Mayotte
eez,eez,3,3,Norfolk Island
eez,eez,30,30,Glorioso Islands
eez,eez,31,31,Seychelles
eez,eez,32,32,Reunion
eez,eez,33,33,Juan de Nova Island
eez,eez,34,34,Bassas da India
eez,eez,35,35,Ile Europa
eez,eez,36,36,Ile Tromelin
eez,eez,37,37,Mauritius
eez,eez,38,38,British Indian Ocean Territory
eez,eez,39,39,Maldives
eez,eez,4,4,Macquarie Island
eez,eez,40,40,Sri Lanka
eez,eez,41,41,Mozambique
eez,eez,42,42,Madagascar
eez,eez,43,43,Kenya
eez,eez,44,44,Somalia
eez,eez,45,45,Eritrea
eez,eez,46,46,Djibouti
eez,eez,47,47,Yemen
eez,eez,48,48,Oman
eez,eez,49,49,Sudan
eez,eez,5,5,New Caledonia
eez,eez,50,50,Saudi Arabia
eez,eez,51,51,Kuwait
eez,eez,52,52,Bahrain
eez,eez,53,53,Pakistan
eez,eez,54,54,United Arab Emirates
eez,eez,55,55,Azores
eez,eez,56,56,Cape Verde
eez,eez,57,57,Madeira
eez,eez,58,58,Canary Islands
eez,eez,59,59,Belgium
eez,eez,6,6,Vanuatu
eez,eez,60,60,Gibraltar
eez,eez,61,61,Tunisia
eez,eez,62,62,Morocco
eez,eez,63,63,Western Sahara
eez,eez,64,64,Mauritania
eez,eez,65,65,Gambia
eez,eez,66,66,Senegal
eez,eez,67,67,Libya
eez,eez,68,68,Malta
eez,eez,69,69,Latvia
eez,eez,7,7,Solomon Islands
eez,eez,70,70,Estonia
eez,eez,71,71,Bulgaria
eez,eez,72,72,Romania
eez,eez,73,73,Russia
eez,eez,74,74,Georgia
eez,eez,75,75,Ukraine
eez,eez,76,76,Turkey
eez,eez,77,77,Syria
eez,eez,78,78,Lebanon
eez,eez,79,79,Israel
eez,eez,8,8,Palau
eez,eez,80,80,Greece
eez,eez,81,81,Cyprus
eez,eez,82,82,Albania
eez,eez,84,84,Algeria
eez,eez,85,85,Ascension
eez,eez,86,86,Saint Helena
eez,eez,88,88,Tristan da Cunha
eez,eez,89,89,South Georgia and the South Sandwich Islands
eez,eez,9,9,Micronesia
eez,eez,90,90,Prince Edward Islands
eez,eez,91,91,Crozet Islands
eez,eez,92,92,Amsterdam Island and Saint Paul Island
eez,eez,93,93,Kerguelen Islands
eez,eez,94,94,Heard and McDonald Islands
eez,eez,95,95,Falkland Islands
eez,eez,96,96,Sierra Leone
eez,eez,97,97,Liberia
eez,eez,98,98,Togo
eez,eez,99,99,Benin
