Economy,Rank,Score,Change since past edition,,,,,,,
Zambia,108,3.46,3,,,,,,,
Tanzania,109,3.46,1,,,,,,,
Bolivia,110,3.46,7,,,,,,,
Kyrgyz Republic,111,3.45,-4,,,,,,,
Nepal,112,3.42,0,,,,,,,
Venezuela,113,3.41,-7,,,,,,,
Tajikistan,114,3.41,4,,,,,,,
Paraguay,115,3.39,8,,,,,,,
Uganda,116,3.39,-1,,,,,,,
Ghana,117,3.38,-9,,,,,,,
Zimbabwe,118,3.33,1,,,,,,,
Swaziland,119,3.31,-3,,,,,,,
Ethiopia,120,3.29,2,,,,,,,
Cameroon,121,3.27,5,,,,,,,
Pakistan,122,3.25,3,,,,,,,
Bangladesh,123,3.24,6,,,,,,,
Malawi,124,3.22,-3,,,,,,,
Mozambique,125,3.17,3,,,,,,,
C™te d'Ivoire,126,3.15,5,,,,,,,
Nigeria,127,3.14,3,,,,,,,
Burkina Faso,128,3.12,4,,,,,,,
Mali,129,3.11,4,,,,,,,
Benin,130,3.09,-10,,,,,,,
Madagascar,131,3.09,-4,,,,,,,
Algeria,132,3.07,-19,,,,,,,
Yemen,133,2.96,n/a,,,,,,,
Mauritania,134,2.91,2,,,,,,,
Lesotho,135,2.89,0,,,,,,,
Guinea,136,2.88,n/a,,,,,,,
Sierra Leone,137,2.87,n/a,,,,,,,
Burundi,138,2.82,-1,,,,,,,
Chad,139,2.61,0,,,,,,,
Haiti,140,2.59,n/a,,,,,,,
