"","species","genus","family","order","class"
"102","Sympterygia bonapartii","Sympterygia","Arhynchobatidae","Rajiformes","Elasmobranchii"
"103","Amphiarius phrygiatus","Amphiarius","Ariidae","Siluriformes","Actinopterygii"
"104","Ariopsis felis","Ariopsis","Ariidae","Siluriformes","Actinopterygii"
"105","Aspistor quadriscutis","Aspistor","Ariidae","Siluriformes","Actinopterygii"
"106","Bagre bagre","Bagre","Ariidae","Siluriformes","Actinopterygii"
"107","Bagre marinus","Bagre","Ariidae","Siluriformes","Actinopterygii"
"108","Cathorops spixii","Cathorops","Ariidae","Siluriformes","Actinopterygii"
"109","Galeichthys feliceps","Galeichthys","Ariidae","Siluriformes","Actinopterygii"
"110","Netuma thalassina","Netuma","Ariidae","Siluriformes","Actinopterygii"
"111","Notarius grandicassis","Notarius","Ariidae","Siluriformes","Actinopterygii"
"112","Sciades couma","Sciades","Ariidae","Siluriformes","Actinopterygii"
"113","Sciades parkeri","Sciades","Ariidae","Siluriformes","Actinopterygii"
"114","Sciades passany","Sciades","Ariidae","Siluriformes","Actinopterygii"
"115","Sciades proops","Sciades","Ariidae","Siluriformes","Actinopterygii"
"116","Ariomma indicum","Ariomma","Ariommatidae","Perciformes","Actinopterygii"
"117","Arripis georgianus","Arripis","Arripidae","Perciformes","Actinopterygii"
"118","Arripis trutta","Arripis","Arripidae","Perciformes","Actinopterygii"
"119","Artedidraco mirus","Artedidraco","Artedidraconidae","Perciformes","Actinopterygii"
"120","Pogonophryne permitini","Pogonophryne","Artedidraconidae","Perciformes","Actinopterygii"
"121","Atherina boyeri","Atherina","Atherinidae","Atheriniformes","Actinopterygii"
"122","Atherina presbyter","Atherina","Atherinidae","Atheriniformes","Actinopterygii"
"123","Atherinomorus lacunosus","Atherinomorus","Atherinidae","Atheriniformes","Actinopterygii"
"124","Hypoatherina temminckii","Hypoatherina","Atherinidae","Atheriniformes","Actinopterygii"
"125","Membras martinica","Membras","Atherinopsidae","Atheriniformes","Actinopterygii"
"126","Menidia beryllina","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii"
"127","Menidia menidia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii"
"128","Odontesthes regia","Odontesthes","Atherinopsidae","Atheriniformes","Actinopterygii"
"129","Aulostomus chinensis","Aulostomus","Aulostomidae","Syngnathiformes","Actinopterygii"
"130","Aulostomus maculatus","Aulostomus","Aulostomidae","Syngnathiformes","Actinopterygii"
"131","Abalistes stellaris","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii"
"132","Balistapus undulatus","Balistapus","Balistidae","Tetraodontiformes","Actinopterygii"
"133","Balistes capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopterygii"
"134","Balistes vetula","Balistes","Balistidae","Tetraodontiformes","Actinopterygii"
"135","Balistoides conspicillum","Balistoides","Balistidae","Tetraodontiformes","Actinopterygii"
"136","Balistoides viridescens","Balistoides","Balistidae","Tetraodontiformes","Actinopterygii"
"137","Canthidermis maculata","Canthidermis","Balistidae","Tetraodontiformes","Actinopterygii"
"138","Canthidermis sufflamen","Canthidermis","Balistidae","Tetraodontiformes","Actinopterygii"
"139","Melichthys niger","Melichthys","Balistidae","Tetraodontiformes","Actinopterygii"
"140","Melichthys vidua","Melichthys","Balistidae","Tetraodontiformes","Actinopterygii"
"141","Odonus niger","Odonus","Balistidae","Tetraodontiformes","Actinopterygii"
"142","Pseudobalistes flavimarginatus","Pseudobalistes","Balistidae","Tetraodontiformes","Actinopterygii"
"143","Pseudobalistes fuscus","Pseudobalistes","Balistidae","Tetraodontiformes","Actinopterygii"
"144","Rhinecanthus aculeatus","Rhinecanthus","Balistidae","Tetraodontiformes","Actinopterygii"
"145","Rhinecanthus rectangulus","Rhinecanthus","Balistidae","Tetraodontiformes","Actinopterygii"
"146","Rhinecanthus verrucosus","Rhinecanthus","Balistidae","Tetraodontiformes","Actinopterygii"
"147","Sufflamen bursa","Sufflamen","Balistidae","Tetraodontiformes","Actinopterygii"
"148","Sufflamen chrysopterum","Sufflamen","Balistidae","Tetraodontiformes","Actinopterygii"
"149","Sufflamen fraenatum","Sufflamen","Balistidae","Tetraodontiformes","Actinopterygii"
"150","Xanthichthys auromarginatus","Xanthichthys","Balistidae","Tetraodontiformes","Actinopterygii"
"151","Xanthichthys caeruleolineatus","Xanthichthys","Balistidae","Tetraodontiformes","Actinopterygii"
"152","Barbourisia rufa","Barbourisia","Barbourisiidae","Cetomimiformes","Actinopterygii"
"153","Parachaenichthys georgianus","Parachaenichthys","Bathydraconidae","Perciformes","Actinopterygii"
"154","Psilodraco breviceps","Psilodraco","Bathydraconidae","Perciformes","Actinopterygii"
"155","Amphichthys cryptocentrus","Amphichthys","Batrachoididae","Batrachoidiformes","Actinopterygii"
"156","Halobatrachus didactylus","Halobatrachus","Batrachoididae","Batrachoidiformes","Actinopterygii"
"157","Opsanus tau","Opsanus","Batrachoididae","Batrachoidiformes","Actinopterygii"
"158","Porichthys margaritatus","Porichthys","Batrachoididae","Batrachoidiformes","Actinopterygii"
"159","Porichthys plectrodon","Porichthys","Batrachoididae","Batrachoidiformes","Actinopterygii"
"160","Porichthys porosissimus","Porichthys","Batrachoididae","Batrachoidiformes","Actinopterygii"
"161","Ablennes hians","Ablennes","Belonidae","Beloniformes","Actinopterygii"
"162","Belone belone","Belone","Belonidae","Beloniformes","Actinopterygii"
"163","Platybelone argalus platyura","Platybelone","Belonidae","Beloniformes","Actinopterygii"
"164","Strongylura incisa","Strongylura","Belonidae","Beloniformes","Actinopterygii"
"165","Strongylura marina","Strongylura","Belonidae","Beloniformes","Actinopterygii"
"166","Tylosurus acus melanotus","Tylosurus","Belonidae","Beloniformes","Actinopterygii"
"167","Tylosurus crocodilus","Tylosurus","Belonidae","Beloniformes","Actinopterygii"
"168","Beryx decadactylus","Beryx","Berycidae","Beryciformes","Actinopterygii"
"169","Beryx splendens","Beryx","Berycidae","Beryciformes","Actinopterygii"
"170","Centroberyx affinis","Centroberyx","Berycidae","Beryciformes","Actinopterygii"
"171","Istiblennius edentulus","Istiblennius","Blenniidae","Perciformes","Actinopterygii"
"172","Salarias fasciatus","Salarias","Blenniidae","Perciformes","Actinopterygii"
"173","Spaniblennius riodourensis","Spaniblennius","Blenniidae","Perciformes","Actinopterygii"
"174","Arnoglossus laterna","Arnoglossus","Bothidae","Pleuronectiformes","Actinopterygii"
"175","Bothus mancus","Bothus","Bothidae","Pleuronectiformes","Actinopterygii"
"176","Bothus myriaster","Bothus","Bothidae","Pleuronectiformes","Actinopterygii"
"177","Bothus pantherinus","Bothus","Bothidae","Pleuronectiformes","Actinopterygii"
"178","Bothus podas","Bothus","Bothidae","Pleuronectiformes","Actinopterygii"
"179","Chascanopsetta lugubris","Chascanopsetta","Bothidae","Pleuronectiformes","Actinopterygii"
"180","Engyophrys sanctilaurentii","Engyophrys","Bothidae","Pleuronectiformes","Actinopterygii"
"181","Trichopsetta caribbaea","Trichopsetta","Bothidae","Pleuronectiformes","Actinopterygii"
"182","Cottoperca gobio","Cottoperca","Bovichtidae","Perciformes","Actinopterygii"
"183","Brama australis","Brama","Bramidae","Perciformes","Actinopterygii"
"184","Brama brama","Brama","Bramidae","Perciformes","Actinopterygii"
"185","Taractichthys steindachneri","Taractichthys","Bramidae","Perciformes","Actinopterygii"
"186","Bregmaceros mcclellandi","Bregmaceros","Bregmacerotidae","Gadiformes","Actinopterygii"
"187","Caesio caerulaurea","Caesio","Caesionidae","Perciformes","Actinopterygii"
"188","Caesio lunaris","Caesio","Caesionidae","Perciformes","Actinopterygii"
"189","Caesio teres","Caesio","Caesionidae","Perciformes","Actinopterygii"
"190","Pterocaesio marri","Pterocaesio","Caesionidae","Perciformes","Actinopterygii"
"191","Pterocaesio pisang","Pterocaesio","Caesionidae","Perciformes","Actinopterygii"
"192","Pterocaesio tile","Pterocaesio","Caesionidae","Perciformes","Actinopterygii"
"193","Pterocaesio trilineata","Pterocaesio","Caesionidae","Perciformes","Actinopterygii"
"194","Callionymus lyra","Callionymus","Callionymidae","Perciformes","Actinopterygii"
"195","Callionymus maculatus","Callionymus","Callionymidae","Perciformes","Actinopterygii"
"196","Callorhinchus capensis","Callorhinchus","Callorhinchidae","Chimaeriformes","Holocephali"
"197","Callorhinchus milii","Callorhinchus","Callorhinchidae","Chimaeriformes","Holocephali"
"198","Capros aper","Capros","Caproidae","Perciformes","Actinopterygii"
"199","Alectis alexandrina","Alectis","Carangidae","Perciformes","Actinopterygii"
"200","Alectis ciliaris","Alectis","Carangidae","Perciformes","Actinopterygii"
"201","Alectis indica","Alectis","Carangidae","Perciformes","Actinopterygii"
"202","Alepes djedaba","Alepes","Carangidae","Perciformes","Actinopterygii"
"203","Atule mate","Atule","Carangidae","Perciformes","Actinopterygii"
"204","Campogramma glaycos","Campogramma","Carangidae","Perciformes","Actinopterygii"
"205","Carangoides armatus","Carangoides","Carangidae","Perciformes","Actinopterygii"
"206","Carangoides bajad","Carangoides","Carangidae","Perciformes","Actinopterygii"
"207","Carangoides bartholomaei","Carangoides","Carangidae","Perciformes","Actinopterygii"
"208","Carangoides coeruleopinnatus","Carangoides","Carangidae","Perciformes","Actinopterygii"
"209","Carangoides ferdau","Carangoides","Carangidae","Perciformes","Actinopterygii"
"210","Carangoides fulvoguttatus","Carangoides","Carangidae","Perciformes","Actinopterygii"
"211","Carangoides hedlandensis","Carangoides","Carangidae","Perciformes","Actinopterygii"
"212","Carangoides malabaricus","Carangoides","Carangidae","Perciformes","Actinopterygii"
"213","Carangoides orthogrammus","Carangoides","Carangidae","Perciformes","Actinopterygii"
"214","Carangoides plagiotaenia","Carangoides","Carangidae","Perciformes","Actinopterygii"
"215","Carangoides talamparoides","Carangoides","Carangidae","Perciformes","Actinopterygii"
"216","Caranx crysos","Caranx","Carangidae","Perciformes","Actinopterygii"
"217","Caranx hippos","Caranx","Carangidae","Perciformes","Actinopterygii"
"218","Caranx ignobilis","Caranx","Carangidae","Perciformes","Actinopterygii"
"219","Caranx latus","Caranx","Carangidae","Perciformes","Actinopterygii"
"220","Caranx lugubris","Caranx","Carangidae","Perciformes","Actinopterygii"
"221","Caranx melampygus","Caranx","Carangidae","Perciformes","Actinopterygii"
"222","Caranx papuensis","Caranx","Carangidae","Perciformes","Actinopterygii"
"223","Caranx rhonchus","Caranx","Carangidae","Perciformes","Actinopterygii"
"224","Caranx ruber","Caranx","Carangidae","Perciformes","Actinopterygii"
"225","Caranx senegallus","Caranx","Carangidae","Perciformes","Actinopterygii"
"226","Caranx sexfasciatus","Caranx","Carangidae","Perciformes","Actinopterygii"
"227","Chloroscombrus chrysurus","Chloroscombrus","Carangidae","Perciformes","Actinopterygii"
"228","Chloroscombrus orqueta","Chloroscombrus","Carangidae","Perciformes","Actinopterygii"
"229","Decapterus kurroides","Decapterus","Carangidae","Perciformes","Actinopterygii"
"230","Decapterus macarellus","Decapterus","Carangidae","Perciformes","Actinopterygii"
"231","Decapterus macrosoma","Decapterus","Carangidae","Perciformes","Actinopterygii"
"232","Decapterus maruadsi","Decapterus","Carangidae","Perciformes","Actinopterygii"
"233","Decapterus muroadsi","Decapterus","Carangidae","Perciformes","Actinopterygii"
"234","Decapterus punctatus","Decapterus","Carangidae","Perciformes","Actinopterygii"
"235","Decapterus russelli","Decapterus","Carangidae","Perciformes","Actinopterygii"
"236","Elagatis bipinnulata","Elagatis","Carangidae","Perciformes","Actinopterygii"
"237","Gnathanodon speciosus","Gnathanodon","Carangidae","Perciformes","Actinopterygii"
"238","Hemicaranx amblyrhynchus","Hemicaranx","Carangidae","Perciformes","Actinopterygii"
"239","Lichia amia","Lichia","Carangidae","Perciformes","Actinopterygii"
"240","Megalaspis cordyla","Megalaspis","Carangidae","Perciformes","Actinopterygii"
"241","Naucrates ductor","Naucrates","Carangidae","Perciformes","Actinopterygii"
"242","Oligoplites refulgens","Oligoplites","Carangidae","Perciformes","Actinopterygii"
"243","Parastromateus niger","Parastromateus","Carangidae","Perciformes","Actinopterygii"
"244","Parona signata","Parona","Carangidae","Perciformes","Actinopterygii"
"245","Pseudocaranx dentex","Pseudocaranx","Carangidae","Perciformes","Actinopterygii"
"246","Scomberoides commersonnianus","Scomberoides","Carangidae","Perciformes","Actinopterygii"
"247","Scomberoides lysan","Scomberoides","Carangidae","Perciformes","Actinopterygii"
"248","Scomberoides tol","Scomberoides","Carangidae","Perciformes","Actinopterygii"
"249","Selar boops","Selar","Carangidae","Perciformes","Actinopterygii"
"250","Selar crumenophthalmus","Selar","Carangidae","Perciformes","Actinopterygii"
"251","Selaroides leptolepis","Selaroides","Carangidae","Perciformes","Actinopterygii"
"252","Selene brevoortii","Selene","Carangidae","Perciformes","Actinopterygii"
"253","Selene dorsalis","Selene","Carangidae","Perciformes","Actinopterygii"
"254","Selene setapinnis","Selene","Carangidae","Perciformes","Actinopterygii"
"255","Selene vomer","Selene","Carangidae","Perciformes","Actinopterygii"
"256","Seriola dumerili","Seriola","Carangidae","Perciformes","Actinopterygii"
"257","Seriola fasciata","Seriola","Carangidae","Perciformes","Actinopterygii"
"258","Seriola lalandi","Seriola","Carangidae","Perciformes","Actinopterygii"
"259","Seriola quinqueradiata","Seriola","Carangidae","Perciformes","Actinopterygii"
"260","Seriola rivoliana","Seriola","Carangidae","Perciformes","Actinopterygii"
"261","Seriola zonata","Seriola","Carangidae","Perciformes","Actinopterygii"
"262","Seriolina nigrofasciata","Seriolina","Carangidae","Perciformes","Actinopterygii"
"263","Trachinotus baillonii","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"264","Trachinotus blochii","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"265","Trachinotus carolinus","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"266","Trachinotus cayennensis","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"267","Trachinotus falcatus","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"268","Trachinotus goodei","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"269","Trachinotus mookalee","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"270","Trachinotus ovatus","Trachinotus","Carangidae","Perciformes","Actinopterygii"
"271","Trachurus capensis","Trachurus","Carangidae","Perciformes","Actinopterygii"
"272","Trachurus declivis","Trachurus","Carangidae","Perciformes","Actinopterygii"
"273","Trachurus japonicus","Trachurus","Carangidae","Perciformes","Actinopterygii"
"274","Trachurus lathami","Trachurus","Carangidae","Perciformes","Actinopterygii"
"275","Trachurus longimanus","Trachurus","Carangidae","Perciformes","Actinopterygii"
"276","Trachurus mediterraneus","Trachurus","Carangidae","Perciformes","Actinopterygii"
"277","Trachurus murphyi","Trachurus","Carangidae","Perciformes","Actinopterygii"
"278","Trachurus picturatus","Trachurus","Carangidae","Perciformes","Actinopterygii"
"279","Trachurus symmetricus","Trachurus","Carangidae","Perciformes","Actinopterygii"
"280","Trachurus trachurus","Trachurus","Carangidae","Perciformes","Actinopterygii"
"281","Trachurus trecae","Trachurus","Carangidae","Perciformes","Actinopterygii"
"282","Ulua aurochs","Ulua","Carangidae","Perciformes","Actinopterygii"
"283","Uraspis helvola","Uraspis","Carangidae","Perciformes","Actinopterygii"
"284","Uraspis secunda","Uraspis","Carangidae","Perciformes","Actinopterygii"
"285","Uraspis uraspis","Uraspis","Carangidae","Perciformes","Actinopterygii"
"286","Echiodon cryomargarites","Echiodon","Carapidae","Ophidiiformes","Actinopterygii"
"287","Encheliophis gracilis","Encheliophis","Carapidae","Ophidiiformes","Actinopterygii"
"288","Carcharhinus acronotus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"289","Carcharhinus albimarginatus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"290","Carcharhinus altimus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"291","Carcharhinus amblyrhynchos","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"292","Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"293","Carcharhinus brevipinna","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"294","Carcharhinus dussumieri","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"295","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"296","Carcharhinus galapagensis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"297","Carcharhinus isodon","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"298","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"299","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"300","Carcharhinus longimanus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"301","Carcharhinus macloti","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"302","Carcharhinus melanopterus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"303","Carcharhinus obscurus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"304","Carcharhinus plumbeus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"305","Carcharhinus porosus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"306","Carcharhinus sorrah","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"307","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"308","Negaprion brevirostris","Negaprion","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"309","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"310","Rhizoprionodon acutus","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"311","Rhizoprionodon porosus","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"312","Rhizoprionodon terraenovae","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"313","Triaenodon obesus","Triaenodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"314","Aeoliscus strigatus","Aeoliscus","Centriscidae","Syngnathiformes","Actinopterygii"
"315","Centriscops humerosus","Centriscops","Centriscidae","Syngnathiformes","Actinopterygii"
"316","Macroramphosus scolopax","Macroramphosus","Centriscidae","Syngnathiformes","Actinopterygii"
"317","Notopogon lilliei","Notopogon","Centriscidae","Syngnathiformes","Actinopterygii"
"318","Centrolophus niger","Centrolophus","Centrolophidae","Perciformes","Actinopterygii"
"319","Hyperoglyphe antarctica","Hyperoglyphe","Centrolophidae","Perciformes","Actinopterygii"
"320","Hyperoglyphe bythites","Hyperoglyphe","Centrolophidae","Perciformes","Actinopterygii"
