year,Site_Name,Total
2013,Robert Point,480
2013,Ronge Island Other,1148
2013,Ronge Island/Georges Point,742
2013,Rosamel Island,158
2013,Ross Ice Shelf,222
2013,San Martin Station,6
2013,Scott Base,302
2013,Scott Island,4
2013,Skontorp Cove,6100
2013,Snow Island,157
2013,South Bay,199
2013,Spert Island,629
2013,Spigot Peak,194
2013,Sterneck Island,14
2013,Stonington Island,370
2013,Taylor Valley/Canada Glacier,129
2013,Telefon Bay,5535
2013,The Gullet,666
2013,Torgersen Island,1422
2013,Trinity Island Other,77
2013,Turret Point,846
2013,Union Glacier,682
2013,Useful Island,568
2013,Vega Island/Herbert Sound,291
2013,Vernadsky Station,11686
2013,View Point,94
2013,Waddington Bay,241
2013,Walker Bay (by Hannah Point),1209
2013,Waterboat Point/Gonzalez Videla Station,3781
2013,Weddell Sea,125
2013,Whalers Bay,21259
2013,Wiggins Glacier,33
2013,Wilhelmina Bay,8224
2013,Winter Island,990
2013,Yalour Islands,2671
2013,Yankee Harbor,3102
2012,Admiralty Bay,1682
2012,Aitcho - Barrientos Island,8009
2012,Aitcho - Other,7
2012,Alcock Island,8
2012,Almirante Brown,11810
2012,Amery Ice Shelf,285
2012,Andvord Bay,4247
2012,Antarctic Sound,4480
2012,Arctowski Station,937
2012,Ardley Island,412
2012,Argentine Islands Other,41
2012,Argentine Islands/Wordie Hut,519
2012,Artigas station,12
2012,Arturo Prat Station,130
2012,"Astrolabe Glacier Area, or Vicinity",37
2012,Astrolabe Island,693
2012,Baily Head,3003
2012,Beascochea Bay,8
2012,Bellingshausen Sea,138
2012,Bellingshausen Station,1602
2012,Bennett Islands,7
2012,Bismarck Strait,11152
2012,Blaiklock Island,167
2012,Bongrain Point,307
2012,Booth Island,1231
2012,Boyd Strait,2233
2012,Brabant Island,27
2012,Bransfield Strait,6812
2012,Brown Bluff,6987
2012,Bruce Island,8
2012,Butler Passage,1883
2012,Campbell Glacier/Gondwana Area,54
2012,Cape Bird,160
2012,Cape Darnley,324
2012,Cape Denison,174
2012,Cape Evans,338
2012,Cape Jules,164
2012,Cape Lookout,825
2012,Cape Renard,2001
2012,Cape Royds,327
2012,Charlotte Bay,315
2012,Chiriguano Bay,252
2012,Christiania Islands,59
2012,Cierva Cove,3192
2012,Cockburn Island,273
2012,Commonwealth Bay,226
2012,Coronation Island,369
2012,Crystal Hill,362
2012,Crystal Sound,157
2012,Curtiss Bay,216
2012,Cuverville Island,20418
2012,Dallmann Bay,2131
2012,Damoy Point/Dorian Bay,6243
2012,Danco Island,9876
2012,Davis Station,75
2012,Deception Island,5416
2012,Deloncle Bay,28
2012,Devil Island,1881
2012,Discovery Bay,48
2012,Doumer Island,224
2012,Dumont D'Urville Station,269
2012,Duthiers Point,20
2012,Eckener Point,321
2012,Edgell Bay,12
2012,Edinburgh Hill,57
2012,Elephant Island,3912
2012,English Strait,624
2012,Enterprise Island,3209
2012,Erebus and Terror Gulf,453
2012,Errera Channel,5336
2012,Esperanza Station,1481
2012,Extension Reef,142
2012,Fast Ice,344
2012,Ferguson Channel,344
2012,Fish Islands,375
2012,Flanders Bay,2137
2012,Fort Point,114
2012,Fournier Bay,195
2012,Foyn Harbour,1745
2012,Franklin Island,621
2012,Frei Station,2880
2012,Fridtjof Sound,3042
2012,Gabriel de Castilla Station,66
2012,Galindez Is -Penola Strait,67
2012,Georges Point,270
2012,Gerlache Strait,17168
2012,Gibbs Island,81
2012,Girard Bay,275
2012,Goudier Island,18599
2012,Gourdin Island,804
2012,Graham Passage,227
2012,Great Wall Station,972
2012,Gunnel Channel,8
2012,Half Moon Island,15996
2012,Hannah Point,3425
2012,Harry Island,9
2012,Herbert Sound,60
2012,Heroina Island,754
2012,Heywood Island,85
2012,Hidden Bay,677
2012,Hope Bay,4033
2012,Horseshoe Island,308
2012,Hovgaard Island,549
2012,Hydrurga Rocks,1079
2012,Inexpressible Island,52
2012,Jabet Peak,46
2012,James Ross Island,66
2012,Jonassen Island,72
2012,Jougla Point,10323
2012,Kinnes Cove/Madder Cliffs,713
2012,Larrouy Island,143
2012,Lautaro Island,2
2012,Leith Cove,693
2012,Lemaire Channel,15262
2012,Lemaire Island,44
2012,Lion Sound,109
2012,Livingston Island,616
2012,"Marguerite Bay, The Gullet",36
2012,Martel Inlet,116
2012,"Maxwell Bay, King George",2439
2012,McMurdo Ice Channel,58
2012,McMurdo Station,58
2012,Melchior Islands,1930
2012,Mendel/Czech Station,326
2012,Mount Banck,45
2012,Mount Demaria,3
2012,Mount Mill,24
2012,Mount Scott,39
2012,Nansen Island,41
2012,Neko Harbor,22542
2012,Neptunes Bellows,2917
2012,Neumayer Channel,19616
2012,North Point,11
2012,Novo Airbase,279
2012,Ohridski (Bulgarian Station),18
2012,Orcadas,2831
2012,Orne Harbor,4185
2012,Orne Islands,194
2012,Palaver Point,11
2012,Palmer Station,14517
2012,Paradise Bay,13466
2012,Paulet Island,7441
2012,Peltier Channel,159
2012,Pendulum Cove,786
2012,Penguin Island,762
2012,Penguin Point,411
2012,Penola Strait,842
2012,Petermann Island,4041
2012,Petrel Cove,92
2012,Pitt Islands,6
2012,Plata Passage,32
2012,Pleneau Island,5165
2012,Point Wild,2191
2012,Port Charcot,2124
2012,Port Foster,1507
2012,Portal Point,2044
2012,Possession Island,4
2012,Primero de Mayo Bay,1295
2012,Prince Gustav Channel,17
2012,Prospect Point,306
2012,Pursuit Point,14
2012,Red Rock Ridge,8
2012,Renaud Island,8
2012,Robert Point,223
2012,Ronge Island Other,1136
2012,Ronge Island/Georges Point,306
2012,Ross Ice Shelf,186
2012,Rothera Station,514
2012,Sandefjord Bay,16
2012,Scott Base,116
2012,Selvick Cove,30
2012,Seymour Island,244
2012,Shackleton Ice Shelf,279
2012,Shingle Cove,148
2012,Signy Island Station,128
2012,Skontorp Cove,7921
2012,Snow Hill - Nordenskjolds Hut,280
2012,Snow Hill Island,834
2012,Snow Island,162
2012,South Orkney Islands,120
2012,Spert Island,552
2012,Spigot Peak,250
2012,Taylor Valley/Canada Glacier,228
2012,Telefon Bay,4962
2012,Terra Firma Islands,8
2012,Torgersen Island,842
2012,Trinity Island Other,67
2012,Trinity Island-Mikkelsen Hrbr,10
2012,Turret Point,236
2012,Union Glacier,1650
2012,Useful Island,128
2012,Vernadsky Station,2212
2012,Waddington Bay,216
2012,Walker Bay (by Hannah Point),1128
2012,Waterboat Point/Gonzalez Videla Station,3996
2012,Wauwermans Islands,2019
2012,Weddell Sea,2902
2012,Whalers Bay,16130
2012,Wilhelmina Bay,4181
2012,Winter Island,336
2012,Wyatt Earp,321
2012,Yalour Islands,803
2012,Yankee Harbor,1532
2012,Yelcho Point,70
2011,Admiralty Bay,8693
2011,Admiralty Sound,3555
2011,Aitcho - Barrientos Island,9591
2011,Aitcho - Other,337
2011,Almirante Brown,10200
2011,Andvord Bay,842
2011,Antarctic Sound,14895
2011,Arctowski Station,960
2011,Ardley Island,524
2011,Argentine Islands Other,636
2011,Argentine Islands/Wordie Hut,2529
2011,"Astrolabe Glacier Area, or Vicinity",42
2011,Astrolabe Island,2338
2011,Atka Bay Rookery,232
2011,Baily Head,2721
2011,Bellingshausen Station,262
2011,Bismarck Strait,10715
2011,Blaiklock Island,76
2011,Bongrain Point,648
2011,Booth Island,3916
2011,Boyd Strait,1883
2011,Brabant Island,308
2011,Bransfield Strait,4240
2011,Brown Bluff,8703
2011,Bruce Island,30
2011,Butler Passage,1839
2011,Cape Adare,399
2011,Cape Bird,49
2011,Cape Evans,410
2011,Cape Hallett,116
2011,Cape Herschel,3
2011,Cape Lookout,805
2011,Cape Renard,1558
2011,Cape Royds,384
2011,Cape Tuxen,47
2011,Cape Washington,234
2011,Casabianca Island,28
2011,Charlotte Bay,351
2011,Christiania Islands,126
2011,Cierva Cove,2464
2011,Cockburn Island,284
2011,Commonwealth Bay,423
2011,Coronation Island,214
2011,Crystal Sound,349
2011,Curtiss Bay,300
2011,Cuverville Island,29690
2011,D'Urville Monument,252
2011,Dallmann Bay,2428
2011,Damoy Point/Dorian Bay,4982
2011,Danco Island,7663
2011,Dannebrog Islands,30
2011,Deception Island,12264
2011,Deloncle Bay,14
2011,Detaille Island,4024
2011,Devil Island,3224
2011,Discovery Bay,97
2011,Doumer Island,56
2011,Edinburgh Hill,67
2011,Elephant Island,19326
2011,Enterprise Island,1928
2011,Erebus and Terror Gulf,626
2011,Errera Channel,8825
2011,Esperanza Station,3320
2011,False Bay,172
2011,False Island Point,38
2011,Ferguson Channel,414
2011,Fildes Station,556
2011,Fish Islands,1896
2011,Flanders Bay,286
2011,Fort Point,47
2011,Fournier Bay,216
2011,Foyn Harbour,1452
2011,Franklin Island,108
2011,Frei Station,1698
2011,French Passage,1905
2011,Fridtjof Sound,843
2011,Fumarole Bay,258
2011,Gabriel de Castilla Station,36
2011,Galindez Is -Penola Strait,82
2011,Georges Point,30
2011,Gerlache Strait,18007
2011,Gibbs Island,5422
2011,Girard Bay,315
2011,Goudier Island,19000
2011,Gourdin Island,255
2011,Graham Passage,248
2011,Great Wall Station,1192
2011,Gunnel Channel,548
2011,"Haddon Bay, Joinville Isl",63
2011,Half Moon Island,15509
2011,Hannah Point,2719
2011,Heroina Island,180
2011,Hope Bay,2165
2011,Horseshoe Island,740
2011,Hovgaard Island,2401
2011,Hydrurga Rocks,100
2011,Inexpressible Island,114
2011,Jabet Peak,28
2011,James Ross Island,14
2011,Jenny Island,14
2011,Jonassen Island,116
2011,Jougla Point,11303
2011,Jubany,169
2011,Kinnes Cove/Madder Cliffs,928
2011,Larrouy Island,61
2011,Laurie Island,425
2011,Lautaro Island,5
2011,Leith Cove,1651
2011,Lemaire Channel,22504
2011,Lemaire Island,1899
2011,Liard Island,32
2011,Lindblad Cove,160
2011,Lion Sound,58
2011,Livingston Island,258
2011,"Maxwell Bay, King George",814
2011,McFarlane Strait,295
2011,McMurdo Ice Channel,134
2011,McMurdo Station,374
2011,Melchior Islands,5066
2011,Mikkelsen Harbor,2612
2011,Monroe Island,210
2011,Mount Banck,8
2011,Mount Mill,8
2011,Mutton Cove,72
2011,Nansen Island,14
2011,Neko Harbor,25264
2011,Neptunes Bellows,2006
2011,Neumayer Channel,17312
2011,Novo Airbase,107
2011,Orcadas,3888
2011,Orne Harbor,3185
2011,Orne Islands,1931
2011,Palmer Station,15789
2011,Paradise Bay,16273
2011,Paulet Island,5301
2011,Peltier Channel,1202
2011,Pendulum Cove,1634
2011,Penguin Island,214
2011,Penguin Point,56
2011,Penola Strait,452
2011,Peter I Island,131
2011,Peter Oy Island,97
2011,Petermann Island,12982
2011,Petrel Cove,40
2011,Phantom Coast,113
2011,Pleneau Island,11317
2011,Point Wild,2607
2011,Port Charcot,5326
2011,Port Foster,699
2011,Portal Point,1276
2011,Pourquoi-Pas Island,927
2011,Prospect Point,2738
2011,Pursuit Point,7
2011,Riiser Larsen,224
2011,Robert Point,148
2011,Ronge Island Other,891
2011,Ronge Island/Georges Point,246
2011,Rosamel Island,1895
2011,Rosenthal Islands,14
2011,Ross Ice Shelf,294
2011,Rothera Station,158
2011,Sally Rocks,55
2011,Scott Base,338
2011,Seymour Island,88
2011,Shingle Cove,125
2011,Signy Island Station,117
2011,Siple Island,111
2011,Skontorp Cove,6262
2011,Snow Hill - Nordenskjolds Hut,1006
2011,Snow Hill Emperor Rookery,1162
2011,Snow Hill Island,19
2011,"Sorge Island, Gullet",128
2011,South Orkney Islands,60
2011,Spert Island,180
2011,Spigot Peak,101
2011,Steinheil point,10
2011,Stonington Island,1003
2011,Straggle Islands,174
2011,Tay Head,664
2011,Telefon Bay,5101
2011,Terra Nova Bay,116
2011,The Gullet,3018
2011,Torgersen Island,1283
2011,Trinity Island Other,84
2011,Trinity Island-Mikkelsen Hrbr,82
2011,Turret Point,534
2011,Two Hummock Island,3766
2011,Union Glacier,1710
2011,Unknown Name,14
2011,Useful Island,2724
2011,Vega Island/Herbert Sound,340
2011,Vernadsky Station,9517
2011,View Point,352
2011,Waddington Bay,28
2011,Walker Bay (by Hannah Point),879
2011,Waterboat Point/Gonzalez Videla Station,4007
2011,Wauwermans Islands,1929
2011,Weddell Sea,529
2011,Whalers Bay,19477
2011,Wilhelmina Bay,4612
2011,Winter Island,630
2011,Yalour Islands,1889
2011,Yankee Harbor,1921
2010,Admiralty Bay,10385
2010,Admiralty Sound,59
2010,Aitcho - Barrientos Island,7903
2010,Almirante Brown,21700
2010,Andvord Bay,5375
2010,Antarctic Sound,7490
2010,Arctowski Station,7310
2010,Ardley Island,305
2010,Argentine Islands Other,1027
2010,Argentine Islands/Wordie Hut,1720
2010,Arturo Prat Station,2980
2010,Astrolabe Island,453
2010,Baily Head,2798
2010,Bellingshausen Station,1372
2010,Bismarck Strait,7113
2010,Blaiklock Island,99
2010,Booth Island,139
2010,Boyd Strait,530
2010,Bransfield Strait,10577
2010,Brown Bluff,7001
2010,Butler Passage,11
2010,Cape Adare,372
2010,Cape Bird,170
2010,Cape Denison,242
2010,Cape Evans,404
2010,Cape Hallett,153
2010,Cape Jules,93
2010,Cape Lookout,1664
2010,Cape Perez,3
2010,Cape Royds,349
2010,Cape Tuxen,17
2010,Cape Valentine,641
2010,Cape Washington,345
2010,Carvajal Station,76
2010,Christiania Islands,112
2010,Cierva Cove,4412
2010,Cobalescou Island,78
2010,Coronation Island,287
2010,Crystal Sound,411
2010,Curtiss Bay,454
2010,Cuverville Island,27089
2010,Dallmann Bay,18202
2010,Damoy Point/Dorian Bay,4222
2010,Danco Island,8649
2010,Dannebrog Islands,11
2010,Debenham Island,97
2010,Deception Island,16602
2010,Desolation Island,146
2010,Detaille Island,2785
2010,Devil Island,3902
2010,Discovery Bay,92
2010,Doumer Island,50
2010,Duseberg Buttress,5
2010,Edinburgh Hill,86
2010,Edwards Point,106
2010,Elephant Island,17542
2010,Enterprise Island,972
2010,Erebus and Terror Gulf,369
2010,Errera Channel,10060
2010,Esperanza Station,752
2010,False Bay,626
2010,Ferguson Channel,318
2010,Fildes Station,60
2010,Fish Islands,2405
2010,Flanders Bay,99
2010,Foyn Harbour,1877
2010,Franklin Island,270
2010,Frei Station,3287
2010,French Passage,139
2010,Fridtjof Sound,129
2010,Gabriel de Castilla Station,18
2010,Galindez Is -Penola Strait,7
2010,Georges Point,111
2010,Gerlache Strait,36308
2010,Gibbs Island,8642
2010,Girard Bay,79
2010,Goudier Island,20317
2010,Gourdin Island,1684
2010,Graham Passage,372
2010,Great Wall Station,225
2010,Greenwich Island,152
2010,Half Moon Island,15166
2010,Hannah Point,2288
2010,Hanusse Bay,131
2010,Herbert Sound,198
2010,Heroina Island,184
2010,Hope Bay,294
2010,Horseshoe Island,1861
2010,Hovgaard Island,466
2010,Hydrurga Rocks,733
2010,Inexpressible Island,54
2010,Jabet Peak,22
2010,James Ross Island,264
2010,Jenny Island,14
2010,Jonassen Island,66
2010,Jougla Point,11045
2010,Jubany,1332
2010,King Sejong Station,46
2010,Kinnes Cove/Madder Cliffs,825
2010,Laurie Island,323
2010,Leith Cove,693
2010,Lemaire Channel,36232
2010,Lemaire Island,25
2010,Lindblad Cove,251
2010,Livingston Island,252
2010,"Maxwell Bay, King George",364
2010,McMurdo Ice Channel,196
2010,McMurdo Station,315
2010,Melchior Islands,5050
2010,Mendel/Czech Station,302
2010,Mertz Glacier Tongue,106
2010,Mikkelsen Harbor,3452
2010,Monroe Island,310
2010,Mount Demaria,25
2010,Mount Mill,28
2010,Mount Scott,40
2010,Mount Shackleton,52
2010,Mutton Cove,157
2010,Neko Harbor,22259
2010,Neptunes Bellows,683
2010,Neumayer Channel,21702
2010,Neumayer Station,129
2010,Novolazarevskaya,183
2010,O'Higgins Station,86
2010,Orcadas,2733
2010,Orne Harbor,2378
2010,Orne Islands,158
2010,Palmer Station,23979
2010,Paradise Bay,23470
2010,Patriot Hills,1161
2010,Paulet Island,4723
2010,Peltier Channel,1045
2010,Pendulum Cove,2310
2010,Penguin Island,2481
2010,Peon Peak,30
2010,Peter Oy Island,154
2010,Petermann Island,18801
2010,Petrel Cove,112
2010,Pitt Islands,150
2010,Pleneau Island,11162
2010,Point Wild,3989
2010,Porquois Pas Island,2340
2010,Port Charcot,4703
2010,Port Foster,1071
2010,Portal Point,842
2010,Possession Island,194
2010,Potter Cove,94
2010,Prospect Point,508
2010,Red Rock Ridge,320
2010,Robert Point,359
2010,Ronge Island Other,91
2010,Rosamel Island,118
2010,Ross Ice Shelf,203
2010,Sandefjord Bay,163
2010,Scott Base,305
2010,Seymour Island,26
2010,Shingle Cove,635
2010,Signy Island Station,132
2010,Skontorp Cove,5374
2010,Snow Hill Emperor Rookery,731
2010,South Bay,530
2010,South Orkney Islands,149
2010,Spigot Peak,281
2010,Stonington Island,1885
2010,Telefon Bay,3862
2010,Terra Nova Bay,54
2010,The Gullet,3255
2010,Torgersen Island,1209
2010,Trinity Island Other,374
2010,Trinity Island-Mikkelsen Hrbr,270
2010,Turret Point,187
2010,Union Glacier,60
2010,Unknown Name,12
2010,Useful Island,1899
2010,Vega Island/Herbert Sound,52
2010,Vernadsky Station,18606
2010,Waddington Bay,192
2010,Walker Bay (by Hannah Point),356
2010,Waterboat Point/Gonzalez Videla Station,3666
2010,Watkins Island,11
2010,Wauwermans Islands,90
2010,Webb Island,588
2010,Weddell Sea,1664
2010,Whalers Bay,18225
2010,Wilhelmina Bay,4303
2010,Winter Island,1211
2010,Yalour Islands,2289
2010,Yankee Harbor,2789
2009,Admiralty Bay,9144
2009,Aitcho - Barrientos Island,9227
2009,Aitcho - Other,795
2009,Almirante Brown,16550
2009,Andvord Bay,4511
2009,Antarctic Sound,12634
2009,Arctowski Station,3816
2009,Ardley Island,251
2009,Argentine Islands Other,1172
2009,Argentine Islands/Wordie Hut,2533
2009,Arturo Prat Station,267
2009,Astrolabe Island,1397
2009,Audrey Island,244
2009,Baily Head,3080
2009,Beascochea Bay,76
2009,Bellingshausen Station,2116
2009,Bennett Islands,44
2009,Bismarck Strait,3578
2009,Bongrain Point,400
2009,Booth Island,1820
2009,Borgeois Fjord,242
2009,Brabant Island,104
2009,Bransfield Strait,3851
2009,Brown Bluff,9443
2009,Butler Passage,3578
2009,Campbell Island,615
2009,Cape Adare,796
2009,Cape Bird,131
2009,Cape Colbeck,360
2009,Cape Decouverte,50
2009,Cape Denison,1445
2009,Cape Evans,327
2009,Cape Gray,95
2009,Cape Hallett,772
2009,Cape Jules,420
2009,Cape Lachman,219
2009,Cape Lookout,910
2009,Cape Mergerie,48
2009,Cape Renard,576
2009,Cape Royds,329
2009,Cape Tuxen,393
2009,Cape Washington,551
2009,Charlotte Bay,420
2009,Christiania Islands,126
2009,Cierva Cove,2796
2009,Commonwealth Bay,116
2009,Coulman Island,736
2009,Covey Rocks,222
2009,Crystal Sound,555
2009,Curtiss Bay,322
2009,Cuverville Island,25650
2009,Dallmann Bay,6545
2009,Damoy Point/Dorian Bay,3896
2009,Danco Island,6495
2009,Darbel Bay,36
2009,Decepcion Base Research Station,30
2009,Deception Island,12174
2009,Desolation Island,164
2009,Detaille Island,2569
2009,Devil Island,7224
2009,Dion Islands (ASPA),241
2009,Dogs Leg Fjord,320
2009,Doumer Island,88
2009,Drygalski Ice Tongue,302
2009,Duchaylard Islands,188
2009,Dumont D'Urville Station,1124
2009,Dundee Island,112
2009,Elephant Island,15770
2009,Enterprise Island,2907
2009,Erebus and Terror Gulf,85
2009,Errera Channel,9844
2009,Esperanza Station,3093
2009,Ferguson Channel,26
2009,Ferraz Station,199
2009,Fish Islands,2093
2009,Foyn Harbour,1811
2009,Franklin Island,308
2009,Frei Station,1846
2009,Fridtjof Sound,122
2009,Fumarole Bay,183
2009,Galindez Is -Penola Strait,30
2009,Gand Island,101
2009,Georges Point,412
2009,Gerlache Strait,8061
2009,Gibbs Island,3674
2009,Girard Bay,50
2009,Goudier Island,19744
2009,Gourdin Island,1901
2009,Graham Passage,220
2009,Great Wall Station,58
2009,Greenwich Island,1496
2009,"Haddon Bay, Joinville Isl",158
2009,Half Moon Island,17527
2009,Hannah Point,4371
2009,Hanusse Bay,234
2009,Harrison Passage,142
2009,Heroina Island,462
2009,Hidden Bay,125
2009,Hope Bay,12122
2009,Horseshoe Island,1703
2009,Hovgaard Island,209
2009,Hydrurga Rocks,946
2009,Inexpressible Island,144
2009,Jabet Peak,12
2009,James Ross Island,208
2009,Jenny Island,52
2009,John Beach,88
2009,Jougla Point,11221
2009,Jubany,0
2009,King Sejong Station,204
2009,Kinnes Cove/Madder Cliffs,105
2009,Lavoisier,28
2009,Leith Cove,55
2009,Lemaire Channel,34236
2009,Lemaire Island,34
2009,Liard Island,20
2009,Lindblad Cove,133
2009,Lister Cove,16
2009,Livingston Island,102
2009,"Marguerite Bay, The Gullet",1011
2009,"Maxwell Bay, King George",1154
2009,McFarlane Strait,334
2009,McMurdo Ice Channel,134
2009,McMurdo Station,764
2009,Melchior Islands,4095
2009,Mertz Glacier Tongue,1096
2009,Mikkelsen Harbor,3560
2009,Monroe Island,519
2009,Mount Demaria,9
2009,Mount Double,350
2009,Mount Mill,9
2009,Mount Scott,3
2009,Murray Island,13
2009,Mutton Cove,219
2009,Neko Harbor,25339
2009,Neptunes Bellows,465
2009,Neumayer Channel,30459
2009,Neumayer Station,303
2009,Orcadas,3373
2009,Orne Harbor,1712
2009,Orne Islands,916
2009,Palmer Station,2694
2009,Paradise Bay,19585
2009,Patriot Hills,1773
2009,Paulet Island,13846
2009,Peltier Channel,341
2009,Pendulum Cove,3120
2009,Penguin Island,2719
2009,Petermann Island,12815
2009,Petrel Cove,98
2009,Pitt Islands,148
2009,Plata Passage,8
2009,Pleneau Island,12263
2009,Point Wild,5175
2009,Port Charcot,1950
2009,Port Foster,721
2009,Port Martin,308
2009,Portal Point,2536
2009,Possession Island,192
2009,Prospect Point,842
2009,Robert Point,493
2009,Ronge Island Other,381
2009,Ronge Island/Georges Point,348
2009,Ross Ice Shelf,302
2009,Ross Sea,105
2009,Rothera Station,425
2009,San Martin Station,59
2009,Scott Base,97
2009,Seymour Island,52
2009,Shingle Cove,754
2009,Signy Island Station,156
2009,Skontorp Cove,5838
2009,Snow Hill - Nordenskjolds Hut,1603
2009,Snow Hill Emperor Rookery,2002
2009,Snow Hill Island,457
2009,Spigot Peak,463
2009,Stonington Island,1888
2009,Taylor Valley/Canada Glacier,356
2009,Telefon Bay,4704
2009,Terra Nova Bay,10
2009,Terra Nova Station,192
2009,The Gullet,540
2009,Torgersen Island,255
2009,Trinity Island Other,549
2009,Trinity Island-Mikkelsen Hrbr,197
2009,Turret Point,332
2009,Two Hummock Island,12
2009,Unknown Name,603
2009,Useful Island,2411
2009,Vega Island/Herbert Sound,103
2009,Vernadsky Station,11828
2009,View Point,48
2009,Vortex Island,6
2009,Waddington Bay,130
2009,Walker Bay (by Hannah Point),618
2009,Waterboat Point/Gonzalez Videla Station,8635
2009,Wauwermans Islands,31
2009,Weddell Sea,2001
2009,Whalers Bay,18574
2009,Wilhelmina Bay,5455
2009,Winter Island,369
2009,Yalour Islands,2742
2009,Yankee Harbor,2992
2009,ZigZag Island,201
2008,Admiralty Bay,15788
2008,Aitcho - Barrientos Island,9850
2008,Aitcho - Other,657
2008,Almirante Brown,21358
2008,Amanda Bay,198
2008,Andvord Bay,7664
2008,Antarctic Sound,17989
2008,Arctowski Station,12255
2008,Ardley Island,293
2008,Argentine Islands/Wordie Hut,2617
2008,Arturo Prat Station,147
2008,"Astrolabe Glacier Area, or Vicinity",103
