country,species_fao,fao,environment,species_Truj,taxon,match_type,gapfill,Maric_sustainability,Genetic escapees
Indonesia,Banana prawn,,,Banana prawn,,c_sp,actuals,0.27,1
Indonesia,Barramundi(=Giant seaperch),,,Barramundi,,c_sp,actuals,0.17,1
Indonesia,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.17,1
Indonesia,Groupers nei,,,Groupers nei,,c_sp,actuals,0.33,0.9
Indonesia,Milkfish,,,Milkfish,,c_sp,actuals,0.43,1
Iran (Islamic Rep. of),Indian white prawn,,,Indian white prawn,,c_sp,actuals,0.3,0.1
Ireland,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.43,1
Ireland,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
Ireland,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
Ireland,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
Italy,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,1,0.5
Italy,European eel,,,European eel,,c_sp,actuals,0.43,1
Italy,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
Italy,European seabass,,,European seabass,,c_sp,actuals,0.43,1
Italy,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.43,1
Italy,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.3,0.1
Italy,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.23,1
Italy,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.9,1
Italy,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.5,0.1
Japan,Coho(=Silver) salmon,,,Coho(=Silver)salmon,,c_sp,actuals,0.37,1
Japan,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.43,1
Japan,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.5,1
Japan,Laver (Nori),,,Laver (Nori),,c_sp,actuals,0.73,1
Japan,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.77,1
Kiribati,Milkfish,,,Milkfish,,c_sp,actuals,0.37,1
"Korea, Dem. People's Rep",Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.83,0.5
"Korea, Dem. People's Rep",Laver (Nori),,,Laver (Nori),,c_sp,actuals,0.67,1
"Korea, Republic of",Abalones nei,,,Abalones nei,,c_sp,actuals,0.57,1
"Korea, Republic of",Blood cockle,,,Blood cockle,,c_sp,actuals,0.67,1
"Korea, Republic of",Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.43,1
"Korea, Republic of",Groupers nei,,,Groupers nei,,c_sp,actuals,0.33,0.9
"Korea, Republic of",Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.5,1
"Korea, Republic of",Laver (Nori),,,Laver (Nori),,c_sp,actuals,0.73,1
"Korea, Republic of",Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
Madagascar,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.23,1
Malaysia,Banana prawn,,,Banana prawn,,c_sp,actuals,0.3,1
Malaysia,Barramundi(=Giant seaperch),,,Barramundi,,c_sp,actuals,0.17,1
Malaysia,Blood cockle,,,Blood cockle,,c_sp,actuals,0.67,1
Malaysia,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.83,0.5
Malaysia,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.17,1
Mexico,Abalones nei,,,Abalones nei,,c_sp,actuals,0.67,0.5
Mexico,Atlantic bluefin tuna,,,Atlantic bluefin tuna,,c_sp,actuals,0.23,1
Mexico,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.43,1
Mexico,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.77,0.1
Mexico,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.43,1
Mexico,Yellowfin tuna,,,Yellowfin tuna,,c_sp,actuals,0.1,1
Morocco,"Clams, etc. nei",,,"Clams, etc nei",,c_sp,actuals,0.77,0.5
Morocco,European eel,,,European eel,,c_sp,actuals,0.43,1
Morocco,European flat oyster,,,European flat oyster,,c_sp,actuals,0.77,1
Morocco,European seabass,,,European seabass,,c_sp,actuals,0.43,1
Morocco,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.43,1
Morocco,Marine fishes nei,,,Marine fishes nei,,c_sp,actuals,0.47,0.5
Morocco,Mediterranean mussel,,,Mediterranean mussel,,c_sp,actuals,0.83,1
Morocco,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
Morocco,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.43,0.5
Morocco,Yesso scallop,,,Yesso scallop,,c_sp,actuals,0.87,0.1
Myanmar,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.17,1
Namibia,Blue mussel,,,Blue mussel,,c_sp,actuals,0.77,0.1
Namibia,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.8,1
Namibia,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.77,0.1
Netherlands,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
Netherlands,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.9,0.5
Netherlands,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
New Zealand,Abalones nei,,,Abalones nei,,c_sp,actuals,0.5,0.5
New Zealand,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.77,0.1
Nicaragua,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.37,1
Nigeria,Bagrid catfish,,,Bagrid catfish,,c_sp,actuals,0.5,1
Nigeria,Freshwater fishes nei,,,Freshwater fishes nei,,c_sp,actuals,0.37,0.5
Nigeria,Mullets nei,,,Mullets nei,,c_sp,actuals,0.43,0.5
Nigeria,Snappers nei,,,Snappers nei,,c_sp,actuals,0.43,0.5
Nigeria,Tilapias nei,,,Tilapias nei,,c_sp,actuals,0.37,0.5
Nigeria,Torpedo catfishes nei,,,Torpedo catfishes nei,,c_sp,actuals,0.37,0.5
Norway,Atlantic cod,,,Atlantic cod,,c_sp,actuals,0.17,1
Norway,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.23,1
Norway,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
Norway,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
Norway,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.73,0.1
Pakistan,Marine crustaceans nei,,,Marine crustaceans nei,,c_sp,actuals,0.3,0.4
Panama,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.43,1
Peru,False abalone,,,False abalone,,c_sp,actuals,0.73,1
Peru,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.83,1
Peru,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
Peru,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.37,1
Philippines,Banana prawn,,Brackishwater,Banana prawn,,c_sp_env,actuals,0.27,1
Philippines,Banana prawn,,Marine,Banana prawn,,c_sp_env,actuals,0.2,1
Philippines,Barramundi(=Giant seaperch),,,Barramundi,,c_sp,actuals,0.23,1
Philippines,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.1,1
Philippines,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.83,1
Philippines,"Groupers, seabasses nei",,,"Groupers, seabasses nei",,c_sp,actuals,0.33,0.9
Philippines,Milkfish,,,Milkfish,,c_sp,actuals,0.37,1
Philippines,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.23,0.5
Poland,Freshwater fishes nei,,,Freshwater fishes nei,,c_sp,actuals,0.53,0.5
Portugal,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.4,0.1
Portugal,Brill,,,Brill,,c_sp,actuals,0.57,1
Portugal,Common cuttlefish,,,Common cuttlefish,,c_sp,actuals,0.6,1
Portugal,Common edible cockle,,,Common edible cockle,,c_sp,actuals,0.73,1
Portugal,Common sole,,,Common sole,,c_sp,actuals,0.53,1
Portugal,European eel,,,European eel,,c_sp,actuals,0.53,1
Portugal,European flat oyster,,,European flat oyster,,c_sp,actuals,0.73,1
Portugal,European seabass,,,European seabass,,c_sp,actuals,0.43,1
Portugal,Flat and cupped oysters nei,,,Flat and cupped oysters nei,,c_sp,actuals,0.83,1
Portugal,Freshwater fishes nei,,,Freshwater fishes nei,,c_sp,actuals,0.5,0.5
Portugal,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.4,1
Portugal,Grooved carpet shell,,,Grooved carpet shell,,c_sp,actuals,0.87,1
Portugal,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.4,0.1
Portugal,Marine fishes nei,,,Marine fishes nei,,c_sp,actuals,0.53,0.5
Portugal,Marine molluscs nei,,,Marine molluscs nei,,c_sp,actuals,0.53,0.5
Portugal,Mullets nei,,,Mullets nei,,c_sp,actuals,0.53,0.5
Portugal,Octopuses nei,,,Octopuses nei,,c_sp,actuals,0.53,0.5
Portugal,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
Portugal,Pullet carpet shell,,,Pullet carpet shell,,c_sp,actuals,0.83,1
Portugal,Razor clams nei,,,Razor clams nei,,c_sp,actuals,0.83,0.5
Portugal,Sargo breams nei,,,Sargo breams nei,,c_sp,actuals,0.4,0.6
Portugal,Sea mussels nei,,,Sea mussels nei,,c_sp,actuals,0.8,0.5
Portugal,Turbot,,,Turbot,,c_sp,actuals,0.47,1
Russian Federation,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.43,0.1
Russian Federation,Brown seaweeds,,,Brown seaweeds,,c_sp,actuals,0.93,1
Russian Federation,Brown seaweeds (Pac),,,Brown seaweeds (Pac),,c_sp,actuals,0.93,1
Russian Federation,Flatfishes nei,,,Flatfishes nei,,c_sp,actuals,0.43,0.5
Russian Federation,Marine fishes nei,,,Marine fishes nei,,c_sp,actuals,0.43,0.5
Russian Federation,Mediterranean mussel,,,Mediterranean mussel,,c_sp,actuals,0.8,1
Russian Federation,Mullets nei,,,Mullets nei,,c_sp,actuals,0.5,0.5
Russian Federation,Sea mussels nei,,,Sea mussels nei,,c_sp,actuals,0.77,0.5
Russian Federation,Sea trout,,,Sea trout,,c_sp,actuals,0.47,1
Russian Federation,Sea urchins nei,,,Sea urchins nei,,c_sp,actuals,0.5,0.5
Russian Federation,Silver carp,,,Silver carp,,c_sp,actuals,0.53,1
Russian Federation,Sturgeons nei,,,Sturgeons nei,,c_sp,actuals,0.53,0.5
Russian Federation,Yesso scallop,,,Yesso scallop,,c_sp,actuals,0.8,1
Saudi Arabia,Barramundi(=Giant seaperch),,,Barramundi,,c_sp,actuals,0.17,0.5
Saudi Arabia,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.43,1
Saudi Arabia,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.17,1
Saudi Arabia,Groupers nei,,,Groupers nei,,c_sp,actuals,0.33,0.9
Senegal,Blackchin tilapia,,,Blackchin tilapia,,c_sp,actuals,0.57,1
Senegal,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.73,0.5
Senegal,Gasar cupped oyster,,,Gasar cupped oyster,,c_sp,actuals,0.73,1
Senegal,Giant river prawn,,,Giant river prawn,,c_sp,actuals,0.37,0.1
Senegal,Nile tilapia,,,Nile tilapia,,c_sp,actuals,0.5,0.1
Senegal,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.73,0.1
South Africa,Aquatic plants nei,,,Aquatic plants nei,,c_sp,actuals,0.87,0.7
South Africa,Carpet shells nei,,,Carpet shells nei,,c_sp,actuals,0.8,0.7
South Africa,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,0.1
South Africa,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.5,0.1
South Africa,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.87,1
South Africa,Indian white prawn,,,Indian white prawn,,c_sp,actuals,0.5,0.1
South Africa,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.5,0.1
South Africa,Mediterranean mussel,,,Mediterranean mussel,,c_sp,actuals,0.87,0.1
South Africa,Mullets nei,,,Mullets nei,,c_sp,actuals,0.57,0.5
South Africa,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.87,0.1
South Africa,Perlemoen abalone,,,Perlemoen abalone,,c_sp,actuals,0.63,1
South Africa,Red bait,,,Red bait,,c_sp,actuals,0.6,0.1
South Africa,Sea mussels nei,,,Sea mussels nei,,c_sp,actuals,0.83,0.5
South Africa,Smooth mactra,,,Smooth mactra,,c_sp,actuals,0.77,1
Spain,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.17,1
Spain,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
Spain,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.9,0.5
Spain,European eel,,,European eel,,c_sp,actuals,0.43,1
Spain,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
Spain,European seabass,,,European seabass,,c_sp,actuals,0.43,1
Spain,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.43,1
Spain,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.17,1
Spain,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.5,0.1
Spain,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
Spain,Tuna-like fishes nei,,,Tuna-like fishes nei,,c_sp,actuals,0.1,1
Sri Lanka,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.1,1
Sweden,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.53,1
Sweden,Blue mussel,,,Blue mussel,,c_sp,actuals,0.77,0.7
Sweden,European flat oyster,,,European flat oyster,,c_sp,actuals,0.87,1
Sweden,Rainbow trout,,,Rainbow trout,,c_sp,actuals,0.53,0.1
Taiwan Province of China,Abalones nei,,,Abalones nei,,c_sp,actuals,0.43,0.5
Taiwan Province of China,Barramundi(=Giant seaperch),,Brackishwater,Barramundi,,c_sp_env,actuals,0.17,1
Taiwan Province of China,Barramundi(=Giant seaperch),,Marine,Barramundi,,c_sp_env,actuals,0.23,1
Taiwan Province of China,Blood cockle,,,Blood cockle,,c_sp,actuals,0.67,1
Taiwan Province of China,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.37,1
Taiwan Province of China,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.1,1
Taiwan Province of China,Groupers nei,,,Groupers nei,,c_sp,actuals,0.33,0.9
Taiwan Province of China,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.37,1
Taiwan Province of China,Laver (Nori),,,Laver (Nori),,c_sp,actuals,0.67,1
Taiwan Province of China,Milkfish,,,Milkfish,,c_sp,actuals,0.5,1
Taiwan Province of China,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.53,0.1
Taiwan Province of China,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.37,0.1
Thailand,Banana prawn,,,Banana prawn,,c_sp,actuals,0.2,1
Thailand,Barramundi(=Giant seaperch),,,Barramundi,,c_sp,actuals,0.17,1
Thailand,Blood cockle,,,Blood cockle,,c_sp,actuals,0.67,1
Thailand,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.83,0.5
Thailand,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.1,1
Thailand,Groupers nei,,,Groupers nei,,c_sp,actuals,0.33,0.9
Thailand,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.27,0.5
Thailand,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.23,0.1
Tonga,Milkfish,,,Milkfish,,c_sp,actuals,0.37,1
Turkey,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.53,0.1
Turkey,Common two-banded seabream,,,Com.2-banded seabream,,c_sp,actuals,0.53,1
Turkey,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.53,0.8
Turkey,Mediterranean mussel,,,Mediterranean mussel,,c_sp,actuals,0.8,1
Turkey,Natantian decapods nei,,,Natantian decapods nei,,c_sp,actuals,0.53,0.5
Turkey,Seabasses nei,,,Seabasses nei,,c_sp,actuals,0.5,0.5
Turkey,Tuna-like fishes nei,,,Tuna-like fishes nei,,c_sp,actuals,0.43,0.5
Ukraine,Aquatic plants nei,,,Aquatic plants nei,,c_sp,actuals,0.8,1
Ukraine,Baltic prawn,,,Baltic prawn,,c_sp,actuals,0.47,1
Ukraine,Gobies nei,,,Gobies nei,,c_sp,actuals,0.53,0.5
Ukraine,Mullets nei,,,Mullets nei,,c_sp,actuals,0.67,0.5
Ukraine,Silversides(=Sand smelts) nei,,,Silversides nei,,c_sp,actuals,0.57,1
Ukraine,So-iuy mullet,,,So-iuy mullet,,c_sp,actuals,0.63,0.1
Ukraine,Sturgeons nei,,,Sturgeons nei,,c_sp,actuals,0.6,0.5
Ukraine,Tuna-like fishes nei,,,Tuna-like fishes nei,,c_sp,actuals,0.5,0.5
United Kingdom,Atlantic cod,,,Atlantic cod,,c_sp,actuals,0.17,1
United Kingdom,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.3,1
United Kingdom,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
United Kingdom,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.87,0.5
United Kingdom,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
United Kingdom,European seabass,,,European seabass,,c_sp,actuals,0.5,1
United Kingdom,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
United States of America,Abalones nei,,,Abalones nei,,c_sp,actuals,0.5,1
United States of America,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.37,1
United States of America,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
United States of America,Coho(=Silver) salmon,,,Coho(=Silver)salmon,,c_sp,actuals,0.37,1
United States of America,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,1,0.5
United States of America,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,0.1
United States of America,Flat oysters nei,,,Flat oysters nei,,c_sp,actuals,0.87,0.5
United States of America,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.9,0.1
United States of America,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.43,0.1
"Venezuela, Boliv Rep of",Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.5,0.1
Viet Nam,Banana prawn,,,Banana prawn,,c_sp,actuals,0.33,1
Viet Nam,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.1,1
Viet Nam,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.83,1
Viet Nam,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.23,0.1
NA,Abalones nei,,,Abalones nei,,species,sp_average,0.55,
NA,Algae & marine plants,,,Algae & marine plants,AL,taxon,taxon_average,0.873333333,
NA,All others,,,All others,OTHER,taxon,taxon_average,0.568049088,0.548672889
NA,American cupped oyster,,,American cupped oyster,,species,genus_average,0.887878788,0.518181818
NA,Aquatic plants nei,,,Aquatic plants nei,,species,sp_average,0.866666667,
NA,Arctic char,,,Arctic char,,species,sp_average,0.533333333,
NA,Atlantic bluefin tuna,,,Atlantic bluefin tuna,,species,sp_average,0.316666667,
NA,Atlantic cod,,,Atlantic cod,,species,sp_average,0.283333333,
NA,Atlantic halibut,,,Atlantic halibut,,species,sp_average,0.533333333,
NA,Atlantic salmon,,,Atlantic salmon,,species,sp_average,0.378947368,
NA,Atlantic wolffish,,,Atlantic wolffish,,species,sp_average,0.533333333,
NA,Bagrid catfish,,,Bagrid catfish,,species,sp_average,0.5,
NA,Baltic prawn,,,Baltic prawn,,species,sp_average,0.466666667,
NA,Banana prawn,,,Banana prawn,,species,sp_average,0.275,
NA,Barramundi(=Giant seaperch),,,Barramundi,,species,sp_average,0.190909091,
NA,Bivalve & gastropod,,,Bivalve & gastropod,BI,taxon,taxon_average,0.811764706,0.742317682
NA,Blackchin tilapia,,,Blackchin tilapia,,species,sp_average,0.566666667,
NA,Blood cockle,,,Blood cockle,,species,sp_average,0.666666667,
NA,Blue mussel,,,Blue mussel,,species,sp_average,0.902380952,
NA,Blue shrimp,,,Blue shrimp,,species,genus_average,0.372222222,0.797142857
NA,Blue tilapia,,,Blue tilapia,,species,genus_average,0.366666667,
NA,Brill,,,Brill,,species,sp_average,0.566666667,
NA,Brown seaweeds,,,Brown seaweeds,,species,sp_average,0.933333333,
