FAO_name,exclude,alias,notes,notes_2,Taxon_code
Elkhorn sea moss,1,NA,seaweed: mixed use,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Elongate giant clam,0,NA,,,BI
Eucheuma seaweeds nei,1,NA,seaweed: mixed use,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
European eel,0,NA,,,F
European flat oyster,0,NA,,,BI
European flounder,0,NA,,,F
European seabass,0,NA,,,F
European whitefish,0,NA,,,F
False abalone,0,NA,,,BI
Filefishes nei,0,NA,,,F
"Filefishes, leatherjackets nei",0,NA,,,F
Finfishes nei,0,NA,,,F
Flat and cupped oysters nei,0,NA,,,BI
Flat oysters nei,0,NA,,,BI
Flatfishes nei,0,NA,,,F
Flathead grey mullet,0,NA,,,F
Flathead lobster,0,NA,,,CRUST
Fleshy prawn,0,NA,,,SH
Florida pompano,0,NA,,,F
Fluted giant clam,0,NA,,,BI
Fourfinger threadfin,0,NA,,,F
Fragile codium,1,NA,seaweed: mixed use,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Freshwater fishes nei,1,NA,freshwater,,F
Freshwater siluroids nei,1,NA,freshwater,,F
Fusiform sargassum,1,NA,seaweed: mixed use,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Gasar cupped oyster,0,NA,,,BI
Gastropods nei,0,NA,,,BI
Gazami crab,0,NA,,,CRUST
Gelidium seaweeds,1,NA,seaweed: agar,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Giant clam,0,NA,,,BI
Giant clams nei,0,NA,,,BI
Giant grouper,0,Groupers nei,,,F
Giant kelp,1,NA,"seaweed, algin",food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Giant river prawn,1,NA,freshwater,,SH
Giant tiger prawn,0,NA,,,SH
Gilthead seabream,0,NA,,,F
Globose clam,0,NA,,,BI
Gobies nei,0,NA,,,F
Golden carpet shell,0,NA,,,BI
Golden trevally,0,NA,,,F
Goldlined seabream,0,NA,,,F
Goldsilk seabream,0,NA,,,F
Gracilaria seaweeds,1,NA,seaweed mixed: agar/food,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Grand ark,0,Anadara clams nei,,,BI
Grass carp(=White amur),1,NA,freshwater,,F
Greasy grouper,0,NA,,,F
Greasyback shrimp,0,NA,,,SH
Great Atlantic scallop,0,NA,,,BI
Great blue spotted mudskipper,1,NA,was excluded,Chinese medicine,F
Greater amberjack,0,NA,,,F
Green crab,0,NA,,,CRUST
Green humphead parrotfish,0,NA,,,F
Green laver,1,NA,seaweed; was excluded,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Green mussel,0,NA,,,BI
Green tiger prawn,0,NA,,,SH
Green turtle,1,NA,was excluded,,OTHER
Grooved carpet shell,0,NA,,,BI
Groundfishes nei,0,NA,,,F
Groupers nei,0,NA,,,F
"Groupers, seabasses nei",0,NA,,,F
"Gudgeons, sleepers nei",0,NA,,,F
Haddock,0,NA,,,F
Harpoon seaweeds,1,NA,seaweed: cosmetic/antiparasitic/agar,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Hong Kong grouper,0,NA,,,F
Hooded oyster,0,NA,,,BI
Horned turban,0,NA,,,BI
Horse mussels nei,0,NA,,,BI
Humpback grouper,0,NA,,,F
Indian backwater oyster,0,NA,,,BI
Indian white prawn,0,NA,,,SH
Indo-Pacific swamp crab,0,NA,,,CRUST
Indonesian snakehead,0,NA,,,F
Inflated ark,0,NA,,,BI
"Jacks, crevalles nei",0,NA,,,F
Japanese abalone,0,NA,,,BI
Japanese amberjack,0,NA,,,F
Japanese carpet shell,0,NA,,,BI
Japanese eel,0,NA,,,F
Japanese hard clam,0,NA,,,BI
Japanese isinglass,1,NA,seaweed: agar/food,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Japanese jack mackerel,0,NA,,,F
Japanese kelp,1,NA,seaweed: was excluded,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Japanese meagre,0,NA,,,F
Japanese sea cucumber,0,NA,,,NS-INV
Japanese seabass,0,NA,,,F
Japanese seabream,0,NA,,,F
Japanese spiny lobster,0,NA,,,CRUST
Jellyfishes nei,0,NA,,,NS-INV
John's snapper,0,NA,,,F
Kelp nei,1,NA,seaweed: mixed use,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Korean mussel,0,NA,,,BI
Korean rockfish,0,NA,,,F
Kuruma prawn,0,NA,,,SH
Large yellow croaker,0,NA,,,F
Largemouth black bass,0,NA,,,F
Laver (Nori),1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Lebranche mullet,0,NA,,,F
Lefteye flounders nei,0,NA,,,F
Longfin yellowtail,0,Amberjacks nei,,,F
Mackerels nei,0,NA,,,F
Malabar grouper,0,NA,,,F
Malabar trevally,0,NA,,,F
Mangrove cupped oyster,0,NA,,,BI
Mangrove red snapper,0,NA,,,F
Marble goby,0,NA,,,F
Marbled spinefoot,0,NA,,,F
Marine crabs nei,0,NA,,,CRUST
Marine crustaceans nei,0,NA,,,CRUST
Marine fishes nei,0,NA,,,F
Marine molluscs nei,0,NA,,,MOLL
Masu(=Cherry) salmon,0,NA,,,F
Meagre,0,NA,,,F
Mediterranean mussel,0,NA,,,BI
Metapenaeus shrimps nei,0,NA,,,F
Mi-iuy (brown) croaker,0,"Croakers, drums nei",,,F
Milkfish,0,NA,,,F
Mojarras(=Silver-biddies) nei,0,NA,,,F
Mozambique tilapia,1,NA,freshwater,,F
Mozuku,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Mud spiny lobster,0,NA,,,CRUST
Mullets nei,0,NA,,,F
Natantian decapods nei,0,NA,,,CRUST
New Zealand mussel,0,NA,,,BI
Nile perch,1,Snooks(=Robalos) nei,freshwater,,F
Nile tilapia,1,NA,freshwater,,F
Nori nei,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Northern quahog(=Hard clam),0,NA,,,BI
Northern white shrimp,0,NA,,,SH
Octopuses nei,0,NA,,,CEPH
"Octopuses, etc. nei",0,NA,,,CEPH
Okhotsk atka mackerel,0,NA,,,F
Olympia oyster,0,NA,,,BI
Orange mud crab,0,NA,,,CRUST
Orange-spotted grouper,0,NA,,,F
Orbicular batfish,1,NA,aquarium,,F
Oriental cyclina,1,NA,was excluded,,BI
Pacific bluefin tuna,0,NA,,,F
Pacific calico scallop,0,NA,,,BI
Pacific cupped oyster,0,NA,,,BI
Pacific geoduck,0,NA,,,BI
Pacific horse clam,0,NA,,,BI
Pacific lion's paw,0,NA,,,BI
Pacific littleneck clam,0,NA,,,BI
Palaemonid shrimps nei,0,NA,,,SH
Palinurid spiny lobsters nei,0,NA,,,CRUST
Pangas catfishes nei,1,NA,freshwater,,F
Papuan black snapper,0,NA,,,F
Pargo breams nei,0,NA,,,F
Pearl oyster shells nei,0,NA,,,BI
Pen shells nei,0,NA,,,BI
Penaeus shrimps nei,0,NA,,,SH
Penguin wing oyster,0,NA,,,BI
Peppery furrow,0,NA,,,BI
Percoids nei,0,NA,,,F
Periwinkles nei,0,NA,,,BI
Perlemoen abalone,0,NA,,,BI
Peruvian calico scallop,0,NA,,,BI
Pod razor shell,0,NA,,,BI
Pollack,0,NA,,,F
Pompano,0,NA,,,F
Pompanos nei,0,NA,,,F
"Porgies, seabreams nei",0,NA,,,F
Portunus swimcrabs nei,0,NA,,,CRUST
Pullet carpet shell,0,NA,,,BI
Queen conch,0,NA,,,BI
Queen scallop,0,NA,,,BI
Rainbow trout,0,NA,,,F
Red abalone,0,NA,,,BI
Red bait,0,NA,,,TUN
Red drum,0,NA,,,F
Red porgy,0,NA,,,F
Red seaweeds,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Red swamp crawfish,1,NA,freshwater,,F
Redtail prawn,0,NA,,,SH
Righteye flounders nei,0,NA,,,F
River eels nei,1,NA,freshwater,,F
River Plata mussel,1,NA,freshwater,,BI
Rooster venus,0,NA,,,BI
Russell's snapper,0,NA,,,F
Sabaki tilapia,1,NA,freshwater,,F
Salmonids nei,0,NA,,,F
Salmonoids nei,0,NA,,,F
Sand fish,0,Sea cucumbers nei,,,NS-INV
Sand gaper,0,NA,,,BI
Sandfish,0,Sea cucumbers nei,,,NS-INV
Sargo breams nei,0,NA,,,F
Scallops nei,0,NA,,,BI
Scats,0,NA,,,F
Sciaenas nei,0,NA,,,F
Scorpionfishes nei,0,NA,,,F
Sea belt,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Sea cucumbers nei,0,NA,,,NS-INV
Sea mussels nei,0,NA,,,BI
Sea snails,0,NA,,,BI
Sea squirts nei,0,NA,,,TUN
Sea trout,0,NA,,,F
Sea urchins nei,0,NA,,,URCH
Seabasses nei,0,NA,,,F
Seaweeds nei,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Senegalese sole,0,NA,,,F
Sharpsnout seabream,0,NA,,,F
Shi drum,0,NA,,,F
Short-finned eel,1,NA,freshwater,,F
Silver barb,1,NA,freshwater,,F
Silver carp,1,NA,freshwater,,F
Silver seabream,1,NA,freshwater,,F
Silversides(=Sand smelts) nei,1,NA,freshwater,,F
Sixfinger threadfin,0,NA,,,F
Slipper cupped oyster,0,NA,,,BI
Smooth giant clam,0,NA,,,BI
Smooth mactra,0,NA,,,BI
Snappers nei,0,NA,,,F
"Snappers, jobfishes nei",0,NA,,,F
Snooks(=Robalos) nei,0,NA,,,F
Snubnose pompano,0,NA,,,F
So-iuy mullet,0,NA,,,F
Sobaity seabream,0,NA,,,F
Sockeye(=Red) salmon,0,NA,,,F
Solen razor clams nei,0,NA,,,BI
Soles nei,0,NA,,,F
South American rock mussel,0,NA,,,BI
Southern Australia scallop,0,NA,,,BI
Southern bluefin tuna,0,NA,,,F
Southern white shrimp,0,NA,,,SH
Speckled shrimp,0,NA,,,SH
Spinefeet(=Rabbitfishes) nei,0,Metapenaeus shrimps nei,,,F
Spinous spider crab,0,NA,,,CRUST
Spiny eucheuma,1,NA,seaweed:carrageenan,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Spiny lobsters nei,0,NA,,,CRUST
Spotted coralgrouper,0,NA,,,F
Spotted rose snapper,0,NA,,,F
Spotted seabass,0,NA,,,F
Spotted wolffish,0,NA,,,F
Squaretail mullet,0,NA,,,F
Stony sea urchin,0,NA,,,URCH
Streaked spinefoot,0,NA,,,F
"Striped bass, hybrid",0,NA,,,F
Striped venus,0,NA,,,BI
Stromboid conchs nei,0,NA,,,BI
Sturgeons nei,0,NA,,,F
"Swimming crabs, etc. nei",0,NA,,,CRUST
Sydney cupped oyster,0,NA,,,BI
Tangle,1,NA,industrial uses,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Tarpon,0,NA,,,F
Thinlip grey mullet,0,NA,,,F
Tiger pufferfish,0,Puffers nei,,,F
Tilapias nei,1,NA,freshwater,,F
Torpedo-shaped catfishes nei,1,NA,freshwater,,F
Tropical spiny lobsters nei,0,NA,,,CRUST
Trumpet emperor,0,NA,,,F
Tuberculate abalone,0,NA,,,BI
Turbot,0,NA,,,F
Two-spot red snapper,0,NA,,,F
Variegated scallop,0,NA,,,BI
Venus clams nei,0,NA,,,BI
Waigieu seaperch,0,NA,,,F
Wakame,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Wakame nei,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Warty gracilaria,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Warty venus,0,NA,,,BI
White seabream,0,NA,,,F
White trevally,0,NA,,,F
White-spotted spinefoot,0,NA,,,F
Whiteleg shrimp,0,NA,,,SH
Whitemouth croaker,0,NA,,,F
Yellowback seabream,0,NA,,,F
Yellowfin seabream,0,NA,,,F
Yellowfin tuna,0,NA,,,F
Yesso scallop,0,NA,,,BI
Longrayed whiptail,0,NA,,,F
Yellowtail amberjack,0,Amberjacks nei,,,F
Great Mediterranean scallop,0,NA,,,BI
Mediterranean shore crab,0,NA,,,CRUST
Giant kelps nei,1,NA,seaweed,,AL
Green seaweeds,1,NA,seaweed,,AL
Beluga,0,NA,,,F
Striped bass,0,NA,,,F
Pink dentex,0,NA,,,F
Trouts nei,0,NA,,,F
Caribbean spiny lobster,0,NA,,,CRUST
Coarse seagrape,1,NA,seaweed,,AL
Pacific asaphis,0,NA,,,BI
Rough turban,0,NA,,,BI
Pufferfishes nei,0,NA,,,F
Broad geloina,0,NA,,,BI
[Sargassum spp],1,NA,seaweed,,AL
Emperor red snapper,0,Snappers nei,,,F
Rainbow abalone,0,NA,,,BI
Giant trevally,0,NA,,,F
Starry sturgeon,0,Sturgeons nei,,,F
