"SBID","CountryCode","SplitYear","SeasonYear","SeasonMonthNr","CalendarMonthNr","ASD","TargetSpeciesCode","GearCode","FishingCode","ShipSize","FishingHours","FishingDays","ShipCount","HookCount","PotCount","HaulCount","FishingOnGrounds","FishingFromPort","FishingTrips","ShipTonnage","ShipHP","ShipLength","Comment","PreparedDate"
37,"SUN",1989,1989,2,1,"483","KRI","OTM","C",11,32.00,3.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
38,"SUN",1989,1989,4,3,"483","KRI","OTM","C",11,804.00,69.00,,,,,84.00,,,,,,"",10-4-2015 00:00:00
39,"SUN",1989,1989,5,4,"483","KRI","OTM","C",11,2579.00,215.00,,,,,261.00,,,,,,"",10-4-2015 00:00:00
40,"SUN",1989,1989,6,5,"483","KRI","OTM","C",11,3231.00,268.00,,,,,323.00,,,,,,"",10-4-2015 00:00:00
41,"SUN",1989,1989,7,6,"483","KRI","OTM","C",11,3154.00,254.00,,,,,303.00,,,,,,"",10-4-2015 00:00:00
42,"SUN",1989,1988,8,7,"483","KRI","OTM","C",10,7654.00,605.00,,,,,729.00,,,,,,"",10-4-2015 00:00:00
43,"SUN",1989,1988,9,8,"483","KRI","OTM","C",10,3644.00,276.00,,,,,334.00,,,,,,"",10-4-2015 00:00:00
44,"SUN",1989,1988,10,9,"483","KRI","OTM","C",10,718.00,57.00,,,,,69.00,,,,,,"",10-4-2015 00:00:00
45,"SUN",1989,1989,2,1,"483","KRI","OTM","C",10,51.00,5.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
46,"SUN",1989,1989,3,2,"483","KRI","OTM","C",10,191.00,17.00,,,,,20.00,,,,,,"",10-4-2015 00:00:00
47,"SUN",1989,1989,4,3,"483","KRI","OTM","C",10,135.00,13.00,,,,,16.00,,,,,,"",10-4-2015 00:00:00
48,"SUN",1989,1989,5,4,"483","KRI","OTM","C",10,1779.00,141.00,,,,,165.00,,,,,,"",10-4-2015 00:00:00
49,"SUN",1989,1989,6,5,"483","KRI","OTM","C",10,1437.00,113.00,,,,,134.00,,,,,,"",10-4-2015 00:00:00
50,"SUN",1989,1989,7,6,"483","KRI","OTM","C",10,1728.00,135.00,,,,,164.00,,,,,,"",10-4-2015 00:00:00
51,"SUN",1989,1989,3,2,"482","MZZ","OTB","C",11,34.00,3.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
52,"SUN",1989,1989,5,4,"482","MZZ","OTB","C",11,23.00,2.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
53,"SUN",1989,1989,2,1,"481","MZZ","OTB","C",10,373.00,32.00,,,,,38.00,,,,,,"",10-4-2015 00:00:00
54,"SUN",1989,1989,3,2,"481","MZZ","OTB","C",10,88.00,7.00,,,,,8.00,,,,,,"",10-4-2015 00:00:00
55,"SUN",1989,1989,4,3,"481","MZZ","OTB","C",10,4.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
56,"SUN",1989,1988,12,11,"482","MZZ","OTB","C",10,25.00,2.00,,,,,2.00,,,,,,"",10-4-2015 00:00:00
57,"SUN",1989,1989,1,12,"482","MZZ","OTB","C",10,211.00,18.00,,,,,22.00,,,,,,"",10-4-2015 00:00:00
58,"SUN",1989,1989,2,1,"482","MZZ","OTB","C",10,95.00,9.00,,,,,11.00,,,,,,"",10-4-2015 00:00:00
59,"SUN",1989,1989,3,2,"482","MZZ","OTB","C",10,129.00,11.00,,,,,14.00,,,,,,"",10-4-2015 00:00:00
60,"SUN",1989,1989,4,3,"482","MZZ","OTB","C",10,32.00,3.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
61,"SUN",1989,1989,5,4,"482","MZZ","OTB","C",10,29.00,3.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
62,"SUN",1989,1988,8,7,"483","MZZ","OTM","C",11,833.00,80.00,,,,,99.00,,,,,,"",10-4-2015 00:00:00
63,"SUN",1989,1988,9,8,"483","MZZ","OTM","C",11,739.00,63.00,,,,,76.00,,,,,,"",10-4-2015 00:00:00
64,"SUN",1989,1988,10,9,"483","MZZ","OTM","C",11,1412.00,118.00,,,,,143.00,,,,,,"",10-4-2015 00:00:00
65,"SUN",1989,1988,11,10,"483","MZZ","OTM","C",11,1202.00,95.00,,,,,112.00,,,,,,"",10-4-2015 00:00:00
66,"SUN",1989,1989,2,1,"483","MZZ","OTM","C",11,527.00,45.00,,,,,55.00,,,,,,"",10-4-2015 00:00:00
67,"SUN",1989,1988,8,7,"483","MZZ","OTM","C",10,688.00,56.00,,,,,67.00,,,,,,"",10-4-2015 00:00:00
68,"SUN",1989,1988,9,8,"483","MZZ","OTM","C",10,419.00,40.00,,,,,47.00,,,,,,"",10-4-2015 00:00:00
69,"SUN",1989,1988,10,9,"483","MZZ","OTM","C",10,974.00,81.00,,,,,99.00,,,,,,"",10-4-2015 00:00:00
70,"SUN",1989,1988,11,10,"483","MZZ","OTM","C",10,1988.00,161.00,,,,,194.00,,,,,,"",10-4-2015 00:00:00
71,"SUN",1989,1988,12,11,"483","MZZ","OTM","C",10,955.00,76.00,,,,,92.00,,,,,,"",10-4-2015 00:00:00
72,"SUN",1989,1989,1,12,"483","MZZ","OTM","C",10,2375.00,196.00,,,,,235.00,,,,,,"",10-4-2015 00:00:00
73,"SUN",1989,1989,2,1,"483","MZZ","OTM","C",10,350.00,28.00,,,,,34.00,,,,,,"",10-4-2015 00:00:00
74,"SUN",1989,1989,3,2,"483","MZZ","OTM","C",10,41.00,4.00,,,,,6.00,,,,,,"",10-4-2015 00:00:00
75,"SUN",1989,1989,4,3,"483","MZZ","OTM","C",10,248.00,20.00,,,,,24.00,,,,,,"",10-4-2015 00:00:00
76,"SUN",1989,1989,5,4,"483","MZZ","OTM","C",10,404.00,33.00,,,,,40.00,,,,,,"",10-4-2015 00:00:00
77,"SUN",1989,1989,6,5,"483","MZZ","OTM","C",10,233.00,21.00,,,,,26.00,,,,,,"",10-4-2015 00:00:00
78,"SUN",1989,1989,7,6,"483","MZZ","OTM","C",10,130.00,11.00,,,,,14.00,,,,,,"",10-4-2015 00:00:00
79,"SUN",1989,1988,11,10,"483","MZZ","OTB","C",11,1954.00,150.00,,,,,179.00,,,,,,"",10-4-2015 00:00:00
80,"SUN",1989,1988,12,11,"483","MZZ","OTB","C",11,492.00,41.00,,,,,49.00,,,,,,"",10-4-2015 00:00:00
81,"SUN",1989,1989,1,12,"483","MZZ","OTB","C",11,86.00,8.00,,,,,10.00,,,,,,"",10-4-2015 00:00:00
82,"SUN",1989,1989,2,1,"483","MZZ","OTB","C",11,90.00,8.00,,,,,9.00,,,,,,"",10-4-2015 00:00:00
83,"SUN",1989,1988,8,7,"483","MZZ","OTB","C",10,95.00,8.00,,,,,9.00,,,,,,"",10-4-2015 00:00:00
84,"SUN",1989,1988,10,9,"483","MZZ","OTB","C",10,23.00,2.00,,,,,2.00,,,,,,"",10-4-2015 00:00:00
85,"SUN",1989,1988,11,10,"483","MZZ","OTB","C",10,891.00,73.00,,,,,87.00,,,,,,"",10-4-2015 00:00:00
86,"SUN",1989,1988,12,11,"483","MZZ","OTB","C",10,782.00,64.00,,,,,78.00,,,,,,"",10-4-2015 00:00:00
87,"SUN",1989,1989,1,12,"483","MZZ","OTB","C",10,624.00,53.00,,,,,64.00,,,,,,"",10-4-2015 00:00:00
88,"SUN",1989,1989,2,1,"483","MZZ","OTB","C",10,667.00,65.00,,,,,78.00,,,,,,"",10-4-2015 00:00:00
89,"SUN",1989,1989,3,2,"5842","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
90,"SUN",1989,1989,4,3,"5842","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
91,"SUN",1989,1989,5,4,"5842","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
103,"SUN",1989,1988,10,9,"5851","MZZ","OTB","C",10,369.00,33.00,,,,,41.00,,,,,,"",10-4-2015 00:00:00
104,"SUN",1989,1988,11,10,"5851","MZZ","OTB","C",10,2097.00,191.00,,,,,228.00,,,,,,"",10-4-2015 00:00:00
105,"SUN",1989,1988,12,11,"5851","MZZ","OTB","C",10,2119.00,226.00,,,,,268.00,,,,,,"",10-4-2015 00:00:00
106,"SUN",1989,1989,1,12,"5851","MZZ","OTB","C",10,1494.00,179.00,,,,,214.00,,,,,,"",10-4-2015 00:00:00
107,"SUN",1989,1989,2,1,"5851","MZZ","OTB","C",10,801.00,90.00,,,,,110.00,,,,,,"",10-4-2015 00:00:00
108,"SUN",1989,1989,3,2,"5851","MZZ","OTB","C",10,679.00,81.00,,,,,95.00,,,,,,"",10-4-2015 00:00:00
109,"SUN",1989,1989,4,3,"5851","MZZ","OTB","C",10,497.00,47.00,,,,,68.00,,,,,,"",10-4-2015 00:00:00
110,"SUN",1989,1989,5,4,"5851","MZZ","OTB","C",10,92.00,9.00,,,,,11.00,,,,,,"",10-4-2015 00:00:00
111,"SUN",1989,1988,11,10,"883","LXX","OTM","C",10,316.00,28.00,,,,,33.00,,,,,,"",10-4-2015 00:00:00
112,"SUN",1989,1988,11,10,"483","TOT","LLS","C",8,,49.00,,422727,,,58.00,,,,,,"",10-4-2015 00:00:00
113,"SUN",1989,1988,12,11,"483","TOT","LLS","C",8,,19.00,2,213207,,34,22.00,,,,,,"",10-4-2015 00:00:00
114,"SUN",1989,1989,1,12,"483","TOT","LLS","C",8,,49.00,2,289855,,97,40.00,,,,,,"",10-4-2015 00:00:00
115,"SUN",1989,1989,2,1,"483","TOT","LLS","C",8,,50.00,2,530666,,106,81.00,,,,,,"",10-4-2015 00:00:00
116,"SUN",1989,1989,3,2,"483","TOT","LLS","C",8,,29.00,2,821795,,80,127.00,,,,,,"",10-4-2015 00:00:00
117,"SUN",1989,1989,4,3,"483","TOT","LLS","C",8,,134.00,,941573,,,161.00,,,,,,"",10-4-2015 00:00:00
118,"SUN",1989,1989,5,4,"483","TOT","LLS","C",8,,89.00,,692500,,,104.00,,,,,,"",10-4-2015 00:00:00
119,"SUN",1989,1989,6,5,"483","TOT","LLS","C",8,,109.00,,898701,,,128.00,,,,,,"",10-4-2015 00:00:00
120,"SUN",1989,1989,7,6,"483","TOT","LLS","C",8,,62.00,,563793,,,74.00,,,,,,"",10-4-2015 00:00:00
121,"KOR",1989,1989,2,1,"481","KRI","OTM","C",10,83.00,15.00,,,,,,,,,,,"",10-4-2015 00:00:00
122,"KOR",1989,1989,3,2,"481","KRI","OTM","C",10,145.00,28.00,,,,,,,,,,,"",10-4-2015 00:00:00
123,"KOR",1989,1989,4,3,"481","KRI","OTM","C",10,120.00,22.00,,,,,,,,,,,"",10-4-2015 00:00:00
124,"KOR",1989,1989,3,2,"482","KRI","OTM","C",10,31.00,7.00,,,,,,,,,,,"",10-4-2015 00:00:00
125,"CHL",1989,1989,2,1,"481","KRI","OTM","C",10,9.00,1.00,,,,8,1.00,8.00,,,,,"",10-4-2015 00:00:00
126,"CHL",1989,1989,3,2,"481","KRI","OTM","C",10,193.00,28.00,,,,316,28.00,28.00,,,,,"",10-4-2015 00:00:00
127,"CHL",1989,1989,4,3,"481","KRI","OTM","C",10,229.00,31.00,,,,310,31.00,31.00,,,,,"",10-4-2015 00:00:00
128,"CHL",1989,1989,5,4,"481","KRI","OTM","C",10,84.00,10.00,,,,107,10.00,13.00,,,,,"",10-4-2015 00:00:00
129,"POL",1989,1989,1,12,"481","KRI","OTM","C",10,152.00,10.00,,,,,10.00,12.00,,,,,"",10-4-2015 00:00:00
130,"POL",1989,1989,2,1,"481","KRI","OTM","C",10,165.00,17.00,,,,,19.00,19.00,,,,,"",10-4-2015 00:00:00
131,"POL",1989,1989,3,2,"481","KRI","OTM","C",10,196.00,14.00,,,,,14.00,22.00,,,,,"",10-4-2015 00:00:00
132,"POL",1989,1989,4,3,"481","KRI","OTM","C",10,251.00,17.00,,,,,17.00,34.00,,,,,"",10-4-2015 00:00:00
133,"POL",1989,1989,2,1,"482","KRI","OTM","C",10,379.00,29.00,,,,,31.00,40.00,,,,,"",10-4-2015 00:00:00
134,"POL",1989,1989,3,2,"482","KRI","OTM","C",10,455.00,34.00,,,,,34.00,34.00,,,,,"",10-4-2015 00:00:00
135,"POL",1989,1988,8,7,"483","KRI","OTM","C",10,126.00,8.00,,,,,8.00,24.00,,,,,"",10-4-2015 00:00:00
136,"POL",1989,1988,9,8,"483","KRI","OTM","C",10,209.00,15.00,,,,,25.00,25.00,,,,,"",10-4-2015 00:00:00
137,"POL",1989,1989,5,4,"483","KRI","OTM","C",10,162.00,11.00,,,,,13.00,21.00,,,,,"",10-4-2015 00:00:00
138,"POL",1989,1989,6,5,"483","KRI","OTM","C",10,348.00,27.00,,,,,27.00,31.00,,,,,"",10-4-2015 00:00:00
139,"POL",1989,1989,7,6,"483","KRI","OTM","C",10,226.00,18.00,,,,,19.00,30.00,,,,,"",10-4-2015 00:00:00
140,"POL",1989,1989,2,1,"481","MZZ","OTB","C",10,11.00,3.00,,,,,,,,,,,"",10-4-2015 00:00:00
141,"POL",1989,1988,9,8,"483","MZZ","OTB","E",10,61.00,4.00,,,,,10.00,18.00,,,,,"",10-4-2015 00:00:00
144,"SUN",1978,1978,3,2,"482","MZZ","OTM","C",10,227.00,24.00,,,,,,,,,,,"",10-4-2015 00:00:00
145,"SUN",1978,1978,4,3,"482","MZZ","OTM","C",10,93.00,8.00,,,,,,,,,,,"",10-4-2015 00:00:00
146,"SUN",1978,1978,1,12,"483","MZZ","OTM","C",10,105.00,10.00,,,,,,,,,,,"",10-4-2015 00:00:00
147,"SUN",1978,1978,2,1,"483","MZZ","OTM","C",10,514.00,38.00,,,,,,,,,,,"",10-4-2015 00:00:00
148,"SUN",1979,1979,4,3,"481","MZZ","OT","C",10,16.00,1.00,,,,,,,,,,,"",10-4-2015 00:00:00
149,"SUN",1979,1979,1,12,"482","MZZ","OT","C",10,155.00,20.00,,,,,,,,,,,"",10-4-2015 00:00:00
150,"SUN",1979,1979,2,1,"482","MZZ","OT","C",10,251.00,26.00,,,,,,,,,,,"",10-4-2015 00:00:00
151,"SUN",1979,1979,3,2,"483","NOX","OT","C",10,401.00,50.00,,,,,,,,,,,"",10-4-2015 00:00:00
152,"SUN",1979,1979,4,3,"483","NOX","OT","C",10,263.00,23.00,,,,,,,,,,,"",10-4-2015 00:00:00
153,"SUN",1980,1980,2,1,"481","MZZ","OT","C",10,96.00,13.00,,,,,,,,,,,"",10-4-2015 00:00:00
154,"SUN",1980,1980,2,1,"482","MZZ","OT","C",10,90.00,11.00,,,,,,,,,,,"",10-4-2015 00:00:00
155,"SUN",1980,1980,3,2,"482","MZZ","OT","C",10,125.00,15.00,,,,,,,,,,,"",10-4-2015 00:00:00
156,"SUN",1980,1980,3,2,"483","NOX","OT","C",10,100.00,10.00,,,,,,,,,,,"",10-4-2015 00:00:00
157,"SUN",1980,1980,4,3,"483","NOX","OT","C",10,101.00,13.00,,,,,,,,,,,"",10-4-2015 00:00:00
158,"CHL",1976,1976,6,5,"481","KRI","OTM","C",10,44.00,28.00,,,,,28.00,,,,,,"",10-4-2015 00:00:00
159,"CHL",1976,1976,7,6,"481","KRI","OTM","C",10,38.00,10.00,,,,,10.00,,,,,,"",10-4-2015 00:00:00
160,"CHL",1977,1976,11,10,"481","KRI","OTM","C",10,56.00,20.00,,,,,20.00,,,,,,"",10-4-2015 00:00:00
161,"CHL",1983,1983,1,12,"481","KRI","OTM","C",10,72.00,9.00,,,,,9.00,,,,,,"",10-4-2015 00:00:00
162,"CHL",1983,1983,1,12,"482","KRI","OTM","C",10,28.00,2.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
163,"CHL",1983,1983,2,1,"482","KRI","OTM","C",10,424.00,29.00,,,,,31.00,,,,,,"",10-4-2015 00:00:00
164,"CHL",1983,1983,3,2,"482","KRI","OTM","C",10,243.00,17.00,,,,,19.00,,,,,,"",10-4-2015 00:00:00
165,"CHL",1984,1984,2,1,"481","KRI","OTM","C",10,,28.00,,,,,28.00,31.00,,,,,"",10-4-2015 00:00:00
166,"CHL",1984,1984,3,2,"481","KRI","OTM","C",10,,6.00,,,,,6.00,13.00,,,,,"",10-4-2015 00:00:00
167,"CHL",1985,1985,3,2,"481","KRI","OTM","C",9,,24.00,1,,,,,26.00,1,3914.00,4400.00,,"",10-4-2015 00:00:00
168,"CHL",1985,1985,4,3,"481","KRI","OTM","C",9,,13.00,1,,,,,16.00,1,3914.00,4400.00,,"",10-4-2015 00:00:00
169,"CHL",1986,1986,2,1,"481","KRI","OTM","C",9,84.00,4.00,1,,,,4.00,6.00,1,3914.00,4400.00,,"",10-4-2015 00:00:00
170,"CHL",1986,1986,3,2,"481","KRI","OTM","C",9,651.00,27.00,1,,,,28.00,28.00,1,3914.00,4400.00,,"",10-4-2015 00:00:00
171,"CHL",1986,1986,4,3,"481","KRI","OTM","C",9,96.00,4.00,1,,,,6.00,9.00,1,3914.00,4400.00,,"",10-4-2015 00:00:00
172,"CHL",1987,1987,2,1,"481","KRI","OTM","C",9,64.58,,2,,,,10.00,16.00,2,1959.00,1855.00,,"",10-4-2015 00:00:00
173,"CHL",1987,1987,3,2,"481","KRI","OTM","C",9,270.75,,2,,,,28.00,28.00,2,1959.00,1855.00,,"",10-4-2015 00:00:00
174,"CHL",1987,1987,4,3,"481","KRI","OTM","C",9,52.50,,2,,,,9.00,12.00,2,1959.00,1855.00,,"",10-4-2015 00:00:00
175,"CHL",1988,1988,3,2,"481","KRI","OTM","C",9,427.00,57.00,2,,,,57.00,58.00,1,1959.00,1855.00,,"",10-4-2015 00:00:00
176,"CHL",1988,1988,4,3,"481","KRI","OTM","C",9,33.00,4.00,2,,,,4.00,9.00,1,1959.00,1855.00,,"",10-4-2015 00:00:00
177,"DDR",1977,1977,6,5,"483","MZZ","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
178,"DDR",1977,1977,7,6,"483","MZZ","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
179,"DDR",1978,1978,3,2,"482","ANI","OTM","C",,,29.00,,,,,36.00,,,,,,"",10-4-2015 00:00:00
180,"DDR",1978,1978,4,3,"482","ANI","OTM","C",,,18.00,,,,,21.00,,,,,,"",10-4-2015 00:00:00
181,"DDR",1978,1978,3,2,"482","ANI","OTM","C",8,,23.00,,,,,23.00,,,,,,"",10-4-2015 00:00:00
182,"DDR",1978,1978,1,12,"483","MZZ","OTB","C",,,14.00,,,,,16.00,,,,,,"",10-4-2015 00:00:00
183,"DDR",1978,1978,2,1,"483","MZZ","OTB","C",,,50.00,,,,,61.00,,,,,,"",10-4-2015 00:00:00
184,"DDR",1978,1978,3,2,"483","MZZ","OTB","C",,,18.00,,,,,19.00,,,,,,"",10-4-2015 00:00:00
185,"DDR",1978,1978,4,3,"483","MZZ","OTB","C",,,3.00,,,,,6.00,,,,,,"",10-4-2015 00:00:00
186,"DDR",1978,1978,5,4,"483","MZZ","OTB","C",,,27.00,,,,,28.00,,,,,,"",10-4-2015 00:00:00
187,"DDR",1978,1978,6,5,"483","MZZ","OTB","C",,,19.00,,,,,20.00,,,,,,"",10-4-2015 00:00:00
188,"DDR",1978,1978,2,1,"483","MZZ","OTB","C",,,45.00,,,,,48.00,,,,,,"",10-4-2015 00:00:00
189,"DDR",1978,1978,3,2,"483","MZZ","OTB","C",,,18.00,,,,,18.00,,,,,,"",10-4-2015 00:00:00
190,"DDR",1978,1978,4,3,"483","MZZ","OTB","C",,,2.00,,,,,7.00,,,,,,"",10-4-2015 00:00:00
191,"DDR",1978,1978,1,12,"483","MZZ","OTB","C",8,,53.00,,,,,53.00,,,,,,"",10-4-2015 00:00:00
192,"DDR",1978,1978,2,1,"483","MZZ","OTB","C",8,,202.00,,,,,203.00,,,,,,"",10-4-2015 00:00:00
193,"DDR",1978,1978,3,2,"483","MZZ","OTB","C",8,,134.00,,,,,147.00,,,,,,"",10-4-2015 00:00:00
194,"DDR",1978,1978,4,3,"483","MZZ","OTB","C",8,,3.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
195,"DDR",1979,1979,,,"481","MZZ","OT","C",,,,,,,,,,,,,,"month not reported, SeasonYear set to SplitYear   ",10-4-2015 00:00:00
196,"DDR",1979,1979,,,"482","MZZ","OT","C",,,,,,,,,,,,,,"month not reported, SeasonYear set to SplitYear   ",10-4-2015 00:00:00
197,"DDR",1979,1979,,,"483","MZZ","OT","C",,,,,,,,,,,,,,"month not reported, SeasonYear set to SplitYear   ",10-4-2015 00:00:00
198,"DDR",1980,1980,2,1,"482","MZZ","OTB","C",,,21.00,,,,,21.00,,,,,,"",10-4-2015 00:00:00
199,"DDR",1980,1980,3,2,"482","MZZ","OTB","C",,,26.00,,,,,27.00,,,,,,"",10-4-2015 00:00:00
200,"DDR",1980,1980,4,3,"482","MZZ","OTB","C",,,43.00,,,,,50.00,,,,,,"",10-4-2015 00:00:00
201,"DDR",1980,1980,5,4,"482","MZZ","OTB","C",,,48.00,,,,,47.00,,,,,,"",10-4-2015 00:00:00
202,"DDR",1980,1980,2,1,"482","MZZ","OTB","C",8,,83.00,,,,,84.00,,,,,,"",10-4-2015 00:00:00
203,"DDR",1980,1980,3,2,"482","MZZ","OTB","C",8,,190.00,,,,,194.00,,,,,,"",10-4-2015 00:00:00
204,"DDR",1980,1980,4,3,"482","MZZ","OTB","C",8,,248.00,,,,,249.00,,,,,,"",10-4-2015 00:00:00
205,"DDR",1980,1980,5,4,"482","MZZ","OTB","C",8,,61.00,,,,,61.00,,,,,,"",10-4-2015 00:00:00
206,"DDR",1981,1980,11,10,"483","MZZ","OTB","C",,,27.00,,,,,31.00,,,,,,"",10-4-2015 00:00:00
207,"DDR",1981,1980,12,11,"483","MZZ","OTB","C",,,27.00,,,,,33.00,,,,,,"",10-4-2015 00:00:00
208,"DDR",1981,1981,1,12,"483","MZZ","OTB","C",,,56.00,,,,,58.00,,,,,,"",10-4-2015 00:00:00
209,"DDR",1981,1981,2,1,"483","MZZ","OTB","C",,,22.00,,,,,27.00,,,,,,"",10-4-2015 00:00:00
210,"DDR",1981,1981,3,2,"483","MZZ","OTB","C",,,3.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
211,"DDR",1981,1981,4,3,"483","MZZ","OTB","C",,,2.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
