SpeciesCode,TaxonomicCode,GroupCode,ScientificName,SpeciesSortOrder,ScientificFamilyName,ScientificFamilySortOrder,EnglishName,FrenchName,RussianName,SpanishName,Class
BDN,1709300201,,Bathydraco antarcticus,,Bathydraconidae,,,,,,F
BEA,1100400201,,Bathyraja eatonii,46,Rajidae,,Eaton's Skate,,???? ?????,,F
BEE,1310300201,,Benthalbella elongata,,Scopelarchidae,,pearleyes,,,,F
BEL,4220601401,,Delphinapterus leucas,,Monodontidae,,White whale,Bélouga,,Beluga,M
BEN,,,Benthos,,,,Bottom sludge,,,,
BHY,11004002XX,,Bathyraja spp,,Rajidae,,Bathyraja rays nei,Raies bathyraja nca,????????????? ?????,Rayas bathyraja nep,F
BIZ,,,Aves,,Aves,,Birds,,,,B
BLP,1709200702,,Eleginops maclovinus,,Nototheniidae,,Patagonian blennie,,,,F
BLU,1702021301,,Pomatomus saltatrix,,Pomatomidae,,Bluefish,Tassergal,,Anjova,F
BLW,4230200104,,Balaenoptera musculus,,Balaenopteridae,,Blue whale,Rorqual bleu,,Ballena azul,M
BMU,1100400203,,Bathyraja murrayi,,Rajidae,,Murray's skate,,???? ??????,,F
BNZ,1310300202,,Benthalbella macropinna,,Scopelarchidae,,,,,,F
BRA,17027003XX,,Brama spp,,Bramidae,,Brama,,,,F
BRC,32118010XX,,Brachioteuthis spp,,Brachioteuthidae,,Arm squids nei,,,,I
BRF,1780101703,,Helicolenus dactylopterus,,Scorpaenidae,,Blackbelly rosefish,Rascasse du nord,,Rascasio rubio,F
BRT,1250300801,,Borostomias antarcticus,,Astronesthidae,,Snaggletooth,,,,F
BRX,16102XXXXX,,Berycidae,,Berycidae,,"Alfonsinos, etc. nei","Béryx, etc. nca",,"Alfonsinos, etc. nep",F
BSZ,1700225901,,Acanthistius brasilianus,,Serranidae,,Grouper,Serran argentine,,Mero,F
BTH,1060600603,,Alopias superciliosus,,Alopiidae,,Bigeye thresher,Renard à gros yeux,,Zorro ojón,F
BTI,17093XXXXX,,Bathydraconidae,,Bathydraconidae,,Bathydraconidae,,,,F
BTY,12306014XX,,Bathylagus spp,,Bathylagidae,,Deep-sea Smelts,,,,F
BVH,643XXXXXXX,,Brachiopoda,,Brachiopoda,,"Brachiopods, lamp shells",,,,V
BVK,1709700104,,Pogonophryne barsukovi,,Harpagiferidae,,,,,,F
BWY,21304XXXXX,,Bathylasmatidae,,Bathylasmatidae,,Barnacle,,,,V
BYE,1100400216,,Bathyraja meridionalis,,Rajidae,,Skate,,????,,F
BYR,1100400212,,Bathyraja irrasa,,Rajidae,,Kerguelen sandpaper skate,,,,F
BZN,605XXXXXXX,,Bryozoa,,Bryozoa,,Bryozoans,,,,V
CAH,11203XXXXX,,Callorhinchidae,,Callorhinchidae,,"Elephantfishes, etc. nei","Mascas, etc. nca",,"Pejegallos, etc. nep",F
CAM,5630100102,,Catharacta maccormicki,,Laridae,,South polar skua,,,,B
CAQ,5630100103,42,Catharacta lonnbergi,,Laridae,,Antarctic skua,,,,B
CDI,5610200801,,Calonectris diomedea,,Procellariidae,,Cory's Shearwater,,,,B
CEH,1480600528,,Caelorinchus marinii,,Macrouridae,,Marini's grenadier,Grenadier de Marini,,Granadero de Marini,F
CEN,17608XXXXX,,Centrolophidae,,Centrolophidae,,"Ruffs, barrelfishes nei",,,,F
CEO,1760800101,,Centrolophus niger,,Centrolophidae,,Rudderfish,,,,F
CEP,319XXXXXXX,57,Cephalopoda,,Cephalopoda,,Cephalopods,,???????????,,I
CEQ,1951300602,,Ceratias tentaculatus,,Ceratiidae,,Sea Devil Anglerfish,,,,F
CES,1709441702,,Champsocephalus esox,,Channichthyidae,,Pike icefish,,,,F
CEX,15802001XX,,Genypterus spp,,Ophidiidae,,Cusk-eels nei,Abadèches nca,,Congribadejos nep,F
CHM,1120300103,,Callorhinchus capensis,,Callorhinchidae,,Cape elephantfish (St Joseph),,,,F
CHP,1210501303,35,Sardinops sagax,,Clupeidae,,South American pilchard,,,,F
CHW,1709400101,,Chionobathyscus dewitti,,Channichthyidae,,Icefish spp.,,,,F
CKH,1480600411,,Coryphaenoides armatus,,Macrouridae,,Abyssal grenadier,,,,F
CKY,1703707003,,Umbrina canosai,,Sciaenidae,,Antarctic croaker,,,,F
CLX,316XXXXXXX,56,Bivalvia,,Bivalvia,,Bivalves,,,,I
CMD,4220402701,,Cephalorhynchus commersonii,,Delphinidae,,Commerson's dolphin,Dauphin de Commerson,,Tonina overa,M
CNI,616XXXXXXX,,Cnidaria,,Cnidaria,,Cnidarians nei,Cnidaires nca,,Cnidarios nep,V
CNZ,22823003XX,,Crangon spp,,Crangonidae,,Crangon shrimps nei,Crevettes crangon nca,,Camarones crangón nep,I
COX,14313XXXXX,,Congridae,,Congridae,,Conger eels,,,,F
CRA,231XXXXXXX,42,Brachyura,,Brachyura,,Marine crabs nei,Crabes demer nca,,Cangerjos de mar nei,I
CSK,5630100101,,Catharacta skua,,Laridae,,Great/Brown Skua,,,,B
CSS,619XXXXXXX002,,Scleractinia,,Anthozoa,,"Hard corals, stony corals",Madrépores nca,,Madréporas nep,V
CTA,1707027002,,Cheilodactylus bergi,,Cheilodactylidae,,White sea bream,,,Besugo blanco,F
CUS,1580200101,,Genypterus blacodes,,Ophidiidae,,Pink cusk-eel,Lingue,,Maruca,F
CUX,694XXXXXXX,,Holothurioidea,,Holothurioidea,,Sea cucumbers nei,Bèches-de-mer nca,,Cohombros de mar nep,I
CVD,69312XXXXX,,Cidaroida,,Cidaroida,,Pencil urchins,,,,V
CVN,1720700102,,Chiasmodon niger,,Chiasmodontidae,,Black swallower,,,,F
CVY,14806004XX,,Coryphaenoides spp,,Macrouridae,,"Grenadiers, whiptails nei",,"???????????, ????????????",,F
CWD,695XXXXXXX,,Crinoidea,,Crinoidea,,Feather stars and sea lilies,,,,V
CWS,17820002XX,,Careproctus spp,,Cyclopteridae,,Snailfish,,,,F
CWX,14806005XX,,Caelorinchus spp,,Macrouridae,,,,,,F
CXV,1xxxxxxxxx,,Chemosynthetic,,Chemosynthetic,,Chemosynthetic communities,,,,V
CYC,32132XXXXX,,Cycloteuthidae,,Cycloteuthidae,,Disk-fin squid,,,,I
CZR,,,Chordata,,Chordata,,Chordata,,,,V
DAC,5610200901,,Daption capense,,Procellariidae,,Cape petrel,,,,B
DAH,1709400301,,Dacodraco hunteri,,Channichthyidae,,Icefish spp.,,,,F
DAM,5610100203,,Diomedea amsterdamensis,,Diomedeidae,,Amsterdam Albatross,,,,B
DCH,,,Diomedea chionoptera,,Diomedeidae,,Snowy Albatross,,,,B
DCP,228XXXXXXX,,Pandalidae,,Pandalidae,,Shrimps and prawns,,,,I
DCR,5610101510,,Thalassarche chlororhynchos,,Diomedeidae,,Yellow-nosed Albatross,Albatros à nez jaune,,Albatros pico amarillo y negro,B
DCU,5610101509,,Thalassarche cauta,,Diomedeidae,,Shy Albatross,Albatros timide,,Albatros frentiblanco,B
DDU,4220402802,,Lagenorhynchus obscurus,,Delphinidae,,Dusky dolphin,Dauphin sombre,,Delfín obscuro,M
DER,5610101512,,Thalassarche eremita,,Diomedeidae,,Chatham Island Albatross,Albatros des Chatham,,Albatros de Chatham,B
DIB,5610101508,,Thalassarche bulleri,,Diomedeidae,,Buller's Albatross,Albatros de Buller,,Albatros de Buller,B
DIC,5610101511,,Thalassarche chrysostoma,,Diomedeidae,,Grey headed albatross,Albatros à tête grise,,Albatros de cabeza gris,B
DIL,1400215701,,Diptychus maculatus,,Cyprinidae,,Scaly osman,,,,F
DIM,5610101507,,Thalassarche melanophris,,Diomedeidae,,Southern Black browed albatross,Albatros à sourcils noirs,,Albatros ceja negra,B
DIP,5610100206,,Diomedea epomophora,,Diomedeidae,,Southern Royal albatross,Albatros royal,,Albatros real,B
DIS,,,Diomedea sanfordi,,Diomedeidae,,Northern Royal Albatross,,,,B
DIX,5610100208,,Diomedea exulans,,Diomedeidae,,Wandering albatross,Albatros hurleur,,Albatros errante,B
DLG,1709700105,,Pogonophryne dolichobranchiata,,Harpagiferidae,,,,,,F
DLL,1709700301,,Dolloidraco longedorsalis,,Artedidraconidae,,Plunderfish spp,,,,F
DLP,42204XXXXX,,Delphinidae,,Delphinidae,,Dolphins,Dauphins,,Delfínidos,M
DMK,3160800201,,Adamussium colbecki,,Pectinidae,,Antarctic scalop,Pecten antactique,,Vieira antártica,V
DMO,615XXXXXXX,,Demospongiae,,Demospongiae,,Siliceous sponges,,,,V
DMP,,,Diomedea impavida,,Diomedeidae,,Northern Black-Browed Albatross,,,,B
DRR,4220401201,,Grampus griseus,,Delphinidae,,Risso's dolphin,Grampus,,Delfín de Risso,M
DSL,,,Diomedea salvini,,Diomedeidae,,Salvin's Albatross,,,,B
ECH,689XXXXXXX,,Echinodermata,,Echinodermata,,"Echinoderms (starfish,urchins etc.)","Oursins, bèches-de-mer",,"Erizos, cohombros de mar",V
ECI,1580500201,,Echiodon cryomargarites,,Carapidae,,Cusk eels,,,,F
ELC,1320803002,,Electrona carlsbergi,50,Myctophidae,50,Lanternfish,,,,F
ELN,1320803003,,Electrona antarctica,,Myctophidae,,,,,,F
ELT,13208030XX,,Electrona spp,,Myctophidae,,Lanternfishes,,,,F
ELZ,17115024XX,,Zoarcidae,,Zoarcidae,,eelpouts,,,,F
EMT,17030XXXXX,33,Emmelichthyidae,,Emmelichthyidae,,"Bonnetmouths,rubyfishes,etc.","AndorrSves,poissons rubis,nca",,"Andorreros,peces rub¡,nep",F
ERN,1709244802,,Trematomus bernacchii,,Nototheniidae,,,,,,F
ETF,1090101010,,Etmopterus lucifer,,Squalidae,,Blackbelly lanternshark,Sagre lucifer,,Tollo lucero diablo,F
ETM,1090101008,,Etmopterus granulosus,,Squalidae,,Lucifer Shark,,,,F
EUA,4230300102,,Eubalaena australis,,Balaenidae,,Southern right whale,Baleine austral,,Ballena franca austral,M
EUC,5650100201,,Eudyptes chrysolophus,,Spheniscidae,,Macaroni penguin,,,,B
EVQ,5650100202,,Eudyptes chrysocome,,Spheniscidae,,Rockhopper penguin,,,,B
FCX,299XXXXXXX013,,Crustacea,,Crustacea,,Crustaceans,,????????????,,I
FGQ,5610300201,,Fregetta tropica,,Hydrobatidae,,Black-bellied storm-petrel,,,,B
FGZ,56103002XX,,Fregetta spp,,Hydrobatidae,,B/W bellied storm petrels nei,,,,B
FIC,1709400201,,Cryodraco antarcticus,,Channichthyidae,,Long-fingered Icefish,,,,F
FIW,4230200106,,Balaenoptera physalus,,Balaenopteridae,,Fin whale,Rorqual commun,,Rorcual común,M
FLA,1720820201,,Percophis brasiliensis,,Percophidae,,Brazilian flathead,Platete bresilien,,Congrio real,F
FOR,,,Forminifera,,Forminifera,,Zooplankton,,,,
FRA,4220900201,,Pontoporia blainvillei,,Platanistidae,,La Plata dolphin,Dauphin de La Plata,,Franciscana,M
FUG,5610200701,,Fulmarus glacialoides,,Procellariidae,,Southern fulmar,,,,B
GAS,305XXXXXXX,52,Gastropoda,,Gastropoda,,Gastropods,,,,I
GDR,1709300501,34,Gymnodraco acuticeps,,Bathydraconidae,,Ploughfish,,,,F
GEA,1709300401,,Gerlachea australis,,Bathydraconidae,,Dragonfish spp.,,,,F
GEP,17505XXXXX,,Gempylidae,,Gempylidae,,"Snake mackerels, escolars nei","Escoliers, rouvets nca",,,F
GGW,61927XXXXX,,Gorgoniidae,,Gorgoniidae,,Gorgonians,,,,I
GHP,1709244004,,Patagonotothen guntheri,,Nototheniidae,,Yellowfin notothen,,,,F
GIS,3210502301,,Dosidicus gigas,,Ommastrephidae,,Jumbo flying squid,Jibia gigante,,Encornet géant,I
GLO,42204004XX,,Globicephala spp,,Globicephalidae,,Pilot whales nei,,,,M
GRA,1703619705,,Parapristipoma octolineatum,,Haemulidae,,African striped grunt,Grondeur rayé,,Burro listado,F
GRM,1480501701,,Macruronus magellanicus,,Merlucciidae,,Patagonian grenadier,Grenadier patagonien,,Merluza de cola,F
GRN,1480501702,,Macruronus novaezelandiae,,Merlucciidae,,Blue grenadier,Grenadier bleu,,Cola de rata azul,F
GRV,14806001XX,32,Macrourus spp,70,Macrouridae,60,"Rat tails, Grenadiers",Grenadiers,?????????,Granaderos,F
GRW,4230400101,,Eschrichtius robustus,,Eschrichtiidae,,Gray whale,Baleine grise,,Ballena gris,M
GSK,1090100201,,Somniosus microcephalus,,Squalidae,,Greenland Shark,Laimargue du Groenland,,Tollo de Groenlandia,F
GTO,1709252903,,Pagothenia borchgrevinki,,Nototheniidae,,Bald rockcod,Bocasson chauve,,Austrobacalao pelado,F
GYA,1400300801,,Gymnodraco acuticeps,,Bathydraconidae,,Antarctic dragonfish,,,,F
GYB,1320803202,,Gymnoscopelus bolini,,Myctophidae,,Lanternfish,,,,F
GYF,1320803204,,Gymnoscopelus fraseri,,Myctophidae,,Lanternfish,,,,F
GYJ,1320803206,,Gymnoscopelus hintonoides,,Myctophidae,,,,,,F
GYN,1320803201,,Gymnoscopelus nicholsi,,Myctophidae,,lanternfish,,??????????? ????????,,F
GYO,1320803205,,Gymnoscopelus opisthopterus,,Myctophidae,,Lanternfish,,,,F
GYR,1320803203,,Gymnoscopelus braueri,,Myctophidae,,Lanternfish,,,,F
GYY,13208032XX,,Gymnoscopelus spp,,Myctophidae,,Lanternfish,,,,F
HAN,1080103004,,Halaelurus canescens,,Scyliorhinidae,,Dusky catshark,Holbiche sombre,?????? ????????? ?????,,F
HBE,5610201201,,Halobaena caerulea,,Procellariidae,,Blue petrel,,,,B
HBG,1709700503,,Harpagifer georgianus,,Harpagiferidae,,S. Georgia spiny plunderfish,,,,F
HEP,1210500107,,Clupea pallasii,,Clupeidae,,Pacific herring,Hareng du Pacifique,,Arenque del Pacífico,F
HGW,1709700502,,Harpagifer antarcticus,,Harpagiferidae,,Antarctic spiny plunderfish,,,,F
HHJ,1831000102,,Achiropsetta tricholepis,,Achiropsettidae,,,,,,F
HIB,1431800201,,Histiobranchus bathybius,,Synaphobranchidae,,Deepwater arrowtooth eel,,,,F
HIV,1709700601,,Histiodraco velifer,,Harpagiferidae,,,,,,F
HKN,1480500403,,Merluccius australis,,Merlucciidae,,Southern hake,Merlu austral,,Merluza austral,F
HKP,1480500406,,Merluccius hubbsi,,Merlucciidae,,Argentine hake,Merlu d'Argentine,,Merluza Argentina,F
HOL,199XXXXXXX057,,Holocephali,,Holocephali,,"Chimaeras, etc. nei","Chimères, etc. nca",,"Quimeras, etc. nep",F
HQZ,617XXXXXXX,,Hydrozoa,,Hydroida,,Hydrozoans,Hydrozoaires,,Hidrozoos,V
HRD,4220402805,,Lagenorhynchus cruciger,,Delphinidae,,Hourglass dolphin,Dauphin crucigére,,Delfín cruzado,M
HUW,4230200301,,Megaptera novaeangliae,,Balaenopteridae,,Humpback whale,Baleine à bosse,,Rorcual jorobado,M
HXY,614XXXXXXX,,Hexactinellida,,Hexactinellida,,Glass sponge,,,,V
HYD,11201004XX,,Hydrolagus spp,,Chimaeridae,,Ratfishes nei,Chimères nca,,Quimeras nep,F
ICA,1760800201,,Icichthys australis,,Centrolophidae,,Southern driftfish,,,,F
ICX,17094XXXXX,33,Channichthyidae,140,Channichthyidae,70,Crocodile icefishes nei,Poissons des glaces non specifies,???????????,dracos no especificados,F
INV,697XXXXXXX,77,Invertebrata,,Invertebrata,,Invertebrates,,??????????????,,I
ISH,223XXXXXXX,,Isopoda,,Isopoda,,"Isopods, pillbugs",,,,I
ISQ,5670200101,,Phalacrocorax atriceps,,Phalacrocoracidae,,Imperial/blue-eye shag,,,,B
JAX,17023004XX,34,Trachurus spp,,Carangidae,,Horse mackerel,,,,F
JEL,61741007XX,77,Medusae,,Medusea,,Jellyfish,,??????,,F
JIC,1709400901,33,Neopagetopsis ionah,,Channichthyidae,,Crocodile icefishes,,,,F
KCF,2292012304,42,Paralomis formosa,,Lithodidae,20,Antarctic king crab,,?????????????? ????,,I
KCM,2292007002,42,Lithodes murrayi,25,Lithodidae,20,Stone crab,Crabe royal subantarctique,???? ???????,Centolla subantartica,I
KCS,22920018XX,42,Paralithodes spp,28,Lithodidae,20,King crabs,Crabe royales,?????????? ?????,Cangrejos rusos,I
KCU,2292012301,42,Paralomis aculeata,,Lithodidae,,Red stone crab,,?????????? ????,,I
KCV,2302012303,,Paralomis spinosissima,20,Lithodidae,20,Antarctic king crab,Crabe royal de l'Antarctique,?????????????? ????,,I
KCX,22920XXXXX,42,Lithodidae,,Lithodidae,,Crab spp.,,???????????,,I
KCZ,22920070XX,42,Lithodes spp,,Lithodidae,20,King crabs,Crabes royaux,??????????? ?????,Centollas,I
KDD,2302012305,,Paralomis anamerae,,Lithodidae,,,,,,I
KIF,1709446601,33,Chionodraco rastrospinosus,120,Channichthyidae,70,Ocellated icefish,Grande-gueule ocellee,????????? ??????????,Draco ocelado,F
KIW,4220402201,,Orcinus orca,,Delphinidae,,Killer whale,Orque,,Orca,M
KPY,5650100301,,Aptenodytes patagonicus,,Spheniscidae,,King penguin,Manchot royal,,Pingüino rey,B
KRA,1320801201,,Krefftichthys anderssoni,,Myctophidae,,Lanternfish spp.,,,,F
KRI,2260100501,46,Euphausia superba,10,Euphausiidae,10,Antarctic Krill,Krill antarctique,?????????????? ?????,Krill antartico,I
KRT,2260100504,46,Euphausia triacantha,,Euphausiidae,,Spiny krill,,,,I
KRV,2260100505,46,Euphausia vallentini,,Euphausiidae,,Northern krill,,,,I
KRX,22601005XX,46,Euphausia spp,,Euphausiidae,,Euphausids,,??????????,,I
LAC,1320801715,,Lampanyctus achirus,,Myctophidae,,Lanternfish,,???????? ?????????,,F
LAG,1520100102,,Lampris guttatus,,Lampridae,,Opah,,,,F
LAI,1520100103,,Lampris immaculatus,,Lampridae,,Moonfish,,?????????? ????,,F
LCN,1711504001,,Lycodichthys antarcticus,,Zoarcidae,,eelpout,,,,F
LDO,5630100301,,Larus dominicanus,,Laridae,,Southern Black-backed Gull,,,,B
LEF,18301XXXXX,,Bothidae,,Bothidae,,Lefteye flounders nei,"Arnoglosses, rombous nca",?????????????,"Rodaballos, rombos, etc. nep",F
LEV,14802020XX,,Lepidion spp,,Moridae,,Lepidion codlings nei,,,,F
LIC,1709447001,33,Channichthys rhinoceratus,110,Channichthyidae,70,Unicorn icefish,Grande-gueule,????????? ??????????,Draco rinoceronte,F
LIZ,17820XXXXX,,Liparididae,,Liparedidae,,Snailfish,,,,F
LPE,1480202004,,Lepidion ensiferus,,Moridae,,Patagonian codling,,,,F
LRD,56301XXXXX,,Larus spp,,Laridae,,Gulls,,,,B
LVP,1711503203,,Lycodapus pachysoma,,Zoarcidae,,Stout slipskin,,,,F
LWM,1709202001,,Lepidonotothen macrophthalma,,Nototheniidae,,,,,,F
LWY,1711502503,,Lycenchelys antarctica,,Zoarcidae,,,,,,F
LXX,13208XXXXX,34,Myctophidae,55,Myctophidae,50,Lanternfish,Poissons-lanternes,"??????????, ?????????? ???????",Linternillas,F
LXY,17115032XX,,Lycodapus spp,,Zoarcidae,,,,,,F
LYA,1711506601,,Ophthalmolycus amberensis,,Zoarcidae,,Eelpout,,,,F
MAH,5610200602,,Macronectes halli,,Procellariidae,,Northern giant petrel,,,,B
MAI,5610200601,,Macronectes giganteus,,Procellariidae,,Antarctic/Southern giant petrel,,,,B
MAM,499XXXXXXX037,,Mammalia,,Mammalia,,Aquatic mammals nei,Mammifères aquatiques nca,,Mamíferos acuáticos nep,M
MAP,1311100702,,Magnisudis prionosa,,Paralepipidae,,Southern barracudina,,,,F
MAS,1750100201,,Scomber japonicus,,Scombridae,,Chub mackeral,Maquereau espagnol,,Estornino,F
MAX,17501XXXXX058,37,Scombridae,,Scombridae,,"Mackerels, nei","Maquereaux, nca",,"Caballas, ne",F
MBX,56102006XX,,Macronectes spp,,Procellariidae,,Giant-petrels nei,,,,B
MCC,1480600105,32,Macrourus carinatus,70,Macrouridae,,Ridge-scaled rattail,,?????????????????? ????????,,F
MCH,1480600106,32,Macrourus holotrachys,70,Macrouridae,,Bigeye grenadier,,????????????????? ????????,,F
MCK,1480600520,,Caelorinchus kaiyomaru,,Macrouridae,,Campbell whiptail,,,,F
MCM,1480600418,,Coryphaenoides murrayi,,Macrouridae,,Abyssal rattail,,,,F
MDR,1709300301,,Cygnodraco mawsoni,,Bathydraconidae,,Mawson's dragonfish,,,,F
MEL,17115061XX,,Melanostigma spp,,Zoaridae,,Eelpout spp.,,,,F
MHJ,1480200501,,Halargyreus johnsonii,,Moridae,,Slender codling,,,,F
MIC,1709446603,,Chionodraco myersi,,Channichthyidae,,Myers' icefish,,,,F
MIW,4230200101,61,Balaenoptera acutorostrata,,Balaenopteridae,,Minke whale,,,,M
MMM,1831000201,,Mancopsetta maculata,300,Achiropsettidae,100,Antarctic armless flounder,Mancoglosse antarctique,?????????????? ????????? ???????,Mancolenguado antßrtico,F
MNI,1480601401,,Cynomacrurus piriei,,Macrouridae,,Dogtooth grenadier,,,,F
MOL,399XXXXXXX016,58,Mollusca,,Mollusca,,Marine Molluscs,,,,V
MOR,14802XXXXX,,Moridae,,Moridae,,Moras cods nei,Mores nca,,Mores nep,F
MOY,1480100101,32,Muraenolepis microps,77,Muraenolepididae,77,Smalleye moray cod,GadomurÞne petit £il,?????????? ?????????,Gadimorena ojichica,F
MRL,14801001XX,,Muraenolepis spp,,Muraenolepididae,,Moray cods,,??????????,,F
MUL,16501XXXXX,,Mugilidae,,Mugilidae,,Mullets,,,,F
MVC,1480100102,,Muraenolepis marmoratus,,Muraenolepididae,,Marbled moray cod,Gadomurène marbrée,,Gadimorena jaspeada,F
MWG,1711506102,,Melanostigma gelatinosum,,Zoarcidae,,Limp eelpout,,,,F
MWO,1480100104,,Muraenolepis orangiensis,,Muraenolepididae,,Patagonian moray cod,Gadomurène de Patagonie,,Gadimorena patagonica,F
MWS,1480100103,,Muraenolepis microcephalus,,Muraenolepididae,,Smallhead moray cod,Gadomurène microcéphale,,Gadimorena microcéfala,F
MYC,3161000103,,Mytilus chilensis,,Mytilidae,,Chilean mussel,Moule chilienne,,Chorito,F
MYS,423XXXXXXX61,,Mysticeti,,Mysticeti,,Baleen whales nei,Baleines mysticètes nca,,Ballenas mysticetas nep,M
MZZ,199XXXXXXX010,39,Osteichthyes,990,Osteichthyes nei,90,Unidentified saltwater bony fish,Poissons osseux non specifies,??????? ????,Peces oseos no especificados,F
NAN,12307026XX,,Nansenia spp,,Microstomatidae,,Smelts,,,,F
NDW,2302000102,,Neolithodes diomedeae,,Lithodidae,,Antarctic king crab,,,,I
NER,6490800202,,Nereis diversicolor,,Nereididae,,Ragworm,,,Titxare,I
NEX,22942XXXXX,,Nephropidae,,Nephropidae,,"True lobsters,lobsterettes nei","Homards, langoustines nca",,"Bogavantes, cigalas nep",I
NHE,646XXXXXXX,,Annelida,,Annelida,,Annelid worms,,,,V
NNN,145020020,,Notacanthus chemnitzii,,Notacanthidae,,Spiny eel,,,,F
NNV,1311100803,,Notolepis annulata,,Paralepididae,,Ringed barracudina,Barracudine annelée,,Barracudina anillada,F
NNY,1709243004,,Nototheniops nybelini,,Nototheniidae,,Rockcod,,,,F
NOA,1709201911,33,Gobionotothen acuta,170,Nototheniidae,80,Trangular rockcod,Bocasse triangulaire,?????????-??????????,Trama triangular,F
NOC,1709201909,33,Notothenia coriiceps,,Nototheniidae,,Black rockcod,,,,F
NOD,1709243002,33,Lepidonotothen nudifrons,234,Nototheniidae,80,Yellowfin rockcod,Bocassette degarnie,????????????? ?????????-?????????,Doradillo pobre,F
NOE,13111008XX,,Notolepis spp,,Paralepididae,,Grinners,,,,F
NOF,1709201912,33,Notothenia angustifrons,,Nototheniidae,,Narrowheaded rockcod,,,,F
NOG,1709201903,33,Gobionotothen gibberifrons,180,Nototheniidae,80,Humped rockcod,Bocasse bossue,??????? ?????????,Trama jorobada,F
NOK,1709201910,33,Lepidonotothen kempi (squamifrons),190,Nototheniidae,80,Striped-eyed rockcod,Bocasse aux yeux rayes,"??????????? ?????????, ?????",Trama ojirayada,F
NOL,1709243001,33,Lepidonotothen larseni,230,Nototheniidae,80,Painted rockcod,Bocassette Úcrivain,????????? ???????,Doradillo escribano,F
NOM,1709240001,33,Paranotothenia magellanica,,Nototheniidae,,Magellanic rockcod,,,,F
NON,1709201904,33,Notothenia neglecta,200,Nototheniidae,80,Yellowbelly rockcod,Bocasse jaune,????????????? ?????????,Trama amarilla,F
NOR,1709201902,33,Notothenia rossii,210,Nototheniidae,80,Marbled rockcod,Bocasse marbree,????????? ?????????,Trama jaspeada,F
