SpeciesCode,ScientificName,ScientificFamilyName,EnglishName,Class,FIS target,Tax_Lev
BAT,Platax spp,Ephippidae,Batfishes,F,y,5
BBB,Barbus bynni,Cyprinidae,,F,y,6
BDH,Bathydraco macrolepis,Bathydraconidae,,F,y,6
BDJ,Bathydraco marri,Bathydraconidae,Dragonfish deepwater,F,y,6
BDN,Bathydraco antarcticus,Bathydraconidae,,F,y,6
BEA,Bathyraja eatonii,Rajidae,Eaton's Skate,F,y,6
BEE,Benthalbella elongata,Scopelarchidae,pearleyes,F,y,6
BHY,Bathyraja spp,Rajidae,Bathyraja rays nei,F,y,5
BLP,Eleginops maclovinus,Nototheniidae,Patagonian blennie,F,y,6
BLU,Pomatomus saltatrix,Pomatomidae,Bluefish,F,y,6
BMU,Bathyraja murrayi,Rajidae,Murray's skate,F,y,6
BNZ,Benthalbella macropinna,Scopelarchidae,,F,y,6
BRA,Brama spp,Bramidae,Brama,F,y,5
BRF,Helicolenus dactylopterus,Scorpaenidae,Blackbelly rosefish,F,y,6
BRT,Borostomias antarcticus,Astronesthidae,Snaggletooth,F,y,6
BRX,Berycidae,Berycidae,"Alfonsinos, etc. nei",F,y,4
BSZ,Acanthistius brasilianus,Serranidae,Grouper,F,y,6
BTH,Alopias superciliosus,Alopiidae,Bigeye thresher,F,y,6
BTI,Bathydraconidae,Bathydraconidae,Bathydraconidae,F,y,4
BTY,Bathylagus spp,Bathylagidae,Deep-sea Smelts,F,y,5
BVK,Pogonophryne barsukovi,Harpagiferidae,,F,y,6
BYE,Bathyraja meridionalis,Rajidae,Skate,F,y,6
BYR,Bathyraja irrasa,Rajidae,Kerguelen sandpaper skate,F,y,6
CAH,Callorhinchidae,Callorhinchidae,"Elephantfishes, etc. nei",F,y,4
CEH,Caelorinchus marinii,Macrouridae,Marini's grenadier,F,y,6
CEN,Centrolophidae,Centrolophidae,"Ruffs, barrelfishes nei",F,y,4
CEO,Centrolophus niger,Centrolophidae,Rudderfish,F,y,6
CEQ,Ceratias tentaculatus,Ceratiidae,Sea Devil Anglerfish,F,y,6
CES,Champsocephalus esox,Channichthyidae,Pike icefish,F,y,6
CEX,Genypterus spp,Ophidiidae,Cusk-eels nei,F,y,5
CHM,Callorhinchus capensis,Callorhinchidae,Cape elephantfish (St Joseph),F,y,6
CHP,Sardinops sagax,Clupeidae,South American pilchard,F,y,6
CHW,Chionobathyscus dewitti,Channichthyidae,Icefish spp.,F,y,6
CKH,Coryphaenoides armatus,Macrouridae,Abyssal grenadier,F,y,6
CKY,Umbrina canosai,Sciaenidae,Antarctic croaker,F,y,6
COX,Congridae,Congridae,Conger eels,F,y,4
CTA,Cheilodactylus bergi,Cheilodactylidae,White sea bream,F,y,6
CUS,Genypterus blacodes,Ophidiidae,Pink cusk-eel,F,y,6
CVN,Chiasmodon niger,Chiasmodontidae,Black swallower,F,y,6
CVY,Coryphaenoides spp,Macrouridae,"Grenadiers, whiptails nei",F,y,5
CWS,Careproctus spp,Cyclopteridae,Snailfish,F,y,5
CWX,Caelorinchus spp,Macrouridae,,F,y,5
DAH,Dacodraco hunteri,Channichthyidae,Icefish spp.,F,y,6
DIL,Diptychus maculatus,Cyprinidae,Scaly osman,F,y,6
DLG,Pogonophryne dolichobranchiata,Harpagiferidae,,F,y,6
DLL,Dolloidraco longedorsalis,Artedidraconidae,Plunderfish spp,F,y,6
ECI,Echiodon cryomargarites,Carapidae,Cusk eels,F,y,6
ELC,Electrona carlsbergi,Myctophidae,Lanternfish,F,y,6
ELN,Electrona antarctica,Myctophidae,,F,y,6
ELT,Electrona spp,Myctophidae,Lanternfishes,F,y,5
ELZ,Zoarcidae,Zoarcidae,eelpouts,F,y,4
EMT,Emmelichthyidae,Emmelichthyidae,"Bonnetmouths,rubyfishes,etc.",F,y,4
ERN,Trematomus bernacchii,Nototheniidae,,F,y,6
ETF,Etmopterus lucifer,Squalidae,Blackbelly lanternshark,F,y,6
ETM,Etmopterus granulosus,Squalidae,Lucifer Shark,F,y,6
FIC,Cryodraco antarcticus,Channichthyidae,Long-fingered Icefish,F,y,6
FLA,Percophis brasiliensis,Percophidae,Brazilian flathead,F,y,6
GDR,Gymnodraco acuticeps,Bathydraconidae,Ploughfish,F,y,6
GEA,Gerlachea australis,Bathydraconidae,Dragonfish spp.,F,y,6
GEP,Gempylidae,Gempylidae,"Snake mackerels, escolars nei",F,y,4
GHP,Patagonotothen guntheri,Nototheniidae,Yellowfin notothen,F,y,6
GRA,Parapristipoma octolineatum,Haemulidae,African striped grunt,F,y,6
GRM,Macruronus magellanicus,Merlucciidae,Patagonian grenadier,F,y,6
GRN,Macruronus novaezelandiae,Merlucciidae,Blue grenadier,F,y,6
GRV,Macrourus spp,Macrouridae,"Rat tails, Grenadiers",F,y,5
GSK,Somniosus microcephalus,Squalidae,Greenland Shark,F,y,6
GTO,Pagothenia borchgrevinki,Nototheniidae,Bald rockcod,F,y,6
GYA,Gymnodraco acuticeps,Bathydraconidae,Antarctic dragonfish,F,y,6
GYB,Gymnoscopelus bolini,Myctophidae,Lanternfish,F,y,6
GYF,Gymnoscopelus fraseri,Myctophidae,Lanternfish,F,y,6
GYJ,Gymnoscopelus hintonoides,Myctophidae,,F,y,6
GYN,Gymnoscopelus nicholsi,Myctophidae,lanternfish,F,y,6
GYO,Gymnoscopelus opisthopterus,Myctophidae,Lanternfish,F,y,6
GYR,Gymnoscopelus braueri,Myctophidae,Lanternfish,F,y,6
GYY,Gymnoscopelus spp,Myctophidae,Lanternfish,F,y,5
HAN,Halaelurus canescens,Scyliorhinidae,Dusky catshark,F,y,6
HBG,Harpagifer georgianus,Harpagiferidae,S. Georgia spiny plunderfish,F,y,6
HEP,Clupea pallasii,Clupeidae,Pacific herring,F,y,6
HGW,Harpagifer antarcticus,Harpagiferidae,Antarctic spiny plunderfish,F,y,6
HHJ,Achiropsetta tricholepis,Achiropsettidae,,F,y,6
HIB,Histiobranchus bathybius,Synaphobranchidae,Deepwater arrowtooth eel,F,y,6
HIV,Histiodraco velifer,Harpagiferidae,,F,y,6
HKN,Merluccius australis,Merlucciidae,Southern hake,F,y,6
HKP,Merluccius hubbsi,Merlucciidae,Argentine hake,F,y,6
HOL,Holocephali,Holocephali,"Chimaeras, etc. nei",F,y,3
HYD,Hydrolagus spp,Chimaeridae,Ratfishes nei,F,y,5
ICA,Icichthys australis,Centrolophidae,Southern driftfish,F,y,6
ICX,Channichthyidae,Channichthyidae,Crocodile icefishes nei,F,y,4
JAX,Trachurus spp,Carangidae,Horse mackerel,F,y,5
JEL,Medusae,Medusozoa nei,Jellyfish,F,n,2
JIC,Neopagetopsis ionah,Channichthyidae,Crocodile icefishes,F,y,6
KIF,Chionodraco rastrospinosus,Channichthyidae,Ocellated icefish,F,y,6
KRA,Krefftichthys anderssoni,Myctophidae,Lanternfish spp.,F,y,6
LAC,Lampanyctus achirus,Myctophidae,Lanternfish,F,y,6
LAG,Lampris guttatus,Lampridae,Opah,F,y,6
LAI,Lampris immaculatus,Lampridae,Moonfish,F,y,6
LCN,Lycodichthys antarcticus,Zoarcidae,eelpout,F,y,6
LEF,Bothidae,Bothidae,Lefteye flounders nei,F,y,4
LEV,Lepidion spp,Moridae,Lepidion codlings nei,F,y,5
LIC,Channichthys rhinoceratus,Channichthyidae,Unicorn icefish,F,y,6
LIZ,Liparididae,Liparedidae,Snailfish,F,y,4
LPE,Lepidion ensiferus,Moridae,Patagonian codling,F,y,6
LVP,Lycodapus pachysoma,Zoarcidae,Stout slipskin,F,y,6
LWM,Lepidonotothen macrophthalma,Nototheniidae,,F,y,6
LWY,Lycenchelys antarctica,Zoarcidae,,F,y,6
LXX,Myctophidae,Myctophidae,Lanternfish,F,y,4
LXY,Lycodapus spp,Zoarcidae,,F,y,5
LYA,Ophthalmolycus amberensis,Zoarcidae,Eelpout,F,y,6
MAP,Magnisudis prionosa,Paralepipidae,Southern barracudina,F,y,6
MAS,Scomber japonicus,Scombridae,Chub mackeral,F,y,6
MAX,Scombridae,Scombridae,"Mackerels, nei",F,y,4
MCC,Macrourus carinatus,Macrouridae,Ridge-scaled rattail,F,y,6
MCH,Macrourus holotrachys,Macrouridae,Bigeye grenadier,F,y,6
MCK,Caelorinchus kaiyomaru,Macrouridae,Campbell whiptail,F,y,6
MCM,Coryphaenoides murrayi,Macrouridae,Abyssal rattail,F,y,6
MDR,Cygnodraco mawsoni,Bathydraconidae,Mawson's dragonfish,F,y,6
MEL,Melanostigma spp,Zoaridae,Eelpout spp.,F,y,5
MHJ,Halargyreus johnsonii,Moridae,Slender codling,F,y,6
MIC,Chionodraco myersi,Channichthyidae,Myers' icefish,F,y,6
MMM,Mancopsetta maculata,Achiropsettidae,Antarctic armless flounder,F,y,6
MNI,Cynomacrurus piriei,Macrouridae,Dogtooth grenadier,F,y,6
MOR,Moridae,Moridae,Moras cods nei,F,y,4
MOY,Muraenolepis microps,Muraenolepididae,Smalleye moray cod,F,y,6
MRL,Muraenolepis spp,Muraenolepididae,Moray cods,F,y,5
MUL,Mugilidae,Mugilidae,Mullets,F,y,4
MVC,Muraenolepis marmoratus,Muraenolepididae,Marbled moray cod,F,y,6
MWG,Melanostigma gelatinosum,Zoarcidae,Limp eelpout,F,y,6
MWO,Muraenolepis orangiensis,Muraenolepididae,Patagonian moray cod,F,y,6
MWS,Muraenolepis microcephalus,Muraenolepididae,Smallhead moray cod,F,y,6
MYC,Mytilus chilensis,Mytilidae,Chilean mussel,F,y,6
MZZ,Osteichthyes,Osteichthyes nei,Unidentified saltwater bony fish,F,y,2
NAN,Nansenia spp,Microstomatidae,Smelts,F,y,5
NNN,Notacanthus chemnitzii,Notacanthidae,Spiny eel,F,y,6
NNV,Notolepis annulata,Paralepididae,Ringed barracudina,F,y,6
NNY,Nototheniops nybelini,Nototheniidae,Rockcod,F,y,6
NOA,Notothenia acuta,Nototheniidae,Trangular rockcod,F,y,6
NOC,Notothenia coriiceps,Nototheniidae,Black rockcod,F,y,6
NOD,Nototheniops nudifrons,Nototheniidae,Yellowfin rockcod,F,y,6
NOE,Notolepis spp,Paralepididae,Grinners,F,y,5
NOF,Notothenia angustifrons,Nototheniidae,Narrowheaded rockcod,F,y,6
NOG,Notothenia gibberifrons,Nototheniidae,Humped rockcod,F,y,6
NOK,Notothenia kempi,Nototheniidae,Striped-eyed rockcod,F,y,6
NOL,Nototheniops larseni,Nototheniidae,Painted rockcod,F,y,6
NOM,Paranotothenia magellanica,Nototheniidae,Magellanic rockcod,F,y,6
NON,Notothenia neglecta,Nototheniidae,Yellowbelly rockcod,F,y,6
NOR,Notothenia rossii,Nototheniidae,Marbled rockcod,F,y,6
NOS,Notothenia squamifrons,Nototheniidae,Grey rockcod,F,y,6
NOT,Patagonotothen brevicauda,Nototheniidae,Patagonian rockcod,F,y,6
NOX,Nototheniidae,Nototheniidae,Antarctic Rockcods,F,y,4
NOZ,Nototheniops mizops,Nototheniidae,Toad rockcod,F,y,6
NSZ,Nansenia antarctica,Microstomatidae,,F,y,6
NTO,Notolepis coatsi,Paralepididae,Antarctic jonasfish,F,y,6
NTR,Notropis heterolepis,Cyprinidae,Blacknose shiner,F,y,6
NYM,Notothenia marionensis,Nototheniidae,Lobe-lip notothen,F,y,6
OCP,Ocosia apia,Tetrarogidae,,F,y,6
OHZ,Ophthalmolycus spp,Zoarcidae,,F,y,5
PAZ,Mancopsetta milfordi,Achiropsettidae,Finless flounder,F,y,6
PCH,Parachaenichthys charcoti,Bathydraconidae,Antarctic dragonfishes,F,y,6
PDG,Paradiplospinus gracilis,Gempylidae,Splendor escolor,F,y,6
PEV,Prionodraco evansii,Bathydraconidae,Dragonfish spp.,F,y,6
PEY,Scopelarchidae,Scopelarchidae,"Pearleyes, etc.",F,y,4
PGE,Parachaenichthys georgianus,Bathydraconidae,Bathydraconidae,F,y,6
PGM,Pogonophryne marmorata,Artedidraconidae,Marbled plunderfish,F,y,6
PGR,Pogonophryne permitini,Harpagiferidae,Plunderfish,F,y,6
PHB,Pachycara brachycephalum,Zoracidae,Eelpout,F,y,6
PIA,Sardinops ocellatus,Clupeidae,Southern African pilchard,F,y,6
PIV,Paraliparis terraenovae,Cyclopteridae,,F,y,6
PLF,Artedidraconidae,Artedidraconidae,Barbeled plunderfishes nei,F,y,4
PLG,Paraliparis gracilis,Cyclopteridae,Flatfish,F,y,6
PMA,Pagetopsis macropterus,Channichthyidae,Icefish spp.,F,y,6
PMC,Poromitra crassiceps,Melamphaidae,Crested bigscale,F,y,6
POA,Brama brama,Bramidae,Atlantic pomfret,F,y,6
POC,Boreogadus saida,Gadidae,Polar cod,F,y,6
POG,Pogonophryne spp,Artedidraconidae,plunderfish,F,y,5
POR,Lamna nasus,Lamnidae,Porbeagle Shark,F,y,6
POS,Micromesistius australis,Gadidae,Southern blue whiting,F,y,6
PRD,Pareledone spp,Octopodidae,Antarctic octopus,C,octopus,5
PRE,Protomyctophum tenisoni,Myctophidae,,F,y,6
PRG,Calamus spp,Sparidae,Porgies,F,y,5
PRM,Protomyctophum bolini,Myctophidae,lanternfish,F,y,6
PRT,Porphyra tenera,Bangiaceae,Laver (Nori),P,n,6
PRY,Protomyctophum choriodon,Myctophidae,Lanternfish,F,y,6
PSR,Psilodraco breviceps,Bathydraconidae,Dragonfish spp.,F,y,6
PTC,Trematomus pennellii,Nototheniidae,Sharp-spined rockcod,F,y,6
PVM,Paraliparis meganchus,Cyclopteridae,,F,y,6
PVP,Protomyctophum spp,Myctophidae,,F,y,5
PVZ,Paraliparis spp,Cyclopteridae,,F,y,5
PWH,Parachaenichthys spp,Bathydraconidae,,F,y,5
PWR,Pachycara spp,Zoarcidae,,F,y,5
PXD,Paraliparis tetrapteryx,Cyclopteridae,,F,y,6
PZJ,Pogonophryne phyllopogon,Harpagiferidae,,F,y,6
QMC,Macrourus caml,Macrouridae,Macrourus caml,F,y,6
RAJ,Raja spp,Rajidae,Rays and skates nei,F,y,5
RFA,Raja taaf,Rajidae,,F,y,6
RGG,Racovitzia glacialis,Bathydraconidae,Dragonfish spp.,F,y,6
RHG,Macrourus berglax,Macrouridae,Roughhead grenadier,F,y,6
RNG,Coryphaenoides rupestris,Macrouridae,Roundnose grenadier,F,y,6
RPG,Sparus pagrus,Sparidae,Common seabream,F,y,6
RTX,Macrouridae,Macrouridae,"Grenadiers, rattails nei",F,y,4
SAO,Salilota australis,Moridae,,F,y,6
SBB,Stomias boa boa,Stomiidae,dragonfish,F,y,6
SCO,Scorpaenidae,Scorpaenidae,Scorpionfishes,F,y,4
SDP,Mustelus schmitti,Triakidae,Narrownose smooth-hound,F,y,6
SGI,Pseudochaenichthys georgianus,Channichthyidae,South Georgia icefish,F,y,6
SHL,Etmopterus spp,Squalidae,Lantern Shark spp,F,y,5
SIX,Sardinella spp,Clupeidae,Herrings,F,y,5
SKX,Elasmobranchii,Elasmobranchii,"Sharks, skates and rays",F,y,3
SLH,Scopelosaurus hamiltoni,Notosudidae,Grinner,F,y,6
SNK,Thyrsites atun,Gempylidae,Snoek (snake mackerel),F,y,6
SON,Somniosus pacificus,Squalidae,Pacific Sleeper Shark,F,y,6
SR2,Raja georgiana var.,Rajidae,Raja georgiana variant,F,y,6
SRR,Raja georgiana,Rajidae,,F,y,6
SRX,Rajiformes,Rajidae,Skates and rays,F,y,3
SSI,Chaenocephalus aceratus,Channichthyidae,Blackfin icefish,F,y,6
SZT,Pogonophryne scotti,Harpagiferidae,,F,y,6
TEZ,Paradiplospinus antarcticus,Gempylidae,Antarctic escolar,F,y,6
TIC,Chionodraco hamatus,Channichthyidae,,F,y,6
TLO,Trematomus loennbergii,Nototheniidae,Scaly rockcod,F,y,6
TMH,Trematomus bernacchii,Nototheniidae,Emerald rockcod,F,y,6
TMW,Trematomus vicarius,Nototheniidae,Orange notothen,F,y,6
TOA,Dissostichus mawsoni,Nototheniidae,Antarctic toothfish,F,y,6
TOP,Dissostichus eleginoides,Nototheniidae,Patagonian toothfish,F,y,6
TOT,Dissostichus spp,Nototheniidae,Toothfish spp,F,y,5
TRD,Trematomus lepidorhinus,Nototheniidae,Slender scalyhead,F,y,6
TRH,Pagothenia hansoni,Nototheniidae,Striped rockcod,F,y,6
TRL,Trematomus eulepidotus,Nototheniidae,Antarctic rockcod,F,y,6
TRM,Trematomus scotti,Nototheniidae,Rockcod,F,y,6
TRN,Trematomus nicolai,Nototheniidae,rockcod,F,y,6
TRT,Trematomus spp,Nototheniidae,Trematomus spp,F,y,5
TRW,Trematomus newnesi,Nototheniidae,Dusky rockcod,F,y,6
TTK,Trematomus tokarevi,Nototheniidae,rockcod,F,y,6
UMA,Pseudomancopsetta andriashevi,Achiropsettidae,,F,y,6
UNK,Unknown,Unknown,Unknown species,U,n,1
VOI,Vomeridens infuscipinnis,Bathydraconidae,,F,y,6
VSH,Scopelosaurus spp,Notosudidae,,F,y,5
WG2,Macrourus sp. A,Macrouridae,,F,y,5
WGR,Macrourus whitsoni,Macrouridae,,F,y,6
WHB,Micromesistius poutassou,Gadidae,Blue whiting,F,y,6
WIC,Chaenodraco wilsoni,Channichthyidae,Spiny icefish,F,y,6
WKS,Cynoscion striatus,Sciaenidae,Striped weakfish,F,y,6
WKX,Cynoscion spp,Sciaenidae,Weakfish,F,y,5
YDB,Cryodraco spp,Channichthyidae,,F,y,5
YOQ,Cryothenia peninsulae,Nototheniidae,Pithead,F,y,6
ZGL,Genioliparis lindbergi,Cyclopteridae,Cyclopteridae,F,y,6
ZLS,Cyclopteridae,Cyclopteridae,Lumpfishes and snailfishes,F,y,4
ZSP,Zanclorhynchus spinifer,Congiopodidae,Spiny horsefish,F,y,6
BEN,Benthos,Benthos,Bottom sludge,U,n,1
FOR,Forminifera,Forminifera,Zooplankton,O,n,1
AQM,Amphipoda,Amphipoda,Amphipods,C,n,3
BRC,Brachioteuthis spp,Brachioteuthidae,Arm squids nei,C,squid,5
CEP,Cephalopoda,Cephalopoda,Cephalopods,C,squid,2
CLX,Bivalvia,Bivalvia,Bivalves,C,n,2
CNZ,Crangon spp,Crangonidae,Crangon shrimps nei,C,n,5
CRA,Brachyura,Brachyura,Marine crabs nei,C,crab,4
CUX,Holothuroidea,Holothurioidea,Sea cucumbers nei,O,n,2
CYC,Cycloteuthidae,Cycloteuthidae,Disk-fin squid,C,squid,4
DCP,Pandalidae,Pandalidae,Shrimps and prawns,C,prawns lobsters,4
FCX,Crustacea,Crustacea,Crustaceans,C,n,2
GAS,Gastropoda,Gastropoda,Gastropods,C,n,2
GGW,Gorgoniidae,Gorgoniidae,Gorgonians,O,n,4
GIS,Dosidicus gigas,Ommastrephidae,Jumbo flying squid,C,squid,6
INV,Invertebrata,Invertebrata,Invertebrates,O,n,2
ISH,Isopoda,Isopoda,"Isopods, pillbugs",C,n,3
KCF,Paralomis formosa,Lithodidae,Antarctic king crab,C,y,6
KCM,Lithodes murrayi,Lithodidae,Stone crab,C,crab,6
KCS,Paralithodes spp,Lithodidae,King crabs,C,y,5
KCU,Paralomis aculeata,Lithodidae,Red stone crab,C,crab,6
KCV,Paralomis spinosissima,Lithodidae,Antarctic king crab,C,y,6
KCX,Lithodidae,Lithodidae,Crab spp.,C,crab,4
KCZ,Lithodes spp,Lithodidae,King crabs,C,y,5
KDD,Paralomis anamerae,Lithodidae,,C,crab,6
KRI,Euphausia superba,Euphausiidae,Antarctic Krill,C,krill,6
KRT,Euphausia triacantha,Euphausiidae,Spiny krill,C,krill,6
KRV,Euphausia vallentini,Euphausiidae,Northern krill,C,krill,6
KRX,Euphausia spp,Euphausiidae,Euphausids,C,krill,5
NDW,Neolithodes diomedeae,Lithodidae,Antarctic king crab,C,y,6
NER,Nereis diversicolor,Nereididae,Ragworm,O,n,6
NEX,Nephropidae,Nephropidae,"True lobsters,lobsterettes nei",C,prawns lobsters,4
OCT,Octopodidae,Octopodidae,Octopus spp.,C,octopus,4
OIJ,Moroteuthis ingens,Onychoteuthidae,Greater Hooked Squid,C,squid,6
OWP,Ophiuroidea,Ophiuroidea,Basket and brittle stars,O,n,2
PAG,Paralomis granulosa,Lithodidae,,C,y,6
PAI,Paralomis spp,Lithodidae,Crabs,C,y,5
PEN,Penaeus spp,Penaeidae,Penaeus shrimps nei,C,prawns lobsters,5
PFR,Porifera,Porifera,Sponges,O,n,1
PPN,Paraliparis antarcticus,Cyclopteridae,Baltic Prawn,C,prawns lobsters,6
PSG,Psychroteuthis glacialis,Psychroteuthidae,Glacial squid,C,squid,6
PWJ,Pycnogonida,Pycnogonida,Sea spiders,O,n,2
SPX,Salpidae,Salpidae,Salps,O,n,4
SQA,Illex argentinus,Ommastrephidae,Argentine shortfin squid,C,squid,6
SQC,Loligo spp,Loliginidae,Common squids,C,squid,5
SQQ,Teuthoidea,Teuthoidea,Squids,C,squid,4
SQS,Martialia hyadesi,Ommastrephidae,Sevenstar flying squid,C,y,6
SQU,"Loliginidae, Ommastrephidae",Ommastrephidae,Flying squids,C,squid,3
SQX,"Ommastrephes, Illex",Ommastrephidae,"Shortfin, flying squids nei",C,squid,5
SSX,Ascidiacea,Ascidiacea,Sea squirts nei,O,n,2
STF,Asteroidea,Asteroidea,Starfishes nei,O,n,2
SUY,Stauroteuthis syrtensis,Teuthoidea,Squid,C,squid,6
TQB,Thymops birsteini,Nephropidae,Southern lobsterette,C,prawns lobsters,6
TSQ,Nototodarus sloani,Ommastrephidae,Wellington flying squid,C,squid,6
TWP,Adelieledone polymorpha,Octopodidae,Antarctic knobbed octopus,C,octopus,6
TWT,Pareledone turqueti,Octopodidae,Turquet's octopus,C,octopus,6
UHK,Moroteuthis knipovitchi,Onychoteuthidae,Smooth hooked squid,C,squid,6
UHX,Moroteuthis spp,Onychoteuthidae,Hooked Squid,C,squid,6
WOR,Polychaeta,Polychaeta,Sea worms,O,n,2
