sp_name_2014,rename,new.name,exclude
Striped venus,0,Striped venus,0
"Striped bass, hybrid",0,"Striped bass, hybrid",0
Streaked spinefoot,0,Streaked spinefoot,0
Stony sea urchin,0,Stony sea urchin,0
Squaretail mullet,0,Squaretail mullet,0
Spotted wolffish,0,Spotted wolffish,0
Spotted rose snapper,0,Spotted rose snapper,0
Spotted coralgrouper,0,Spotted coralgrouper,0
Spiny lobsters nei,0,Spiny lobsters nei,0
Spinous spider crab,0,Spinous spider crab,0
Spinefeet(=Rabbitfishes) nei,0,Spinefeet(=Rabbitfishes) nei,0
Southern white shrimp,0,Southern white shrimp,0
Southern bluefin tuna,0,Southern bluefin tuna,0
Southern Australia scallop,0,Southern Australia scallop,0
South American rock mussel,0,South American rock mussel,0
Soles nei,0,Soles nei,0
Solen razor clams nei,0,Solen razor clams nei,0
Sobaity seabream,0,Sobaity seabream,0
So-iuy mullet,0,So-iuy mullet,0
Snubnose pompano,0,Snubnose pompano,0
Snooks(=Robalos) nei,0,Snooks(=Robalos) nei,0
"Snappers, jobfishes nei",0,"Snappers, jobfishes nei",0
Snappers nei,0,Snappers nei,0
Smooth mactra,0,Smooth mactra,0
Smooth giant clam,0,Smooth giant clam,0
Slipper cupped oyster,0,Slipper cupped oyster,0
Shi drum,0,Shi drum,0
Sharpsnout seabream,0,Sharpsnout seabream,0
Senegalese sole,0,Senegalese sole,0
Seabasses nei,0,Seabasses nei,0
Sea urchins nei,0,Sea urchins nei,0
Sea trout,0,Sea trout,0
Sea squirts nei,0,Sea squirts nei,0
Sea snails,0,Sea snails,0
Sea mussels nei,0,Sea mussels nei,0
Sea cucumbers nei,0,Sea cucumbers nei,0
Scorpionfishes nei,0,Scorpionfishes nei,0
Scats,0,Scats,0
Scallops nei,0,Scallops nei,0
Sargo breams nei,0,Sargo breams nei,0
Sand gaper,0,Sand gaper,0
Salmonids nei,0,Salmonids nei,0
Russell's snapper,0,Russell's snapper,0
Rooster venus,0,Rooster venus,0
Righteye flounders nei,0,Righteye flounders nei,0
Redtail prawn,0,Redtail prawn,0
Red porgy,0,Red porgy,0
Red drum,0,Red drum,0
Red bait,0,Red bait,0
Red abalone,0,Red abalone,0
Rainbow trout,0,Rainbow trout,0
Queen scallop,0,Queen scallop,0
Pullet carpet shell,0,Pullet carpet shell,0
Portunus swimcrabs nei,0,Portunus swimcrabs nei,0
"Porgies, seabreams nei",0,"Porgies, seabreams nei",0
Pollack,0,Pollack,0
Peruvian calico scallop,0,Peruvian calico scallop,0
Perlemoen abalone,0,Perlemoen abalone,0
Periwinkles nei,0,Periwinkles nei,0
Percoids nei,0,Percoids nei,0
Peppery furrow,0,Peppery furrow,0
Penguin wing oyster,0,Penguin wing oyster,0
Penaeus shrimps nei,0,Penaeus shrimps nei,0
Pen shells nei,0,Pen shells nei,0
Pearl oyster shells nei,0,Pearl oyster shells nei,0
Pargo breams nei,0,Pargo breams nei,0
Papuan black snapper,0,Papuan black snapper,0
Palinurid spiny lobsters nei,0,Palinurid spiny lobsters nei,0
Palaemonid shrimps nei,0,Palaemonid shrimps nei,0
Pacific littleneck clam,0,Pacific littleneck clam,0
Pacific lion's paw,0,Pacific lion's paw,0
Pacific horse clam,0,Pacific horse clam,0
Pacific geoduck,0,Pacific geoduck,0
Pacific cupped oyster,0,Pacific cupped oyster,0
Pacific calico scallop,0,Pacific calico scallop,0
Pacific bluefin tuna,0,Pacific bluefin tuna,0
Orange-spotted grouper,0,Orange-spotted grouper,0
Orange mud crab,0,Orange mud crab,0
Olympia oyster,0,Olympia oyster,0
Okhotsk atka mackerel,0,Okhotsk atka mackerel,0
"Octopuses, etc. nei",0,"Octopuses, etc. nei",0
Octopuses nei,0,Octopuses nei,0
Northern white shrimp,0,Northern white shrimp,0
Northern quahog(=Hard clam),0,Northern quahog(=Hard clam),0
New Zealand mussel,0,New Zealand mussel,0
Natantian decapods nei,0,Natantian decapods nei,0
Mullets nei,0,Mullets nei,0
Mud spiny lobster,0,Mud spiny lobster,0
Mojarras(=Silver-biddies) nei,0,Mojarras(=Silver-biddies) nei,0
Milkfish,0,Milkfish,0
Metapenaeus shrimps nei,0,Metapenaeus shrimps nei,0
Mediterranean mussel,0,Mediterranean mussel,0
Meagre,0,Meagre,0
Masu(=Cherry) salmon,0,Masu(=Cherry) salmon,0
Marine molluscs nei,0,Marine molluscs nei,0
Marine fishes nei,0,Marine fishes nei,0
Marine crustaceans nei,0,Marine crustaceans nei,0
Marine crabs nei,0,Marine crabs nei,0
Marbled spinefoot,0,Marbled spinefoot,0
Marble goby,0,Marble goby,0
Mangrove red snapper,0,Mangrove red snapper,0
Mangrove cupped oyster,0,Mangrove cupped oyster,0
Malabar grouper,0,Malabar grouper,0
Mackerels nei,0,Mackerels nei,0
Lefteye flounders nei,0,Lefteye flounders nei,0
Lebranche mullet,0,Lebranche mullet,0
Largemouth black bass,0,Largemouth black bass,0
Large yellow croaker,0,Large yellow croaker,0
Kuruma prawn,0,Kuruma prawn,0
Korean rockfish,0,Korean rockfish,0
Korean mussel,0,Korean mussel,0
John's snapper,0,John's snapper,0
Jellyfishes nei,0,Jellyfishes nei,0
Japanese spiny lobster,0,Japanese spiny lobster,0
Japanese seabass,0,Japanese seabass,0
Japanese sea cucumber,0,Japanese sea cucumber,0
Japanese jack mackerel,0,Japanese jack mackerel,0
Japanese hard clam,0,Japanese hard clam,0
Japanese eel,0,Japanese eel,0
Japanese carpet shell,0,Japanese carpet shell,0
Japanese amberjack,0,Japanese amberjack,0
Japanese abalone,0,Japanese abalone,0
"Jacks, crevalles nei",0,"Jacks, crevalles nei",0
Inflated ark,0,Inflated ark,0
Indonesian snakehead,0,Indonesian snakehead,0
Indo-Pacific swamp crab,0,Indo-Pacific swamp crab,0
Indian white prawn,0,Indian white prawn,0
Indian backwater oyster,0,Indian backwater oyster,0
Humpback grouper,0,Humpback grouper,0
Horse mussels nei,0,Horse mussels nei,0
Horned turban,0,Horned turban,0
Hooded oyster,0,Hooded oyster,0
Hong Kong grouper,0,Hong Kong grouper,0
Haddock,0,Haddock,0
"Gudgeons, sleepers nei",0,"Gudgeons, sleepers nei",0
"Groupers, seabasses nei",0,"Groupers, seabasses nei",0
Groupers nei,0,Groupers nei,0
Groundfishes nei,0,Groundfishes nei,0
Grooved carpet shell,0,Grooved carpet shell,0
Green tiger prawn,0,Green tiger prawn,0
Green mussel,0,Green mussel,0
Greater amberjack,0,Greater amberjack,0
Great Atlantic scallop,0,Great Atlantic scallop,0
Greasyback shrimp,0,Greasyback shrimp,0
Greasy grouper,0,Greasy grouper,0
Goldsilk seabream,0,Goldsilk seabream,0
Goldlined seabream,0,Goldlined seabream,0
Golden trevally,0,Golden trevally,0
Golden carpet shell,0,Golden carpet shell,0
Gobies nei,0,Gobies nei,0
Globose clam,0,Globose clam,0
Gilthead seabream,0,Gilthead seabream,0
Giant tiger prawn,0,Giant tiger prawn,0
Giant clam,0,Giant clam,0
Gazami crab,0,Gazami crab,0
Gasar cupped oyster,0,Gasar cupped oyster,0
Fourfinger threadfin,0,Fourfinger threadfin,0
Fluted giant clam,0,Fluted giant clam,0
Florida pompano,0,Florida pompano,0
Fleshy prawn,0,Fleshy prawn,0
Flathead lobster,0,Flathead lobster,0
Flathead grey mullet,0,Flathead grey mullet,0
Flatfishes nei,0,Flatfishes nei,0
Flat oysters nei,0,Flat oysters nei,0
Flat and cupped oysters nei,0,Flat and cupped oysters nei,0
Finfishes nei,0,Finfishes nei,0
"Filefishes, leatherjackets nei",0,"Filefishes, leatherjackets nei",0
Filefishes nei,0,Filefishes nei,0
False abalone,0,False abalone,0
European whitefish,0,European whitefish,0
European seabass,0,European seabass,0
European flounder,0,European flounder,0
European flat oyster,0,European flat oyster,0
European eel,0,European eel,0
Elongate giant clam,0,Elongate giant clam,0
Eastern school shrimp,0,Eastern school shrimp,0
Eastern king prawn,0,Eastern king prawn,0
Drums nei,0,Drums nei,0
Dotted gizzard shad,0,Dotted gizzard shad,0
Donax clams,0,Donax clams,0
Daggertooth pike conger,0,Daggertooth pike conger,0
Cupped oysters nei,0,Cupped oysters nei,0
Crocus giant clam,0,Crocus giant clam,0
"Croakers, drums nei",0,"Croakers, drums nei",0
Crimson seabream,0,Crimson seabream,0
Crevalle jack,0,Crevalle jack,0
Cortez oyster,0,Cortez oyster,0
Common two-banded seabream,0,Common two-banded seabream,0
Common sole,0,Common sole,0
Common snook,0,Common snook,0
Common prawn,0,Common prawn,0
Common pandora,0,Common pandora,0
Common edible cockle,0,Common edible cockle,0
Common dentex,0,Common dentex,0
Common cuttlefish,0,Common cuttlefish,0
Cockles nei,0,Cockles nei,0
Cobia,0,Cobia,0
"Clams, etc. nei",0,"Clams, etc. nei",0
Choro mussel,0,Choro mussel,0
Cholga mussel,0,Cholga mussel,0
Chilean mussel,0,Chilean mussel,0
Chilean flat oyster,0,Chilean flat oyster,0
Chars nei,0,Chars nei,0
Carpet shells nei,0,Carpet shells nei,0
Caramote prawn,0,Caramote prawn,0
Callinectes swimcrabs nei,0,Callinectes swimcrabs nei,0
Butter clam,0,Butter clam,0
Brown-marbled grouper,0,Brown-marbled grouper,0
Brown tiger prawn,0,Brown tiger prawn,0
Brown meagre,0,Brown meagre,0
Brine shrimp,0,Brine shrimp,0
Brill,0,Brill,0
Bluespot mullet,0,Bluespot mullet,0
Bluefish,0,Bluefish,0
Blue swimming crab,0,Blue swimming crab,0
Blue shrimp,0,Blue shrimp,0
Blue mussel,0,Blue mussel,0
Blue crab,0,Blue crab,0
Blood cockle,0,Blood cockle,0
Blackspot(=red) seabream,0,Blackspot(=red) seabream,0
Blacklip pearl oyster,0,Blacklip pearl oyster,0
Blacklip abalone,0,Blacklip abalone,0
Blackhead seabream,0,Blackhead seabream,0
Black seabass,0,Black seabass,0
Bear paw clam,0,Bear paw clam,0
Bastard halibuts nei,0,Bastard halibuts nei,0
Bastard halibut,0,Bastard halibut,0
Banded carpet shell,0,Banded carpet shell,0
Banana prawn,0,Banana prawn,0
Baltic prawn,0,Baltic prawn,0
Ballan wrasse,0,Ballan wrasse,0
Australian mussel,0,Australian mussel,0
Atlantic wolffish,0,Atlantic wolffish,0
Atlantic salmon,0,Atlantic salmon,0
Atlantic halibut,0,Atlantic halibut,0
Atlantic ditch shrimp,0,Atlantic ditch shrimp,0
Atlantic cod,0,Atlantic cod,0
Atlantic bluefin tuna,0,Atlantic bluefin tuna,0
Areolate grouper,0,Areolate grouper,0
Arctic char,0,Arctic char,0
Aquatic invertebrates nei,0,Aquatic invertebrates nei,0
Anadara clams nei,0,Anadara clams nei,0
American cupped oyster,0,American cupped oyster,0
Amberjacks nei,0,Amberjacks nei,0
Akiami paste shrimp,0,Akiami paste shrimp,0
Abalones nei,0,Abalones nei,0
Nile perch,0,Nile perch,1
Chum(=Keta=Dog) salmon,0,Chum(=Keta=Dog) salmon,0
Sockeye(=Red) salmon,0,Sockeye(=Red) salmon,0
Tiger pufferfish,0,Tiger pufferfish,0
Tarpon,0,Tarpon,0
Speckled shrimp,0,Speckled shrimp,0
Sand fish,0,Sand fish,0
Mi-iuy (brown) croaker,0,Mi-iuy (brown) croaker,0
Longfin yellowtail,0,Longfin yellowtail,0
Japanese seabream,0,Japanese seabream,0
Japanese meagre,0,Japanese meagre,0
Grand ark,0,Grand ark,0
Diphos sanguin,0,Diphos sanguin,0
Coho(=Silver) salmon,0,Coho(=Silver) salmon,0
Chinook(=Spring=King) salmon,0,Chinook(=Spring=King) salmon,0
Black ark,0,Black ark,0
Big-scale sand smelt,0,Big-scale sand smelt,0
Barramundi(=Giant seaperch),0,Barramundi(=Giant seaperch),0
