"Taxonid","EEZID","stocklong","notes","FAOAreaID","id"
600126,851,"Spanish mackerel Southern Atlantic Coast","",31,"851_600126"
600142,356,"Albacore tuna Indian Ocean","",51,"356_600142"
600142,356,"Albacore tuna Indian Ocean","",57,"356_600142"
600142,361,"Albacore tuna Indian Ocean","",57,"361_600142"
600142,361,"Albacore tuna Indian Ocean","",71,"361_600142"
600142,895,"Albacore tuna Indian Ocean","",51,"895_600142"
600142,895,"Albacore tuna Indian Ocean","",57,"895_600142"
600142,954,"Albacore tuna Indian Ocean","",47,"954_600142"
600142,954,"Albacore tuna Indian Ocean","",51,"954_600142"
600142,962,"Albacore tuna Mediterranean","",27,"962_600142"
600142,962,"Albacore tuna Mediterranean","",34,"962_600142"
600142,962,"Albacore tuna Mediterranean","",37,"962_600142"
600142,60,"Albacore tuna North Atlantic","",21,"60_600142"
600142,60,"Albacore tuna North Atlantic","",31,"60_600142"
600142,620,"Albacore tuna North Atlantic","",27,"620_600142"
600142,620,"Albacore tuna North Atlantic","",34,"620_600142"
600142,621,"Albacore tuna North Atlantic","",27,"621_600142"
600142,621,"Albacore tuna North Atlantic","",34,"621_600142"
600142,622,"Albacore tuna North Atlantic","",27,"622_600142"
600142,622,"Albacore tuna North Atlantic","",34,"622_600142"
600142,851,"Albacore tuna North Atlantic","",21,"851_600142"
600142,851,"Albacore tuna North Atlantic","",31,"851_600142"
600142,848,"Albacore tuna North Pacific","",67,"848_600142"
600142,848,"Albacore tuna North Pacific","",77,"848_600142"
600142,24,"Albacore tuna South Atlantic","",34,"24_600142"
600142,24,"Albacore tuna South Atlantic","",47,"24_600142"
600142,76,"Albacore tuna South Atlantic","",31,"76_600142"
600142,76,"Albacore tuna South Atlantic","",41,"76_600142"
600142,178,"Albacore tuna South Atlantic","",34,"178_600142"
600142,178,"Albacore tuna South Atlantic","",47,"178_600142"
600142,180,"Albacore tuna South Atlantic","",34,"180_600142"
600142,180,"Albacore tuna South Atlantic","",47,"180_600142"
600142,254,"Albacore tuna South Atlantic","",31,"254_600142"
600142,254,"Albacore tuna South Atlantic","",41,"254_600142"
600142,266,"Albacore tuna South Atlantic","",34,"266_600142"
600142,266,"Albacore tuna South Atlantic","",47,"266_600142"
600142,855,"Albacore tuna South Atlantic","",34,"855_600142"
600142,855,"Albacore tuna South Atlantic","",47,"855_600142"
600142,970,"Albacore tuna South Atlantic","",34,"970_600142"
600142,970,"Albacore tuna South Atlantic","",41,"970_600142"
600142,36,"Albacore tuna South Pacific Ocean","",57,"36_600142"
600142,36,"Albacore tuna South Pacific Ocean","",71,"36_600142"
600142,36,"Albacore tuna South Pacific Ocean","",81,"36_600142"
600142,184,"Albacore tuna South Pacific Ocean","",77,"184_600142"
600142,184,"Albacore tuna South Pacific Ocean","",81,"184_600142"
600142,242,"Albacore tuna South Pacific Ocean","",71,"242_600142"
600142,242,"Albacore tuna South Pacific Ocean","",81,"242_600142"
600142,258,"Albacore tuna South Pacific Ocean","",77,"258_600142"
600142,258,"Albacore tuna South Pacific Ocean","",81,"258_600142"
600142,540,"Albacore tuna South Pacific Ocean","",71,"540_600142"
600142,540,"Albacore tuna South Pacific Ocean","",81,"540_600142"
