Togo,0.459,57.5,5.3,10.6,928,16,0.542
Yemen,0.458,65.9,2.5,8.7,1820,–7,0.474
Haiti,0.456,62.4,4.9,7.6,1070,7,0.521
Uganda,0.456,54.5,4.7,11.1,1168,5,0.511
Zambia,0.448,49.4,6.7,8.5,1358,0,0.483
Djibouti,0.445,58.3,3.8,5.7,2350,–22,0.435
Gambia,0.439,58.8,2.8,8.7,1731,–9,0.448
Benin,0.436,56.5,3.2,9.4,1439,–5,0.459
Rwanda,0.434,55.7,3.3,10.9,1147,0,0.476
Côte d’Ivoire,0.432,56.0,4.2,6.5,1593,–9,0.444
Comoros,0.429,61.5,2.8,10.2,986,4,0.484
Malawi,0.418,54.8,4.2,10.4,774,10,0.492
Sudan,0.414,61.8,3.1,4.5,1848,–19,0.405
Zimbabwe,0.397,52.7,7.2,10.1,424,14,0.542
Ethiopia,0.396,59.7,2.2,8.7,1017,–2,0.425
Liberia,0.388,57.3,3.9,10.5,480,11,0.502
Afghanistan,0.374,49.1,3.1,8.1,1000,–3,0.393
Guinea-Bissau,0.364,48.6,2.3,9.5,1042,–6,0.373
Sierra Leone,0.359,48.1,3.3,7.3,881,0,0.380
Burundi,0.355,50.9,2.7,11.3,544,4,0.423
Guinea,0.355,54.5,1.6,8.8,941,–4,0.368
Central African Republic,0.352,49.1,3.5,6.8,722,1,0.386
Eritrea,0.351,62.0,3.4,4.6,531,3,0.418
Mali,0.344,51.9,2.0,7.5,853,–4,0.359
Burkina Faso,0.343,55.9,1.3,6.9,1202,–18,0.332
Chad,0.340,49.9,1.5,7.4,1258,–20,0.324
Mozambique,0.327,50.7,1.2,9.2,906,–9,0.327
