iucn_sid,presence,origin,distribution_code,rgn_id,rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat_code
39381,Extant,Native,Native,220,Sint Maarten,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,111,Turks and Caicos Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,98,Togo,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,25,Thailand,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,156,Tokelau,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,61,Tunisia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,155,Tonga,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,76,Turkey,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,19,Tuvalu,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,14,Taiwan,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,202,Tanzania,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,163,United States,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,173,Uruguay,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,127,Saint Vincent and the Grenadines,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,139,Venezuela,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,117,British Virgin Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,207,Vietnam,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,6,Vanuatu,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,161,Wallis and Futuna,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,152,Samoa,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,47,Yemen,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,29,Mayotte,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,102,South Africa,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
19488,Extant,Native,Native,54,United Arab Emirates,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,120,Antigua and Barbuda,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,118,Anguilla,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,200,Angola,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,172,Argentina,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,151,American Samoa,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,16,Australia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,250,Aruba,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,124,Barbados,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,204,Bangladesh,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,52,Bahrain,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,99,Benin,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,247,Brunei,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,171,Brazil,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,110,Bahamas,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,164,Belize,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Vagrant,Vagrant,218,Canada,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
