ord_id,Site Visited (IAATO list),Latitude,Longitude
46,Booth Island,65¼05'S,64¼02'W
47,Borgen Bay,63¡45'S,063¡30'W
48,Borgeois Fjord,67*40'S,67*05'W
49,Botany Bay,63¼41'S,57¼53'W
50,Brabant Island,64¡15'S,62¡20'W
51,Brandy Bay,63¡50'S,57¡59'W
52,Bransfield Strait,62¡42'S,57¡23'W
53,Brown Bluff,63¡32'S,56¡55'W
54,Bruce Island,64¡53.9'S,063¡08.9'W
55,Butler Passage,64*58'S,63*44'W
56,Camp Hill,63¡41'S,57¡52'W
57,Camp Point,67¡58'S,67¡19'W
58,Campbell Glacier/Gondwana Area,74¡40'S,164¡28'E
59,Campbell Island,52d 32.4`S,169d 8.7`E
60,Cape Adare,71¡18'S,170¡27'E
61,Cape Bird,77¼10'S,166¼41'E
62,Cape Colbeck,77*07'S,157*54'W
63,Cape Crozier,77¡32'S,169¡11'E
64,Cape Decouverte,66¡46'S,141¡33'E
65,Cape Denison,67¡00'S,64¡19'W
66,Cape Evans,77¡38'S,166¡25'E
67,Cape Evensen,66¡09'S,65¡44'W
68,Cape Gray,66*51'S,143*22'E
69,Cape Green,63¡40'S,56¡50'W
70,Cape Hallett,72¼11'S,170¼39'E
71,Cape Jules,66¡44'S,141¡55'E
72,Cape Kinnes,63¡22'S,56¡33'W
73,Cape Lachman,63*47'S,57*47'W
74,Cape Legoupil,63¡19'S,57¡54'W
75,Cape Lookout,61¡16'S,55¡12'W
76,Cape Mergerie,66'49'S,141' 24'E
77,Cape Perez,65¡24'S,64¡06'W
78,Cape Renard,65¡01'S,064¡48'W
79,Cape Roget,71¡59'S,170¡37'E
80,Cape Roquemaurel,63¼33'S,58¼57'W
81,Cape Royds,77¡33'S,166¡11'E
82,Cape Shirreff,64¡50'S,63¡30'W
83,Cape Tuxen,65¡16'S,64¡08'W
84,Cape Valentine,61¡06'S,54¡39'W
85,Cape Washington,74¼40'S,165¼27'E
86,Casabianca Island,64 49's,063 32'w
87,Challenger Island,64¡21'S,61¡35'W
88,Charlotte Bay,64¡35'S,61¡38'W
89,Chiriguano Bay,64¡29.8'S,62¡29'W
90,Christiania Islands,63¡57'S,61¡27'W
91,Cierva Cove,64¡09'S,61¡07'W
92,Clear Island,64¡55`S,63¡44`W
93,Cobalescou Island,64¡11`S ,61¡39`W
94,Cockburn Island,64¡37.4'S,56¡36.3'W
95,Commonwealth Bay,66deg54'S,142deg40'E
96,Coronation Island,60¡36'S,46¡03'W
97,Coulman Island,73¼18'S,169¼42'E
98,Covey Rocks,67*33'S,57*48'W
99,Crystal Hill,63¡39'S,57¡44'W
100,Crystal Sound,66¡23'S,66¡30'W
101,Curtiss Bay,64¡02'S,60¡47'W
102,Cuverville Island,64¡41'S,62¡38'W
103,Dallmann Bay,64¡20'S,062¡55'W
104,Damoy Point/Dorian Bay,64¡49'S,63¡32'W
105,Danco Island,64¡44'S,62¡37'W
106,Danger Islands,63¡25'S,54¡40'W
107,Dannebrog Islands,65¡03'S,64¡08'W
108,Darbel Bay,66 30'S,65 58'W
109,Davis Islands,66¡40`S,108¡25`W
110,Davis Station,68¡34'S,77¡58'E
111,Decepcion Base Research Station,62¡97's,60¡67'w
112,Deception Island,62¼59'S,60¼39'W
113,Desolation Island,62¡28'S,60¡22'W
114,Detaille Island,66¡52'S,66¡48'W
115,Devil Island,63¡48'S,57¡17'W
116,Dion Islands (ASPA),67*52'S,68*43'W
117,Dobrowolski Island,64¡36`S,62¡55`W
118,Dogs Leg Fjord,67*43'S,66*52'W
119,Dorian Bay,64¡49'S,63¡32'W
120,Doumer Island,64¡52'S,063¡43'W
121,Drescher Inlet,72¡50.7'S,19¡35.7'W
122,Drygalski Ice Tongue,75¡22.5'S,165¡16.7'E
123,Duchaylard Islands,65¡44'S,65¡04'W
124,Dumont D'Urville Station,"66¡39'46""S","140¡00'05""E"
125,Dundee Island,63¡28'S,56¡17'W
126,D'Urville Monument,63¡25'S,56¡18'W
127,Duthiers Point,64¡48'S,62¡49'W
128,Duthoit Point,62¡19'S,58¡50'W
129,Eagle Island,63¡38'S,57¡24'W
130,Edinburgh Hill,62¡33'S,60¡01'W
131,Elephant Island,61¡10's,55¡14'w
132,English Strait,62¡27'S,59¡36'W
133,Enterprise Island,64¡32'S,62¡00'W
134,Erebus and Terror Gulf,63¡55'S,56¡40'W
135,Errera Channel,62¡42`S,62¡36`W
136,Erskine Glacier,66 32'S,65 22'W
137,Esperanza Station,63 deg 24'S,57 deg 00'W
138,Eyrie Bay,63¡35'S,57¡38'W
139,False Bay,62¡43'S,60¡22'W
140,False Island Point,63¡55'S,57¡20'W
141,Fast Ice,65¡54'S,65¡10'W
142,Ferguson Channel,64¡ 54.0' S ,63¡ 00.0' W
143,Ferraz Station,62¡05'S,58¡23'W
144,Fildes Peninsula,62¡12'S,58¡58'W
145,Fildes Station,62¡11'S,58¡58'W
146,Fish Islands,66¡02'S,65¡25'W
147,Flanders Bay,64¡49'S,63¡30'W
148,Flounder Island,66¡01'S,65¡24'W
149,Forge Islands,65¡14'S,64¡17'W
150,Fort Point,62¡34'S,59¡34'W
151,Foyn Harbour,64¡31'S,61¡58'W
152,Franklin Island,76¡07'S,168¡15'E
153,Frei Station,62¡12'S,58¡57'W
154,French Passage,65¡11' S,64¡20' W
155,Fridtjof Island,64¡53'S,63¡22'W
156,Fridtjof Sound,63¡34'S,56¡43'W
157,Fumarole Bay,62¡58'S,60¡42'W
158,Gabriel de Castilla Station,62¡97'S,060¡67'W
159,Galindez Is -Penola Strait,65¡15'S,64¡14'W
160,Gand Island,64¡24`S,62¡51`W
161,Gaston Islands,64¡28'S,61¡50'W
162,George VI Sound,71¡00'S,68¡00'W
163,Georges Point,64¡40'S,62¡40'W
164,Gerlache Strait,64¡16'S,061¡51'W
165,Gibbs Island,61¡28'S,55¡34'W
166,Girard Bay,65¡08'S,64¡00'W
167,Gonzalez Videla Station,64¡49'S,62¡52'W
168,Goudier Island,64¡50'S,63¡30'W
169,Gourdin Island,63¡12'S,57¡18'W
170,Governor Islands,60¡30'S,45¡56'W
171,Graham Passage,64¡24'S,61¡29'W
172,Great Wall Station,62¡13'S,58¡57'W
173,Greenwich Island,62¡32'S,59¡34'W
174,Guebriant Islands,67¡48'S,68¡25'W
175,"Haddon Bay, Joinville Isl",63¡18'S,55¡44'W
176,Half Moon Island,62¡36'S,59¡55'W
177,Halley Rookery,75¡31.2'S,27¡21.2'W
178,Halley Station,75¡27.5'S,26¡40.9'W
179,Hannah Point,62¡39'S,60¡37'W
180,Hanusse Bay,67¼00'S,67¼25'W
181,Hardy Cove,62¡32'S,59¡35'W
182,Harrison Passage,65¡53'S,65*11'W
183,Harry Island,64¡08`S,61¡59`W
184,Heroina Island,63¡24'S,54¡36'W
185,Hidden Bay,65¼04'S,63¼49'W
186,Hope Bay,63¡53'S,56¡59'W
187,Horseshoe Island,67¡51'S,67¡12'W
188,Hovgaard Island,65¡08'S,64¡08'W
189,Hunt Island,64¡19'S,060¡45'W
190,Hydrurga Rocks,64¡08'S,61¡37'W
191,Ice Landing,,
192,Iceberg Point,64¡38`S,63¡06`W
193,Inexpressible Island,74¼53'S,163¼42'E
194,Intercurrence Island,63¡55'S,61¡24'W
195,Ironside Glacier,72¡08'S,169¡40'E
196,Jabet Peak,64¡49'S,63¡28'W
197,Jagged Island,66¡01'S,65¡33'W
198,James Ross Island,64¡11.8'S,57¡04.0'W
199,Jenny Island,67¡43'S,68¡25'W
200,John Beach,62*39'S,60*46'W
201,Jougla Point,64¡50'S,63¡30'W
202,Juan Carlos I Station,62¡39'S,60¡23'W
203,Jubany,62¡14'S,58¡40'W
204,King Sejong Station,62¡8.7'S,58¡45'W
205,Kinnes Cove/Madder Cliffs,63¡19's,056¡28'w
206,Larrouy Island,65¡52'S,65¡15'W
207,Laurie Island,60¡45'S,44¡44'W
208,Lautaro Island,65¡50'S,63¡07'W
209,Lavoisier,66¡12'S,66*44'W
210,Leith Cove,64¡52'S,62¡50'W
211,Lemaire Channel,65¡04'S,63¡57'W
212,Lemaire Island,64*49'S,62¡57'W
213,Leningradskaya,69¡30'S,159¡23'E
214,Liard Island,66¡51'S,67¡25'W
215,Lindblad Cove,63¡51' S ,59¡27' W
216,Lippman Islands,65¡30'S,64¡26'W
217,Lister Cove,62*30'S,60*05'W
218,Livingston Island,62¡41'S,60¡50'W
219,Lord Bank,67¡50'S,69¡15'W
220,Louise Island,64¡36`S ,62¡23`W
221,Macaroni Point,62¡54'S,60¡32'W
222,Madder Cliffs,,
223,"Marguerite Bay, The Gullet",67¡11'S,67¡4'W
224,Martha Cove,63¡54'S,57¡47'W
225,Matthew Island,60¡44'S,045¡06'W
226,"Maxwell Bay, King George",62¡15'S,58¡51'W
227,McFarlane Strait,62¡32'S,59¡55'W
228,McMurdo Ice Channel,77¡43'S,166¡06'E
229,McMurdo Station,77¡50'S,166¡40'E
230,Melchior Islands,64¡19'S,62¡57'W
231,Mertz Glacier Tongue,67 deg 10'S,145 deg 30'E
232,Mikkelsen Harbor,63¡54'S,60¡47'W
233,Molina Point,64¼48'S,62¼51'W
234,Monroe Island,60 36' S,46 03'W
235,Moreno Rock,64¡05`S,61¡18`W
236,Moubray Bay,72¡11'S,170¡15'E
237,Mount Banck,64¡54'S,63¡03'W
238,Mount Demaria,65¼17'S,64¼07'W
239,Mount Discovery,78¡22'S,165¡01'E
240,Mount Double,64¡41'S,62¡34.8'W
241,Mount Erebus Summit,77¡31'S,167¡08'E
242,Mount Mill,65¡15'S,64¡03'W
243,Mount Scott,65¡10'S,64¡05'W
244,Mount Shackleton,65¡13'S,63¡56'W
245,Moureaux Islands,65¡05`S,63¡08`W
246,Mudge Passage,66¡02'S,65¡50'W
247,Murray Island,64¡22'S,61¡34'W
248,Murray Monolith,67¡46'S,66¡54'E
249,Mutton Cove,66¡00'S,65¡39'W
250,Neko Harbor,64¡50'S,62¡33'W
251,Nelson Island,62¡18'S,59¡03'W
252,Neptunes Bellows,63¡00's,60¡34'w
253,Neumayer Channel,64¡47'S,63¡30'W
254,Neumayer Station,70¡38'S,08¡15'W
255,Neyt Point,63¡58`S,61¡48`W
256,Novolazarevskaya,70¡49'S,011¡37'W
257,O'Higgins Station,63¼19'S,57¼54'W
258,Ohridski (Bulgarian Station),62¡39'S,60¡21'W
259,Orcadas,60¡45'S,44¡44'W
260,Orne Harbor,64¡37'S,62¡32'W
261,Orne Islands,64¡40'S,62¡40'W
262,Palmer Station,64¡46'S,64¡05'W
263,Paradise Bay,64¡52'S,62¡52'W
264,Paradise Harbor,,
265,Patriot Hills,80¡20'S,081¡25'W
266,Paulet Island,63¡35'S,55¡47'W
267,Peltier Channel,64¡52's,063¡34'w
268,Pendulum Cove,62¡56'S,60¡36'W
269,Penguin Island,62¡06'S,57¡54'W
270,Penguin Point,64¡19'S,56¡43'W
271,Peninsula Region,,
272,Penola Strait,65¡12'S,64¡05'W
273,Peon Peak,64¼45'S,62¼39'W
274,Peter I Island,68*43'S,90*48'W
275,Petermann Island,65¡10'S,64¡10'W
276,Petrel Cove,63¡28'S,56¡13'W
277,Pitt Islands,65¡26'S,65¡30'W
278,Plata Passage,64¡42'S,62¡04'W
279,PlŽneau Island,65¡06'S,64¡04'W
280,Point Wild,61¡06'S,54¡52'W
281,Port Charcot,65¡04'S,64¡00'W
282,Port Foster,62¡57'S,60¡39'W
283,Port Martin,66 deg 49' S,141deg 24 E
284,Portal Point,64¡30'S,61¡46'W
285,Possession Island,71¡53'S,171¡26'E
286,President Head,62¡44'S,61¡12'W
287,"Presidente Frei, King George I.",,
288,Prospect Point,66¡01'S,65¡21'W
289,Renaud Island,65¡40'S,66¡00'W
290,Riiser Larsen,72¡06'S,15¡10'W
291,Robert Point,62¡28'S,59¡23'W
292,Robertson Island,65¡05'S,59¡31'W
293,Ronge Island Other,64¡43'S  ,62¡41'W
294,Ronge Island/Georges Point,64¡43'S,62¡41'W
295,Rosamel Island,63¡34'S,56¡17'W
296,Ross Ice Shelf,78¡12'S,179¡48'W
297,Ross Sea,75¡00'S,175¡00'W
298,Rothera Station,67¼34'S,68¼07'W
299,"Sabrina Island, Balleny Islands",66¡56'S,163¡19'E
300,Saddler Point,64¡42'S,62¡01'W
301,Sally Rocks,62¡42'S ,60¡26'W
302,San Martin Station,68¡08's,67¡10'w
303,Sandefjord Bay,60¡40'S,74¡25'W
304,Scott Base,77¡51'S,166¡40'E
305,Screen Islands,65¡01'S,63¡43'W
306,Security Bay,64¡51'S,63¡37'W
307,Selvick Cove,64¡39'S,62¡34'W
308,Seymour Island,64¡19'S,056¡43'W
309,Shephard Island,74¡25'S,132¡43'W
310,Shingle Cove,60¡39'S,45¡34'W
311,Signy Island Station,60¼43'S,45¼35'W
312,Siple Island,73¡33'S,127¡21'W
313,Skontorp Cove,64¡54'S,62¡52'W
314,Snow Hill - Nordenskjolds Hut,64 28`S,57 27`W
315,Snow Hill Emperor Rookery,64 31' s,57 27'w
316,Snow Hill Island,64¡28'S,57¡12'W
317,Sophie Rocks,64¡44`S,62¡13`W
318,South Bay/Johnsons Dock,62¡39'S,60¡23'W
319,South Orkney Islands,60¡35'S,45¡30'W
320,Spert Island,63¢»51Áøs,60¢»57Áøw
321,Spigot Peak,64¡39'S,62¡34'W
322,Spring Point,64¡18'S,61¡03'W
323,Stancomb Wills Rookery,74¡05.1'S,22¡57.8'W
324,Steinheil Point,64¼51'S,62¼41'W
325,Sterneck Island,64¡13'S,61¡01'W
326,Stonington Island,68¡11'S,67¡00'W
327,Su‡rez Glacier,64¡56'S,62¡56'W
328,Tay Head,63¡20's,055¡32'w
329,Taylor Valley/Canada Glacier,77¡37'S,163¡04'E
330,Telefon Bay,62¡56'S,60¡40'W
331,Terra Nova Bay,74¡41'S,164¡08'E
332,Terra Nova Station,74¡41'S,164¡07'E
333,Tetra Rocks,63¡54.6'S,60¡44.6'W
334,The Gullet,67¼19'S,67¼49'W
335,The Triplets,62¼24'S,59¼41'W
336,Torgersen Island,64¡46'S,64¡05'W
337,Tourmaline Plateau,74¡32's,163¡50'e
338,Trinity Island Other,63¡45'S,60¡44'W
339,Trinity Island-Mikkelsen Hrbr,63¡54'S,60¡47'W
340,Trinity Peninsula,63¡37'S,58¡20'W
341,Truant Island,64¡55`S,63¡25`W
342,Turret Point,62¡05'S,57¡55'W
343,Two Hummock Island,64¼08'S,61¼37'W
344,Unger Island,70¡41'S,166¡55'E
345,Unknown Name,0,0
346,Uruguay Island,64¡14's,64¡13'W
347,Useful Island,64¡43'S,62¡52'W
348,Vega Island/Herbert Sound,63¼54'S,57¼22'W
349,Vernadsky Station,65¡15'S,64¡15'W
350,View Point,63¡33'S,57¡22'W
351,Vortex Island,63¡43.8'S,57¡40'W
352,Waddington Bay,65¡16'S,64¡05'W
353,Walker Bay (by Hannah Point),62 39`S,060 37`W
354,Wandel Peak,65¡05's,64¡00'w
355,Waterboat Point/Gonzalez Videla Station,64¡49'S,62¡52'W
356,Wauwermans Islands,64¡55'S,63¡53'W
357,Weddell Sea,64¡36'S,057¡15'W
358,Whalers Bay,62¡59'S,60¡34'W
359,Wilhelmina Bay,64¡38'S,62¡00'W
360,Wilson Piedmont Glacier Fuel Cache,76¡26'S,163¡37'E
361,Winter Island,65¼15'S,64¼16'W
362,Wohlschlag Bay,77¡22'S,166¡25'E
363,Woolpack Island,65¡37'S,65¡00'W
364,Wylie Bay,64¡44'S,64'10'W
365,Yalour Islands,65¡14'S,64¡10'W
366,Yankee Harbor,62¡32'S,59¡47'W
367,ZigZag Island,63¡36'S,59¡49'W
999,Andrews Point,64¡30_S ,62¡55_W
9999,Stanley Patch,62¡59_S ,60¡38_W
