"ISO3166","WHENCE","SITE","YEAR","VALUE"
"AUS","WAYCOTT","Parmelia Bank West",1982,343.6
"AUS","WAYCOTT","Parmelia Bank West",1995,375.1
"AUS","WAYCOTT","Spencer Gulf",1987,15953
"AUS","WAYCOTT","Spencer Gulf",1994,6401
"AUS","WAYCOTT","Tuggerah Lakes",1954,350
"AUS","WAYCOTT","Tuggerah Lakes",1963,4190
"AUS","WAYCOTT","Tuggerah Lakes",1965,3120
"AUS","WAYCOTT","Tuggerah Lakes",1966,2820
"AUS","WAYCOTT","Tuggerah Lakes",1980,1434
"AUS","WAYCOTT","Tuggerah Lakes",1981,1313
"AUS","WAYCOTT","Tuggerah Lakes",1982,1419
"AUS","WAYCOTT","Tuggerah Lakes",1983,1864
"AUS","WAYCOTT","Tuggerah Lakes",1984,1628
"AUS","WAYCOTT","Tuggerah Lakes",1985,1911
"AUS","WAYCOTT","Botany Bay, Northern Shoreline",1930,35
"AUS","WAYCOTT","Botany Bay, Northern Shoreline",1942,93
"AUS","WAYCOTT","Botany Bay, Northern Shoreline",1951,22
"AUS","WAYCOTT","Botany Bay, Northern Shoreline",1961,49
"AUS","WAYCOTT","Botany Bay, Northern Shoreline",1977,16
"AUS","WAYCOTT","Botany Bay, Northern Shoreline",1985,27
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1942,668
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1951,567
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1961,598
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1970,740
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1977,483
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1979,394
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1982,541
"AUS","WAYCOTT","Botany Bay, Southern Shoreline",1984,516
"AUS","WAYCOTT","Wallis Lake",1988,2374
"AUS","WAYCOTT","Wallis Lake",1991,2184
"AUS","WAYCOTT","Wallis Lake",1995,1856
"AUS","WAYCOTT","Wallis Lake",2002,2078
"AUS","WAYCOTT","Esperance Bay",1956,585
"AUS","WAYCOTT","Esperance Bay",1969,509
"AUS","WAYCOTT","Esperance Bay",1977,428
"AUS","WAYCOTT","Esperance Bay",1989,482
"AUS","WAYCOTT","Esperance Bay",1995,463
"AUS","WAYCOTT","Esperance Bay",2001,453
"AUS","WAYCOTT","Warnbro Sound",1953,273
"AUS","WAYCOTT","Warnbro Sound",1963,263
"AUS","WAYCOTT","Warnbro Sound",1989,265
"AUS","WAYCOTT","Warnbro Sound",1995,223
"AUS","WAYCOTT","Warnbro Sound",2002,200
"AUS","WAYCOTT","Swan-Canning Estuary",1976,563
"AUS","WAYCOTT","Swan-Canning Estuary",1982,593
"AUS","WAYCOTT","Princess Royal Harbour",1960,1440
"AUS","WAYCOTT","Princess Royal Harbour",1988,250
"AUS","WAYCOTT","Oyster Harbour",1960,610
"AUS","WAYCOTT","Oyster Harbour",1988,130
"AUS","WAYCOTT","Rocky Bay",1941,20.44
"AUS","WAYCOTT","Rocky Bay",1972,19.63
"AUS","WAYCOTT","Rocky Bay",1981,19.5
"AUS","WAYCOTT","Rocky Bay",1992,16.83
"AUS","WAYCOTT","Thomson Bay South",1966,34.02
"AUS","WAYCOTT","Thomson Bay South",1992,33.34
"AUS","WAYCOTT","Thomson Bay North",1966,10.12
"AUS","WAYCOTT","Thomson Bay North",1992,9.7
"AUS","WAYCOTT","St Georges Basin",1957,377.9
"AUS","WAYCOTT","St Georges Basin",1970,343.4
"AUS","WAYCOTT","St Georges Basin",1979,351.7
"AUS","WAYCOTT","St Georges Basin",1998,292
"AUS","WAYCOTT","Wagonga Inlet",1957,83.5
"AUS","WAYCOTT","Wagonga Inlet",1982,84.8
"AUS","WAYCOTT","Wagonga Inlet",1999,75.1
"AUS","WAYCOTT","Bermagui River",1957,42.9
"AUS","WAYCOTT","Bermagui River",1979,28.8
"AUS","WAYCOTT","Bermagui River",1998,28.1
"AUS","WAYCOTT","Merimbula Lake",1948,200.9
"AUS","WAYCOTT","Merimbula Lake",1962,226
"AUS","WAYCOTT","Merimbula Lake",1972,192.8
"AUS","WAYCOTT","Merimbula Lake",1977,185.8
"AUS","WAYCOTT","Merimbula Lake",1994,153.7
"AUS","WAYCOTT","Pambula Lake",1948,73.2
"AUS","WAYCOTT","Pambula Lake",1972,59.9
"AUS","WAYCOTT","Pambula Lake",1994,60.2
"AUS","WAYCOTT","Green Isalnd",1936,0.39
"AUS","WAYCOTT","Green Isalnd",1959,1.1
"AUS","WAYCOTT","Green Isalnd",1972,6.5
"AUS","WAYCOTT","Green Isalnd",1992,15.31
"AUS","WAYCOTT","Green Isalnd",1993,22.7
"AUS","WAYCOTT","Green Isalnd",1994,22.9
"AUS","WAYCOTT","Green Isalnd",1997,23
"AUS","WAYCOTT","Port Hacking",1951,183.46
"AUS","WAYCOTT","Port Hacking",1961,140.73
"AUS","WAYCOTT","Port Hacking",1976,72.79
"AUS","WAYCOTT","Port Hacking",1984,99.5
"AUS","WAYCOTT","Port Hacking",1999,81.85
"AUS","WAYCOTT","Western  Port Bay",1973,23000
"AUS","WAYCOTT","Western  Port Bay",1984,5900
"AUS","WAYCOTT","Western  Port Bay",1994,9300
"AUS","WAYCOTT","Western  Port Bay",1999,13200
"AUS","WAYCOTT","Port Philip Bay - Kirk Pt",2000,16.3
"AUS","WAYCOTT","Port Philip Bay - Kirk Pt",2005,29.8
"AUS","WAYCOTT","Port Philip Bay - Pt. Richards",2000,83.4
"AUS","WAYCOTT","Port Philip Bay - Pt. Richards",2005,26.2
"AUS","WAYCOTT","Port Philip Bay - Blairgowrie",2000,5.94
"AUS","WAYCOTT","Port Philip Bay - Blairgowrie",2005,1.66
"AUS","WAYCOTT","Western Port-Rhyll",1999,16
"AUS","WAYCOTT","Western Port-Rhyll",2005,16.2
"AUS","WAYCOTT","Western Port - Scrub Point",1999,108.1
"AUS","WAYCOTT","Western Port - Scrub Point",2005,108.5
"AUS","WAYCOTT","Corner Inlet - Lewis Channel",1998,194.1
"AUS","WAYCOTT","Corner Inlet - Lewis Channel",2005,147.9
"AUS","WAYCOTT","Corner Inlet - Duck Point",1998,136
"AUS","WAYCOTT","Corner Inlet - Duck Point",2005,134.6
"AUS","WAYCOTT","Corner Inlet - Granit Island",1998,240.6
"AUS","WAYCOTT","Corner Inlet - Granit Island",2005,244.1
"AUS","SHORT","Green Island, Queensland",2001,7.97
"AUS","SHORT","Green Island, Queensland",2002,7.65
"AUS","SHORT","Green Island, Queensland",2003,11.54
"AUS","SHORT","Green Island, Queensland",2004,8.27
"AUS","SHORT","Green Island, Queensland",2005,12.15
"AUS","SHORT","Green Island, Queensland",2008,10.82
"AUS","SHORT","Green Island, Queensland",2009,12.41
"AUS","SHORT","Green Island, Queensland",2010,8.95
"AUT",,,,
"AZE",,,,
"BHS","OTHER","Bahamas",2007,6543640
"BHR",,,,
"BGD",,,,
"BRB",,,,
"BLR",,,,
"BEL",,,,
"BLZ","OTHER","Belize",2003,150000
"BLZ","OTHER","Belize",2007,209220
"BLZ","SHORT","Ambergris/ Bacalar Chico MR no-take zone",2010,38.65
"BLZ","SHORT","Ambergris/ Bacalar Chico MR public use zone",2010,0
"BLZ","SHORT","Ambergris/ Hol Chan Marine Reserve",2010,51.19
"BLZ","SHORT","Ambergris/ Hol Chan Marine Reserve",2011,60.94
"BLZ","SHORT","Ambergris/ Hol Chan, San Pedro",2010,32.91
"BLZ","SHORT","Ambergris/ Hol Chan, San Pedro",2011,34.47
"BLZ","SHORT","Caye Caulker Marine Reserve",2010,31.16
"BLZ","SHORT","Caye Caulker Village",2010,0
"BLZ","SHORT","Glovers Reef Atoll",2004,0
"BLZ","SHORT","Glovers Reef Atoll",2005,0
"BLZ","SHORT","Glovers Reef Atoll",2006,4.27
"BLZ","SHORT","Glovers Reef Atoll",2008,20.42
"BLZ","SHORT","Glovers Reef Atoll",2009,17.69
"BLZ","SHORT","Lighthouse Atoll / Blue Hole",2006,9.28
"BLZ","SHORT","Lighthouse Atoll / Blue Hole",2007,5.54
"BLZ","SHORT","Lighthouse Atoll / Blue Hole",2008,11.89
"BLZ","SHORT","Lighthouse Atoll / Blue Hole",2009,13.55
"BLZ","SHORT","Lighthouse Atoll / Half Moon Caye",2006,7.39
"BLZ","SHORT","Lighthouse Atoll / Half Moon Caye",2007,17.6
"BLZ","SHORT","Lighthouse Atoll / Half Moon Caye",2008,16.67
"BLZ","SHORT","Lighthouse Atoll / Half Moon Caye",2009,22.81
"BLZ","SHORT","Placencia Village, Placencia",2003,46.37
"BLZ","SHORT","Placencia Village, Placencia",2004,34.77
"BLZ","SHORT","Placencia Village, Placencia",2005,14.62
"BLZ","SHORT","Placencia Village, Placencia",2006,40.62
"BLZ","SHORT","Placencia Village, Placencia",2007,42.74
"BLZ","SHORT","Placencia Village, Placencia",2008,38.34
"BLZ","SHORT","Placencia Village, Placencia",2009,38.67
"BLZ","SHORT","Placencia Village, Placencia",2010,44.03
"BLZ","SHORT","Punta Gorda / East Snake Caye",2007,18.36
"BLZ","SHORT","Punta Gorda / East Snake Caye",2008,18.53
"BLZ","SHORT","Punta Gorda / East Snake Caye",2009,21.34
"BLZ","SHORT","Punta Gorda / East Snake Caye",2010,19.78
"BLZ","SHORT","Joe Taylor Beach, Punta Gorda",2005,39.03
"BLZ","SHORT","Joe Taylor Beach, Punta Gorda",2007,31.17
"BLZ","SHORT","Joe Taylor Beach, Punta Gorda",2008,36.58
"BLZ","SHORT","Joe Taylor Beach, Punta Gorda",2009,41.43
"BLZ","SHORT","Joe Taylor Beach, Punta Gorda",2010,20.53
"BLZ","SHORT","Bugle Caye, Placencia",2003,21.66
"BLZ","SHORT","Bugle Caye, Placencia",2004,19.84
"BLZ","SHORT","Bugle Caye, Placencia",2005,27.14
"BLZ","SHORT","Bugle Caye, Placencia",2006,22.72
"BLZ","SHORT","Bugle Caye, Placencia",2007,21.94
"BLZ","SHORT","Bugle Caye, Placencia",2008,31.76
"BLZ","SHORT","Bugle Caye, Placencia",2009,31.92
"BLZ","SHORT","Bugle Caye, Placencia",2010,32.77
"BLZ","SHORT","Blackbird Caye, Turneffe",2005,36.94
"BLZ","SHORT","Blackbird Caye, Turneffe",2006,28.55
"BLZ","SHORT","Blackbird Caye, Turneffe",2007,29.24
"BLZ","SHORT","Blackbird Caye, Turneffe",2008,31.23
"BLZ","SHORT","Blackbird Caye, Turneffe",2009,29.14
"BLZ","SHORT","Blackbird Caye, Turneffe",2010,28.46
"BLZ","SHORT","Blackbird Caye, Turneffe",2011,29.92
"BLZ","SHORT","Calabash Caye, Turneffe",2005,35.1
"BLZ","SHORT","Calabash Caye, Turneffe",2006,27.49
"BLZ","SHORT","Calabash Caye, Turneffe",2007,28.14
"BLZ","SHORT","Calabash Caye, Turneffe",2008,35.11
"BLZ","SHORT","Calabash Caye, Turneffe",2009,28.5
"BLZ","SHORT","Calabash Caye, Turneffe",2010,24.09
"BLZ","SHORT","Calabash Caye, Turneffe",2011,26.27
"BEN",,,,
"BMU","WAYCOTT","Bermuda Platform",1997,2100
"BMU","WAYCOTT","Bermuda Platform",2004,1625
"BTN",,,,
"BOL",,,,
"BES","OTHER","Bonaire",2003,200
"BIH",,,,
"BWA",,,,
"BRA","OTHER","Brazil",2003,20000
"BRA","SHORT","Santa Barbara, Abrolhos",2002,13.51
"BRA","SHORT","Santa Barbara, Abrolhos",2003,18.19
"BRA","SHORT","Santa Barbara, Abrolhos",2004,6.81
"BRA","SHORT","Santa Barbara, Abrolhos",2005,6.96
"BRA","SHORT","Tamandare, Pernambuco",2002,22.69
"BRA","SHORT","Tamandare, Pernambuco",2003,30.02
"BRA","SHORT","Tamandare, Pernambuco",2004,20.53
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2002,19.96
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2003,22.4
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2004,16.38
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2005,10.73
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2006,23.55
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2007,25.03
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2008,24.08
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2009,23.7
"BRA","SHORT","Cabo Frio, Rio de Janeiro",2010,14.71
"VGB",,,,
"BRN",,,,
"BGR",,,,
"BFA",,,,
"BDI",,,,
"KHM",,,,
"CMR",,,,
"CAN",,,,
"CPV",,,,
"CYM","OTHER","Grand Cayman",2003,2500
"CYM","WAYCOTT","South Sound, Grand Cayman",1971,121.36
"CYM","WAYCOTT","South Sound, Grand Cayman",1992,175.36
"CAF",,,,
"TCD",,,,
"CHL","OTHER","Chile",2003,200
"CHN","SHORT","Zhulin Bay / Bei Hai",2008,12.53
"CHN","SHORT","Zhulin Bay / Bei Hai",2009,4.55
"CHN","SHORT","Zhulin Bay / Bei Hai",2010,3.2
"CHN","SHORT","Zhulin Bay / Bei Hai",2011,6.27
"HKG",,,,
"MAC",,,,
"COL","WAYCOTT","Cartegena Bay",1945,834.34
"COL","WAYCOTT","Cartegena Bay",1956,253.5
"COL","WAYCOTT","Cartegena Bay",1972,150.09
"COL","WAYCOTT","Cartegena Bay",1991,93.8
"COL","WAYCOTT","Cartegena Bay",2001,76
"COL","SHORT","Bahia de Chengue",2009,42.72
"COL","SHORT","Cartagena / Mangle Is.,San Bernardo NP",2010,10.4
"COL","SHORT","Cartagena / Mangle Is.,San Bernardo NP",2011,22.94
"COL","SHORT","Cartagena / Rosario Island, Rosario NP",2009,43.6
"COL","SHORT","Cartagena / Rosario Island, Rosario NP",2010,12.53
"COL","SHORT","Cartagena / Rosario Island, Rosario NP",2011,46.65
"COL","SHORT","Tayrona National Park",2008,77.79
"COL","SHORT","Tayrona National Park",2009,63.29
"COM",,,,
"COG",,,,
"COK",,,,
"CRI","OTHER","Costa Rica",2003,20
"CIV",,,,
"HRV","SHORT","Zadar / Novigradsko More",2009,0
"HRV","SHORT","Zadar / Novigradsko More",2010,13.76
"HRV","SHORT","Zadar / Novigradsko More",2011,10.25
"CUB","OTHER","Gulf of Mexico coast",1973,274000
"CUW","OTHER","CuraÂao",2003,800
"CYP",,,,
"CZE",,,,
"PRK",,,,
"COD",,,,
"DNK","OTHER","Denmark",1900,672600
"DNK","OTHER","Denmark",1941,47000
"DNK","OTHER","Denmark",2003,168100
"DNK","WAYCOTT","Holmstange",1945,0.3601
"DNK","WAYCOTT","Holmstange",1954,1.1287
"DNK","WAYCOTT","Holmstange",1959,9.718
"DNK","WAYCOTT","Holmstange",1974,10.098
"DNK","WAYCOTT","Holmstange",1981,7.4888
"DNK","WAYCOTT","Holmstange",1986,4.2047
"DNK","WAYCOTT","Holmstange",1992,13.8553
"DNK","WAYCOTT","Holmstange",1995,16.3639
"DNK","WAYCOTT","Boddum Vig",1954,3.0671
"DNK","WAYCOTT","Boddum Vig",1958,5.0023
"DNK","WAYCOTT","Boddum Vig",1975,11.7847
"DNK","WAYCOTT","Boddum Vig",1981,6.7616
"DNK","WAYCOTT","Boddum Vig",1986,9.3079
"DNK","WAYCOTT","Boddum Vig",1992,28.5837
"DNK","WAYCOTT","Boddum Vig",1995,20.5012
"DNK","WAYCOTT","Boddum Vig",1998,17.0408
"DNK","WAYCOTT","Vejie",1954,1.2873
"DNK","WAYCOTT","Vejie",1960,1.6972
"DNK","WAYCOTT","Vejie",1970,4.9942
"DNK","WAYCOTT","Vejie",1977,5.2349
"DNK","WAYCOTT","Vejie",1983,5.1017
"DNK","WAYCOTT","Vejie",1995,3.2058
"DNK","WAYCOTT","Vejie",1999,4.9388
"DNK","WAYCOTT","Amager",1954,138.6405
"DNK","WAYCOTT","Amager",1967,156.8419
"DNK","WAYCOTT","Amager",1974,71.6146
"DNK","WAYCOTT","Amager",1980,117.2306
"DNK","WAYCOTT","Amager",1984,108.0853
"DNK","WAYCOTT","Amager",1989,138.4917
"DNK","WAYCOTT","Amager",1995,92.8247
"DNK","WAYCOTT","Samso",1954,147.3958
"DNK","WAYCOTT","Samso",1969,119.3412
"DNK","WAYCOTT","Samso",1975,115.4546
"DNK","WAYCOTT","Samso",1979,30.3404
"DNK","WAYCOTT","Samso",1983,141.4856
"DNK","WAYCOTT","Samso",1988,146.2929
"DNK","WAYCOTT","Samso",1993,67.1163
"DNK","WAYCOTT","Samso",1994,76.7664
"DNK","WAYCOTT","Samso",1995,81.5897
"DNK","WAYCOTT","Samso",1999,87.3645
"DJI",,,,
"DMA",,,,
"DOM",,,,
"ECU",,,,
"EGY",,,,
"SLV",,,,
"GNQ",,,,
"ERI",,,,
"EST",,,,
"ETH",,,,
"FRO",,,,
"FLK",,,,
"FJI",,,,
"FJI","SHORT","Nukubuco Reef, Suva",2001,36.63
"FJI","SHORT","Nukubuco Reef, Suva",2002,39.58
"FJI","SHORT","Nukubuco Reef, Suva",2003,17.65
"FIN",,,,
"FRA","OTHER","France",2003,11500
"FRA","WAYCOTT","Vaccares Lagoon",1993,4721.61
"FRA","WAYCOTT","Vaccares Lagoon",1997,3851.47
"FRA","WAYCOTT","Vaccares Lagoon",1995,3826.11
"FRA","WAYCOTT","Vaccares Lagoon",1996,3541.93
"FRA","WAYCOTT","Vaccares Lagoon",1997,96.85
"FRA","WAYCOTT","Vaccares Lagoon",1998,1583.78
"FRA","WAYCOTT","Vaccares Lagoon",1999,1599.23
"FRA","WAYCOTT","Vaccares Lagoon",2000,2963.57
"FRA","WAYCOTT","Vaccares Lagoon",2001,4109.8
"FRA","WAYCOTT","Vaccares Lagoon",2002,3975.45
"FRA","WAYCOTT","Vaccares Lagoon",2003,3909.16
"FRA","WAYCOTT","Marseilles",1984,0.67
"FRA","WAYCOTT","Marseilles",1987,0.63
"FRA","WAYCOTT","Marseilles",1991,0.68
"FRA","WAYCOTT","Marseilles",1994,0.7
"FRA","WAYCOTT","Marseilles",1999,0.81
"FRA","WAYCOTT","Vaccares Lagoon",1984,3000
"FRA","WAYCOTT","Vaccares Lagoon",1994,4300
"FRA","WAYCOTT","Urbinu Lagoon",1990,137.2597
"FRA","WAYCOTT","Urbinu Lagoon",1994,106.1578
"FRA","WAYCOTT","Urbinu Lagoon",1996,161.6553
"FRA","WAYCOTT","Urbinu Lagoon",1999,145.8419
"FRA","WAYCOTT","Glenan Archipelago",1932,278.8
"FRA","WAYCOTT","Glenan Archipelago",1952,128.3
"FRA","WAYCOTT","Glenan Archipelago",1961,168.4
"FRA","WAYCOTT","Glenan Archipelago",1967,175.3
"FRA","WAYCOTT","Glenan Archipelago",1969,161.2
"FRA","WAYCOTT","Glenan Archipelago",1976,170.3
"FRA","WAYCOTT","Glenan Archipelago",1978,154.9
"FRA","WAYCOTT","Glenan Archipelago",1982,145.9
"FRA","WAYCOTT","Glenan Archipelago",1987,115.8
"FRA","WAYCOTT","Glenan Archipelago",1990,154.6
"FRA","WAYCOTT","Mourillion",1964,147
"FRA","WAYCOTT","Mourillion",1979,78
"FRA","WAYCOTT","Marseille",1900,471
"FRA","WAYCOTT","Marseille",1994,263
"FRA","WAYCOTT","Glenan Archipelago",1990,250
"FRA","WAYCOTT","Glenan Archipelago",2000,400
"FRA","SHORT","Corsica / Gulf of Calvi",2006,41.62
"FRA","SHORT","Corsica / Gulf of Calvi",2007,61.91
"GUF",,,,
"PYF",,,,
"GAB",,,,
"GMB",,,,
"GEO",,,,
"DEU","OTHER","Germany",2003,17000
"GHA",,,,
"GIB",,,,
"GRC",,,,
"GRL",,,,
"GRD",,,,
"GLP","OTHER","Guadeloupe",2003,8200
"GUM",,,,
"GTM",,,,
"GGY",,,,
"GIN",,,,
"GNB",,,,
"GUY",,,,
"HTI",,,,
"VAT",,,,
"HND",,,,
"HUN",,,,
"ISL",,,,
"IND","OTHER","India",2003,3900
"IND","OTHER","India",1998,8550
"IDN","OTHER","Indonesia",2003,3e+06
"IDN","OTHER","Indonesia",1993,3e+06
"IDN","SHORT","Java/ Kepuh Island, Banten Bay",2008,18.22
"IDN","SHORT","Java/ Kepuh Island, Banten Bay",2009,15.12
"IDN","SHORT","Java/ Kepuh Island, Banten Bay",2010,12.61
"IDN","SHORT","Java/ Lima Island, Banten Bay",2008,7.14
"IDN","SHORT","Java/ Lima Island, Banten Bay",2009,4.94
"IDN","SHORT","Java/ Lima Island, Banten Bay",2010,5.34
"IDN","SHORT","Papagaran, Komodo",2002,29.2
"IDN","SHORT","Papagaran, Komodo",2003,17.5
"IDN","SHORT","Seraya Kecil, Komodo",2002,9.41
"IDN","SHORT","Seraya Kecil, Komodo",2003,8.37
"IDN","SHORT","Seraya Kecil, Komodo",2005,5.31
"IDN","SHORT","Blongko, North Sulawesi",2004,14.19
"IDN","SHORT","Blongko, North Sulawesi",2006,14.59
"IRN",,,,
"IRQ",,,,
"IRL",,,,
"IMN",,,,
"ISR","SHORT","Eilat / Marine Lab",2007,18.84
"ISR","SHORT","Eilat / Marine Lab",2008,22.98
"ITA","OTHER","Italy",2003,23500
"JAM",,,,
"JPN","OTHER","Japan",1978,51500
"JPN","OTHER","Japan",1991,49500
"JPN","WAYCOTT","Japan",1978,51500
"JPN","WAYCOTT","Japan",1991,49500
"JEY",,,,
"JOR",,,,
"KAZ",,,,
"KEN","OTHER","KENYA",2003,3363
"KEN","SHORT","Kenya / Nyali Beach",2006,44.13
"KIR",,,,
"KWT",,,,
"KGZ",,,,
"LAO",,,,
"LVA",,,,
"LBN",,,,
"LSO",,,,
"LBR",,,,
"LBY",,,,
"LIE",,,,
"LTU",,,,
"LUX",,,,
"MDG","SHORT","Andavadoaka / Antsaranasoa",2008,17.07
"MDG","SHORT","Andavadoaka / Antsaranasoa",2009,12.3
"MDG","SHORT","Andavadoaka / Nosy Fasy",2008,24.16
"MDG","SHORT","Bay of Randobe/ Ifaty, Dune Hotel",2007,35.07
"MDG","SHORT","Bay of Randobe/ Ifaty, Dune Hotel",2008,27.2
"MDG","SHORT","Bay of Randobe/ Ifaty, Dune Hotel",2010,23.77
"MDG","SHORT","Bay of Randobe/ Ifaty, Reef Doctor",2007,12.03
"MDG","SHORT","Bay of Randobe/ Ifaty, Reef Doctor",2008,11.86
"MDG","SHORT","Bay of Randobe/ Ifaty, Reef Doctor",2010,10.04
"MWI",,,,
"MYS","OTHER","Malaysia",2003,300
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2001,26.53
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2002,15.25
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2003,21
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2004,11.29
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2005,3.13
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2006,2.01
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2007,11.2
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2008,11.43
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2009,12.86
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2010,9.21
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2001,2.54
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2002,3.16
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2003,3.25
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2004,3.39
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2005,0.19
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2006,0.32
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2007,0.74
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2008,3.69
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2009,3.79
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2010,0.64
"MDV",,,,
"MLI",,,,
"MLT",,,,
"MHL",,,,
"MTQ","OTHER","Martinique",2003,4100
"MRT",,,,
"MUS",,,,
"MYT",,,,
"MEX","OTHER","Mexico",2003,50000
"MEX","WAYCOTT","Bahia San Quintin",1987,2390
"MEX","WAYCOTT","Bahia San Quintin",2000,2069
"MEX","SHORT","San Quintin Bay",2004,54.73
"MEX","SHORT","San Quintin Bay",2005,28.76
"FSM","OTHER","Micronesia",2003,400
"FSM","SHORT","Pohnpei / Sapwitik",2007,31.83
"FSM","SHORT","Yap/Nimpal",2009,10.2
"FSM","SHORT","Yap/Nimpal",2010,14.42
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2001,23.35
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2002,20.58
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2003,21.68
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2004,19.93
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2005,22.15
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2006,19.53
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2007,21.63
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2008,25.27
