Number of people engaged in,,,Year,,,,,,,
Country,Working domain,Status,2005,2006,2007,2008,2009,2010,2011,2012
,,Part time,"2,100,000","2,248,300","2,248,300","2,248,300","2,248,300","2,248,300","2,248,300","2,248,300"
,,Occasional,"110,000","123,200","123,200","123,200","123,200","123,200","123,200","123,200"
,Inland Waters Fishing,Full time,"676,000","676,000","676,000","676,000","676,000","676,000","676,000","676,000"
,,Part time,"327,500","327,500","327,500","327,500","327,500","327,500","327,500","327,500"
,,Occasional,"192,500","192,500","192,500","192,500","192,500","192,500","192,500","192,500"
,Marine Waters Fishing,Full time,"22,090","22,090","22,090","22,090","22,090","157,432","157,432","157,432"
,,Part time,"11,189","11,189","11,189","11,189","11,189","91,579","91,579","91,579"
,,Occasional,"91,201","91,201","91,201","91,201","91,201","61,053","61,053","61,053"
Barbados,Marine Waters Fishing,Full time,"2,005",,,,,"2,005",,
,,Part time,800,,,,,800,,
,,Occasional,200,,,,,200,,
Belarus,Aquaculture,Full time,"1,500",,,,,"1,570","1,690","1,900"
,,Part time,,,,,,,120,130
,,Occasional,"1,100",,,,,"1,200",890,200
,Inland Waters Fishing,Full time,50,,,,,50,78,82
,,Part time,170,,,,,178,93,178
,,Occasional,,,,,,,84,297
Belgium,Aquaculture,Status Unspecified,143,143,143,143,143,143,143,
,Marine Waters Fishing,Full time,571,152,158,136,144,125,107,122
,,Part time,,220,219,249,261,290,312,309
,,Occasional,289,317,313,350,195,199,168,179
Belize,Marine Waters Fishing,Full time,"2,026","2,131","2,110","2,267","2,759","2,472","2,582","2,759"
Benin,Aquaculture,Status Unspecified,,,,,"1,188","1,358","1,358","1,358"
,Inland Waters Fishing,Full time,"31,054","31,054","24,097","17,443","17,443","17,443","17,443","17,443"
,,Part time,"1,518","1,518",759,,,,,
,,Occasional,"2,130","2,130","1,065",,,,,
,,Status Unspecified,"22,174","22,174","3,638","13,551","13,551","13,551","13,551","13,551"
,Marine Waters Fishing,Full time,"4,345","4,345","4,345","4,345","5,080","5,080","5,080","5,080"
Bermuda,Marine Waters Fishing,Full time,75,81,87,85,110,121,121,121
,,Part time,114,85,83,64,73,57,58,100
,,Occasional,111,157,157,157,123,127,126,135
Bhutan,Inland Waters Fishing,Status Unspecified,455,,,,,460,,
Bolivia (Plurinat.State),Aquaculture,Full time,"2,468","2,468","2,468","4,199","5,500","5,800","6,050","6,210"
,Inland Waters Fishing,Full time,"4,041","4,030","4,020","4,060","6,890","6,900","7,028","6,231"
,,Part time,961,"1,011",945,,,,,
,,Occasional,,,,"4,240","4,350","4,400","4,452","4,675"
,Subsistence,Occasional,"19,395","19,367","19,380",,,,,
Bosnia and Herzegovina,Aquaculture,Full time,,,,,,,392,407
Botswana,Inland Waters Fishing,Full time,50,50,,,,50,,
,,Part time,280,280,,,,280,,
,,Occasional,"2,920","2,920",,,,"2,950",,
Brazil,Inland Waters Fishing,Full time,"220,000",,"250,527","273,000","300,291","306,474","315,596",
,Marine Waters Fishing,Full time,"423,000",,"443,176","481,000","532,912","546,755","560,073",
British Virgin Islands,Marine Waters Fishing,Full time,50,,,,,50,,
,,Part time,75,,,,,75,,
Brunei Darussalam,Aquaculture,Full time,27,28,33,28,30,30,30,
,Inland Waters Fishing,Full time,20,20,20,20,20,20,20,
,Marine Waters Fishing,Full time,229,252,275,384,402,341,340,
,Unspecified,Full time,"1,125","1,273","1,622","1,379","1,025","1,028","1,030",
,,Occasional,"2,723","2,538","3,591","3,630","2,601","2,488","2,490",
Bulgaria,Aquaculture,Full time,,,,,,404,436,
,,Part time,,,,,,53,66,
,Inland Waters Fishing,Full time,,,,,,"1,500","1,500",
,Marine Waters Fishing,Full time,,,,,,"3,400","3,400",
,Unspecified,Full time,,,,,,55,40,
,,Part time,,,,,,8,23,
Burkina Faso,Aquaculture,Part time,,,,,,,230,230
,,Occasional,,,,,,,560,560
,Inland Waters Fishing,Full time,"2,000","2,000","2,000","10,145","10,145","10,145","9,156","9,156"
,,Part time,"4,500","4,500","4,500",,,,"19,946","19,946"
,,Occasional,"2,000","2,000","2,000","22,554","22,554","22,554","3,597","3,597"
Cambodia,Aquaculture,Full time,"28,650","22,094","27,149","45,693","60,870",,,
,,Status Unspecified,,,,,,"80,247","195,684",
,Inland Waters Fishing,Status Unspecified,,,,,,"632,483","578,468",
,Unspecified,Status Unspecified,"97,238","118,489","122,253","105,686","138,169","41,480","78,801",
Cameroon,Inland Waters Fishing,Status Unspecified,,,,,"3,500",,,
,Marine Waters Fishing,Status Unspecified,,,,,"25,330",,,
Canada,Aquaculture,Status Unspecified,"3,920","4,105","3,550","3,435","3,584",,,
,Inland Waters Fishing,Status Unspecified,"5,429","4,985","5,353","3,404","5,063",,,
,Marine Waters Fishing,Status Unspecified,"47,393","46,692","48,493","47,071","45,857",,,
Cape Verde,Marine Waters Fishing,Full time,"4,817","4,817","4,817","4,840","4,850","4,870","4,809",
Central African Republic,Aquaculture,Full time,,,,,,"2,380","2,745","3,111"
,Inland Waters Fishing,Full time,,,,,,"12,427","12,427","10,371"
,,Part time,,,,,,"51,076","51,076","42,624"
,,Occasional,,,,,,"35,000","35,000","29,208"
Chad,Aquaculture,Full time,,,,,,,,16
,,Part time,,,,,,,,4
,,Occasional,,,,,,,,63
,Inland Waters Fishing,Full time,,,"40,000","50,000","50,000","60,000","75,000","75,000"
,,Part time,,,"130,000","100,000","100,000","120,000","140,000","140,000"
,,Occasional,,,"190,000","200,000","220,000","200,000","220,000","220,000"
Chile,Aquaculture,Full time,"15,500","16,700","17,849","18,056","39,851",708,"1,246",884
,,Part time,"3,500","2,500","1,500","1,572","9,404",,,
,,Occasional,"1,600","1,500","1,000","1,149","1,200",300,495,411
,Marine Waters Fishing,Full time,"57,013","60,539","65,596","70,767","75,861","81,157","85,268","88,893"
China,Aquaculture,Full time,"4,513,616","4,502,790","4,914,981","5,039,559","4,960,772","4,978,969","5,290,016",
,Inland Waters Fishing,Full time,,,"709,721","746,277","740,568","720,565","744,730",
,,Part time,,,"4,788,128","4,045,324","4,159,719","4,171,678","4,243,403",
,,Occasional,,,,"887,356","952,138","1,011,093","985,536",
,Marine Waters Fishing,Full time,"1,774,149","1,747,250","1,074,398","1,073,879","1,071,080","1,066,329","1,032,175",
,,Part time,,,"827,056","807,732","806,417","771,146","862,055",
,,Occasional,,,,"328,487","351,530","397,106","510,143",
,Unspecified,Full time,"812,321","804,910","854,329","1,065,609","805,047","875,256","916,946",
,,Part time,"5,802,691","5,539,704",,,,,,
"China, Hong Kong SAR",Aquaculture,Status Unspecified,"3,169","3,155","3,094","2,991","3,124","3,244","3,286","3,314"
,Marine Waters Fishing,Status Unspecified,"17,101","15,721","15,082","13,814","13,790","14,629","15,473","14,950"
"China, Taiwan Prov.",Aquaculture,Full time,"103,062","106,116","118,792","101,168","117,704","109,744","56,898",
,,Part time,"107,184","99,790","78,162","65,970","66,432","57,300","29,730",
,Inland Waters Fishing,Full time,"2,932","6,008","2,518","3,050","3,152","2,974","2,787",
,,Part time,"13,376","8,466","12,356","10,484","11,218","12,524","10,238",
,Marine Waters Fishing,Full time,"354,802","339,070","374,114","402,704","394,234","385,118","189,471",
,,Part time,"122,050","131,154","86,422","99,544","96,550","92,702","47,933",
Colombia,Aquaculture,Full time,,,,,,"30,436",,
Comoros,Marine Waters Fishing,Full time,"5,300",,,"7,804","7,804","7,804","7,804","7,804"
,,Part time,"2,250",,,"1,391","1,391","1,391","1,391","1,391"
,Subsistence,Full time,,,,"1,190","1,190","1,190","1,190","1,190"
"Congo, Dem. Rep. of the",Aquaculture,Status Unspecified,,,,"28,094","28,100","28,100","28,100",
,Inland Waters Fishing,Full time,"97,462","100,130",,,,,,
,,Part time,"21,082","20,443",,,,,,
,,Occasional,"6,315","6,653",,,,,,
,,Status Unspecified,"7,287","21,793",,,,,,
,Marine Waters Fishing,Full time,"3,612","3,545",,,,,,
,,Part time,989,"1,026",,,,,,
,,Occasional,18,19,,,,,,
Cook Islands,Aquaculture,Full time,,2,,,,,,
,,Part time,,1,,,,,,
,,Occasional,,1,,,,,,
,Marine Waters Fishing,Full time,,20,,,,,,
,,Part time,,5,,,,,,
C™te d'Ivoire,Aquaculture,Full time,,,,,120,120,,
,,Part time,,,,,25,25,,
,,Occasional,,,,,13,13,,
,,Status Unspecified,,,,,50,50,,
,Inland Waters Fishing,Full time,,,,,"2,350","2,350",,
,,Part time,,,,,520,520,,
,,Occasional,,,,,150,150,,
,,Status Unspecified,,,,,430,430,,
,Marine Waters Fishing,Full time,,,,,"5,525","5,525",,
,,Part time,,,,,"1,250","1,250",,
,,Occasional,,,,,580,580,,
,,Status Unspecified,,,,,645,645,,
Croatia,Aquaculture,Full time,,,,,650,"1,050","2,170","2,302"
,,Part time,,,,,150,200,572,526
,Inland Waters Fishing,Full time,365,347,335,351,356,38,33,37
,Marine Waters Fishing,Full time,"3,720","3,740","3,740","3,740","3,886","3,886","6,340","6,377"
,,Occasional,"13,180","13,050","13,100","13,150","11,524","11,524","11,524","11,036"
Cuba,Aquaculture,Full time,"3,270","3,099","3,116","3,435","3,873","3,873","3,873","3,564"
,,Part time,162,,,,,,,
,Marine Waters Fishing,Full time,"5,457","6,680","6,747","4,948","3,944","3,944","3,855","4,115"
Cyprus,Aquaculture,Full time,185,201,219,297,164,217,248,264
,,Part time,18,40,43,68,78,11,12,15
,Marine Waters Fishing,Full time,"1,178",501,503,540,582,561,558,653
,,Part time,,346,374,447,250,356,307,206
,,Occasional,,,,251,387,380,441,402
Czech Republic,Aquaculture,Full time,"1,452","1,474","1,349",,,,,
,,Part time,64,19,18,,,,,
,,Status Unspecified,137,28,12,,,,,
,Unspecified,Status Unspecified,,,,"1,366",,,,
Denmark,Aquaculture,Full time,514,487,479,427,381,373,,
,,Part time,57,66,68,70,62,57,,
,Marine Waters Fishing,Full time,"2,955","2,612","2,331","1,828","1,673","1,606",,
,,Part time,286,285,242,393,387,406,,
Djibouti,Inland Waters Fishing,Full time,,,604,,,,,
,,Part time,,,500,,,,,
,,Occasional,,,100,,,,,
Dominica,Marine Waters Fishing,Full time,525,543,585,620,625,585,544,553
,,Part time,778,793,837,856,856,834,656,738
,,Status Unspecified,123,122,123,122,123,122,,92
Dominican Republic,Inland Waters Fishing,Full time,"2,004",,,,,,,
,,Part time,261,,,,,,,
,,Occasional,240,,,,,,,
,Marine Waters Fishing,Full time,"6,719",,,,,,,
,,Part time,"1,008",,,,,,,
,,Occasional,672,,,,,,,
Ecuador,Aquaculture,Full time,"26,000","26,000",,,,,,
,,Part time,"77,000","77,000",,,,,,
,Inland Waters Fishing,Full time,,,,,"3,324","3,324","3,324","2,458"
,,Part time,,,50,,,,,
,,Occasional,,,950,,,,,
,Marine Waters Fishing,Full time,"56,969","57,299","22,492",,"82,447","126,081","126,081","145,720"
,,Part time,,,150,,,,,
,,Occasional,,,150,,,,,
Egypt,Unspecified,Status Unspecified,,,,,"96,037","94,580",,
El Salvador,Aquaculture,Full time,255,564,588,720,,,,
,,Part time,102,897,938,999,,,,
,,Occasional,153,,,,,,,
,Inland Waters Fishing,Full time,"4,195","4,195","4,318","4,541",,,,
,,Part time,"3,123","3,123","3,217","3,249",,,,
,,Occasional,"2,442","2,442","2,492","2,509",,,,
,Marine Waters Fishing,Full time,"5,603","5,566","5,712","6,574",,,,
,,Part time,"4,224","4,224","4,321","4,460",,,,
,,Occasional,"6,475","6,340","6,482","6,542",,,,
,Unspecified,Status Unspecified,,,,,"27,600","27,601","27,601",
Equatorial Guinea,Aquaculture,Part time,,,43,40,40,,,
,Inland Waters Fishing,Part time,,,22,30,30,,,
,Marine Waters Fishing,Full time,,,,40,35,,,
,,Part time,,"3,000","3,000","1,000","2,000",,,
,,Occasional,,,,40,30,,,
,Subsistence,Part time,,,,"1,000","1,000",,,
Estonia,Aquaculture,Full time,70,95,90,96,118,89,,84
,Inland Waters Fishing,Full time,697,963,701,596,675,771,576,551
,Marine Waters Fishing,Full time,"2,281","1,909","2,244","2,022","2,137","2,206","2,003","2,043"
,,Part time,,"1,138","1,236","1,170",,,,243
,Unspecified,Status Unspecified,"50,000","50,000","50,000","50,000","52,841","52,000","59,000","306,000"
Ethiopia,Aquaculture,Part time,49,59,69,150,150,150,,
,,Status Unspecified,,,,,,,819,869
,Inland Waters Fishing,Full time,"4,857","5,543","4,052","3,852","3,884","7,339","10,103","11,506"
,,Part time,"8,421","8,439","7,690","7,017","7,017","9,166","8,225","8,502"
,,Occasional,992,"2,429","1,457",850,"1,468","2,003","2,397","2,294"
,,Status Unspecified,,,,,,,,432
Falkland Is.(Malvinas),Aquaculture,Full time,3,4,10,2,1,1,,
,,Part time,1,,,,,2,1,1
,Marine Waters Fishing,Full time,858,873,869,760,767,793,793,787
,,Part time,,2,,,,,,
Faroe Islands,Aquaculture,Status Unspecified,,,,,,645,665,
,Marine Waters Fishing,Status Unspecified,,,,,,"1,769","1,642",
Fiji Islands,Aquaculture,Full time,,,,,,265,282,
,Marine Waters Fishing,Full time,"1,372","1,353","1,450","1,345","1,673","3,101","3,067",
Finland,Aquaculture,Full time,630,493,601,535,454,503,492,515
,,Part time,881,770,829,750,703,753,767,724
,Inland Waters Fishing,Full time,300,300,300,220,220,216,216,216
,,Part time,540,350,350,101,101,123,123,123
,Marine Waters Fishing,Full time,752,679,668,667,603,604,537,535
,,Part time,"1,471","1,443","1,391","1,412","1,474","1,591","1,662","1,620"
France,Aquaculture,Full time,"9,280","8,818",,,,"9,470","8,911","8,911"
,,Part time,"10,907","11,702",,,,"2,429","2,426","2,426"
,,Occasional,,,,,,"8,795","8,160","8,160"
,Marine Waters Fishing,Full time,,,"9,485",,"6,468","8,391","8,300","8,300"
,,Part time,,,"4,311",,"5,379","3,683","3,579","3,579"
,,Occasional,,,"2,818",,"2,897","2,383","2,394","2,394"
French Guiana,Marine Waters Fishing,Full time,27,29,20,26,10,13,15,
,,Part time,41,360,168,310,272,285,261,
,,Occasional,31,155,117,142,185,126,128,
French Polynesia,Aquaculture,Full time,60,60,15,15,15,15,15,18
,,Part time,,,1,1,1,1,1,8
,Inland Waters Fishing,Status Unspecified,200,200,200,,,200,200,
,Marine Waters Fishing,Full time,"2,309","2,133","2,198","2,194","2,227","2,391","3,741",
,,Part time,"1,100","1,980","2,065","2,260","2,410","2,510","2,301",
,,Occasional,"1,600","6,100","6,100","6,100","6,100","6,100","6,100",
Gabon,Inland Waters Fishing,Part time,"3,500","3,500","3,500",,,,,
,Marine Waters Fishing,Full time,"4,515","3,611","2,671",,,,,
,,Part time,452,329,206,,,,,
,,Occasional,369,247,125,,,,,
,,Status Unspecified,,3,3,,,,,
Gambia,Inland Waters Fishing,Full time,,"1,456","1,456",,,,,628
,,Part time,,"1,415","1,415",,,,,366
,Marine Waters Fishing,Full time,,"2,622","2,622",,,,,"3,427"
,,Part time,,531,531,,,,,322
,Subsistence,Full time,,,,,,,,321
,,Part time,,,,,,,,115
Georgia,Unspecified,Status Unspecified,"5,444","4,665","3,970",,,,,
Germany,Aquaculture,Status Unspecified,,,,,,,7,
,Marine Waters Fishing,Status Unspecified,"3,727","3,516","3,275","3,174","3,048","2,889","2,684",
Ghana,Aquaculture,Part time,,,,,,"3,580",,
Greece,Aquaculture,Full time,"4,315","4,420","4,558","4,584","4,130","3,825",,
,,Part time,519,503,377,373,439,428,,
,Marine Waters Fishing,Full time,"13,411","12,689","12,680","12,380","11,902","11,795",,
,,Part time,515,510,463,329,306,366,,
Greenland,Marine Waters Fishing,Full time,"1,403","1,442","1,264",,"1,111",,,
Grenada,Marine Waters Fishing,Full time,"2,150","2,150","2,200","2,270","2,400","2,425","2,465",
,,Part time,200,200,230,250,270,290,300,
,,Occasional,50,50,70,80,90,90,95,
Guadeloupe,Marine Waters Fishing,Full time,819,777,835,834,810,880,892,834
,,Part time,208,206,156,148,192,156,119,134
,,Occasional,82,117,88,76,72,45,54,51
Guam,Aquaculture,Full time,,2,2,2,2,,,
,,Part time,,,,,,,1,1
,Inland Waters Fishing,Full time,,2,2,2,2,,2,2
,,Part time,,,,,,,10,10
,,Occasional,,,,,,,15,15
,Marine Waters Fishing,Full time,,"1,011","1,501",748,748,502,591,532
,,Part time,,,,,,,50,50
,,Occasional,,178,170,,,,100,100
,Subsistence,Full time,,60,60,,,,170,170
,,Part time,,60,60,,,,,
Guatemala,Aquaculture,Status Unspecified,,,,300,300,"1,736","2,351",
,Inland Waters Fishing,Full time,,,,"2,195","2,195","2,050",,
,,Status Unspecified,,,,,,,"6,200",
,Marine Waters Fishing,Full time,,,,403,321,409,,
,,Status Unspecified,,,,,,,"12,908",
,Unspecified,Full time,,,,"8,100","8,100",,,
Guyana,Aquaculture,Part time,112,112,112,100,104,130,130,150
,,Occasional,20,20,20,20,21,20,20,50
,Inland Waters Fishing,Full time,400,400,400,350,300,300,300,300
,,Part time,"2,000","2,000","2,000","2,000","1,500","1,500","1,500","1,500"
,Marine Waters Fishing,Full time,"6,391","6,391","6,391","6,000","6,000","6,500","6,500","6,704"
,,Part time,,,,,,,,218
,,Occasional,,,,,,,,216
Haiti,Aquaculture,Status Unspecified,,,,,,,891,
,Marine Waters Fishing,Full time,,,,,,,"21,000",
,,Part time,,,,,,,"29,000",
Honduras,Aquaculture,Full time,,,,,,,,"31,228"
,Inland Waters Fishing,Status Unspecified,,,,"1,313",,,,
,Marine Waters Fishing,Full time,"1,200",,,,,,,"22,533"
,,Status Unspecified,,,"17,150","4,381",,,,
Hungary,Aquaculture,Full time,"1,404","1,188","1,253","1,215","1,148","1,112","1,349",
,,Part time,116,123,120,69,74,140,166,
,,Occasional,31,42,48,120,95,62,84,
,Inland Waters Fishing,Full time,390,390,390,252,387,323,"1,068",
,,Part time,"3,000","3,000","3,000","2,070","2,070",398,144,
,,Occasional,,,,,,153,34,
,,Status Unspecified,,,,,,986,"1,171",
Iceland,Marine Waters Fishing,Status Unspecified,"5,100","4,600","4,500","4,200","4,700","5,300","5,200","4,900"
India,Aquaculture,Full time,"319,238","112,303","317,625","183,441","713,652","303,926","357,395","171,738"
,,Part time,"1,606,384","135,847","675,500","137,070","160,226","247,488","282,256","181,687"
,,Occasional,"1,602,235","660,122","1,511,068","678,588","1,034,607","653,427","659,458","661,441"
,,Status Unspecified,"1,879,201","65,837","235,463","58,264","118,782","2,984,714","3,048,337","3,124,805"
,Inland Waters Fishing,Full time,"2,038,816","2,172,947","1,747,769","1,788,169","1,975,326","1,998,608","2,032,797","2,138,207"
,,Part time,"2,209,625","2,536,434","1,945,921","1,833,544","1,881,773","2,177,604","2,146,651","2,208,079"
,,Occasional,"1,967,839","1,754,835","1,590,961","1,551,892","1,622,975","1,672,316","1,744,563","1,715,753"
,,Status Unspecified,"2,276,021","3,086,101","1,887,864","1,862,709","2,033,753","1,926,915","281,320","265,431"
,Marine Waters Fishing,Full time,"338,465","229,727","297,662","254,280","216,272","987,399","1,036,069","1,160,029"
,,Part time,"167,385","340,068","303,472","363,107","316,001","352,936","407,393","489,317"
,,Occasional,"56,106","89,542","69,891","87,048","150,688","126,248","128,842","143,946"
,,Status Unspecified,"54,464","312,389","68,775","94,569","93,283","102,286","149,642","149,051"
,Subsistence,Full time,"69,528","80,285","97,120","4,935","83,827","47,859","134,015","150,531"
,,Part time,"27,593","28,470","33,839","3,039","23,307","19,050","47,281","68,304"
,,Occasional,"10,898","11,846","12,077","1,107","14,204","19,799","18,335","18,379"
,,Status Unspecified,"8,372","8,255","8,961","2,217","9,996","7,919","11,533","11,264"
,Unspecified,Full time,"2,635","3,975","55,701","86,454","12,882","123,209","209,948","211,364"
,,Part time,"1,323","1,606","9,247","33,870","7,591","42,973","20,523","19,597"
,,Occasional,"1,112","1,381","16,298","10,474","16,663","16,421","20,454","20,562"
,,Status Unspecified,"1,814","2,117","20,107","11,401","6,428","10,650","8,247","8,185"
Indonesia,Aquaculture,Status Unspecified,"2,506,614","2,275,307","2,357,063","2,586,462","2,493,193","3,351,448","3,343,934",
,Inland Waters Fishing,Full time,"200,928","174,738","193,729","184,852","174,050","167,253","180,376","226,010"
,,Part time,"217,604","219,069","229,099","213,420","204,296","193,668","209,959","246,420"
,,Occasional,"113,846","102,955","100,999","98,227","94,342","96,914","99,630","108,695"
,Marine Waters Fishing,Full time,"1,145,653","1,293,530","1,095,399","1,111,069","1,096,289","1,084,304","1,024,738","1,167,040"
,,Part time,"648,591","626,065","805,011","800,096","762,997","772,595","879,993","911,890"
,,Occasional,"263,742","283,817","331,557","328,902","309,993","305,543","360,482","371,155"
Iran (Islamic Rep. of),Aquaculture,Full time,"14,898","16,330","19,483","27,229","31,003","35,907","40,303","52,761"
,Inland Waters Fishing,Full time,"15,145","19,473","21,697","17,515","19,144","20,083","20,159","8,000"
,Marine Waters Fishing,Full time,"132,628","133,494","129,188","129,323","131,234","130,942","131,167","143,773"
Iraq,Inland Waters Fishing,Full time,23,"1,235",316,"2,000","4,482","4,000","6,700","7,600"
,,Part time,,,,500,,100,360,250
,,Occasional,,,,500,,200,400,
,,Status Unspecified,,,,"1,200",,500,"1,200","1,000"
,Marine Waters Fishing,Full time,"3,751","3,267","1,031","2,300","4,297","2,000","1,189","1,400"
Ireland,Aquaculture,Full time,731,"1,564",695,"1,580","1,228","1,262","1,218","1,322"
,,Part time,904,"2,252",486,"1,770",836,852,802,678
,,Occasional,,300,817,578,"1,840","1,318","1,374","1,411"
,,Status Unspecified,,,,"1,964","1,952","1,716","1,707","1,706"
,Inland Waters Fishing,Full time,"1,161","1,531","1,655","1,718","1,871","1,871","1,871","1,871"
,,Part time,697,895,967,"1,009","1,105","1,105","1,105","1,105"
,Marine Waters Fishing,Full time,"2,009","5,686","1,801","2,059","4,862","1,568","1,568","1,568"
,,Part time,41,"1,101",38,43,"1,098",35,35,35
,,Status Unspecified,"2,065",,,,,,,
Israel,Marine Waters Fishing,Status Unspecified,,,,,,,,"1,220"
,Unspecified,Status Unspecified,"1,503",,,,,,,20
Italy,Aquaculture,Full time,"3,000","3,000",,,"1,900","1,900","1,900",
,Inland Waters Fishing,Full time,500,192,,,192,192,192,
,Marine Waters Fishing,Full time,"32,174","30,351","30,214","29,349","28,967","28,982","28,724",
Jamaica,Aquaculture,Full time,500,,,,,300,,
,,Part time,600,,,,,400,,
,Marine Waters Fishing,Full time,"12,643","12,305","13,551","14,134","14,248","14,703",,
,,Part time,"3,279","3,344","3,470","3,890","3,946","4,090",,
,,Occasional,7,18,108,129,105,108,,
,,Status Unspecified,,,5,36,41,41,,
Japan,Aquaculture,Full time,,,,"37,451",,,,
,Marine Waters Fishing,Status Unspecified,"222,160","212,470","204,330","184,457","211,810","202,880","177,870",
,Unspecified,Status Unspecified,,,,,,,,"173,680"
Jordan,Aquaculture,Full time,40,45,45,50,50,53,55,
,,Part time,15,12,15,13,13,13,12,
,Inland Waters Fishing,Full time,176,176,176,150,150,150,150,
,,Part time,108,103,103,107,107,107,107,
,,Occasional,180,187,187,190,190,190,190,
,Marine Waters Fishing,Full time,57,57,57,57,57,44,50,
,,Part time,40,40,40,37,37,33,33,
,,Occasional,120,110,110,103,103,103,100,
Kazakhstan,Inland Waters Fishing,Full time,"17,300","17,000","14,993","17,290","14,499","7,117",,
,,Part time,,,"2,337","3,513","1,756",108,,
Kenya,Aquaculture,Full time,"9,357","4,420","4,420","4,641","4,641","18,623","20,485","51,015"
,,Part time,540,255,255,268,268,"1,075","1,183","2,946"
,,Occasional,141,67,67,70,70,281,309,770
,Inland Waters Fishing,Full time,"39,985","45,583","43,881","42,187","42,187","43,263","43,263","42,466"
,,Part time,"4,033","4,598","4,427","4,256","4,256","4,365","4,365","4,285"
,,Occasional,"1,949","2,222","2,139","2,056","2,056","2,109","2,109","2,070"
,Marine Waters Fishing,Full time,"7,692","8,638","8,722","10,217","10,217","10,217","10,217","11,569"
,,Part time,924,"1,041","1,051","1,235","1,235","1,235","1,235","1,402"
,,Occasional,593,688,695,817,817,817,817,927
Kiribati,Marine Waters Fishing,Full time,"3,664","3,054","2,282","1,914","1,873",350,,"1,774"
,,Part time,,,,32,45,,,430
,,Status Unspecified,,,,97,102,,,
"Korea, Republic of",Aquaculture,Status Unspecified,"41,631","45,524","44,951","42,858","43,428","34,419","32,038","42,468"
,Inland Waters Fishing,Status Unspecified,"6,091","6,091","6,091","6,091","6,091","3,292",,
