EEZID,Name,EEZ Area (km_),Shelf Area (km_)
352,Iceland,"756,111","113,352"
356,India (mainland),"1,629,612","393,527"
937,Indonesia (Central),"1,016,085","1,007,573"
361,Indonesia (Eastern),"3,598,159","794,693"
938,Indonesia (Indian Ocean),"1,408,309","172,000"
922,Iran (Persian Gulf),"97,863","97,863"
923,Iran (Sea of Oman),"65,852","17,455"
368,Iraq,541,541
372,Ireland,"409,954","141,604"
939,Israel (Mediterranean),"25,141","2,919"
940,Israel (Red Sea),31,14
380,Italy,"315,972","76,964"
388,Jamaica,"263,289","13,874"
579,Jan Mayen Isl. (Norway),"292,189","1,580"
393,Japan (Daito Islands),"792,308",49
390,Japan (main islands),"2,589,888","416,752"
971,Japan (Ogasawara Islands),"1,082,529","2,547"
845,Jarvis Isl. (USA),"316,554",15
396,Johnston Atoll (USA),"442,630",223
400,Jordan,97,28
155,Juan Fernandez Islands (Chile),"502,524",493
404,Kenya,"162,794","8,437"
897,Kerguelen Isl. (France),"567,630","63,888"
555,Kermadec Isl. (New Zealand),"621,785",63
941,Kiribati (Gilbert Islands),"1,048,698","5,222"
942,Kiribati (Line Islands),"1,645,368","1,212"
943,Kiribati (Phoenix Islands),"743,052",643
408,Korea (North),"115,550","35,860"
410,Korea (South),"473,316","290,401"
414,Kuwait,"11,786","11,786"
428,Latvia,"28,985","28,362"
422,Lebanon,"19,265","1,390"
430,Liberia,"246,093","18,547"
434,Libya,"355,590","67,113"
440,Lithuania,"6,140","6,140"
38,Lord Howe Isl. (Australia),"542,849",927
37,Macquarie Isl. (Australia),"477,361",825
450,Madagascar,"1,200,347","121,865"
621,Madeira Isl. (Portugal),"454,466","1,137"
460,Malaysia (Peninsula East),"133,386","133,346"
459,Malaysia (Peninsula West),"68,547","68,547"
461,Malaysia (Sabah),"91,729","54,205"
463,Malaysia (Sarawak),"155,872","135,904"
462,Maldives,"916,008","31,444"
470,Malta,"55,540","8,036"
584,Marshall Isl.,"1,992,021","20,891"
474,Martinique (France),"47,355","1,230"
478,Mauritania,"204,597","36,256"
480,Mauritius,"1,272,741","39,992"
175,Mayotte (France),"62,982","2,179"
944,Mexico (Atlantic),"829,301","235,490"
945,Mexico (Pacific),"2,444,232","183,246"
583,Micronesia (Federated States of),"2,992,412","26,076"
891,Montenegro,"7,461","3,849"
500,Montserrat (UK),"7,587",168
946,Morocco (Central),"257,828","55,969"
947,Morocco (Mediterranean),"18,108","4,862"
948,Morocco (South),"300,943","63,849"
508,Mozambique,"571,431","85,276"
251,Mozambique Channel Isl. (France),"308,797","1,800"
104,Myanmar,"511,384","219,821"
516,Namibia,"560,094","94,930"
520,Nauru,"308,505",6
528,Netherlands,"61,856","61,856"
540,New Caledonia (France),"1,422,536","52,754"
554,New Zealand,"3,479,816","272,271"
949,Nicaragua (Caribbean),"161,229","61,293"
950,Nicaragua (Pacific),"61,511","21,922"
566,Nigeria,"216,324","43,514"
570,Niue (New Zealand),"316,587",284
574,Norfolk Isl. (Australia),"430,775","3,752"
580,Northern Marianas (USA),"749,181","1,004"
578,Norway,"932,780","211,368"
512,Oman,"529,562","47,854"
911,Oman (Musandam),"6,678","6,666"
586,Pakistan,"222,255","50,210"
585,Palau,"604,252","3,467"
844,Palmyra Atoll & Kingman Reef (USA),"352,528",153
951,Panama (Caribbean),"142,158","11,464"
952,Panama (Pacific),"188,596","39,105"
598,Papua New Guinea,"2,396,557","186,819"
604,Peru,"856,949","88,555"
608,Philippines,"2,263,814","271,428"
612,Pitcairn (UK),"836,115",155
616,Poland,"32,054","32,054"
620,Portugal,"311,650","24,606"
630,Puerto Rico (USA),"177,344","5,671"
634,Qatar,"31,818","31,818"
638,Reunion (France),"315,097",595
642,Romania,"29,755","23,283"
648,Russia (Baltic Sea),"23,241","23,241"
645,Russia (Barents Sea),"1,159,959","605,161"
647,Russia (Black Sea),"67,356","19,828"
649,Russia (Far East),"3,447,149","967,447"
912,Russia (Kara Sea),"1,425,454","1,115,760"
913,Russia (Laptev to Chukchi Sea),"1,767,998","1,400,297"
908,Saba and Sint Eustaius (Netherlands),"11,649",169
654,Saint Helena (UK),"444,898",985
659,Saint Kitts & Nevis,"10,208",855
662,Saint Lucia,"15,472",593
905,Saint Martin (France),"1,066",403
666,Saint Pierre & Miquelon (France),"12,353","7,844"
670,Saint Vincent & the Grenadines,"36,304","2,340"
882,Samoa,"131,534","2,234"
678,Sao Tome & Principe,"165,346","1,876"
902,Sardinia (Italy),"117,403","14,801"
684,Saudi Arabia (Persian Gulf),"33,792","33,791"
683,Saudi Arabia (Red Sea),"186,393","69,265"
686,Senegal,"157,737","23,893"
690,Seychelles,"1,331,919","54,833"
901,Sicily (Italy),"104,851","21,721"
694,Sierra Leone,"159,301","26,611"
702,Singapore,275,673
909,Sint Maarten (Netherlands),499,153
705,Slovenia,192,192
90,Solomon Isl.,"1,596,373","33,196"
706,Somalia,"831,058","50,878"
953,South Africa (Atlantic Coast),"374,597","64,166"
954,South Africa (Indian Ocean Coast),"691,366","96,026"
711,South Africa (Prince Edward Islands),"473,369","2,104"
239,South Georgia & Sandwich Isl. (UK),"1,203,148","22,130"
910,South Orkney Islands (UK),"390,894","4,865"
962,Spain (Mediterranean and Gulf of Cadiz),"148,177","37,315"
963,Spain (Northwest),"279,402","22,944"
144,Sri Lanka,"530,943","32,074"
904,St Barthelemy (France),"4,295","1,888"
895,St Paul & Amsterdam Isl. (France),"509,012",164
736,Sudan,"92,513","23,354"
740,Suriname,"127,819","53,738"
744,Svalbard Isl. (Norway),"796,001","255,222"
914,Sweden (Baltic),"142,511","141,861"
915,Sweden (West Coast),"14,478","12,795"
760,Syria,"10,189",961
157,Taiwan,"1,148,505","165,036"
834,Tanzania,"241,128","18,977"
956,Thailand (Andaman Sea),"118,717","51,406"
957,Thailand (Gulf of Thailand),"187,063","186,974"
626,Timor Leste,"77,048","25,988"
768,Togo,"15,450","1,167"
772,Tokelau (New Zealand),"319,053",262
776,Tonga,"664,786","8,588"
77,Trindade & Martim Vaz Isl. (Brazil),"468,599",203
780,Trinidad & Tobago,"75,486","23,236"
856,Tristan da Cunha Isl. (UK),"754,865","1,645"
252,Tromelin Isl. (France),"270,476",39
788,Tunisia,"102,062","68,498"
794,Turkey (Black Sea),"172,478","18,767"
966,Turkey (Marmara Sea),"11,653","7,369"
793,Turkey (Mediterranean Sea),"72,200","24,368"
796,Turks & Caicos Isl. (UK),"153,545","5,560"
798,Tuvalu,"751,662","1,799"
804,Ukraine,"132,417","73,847"
784,United Arab Emirates,"52,455","52,455"
968,United Arab Emirates (Fujairah),"4,371","3,558"
826,United Kingdom,"756,489","538,221"
858,Uruguay,"133,012","68,561"
850,US Virgin Isl.,"33,731","2,098"
958,"USA (Alaska, Arctic)","508,812","283,232"
959,"USA (Alaska, Subarctic)","3,192,324","1,087,270"
851,USA (East Coast),"926,017","361,382"
852,USA (Gulf of Mexico),"695,573","335,908"
848,USA (West Coast),"821,698","66,508"
548,Vanuatu,"827,588","8,681"
862,Venezuela,"474,801","107,560"
704,Viet Nam,"1,395,117","431,511"
872,Wake Isl. (USA),"407,241",349
876,Wallis & Futuna Isl. (France),"258,277","2,265"
917,Yemen (Arabian Sea),"509,241","28,566"
916,Yemen (Red Sea),"35,861","25,923"
