"","cntry_key","sector","ref_base_value"
"187","HND","mar",39904.25971945
"188","HND","mmw",0
"189","HND","tour",71518.1148857
"190","HRV","cf",19186.496
"191","HRV","mmw",0
"192","HRV","tour",155777.417731
"193","HTI","tour",90852.4440768
"194","IDN","cf",3936759.6982
"195","IDN","mar",1701587.7592453
"196","IDN","mmw",72.77
"197","IDN","tour",4186761.00003
"198","IND","cf",8148031.2004
"199","IND","mar",819666.3914313
"200","IND","mmw",3.83
"201","IND","tour",3067748.63152
"202","IRL","mmw",390.66
"203","IRL","tour",94733.8460658
"204","IRN","cf",223411.622
"205","IRN","mar",4198.005307864
"206","IRN","tour",51338.9061848
"207","IRQ","cf",3581.648
"208","ISL","cf",4034.1
"209","ISL","mmw",67.025
"210","ISL","tour",17223.5961979
"211","ISR","tour",78796.6519793
"212","ITA","mmw",11.49
"213","ITA","tour",1150962.46319
"214","JAM","cf",22307.3865
"215","JAM","mmw",0
"216","JAM","tour",255000
"217","JOR","cf",688.4073
"218","JOR","mar",16.834627525231
"219","JOR","tour",7476.41284607
"220","JPN","cf",192466.12
"221","JPN","mmw",181.925
"222","JPN","tour",3259817.80205
"223","KEN","cf",89629.9502
"224","KEN","mar",0
"225","KEN","mmw",0
"226","KEN","tour",26334.1890603
"227","KHM","mar",1501.0452318034
"228","KHM","tour",124499.751921
"229","KIR","cf",5796.448
"230","KIR","tour",3100
"231","KNA","cf",211.197
"232","KNA","mmw",0
"233","KNA","tour",8700
"234","KOR","cf",2736.86
"235","KOR","mar",52834.064967
"236","KOR","tour",830877.725851
"237","KWT","tour",58404.0694641
"238","LBN","cf",8946.21
"239","LBN","mar",0
"240","LBN","tour",301088.413155
"241","LBR","cf",6544.734
"242","LBR","mar",0
"243","LBY","tour",3618.5117382
"244","LCA","cf",2242.6432
"245","LCA","mar",7.546725
"246","LCA","mmw",0
"247","LCA","tour",42800
"248","LKA","cf",134865.5
"249","LKA","mar",5402.376956123
"250","LKA","mmw",0
"251","LKA","tour",354125.00584
"252","LTU","cf",2575.9706
"253","LTU","mar",0
"254","LTU","tour",7234.59401794
"255","LVA","cf",6448.1529
"256","LVA","mar",0
"257","LVA","tour",20256.3349575
"258","MAR","cf",182119.84
"259","MAR","mmw",0
"260","MAR","tour",266768.651409
"261","MDG","cf",181937.91
"262","MDG","mar",14130.058914421
"263","MDG","mmw",7.66
"264","MDG","tour",91713.6585788
"265","MDV","cf",23557.562
"266","MDV","mmw",0
"267","MDV","tour",55800
"268","MEX","cf",24721.914
"269","MEX","mar",431276.9037597
"270","MEX","mmw",275.76
"271","MEX","tour",1397783.01082
"272","MLT","cf",1266.7865
"273","MLT","mar",202.5
"274","MLT","tour",39200
"275","MMR","cf",2200957.5
"276","MMR","mar",5584.048795501
"277","MMR","mmw",0
"278","MMR","tour",116044.054818
"279","MNE","tour",7244.7021504
"280","MOZ","mmw",0
"281","MOZ","tour",55662.24793
"282","MRT","mmw",0
"283","MTQ","cf",1433.1338
"284","MTQ","tour",14700
"285","MUS","cf",27829.2784
"286","MUS","mar",1.022114171183
"287","MUS","mmw",0
"288","MUS","tour",143600
"289","MYS","cf",154952.154
"290","MYS","mar",30500.97216284
"291","MYS","mmw",0
"292","MYS","tour",537112.997842
"293","MYT","cf",3810.247
"294","MYT","mar",49.325
"295","MYT","mmw",0
"296","NAM","mmw",13.405
"297","NAM","tour",3906.47583727
"298","NCL","cf",406.574
"299","NCL","mmw",17.235
"300","NGA","cf",651545.4344
"301","NGA","tour",86148.3230496
"302","NIC","cf",21820.526
"303","NIC","mar",22689.5
"304","NIC","mmw",0
"305","NIC","tour",40658.538443
"306","NIU","mmw",0
"307","NLD","cf",5921.426
"308","NLD","tour",536821.023443
"309","NOR","cf",21807.7118
"310","NOR","mar",10205.595
"311","NOR","mmw",49.79
"312","NOR","tour",100681.539844
"313","NZL","cf",2872.121
"314","NZL","mmw",811.96
"315","NZL","tour",288494.453209
"316","OMN","cf",26172.608
"317","OMN","mmw",7.66
"318","OMN","tour",18995.9793952
"319","PAK","cf",316468.8961
"320","PAK","tour",117800.009602
"321","PAN","cf",32379.1895
"322","PAN","mmw",0
"323","PAN","tour",98931.2492478
"324","PER","cf",121872.534
"325","PER","mar",8695.655427179
"326","PER","mmw",0
"327","PER","tour",80109.984351
"328","PHL","cf",579322.072
"329","PHL","mmw",21.065
"330","PHL","tour",4419840.55834
"331","PLW","cf",408.947
"332","PLW","mmw",0
"333","PNG","mmw",1.915
"334","PNG","tour",30880.6326705
"335","POL","cf",7858.585
"336","POL","mar",0
"337","POL","tour",47664.6565975
"338","PRI","cf",2114.1848
"339","PRI","mmw",86.175
"340","PRI","tour",75013.3201494
"341","PRT","mmw",3.83
"342","PRT","tour",317180.549891
"343","PYF","cf",5003.075
"344","PYF","mar",69.04381608896
"345","PYF","mmw",21.065
"346","QAT","cf",6642.818
"347","QAT","tour",49800
"348","REU","cf",664.1236
"349","REU","mmw",0
"350","REU","tour",20400
"351","ROU","cf",5782.21
"352","ROU","mar",0
"353","ROU","tour",19008.5831237
"354","RUS","cf",132168.19
"355","RUS","mar",1.340499935491
"356","RUS","mmw",0
"357","RUS","tour",360979.470794
"358","SAU","cf",19125.589
"359","SAU","mar",2892.360153613
"360","SAU","tour",30695.7369442
"361","SDN","cf",29187.9
"362","SDN","mar",0
"363","SDN","tour",1793.37556977
"364","SEN","cf",90279.994
"365","SEN","mmw",0
"366","SEN","tour",24197.5885008
"367","SGP","cf",272.104
"368","SGP","mar",329.23110636
"369","SGP","tour",158800
"370","SHN","cf",44.0587
"371","SLB","mmw",1.915
"372","SLB","tour",3700
"373","SLE","tour",19087.8697909
"374","SLV","cf",25169.6991
"375","SLV","mar",397.3899488639
"376","SLV","tour",93729.6243995
"377","SPM","mmw",1
"378","STP","cf",3145.016
"379","STP","mmw",0
"380","STP","tour",3600
"381","SUR","cf",3107.048
"382","SUR","mar",20.7165
"383","SUR","mmw",0
"384","SUR","tour",1400.37540577
"385","SVN","cf",241.8878
"386","SVN","mar",21.6213428169
"387","SVN","mmw",0
"388","SVN","tour",18282.8618978
"389","SWE","cf",2278.08
"390","SWE","tour",57132.1113922
"391","SYC","cf",1969.59
"392","SYC","mar",370.924
"393","SYC","mmw",0
"394","SYC","tour",18100
