"","cntry_key","sector","cur_year"
"339","PRI","mmw",2008
"340","PRI","tour",2010
"341","PRT","mmw",2008
"342","PRT","tour",2010
"343","PYF","cf",2008
"344","PYF","mar",2008
"345","PYF","mmw",2008
"346","QAT","cf",2008
"347","QAT","tour",2010
"348","REU","cf",2008
"349","REU","mmw",2008
"350","REU","tour",2010
"351","ROU","cf",2006
"352","ROU","mar",2006
"353","ROU","tour",2010
"354","RUS","cf",2005
"355","RUS","mar",2005
"356","RUS","mmw",2008
"357","RUS","tour",2010
"358","SAU","cf",2006
"359","SAU","mar",2006
"360","SAU","tour",2010
"361","SDN","cf",2008
"362","SDN","mar",2008
"363","SDN","tour",2010
"364","SEN","cf",2001
"365","SEN","mmw",2008
"366","SEN","tour",2010
"367","SGP","cf",2008
"368","SGP","mar",2008
"369","SGP","tour",2010
"370","SHN","cf",2008
"371","SLB","mmw",2008
"372","SLB","tour",2010
"373","SLE","tour",2010
"374","SLV","cf",2008
"375","SLV","mar",2008
"376","SLV","tour",2010
"377","SPM","mmw",2008
"378","STP","cf",2003
"379","STP","mmw",2008
"380","STP","tour",2010
"381","SUR","cf",2007
"382","SUR","mar",2007
"383","SUR","mmw",2006
"384","SUR","tour",2010
"385","SVN","cf",2000
"386","SVN","mar",2007
"387","SVN","mmw",2008
"388","SVN","tour",2010
"389","SWE","cf",2004
"390","SWE","tour",2010
"391","SYC","cf",2007
"392","SYC","mar",2007
"393","SYC","mmw",2008
"394","SYC","tour",2010
"395","SYR","cf",2008
"396","SYR","mar",2008
"397","SYR","tour",2010
"398","TCA","cf",2008
"399","TCA","mmw",2008
"400","TGO","cf",2007
"401","TGO","mar",2007
"402","TGO","tour",2010
"403","THA","cf",2000
"404","THA","mar",2000
"405","THA","mmw",2008
"406","THA","tour",2010
"407","TLS","cf",2003
"408","TON","cf",2008
"409","TON","mar",2008
"410","TON","mmw",2008
"411","TON","tour",2010
"412","TTO","cf",2006
"413","TUN","cf",2008
"414","TUN","mar",2008
"415","TUN","tour",2010
"416","TUR","mmw",2008
"417","TUR","tour",2010
"418","TUV","cf",2006
"419","TWN","cf",2008
"420","TWN","mar",2008
"421","TWN","mmw",2008
"422","TWN","tour",2010
"423","TZA","cf",2008
"424","TZA","mar",2008
"425","TZA","mmw",2008
"426","TZA","tour",2010
"427","UKR","mmw",2008
"428","UKR","tour",2010
"429","URY","cf",2004
"430","URY","mar",2006
"431","URY","mmw",2006
"432","URY","tour",2010
"433","USA","tour",2010
"434","VCT","cf",2008
"435","VCT","mmw",2008
"436","VCT","tour",2010
"437","VEN","cf",2003
"438","VEN","mar",2003
"439","VEN","mmw",2006
"440","VEN","tour",2010
"441","VGB","mmw",2008
"442","VGB","tour",2010
"443","VIR","mar",2006
"444","VIR","mmw",2008
"445","VIR","tour",2010
"446","VNM","tour",2010
"447","VUT","cf",2005
"448","VUT","tour",2010
"449","WSM","cf",2004
"450","WSM","mmw",2008
"451","YEM","cf",2008
"452","YEM","tour",2010
"453","ZAF","cf",2000
"454","ZAF","mmw",2008
"455","ZAF","tour",2010
