"","cntry_key","sector","ref_year"
"404","THA","mar",1993
"405","THA","mmw",1998
"406","THA","tour",2005
"407","TLS","cf",2000
"408","TON","cf",2003
"409","TON","mar",2003
"410","TON","mmw",2006
"411","TON","tour",2005
"412","TTO","cf",2001
"413","TUN","cf",2003
"414","TUN","mar",2003
"415","TUN","tour",2005
"416","TUR","mmw",1998
"417","TUR","tour",2005
"418","TUV","cf",2001
"419","TWN","cf",2003
"420","TWN","mar",2003
"421","TWN","mmw",1998
"422","TWN","tour",2005
"423","TZA","cf",2003
"424","TZA","mar",2006
"425","TZA","mmw",1998
"426","TZA","tour",2005
"427","UKR","mmw",1998
"428","UKR","tour",2005
"429","URY","cf",1999
"430","URY","mar",2001
"431","URY","mmw",1998
"432","URY","tour",2005
"433","USA","tour",2005
"434","VCT","cf",2003
"435","VCT","mmw",1998
"436","VCT","tour",2005
"437","VEN","cf",1998
"438","VEN","mar",1998
"439","VEN","mmw",1998
"440","VEN","tour",2005
"441","VGB","mmw",1998
"442","VGB","tour",2005
"443","VIR","mar",2005
"444","VIR","mmw",1998
"445","VIR","tour",2005
"446","VNM","tour",2005
"447","VUT","cf",2003
"448","VUT","tour",2005
"449","WSM","cf",1999
"450","WSM","mmw",2005
"451","YEM","cf",2003
"452","YEM","tour",2005
"453","ZAF","cf",1990
"454","ZAF","mmw",1998
"455","ZAF","tour",2005
