"rgn_nm","rgn_id","country","species","fao","environment","year","yield"
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2008,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2009,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2010,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2011,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2012,0
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2003,16
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2004,16
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2005,15
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2006,7
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2007,15
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2008,0
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2009,0
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2010,0
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2011,0
"Algeria",84,"Algeria","European eel","Africa - Inland waters","Brackishwater",2012,0
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2003,3
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2004,3
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2005,3
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2006,0
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2007,1
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2008,0
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2009,0
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2010,0
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2011,0
"Algeria",84,"Algeria","European seabass","Mediterranean and Black Sea","Brackishwater",2012,94
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2003,1
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2004,1
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2005,1
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2006,0
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2007,0
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2008,0
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2009,0
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2010,0
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2011,0
"Algeria",84,"Algeria","Gilthead seabream","Mediterranean and Black Sea","Brackishwater",2012,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2003,2
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2004,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2005,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2006,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2007,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2008,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2009,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2010,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2011,0
"Algeria",84,"Algeria","Grooved carpet shell","Mediterranean and Black Sea","Brackishwater",2012,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2003,17
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2004,10
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2005,10
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2006,16
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2007,44
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2008,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2009,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2010,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2011,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2012,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2003,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2004,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2005,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2006,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2007,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2008,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2009,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2010,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2011,0
"Algeria",84,"Algeria","Mediterranean mussel","Mediterranean and Black Sea","Marine",2012,0
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2003,1
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2004,1
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2005,1
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2006,9
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2007,6
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2008,0
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2009,0
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2010,0
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2011,0
"Algeria",84,"Algeria","Mullets nei","Africa - Inland waters","Brackishwater",2012,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2003,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2004,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2005,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2006,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2007,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2008,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2009,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2010,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2011,0
"Algeria",84,"Algeria","Pacific cupped oyster","Mediterranean and Black Sea","Brackishwater",2012,0
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2003,30
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2004,30
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2005,35
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2006,12
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2007,13
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2008,62
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2009,50
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2010,100
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2011,124
"Argentina",172,"Argentina","Blue mussel","Atlantic, Southwest","Marine",2012,52
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2003,50
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2004,108
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2005,120
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2006,110
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2007,120
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2008,73
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2009,105
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2010,20
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2011,120
"Argentina",172,"Argentina","Pacific cupped oyster","Atlantic, Southwest","Marine",2012,25
"Australia",16,"Australia","Aquatic invertebrates nei","Indian Ocean, Eastern","Marine",2007,1116
"Australia",16,"Australia","Aquatic invertebrates nei","Indian Ocean, Eastern","Marine",2008,0
"Australia",16,"Australia","Aquatic invertebrates nei","Indian Ocean, Eastern","Marine",2009,0
"Australia",16,"Australia","Aquatic invertebrates nei","Indian Ocean, Eastern","Marine",2010,0
"Australia",16,"Australia","Aquatic invertebrates nei","Indian Ocean, Eastern","Marine",2011,3536
"Australia",16,"Australia","Aquatic invertebrates nei","Indian Ocean, Eastern","Marine",2012,0
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2003,15208
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2004,16476
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2005,16780
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2006,20710
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2007,25336
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2008,0
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2009,29893
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2010,31807
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2011,35198
"Australia",16,"Australia","Atlantic salmon","Pacific, Southwest","Marine",2012,43785
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2003,2727
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2004,2628
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2005,2900
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2006,3189
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2007,3208
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2008,0
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2009,0
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2010,0
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2011,0
"Australia",16,"Australia","Australian mussel","Indian Ocean, Eastern","Marine",2012,0
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2003,1750
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2004,1517
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2005,1775
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2006,2249
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2007,2632
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2008,0
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2009,2966
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2010,3628
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2011,0
"Australia",16,"Australia","Barramundi(=Giant seaperch)","Pacific, Western Central","Brackishwater",2012,0
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2003,86
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2004,250
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2005,390
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2006,506
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2007,468
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2008,0
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2009,0
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2010,0
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2011,0
"Australia",16,"Australia","Blacklip abalone","Indian Ocean, Eastern","Marine",2012,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2003,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2004,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2005,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2006,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2007,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2008,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2009,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2010,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2011,0
"Australia",16,"Australia","Brine shrimp","Pacific, Southwest","Brackishwater",2012,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2003,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2004,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2005,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2006,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2007,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2008,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2009,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2010,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2011,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Brackishwater",2012,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2003,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2004,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2005,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2006,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2007,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2008,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2009,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2010,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2011,0
"Australia",16,"Australia","Brown tiger prawn","Pacific, Southwest","Marine",2012,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2003,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2004,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2005,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2006,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2007,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2008,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2009,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2010,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2011,0
"Australia",16,"Australia","Chinook(=Spring=King) salmon","Pacific, Southwest","Marine",2012,0
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2003,1008
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2004,3190
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2005,4650
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2006,5397
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2007,7720
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2008,0
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2009,0
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2010,0
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2011,0
"Australia",16,"Australia","Cupped oysters nei","Indian Ocean, Eastern","Marine",2012,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2003,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2004,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2005,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2006,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2007,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2008,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2009,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2010,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2011,0
"Australia",16,"Australia","Cupped oysters nei","Pacific, Southwest","Brackishwater",2012,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2003,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2004,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2005,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2006,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2007,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2008,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2009,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2010,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2011,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Brackishwater",2012,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2003,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2004,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2005,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2006,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2007,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2008,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2009,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2010,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2011,0
"Australia",16,"Australia","Eastern king prawn","Pacific, Southwest","Marine",2012,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2003,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2004,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2005,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2006,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2007,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2008,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2009,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2010,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2011,0
"Australia",16,"Australia","Eastern school shrimp","Pacific, Southwest","Brackishwater",2012,0
"Australia",16,"Australia","Flat and cupped oysters nei","Indian Ocean, Eastern","Marine",2010,14931
"Australia",16,"Australia","Flat and cupped oysters nei","Indian Ocean, Eastern","Marine",2011,13927
"Australia",16,"Australia","Flat and cupped oysters nei","Indian Ocean, Eastern","Marine",2012,15745
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2003,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2004,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2005,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2006,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2007,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2008,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2009,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2010,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2011,0
"Australia",16,"Australia","Flat oysters nei","Pacific, Western Central","Marine",2012,0
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2003,0
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2004,0
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2005,294
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2006,241
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2007,0
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2008,0
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2009,0
"Australia",16,"Australia","Giant tiger prawn","Pacific, Southwest","Brackishwater",2010,0
