iucn_sid,years,cats,stati,pop_trend_desc,calc_trend,pop_trend
14363,"1994, 1996","VU, VU","0.4667, 0.4667",NA,NA,NA
14549,"1994, 1996, 2008, 2015","EN, LC, EN, EN","0.2, 1, 0.2, 0.2",decreasing,-0.01941,-1
14584,"1996, 2008","EN, EN","0.2, 0.2",decreasing,NA,-1
15106,"1996, 2016","LC, VU","1, 0.4667",unknown,NA,NA
15239,"1996, 2010","NT, LC","0.7333, 1",unknown,NA,NA
15269,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",unknown,0,NA
15319,"1994, 1996","EN, EN","0.2, 0.2",NA,NA,NA
15873,"1996, 2014","EN, LC","0.2, 1",unknown,NA,NA
16564,"1996, 2008","LC, LC","1, 1",unknown,NA,NA
16687,"1996, 2008","CR, CR","-0.0667, -0.0667",decreasing,NA,-1
16781,"1996, 2008, 2013","LC, LC, LC","1, 1, 1",stable,0,0
17013,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
17023,"1996, 2016","LC, LC","1, 1",unknown,NA,NA
17026,"1994, 1996, 2008, 2015","VU, VU, VU, EN","0.4667, 0.4667, 0.4667, 0.2",decreasing,-0.01049,-1
17027,"1996, 2008","VU, LC","0.4667, 1",unknown,NA,NA
17028,"1994, 1996, 2007, 2008","EN, CR, CR, CR","0.2, -0.0667, -0.0667, -0.0667",decreasing,-0.01218,-1
17031,"1996, 2008","VU, CR","0.4667, -0.0667",decreasing,NA,-1
17032,"1996, 2008, 2012","VU, LC, LC","0.4667, 1, 1",unknown,0.0359,NA
17978,"2008, 2012","VU, VU","0.4667, 0.4667",decreasing,NA,-1
18175,"1996, 2000, 2006, 2013","EN, EN, CR, CR","0.2, 0.2, -0.0667, -0.0667",decreasing,-0.01862,-1
18376,"1996, 2011, 2014","LC, LC, LC","1, 1, 1",unknown,0,NA
18711,"1994, 1996, 2000, 2004, 2008, 2015","VU, VU, EN, EN, EN, EN","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01353,-1
18878,"1996, 2008, 2013","LC, LC, LC","1, 1, 1",stable,0,0
19388,"1996, 2012","NT, LC","0.7333, 1",stable,NA,0
19401,"1994, 1996, 2000, 2008","EN, VU, VU, EN","0.2, 0.4667, 0.4667, 0.2",decreasing,-0.00696,-1
19488,"2000, 2005, 2016","VU, VU, EN","0.4667, 0.4667, 0.2",decreasing,-0.01791,-1
19861,"1996, 2008, 2011","LC, LC, LC","1, 1, 1",unknown,0,NA
19877,"1996, 2008","LC, LC","1, 1",unknown,NA,NA
19899,"1996, 2015","VU, EN","0.4667, 0.2",unknown,NA,NA
19950,"1996, 2012","VU, NT","0.4667, 0.7333",decreasing,NA,-1
20047,"1996, 2011","EN, VU","0.2, 0.4667",decreasing,NA,-1
20391,"1996, 2008","EN, EN","0.2, 0.2",unknown,NA,NA
20425,"2008, 2012","VU, VU","0.4667, 0.4667",decreasing,NA,-1
20427,"1996, 2008, 2013, 2016","LC, LC, LC, LC","1, 1, 1, 1",unknown,0,NA
20724,"1996, 2015","VU, LC","0.4667, 1",unknown,NA,NA
20729,"1996, 2008, 2012","VU, LC, LC","0.4667, 1, 1",unknown,0.0359,NA
20731,"1996, 2008","VU, LC","0.4667, 1",unknown,NA,NA
20738,"2008, 2012","LC, LC","1, 1",unknown,NA,NA
20795,"1996, 2004","CR, CR","-0.0667, -0.0667",unknown,NA,NA
21257,"2008, 2016","LC, LC","1, 1",unknown,NA,NA
21857,"1996, 2011","LC, NT","1, 0.7333",decreasing,NA,-1
21858,"1996, 2011","CR, CR","-0.0667, -0.0667",decreasing,NA,-1
21859,"1996, 2011","VU, VU","0.4667, 0.4667",decreasing,NA,-1
22003,"1994, 1996, 2010","EN, CR, CR","0.2, -0.0667, -0.0667",decreasing,-0.01053,-1
22102,"1994, 1996, 2007, 2008, 2016","VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0,-1
22103,"1994, 1996, 2007, 2008","VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22104,"1994, 1996, 2006, 2008, 2015","VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667",unknown,-0,NA
22136,"1994, 1996","VU, VU","0.4667, 0.4667",NA,NA,NA
22137,"1994, 1996","VU, VU","0.4667, 0.4667",NA,NA,NA
22563,"2008, 2012","LC, LC","1, 1",unknown,NA,NA
22781,"1994, 1996, 2004, 2008, 2013","EN, VU, CR, CR, NT","0.2, 0.4667, -0.0667, -0.0667, 0.7333",increasing,0.00729,1
22823,"1994, 1996, 2006, 2008, 2015","VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667",unknown,-0,NA
22949,"1996, 1996, 2008","LC, VU, LC","1, 0.4667, 1",unknown,0.02222,NA
23095,"1994, 1996, 2007","EN, VU, LC","0.2, 0.4667, 1",stable,0.05714,0
23141,"1994, 1996, 2008, 2016","EN, VU, VU, VU","0.2, 0.4667, 0.4667, 0.4667",decreasing,0.00784,-1
29656,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",stable,0,0
31382,"1998, 2010","LC, LC","1, 1",decreasing,NA,-1
33705,"1998, 2010","LC, LC","1, 1",decreasing,NA,-1
39303,"1996, 2008","VU, NT","0.4667, 0.7333",decreasing,NA,-1
39327,"2000, 2003, 2016","NT, LC, LC","0.7333, 1, 1",stable,0.01168,0
39328,"2000, 2005, 2016","NT, NT, NT","0.7333, 0.7333, 0.7333",decreasing,-0,-1
39330,"2000, 2007","VU, EN","0.4667, 0.2",decreasing,NA,-1
39332,"2000, 2006, 2015","VU, CR, CR","0.4667, -0.0667, -0.0667",decreasing,-0.03275,-1
39334,"2000, 2005, 2015","LC, LC, LC","1, 1, 1",stable,0,0
39335,"2000, 2009, 2015","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
39337,"2000, 2005","NT, NT","0.7333, 0.7333",unknown,NA,NA
39341,"2000, 2009","NT, VU","0.7333, 0.4667",decreasing,NA,-1
39345,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39346,"2000, 2009","NT, VU","0.7333, 0.4667",unknown,NA,NA
39348,"2000, 2005","NT, NT","0.7333, 0.7333",unknown,NA,NA
39349,"2000, 2004","NT, NT","0.7333, 0.7333",unknown,NA,NA
39350,"2000, 2005","NT, NT","0.7333, 0.7333",unknown,NA,NA
39351,"2000, 2003, 2016","VU, LC, LC","0.4667, 1, 1",increasing,0.02335,1
39352,"2000, 2006","VU, VU","0.4667, 0.4667",decreasing,NA,-1
39353,"2000, 2006","EN, EN","0.2, 0.2",unknown,NA,NA
39354,"2000, 2005, 2016","NT, NT, LC","0.7333, 0.7333, 1",stable,0.01791,0
39355,"2000, 2003, 2016","VU, LC, LC","0.4667, 1, 1",stable,0.02335,0
39356,"2000, 2003","VU, LC","0.4667, 1",increasing,NA,1
39357,"2000, 2009","LC, LC","1, 1",unknown,NA,NA
39358,"2000, 2009","LC, VU","1, 0.4667",decreasing,NA,-1
39359,"2000, 2005","NT, NT","0.7333, 0.7333",unknown,NA,NA
39360,"2000, 2005","VU, VU","0.4667, 0.4667",unknown,NA,NA
39361,"2000, 2009","VU, EN","0.4667, 0.2",decreasing,NA,-1
39362,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39363,"2000, 2009, 2015","VU, LC, LC","0.4667, 1, 1",unknown,0.03742,NA
39365,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39367,"2000, 2009","EN, EN","0.2, 0.2",unknown,NA,NA
39368,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39369,"2000, 2003","VU, CR","0.4667, -0.0667",unknown,NA,NA
39370,"2000, 2009, 2016","LC, NT, NT","1, 0.7333, 0.7333",decreasing,-0.01727,-1
39371,"2000, 2009","VU, VU","0.4667, 0.4667",unknown,NA,NA
39372,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39374,"2000, 2006, 2015","NT, VU, VU","0.7333, 0.4667, 0.4667",decreasing,-0.01637,-1
39375,"2000, 2009","NT, NT","0.7333, 0.7333",decreasing,NA,-1
39378,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39379,"2000, 2009","EN, EN","0.2, 0.2",decreasing,NA,-1
39380,"2000, 2009, 2015","NT, NT, NT","0.7333, 0.7333, 0.7333",unknown,-0,NA
39381,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39382,"2000, 2009","LC, LC","1, 1",unknown,NA,NA
39383,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
39384,"2000, 2005","NT, NT","0.7333, 0.7333",unknown,NA,NA
39385,"2000, 2007","NT, EN","0.7333, 0.2",unknown,NA,NA
39387,"2000, 2005, 2016","LC, LC, LC","1, 1, 1",stable,0,0
39388,"2000, 2005","NT, VU","0.7333, 0.4667",decreasing,NA,-1
39389,"2000, 2006, 2013","EN, CR, EN","0.2, -0.0667, 0.2",decreasing,0.00105,-1
39390,"2000, 2006, 2013","EN, CR, EN","0.2, -0.0667, 0.2",decreasing,0.00105,-1
39393,"2000, 2006, 2013","EN, CR, CR","0.2, -0.0667, -0.0667",decreasing,-0.01995,-1
39396,"2000, 2005, 2015","LC, LC, LC","1, 1, 1",unknown,0,NA
39397,"2000, 2006","EN, CR","0.2, -0.0667",decreasing,NA,-1
39399,"2000, 2005, 2016","NT, NT, NT","0.7333, 0.7333, 0.7333",decreasing,-0,-1
39400,"2000, 2006","NT, NT","0.7333, 0.7333",decreasing,NA,-1
39406,"2000, 2005, 2016","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
39407,"2000, 2005, 2011, 2016","EN, EN, EN, EN","0.2, 0.2, 0.2, 0.2",decreasing,0,-1
39411,"2000, 2005, 2016","EN, EN, EN","0.2, 0.2, 0.2",unknown,-0,NA
39412,"2000, 2005","NT, NT","0.7333, 0.7333",unknown,NA,NA
39413,"2000, 2005, 2016","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
39414,"2000, 2009, 2016","EN, EN, EN","0.2, 0.2, 0.2",unknown,-0,NA
39416,"2000, 2006, 2015","LC, LC, LC","1, 1, 1",unknown,0,NA
39418,"2000, 2006, 2015","VU, EN, EN","0.4667, 0.2, 0.2",decreasing,-0.01638,-1
39428,"2000, 2008","CR, CR","-0.0667, -0.0667",unknown,NA,NA
39771,"2000, 2003","VU, EN","0.4667, 0.2",stable,NA,0
39774,"2007, 2008","VU, VU","0.4667, 0.4667",decreasing,NA,-1
40711,"1996, 2015","VU, LC","0.4667, 1",stable,NA,0
40797,"2000, 2009","NT, NT","0.7333, 0.7333",unknown,NA,NA
40802,"1996, 2002, 2012","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
41008,"2002, 2015","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41064,"2000, 2007, 2016","CR, CR, CR","-0.0667, -0.0667, -0.0667",decreasing,0,-1
41303,"1996, 2008","LC, LC","1, 1",unknown,NA,NA
41485,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
41588,"2008, 2015","LC, LC","1, 1",stable,NA,0
41590,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",decreasing,0,-1
41658,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",decreasing,0,-1
41664,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",increasing,0,1
41665,"1996, 2008, 2014, 2016","LC, LC, LC, LC","1, 1, 1, 1",stable,0,0
41666,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",increasing,0,1
41668,"1996, 2008, 2015","VU, EN, EN","0.4667, 0.2, 0.2",decreasing,-0.01492,-1
41669,"1994, 1996, 2008, 2016","VU, VU, EN, EN","0.4667, 0.4667, 0.2, 0.2",unknown,-0.01404,NA
41670,"1996, 2016","LC, LC","1, 1",unknown,NA,NA
41671,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",increasing,0,1
41672,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
41676,"1996, 2008, 2016","NT, LC, LC","0.7333, 1, 1",stable,0.01404,0
41711,"1996, 2008","EN, EN","0.2, 0.2",unknown,NA,NA
41712,"2008, 2012","EN, EN","0.2, 0.2",unknown,NA,NA
