"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","catch_pel_hb_gcs"
33,"eez","Ile Tromelin","ATF","eez",36,"Ile Tromelin","ATF","Ile Tromelin",21,"French Indian Ocean Territories",18.1591302199,22.8090652714,270477.946038,0
34,"eez","Mauritius","MUS","eez",37,"Mauritius","MUS","MUS",23,"Mauritius",57.1053816493,108.141062819,1272769.51487,0.00121480002475437
35,"eez","British Indian Ocean Territory","IOT","eez",38,"British Indian Ocean Territory","IOT","IOT",24,"British Indian Ocean Territory",28.9225141612,52.246812534,638566.135526,1.88999998499639e-05
36,"eez","Maldives","MDV","eez",39,"Maldives","MDV","MDV",25,"Maldives",51.8021147308,74.5840771522,916018.78832,0.000508299987159262
37,"eez","Sri Lanka","LKA","eez",40,"Sri Lanka","LKA","LKA",26,"Sri Lanka",52.8262692173,43.4155525122,530603.25254,1.03174930375273
38,"eez","Mozambique","MOZ","eez",41,"Mozambique","MOZ","MOZ",27,"Mozambique",93.673269816,49.6236860094,571516.882954,0.00326570004588575
39,"eez","Madagascar","MDG","eez",42,"Madagascar","MDG","MDG",28,"Madagascar",147.026211797,104.550560024,1199949.69622,0.00285900000773836
40,"eez","Kenya","KEN","eez",43,"Kenya","KEN","KEN",29,"Kenya",23.7723475458,9.08920224176,111663.169317,0.00545750001496344
41,"eez","Somalia","SOM","eez",44,"Somalia","SOM","SOM",30,"Somalia",68.5089081166,63.7744228455,779413.206688,0.0345134998646972
42,"eez","Eritrea","ERI","eez",45,"Eritrea","ERI","ERI",31,"Eritrea",40.7074305345,6.61316736534,78379.2568196,1.25999996816972e-05
43,"eez","Djibouti","DJI","eez",46,"Djibouti","DJI","DJI",32,"Djibouti",6.62750256438,0.580091318087,6988.12531813,0.00805770004168153
44,"eez","Yemen","YEM","eez",47,"Yemen","YEM","YEM",33,"Yemen",67.3730065019,45.3940182784,544727.24788,0.170534001309425
45,"eez","Oman","OMN","eez",48,"Oman","OMN","OMN",34,"Oman",54.7178253783,46.0842551159,536167.470983,0.0977110981374426
46,"eez","Sudan","SDN","eez",49,"Sudan","SDN","SDN",35,"Sudan",22.6523307765,5.7285581142,66441.6562934,0.000312699992100534
47,"eez","Saudi Arabia","SAU","eez",50,"Saudi Arabia","SAU","SAU",36,"Saudi Arabia",110.599441982,19.2872494657,219297.237146,0.0608884001999104
48,"eez","Kuwait","KWT","eez",51,"Kuwait","KWT","KWT",37,"Kuwait",10.6724743882,1.09989294302,11854.5568315,0.0164575999054068
49,"eez","Bahrain","BHR","eez",52,"Bahrain","BHR","BHR",38,"Bahrain",7.72658824881,0.687255184858,7601.46103779,0.00649259988218546
50,"eez","Pakistan","PAK","eez",53,"Pakistan","PAK","PAK",39,"Pakistan",36.3480556271,19.6096543312,221710.407374,0
51,"eez","United Arab Emirates","ARE","eez",54,"United Arab Emirates","ARE","ARE",40,"United Arab Emirates",34.7753064962,4.8709030096,54473.2559898,0.123870199178418
52,"eez","Azores","PRT","eez",55,"Azores","PRT","Azores",134,"Portugal",47.0502557959,98.7491103669,955823.805091,0
53,"eez","Cape Verde","CPV","eez",56,"Cape Verde","CPV","CPV",41,"Cape Verde",40.3434074887,67.335090817,796535.772384,1.80000002728775e-06
54,"eez","Madeira","PRT","eez",57,"Madeira","PRT","Madeira",134,"Portugal",28.1692453049,43.8898813214,453920.705874,0
55,"eez","Canary Islands","ESP","eez",58,"Canary Islands","ESP","Canary Islands",133,"Spain",44.6044697907,41.2958100693,448342.894113,0.000883800008450635
56,"eez","Belgium","BEL","eez",59,"Belgium","BEL","BEL",42,"Belgium",2.94517379187,0.448769693253,3469.73899686,0
57,"eez","Gibraltar","GIB","eez",60,"Gibraltar","GIB","GIB",43,"Gibraltar",1.22881117217,0.042614573534,425.86112877,0
58,"eez","Tunisia","TUN","eez",61,"Tunisia","TUN","TUN",44,"Tunisia",33.9755865632,10.0522628253,100471.129173,0
59,"eez","Morocco","MAR","eez",62,"Morocco","MAR","MAR",45,"Morocco",41.9444576463,26.526728416,275376.655505,2.85999992775032e-05
60,"eez","Western Sahara","ESH","eez",63,"Western Sahara","ESH","ESH",46,"Western Sahara",25.964027742,22.2222733901,250881.563997,0.00262599999987287
61,"eez","Mauritania","MRT","eez",64,"Mauritania","MRT","MRT",47,"Mauritania",21.8596494702,13.2612600325,155353.356649,0.0261612005466304
62,"eez","Gambia","GMB","eez",65,"Gambia","GMB","GMB",48,"Gambia",12.247313466,1.88632422383,22609.4249526,0.0284340005554259
63,"eez","Senegal","SEN","eez",66,"Senegal","SEN","SEN",49,"Senegal",30.9102657973,13.1642487739,157502.802799,0.100267800677393
64,"eez","Libya","LBY","eez",67,"Libya","LBY","LBY",50,"Libya",39.4508547592,34.4796911169,356904.347733,0.000984300014097244
65,"eez","Malta","MLT","eez",68,"Malta","MLT","MLT",51,"Malta",13.3117082446,5.50681155353,55570.0447083,0
66,"eez","Latvia","LVA","eez",69,"Latvia","LVA","LVA",52,"Latvia",15.9331872843,4.28802264276,28956.5603994,0
67,"eez","Estonia","EST","eez",70,"Estonia","EST","EST",53,"Estonia",53.3874325758,5.65739393574,36458.0532635,0
68,"eez","Bulgaria","BGR","eez",71,"Bulgaria","BGR","nan",-21474836,"nan",11.4495438757,3.8775274146,35156.2681132,0
69,"eez","Romania","ROU","eez",72,"Romania","ROU","ROU",55,"Romania",13.3666942052,3.3498744636,29723.7194464,0
70,"eez","Russia","RUS","eez",73,"Russia","RUS","RUS",56,"Russia",2445.29083489,1965.92307096,7624285.56627,0.000249299999377399
71,"eez","Georgia","GEO","eez",74,"Georgia","GEO","GEO",57,"Georgia",8.29257784374,2.50497027088,22891.877437,0.000478300001086609
72,"eez","Ukraine","UKR","eez",75,"Ukraine","UKR","UKR",58,"Ukraine",69.5234252707,15.3797676497,134869.471437,0.00119429999627755
73,"eez","Turkey","TUR","eez",76,"Turkey","TUR","TUR",59,"Turkey",120.426477513,27.2293841673,255649.829549,0.000123799996872549
74,"eez","Syria","SYR","eez",77,"Syria","SYR","SYR",60,"Syria",5.20744710709,1.00933065722,10180.5781151,0.000196200002901605
75,"eez","Lebanon","LBN","eez",78,"Lebanon","LBN","LBN",61,"Lebanon",7.22451620286,1.87904470286,19266.8826239,0.00090200000529876
76,"eez","Israel","ISR","eez",79,"Israel","ISR","ISR",62,"Israel",7.05174349617,2.66646325184,27773.6086708,0.00316680004594673
77,"eez","Greece","GRC","eez",80,"Greece","GRC","GRC",63,"Greece",191.599059804,49.6307228049,493192.342668,0
78,"eez","Cyprus","CYP","eez",81,"Cyprus","CYP","CYP",64,"Cyprus",21.3066544912,9.6226717275,98039.1380677,0.000277599992987234
79,"eez","Albania","ALB","eez",82,"Albania","ALB","ALB",65,"Albania",10.807970657,1.19507881348,11187.4615261,0
80,"eez","Algeria","DZA","eez",84,"Algeria","DZA","DZA",66,"Algeria",29.6038807333,13.0683054585,128756.323888,0
81,"eez","Ascension","ASC","eez",85,"Ascension","ASC","Ascension",68,"British Southern Ocean Territories",21.8613879053,36.2346693809,441655.052956,0
82,"eez","Saint Helena","SHN","eez",86,"Saint Helena","SHN","SHN",68,"British Southern Ocean Territories",22.3479447545,37.5750699991,444911.631887,7.89999980042921e-05
83,"eez","Trindade","BRA","eez",171,"Brazil","BRA","Trindade",122,"Brazil",22.9067105975,40.5953564461,468609.48102,0.00961339993198635
84,"eez","Tristan da Cunha","TAA","eez",88,"Tristan da Cunha","TAA","Tristan da Cunha",68,"British Southern Ocean Territories",34.5660824327,78.3001762469,754671.275034,0
85,"eez","South Georgia and the South Sandwich Islands","SGS","eez",89,"South Georgia and the South Sandwich Islands","SGS","SGS",68,"British Southern Ocean Territories",87.6081287584,209.437883766,1449461.50938,0
86,"eez","Prince Edward Islands","ZAF","eez",90,"Prince Edward Islands","ZAF","Prince Edward Islands",75,"South Africa",28.5510552224,55.8414279723,473375.683201,0
87,"eez","Crozet Islands","ATF","eez",91,"Crozet Islands","ATF","Crozet Islands",67,"French Southern Ocean Territories",32.6942647343,67.1522063741,574557.640349,0
88,"eez","Amsterdam Island and Saint Paul Island","ATF","eez",92,"Amsterdam Island and Saint Paul Island","ATF","Amsterdam Island and Saint Paul Island",67,"French Southern Ocean Territories",26.337632537,52.4534572101,509021.349715,0
89,"eez","Kerguelen Islands","ATF","eez",93,"Kerguelen Islands","ATF","Kerguelen Islands",67,"French Southern Ocean Territories",67.8997689363,69.737268979,567651.729555,0
90,"eez","Heard and McDonald Islands","HMD","eez",94,"Heard and McDonald Islands","HMD","HMD",2,"Australian Southern Ocean Territories",31.847632593,56.4731172202,416941.135393,0
91,"eez","Falkland Islands","FLK","eez",95,"Falkland Islands","FLK","FLK",68,"British Southern Ocean Territories",116.791081217,71.4913838636,549953.068559,5.49999986105831e-06
92,"eez","Sierra Leone","SLE","eez",96,"Sierra Leone","SLE","SLE",69,"Sierra Leone",27.4359830526,13.0379907268,159409.062872,0.00592040001341957
93,"eez","Liberia","LBR","eez",97,"Liberia","LBR","LBR",70,"Liberia",21.5102571944,20.0441061559,246122.367343,0.0383548998460174
94,"eez","Togo","TGO","eez",98,"Togo","TGO","TGO",71,"Togo",7.45962481774,1.25679215494,15418.5744374,0.0136502998496871
95,"eez","Benin","BEN","eez",99,"Benin","BEN","BEN",72,"Benin",8.36747262892,2.46510649572,30227.2073971,0.0147672999552742
96,"eez","Republique du Congo","COG","eez",100,"Republique du Congo","COG","COG",73,"Republic of the Congo",9.21081817116,3.23138747484,39600.5495775,0.0498233001143672
97,"eez","Namibia","NAM","eez",101,"Namibia","NAM","NAM",74,"Namibia",38.6782742949,49.6703814413,560163.991905,0
98,"eez","South Africa","ZAF","eez",102,"South Africa","ZAF","ZAF",75,"South Africa",77.1717106102,103.617307836,1066579.43216,0.00382960002549225
99,"eez","Sao Tome and Principe","STP","eez",103,"Sao Tome and Principe","STP","STP",76,"Sao Tome and Principe",17.9659430008,10.6306332461,130827.274753,0.0628538012125136
100,"eez","Equatorial Guinea","GNQ","eez",104,"Equatorial Guinea","GNQ","GNQ",77,"Equatorial Guinea",32.2397135343,25.0709060448,308296.855385,0.0468399998108725
101,"eez","Bouvet Island","BVT","eez",105,"Bouvet Island","BVT","BVT",169,"Norway",29.7453067501,61.1533155418,441176.149239,0
102,"eez","Ghana","GHA","eez",106,"Ghana","GHA","GHA",78,"Ghana",19.9829043587,18.3364775191,225254.148659,0.162153500143613
103,"eez","Clipperton Island","CPT","eez",107,"Clipperton Island","CPT","Clipperton Island",79,"Clipperton Island",21.2848500716,35.6107446088,431274.875371,0.00786220003268681
104,"eez","Bermuda","BMU","eez",108,"Bermuda","BMU","BMU",85,"British Caribbean Territories",25.2920437486,43.1533919293,450344.19605,0.000716599993247655
105,"eez","Galapagos Islands","ECU","eez",137,"Ecuador","ECU","Galapagos Islands",103,"Ecuador",43.337605636,67.9373047847,835520.202869,0.0036268000390919
106,"eez","Bahamas","BHS","eez",110,"Bahamas","BHS","BHS",80,"Bahamas",144.342545227,53.3425961053,595125.110903,0.00253179998642736
107,"eez","Turks and Caicos Islands","TCA","eez",111,"Turks and Caicos Islands","TCA","TCA",85,"British Caribbean Territories",22.5559204437,13.4811153398,153512.884084,0.00101739999328856
108,"eez","Cuba","CUB","eez",112,"Cuba","CUB","CUB",81,"Cuba",175.229699957,31.7741035478,364055.83435,0.0098533999197025
109,"eez","Cayman Islands","CYM","eez",113,"Cayman Islands","CYM","CYM",85,"British Caribbean Territories",14.476637408,10.228456401,119096.220999,0.000560699985835527
110,"eez","Haiti","HTI","eez",114,"Haiti","HTI","HTI",82,"Haiti",33.4047114335,10.518281711,123370.945694,0.000836999987805029
111,"eez","Dominican Republic","DOM","eez",115,"Dominican Republic","DOM","DOM",83,"Dominican Republic",38.1808957195,23.0084325246,269325.988129,0.00683849990829913
112,"eez","British Virgin Islands","VGB","eez",117,"British Virgin Islands","VGB","VGB",85,"British Caribbean Territories",14.7895662477,6.93197059915,80104.9046441,0.000788599994848482
113,"eez","Anguilla","AIA","eez",118,"Anguilla","AIA","AIA",85,"British Caribbean Territories",12.7171536507,7.95853151321,92174.7641974,0.000107999999672757
114,"eez","Saint Kitts and Nevis","KNA","eez",119,"Saint Kitts and Nevis","KNA","KNA",86,"Saint Kitts and Nevis",5.23281896126,0.866202407968,10206.4632983,1.32999996640137e-05
115,"eez","Antigua and Barbuda","ATG","eez",120,"Antigua and Barbuda","ATG","ATG",87,"Antigua and Barbuda",16.2706869776,9.24611127271,107925.303979,4.45999988733092e-05
116,"eez","Montserrat","MSR","eez",121,"Montserrat","MSR","MSR",85,"British Caribbean Territories",3.92455548047,0.641950729827,7586.90000468,8.69999978021951e-06
117,"eez","Saint Lucia","LCA","eez",122,"Saint Lucia","LCA","LCA",88,"Saint Lucia",7.92977174365,1.29342461049,15468.033881,0
118,"eez","Dominica","DMA","eez",123,"Dominica","DMA","DMA",89,"Dominica",12.6956244288,2.40766454351,28585.0317581,2.42000001890119e-05
119,"eez","Barbados","BRB","eez",124,"Barbados","BRB","BRB",90,"Barbados",15.4517817284,15.3465759257,183904.973646,0.00213140002961154
120,"eez","Grenada","GRD","eez",125,"Grenada","GRD","GRD",91,"Grenada",9.16177247729,2.17002421123,26121.3171359,3.74999990526703e-05
121,"eez","Trinidad and Tobago","TTO","eez",126,"Trinidad and Tobago","TTO","TTO",92,"Trinidad and Tobago",18.5469298907,6.23027709498,75326.3166731,0.00144089997538686
122,"eez","Saint Vincent and the Grenadines","VCT","eez",127,"Saint Vincent and the Grenadines","VCT","VCT",93,"Saint Vincent and the Grenadines",10.4226429167,3.02597267442,36294.0656127,1.85999995301245e-05
123,"eez","Panama","PAN","eez",129,"Panama","PAN","PAN",95,"Panama",79.6829410032,27.1782540513,330926.657623,0.0010841999875629
124,"eez","Costa Rica","CRI","eez",130,"Costa Rica","CRI","CRI",96,"Costa Rica",46.0496758861,46.8106742658,571959.450504,0.031567300016286
125,"eez","Nicaragua","NIC","eez",131,"Nicaragua","NIC","NIC",97,"Nicaragua",51.3984137477,18.5392543125,222605.329209,0.00284890004473709
126,"eez","Colombia","COL","eez",132,"Colombia","COL","COL",98,"Colombia",102.73220475,59.8573554317,726189.062223,0.000540399986421107
127,"eez","Honduras","HND","eez",133,"Honduras","HND","HND",99,"Honduras",34.5281674599,18.5495852605,218569.879955,0.00106500001413224
128,"eez","El Salvador","SLV","eez",134,"El Salvador","SLV","SLV",100,"El Salvador",16.5822826989,7.77008478175,93647.3177291,0.00780490011093207
129,"eez","Mexico","MEX","eez",135,"Mexico","MEX","MEX",101,"Mexico",306.730265171,285.803760635,3268727.25837,0.136472500282034
130,"eez","Guatemala","GTM","eez",136,"Guatemala","GTM","GTM",102,"Guatemala",15.6431343482,9.78609598881,117625.549879,0.00487999998447776
131,"eez","Ecuador","ECU","eez",137,"Ecuador","ECU","ECU",103,"Ecuador",43.3294970715,19.2741878633,237140.308376,0.00213589997336385
132,"eez","Peru","PER","eez",138,"Peru","PER","PER",104,"Peru",61.059224124,69.3631279933,833246.818024,0.0240519998117816
133,"eez","Venezuela","VEN","eez",139,"Venezuela","VEN","VEN",105,"Venezuela",97.7721922192,39.1827523033,470360.989135,0.00127709998247155
134,"eez","Faeroe Islands","FRO","eez",141,"Faeroe Islands","FRO","FRO",126,"Denmark",44.8956587108,46.8185425877,267834.07338,0
135,"eez","Iceland","ISL","eez",143,"Iceland","ISL","ISL",107,"Iceland",193.902807885,142.376230939,755964.396092,0
136,"eez","Jan Mayen","SJM","eez",144,"Jan Mayen","SJM","SJM",169,"Norway",39.5818281285,72.5699446684,292534.709961,0
137,"eez","Greenland","GRL","eez",145,"Greenland","GRL","GRL",126,"Denmark",1997.52659001,742.570526098,2276206.55675,0
138,"eez","Pitcairn","PCN","eez",146,"Pitcairn","PCN","PCN",108,"British Pacific Territories (Pitcairn)",34.6813846372,74.5755879593,836110.224726,0
139,"eez","French Polynesia","PYF","eez",147,"French Polynesia","PYF","PYF",109,"French Polynesia",154.416619674,410.872483348,4771710.01674,0
140,"eez","Line Group","KIR","eez",148,"Line Group","KIR","Line Group",161,"Kiribati",71.5772008617,134.63482355,1645364.31398,0.000574200007104082
141,"eez","Jarvis Island","UMI","eez",149,"Jarvis Island","UMI","Jarvis Island",110,"Jarvis Island",18.5423119567,25.7283385931,316555.566303,0
142,"eez","Palmyra Atoll","UMI","eez",150,"Palmyra Atoll","UMI","Palmyra Atoll",114,"USA Pacific Uninhabited Territories",23.4983381674,28.7048393435,350841.466974,0
143,"eez","American Samoa","ASM","eez",151,"American Samoa","ASM","ASM",111,"USA Pacific Inhabited Territories",29.7903591204,33.8288097482,404370.433194,0
144,"eez","Samoa","WSM","eez",152,"Samoa","WSM","WSM",112,"Samoa",18.4792865628,10.9716093102,131511.659347,0
145,"eez","Cook Islands","COK","eez",153,"Cook Islands","COK","COK",115,"New Zealand",68.7477224903,165.387945279,1960033.62368,0
146,"eez","Niue","NIU","eez",154,"Niue","NIU","NIU",115,"New Zealand",19.7277432214,27.2551723386,316592.585811,0
147,"eez","Tonga","TON","eez",155,"Tonga","TON","TON",113,"Tonga",41.337503446,57.5374312239,664753.941856,0
148,"eez","Tokelau","TKL","eez",156,"Tokelau","TKL","TKL",115,"New Zealand",21.6449252619,26.2127193908,319039.490457,0
149,"eez","Phoenix Group","KIR","eez",157,"Phoenix Group","KIR","Phoenix Group",161,"Kiribati",32.0703811164,60.5247708179,743055.13421,0.000298500014177989
150,"eez","Howland Island and Baker Island","UMI","eez",158,"Howland Island and Baker Island","UMI","Howland Island and Baker Island",111,"USA Pacific Inhabited Territories",21.6011701209,35.3517613233,434920.048378,0
151,"eez","Johnston Atoll","UMI","eez",159,"Johnston Atoll","UMI","Johnston Atoll",114,"USA Pacific Uninhabited Territories",21.861409619,37.5281457877,442632.540632,0
152,"eez","Hawaii","USA-HI","eez",163,"United States","USA","Hawaii",116,"United States",104.893626027,220.08843449,2474583.33181,0.00794979994730966
153,"eez","Wallis and Futuna","WLF","eez",161,"Wallis and Futuna","WLF","WLF",109,"French Polynesia",22.3411735549,21.7619196331,261304.838799,0
154,"eez","New Zealand","NZL","eez",162,"New Zealand","NZL","NZL",115,"New Zealand",364.999121018,455.391981356,4104567.00395,0.00804289982119371
155,"eez","United States","USA-48","eez",163,"United States","USA","USA",116,"United States",670.646507514,241.677676831,2440486.40225,0.0323003000692188
156,"eez","Belize","BLZ","eez",164,"Belize","BLZ","BLZ",117,"Belize",24.6754582231,3.06271098034,36048.9735555,0.000708300007099751
157,"eez","Jamaica","JAM","eez",166,"Jamaica","JAM","JAM",118,"Jamaica",28.2924188572,20.7640252436,245007.938297,0.000383800003764918
158,"eez","Guyana","GUY","eez",167,"Guyana","GUY","GUY",119,"Guyana",20.0705884933,11.1757759648,136029.91454,0.0134761000791332
159,"eez","Suriname","SUR","eez",168,"Suriname","SUR","SUR",120,"Suriname",16.0834015911,10.4503834701,127521.33258,0.00403150006386568
160,"eez","French Guiana","GUF","eez",169,"French Guiana","GUF","GUF",121,"French Guiana",18.240716287,11.0881571443,135559.739331,0.00239769999083364
161,"eez","Alaska","USA-AK","eez",163,"United States","USA","Alaska",116,"United States",1108.88228773,585.899339153,3703672.32935,0
162,"eez","Brazil","BRA","eez",171,"Brazil","BRA","BRA",122,"Brazil",416.25677987,269.281993337,3183280.81612,0.237004600885666
163,"eez","Argentina","ARG","eez",172,"Argentina","ARG","ARG",123,"Argentina",148.095928795,129.041461347,1083544.54031,0.000184999995326507
164,"eez","Uruguay","URY","eez",173,"Uruguay","URY","URY",124,"Uruguay",26.2818104892,12.9299521891,129812.729512,0.000265499999732128
165,"eez","Finland","FIN","eez",174,"Finland","FIN","FIN",125,"Finland",461.944926855,13.5269198853,79641.3713848,0
166,"eez","Denmark","DNK","eez",175,"Denmark","DNK","DNK",126,"Denmark",96.8866914689,14.5806760947,100848.713386,0
167,"eez","Germany","DEU","eez",176,"Germany","DEU","DEU",127,"Germany",64.3185898036,7.84360680177,56482.2641822,0
168,"eez","Netherlands","NLD","eez",177,"Netherlands","NLD","NLD",128,"Netherlands",34.6270613566,8.73352793126,64317.3911678,0
169,"eez","Poland","POL","eez",178,"Poland","POL","POL",129,"Poland",21.3221139736,4.48420735193,32013.9687604,0
170,"eez","France","FRA","eez",179,"France","FRA","FRA",130,"France",123.032620772,39.9964346973,343888.912433,0
171,"eez","United Kingdom","GBR","eez",180,"United Kingdom","GBR","GBR",131,"United Kingdom",325.520130339,106.87748623,725225.973539,0
172,"eez","Ireland","IRL","eez",181,"Ireland","IRL","IRL",132,"Ireland",116.247989963,56.7631619193,427190.776588,0
173,"eez","Spain","ESP","eez",182,"Spain","ESP","ESP",133,"Spain",108.612838751,60.06715358,555238.86429,1.39999996463303e-06
174,"eez","Portugal","PRT","eez",183,"Portugal","PRT","PRT",134,"Portugal",36.1320835708,32.0745140998,311228.410275,0
175,"eez","Italy","ITA","eez",184,"Italy","ITA","ITA",135,"Italy",145.356757482,56.5027355999,538202.977028,0
176,"eez","Monaco","MCO","eez",185,"Monaco","MCO","MCO",136,"Monaco",1.79038392447,0.031554611674,284.213722743,0
177,"eez","Montenegro","MNE","eez",186,"Montenegro","MNE","SCG",137,"Serbia and Montenegro",5.74225688757,0.807733116769,7454.44574484,0
178,"eez","Croatia","HRV","eez",187,"Croatia","HRV","HRV",138,"Croatia",71.9112212413,6.1637778767,55441.8586119,0
179,"eez","Slovenia","SVN","eez",188,"Slovenia","SVN","SVN",139,"Slovenia",0.921557383759,0.0214799938624,186.335878586,0
180,"eez","Lithuania","LTU","eez",189,"Lithuania","LTU","LTU",140,"Lithuania",7.22786055411,0.877950925929,6141.46896348,0
181,"eez","Qatar","QAT","eez",190,"Qatar","QAT","QAT",141,"Qatar",16.4921987399,2.86867419294,31857.2048262,0.0931983989477158
182,"eez","Iran","IRN","eez",191,"Iran","IRN","IRN",142,"Iran",70.1960358426,14.7773563162,163119.296077,0.522304602045224
183,"eez","Iraq","IRQ","eez",192,"Iraq","IRQ","IRQ",143,"Iraq",2.54115611656,0.0554423975854,593.836219074,9.49999976000981e-06
184,"eez","Guinea Bissau","GNB","eez",193,"Guinea Bissau","GNB","GNB",144,"Guinea-Bissau",39.6811143835,8.7439503098,105838.326758,0.0283100998889131
185,"eez","Guinea","GIN","eez",194,"Guinea","GIN","GIN",145,"Guinea",24.9392063768,9.00206321073,109433.955935,0.011259799979598
186,"eez","Ivory Coast","CIV","eez",195,"Ivory Coast","CIV","CIV",146,"Ivory Coast",17.9811386192,14.1350376907,173683.570528,0.0332370998978149
187,"eez","Nigeria","NGA","eez",196,"Nigeria","NGA","NGA",147,"Nigeria",40.1133930168,14.7966731281,181654.998704,0.505508998440928
