"","ISO","Country","Year","WasteIndex"
"152","KOR","South Korea",2014,83.68
"153","ESP","Spain",2014,92.8272
"154","LKA","Sri Lanka",2014,0
"155","SDN","Sudan",2014,0
"156","SUR","Suriname",2014,0.01
"157","SWZ","Swaziland",2014,55.5
"158","SWE","Sweden",2014,87.8571428571429
"159","CHE","Switzerland",2014,96.95
"160","SYR","Syria",2014,82.1708542752
"161","TWN","Taiwan",2014,4.59085
"162","TJK","Tajikistan",2014,2.25
"163","TZA","Tanzania",2014,0.425
"164","THA","Thailand",2014,16
"165","TLS","Timor-Leste",2014,0.3
"166","TGO","Togo",2014,0
"167","TTO","Trinidad and Tobago",2014,5.25064489795918
"168","TUN","Tunisia",2014,27.7731021668479
"169","TUR","Turkey",2014,48.9315272727273
"170","TKM","Turkmenistan",2014,9.8
"171","UGA","Uganda",2014,0.56
"172","UKR","Ukraine",2014,14.7
"173","ARE","United Arab Emirates",2014,67.06395
"174","GBR","United Kingdom",2014,97.927095
"175","USA","United States of America",2014,63.665
"176","URY","Uruguay",2014,6.675
"177","UZB","Uzbekistan",2014,0
"178","VEN","Venezuela",2014,14.9382909090909
"179","VNM","Viet Nam",2014,0.1375
"180","YEM","Yemen",2014,0.48795
"181","ZMB","Zambia",2014,4.2
"182","ZWE","Zimbabwe",2014,14.0319587616
