species,seaweed
Rooster venus,
Akiami paste shrimp,
Metapenaeus shrimps nei,
Penguin wing oyster,
Red seaweeds,yes
Sea cucumbers nei,
Silver barb,
Babberlocks,yes
Dulse,yes
Stony sea urchin,
Tangle,
"Striped bass, hybrid",
Black bullhead,
Common prawn,
Common two-banded seabream,
Green tiger prawn,
Red swamp crawfish,
Blackhead seabream,
Crimson seabream,
Filefishes nei,
Gazami crab,
Japanese amberjack,
Japanese jack mackerel,
Laver (Nori),yes
"Octopuses, etc. nei",
Pacific bluefin tuna,
Sea squirts nei,
Spiny lobsters nei,
White trevally,
Yesso scallop,
Gelidium seaweeds,yes
Dotted gizzard shad,
"Filefishes, leatherjackets nei",
Fragile codium,yes
Globose clam,
Green laver,yes
Horned turban,
Inflated ark,
Japanese hard clam,
Korean mussel,
Korean rockfish,
Mackerels nei,
Okhotsk atka mackerel,
Oriental cyclina,
Scorpionfishes nei,
Goldsilk seabream,
John's snapper,
Spiny eucheuma,yes
Sabaki tilapia,
Hooded oyster,
Bastard halibuts nei,
Callinectes swimcrabs nei,
Cortez oyster,
Crevalle jack,
Mojarras(=Silver-biddies) nei,
Pacific calico scallop,
Yellowfin tuna,
Japanese meagre,
Orange mud crab,
Pangas catfishes nei,
Perlemoen abalone,
Soles nei,
Stromboid conchs nei,
New Zealand mussel,
Chars nei,
Yellowfin seabream,
Bear paw clam,
Crocus giant clam,
Elongate giant clam,
Fluted giant clam,
Giant clam,
Smooth giant clam,
[Chondracanthus chamissoi],yes
False abalone,
Flatfishes nei,
Kelp nei,yes
Caulerpa seaweeds,yes
Flathead lobster,
"Groupers, seabasses nei",
Percoids nei,
Scats,
Slipper cupped oyster,
[Solea spp],
Atlantic ditch shrimp,
Blackspot(=red) seabream,
Brill,
Common cuttlefish,
"Croakers, drums nei",
Golden carpet shell,
Octopuses nei,
Peppery furrow,
Pullet carpet shell,
Sargo breams nei,
Seabasses nei,
Solen razor clams nei,
Spotted seabass,
Bluegill,
Silver carp,
Sturgeons nei,
Ballan wrasse,
Drums nei,
Green turtle,
Bluespot mullet,
Sandfish,
[Spirulina maxima],yes
Bigeye trevally,
Bighead carp,
Black grouper,
Blue swimming crab,
Brown-marbled grouper,
Fourfinger threadfin,
Giant grouper,
Golden trevally,
Green humphead parrotfish,
Humpback grouper,
Indonesian snakehead,
Malabar grouper,
Marble goby,
Mud spiny lobster,
Papuan black snapper,
Spotted coralgrouper,
Streaked spinefoot,
Warty venus,
Carpet shells nei,
Red bait,
Smooth mactra,
Banded carpet shell,
Big-scale sand smelt,
Brown meagre,
Donax clams,
Gastropods nei,
Greater amberjack,
Green crab,
Groundfishes nei,
Palaemonid shrimps nei,
Pod razor shell,
Pollack,
Queen scallop,
Spinous spider crab,
Striped venus,
Variegated scallop,
Daggertooth pike conger,
Diphos sanguin,
Gobies nei,
Greasyback shrimp,
Great blue spotted mudskipper,
Japanese eel,
Japanese spiny lobster,
Malabar trevally,
Mi-iuy (brown) croaker,
Redtail prawn,
"Snappers, jobfishes nei",
Trumpet emperor,
Two-spot red snapper,
Waigieu seaperch,
Warty gracilaria,yes
Yellowback seabream,
Horse mussels nei,
Squaretail mullet,
Mozuku,yes
Bluefish,
Thinlip grey mullet,
Queen conch,
Baltic prawn,
Silversides(=Sand smelts) nei,
So-iuy mullet,
Chum(=Keta=Dog) salmon,
Common carp,
Salmonoids nei,
Sockeye(=Red) salmon,
Northern quahog(=Hard clam),
Black seabass,
Blue crab,
Cockles nei,
Longfin yellowtail,
Northern white shrimp,
Olympia oyster,
Pacific geoduck,
Pacific horse clam,
Pacific littleneck clam,
Sand gaper,
Atlantic spadefish,
