sp_type,sp_type_orig,sp_name_orig,sp_id,sp_name,sp_id_old_notunique,sp_key,rgn_type,rgn_id,rgn_name,rgn_key,cntry_id12,rgn_id12,rgn_name12,notes
eez,eez,Ile Tromelin,36,Ile Tromelin,36,ATF,eez,36,Ile Tromelin,XIT,Ile Tromelin,21,French Indian Ocean Territories,
land,land,Ile Tromelin,36,Ile Tromelin,36,ATF,land,36,Ile Tromelin,XIT,Ile Tromelin,21,French Indian Ocean Territories,
eez,eez,Howland Island and Baker Island,158,Howland Island and Baker Island,158,UMI,eez,158,Howland Island and Baker Island,XHB,Howland Island and Baker Island,111,USA Pacific Inhabited Territories,
land,land,Howland Island and Baker Island,158,Howland Island and Baker Island,158,UMI,land,158,Howland Island and Baker Island,XHB,Howland Island and Baker Island,111,USA Pacific Inhabited Territories,
eez,eez,Guadeloupe,252,Guadeloupe,252,GLP,eez,140,Guadeloupe and Martinique,XGM,GLP|MTQ,106,French Caribbean Territories,
eez,eez,Martinique,251,Martinique,251,MTQ,eez,140,Guadeloupe and Martinique,XGM,GLP|MTQ,106,French Caribbean Territories,
land,land,Guadeloupe,252,Guadeloupe,252,GLP,land,140,Guadeloupe and Martinique,XGM,GLP|MTQ,106,French Caribbean Territories,
land,land,Martinique,251,Martinique,251,MTQ,land,140,Guadeloupe and Martinique,XGM,GLP|MTQ,106,French Caribbean Territories,
eez,eez,Glorioso Islands,30,Glorioso Islands,30,ATF,eez,30,Glorioso Islands,XGL,Glorioso Islands,21,French Indian Ocean Territories,
land,land,Glorioso Islands,30,Glorioso Islands,30,ATF,land,30,Glorioso Islands,XGL,Glorioso Islands,21,French Indian Ocean Territories,
eez,eez,Ile Europa,35,Ile Europa,35,ATF,eez,35,Ile Europa,XEU,Ile Europa,21,French Indian Ocean Territories,
land,land,Ile Europa,35,Ile Europa,35,ATF,land,35,Ile Europa,XEU,Ile Europa,21,French Indian Ocean Territories,
eez,eez,Crozet Islands,91,Crozet Islands,91,ATF,eez,91,Crozet Islands,XCZ,Crozet Islands,67,French Southern Ocean Territories,
land,land,Crozet Islands,91,Crozet Islands,91,ATF,land,91,Crozet Islands,XCZ,Crozet Islands,67,French Southern Ocean Territories,
eez,eez,Canary Islands,58,Canary Islands,58,ESP,eez,58,Canary Islands,XCI,Canary Islands,133,Spain,
land,land,Canary Islands,58,Canary Islands,58,ESP,land,58,Canary Islands,XCI,Canary Islands,133,Spain,
eez,eez,Bassas da India,34,Bassas da India,34,ATF,eez,34,Bassas da India,XBI,Bassas da India,21,French Indian Ocean Territories,
land,land,Bassas da India,34,Bassas da India,34,ATF,land,34,Bassas da India,XBI,Bassas da India,21,French Indian Ocean Territories,
eez,eez,Azores,55,Azores,55,PRT,eez,55,Azores,XAZ,Azores,134,Portugal,
land,land,Azores,55,Azores,55,PRT,land,55,Azores,XAZ,Azores,134,Portugal,
eez,eez,Amsterdam Island and Saint Paul Island,92,Amsterdam Island and Saint Paul Island,92,ATF,eez,92,Amsterdam Island and Saint Paul Island,XAS,Amsterdam Island and Saint Paul Island,67,French Southern Ocean Territories,
land,land,Amsterdam Island and Saint Paul Island,92,Amsterdam Island and Saint Paul Island,92,ATF,land,92,Amsterdam Island and Saint Paul Island,XAS,Amsterdam Island and Saint Paul Island,67,French Southern Ocean Territories,
eez,eez,Andaman and Nicobar,26,Andaman and Nicobar,26,IND,eez,26,Andaman and Nicobar,XAN,Andaman and Nicobar,153,India,
land,land,Andaman and Nicobar,26,Andaman and Nicobar,26,IND,land,26,Andaman and Nicobar,XAN,Andaman and Nicobar,153,India,
eez,eez,South Africa,102,South Africa,102,ZAF,eez,102,South Africa,ZAF,ZAF,75,South Africa,
land,land,South Africa,102,South Africa,102,ZAF,land,102,South Africa,ZAF,ZAF,75,South Africa,
eez,eez,Yemen,47,Yemen,47,YEM,eez,47,Yemen,YEM,YEM,33,Yemen,
land,land,Yemen,47,Yemen,47,YEM,land,47,Yemen,YEM,YEM,33,Yemen,
fao,fao,71,1071,"Pacific, Western Central",71,XPWC,fao,274,"Pacific, Western Central",XPWC,,,,
fao,fao,81,1081,"Pacific, Southwest",81,XPSW,fao,276,"Pacific, Southwest",XPSW,,,,
fao,fao,87,1087,"Pacific, Southeast",87,XPSE,fao,277,"Pacific, Southeast",XPSE,,,,
fao,fao,61,1061,"Pacific, Northwest",61,XPNW,fao,272,"Pacific, Northwest",XPNW,,,,
fao,fao,67,1067,"Pacific, Northeast",67,XPNE,fao,273,"Pacific, Northeast",XPNE,,,,
fao,fao,77,1077,"Pacific, Eastern Central",77,XPEC,fao,275,"Pacific, Eastern Central",XPEC,,,,
fao,fao,51,1051,"Indian Ocean, Western",51,XIWE,fao,269,"Indian Ocean, Western",XIWE,,,,
fao,fao,57,1057,"Indian Ocean, Eastern",57,XIEA,fao,270,"Indian Ocean, Eastern",XIEA,,,,
eez-disputed,eez,Australia - East Timor,238,Australia - East Timor,238,XD-AU-TL,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Australia - Papua New Guinea,239,Australia - Papua New Guinea,239,XD-AU-PG,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Australia/Indonesia,251,Australia/Indonesia,251,XD-AU-ID,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Colombia - Jamaica,165,Colombia - Jamaica,165,XD-CO-JM,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Conflict Zone,217,Conflict Zone,217,XD-CN-JP,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Japan - Korea,211,Japan - Korea,211,XD-JP-KP,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Japan - South Korea Conflict Zone,226,Japan - South Korea Conflict Zone,226,XD-JP-KR,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Kenya/Somalia,254,Kenya/Somalia,254,XD-KE-SO,eez-disputed,255,DISPUTED,XD,XD,174,,
eez-disputed,eez,Nigeria - Sao Tome and Principe,201,Nigeria - Sao Tome and Principe,201,XD-NE-ST,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Paracel Islands,22,Paracel Islands,22,XD-PF,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Southern Kuriles,27,Southern Kuriles,27,XD-KU,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Spratly Islands,23,Spratly Islands,23,XD-PG,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Sudan/Egypt,214,Sudan/Egypt,214,XD-EG-SD,eez-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
eez-disputed,eez,Trinidad and Tobago/Venezuela/Guyana,260,Trinidad and Tobago/Venezuela/Guyana,260,XD-TT-VE-GY,eez-disputed,255,DISPUTED,XD,XD,174,,
eez-disputed,eez,Western Sahara/Mauritania,257,Western Sahara/Mauritania,257,XD-EH-MR,eez-disputed,255,DISPUTED,XD,XD,174,,
land-disputed,land,Australia - Papua New Guinea,239,Australia - Papua New Guinea,239,XD-AU-PG,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
land-disputed,land,Colombia - Jamaica,165,Colombia - Jamaica,165,XD-CO-JM,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
land-disputed,land,Conflict Zone,217,Conflict Zone,217,XD-CN-JP,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
land-disputed,land,Japan - South Korea Conflict Zone,226,Japan - South Korea Conflict Zone,226,XD-JP-KR,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
land-disputed,land,Paracel Islands,22,Paracel Islands,22,XD-PF,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
land-disputed,land,Southern Kuriles,27,Southern Kuriles,27,XD-KU,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
land-disputed,land,Spratly Islands,23,Spratly Islands,23,XD-PG,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
land-disputed,land,Sudan/Egypt,214,Sudan/Egypt,214,XD-EG-SD,land-disputed,255,DISPUTED,XD,XD,174,DISPUTED,
fao,fao,31,1031,"Atlantic, Western-Central",31,XAWC,fao,263,"Atlantic, Western-Central",XAWC,,,,
fao,fao,41,1041,"Atlantic, Southwest",41,XASW,fao,266,"Atlantic, Southwest",XASW,,,,
fao,fao,47,1047,"Atlantic, Southeast",47,XASE,fao,267,"Atlantic, Southeast",XASE,,,,
fao,fao,18,1018,Arctic Sea,18,XARC,fao,260,Arctic Sea,XARC,,,,
fao,fao,21,1021,"Atlantic, Northwest",21,XANW,fao,261,"Atlantic, Northwest",XANW,,,,
fao,fao,27,1027,"Atlantic, Northeast",27,XANE,fao,262,"Atlantic, Northeast",XANE,,,,
fao,fao,34,1034,"Atlantic, Eastern Central",34,XAEC,fao,264,"Atlantic, Eastern Central",XAEC,,,,
eez,eez,Samoa,152,Samoa,152,WSM,eez,152,Samoa,WSM,WSM,112,Samoa,
land,land,Samoa,152,Samoa,152,WSM,land,152,Samoa,WSM,WSM,112,Samoa,
eez,eez,Wallis and Futuna,161,Wallis and Futuna,161,WLF,eez,161,Wallis and Futuna,WLF,WLF,109,French Polynesia,
land,land,Wallis and Futuna,161,Wallis and Futuna,161,WLF,land,161,Wallis and Futuna,WLF,WLF,109,French Polynesia,
eez,eez,Vanuatu,6,Vanuatu,6,VUT,eez,6,Vanuatu,VUT,VUT,4,Vanuatu,
land,land,Vanuatu,6,Vanuatu,6,VUT,land,6,Vanuatu,VUT,VUT,4,Vanuatu,
eez,eez,Vietnam,207,Vietnam,207,VNM,eez,207,Vietnam,VNM,VNM,157,Vietnam,
land,land,Vietnam,207,Vietnam,207,VNM,land,207,Vietnam,VNM,VNM,157,Vietnam,
eez,eez,British Virgin Islands,117,British Virgin Islands,117,VGB,eez,117,British Virgin Islands,VGB,VGB,85,British Caribbean Territories,
land,land,British Virgin Islands,117,British Virgin Islands,117,VGB,land,117,British Virgin Islands,VGB,VGB,85,British Caribbean Territories,
eez,eez,Venezuela,139,Venezuela,139,VEN,eez,139,Venezuela,VEN,VEN,105,Venezuela,
land,land,Venezuela,139,Venezuela,139,VEN,land,139,Venezuela,VEN,VEN,105,Venezuela,
eez,eez,Saint Vincent and the Grenadines,127,Saint Vincent and the Grenadines,127,VCT,eez,127,Saint Vincent and the Grenadines,VCT,VCT,93,Saint Vincent and the Grenadines,
land,land,Saint Vincent and the Grenadines,127,Saint Vincent and the Grenadines,127,VCT,land,127,Saint Vincent and the Grenadines,VCT,VCT,93,Saint Vincent and the Grenadines,
land-noeez,land-noeez,Uzbekistan,335,Uzbekistan,335,UZB,land-noeez,335,Uzbekistan,UZB,,,,
eez,eez,Alaska,170,Alaska,170,USA-AK,eez,163,United States,USA,Alaska,116,United States,
eez,eez,Hawaii,160,Hawaii,160,USA-HI,eez,163,United States,USA,Hawaii,116,United States,
eez,eez,United States,163,United States,163,USA-48,eez,163,United States,USA,USA,116,United States,
land,land,Alaska,170,Alaska,170,USA-AK,land,163,United States,USA,Alaska,116,United States,
land,land,Hawaii,160,Hawaii,160,USA-HI,land,163,United States,USA,Hawaii,116,United States,
land,land,United States,163,United States,163,USA-48,land,163,United States,USA,USA,116,United States,
eez,eez,Uruguay,173,Uruguay,173,URY,eez,173,Uruguay,URY,URY,124,Uruguay,
land,land,Uruguay,173,Uruguay,173,URY,land,173,Uruguay,URY,URY,124,Uruguay,
eez,eez,Ukraine,75,Ukraine,75,UKR,eez,75,Ukraine,UKR,UKR,58,Ukraine,
land,land,Ukraine,75,Ukraine,19,UKR,land,75,Ukraine,UKR,UKR,58,Ukraine,
land-noeez,land-noeez,Uganda,334,Uganda,334,UGA,land-noeez,334,Uganda,UGA,,,,
eez,eez,Tanzania,202,Tanzania,202,TZA,eez,202,Tanzania,TZA,TZA,152,Tanzania,
land,land,Tanzania,202,Tanzania,202,TZA,land,202,Tanzania,TZA,TZA,152,Tanzania,
eez,eez,Taiwan,14,Taiwan,14,TWN,eez,14,Taiwan,TWN,TWN,10,Taiwan,
land,land,Taiwan,14,Taiwan,14,TWN,land,14,Taiwan,TWN,TWN,10,Taiwan,
eez,eez,Tuvalu,19,Tuvalu,19,TUV,eez,19,Tuvalu,TUV,TUV,15,Tuvalu,
land,land,Tuvalu,19,Tuvalu,19,TUV,land,19,Tuvalu,TUV,TUV,15,Tuvalu,
eez,eez,Turkey,76,Turkey,76,TUR,eez,76,Turkey,TUR,TUR,59,Turkey,wierdly had to switch rgn_type from land to eez b/c of script
land,land,Turkey,76,Turkey,76,TUR,land,76,Turkey,TUR,TUR,59,Turkey,
eez,eez,Tunisia,61,Tunisia,61,TUN,eez,61,Tunisia,TUN,TUN,44,Tunisia,
land,land,Tunisia,61,Tunisia,61,TUN,land,61,Tunisia,TUN,TUN,44,Tunisia,
eez,eez,Trinidad and Tobago,126,Trinidad and Tobago,126,TTO,eez,126,Trinidad and Tobago,TTO,TTO,92,Trinidad and Tobago,
land,land,Trinidad and Tobago,126,Trinidad and Tobago,126,TTO,land,126,Trinidad and Tobago,TTO,TTO,92,Trinidad and Tobago,
eez,eez,Tonga,155,Tonga,155,TON,eez,155,Tonga,TON,TON,113,Tonga,
land,land,Tonga,155,Tonga,155,TON,land,155,Tonga,TON,TON,113,Tonga,
eez,eez,East Timor,231,East Timor,231,TLS,eez,231,East Timor,TLS,TLS,171,East Timor,
land,land,East Timor,231,East Timor,231,TLS,land,231,East Timor,TLS,TLS,171,East Timor,
eez-inland,eez-inland,Turkmenistan,243,Turkmenistan,243,TKM,eez-inland,255,Turkmenistan,TKM,,173,,
land-noeez,land-noeez,Turkmenistan,243,Turkmenistan,243,TKM,land-noeez,255,Turkmenistan,TKM,,173,,
eez,eez,Tokelau,156,Tokelau,156,TKL,eez,156,Tokelau,TKL,TKL,115,New Zealand,
land,land,Tokelau,156,Tokelau,156,TKL,land,156,Tokelau,TKL,TKL,115,New Zealand,
land-noeez,land-noeez,Tajikistan,333,Tajikistan,333,TJK,land-noeez,333,Tajikistan,TJK,,,,
eez,eez,Thailand,25,Thailand,25,THA,eez,25,Thailand,THA,THA,19,Thailand,
land,land,Thailand,25,Thailand,25,THA,land,25,Thailand,THA,THA,19,Thailand,
eez,eez,Togo,98,Togo,98,TGO,eez,98,Togo,TGO,TGO,71,Togo,
land,land,Togo,98,Togo,98,TGO,land,98,Togo,TGO,TGO,71,Togo,
land-noeez,land-noeez,Chad,312,Chad,312,TCD,land-noeez,312,Chad,TCD,,,,
eez,eez,Turks and Caicos Islands,111,Turks and Caicos Islands,111,TCA,eez,111,Turks and Caicos Islands,TCA,TCA,85,British Caribbean Territories,
land,land,Turks and Caicos Islands,111,Turks and Caicos Islands,111,TCA,land,111,Turks and Caicos Islands,TCA,TCA,85,British Caribbean Territories,
eez,eez,Tristan da Cunha,88,Tristan da Cunha,88,TAA,eez,88,Tristan da Cunha,TAA,Tristan da Cunha,68,British Southern Ocean Territories,
land,land,Tristan da Cunha,88,Tristan da Cunha,88,TAA,land,88,Tristan da Cunha,TAA,Tristan da Cunha,68,British Southern Ocean Territories,
eez,eez,Syria,77,Syria,77,SYR,eez,77,Syria,SYR,SYR,60,Syria,
land,land,Syria,77,Syria,77,SYR,land,77,Syria,SYR,SYR,60,Syria,
eez,eez,Seychelles,31,Seychelles,31,SYC,eez,31,Seychelles,SYC,SYC,22,Seychelles,
land,land,Seychelles,31,Seychelles,31,SYC,land,31,Seychelles,SYC,SYC,22,Seychelles,
eez,eez,Sint-Maarten,220,Sint-Maarten,220,SXM,eez,220,Sint Maarten,SXM,Southern Saint-Martin,94,Netherlands Caribbean Territories,
land,land,Sint-Maarten,220,Sint-Maarten,220,SXM,land,220,Sint Maarten,SXM,Southern Saint-Martin,94,Netherlands Caribbean Territories,
eez,eez,Sweden,222,Sweden,222,SWE,eez,222,Sweden,SWE,SWE,168,Sweden,
land,land,Sweden,222,Sweden,222,SWE,land,222,Sweden,SWE,SWE,168,Sweden,
eez,eez,Slovenia,188,Slovenia,188,SVN,eez,188,Slovenia,SVN,SVN,139,Slovenia,
land,land,Slovenia,188,Slovenia,188,SVN,land,188,Slovenia,SVN,SVN,139,Slovenia,
land-noeez,land-noeez,Slovakia,331,Slovakia,331,SVK,land-noeez,331,Slovakia,SVK,,,,
eez,eez,Suriname,168,Suriname,168,SUR,eez,168,Suriname,SUR,SUR,120,Suriname,
land,land,Suriname,168,Suriname,168,SUR,land,168,Suriname,SUR,SUR,120,Suriname,
eez,eez,Sao Tome and Principe,103,Sao Tome and Principe,103,STP,eez,103,Sao Tome and Principe,STP,STP,76,Sao Tome and Principe,
land,land,Sao Tome and Principe,103,Sao Tome and Principe,103,STP,land,103,Sao Tome and Principe,STP,STP,76,Sao Tome and Principe,
land-noeez,land-noeez,Serbia,330,Serbia,330,SRB,land-noeez,330,Serbia,SRB,,,,
eez,eez,Saint Pierre and Miquelon,219,Saint Pierre and Miquelon,219,SPM,eez,219,Saint Pierre and Miquelon,SPM,SPM,167,Saint Pierre and Miquelon,
land,land,Saint Pierre and Miquelon,219,Saint Pierre and Miquelon,219,SPM,land,219,Saint Pierre and Miquelon,SPM,SPM,167,Saint Pierre and Miquelon,
eez,eez,Somalia,44,Somalia,44,SOM,eez,44,Somalia,SOM,SOM,30,Somalia,
land,land,Somalia,44,Somalia,44,SOM,land,44,Somalia,SOM,SOM,30,Somalia,
land-noeez,land-noeez,San Marino,329,San Marino,329,SMR,land-noeez,329,San Marino,SMR,,,,
eez,eez,El Salvador,134,El Salvador,134,SLV,eez,134,El Salvador,SLV,SLV,100,El Salvador,
land,land,El Salvador,134,El Salvador,134,SLV,land,134,El Salvador,SLV,SLV,100,El Salvador,
eez,eez,Sierra Leone,96,Sierra Leone,96,SLE,eez,96,Sierra Leone,SLE,SLE,69,Sierra Leone,
land,land,Sierra Leone,96,Sierra Leone,96,SLE,land,96,Sierra Leone,SLE,SLE,69,Sierra Leone,
eez,eez,Solomon Islands,7,Solomon Islands,7,SLB,eez,7,Solomon Islands,SLB,SLB,5,Solomon Islands,
land,land,Solomon Islands,7,Solomon Islands,7,SLB,land,7,Solomon Islands,SLB,SLB,5,Solomon Islands,
eez,eez,Jan Mayen,144,Jan Mayen,144,SJM,eez,144,Jan Mayen,SJM,SJM,169,Norway,
land,land,Jan Mayen,144,Jan Mayen,144,SJM,land,144,Jan Mayen,SJM,SJM,169,Norway,
eez,eez,Saint Helena,86,Saint Helena,86,SHN,eez,86,Saint Helena,SHN,SHN,68,British Southern Ocean Territories,
land,land,Saint Helena,86,Saint Helena,86,SHN,land,86,Saint Helena,SHN,SHN,68,British Southern Ocean Territories,
eez,eez,South Georgia and the South Sandwich Islands,89,South Georgia and the South Sandwich Islands,89,SGS,eez,89,South Georgia and the South Sandwich Islands,SGS,SGS,68,British Southern Ocean Territories,
land,land,South Georgia and the South Sandwich Islands,89,South Georgia and the South Sandwich Islands,89,SGS,land,89,South Georgia and the South Sandwich Islands,SGS,SGS,68,British Southern Ocean Territories,
eez,eez,Singapore,208,Singapore,208,SGP,eez,208,Singapore,SGP,SGP,158,Singapore,
land,land,Singapore,208,Singapore,208,SGP,land,208,Singapore,SGP,SGP,158,Singapore,
eez,eez,Senegal,66,Senegal,66,SEN,eez,66,Senegal,SEN,SEN,49,Senegal,
land,land,Senegal,66,Senegal,66,SEN,land,66,Senegal,SEN,SEN,49,Senegal,
eez,eez,Sudan,49,Sudan,49,SDN,eez,49,Sudan,SDN,SDN,35,Sudan,
land,land,Sudan,49,Sudan,49,SDN,land,49,Sudan,SDN,SDN,35,Sudan,
eez,eez,Saudi Arabia,50,Saudi Arabia,50,SAU,eez,50,Saudi Arabia,SAU,SAU,36,Saudi Arabia,
land,land,Saudi Arabia,50,Saudi Arabia,50,SAU,land,50,Saudi Arabia,SAU,SAU,36,Saudi Arabia,
land-noeez,land-noeez,Rwanda,328,Rwanda,328,RWA,land-noeez,328,Rwanda,RWA,,,,
eez,eez,Russia,73,Russia,73,RUS,eez,73,Russia,RUS,RUS,56,Russia,
land,land,Russia,73,Russia,73,RUS,land,73,Russia,RUS,RUS,56,Russia,
eez,eez,Romania,72,Romania,72,ROU,eez,72,Romania,ROU,ROU,55,Romania,
land,land,Romania,72,Romania,72,ROU,land,72,Romania,ROU,ROU,55,Romania,
eez,eez,Reunion,32,Reunion,32,REU,eez,32,Reunion,REU,REU,21,French Indian Ocean Territories,
land,land,Reunion,32,Reunion,32,REU,land,32,Reunion,REU,REU,21,French Indian Ocean Territories,
eez,eez,Qatar,190,Qatar,190,QAT,eez,190,Qatar,QAT,QAT,141,Qatar,
land,land,Qatar,190,Qatar,190,QAT,land,190,Qatar,QAT,QAT,141,Qatar,
eez,eez,French Polynesia,147,French Polynesia,147,PYF,eez,147,French Polynesia,PYF,PYF,109,French Polynesia,
land,land,French Polynesia,147,French Polynesia,147,PYF,land,147,French Polynesia,PYF,PYF,109,French Polynesia,
land-noeez,land-noeez,Paraguay,327,Paraguay,327,PRY,land-noeez,327,Paraguay,PRY,,,,
eez,eez,Portugal,183,Portugal,183,PRT,eez,183,Portugal,PRT,PRT,134,Portugal,
land,land,Portugal,183,Portugal,183,PRT,land,183,Portugal,PRT,PRT,134,Portugal,
eez,eez,North Korea,21,North Korea,21,PRK,eez,21,North Korea,PRK,PRK,17,North Korea,
land,land,North Korea,21,North Korea,21,PRK,land,21,North Korea,PRK,PRK,17,North Korea,
eez,eez,Poland,178,Poland,178,POL,eez,178,Poland,POL,POL,129,Poland,
land,land,Poland,178,Poland,178,POL,land,178,Poland,POL,POL,129,Poland,
eez,eez,Papua New Guinea,17,Papua New Guinea,17,PNG,eez,17,Papua New Guinea,PNG,PNG,13,Papua New Guinea,
land,land,Papua New Guinea,17,Papua New Guinea,17,PNG,land,17,Papua New Guinea,PNG,PNG,13,Papua New Guinea,
eez,eez,Palau,8,Palau,8,PLW,eez,8,Palau,PLW,PLW,6,Palau,
land,land,Palau,8,Palau,8,PLW,land,8,Palau,PLW,PLW,6,Palau,
eez,eez,Philippines,15,Philippines,15,PHL,eez,15,Philippines,PHL,PHL,11,Philippines,
land,land,Philippines,15,Philippines,15,PHL,land,15,Philippines,PHL,PHL,11,Philippines,
eez,eez,Peru,138,Peru,138,PER,eez,138,Peru,PER,PER,104,Peru,
land,land,Peru,138,Peru,138,PER,land,138,Peru,PER,PER,104,Peru,
eez,eez,Pitcairn,146,Pitcairn,146,PCN,eez,146,Pitcairn,PCN,PCN,108,British Pacific Territories (Pitcairn),
land,land,Pitcairn,146,Pitcairn,146,PCN,land,146,Pitcairn,PCN,PCN,108,British Pacific Territories (Pitcairn),
eez,eez,Panama,129,Panama,129,PAN,eez,129,Panama,PAN,PAN,95,Panama,
land,land,Panama,129,Panama,129,PAN,land,129,Panama,PAN,PAN,95,Panama,
eez,eez,Pakistan,53,Pakistan,53,PAK,eez,53,Pakistan,PAK,PAK,39,Pakistan,
land,land,Pakistan,53,Pakistan,53,PAK,land,53,Pakistan,PAK,PAK,39,Pakistan,
eez,eez,Oman,48,Oman,48,OMN,eez,48,Oman,OMN,OMN,34,Oman,
land,land,Oman,48,Oman,48,OMN,land,48,Oman,OMN,OMN,34,Oman,
