"stock_id","yr","ct","res"
"Nototheniops nudifrons",1987,115,NA
"Pleuragramma antarcticum",1988,67278,""
"Chaenocephalus aceratus",1988,157303,""
"Notothenia squamifrons",1988,4931050,NA
"Notothenia gibberifrons",1988,6390589,NA
"Notothenia rossii",1988,370256,""
"Chionodraco rastrospinosus",1988,98,""
"Patagonotothen brevicauda",1988,15952048,NA
"Pseudochaenichthys georgianus",1988,214623,""
"Chaenodraco wilsoni",1988,1862400,""
"Notothenia kempi",1988,52,NA
"Nototheniops nudifrons",1988,139,NA
"Pleuragramma antarcticum",1989,29222,""
"Chaenocephalus aceratus",1989,1730,""
"Notothenia squamifrons",1989,6188030,NA
"Notothenia gibberifrons",1989,1254210,NA
"Notothenia rossii",1989,315240,""
"Patagonotothen brevicauda",1989,10420000,NA
"Pseudochaenichthys georgianus",1989,1250,""
"Chaenodraco wilsoni",1989,195399,""
"Pagothenia hansoni",1989,2163,NA
"Notothenia kempi",1989,18641,NA
"Macrourus whitsoni",1990,34,NA
"Chaenocephalus aceratus",1990,1510,""
"Notothenia squamifrons",1990,2436603,NA
"Notothenia gibberifrons",1990,324490,NA
"Notothenia rossii",1990,21149,""
"Patagonotothen brevicauda",1990,145060,NA
"Pseudochaenichthys georgianus",1990,680,""
"Chaenodraco wilsoni",1990,3519295,""
"Pagothenia hansoni",1990,1874,NA
"Notothenia kempi",1990,598,NA
"Channichthys rhinoceratus",1990,110,""
"Nototheniops nudifrons",1990,10,NA
"Pleuragramma antarcticum",1991,402,""
"Chaenocephalus aceratus",1991,6025,""
"Notothenia squamifrons",1991,1101200,NA
"Notothenia gibberifrons",1991,12363,NA
"Notothenia rossii",1991,287626,""
"Chionodraco rastrospinosus",1991,2896,""
"Patagonotothen brevicauda",1991,110,NA
"Pseudochaenichthys georgianus",1991,6992,""
"Chaenodraco wilsoni",1991,22,""
"Nototheniops nudifrons",1991,44,NA
"Paralomis spinosissima",1992,299343,""
"Chaenocephalus aceratus",1992,1530,""
"Notothenia squamifrons",1992,3179,NA
"Notothenia gibberifrons",1992,3570,NA
"Notothenia rossii",1992,659,""
"Pseudochaenichthys georgianus",1992,1700,""
"Channichthys rhinoceratus",1992,332,""
"Nototheniops nudifrons",1992,64,NA
"Notothenia squamifrons",1993,22,NA
"Notothenia rossii",1993,2000,""
"Channichthys rhinoceratus",1993,509,""
"Raja georgiana",1994,53,NA
"Mancopsetta maculata",1994,2,NA
"Chaenocephalus aceratus",1994,1980,""
"Notothenia squamifrons",1994,196,NA
"Notothenia gibberifrons",1994,4027,NA
"Notothenia rossii",1994,2188,""
"Nototheniops larseni",1994,16,NA
"Patagonotothen brevicauda",1994,1018,NA
"Muraenolepis microps",1994,14,""
"Pseudochaenichthys georgianus",1994,950,""
"Lithodes murrayi",1994,16,NA
"Pagothenia hansoni",1994,3,NA
"Nototheniops nudifrons",1994,4,NA
"Paralomis spinosissima",1995,283000,""
"Chaenocephalus aceratus",1995,302,""
"Antimora rostrata",1995,826,""
"Notothenia squamifrons",1995,6,NA
"Notothenia gibberifrons",1995,501,NA
"Notothenia rossii",1995,1686,""
"Patagonotothen brevicauda",1995,590,NA
"Channichthys rhinoceratus",1995,1000,""
"Paralomis spinosissima",1996,213629,""
"Antimora rostrata",1996,200,""
"Notothenia squamifrons",1996,15000,NA
"Paralomis spinosissima",1997,433,""
"Antimora rostrata",1997,1816,""
"Notothenia squamifrons",1997,3994,NA
"Notothenia rossii",1997,701,""
"Chionodraco rastrospinosus",1997,570,""
"Channichthys rhinoceratus",1997,8391,""
"Antimora rostrata",1998,8178,""
"Notothenia squamifrons",1998,2945,NA
"Lithodes murrayi",1998,585,NA
"Channichthys rhinoceratus",1998,5572,""
"Macrourus whitsoni",1999,1350,NA
"Raja georgiana",1999,11300,NA
"Paralomis formosa",1999,1963,NA
"Paralomis spinosissima",1999,196,""
"Chaenocephalus aceratus",1999,1495,""
"Antimora rostrata",1999,7152,""
"Bathyraja eatonii",1999,1040,""
"Notothenia squamifrons",1999,14546,NA
"Notothenia gibberifrons",1999,5095,NA
"Notothenia rossii",1999,1689,""
"Chionodraco rastrospinosus",1999,924,""
"Somniosus pacificus",1999,1000,NA
"Patagonotothen brevicauda",1999,3137,NA
"Macrourus carinatus",1999,19550,NA
"Muraenolepis microps",1999,3650,""
"Pseudochaenichthys georgianus",1999,2717,""
"Chaenodraco wilsoni",1999,1,""
"Lithodes murrayi",1999,42,NA
"Channichthys rhinoceratus",1999,1575,""
"Macrourus whitsoni",2000,9088,NA
"Raja georgiana",2000,36296,NA
"Mancopsetta maculata",2000,2,NA
"Paralomis formosa",2000,1524,NA
"Paralomis spinosissima",2000,294,""
"Chaenocephalus aceratus",2000,417,""
"Antimora rostrata",2000,24360.8,""
"Bathyraja eatonii",2000,4880,""
"Notothenia squamifrons",2000,5260.9,NA
"Notothenia gibberifrons",2000,668,NA
"Notothenia rossii",2000,457,""
"Bathyraja murrayi",2000,427,""
"Nototheniops larseni",2000,18,NA
"Patagonotothen brevicauda",2000,604,NA
"Pogonophryne permitini",2000,10,""
"Macrourus carinatus",2000,65260,NA
"Muraenolepis microps",2000,4795,""
"Pseudochaenichthys georgianus",2000,376,""
"Lithodes murrayi",2000,257,NA
"Pagothenia hansoni",2000,4,NA
"Channichthys rhinoceratus",2000,2493,""
"Nototheniops nudifrons",2000,5,NA
"Macrourus whitsoni",2001,48153,NA
"Raja georgiana",2001,6970,NA
"Paralomis formosa",2001,10626,NA
"Paralomis spinosissima",2001,3541,""
"Pleuragramma antarcticum",2001,1,""
"Chaenocephalus aceratus",2001,738,""
"Antimora rostrata",2001,7141,""
"Bathyraja eatonii",2001,743,""
"Notothenia squamifrons",2001,181,NA
"Notothenia gibberifrons",2001,2229,NA
"Notothenia rossii",2001,124,""
"Chionodraco rastrospinosus",2001,503,""
"Pogonophryne permitini",2001,40,""
"Muraenolepis microps",2001,43,""
"Pseudochaenichthys georgianus",2001,6183,""
"Chaenodraco wilsoni",2001,11461,""
"Lithodes murrayi",2001,27,NA
"Channichthys rhinoceratus",2001,1031,""
"Nototheniops nudifrons",2001,138,NA
"Macrourus whitsoni",2002,157917,NA
"Raja georgiana",2002,24235,NA
"Paralomis formosa",2002,56452,NA
"Paralomis spinosissima",2002,55524,""
"Chaenocephalus aceratus",2002,5063,""
"Antimora rostrata",2002,4747,""
"Bathyraja eatonii",2002,870,""
"Notothenia squamifrons",2002,609,NA
"Notothenia gibberifrons",2002,1283,NA
"Notothenia rossii",2002,5757,""
"Somniosus pacificus",2002,2800,NA
"Nototheniops larseni",2002,16,NA
"Patagonotothen brevicauda",2002,390,NA
"Pogonophryne permitini",2002,20,""
"Macrourus carinatus",2002,90,NA
"Muraenolepis microps",2002,529,""
"Pseudochaenichthys georgianus",2002,6083,""
"Lithodes murrayi",2002,30,NA
"Notothenia kempi",2002,5.5,NA
"Channichthys rhinoceratus",2002,2930,""
"Macrourus whitsoni",2003,71863,NA
"Raja georgiana",2003,17859,NA
"Mancopsetta maculata",2003,0.57,NA
"Paralomis formosa",2003,185,NA
"Paralomis spinosissima",2003,59,""
"Chaenocephalus aceratus",2003,1000,""
"Antimora rostrata",2003,11651,""
"Bathyraja eatonii",2003,24095,""
"Notothenia squamifrons",2003,415.5,NA
"Bathyraja irrasa",2003,2243,""
"Notothenia rossii",2003,95,""
"Bathyraja murrayi",2003,817,""
"Somniosus pacificus",2003,2610,NA
"Pogonophryne permitini",2003,6,""
"Macrourus carinatus",2003,525,NA
"Muraenolepis microps",2003,932,""
"Pseudochaenichthys georgianus",2003,5000,""
"Notothenia kempi",2003,2,NA
"Channichthys rhinoceratus",2003,20897.29,""
"Macrourus whitsoni",2004,180459,NA
"Raja georgiana",2004,12707,NA
"Paralomis formosa",2004,274,NA
"Paralomis spinosissima",2004,661,""
"Chaenocephalus aceratus",2004,257,""
"Antimora rostrata",2004,26784.4,""
"Bathyraja eatonii",2004,9177.23,""
"Notothenia squamifrons",2004,2916.1,NA
"Bathyraja irrasa",2004,3893.78,""
"Notothenia rossii",2004,33,""
"Bathyraja murrayi",2004,426.12,""
"Somniosus pacificus",2004,8352,NA
"Pogonophryne permitini",2004,15,""
"Macrourus carinatus",2004,14720,NA
"Muraenolepis microps",2004,3619,""
"Pseudochaenichthys georgianus",2004,1558,""
"Lithodes murrayi",2004,566.005,NA
"Notothenia kempi",2004,98.8,NA
"Channichthys rhinoceratus",2004,13540.371567189,""
"Macrourus whitsoni",2005,240751.76,NA
"Raja georgiana",2005,54594.83,NA
"Mancopsetta maculata",2005,3.07,NA
"Paralomis spinosissima",2005,22,""
"Pleuragramma antarcticum",2005,184,""
"Chaenocephalus aceratus",2005,2702.98,""
"Antimora rostrata",2005,135356.6,""
"Bathyraja eatonii",2005,7626.15,""
"Notothenia squamifrons",2005,2271.2,NA
"Bathyraja irrasa",2005,531,""
"Notothenia rossii",2005,176,""
"Bathyraja murrayi",2005,2474.71,""
"Somniosus pacificus",2005,2082,NA
"Nototheniops larseni",2005,235,NA
"Pogonophryne permitini",2005,14.12,""
"Macrourus carinatus",2005,12.07,NA
"Muraenolepis microps",2005,1178.74,""
"Pseudochaenichthys georgianus",2005,25108.445,""
"Lithodes murrayi",2005,3299.92,NA
"Notothenia kempi",2005,466.8,NA
"Channichthys rhinoceratus",2005,34463.1,""
"Macrourus whitsoni",2006,82316.67,NA
"Raja georgiana",2006,928.434,NA
"Pleuragramma antarcticum",2006,14200.298,""
"Chaenocephalus aceratus",2006,3233.544,""
"Antimora rostrata",2006,148744.03,""
"Bathyraja eatonii",2006,710.925,""
"Notothenia squamifrons",2006,5001.185,NA
"Notothenia gibberifrons",2006,718.803,NA
"Bathyraja irrasa",2006,7803.93,""
"Notothenia rossii",2006,2331.166,""
"Bathyraja murrayi",2006,109.5,""
"Chionodraco rastrospinosus",2006,290.116,""
"Somniosus pacificus",2006,1.11,NA
"Nototheniops larseni",2006,9.391,NA
"Pogonophryne permitini",2006,3.15,""
"Macrourus carinatus",2006,17380.38,NA
"Muraenolepis microps",2006,214.47,""
"Pseudochaenichthys georgianus",2006,8913.9,""
"Chaenodraco wilsoni",2006,78.421,""
"Pagothenia hansoni",2006,5.587,NA
"Notothenia kempi",2006,2.64,NA
"Channichthys rhinoceratus",2006,32544.919994137,""
"Nototheniops nudifrons",2006,8.663,NA
"Macrourus whitsoni",2007,81443.759999,NA
"Raja georgiana",2007,15933.62000057,NA
"Mancopsetta maculata",2007,23.440999684,NA
"Paralomis formosa",2007,270.382999937,NA
"Paralomis spinosissima",2007,131.87099955,""
"Pleuragramma antarcticum",2007,4.049,""
"Chaenocephalus aceratus",2007,1280.3790023,""
"Antimora rostrata",2007,44118.73,""
"Bathyraja eatonii",2007,8181.040000814,""
"Notothenia squamifrons",2007,11460.234943757,NA
"Notothenia gibberifrons",2007,3944.874010707,NA
"Bathyraja irrasa",2007,2027.55999985,""
"Notothenia rossii",2007,6756.784983,""
"Bathyraja murrayi",2007,935.93999979,""
"Chionodraco rastrospinosus",2007,281.653,""
"Somniosus pacificus",2007,1842,NA
"Nototheniops larseni",2007,83.633999892,NA
"Patagonotothen brevicauda",2007,89.8919995,NA
"Pogonophryne permitini",2007,39.68,""
"Muraenolepis microps",2007,308.34200014,""
"Pseudochaenichthys georgianus",2007,890.3630011,""
"Chaenodraco wilsoni",2007,57.312,""
"Lithodes murrayi",2007,8.6,NA
"Pagothenia hansoni",2007,226.8620002,NA
"Notothenia kempi",2007,45.1,NA
"Channichthys rhinoceratus",2007,15340.420000004,""
"Nototheniops nudifrons",2007,22.930299905,NA
"Macrourus whitsoni",2008,158862.24,NA
"Raja georgiana",2008,3927.8880005,NA
"Mancopsetta maculata",2008,15.97400015,NA
"Paralomis formosa",2008,6.054999962,NA
"Paralomis spinosissima",2008,935.832999,""
"Pleuragramma antarcticum",2008,592,""
"Chaenocephalus aceratus",2008,1628.3619997,""
"Antimora rostrata",2008,182360.23,""
"Bathyraja eatonii",2008,9052.05,""
"Notothenia squamifrons",2008,20537.9750033,NA
"Notothenia gibberifrons",2008,899.155006,NA
"Bathyraja irrasa",2008,9812.37,""
"Notothenia rossii",2008,2714.045961,""
"Bathyraja murrayi",2008,936.31,""
"Nototheniops larseni",2008,55.64899966,NA
"Patagonotothen brevicauda",2008,323.9500026,NA
"Pogonophryne permitini",2008,5.8,""
"Macrourus carinatus",2008,951035.458256,NA
"Muraenolepis microps",2008,463.472,""
"Pseudochaenichthys georgianus",2008,890.1880038,""
"Lithodes murrayi",2008,1.45,NA
"Pagothenia hansoni",2008,238.9110006,NA
"Notothenia kempi",2008,597.75,NA
"Channichthys rhinoceratus",2008,37390.498,""
"Nototheniops nudifrons",2008,8.861999998,NA
"Macrourus whitsoni",2009,73485.59,NA
"Raja georgiana",2009,6167.1709989,NA
"Mancopsetta maculata",2009,2.528999969,NA
"Paralomis formosa",2009,1.019000053,NA
"Paralomis spinosissima",2009,36.53279995,""
"Chaenocephalus aceratus",2009,643.1609992,""
"Antimora rostrata",2009,173711.39,""
"Bathyraja eatonii",2009,7915.714,""
"Notothenia squamifrons",2009,26075.20199996,NA
"Notothenia gibberifrons",2009,696.5380034,NA
"Bathyraja irrasa",2009,1413.668,""
"Notothenia rossii",2009,2485.209976,""
"Bathyraja murrayi",2009,1589.977,""
"Somniosus pacificus",2009,1014.27,NA
"Nototheniops larseni",2009,19.90699992,NA
"Patagonotothen brevicauda",2009,730.8089971,NA
"Pogonophryne permitini",2009,2.95,""
"Macrourus carinatus",2009,1166766.012774,NA
"Muraenolepis microps",2009,154.15200006,""
"Pseudochaenichthys georgianus",2009,1676.5570025,""
"Pagothenia hansoni",2009,44.03099985,NA
"Channichthys rhinoceratus",2009,50764.969,""
"Nototheniops nudifrons",2009,4.309000006,NA
"Macrourus whitsoni",2010,81000.05,NA
"Raja georgiana",2010,5720.5669973,NA
"Mancopsetta maculata",2010,11.41499996,NA
"Paralomis formosa",2010,9151.895000011,NA
"Paralomis spinosissima",2010,52843.61299995,""
"Chaenocephalus aceratus",2010,1228.436,""
"Antimora rostrata",2010,163918.944,""
"Bathyraja eatonii",2010,14260.96,""
"Notothenia squamifrons",2010,50532.2348568,NA
"Notothenia gibberifrons",2010,1731.784996,NA
"Bathyraja irrasa",2010,308.23,""
"Notothenia rossii",2010,16150.18015,""
"Bathyraja murrayi",2010,906.35,""
"Chionodraco rastrospinosus",2010,3.31,""
"Somniosus pacificus",2010,1336,NA
"Nototheniops larseni",2010,37.96800014,NA
"Patagonotothen brevicauda",2010,1164.779983,NA
"Pogonophryne permitini",2010,1,""
"Macrourus carinatus",2010,999172.0002708,NA
"Muraenolepis microps",2010,1650.32000029,""
"Pseudochaenichthys georgianus",2010,1891.186,""
"Lithodes murrayi",2010,109.5,NA
"Pagothenia hansoni",2010,99.98299796,NA
"Notothenia kempi",2010,111.7,NA
"Channichthys rhinoceratus",2010,80098.2,""
"Nototheniops nudifrons",2010,11.53800013,NA
"Macrourus whitsoni",2011,34603.42,NA
"Raja georgiana",2011,2677.2999969,NA
"Mancopsetta maculata",2011,13.330000102,NA
"Paralomis formosa",2011,0.625,NA
"Paralomis spinosissima",2011,42.87499999,""
"Pleuragramma antarcticum",2011,28,""
"Chaenocephalus aceratus",2011,892.8588025,""
"Antimora rostrata",2011,97725.54,""
"Bathyraja eatonii",2011,4257.3,""
"Notothenia squamifrons",2011,32655.91401132,NA
"Notothenia gibberifrons",2011,2516.5350159,NA
"Bathyraja irrasa",2011,16495.45,""
"Notothenia rossii",2011,3754.9850262,""
"Bathyraja murrayi",2011,745,""
"Somniosus pacificus",2011,2224,NA
"Nototheniops larseni",2011,90.90199935,NA
"Patagonotothen brevicauda",2011,8197.254843,NA
"Pogonophryne permitini",2011,0.93,""
"Macrourus carinatus",2011,956206.01003,NA
"Muraenolepis microps",2011,264.81299996,""
"Pseudochaenichthys georgianus",2011,682.4269983,""
"Lithodes murrayi",2011,1.5,NA
"Pagothenia hansoni",2011,48.74000112,NA
"Notothenia kempi",2011,1.3,NA
"Channichthys rhinoceratus",2011,26054.57,""
"Nototheniops nudifrons",2011,20.817999986,NA
"Macrourus whitsoni",2012,18064.4,NA
"Raja georgiana",2012,170.5,NA
"Mancopsetta maculata",2012,3.2,NA
"Paralomis formosa",2012,0.3,NA
"Paralomis spinosissima",2012,8.9,""
"Pleuragramma antarcticum",2012,32.5,""
"Chaenocephalus aceratus",2012,655.33,""
"Antimora rostrata",2012,70473.3897,""
"Bathyraja eatonii",2012,2158.3,""
"Notothenia squamifrons",2012,60312.7,NA
"Notothenia gibberifrons",2012,1864.1,NA
"Bathyraja irrasa",2012,198.4,""
"Notothenia rossii",2012,27681.5,""
"Bathyraja murrayi",2012,448,""
"Chionodraco rastrospinosus",2012,377,""
"Nototheniops larseni",2012,221.9,NA
"Patagonotothen brevicauda",2012,76539,NA
"Pogonophryne permitini",2012,34.3,""
"Macrourus carinatus",2012,784223.6,NA
"Muraenolepis microps",2012,87.9,""
"Pseudochaenichthys georgianus",2012,195.1,""
"Chaenodraco wilsoni",2012,26,""
"Pagothenia hansoni",2012,6.8,NA
"Notothenia kempi",2012,19,NA
"Channichthys rhinoceratus",2012,41723,""
"Nototheniops nudifrons",2012,30.9,NA
