"fao_saup_id","taxon_name_key","year","catch"
"481_0","Notothenia squamifrons_6",1988,0
"481_0","Nototheniidae_4",1988,0
"481_0","Nototheniops nudifrons_6",1988,0.009
"481_0","Osteichthyes_2",1988,0.197
"481_0","Pleuragramma antarcticum_6",1988,0.006
"481_0","Pseudochaenichthys georgianus_6",1988,0
"481_0","Rajiformes_3",1988,0.032
"481_0","Trematomus spp_5",1988,0
"481_0","Cephalopoda_2",1989,0
"481_0","Chaenocephalus aceratus_6",1989,1
"481_0","Chaenodraco wilsoni_6",1989,0
"481_0","Champsocephalus gunnari_6",1989,141
"481_0","Channichthyidae_4",1989,0
"481_0","Channichthys rhinoceratus_6",1989,0
"481_0","Chionodraco rastrospinosus_6",1989,0
"481_0","Dissostichus eleginoides_6",1989,0
"481_0","Dissostichus mawsoni_6",1989,0
"481_0","Euphausia superba_6",1989,105554
"481_0","Lithodes murrayi_6",1989,0
"481_0","Loliginidae, Ommastrephidae_3",1989,0
"481_0","Myctophidae_4",1989,17
"481_0","Notothenia gibberifrons_6",1989,667
"481_0","Notothenia kempi_6",1989,0
"481_0","Notothenia neglecta_6",1989,0
"481_0","Notothenia rossii_6",1989,0
"481_0","Notothenia squamifrons_6",1989,0
"481_0","Nototheniidae_4",1989,0
"481_0","Nototheniops nudifrons_6",1989,0
"481_0","Osteichthyes_2",1989,0
"481_0","Pleuragramma antarcticum_6",1989,0
"481_0","Pseudochaenichthys georgianus_6",1989,0
"481_0","Rajiformes_3",1989,0
"481_0","Trematomus spp_5",1989,0
"481_0","Cephalopoda_2",1990,0
"481_0","Chaenocephalus aceratus_6",1990,0
"481_0","Chaenodraco wilsoni_6",1990,0
"481_0","Champsocephalus gunnari_6",1990,0
"481_0","Channichthyidae_4",1990,0
"481_0","Channichthys rhinoceratus_6",1990,0
"481_0","Chionodraco rastrospinosus_6",1990,0
"481_0","Dissostichus eleginoides_6",1990,0
"481_0","Dissostichus mawsoni_6",1990,0
"481_0","Euphausia superba_6",1990,44752.24
"481_0","Lithodes murrayi_6",1990,0
"481_0","Loliginidae, Ommastrephidae_3",1990,0
"481_0","Myctophidae_4",1990,0
"481_0","Notothenia gibberifrons_6",1990,0
"481_0","Notothenia kempi_6",1990,0
"481_0","Notothenia neglecta_6",1990,0
"481_0","Notothenia rossii_6",1990,0
"481_0","Notothenia squamifrons_6",1990,0
"481_0","Nototheniidae_4",1990,0
"481_0","Nototheniops nudifrons_6",1990,0
"481_0","Osteichthyes_2",1990,0
"481_0","Pleuragramma antarcticum_6",1990,0
"481_0","Pseudochaenichthys georgianus_6",1990,0
"481_0","Rajiformes_3",1990,0
"481_0","Trematomus spp_5",1990,0
"481_0","Cephalopoda_2",1991,0
"481_0","Chaenocephalus aceratus_6",1991,0
"481_0","Chaenodraco wilsoni_6",1991,0
"481_0","Champsocephalus gunnari_6",1991,0
"481_0","Channichthyidae_4",1991,0
"481_0","Channichthys rhinoceratus_6",1991,0
"481_0","Chionodraco rastrospinosus_6",1991,0
"481_0","Dissostichus eleginoides_6",1991,0
"481_0","Dissostichus mawsoni_6",1991,0
"481_0","Euphausia superba_6",1991,69634.51
"481_0","Lithodes murrayi_6",1991,0
"481_0","Loliginidae, Ommastrephidae_3",1991,0
"481_0","Myctophidae_4",1991,50
"481_0","Notothenia gibberifrons_6",1991,0
"481_0","Notothenia kempi_6",1991,0
"481_0","Notothenia neglecta_6",1991,0
"481_0","Notothenia rossii_6",1991,0
"481_0","Notothenia squamifrons_6",1991,0
"481_0","Nototheniidae_4",1991,0
"481_0","Nototheniops nudifrons_6",1991,0
"481_0","Osteichthyes_2",1991,0
"481_0","Pleuragramma antarcticum_6",1991,0
"481_0","Pseudochaenichthys georgianus_6",1991,0
"481_0","Rajiformes_3",1991,0
"481_0","Trematomus spp_5",1991,0
"481_0","Cephalopoda_2",1992,0
"481_0","Chaenocephalus aceratus_6",1992,0
"481_0","Chaenodraco wilsoni_6",1992,0
"481_0","Champsocephalus gunnari_6",1992,0
"481_0","Channichthyidae_4",1992,0
"481_0","Channichthys rhinoceratus_6",1992,0
"481_0","Chionodraco rastrospinosus_6",1992,0
"481_0","Dissostichus eleginoides_6",1992,0
"481_0","Dissostichus mawsoni_6",1992,0
"481_0","Euphausia superba_6",1992,75564.8
"481_0","Lithodes murrayi_6",1992,0
"481_0","Loliginidae, Ommastrephidae_3",1992,0
"481_0","Myctophidae_4",1992,0
"481_0","Notothenia gibberifrons_6",1992,0
"481_0","Notothenia kempi_6",1992,0
"481_0","Notothenia neglecta_6",1992,0
"481_0","Notothenia rossii_6",1992,0
"481_0","Notothenia squamifrons_6",1992,0
"481_0","Nototheniidae_4",1992,0
"481_0","Nototheniops nudifrons_6",1992,0
"481_0","Osteichthyes_2",1992,0
"481_0","Pleuragramma antarcticum_6",1992,0
"481_0","Pseudochaenichthys georgianus_6",1992,0
"481_0","Rajiformes_3",1992,0
"481_0","Trematomus spp_5",1992,0
"481_0","Cephalopoda_2",1993,0
"481_0","Chaenocephalus aceratus_6",1993,0
"481_0","Chaenodraco wilsoni_6",1993,0
"481_0","Champsocephalus gunnari_6",1993,0
"481_0","Channichthyidae_4",1993,0
"481_0","Channichthys rhinoceratus_6",1993,0
"481_0","Chionodraco rastrospinosus_6",1993,0
"481_0","Dissostichus eleginoides_6",1993,0
"481_0","Dissostichus mawsoni_6",1993,0
"481_0","Euphausia superba_6",1993,33267
"481_0","Lithodes murrayi_6",1993,0
"481_0","Loliginidae, Ommastrephidae_3",1993,0
"481_0","Myctophidae_4",1993,0
"481_0","Notothenia gibberifrons_6",1993,0
"481_0","Notothenia kempi_6",1993,0
"481_0","Notothenia neglecta_6",1993,0
"481_0","Notothenia rossii_6",1993,0
"481_0","Notothenia squamifrons_6",1993,0
"481_0","Nototheniidae_4",1993,0
"481_0","Nototheniops nudifrons_6",1993,0
"481_0","Osteichthyes_2",1993,0
"481_0","Pleuragramma antarcticum_6",1993,0
"481_0","Pseudochaenichthys georgianus_6",1993,0
"481_0","Rajiformes_3",1993,0
"481_0","Trematomus spp_5",1993,0
"481_0","Cephalopoda_2",1994,0
"481_0","Chaenocephalus aceratus_6",1994,0
"481_0","Chaenodraco wilsoni_6",1994,0
"481_0","Champsocephalus gunnari_6",1994,0
"481_0","Channichthyidae_4",1994,0
"481_0","Channichthys rhinoceratus_6",1994,0
"481_0","Chionodraco rastrospinosus_6",1994,0
"481_0","Dissostichus eleginoides_6",1994,0
"481_0","Dissostichus mawsoni_6",1994,0
"481_0","Euphausia superba_6",1994,45085
"481_0","Lithodes murrayi_6",1994,0
"481_0","Loliginidae, Ommastrephidae_3",1994,0
"481_0","Myctophidae_4",1994,0
"481_0","Notothenia gibberifrons_6",1994,0
"481_0","Notothenia kempi_6",1994,0
"481_0","Notothenia neglecta_6",1994,0
"481_0","Notothenia rossii_6",1994,0
"481_0","Notothenia squamifrons_6",1994,0
"481_0","Nototheniidae_4",1994,0
"481_0","Nototheniops nudifrons_6",1994,0
"481_0","Osteichthyes_2",1994,0
"481_0","Pleuragramma antarcticum_6",1994,0
"481_0","Pseudochaenichthys georgianus_6",1994,0
"481_0","Rajiformes_3",1994,0
"481_0","Trematomus spp_5",1994,0
"481_0","Cephalopoda_2",1995,0
"481_0","Chaenocephalus aceratus_6",1995,0
"481_0","Chaenodraco wilsoni_6",1995,0
"481_0","Champsocephalus gunnari_6",1995,0
"481_0","Channichthyidae_4",1995,0
