"ScientificName","season.year","SpeciesCode","EnglishName","Catch","LH","min.year"
"Bathyraja irrasa",2006,"BYR","Kerguelen sandpaper skate",7803.93,"I",2003
"Bathyraja irrasa",2007,"BYR","Kerguelen sandpaper skate",2027.55999985,"I",2003
"Bathyraja irrasa",2008,"BYR","Kerguelen sandpaper skate",9812.37,"I",2003
"Bathyraja irrasa",2009,"BYR","Kerguelen sandpaper skate",1413.668,"I",2003
"Bathyraja irrasa",2010,"BYR","Kerguelen sandpaper skate",308.23,"I",2003
"Bathyraja irrasa",2011,"BYR","Kerguelen sandpaper skate",16495.45,"I",2003
"Bathyraja irrasa",2012,"BYR","Kerguelen sandpaper skate",198.4,"I",2003
"Bathyraja maccaini",2003,"BAM","McCain's skate",241,"D",2003
"Bathyraja maccaini",2004,"BAM","McCain's skate",108,"D",2003
"Bathyraja maccaini",2005,"BAM","McCain's skate",809.9,"D",2003
"Bathyraja maccaini",2006,"BAM","McCain's skate",89.299,"D",2003
"Bathyraja maccaini",2007,"BAM","McCain's skate",102.843,"D",2003
"Bathyraja maccaini",2008,"BAM","McCain's skate",54.6,"D",2003
"Bathyraja maccaini",2009,"BAM","McCain's skate",9,"D",2003
"Bathyraja maccaini",2010,NA,NA,0,NA,2003
"Bathyraja maccaini",2011,"BAM","McCain's skate",151.3,"D",2003
"Bathyraja maccaini",2012,"BAM","McCain's skate",213.8,"D",2003
"Bathyraja meridionalis",2000,"BYE","Skate",173,"D",2000
"Bathyraja meridionalis",2001,NA,NA,0,NA,2000
"Bathyraja meridionalis",2002,NA,NA,0,NA,2000
"Bathyraja meridionalis",2003,"BYE","Skate",20,"D",2000
"Bathyraja meridionalis",2004,NA,NA,0,NA,2000
"Bathyraja meridionalis",2005,NA,NA,0,NA,2000
"Bathyraja meridionalis",2006,NA,NA,0,NA,2000
"Bathyraja meridionalis",2007,"BYE","Skate",2.8,"D",2000
"Bathyraja meridionalis",2008,NA,NA,0,NA,2000
"Bathyraja meridionalis",2009,NA,NA,0,NA,2000
"Bathyraja meridionalis",2010,NA,NA,0,NA,2000
"Bathyraja meridionalis",2011,NA,NA,0,NA,2000
"Bathyraja meridionalis",2012,NA,NA,0,NA,2000
"Bathyraja murrayi",2000,"BMU","Murray's skate",427,"D",2000
"Bathyraja murrayi",2001,NA,NA,0,NA,2000
"Bathyraja murrayi",2002,NA,NA,0,NA,2000
"Bathyraja murrayi",2003,"BMU","Murray's skate",817,"D",2000
"Bathyraja murrayi",2004,"BMU","Murray's skate",426.12,"D",2000
"Bathyraja murrayi",2005,"BMU","Murray's skate",2474.71,"D",2000
"Bathyraja murrayi",2006,"BMU","Murray's skate",109.5,"D",2000
"Bathyraja murrayi",2007,"BMU","Murray's skate",935.93999979,"D",2000
"Bathyraja murrayi",2008,"BMU","Murray's skate",936.31,"D",2000
"Bathyraja murrayi",2009,"BMU","Murray's skate",1589.977,"D",2000
"Bathyraja murrayi",2010,"BMU","Murray's skate",906.35,"D",2000
"Bathyraja murrayi",2011,"BMU","Murray's skate",745,"D",2000
"Bathyraja murrayi",2012,"BMU","Murray's skate",448,"D",2000
"Benthalbella elongata",2005,"BEE","pearleyes",1,"SP",2005
"Benthalbella elongata",2006,NA,NA,0,NA,2005
"Benthalbella elongata",2007,NA,NA,0,NA,2005
"Benthalbella elongata",2008,NA,NA,0,NA,2005
"Benthalbella elongata",2009,NA,NA,0,NA,2005
"Benthalbella elongata",2010,NA,NA,0,NA,2005
"Benthalbella elongata",2011,NA,NA,0,NA,2005
"Benthalbella elongata",2012,NA,NA,0,NA,2005
"Borostomias antarcticus",2004,"BRT","Snaggletooth",0.16,"D",2004
"Borostomias antarcticus",2005,NA,NA,0,NA,2004
"Borostomias antarcticus",2006,NA,NA,0,NA,2004
"Borostomias antarcticus",2007,NA,NA,0,NA,2004
"Borostomias antarcticus",2008,NA,NA,0,NA,2004
"Borostomias antarcticus",2009,NA,NA,0,NA,2004
"Borostomias antarcticus",2010,NA,NA,0,NA,2004
"Borostomias antarcticus",2011,"BRT","Snaggletooth",0.213,"D",2004
"Borostomias antarcticus",2012,"BRT","Snaggletooth",0.1,"D",2004
"Brama brama",2001,"POA","Atlantic pomfret",11,"LP",2001
"Brama brama",2002,"POA","Atlantic pomfret",2,"LP",2001
"Brama brama",2003,NA,NA,0,NA,2001
"Brama brama",2004,NA,NA,0,NA,2001
"Brama brama",2005,NA,NA,0,NA,2001
"Brama brama",2006,NA,NA,0,NA,2001
"Brama brama",2007,NA,NA,0,NA,2001
"Brama brama",2008,NA,NA,0,NA,2001
"Brama brama",2009,NA,NA,0,NA,2001
"Brama brama",2010,NA,NA,0,NA,2001
"Brama brama",2011,NA,NA,0,NA,2001
"Brama brama",2012,NA,NA,0,NA,2001
"Caelorinchus marinii",2004,"CEH","Marini's grenadier",210,NA,2004
"Caelorinchus marinii",2005,NA,NA,0,NA,2004
"Caelorinchus marinii",2006,NA,NA,0,NA,2004
"Caelorinchus marinii",2007,NA,NA,0,NA,2004
"Caelorinchus marinii",2008,NA,NA,0,NA,2004
"Caelorinchus marinii",2009,NA,NA,0,NA,2004
"Caelorinchus marinii",2010,NA,NA,0,NA,2004
"Caelorinchus marinii",2011,NA,NA,0,NA,2004
"Caelorinchus marinii",2012,NA,NA,0,NA,2004
"Centrolophus niger",2004,"CEO","Rudderfish",5,"D",2004
"Centrolophus niger",2005,NA,NA,0,NA,2004
"Centrolophus niger",2006,NA,NA,0,NA,2004
"Centrolophus niger",2007,NA,NA,0,NA,2004
"Centrolophus niger",2008,NA,NA,0,NA,2004
"Centrolophus niger",2009,NA,NA,0,NA,2004
"Centrolophus niger",2010,NA,NA,0,NA,2004
"Centrolophus niger",2011,NA,NA,0,NA,2004
"Centrolophus niger",2012,NA,NA,0,NA,2004
"Chaenocephalus aceratus",1977,"SSI","Blackfin icefish",494000,"LP",1977
"Chaenocephalus aceratus",1978,"SSI","Blackfin icefish",2523000,"LP",1977
"Chaenocephalus aceratus",1979,"SSI","Blackfin icefish",4377000,"LP",1977
"Chaenocephalus aceratus",1980,"SSI","Blackfin icefish",1606000,"LP",1977
"Chaenocephalus aceratus",1981,"SSI","Blackfin icefish",330038,"LP",1977
"Chaenocephalus aceratus",1982,"SSI","Blackfin icefish",676221,"LP",1977
"Chaenocephalus aceratus",1983,"SSI","Blackfin icefish",3000,"LP",1977
"Chaenocephalus aceratus",1984,"SSI","Blackfin icefish",1196000,"LP",1977
"Chaenocephalus aceratus",1985,"SSI","Blackfin icefish",105000,"LP",1977
"Chaenocephalus aceratus",1986,"SSI","Blackfin icefish",412000,"LP",1977
"Chaenocephalus aceratus",1987,"SSI","Blackfin icefish",491018,"LP",1977
"Chaenocephalus aceratus",1988,"SSI","Blackfin icefish",157303,"LP",1977
"Chaenocephalus aceratus",1989,"SSI","Blackfin icefish",1730,"LP",1977
"Chaenocephalus aceratus",1990,"SSI","Blackfin icefish",1510,"LP",1977
"Chaenocephalus aceratus",1991,"SSI","Blackfin icefish",6025,"LP",1977
"Chaenocephalus aceratus",1992,"SSI","Blackfin icefish",1530,"LP",1977
"Chaenocephalus aceratus",1993,NA,NA,0,NA,1977
"Chaenocephalus aceratus",1994,"SSI","Blackfin icefish",1980,"LP",1977
"Chaenocephalus aceratus",1995,"SSI","Blackfin icefish",302,"LP",1977
"Chaenocephalus aceratus",1996,NA,NA,0,NA,1977
"Chaenocephalus aceratus",1997,NA,NA,0,NA,1977
"Chaenocephalus aceratus",1998,NA,NA,0,NA,1977
"Chaenocephalus aceratus",1999,"SSI","Blackfin icefish",1495,"LP",1977
"Chaenocephalus aceratus",2000,"SSI","Blackfin icefish",417,"LP",1977
"Chaenocephalus aceratus",2001,"SSI","Blackfin icefish",738,"LP",1977
"Chaenocephalus aceratus",2002,"SSI","Blackfin icefish",5063,"LP",1977
"Chaenocephalus aceratus",2003,"SSI","Blackfin icefish",1000,"LP",1977
"Chaenocephalus aceratus",2004,"SSI","Blackfin icefish",257,"LP",1977
"Chaenocephalus aceratus",2005,"SSI","Blackfin icefish",2702.98,"LP",1977
"Chaenocephalus aceratus",2006,"SSI","Blackfin icefish",3233.544,"LP",1977
"Chaenocephalus aceratus",2007,"SSI","Blackfin icefish",1280.3790023,"LP",1977
"Chaenocephalus aceratus",2008,"SSI","Blackfin icefish",1628.3619997,"LP",1977
"Chaenocephalus aceratus",2009,"SSI","Blackfin icefish",643.1609992,"LP",1977
"Chaenocephalus aceratus",2010,"SSI","Blackfin icefish",1228.436,"LP",1977
"Chaenocephalus aceratus",2011,"SSI","Blackfin icefish",892.8588025,"LP",1977
"Chaenocephalus aceratus",2012,"SSI","Blackfin icefish",655.33,"LP",1977
"Chaenodraco wilsoni",1979,"WIC","Spiny icefish",10130000,"LP",1979
"Chaenodraco wilsoni",1980,"WIC","Spiny icefish",4334000,"LP",1979
"Chaenodraco wilsoni",1981,"WIC","Spiny icefish",1,"LP",1979
"Chaenodraco wilsoni",1982,"WIC","Spiny icefish",54,"LP",1979
"Chaenodraco wilsoni",1983,"WIC","Spiny icefish",73916,"LP",1979
"Chaenodraco wilsoni",1984,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1985,"WIC","Spiny icefish",1049990,"LP",1979
"Chaenodraco wilsoni",1986,"WIC","Spiny icefish",1929924,"LP",1979
"Chaenodraco wilsoni",1987,"WIC","Spiny icefish",1099000,"LP",1979
"Chaenodraco wilsoni",1988,"WIC","Spiny icefish",1862400,"LP",1979
"Chaenodraco wilsoni",1989,"WIC","Spiny icefish",195399,"LP",1979
"Chaenodraco wilsoni",1990,"WIC","Spiny icefish",3519295,"LP",1979
"Chaenodraco wilsoni",1991,"WIC","Spiny icefish",22,"LP",1979
"Chaenodraco wilsoni",1992,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1993,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1994,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1995,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1996,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1997,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1998,NA,NA,0,NA,1979
"Chaenodraco wilsoni",1999,"WIC","Spiny icefish",1,"LP",1979
"Chaenodraco wilsoni",2000,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2001,"WIC","Spiny icefish",11461,"LP",1979
"Chaenodraco wilsoni",2002,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2003,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2004,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2005,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2006,"WIC","Spiny icefish",78.421,"LP",1979
"Chaenodraco wilsoni",2007,"WIC","Spiny icefish",57.312,"LP",1979
"Chaenodraco wilsoni",2008,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2009,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2010,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2011,NA,NA,0,NA,1979
"Chaenodraco wilsoni",2012,"WIC","Spiny icefish",26,"LP",1979
"Channichthys rhinoceratus",1977,"LIC","Unicorn icefish",97700,"LP",1977
"Channichthys rhinoceratus",1978,"LIC","Unicorn icefish",128800,"LP",1977
"Channichthys rhinoceratus",1979,"LIC","Unicorn icefish",4000,"LP",1977
"Channichthys rhinoceratus",1980,"LIC","Unicorn icefish",4000,"LP",1977
"Channichthys rhinoceratus",1981,"LIC","Unicorn icefish",2000,"LP",1977
"Channichthys rhinoceratus",1982,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1983,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1984,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1985,"LIC","Unicorn icefish",19500,"LP",1977
"Channichthys rhinoceratus",1986,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1987,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1988,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1989,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1990,"LIC","Unicorn icefish",110,"LP",1977
"Channichthys rhinoceratus",1991,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1992,"LIC","Unicorn icefish",332,"LP",1977
"Channichthys rhinoceratus",1993,"LIC","Unicorn icefish",509,"LP",1977
"Channichthys rhinoceratus",1994,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1995,"LIC","Unicorn icefish",1000,"LP",1977
"Channichthys rhinoceratus",1996,NA,NA,0,NA,1977
"Channichthys rhinoceratus",1997,"LIC","Unicorn icefish",8391,"LP",1977
"Channichthys rhinoceratus",1998,"LIC","Unicorn icefish",5572,"LP",1977
"Channichthys rhinoceratus",1999,"LIC","Unicorn icefish",1575,"LP",1977
"Channichthys rhinoceratus",2000,"LIC","Unicorn icefish",2493,"LP",1977
"Channichthys rhinoceratus",2001,"LIC","Unicorn icefish",1031,"LP",1977
"Channichthys rhinoceratus",2002,"LIC","Unicorn icefish",2930,"LP",1977
"Channichthys rhinoceratus",2003,"LIC","Unicorn icefish",20897.29,"LP",1977
"Channichthys rhinoceratus",2004,"LIC","Unicorn icefish",13540.371567189,"LP",1977
"Channichthys rhinoceratus",2005,"LIC","Unicorn icefish",34463.1,"LP",1977
"Channichthys rhinoceratus",2006,"LIC","Unicorn icefish",32544.919994137,"LP",1977
"Channichthys rhinoceratus",2007,"LIC","Unicorn icefish",15340.420000004,"LP",1977
"Channichthys rhinoceratus",2008,"LIC","Unicorn icefish",37390.498,"LP",1977
"Channichthys rhinoceratus",2009,"LIC","Unicorn icefish",50764.969,"LP",1977
"Channichthys rhinoceratus",2010,"LIC","Unicorn icefish",80098.2,"LP",1977
"Channichthys rhinoceratus",2011,"LIC","Unicorn icefish",26054.57,"LP",1977
"Channichthys rhinoceratus",2012,"LIC","Unicorn icefish",41723,"LP",1977
"Chionobathyscus dewitti",2004,"CHW","Icefish spp.",199,"D",2004
"Chionobathyscus dewitti",2005,"CHW","Icefish spp.",26.4,"D",2004
"Chionobathyscus dewitti",2006,NA,NA,0,NA,2004
"Chionobathyscus dewitti",2007,"CHW","Icefish spp.",1238.52,"D",2004
"Chionobathyscus dewitti",2008,"CHW","Icefish spp.",1906.16,"D",2004
"Chionobathyscus dewitti",2009,"CHW","Icefish spp.",994.45,"D",2004
"Chionobathyscus dewitti",2010,"CHW","Icefish spp.",3178.3,"D",2004
"Chionobathyscus dewitti",2011,"CHW","Icefish spp.",1572.54,"D",2004
"Chionobathyscus dewitti",2012,"CHW","Icefish spp.",731,"D",2004
"Chionodraco hamatus",1985,"TIC","",432,NA,1985
"Chionodraco hamatus",1986,"TIC","",2343,NA,1985
"Chionodraco hamatus",1987,NA,NA,0,NA,1985
"Chionodraco hamatus",1988,NA,NA,0,NA,1985
"Chionodraco hamatus",1989,"TIC","",1736,NA,1985
"Chionodraco hamatus",1990,"TIC","",2818,NA,1985
"Chionodraco hamatus",1991,NA,NA,0,NA,1985
"Chionodraco hamatus",1992,NA,NA,0,NA,1985
"Chionodraco hamatus",1993,NA,NA,0,NA,1985
"Chionodraco hamatus",1994,NA,NA,0,NA,1985
"Chionodraco hamatus",1995,NA,NA,0,NA,1985
"Chionodraco hamatus",1996,NA,NA,0,NA,1985
"Chionodraco hamatus",1997,NA,NA,0,NA,1985
"Chionodraco hamatus",1998,NA,NA,0,NA,1985
"Chionodraco hamatus",1999,NA,NA,0,NA,1985
"Chionodraco hamatus",2000,NA,NA,0,NA,1985
"Chionodraco hamatus",2001,NA,NA,0,NA,1985
"Chionodraco hamatus",2002,NA,NA,0,NA,1985
"Chionodraco hamatus",2003,NA,NA,0,NA,1985
"Chionodraco hamatus",2004,"TIC","",1,NA,1985
"Chionodraco hamatus",2005,NA,NA,0,NA,1985
"Chionodraco hamatus",2006,NA,NA,0,NA,1985
"Chionodraco hamatus",2007,NA,NA,0,NA,1985
"Chionodraco hamatus",2008,NA,NA,0,NA,1985
"Chionodraco hamatus",2009,NA,NA,0,NA,1985
"Chionodraco hamatus",2010,NA,NA,0,NA,1985
"Chionodraco hamatus",2011,NA,NA,0,NA,1985
"Chionodraco hamatus",2012,NA,NA,0,NA,1985
"Chionodraco myersi",2003,"MIC","Myers' icefish",17,"D",2003
"Chionodraco myersi",2004,"MIC","Myers' icefish",187,"D",2003
"Chionodraco myersi",2005,"MIC","Myers' icefish",38.8,"D",2003
"Chionodraco myersi",2006,NA,NA,0,NA,2003
"Chionodraco myersi",2007,"MIC","Myers' icefish",0.19,"D",2003
"Chionodraco myersi",2008,NA,NA,0,NA,2003
"Chionodraco myersi",2009,NA,NA,0,NA,2003
"Chionodraco myersi",2010,NA,NA,0,NA,2003
"Chionodraco myersi",2011,NA,NA,0,NA,2003
"Chionodraco myersi",2012,NA,NA,0,NA,2003
"Chionodraco rastrospinosus",1979,"KIF","Ocellated icefish",949000,"LP",1979
"Chionodraco rastrospinosus",1980,"KIF","Ocellated icefish",581000,"LP",1979
"Chionodraco rastrospinosus",1981,"KIF","Ocellated icefish",133,"LP",1979
"Chionodraco rastrospinosus",1982,"KIF","Ocellated icefish",175,"LP",1979
"Chionodraco rastrospinosus",1983,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1984,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1985,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1986,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1987,"KIF","Ocellated icefish",125,"LP",1979
"Chionodraco rastrospinosus",1988,"KIF","Ocellated icefish",98,"LP",1979
"Chionodraco rastrospinosus",1989,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1990,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1991,"KIF","Ocellated icefish",2896,"LP",1979
"Chionodraco rastrospinosus",1992,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1993,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1994,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1995,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1996,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1997,"KIF","Ocellated icefish",570,"LP",1979
"Chionodraco rastrospinosus",1998,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",1999,"KIF","Ocellated icefish",924,"LP",1979
"Chionodraco rastrospinosus",2000,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2001,"KIF","Ocellated icefish",503,"LP",1979
"Chionodraco rastrospinosus",2002,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2003,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2004,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2005,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2006,"KIF","Ocellated icefish",290.116,"LP",1979
"Chionodraco rastrospinosus",2007,"KIF","Ocellated icefish",281.653,"LP",1979
"Chionodraco rastrospinosus",2008,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2009,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2010,"KIF","Ocellated icefish",3.31,"LP",1979
"Chionodraco rastrospinosus",2011,NA,NA,0,NA,1979
"Chionodraco rastrospinosus",2012,"KIF","Ocellated icefish",377,"LP",1979
"Coryphaenoides armatus",2007,"CKH","Abyssal grenadier",2.33,NA,2007
"Coryphaenoides armatus",2008,NA,NA,0,NA,2007
"Coryphaenoides armatus",2009,NA,NA,0,NA,2007
"Coryphaenoides armatus",2010,NA,NA,0,NA,2007
"Coryphaenoides armatus",2011,NA,NA,0,NA,2007
"Coryphaenoides armatus",2012,NA,NA,0,NA,2007
"Coryphaenoides rupestris",2002,"RNG","Roundnose grenadier",9100,"LP",2002
"Coryphaenoides rupestris",2003,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2004,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2005,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2006,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2007,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2008,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2009,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2010,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2011,NA,NA,0,NA,2002
"Coryphaenoides rupestris",2012,NA,NA,0,NA,2002
"Cryodraco antarcticus",2004,"FIC","Long-fingered Icefish",10,"D",2004
"Cryodraco antarcticus",2005,"FIC","Long-fingered Icefish",2.2,"D",2004
"Cryodraco antarcticus",2006,"FIC","Long-fingered Icefish",78.125,"D",2004
"Cryodraco antarcticus",2007,"FIC","Long-fingered Icefish",51.579,"D",2004
"Cryodraco antarcticus",2008,"FIC","Long-fingered Icefish",13.2,"D",2004
"Cryodraco antarcticus",2009,NA,NA,0,NA,2004
"Cryodraco antarcticus",2010,"FIC","Long-fingered Icefish",5.0165,"D",2004
"Cryodraco antarcticus",2011,NA,NA,0,NA,2004
"Cryodraco antarcticus",2012,"FIC","Long-fingered Icefish",207.4,"D",2004
"Cynomacrurus piriei",2003,"MNI","Dogtooth grenadier",220.4,NA,2003
"Cynomacrurus piriei",2004,"MNI","Dogtooth grenadier",134,NA,2003
"Cynomacrurus piriei",2005,"MNI","Dogtooth grenadier",1459,NA,2003
"Cynomacrurus piriei",2006,NA,NA,0,NA,2003
"Cynomacrurus piriei",2007,NA,NA,0,NA,2003
"Cynomacrurus piriei",2008,NA,NA,0,NA,2003
"Cynomacrurus piriei",2009,"MNI","Dogtooth grenadier",0.14,NA,2003
"Cynomacrurus piriei",2010,NA,NA,0,NA,2003
"Cynomacrurus piriei",2011,NA,NA,0,NA,2003
"Cynomacrurus piriei",2012,"MNI","Dogtooth grenadier",3.4,NA,2003
"Dacodraco hunteri",2006,"DAH","Icefish spp.",24.3,NA,2006
"Dacodraco hunteri",2007,"DAH","Icefish spp.",0.32,NA,2006
"Dacodraco hunteri",2008,NA,NA,0,NA,2006
"Dacodraco hunteri",2009,NA,NA,0,NA,2006
"Dacodraco hunteri",2010,NA,NA,0,NA,2006
"Dacodraco hunteri",2011,NA,NA,0,NA,2006
"Dacodraco hunteri",2012,NA,NA,0,NA,2006
"Dolloidraco longedorsalis",2012,"DLL","Plunderfish spp",0.2,NA,2012
