"season.year","ASD","ASD2","ScientificName","SpeciesCode","EnglishName","Class","Tax_Lev","totC_old","corr.Catch","corr.Catch2"
1974,"5852","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,7525000,7518231.65,7518.23165
1975,"48","48","Euphausia superba","KRI","Antarctic Krill","C",6,41352000,41352000,41352
1975,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,746000,745269.21,745.26921
1975,"483","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,1900000,1900000,1900
1975,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,1407000,1407000,1407
1975,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,10248000,10248000,10248
1975,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,10198000,10198000,10198
1975,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,575000,575000,575
1975,"5842","58","Euphausia superba","KRI","Antarctic Krill","C",6,2642000,2642000,2642
1975,"5844","58","Euphausia superba","KRI","Antarctic Krill","C",6,96000,96000,96
1975,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,984000,980956.59,980.95659
1975,"5852","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,9710000,9701270.33,9701.27033
1976,"48","48","Euphausia superba","KRI","Antarctic Krill","C",6,609000,609000,609
1976,"481","48","Euphausia superba","KRI","Antarctic Krill","C",6,389000,389000,389
1976,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,12290000,12277960.49,12277.96049
1976,"483","48","Euphausia superba","KRI","Antarctic Krill","C",6,554000,553386.01,553.38601
1976,"483","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,4999000,4999000,4999
1976,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,10753000,10742273.73,10742.27373
1976,"483","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,5e+05,5e+05,500
1976,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,190000,190000,190
1976,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,6061000,6061000,6061
1976,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,12200000,12200000,12200
1976,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,548000,548000,548
1976,"5841","58","Euphausia superba","KRI","Antarctic Krill","C",6,446000,446000,446
1976,"5842","58","Euphausia superba","KRI","Antarctic Krill","C",6,4326000,4326000,4326
1976,"5844","58","Euphausia superba","KRI","Antarctic Krill","C",6,457000,457000,457
1976,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,11566000,11554118.01,11554.11801
1976,"881","88","Euphausia superba","KRI","Antarctic Krill","C",6,1000,1000,1
1977,"48","48","Euphausia superba","KRI","Antarctic Krill","C",6,68301000,68301000,68301
1977,"482","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,5000,5000,5
1977,"482","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,11000,11000,11
1977,"482","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,10000,10000,10
1977,"483","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,494000,492645,492.645
1977,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,93595000,93503252.83,93503.25283
1977,"483","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,497000,496540.45,496.54045
1977,"483","48","Euphausia superba","KRI","Antarctic Krill","C",6,6966000,6951394.64,6951.39464
1977,"483","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,4386000,4386000,4386
1977,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,8574000,8568883.13,8568.88313
1977,"483","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,2937000,2937000,2937
1977,"483","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,1000,999.01,0.99901
1977,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,15522000,15522000,15522
1977,"483","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,2775000,2768522,2768.522
1977,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,97000,97000,97
1977,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,308000,308000,308
1977,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,11000,11000,11
1977,"5841","58","Euphausia superba","KRI","Antarctic Krill","C",6,1246000,1246000,1246
1977,"5842","58","Euphausia superba","KRI","Antarctic Krill","C",6,10698000,10698000,10698
1977,"5843","58","Euphausia superba","KRI","Antarctic Krill","C",6,16000,16000,16
1977,"5844","58","Euphausia superba","KRI","Antarctic Krill","C",6,640000,640000,640
1977,"5844","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,821200,821200,821.2
1977,"5844a","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,580000,580000,580
1977,"5844b","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,112000,112000,112
1977,"585","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,332100,332100,332.1
1977,"585","58","Channichthys rhinoceratus","LIC","Unicorn icefish","F",6,97700,97700,97.7
1977,"585","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,14800,14800,14.8
1977,"585","58","Notothenia rossii","NOR","Marbled rockcod","F",6,144500,144500,144.5
1977,"585","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,14200,14200,14.2
1977,"585","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,246400,246400,246.4
1977,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,38654000,38612897.04,38612.89704
1977,"5852","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,15201000,15146955.15,15146.95515
1977,"586","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,6300,6299.33,6.29933
1977,"586","58","Notothenia rossii","NOR","Marbled rockcod","F",6,800,799.94,0.79994
1977,"586","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,800,800,0.8
1977,"88","88","Euphausia superba","KRI","Antarctic Krill","C",6,3355000,3355000,3355
1977,"881","88","Euphausia superba","KRI","Antarctic Krill","C",6,10000,10000,10
1978,"48","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,1407000,1407000,1407
1978,"48","48","Euphausia superba","KRI","Antarctic Krill","C",6,83255000,83255000,83255
1978,"48","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,8294000,8294000,8294
1978,"48","48","Notothenia rossii","NOR","Marbled rockcod","F",6,5468000,5468000,5468
1978,"48","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,2473000,2473000,2473
1978,"48","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,15052000,15052000,15052
1978,"481","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,5000,5000,5
1978,"481","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,5573000,5573000,5573
1978,"481","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,68000,68000,68
1978,"481","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,13000,13000,13
1978,"482","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,211000,211000,211
1978,"482","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,138895000,138895000,138895
1978,"482","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,90000,90000,90
1978,"482","48","Euphausia superba","KRI","Antarctic Krill","C",6,2000,2000,2
1978,"482","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,75000,75000,75
1978,"482","48","Notothenia rossii","NOR","Marbled rockcod","F",6,85000,85000,85
1978,"482","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,9000,9000,9
1978,"482","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,50000,50000,50
1978,"482","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,217000,217000,217
1978,"482","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,649000,649000,649
1978,"482","48","Rajiformes","SRX","Skates and rays","F",3,4000,4000,4
1978,"483","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,2307000,2305565.72,2305.56572
1978,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,7472000,7462000.75,7462.00075
1978,"483","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,649000,648406.57,648.40657
1978,"483","48","Euphausia superba","KRI","Antarctic Krill","C",6,101000,87525.65,87.52565
1978,"483","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,13353000,13353000,13353
1978,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,4097000,4092480.23,4092.48023
1978,"483","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,148000,147852.01,147.85201
1978,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,302000,302000,302
1978,"483","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,12743000,12733994.51,12733.99451
1978,"483","48","Rajiformes","SRX","Skates and rays","F",3,4000,3995.52,3.99552
1978,"58","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,101000,101000,101
1978,"58","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,192000,192000,192
1978,"58","58","Euphausia superba","KRI","Antarctic Krill","C",6,28154000,28154000,28154
1978,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,46093000,46093000,46093
1978,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,25559000,25559000,25559
1978,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,1375000,1375000,1375
1978,"5841","58","Euphausia superba","KRI","Antarctic Krill","C",6,12598000,12598000,12598
1978,"5842","58","Euphausia superba","KRI","Antarctic Krill","C",6,12301000,12301000,12301
1978,"5842","58","Pleuragramma antarcticum","ANS","Antarctic silverfish","F",6,286050,286050,286.05
1978,"5844","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,3700,3700,3.7
1978,"5844","58","Notothenia rossii","NOR","Marbled rockcod","F",6,1800,1800,1.8
1978,"5844","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,167800,167800,167.8
1978,"5844a","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,5000,5000,5
1978,"5844a","58","Notothenia rossii","NOR","Marbled rockcod","F",6,62000,62000,62
1978,"5844a","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,5883000,5883000,5883
1978,"5844b","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,2000,2000,2
1978,"5844b","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,1481000,1481000,1481
1978,"585","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,228000,228000,228
1978,"585","58","Channichthys rhinoceratus","LIC","Unicorn icefish","F",6,128800,128800,128.8
1978,"585","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,59500,59500,59.5
1978,"585","58","Notothenia rossii","NOR","Marbled rockcod","F",6,638000,638000,638
1978,"585","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,356700,356700,356.7
1978,"585","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,20300,20300,20.3
1978,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,11039000,11027917.32,11027.91732
1978,"5852","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,5166000,5150516.91,5150.51691
1978,"586","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,369800,369772.53,369.77253
1978,"586","58","Notothenia rossii","NOR","Marbled rockcod","F",6,9600,9570.54,9.57054
1978,"586","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,193200,193200,193.2
1978,"586","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,848500,848500,848.5
1978,"88","88","Euphausia superba","KRI","Antarctic Krill","C",6,36000,36000,36
1978,"88","88","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,2000,2000,2
1978,"88","88","Pleuragramma antarcticum","ANS","Antarctic silverfish","F",6,21000,21000,21
1978,"881","88","Euphausia superba","KRI","Antarctic Krill","C",6,508000,508000,508
1979,"48","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,7000,7000,7
1979,"48","48","Euphausia superba","KRI","Antarctic Krill","C",6,261968000,261968000,261968
1979,"48","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,1600000,1600000,1600
1979,"48","48","Notothenia rossii","NOR","Marbled rockcod","F",6,4469000,4469000,4469
1979,"48","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,134000,134000,134
1979,"48","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,3538000,3538000,3538
1979,"481","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,1388000,1388000,1388
1979,"481","48","Chaenodraco wilsoni","WIC","Spiny icefish","F",6,10130000,10130000,10130
1979,"481","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,30357000,30357000,30357
1979,"481","48","Channichthyidae","ICX","Crocodile icefishes nei","F",4,26000,26000,26
1979,"481","48","Chionodraco rastrospinosus","KIF","Ocellated icefish","F",6,370000,370000,370
1979,"481","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,1e+05,1e+05,100
1979,"481","48","Loliginidae, Ommastrephidae","SQU","Flying squids","C",3,2000,2000,2
1979,"481","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,3212000,3212000,3212
1979,"481","48","Notothenia rossii","NOR","Marbled rockcod","F",6,470000,470000,470
1979,"481","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,21000,21000,21
1979,"481","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,79000,79000,79
1979,"481","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,384000,384000,384
1979,"481","48","Rajiformes","SRX","Skates and rays","F",3,1000,1000,1
1979,"482","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,2161000,2161000,2161
1979,"482","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,21439000,21439000,21439
1979,"482","48","Channichthyidae","ICX","Crocodile icefishes nei","F",4,243000,243000,243
1979,"482","48","Chionodraco rastrospinosus","KIF","Ocellated icefish","F",6,579000,579000,579
1979,"482","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,37000,37000,37
1979,"482","48","Euphausia superba","KRI","Antarctic Krill","C",6,1018000,1018000,1018
1979,"482","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,2598000,2598000,2598
1979,"482","48","Notothenia rossii","NOR","Marbled rockcod","F",6,237000,237000,237
1979,"482","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,77000,77000,77
1979,"482","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,133000,133000,133
1979,"482","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,599000,599000,599
1979,"483","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,828000,827097.72,827.09772
1979,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,809000,807599.35,807.59935
1979,"483","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,219000,218771.17,218.77117
1979,"483","48","Euphausia superba","KRI","Antarctic Krill","C",6,130000,104341.76,104.34176
1979,"483","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,6150000,6150000,6150
1979,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,972000,970451.49,970.45149
1979,"483","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,2387000,2386166.94,2386.16694
1979,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,481000,481000,481
1979,"483","48","Patagonotothen brevicauda","NOT","Patagonian rockcod","F",6,15011000,15011000,15011
1979,"483","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,758000,757233.11,757.23311
1979,"483","48","Rajiformes","SRX","Skates and rays","F",3,156000,155827.01,155.82701
1979,"58","58","Euphausia superba","KRI","Antarctic Krill","C",6,28522000,28522000,28522
1979,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,104000,104000,104
1979,"584","58","Euphausia superba","KRI","Antarctic Krill","C",6,517000,517000,517
1979,"5841","58","Euphausia superba","KRI","Antarctic Krill","C",6,20493000,20493000,20493
1979,"5842","58","Euphausia superba","KRI","Antarctic Krill","C",6,14135000,14135000,14135
1979,"5842","58","Pleuragramma antarcticum","ANS","Antarctic silverfish","F",6,35300,35300,35.3
1979,"5843","58","Euphausia superba","KRI","Antarctic Krill","C",6,25000,25000,25
1979,"5844","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,22200,22200,22.2
1979,"5844","58","Euphausia superba","KRI","Antarctic Krill","C",6,23000,23000,23
1979,"5844","58","Notothenia rossii","NOR","Marbled rockcod","F",6,23500,23500,23.5
1979,"5844","58","Nototheniidae","NOX","Antarctic Rockcods","F",4,594800,594800,594.8
1979,"5844a","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,4000,4000,4
1979,"5844a","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,234000,234000,234
1979,"5844b","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,63000,63000,63
1979,"585","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,212000,212000,212
1979,"585","58","Channichthys rhinoceratus","LIC","Unicorn icefish","F",6,4000,4000,4
1979,"585","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,6000,6000,6
1979,"585","58","Notothenia rossii","NOR","Marbled rockcod","F",6,19000,19000,19
1979,"585","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,36000,36000,36
1979,"88","88","Euphausia superba","KRI","Antarctic Krill","C",6,6e+05,6e+05,600
1979,"88","88","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,2e+05,2e+05,200
1979,"881","88","Euphausia superba","KRI","Antarctic Krill","C",6,2262000,2262000,2262
1980,"481","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,153000,153000,153
1980,"481","48","Chaenodraco wilsoni","WIC","Spiny icefish","F",6,4320000,4320000,4320
1980,"481","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,1087000,1087000,1087
1980,"481","48","Chionodraco rastrospinosus","KIF","Ocellated icefish","F",6,390000,390000,390
1980,"481","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,2000,2000,2
1980,"481","48","Euphausia superba","KRI","Antarctic Krill","C",6,49508000,49508000,49508
1980,"481","48","Myctophidae","LXX","Lanternfish","F",4,48000,48000,48
1980,"481","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,765000,765000,765
1980,"481","48","Notothenia rossii","NOR","Marbled rockcod","F",6,18763000,18763000,18763
1980,"481","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,551000,551000,551
1980,"481","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,72000,72000,72
1980,"482","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,206000,206000,206
1980,"482","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,5234000,5234000,5234
1980,"482","48","Channichthyidae","ICX","Crocodile icefishes nei","F",4,1668000,1668000,1668
1980,"482","48","Chionodraco rastrospinosus","KIF","Ocellated icefish","F",6,191000,191000,191
1980,"482","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,4000,4000,4
1980,"482","48","Euphausia superba","KRI","Antarctic Krill","C",6,173765000,173765000,173765
1980,"482","48","Micromesistius australis","POS","Southern blue whiting","F",6,36000,36000,36
1980,"482","48","Myctophidae","LXX","Lanternfish","F",4,33000,33000,33
1980,"482","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,1416000,1416000,1416
1980,"482","48","Notothenia rossii","NOR","Marbled rockcod","F",6,1722000,1722000,1722
1980,"482","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,1367000,1367000,1367
1980,"482","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,501000,501000,501
1980,"482","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,2388000,2388000,2388
1980,"482","48","Rajiformes","SRX","Skates and rays","F",3,6000,6000,6
1980,"483","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,1247000,1245742,1245.742
1980,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,8795000,8788469.35,8788.46935
1980,"483","48","Channichthyidae","ICX","Crocodile icefishes nei","F",4,917000,915806.64,915.80664
1980,"483","48","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,1e+05,99922.78,99.92278
1980,"483","48","Euphausia superba","KRI","Antarctic Krill","C",6,133774000,133642095.55,133642.09555
1980,"483","48","Myctophidae","LXX","Lanternfish","F",4,505000,504586.74,504.58674
1980,"483","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,6855000,6855000,6855
1980,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,24621000,24611711.14,24611.71114
1980,"483","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,272000,272000,272
1980,"483","48","Nototheniidae","NOX","Antarctic Rockcods","F",4,561000,560712.39,560.71239
1980,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,5064000,5064000,5064
1980,"483","48","Patagonotothen brevicauda","NOT","Patagonian rockcod","F",6,7381000,7381000,7381
1980,"483","48","Pseudochaenichthys georgianus","SGI","South Georgia icefish","F",6,1289000,1287610,1287.61
1980,"483","48","Rajiformes","SRX","Skates and rays","F",3,127000,126904.58,126.90458
1980,"584","58","Chaenodraco wilsoni","WIC","Spiny icefish","F",6,14000,14000,14
1980,"584","58","Euphausia superba","KRI","Antarctic Krill","C",6,83764000,83764000,83764
1980,"584","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,239000,239000,239
1980,"5841","58","Euphausia superba","KRI","Antarctic Krill","C",6,22151000,22151000,22151
1980,"5842","58","Euphausia superba","KRI","Antarctic Krill","C",6,10525000,10525000,10525
1980,"5842","58","Pleuragramma antarcticum","ANS","Antarctic silverfish","F",6,30600,30600,30.6
1980,"5844a","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,8000,8000,8
1980,"5844a","58","Notothenia rossii","NOR","Marbled rockcod","F",6,34000,34000,34
1980,"5844a","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,4181000,4181000,4181
1980,"5844b","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,2000,2000,2
1980,"5844b","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,2050000,2050000,2050
1980,"585","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,1419000,1419000,1419
1980,"585","58","Channichthys rhinoceratus","LIC","Unicorn icefish","F",6,4000,4000,4
1980,"585","58","Dissostichus eleginoides","TOP","Patagonian toothfish","F",6,132000,132000,132
1980,"585","58","Notothenia rossii","NOR","Marbled rockcod","F",6,1723000,1723000,1723
1980,"585","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,11272000,11272000,11272
1980,"881","88","Euphausia superba","KRI","Antarctic Krill","C",6,1770000,1770000,1770
1980,"882","88","Euphausia superba","KRI","Antarctic Krill","C",6,47000,47000,47
1980,"883","88","Euphausia superba","KRI","Antarctic Krill","C",6,1380000,1380000,1380
1981,"481","48","Cephalopoda","CEP","Cephalopods","C",2,6,6,0.006
1981,"481","48","Chaenocephalus aceratus","SSI","Blackfin icefish","F",6,38,38,0.038
1981,"481","48","Chaenodraco wilsoni","WIC","Spiny icefish","F",6,1,1,0.001
1981,"481","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,1700039,1700039,1700.039
1981,"481","48","Channichthyidae","ICX","Crocodile icefishes nei","F",4,16,16,0.016
1981,"481","48","Chionodraco rastrospinosus","KIF","Ocellated icefish","F",6,133,133,0.133
1981,"481","48","Dissostichus mawsoni","TOA","Antarctic toothfish","F",6,1,1,0.001
1981,"481","48","Euphausia superba","KRI","Antarctic Krill","C",6,93717000,93717000,93717
1981,"481","48","Loliginidae, Ommastrephidae","SQU","Flying squids","C",3,1,1,0.001
1981,"481","48","Myctophidae","LXX","Lanternfish","F",4,1,1,0.001
1981,"481","48","Notothenia gibberifrons","NOG","Humped rockcod","F",6,50363,50363,50.363
