Country,Sp.,Native,Fish meal,Intensity,Hatchery,Habitat,Waste water,Ecological,MSI,Genetic escapees,Maric_sustainability
Taiwan,Flathead grey mullet,10,3,5,5,5,3,5.2,5.5,1.00,0.37
Taiwan,Giant tiger prawn,10,1,1,1,1,1,2.5,3.5,1.00,0.10
Taiwan,Groupers nei (Pac) (br),9,1,5,5,3,4,4.5,5,0.90,0.33
Taiwan,Groupers nei (br),9,1,5,5,3,4,4.5,5,0.90,0.33
Taiwan,Groupers nei,9,1,5,5,3,4,4.5,5,0.90,0.33
Taiwan,Kuruma prawn (br),10,3,1,5,1,3,3.8,4.6,1.00,0.37
Taiwan,Kuruma prawn,10,3,1,5,1,3,3.8,4.6,1.00,0.37
Taiwan,Laver (Nori),10,10,7,5,7,5,7.3,7,1.00,0.67
Taiwan,Milkfish (br),10,7,7,5,3,3,5.8,5.9,1.00,0.50
Taiwan,Milkfish,10,7,7,5,3,3,5.8,5.9,1.00,0.50
Taiwan,Pacific cupped oyster (br),1,1,7,5,7,10,5.2,5.7,0.10,0.53
Taiwan,Pacific cupped oyster,1,1,7,5,7,10,5.2,5.7,0.10,0.53
Taiwan,Whiteleg shrimp,1,3,1,5,1,3,2.3,3.6,0.10,0.37
Thailand,Banana prawn,10,4,4,1,3,1,3.8,4.1,1.00,0.20
Thailand,Barramundi (Ind),10,1,1,3,3,1,3.2,3.7,1.00,0.17
Thailand,Barramundi,10,1,1,3,3,1,3.2,3.7,1.00,0.17
Thailand,Blood cockle (Ind),10,10,7,3,5,7,7,7,1.00,0.67
Thailand,Blood cockle,10,10,7,3,5,7,7,7,1.00,0.67
Thailand,Cupped oysters nei (Ind),5,10,7,5,6,10,7.2,6.7,0.50,0.83
Thailand,Cupped oysters nei,5,10,7,5,6,10,7.2,6.7,0.50,0.83
Thailand,Giant tiger prawn (Ind),10,1,1,1,1,1,2.5,3.5,1.00,0.10
Thailand,Giant tiger prawn,10,1,1,1,1,1,2.5,3.5,1.00,0.10
Thailand,Groupers nei (Ind),9,1,5,5,3,4,4.5,5,0.90,0.33
Thailand,Groupers nei,9,1,5,5,3,4,4.5,5,0.90,0.33
Thailand,Penaeus shrimps nei,5,3,1,3,1,2,2.5,3.5,0.50,0.27
Thailand,Whiteleg shrimp,1,3,1,3,1,1,1.7,3,0.10,0.23
Tonga,Milkfish,10,7,10,1,5,3,6,6.4,1.00,0.37
Turkey,Atlantic salmon,1,3,3,8,5,5,4.2,4.7,0.10,0.53
Turkey,Com.2-banded seabream,10,3,3,7,5,6,5.7,5.3,1.00,0.53
Turkey,Gilthead seabream,8,3,3,7,5,6,5.3,5.1,0.80,0.53
Turkey,Mediterranean mussel,10,10,7,6,7,8,8,6.6,1.00,0.80
Turkey,Natantian decapods nei,5,5,5,6,5,5,5.2,5.1,0.50,0.53
Turkey,Seabasses nei,5,3,3,6,5,6,4.7,4.8,0.50,0.50
Turkey,Trouts nei,5,3,3,5,5,5,4.3,4.8,0.50,0.43
Ukraine,Baltic prawn,10,3,3,6,5,5,5.3,5.2,1.00,0.47
Ukraine,Flatfishes nei,Ê5,3,3,6,5,6,3.8,4.4,#VALUE!,0.50
Ukraine,Gobies nei,Ê5,5,3,5,5,6,4,4.5,#VALUE!,0.53
