FAO spp,Taxon_code,Added_2013
blood cockle,BI,0
Blue mussel,BI,0
Carpet shells nei,BI,0
Common edible cockle,BI,0
Cupped oysters nei,BI,0
European flat oyster,BI,0
False abalone,BI,0
Flat and cupped oysters nei,BI,0
Flat oysters nei,BI,0
Gasar cupped oyster,BI,0
Green mussel,BI,0
Grooved carpet shell,BI,0
Korean mussel,BI,0
Mediterranean mussel,BI,0
New Zealand mussel,BI,0
Pacific cupped oyster,BI,0
Perlemoen abalone,BI,0
Peruvian calico scallop,BI,0
Pullet carpet shell,BI,0
River Plata mussel,BI,0
Scallops nei,BI,0
Sea mussels nei,BI,0
Smooth mactra,BI,0
"Octopuses, etc. nei",CEPH,0
Common cuttlefish,CEPH,0
Octopuses nei,CEPH,0
Callinectes swimcrabs nei,CRUST,0
Indo-Pacific swamp crab,CRUST,0
Orange mud crab,CRUST,0
Palinurid spiny lobsters nei,CRUST,0
Flathead lobster,CRUST,0
Japanese spiny lobster,CRUST,0
Portunus swimcrabs nei,CRUST,0
Blue crab,CRUST,0
Blue swimming crab,CRUST,0
Gazami crab,CRUST,0
Marine crabs nei,CRUST,0
Mud spiny lobster,CRUST,0
Spinous spider crab,CRUST,0
Spiny lobsters nei,CRUST,0
"Swimming crabs, etc. nei",CRUST,0
Tropical spiny lobsters nei,CRUST,0
Natantian decapods nei,CRUST,0
Marine crustaceans nei,CRUST,0
Chars nei,F,0
Hong Kong grouper,F,0
Righteye flounders nei,F,0
Senegalese sole,F,0
Chum(=Keta=Dog)salmon,F,0
Cobia,F,0
Common carp,F,0
Crevalle jack,F,0
Cyprinids nei,F,0
Dotted gizzard shad,F,0
European flounder,F,0
Fourfinger threadfin,F,0
Golden trevally,F,0
Greater amberjack,F,0
Humpback grouper,F,0
Japanese amberjack,F,0
Japanese eel,F,0
Marble goby,F,0
Masu(=Cherry) salmon,F,0
Percoids nei,F,0
"Porgies, seabreams nei",F,0
Red porgy,F,0
"Snappers, jobfishes nei",F,0
Snooks(=Robalos) nei,F,0
Areolate grouper,F,0
Ballan wrasse,F,0
Barramundi(=Giant seaperch),F,0
Bastard halibut,F,0
Bastard halibuts nei,F,0
Bighead carp,F,0
Black catfishes nei,F,0
Black seabass,F,0
Blackhead seabream,F,0
Blackspot(=red) seabream,F,0
Bluefish,F,0
Bluegill,F,0
Bluespot mullet,F,0
Brown meagre,F,0
Common dentex,F,0
Common pandora,F,0
"Croakers, drums nei",F,0
Daggertooth pike conger,F,0
Drums nei,F,0
European whitefish,F,0
Filefishes nei,F,0
"Filefishes, leatherjackets nei",F,0
Finfishes nei,F,0
Goldsilk seabream,F,0
Grass carp(=White amur),F,0
Greasy grouper,F,0
"Gudgeons, sleepers nei",F,0
Large yellow croaker,F,0
Largemouth black bass,F,0
Lebranche mullet,F,0
Lefteye flounders nei,F,0
Mackerels nei,F,0
Malabar grouper,F,0
Marbled spinefoot,F,0
Meagre,F,0
Mojarras(=Silver-biddies) nei,F,0
Pacific bluefin tuna,F,0
Pargo breams nei,F,0
Pollack,F,0
Puffers nei,F,0
Russell's snapper,F,0
Salmonids nei,F,0
Salmonoids nei,F,0
Scats,F,0
Scorpionfishes nei,F,0
Sharpsnout seabream,F,0
Shi drum,F,0
Short-finned eel,F,0
Silver barb,F,0
Silver seabream,F,0
Silversides(=Sand smelts) nei,F,0
Sixfinger threadfin,F,0
Snubnose pompano,F,0
Groundfishes nei,F,0
Indonesian snakehead,F,0
Japanese seabass,F,0
Korean rockfish,F,0
Okhotsk atka mackerel,F,0
Papuan black snapper,F,0
Common snook,F,0
Florida pompano,F,0
Pangas catfishes nei,F,0
River eels nei,F,0
Amberjacks nei,F,0
Atipa,F,0
Black bullhead,F,0
Common two-banded seabream,F,0
Crimson seabream,F,0
Freshwater siluroids nei,F,0
Goldlined seabream,F,0
"Jacks, crevalles nei",F,0
Japanese jack mackerel,F,0
Sabaki tilapia,F,0
Sobaity seabream,F,0
Sockeye(=Red)salmon,F,0
Soles nei,F,0
Spinefeet(=Rabbitfishes) nei,F,0
Spotted rose snapper,F,0
Spotted seabass,F,0
Squaretail mullet,F,0
Streaked spinefoot,F,0
"Striped bass, hybrid",F,0
Striped weakfish,F,0
Thinlip grey mullet,F,0
Torpedo-shaped catfishes nei,F,0
Trumpet emperor,F,0
Two-spot red snapper,F,0
White seabream,F,0
White trevally,F,0
White-spotted spinefoot,F,0
Whitemouth croaker,F,0
Yellowback seabream,F,0
Yellowfin seabream,F,0
Brown-marbled grouper,F,0
Orange-spotted grouper,F,0
So-iuy mullet,F,0
Arctic char,F,0
Atlantic bluefin tuna,F,0
Atlantic cod,F,0
Atlantic halibut,F,0
Atlantic salmon,F,0
Atlantic wolffish,F,0
Bagrid catfish,F,0
Blackchin tilapia,F,0
Blue tilapia,F,0
Brill,F,0
Chinook(=Spring=King)salmon,F,0
Coho(=Silver)salmon,F,0
Common sole,F,0
European eel,F,0
European seabass,F,0
Flatfishes nei,F,0
Flathead grey mullet,F,0
Freshwater fishes nei,F,0
Gilthead seabream,F,0
Gobies nei,F,0
Groupers nei,F,0
"Groupers, seabasses nei",F,0
Haddock,F,0
John's snapper,F,0
Mangrove red snapper,F,0
Marine fishes nei,F,0
Metapenaeus shrimps nei,F,0
Milkfish,F,0
Mozambique tilapia,F,0
Mullets nei,F,0
Nile tilapia,F,0
Rainbow trout,F,0
Red drum,F,0
Sargo breams nei,F,0
Sea trout,F,0
Seabasses nei,F,0
Silver carp,F,0
Snappers nei,F,0
Southern bluefin tuna,F,0
Spotted coralgrouper,F,0
Spotted wolffish,F,0
Sturgeons nei,F,0
Tilapias nei,F,0
Turbot,F,0
Yellowfin tuna,F,0
Marine molluscs nei,MOLL,0
Japanese sea cucumber,NS-INV,0
Aquatic invertebrates nei,INV,0
Jellyfishes nei,NS-INV,0
Green turtle,OTHER,0
Sea cucumbers nei,NS-INV,0
Northern white shrimp,SH,0
Eastern king prawn,SH,0
Redtail prawn,SH,0
Caramote prawn,SH,0
Fleshy prawn,SH,0
Akiami paste shrimp,SH,0
Atlantic ditch shrimp,SH,0
Brine shrimp,SH,0
Brine shrimps nei,SH,0
Brown tiger prawn,SH,0
Eastern school shrimp,SH,0
Common prawn,SH,0
Green tiger prawn,SH,0
Palaemonid shrimps nei,SH,0
Southern white shrimp,SH,0
Baltic prawn,SH,0
Banana prawn,SH,0
Blue shrimp,SH,0
Giant river prawn,SH,0
Giant tiger prawn,SH,0
Greasyback shrimp,SH,0
Indian white prawn,SH,0
Kuruma prawn,SH,0
Penaeus shrimps nei,SH,0
Whiteleg shrimp,SH,0
Sea squirts nei,TUN,0
Red bait,TUN,0
Stony sea urchin,URCH,0
Sea urchins nei,URCH,0
Oriental cyclina,BI,0
[Boleophthalmus pectinirostris],F,1
[Solea spp],F,1
Barramundi(=Giant seaperch),F,1
Big-scale sand smelt,F,1
Black ark,BI,1
Chinook(=Spring=King) salmon,F,1
Chum(=Keta=Dog) salmon,F,1
Coho(=Silver) salmon,F,1
Diphos sanguin,BI,1
Grand ark,BI,1
Japanese meagre,F,1
Japanese seabream,F,1
Longfin yellowtail,F,1
Mi-iuy (brown) croaker,F,1
Nile perch,F,1
Orbicular batfish,F,1
Pod razor shell,BI,1
Pompano,F,1
Sand fish,NS-INV,1
Sockeye(=Red) salmon,F,1
Speckled shrimp,SH,1
Tarpon,F,1
Tiger pufferfish,F,1
