Country (Country),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,Brook trout,Oceania - Inland waters,Freshwater,...,...,...,...,10.98,7.93,7.81,18.7,35.28,367.54,30.16,22.93,8.61,44.67,37.78,0,0,0,3.36,...,...,0,0,0,0,0,0,0,0
Australia,Brown tiger prawn,"Pacific, Southwest",Brackishwater,...,...,...,...,...,...,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Brown tiger prawn,"Pacific, Southwest",Marine,...,7.71,12.08,0,232.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Chinook(=Spring=King) salmon,"Pacific, Southwest",Marine,...,...,...,...,...,...,...,109.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Cupped oysters nei,"Indian Ocean, Eastern",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2956.93,10573.61,15272.98,17970.97,31721.07,...,...,...,...,...
Australia,Cupped oysters nei,"Pacific, Southwest",Brackishwater,...,...,...,...,27.45,62.02,90.48,168.08,109.15,97.92,74.3,...,71.8,50.69,42.87,45.65,0,0,283.92,...,...,...,...,...,...,...,...,...,...
Australia,Eastern king prawn,"Pacific, Southwest",Brackishwater,...,7.71,18.11,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Eastern king prawn,"Pacific, Southwest",Marine,...,...,6.04,42.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Eastern school shrimp,"Pacific, Southwest",Brackishwater,...,95.66,12.08,17.07,164.69,79.25,78.13,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,European perch,Oceania - Inland waters,Freshwater,...,...,100.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Flat and cupped oysters nei,"Indian Ocean, Eastern",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,92794.6,100471.23,111208.81
Australia,Flat oysters nei,"Pacific, Western Central",Marine,0,0,0,0,0,0,0,94.27,177.87,117.3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Freshwater fishes nei,"Indian Ocean, Eastern",Brackishwater,0,0,0,0,0,0,0,0,0,0,0,0,0,502.21,216.92,588.51,0,0,1400.43,25962.88,34079.09,40509.03,40314.11,42685.54,...,...,...,...,...
Australia,Freshwater fishes nei,Oceania - Inland waters,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,502.21,216.92,588.51,195.67,121.03,990.12,4338.76,1828.65,1915.71,1683.89,1436.72,1893.83,5709.09,7291.06,5438.18,6055.69
Australia,Giant tiger prawn,"Pacific, Southwest",Brackishwater,...,...,93.92,...,717.72,1268.05,4846.15,1559.7,7260.33,9026.12,16502.43,19628.28,14372.75,13351.48,11293.4,27355.12,26316.33,23324.99,32622.94,...,...,3404.47,2550.88,...,...,...,...,...,...
Australia,Giant tiger prawn,"Pacific, Western Central",Marine,...,...,103.31,162.19,880.84,2377.59,0,5289.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Golden perch,Oceania - Inland waters,Freshwater,...,...,...,...,...,...,78.13,934.92,118.04,97.1,78.47,83.7,87.7,7.44,6.29,7.1,14.76,13.2,8.11,84.28,25.29,47.66,23.75,...,...,...,...,...,...
Australia,Indo-Pacific swamp crab,"Indian Ocean, Eastern",Brackishwater,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1162.94,983.68,0,0,0,...,0,0,0,0,...,...,...,...,...,...
Australia,Kuruma prawn,"Pacific, Southwest",Brackishwater,...,...,...,...,12.55,0,0,0,44.1,209,297,901.16,10485.94,4278.58,3619.05,4917.14,3536.08,2300.95,3004.91,...,...,0,0,...,...,...,...,...,...
Australia,Marine crustaceans nei,"Pacific, Southwest",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,41.91,...,...,...,...
Australia,Marine fishes nei,"Indian Ocean, Eastern",Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,507.55,212.4,1182.19,382.02,962.01,4.9,222.37,27.84,55.82,89.9,...,15117.12,25549.42,29063.29,30833.86,16698.07
Australia,Marine fishes nei,"Pacific, Southwest",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4115.31,2028.49,1900.34
Australia,Marron crayfish,Oceania - Inland waters,Freshwater,211.1,70.08,161.01,210.26,63.52,144.24,295.33,307.35,312.38,324.29,385.84,383.32,726.62,957.27,836,764.88,730.19,713.13,751.12,1052.79,1157.02,1582.73,1233.32,1867.29,1812.75,1614.05,1925.32,2530.07,1851.36
Australia,Murray cod,Oceania - Inland waters,Freshwater,0,0,0,0,0,0,0,0,242.55,204,395.28,0,14.88,23.56,19.93,24.13,99.65,27.1,88.24,...,229.96,352.68,578.01,796.88,...,...,...,...,...
Australia,Pacific cupped oyster,"Indian Ocean, Eastern",Brackishwater,...,...,...,63.01,93.32,15.79,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Pacific cupped oyster,"Indian Ocean, Eastern",Marine,789.5,46.6,865.42,1119.9,4117.16,6551.69,8450.43,8294.49,8766.93,7702.02,9942.61,14420.92,19285.29,19167.58,11588.86,12447.62,14511.96,12861.41,14595.99,15469.41,16661.44,15366.13,14093.79,17804.32,50889.23,47989.78,...,...,...
Australia,Penaeus shrimps nei,"Pacific, Southwest",Brackishwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,36544.98,42532.88,35069.7,35028.52,37837.66,37793.54,44979.31,69328.77,59177.54,61183.88
Australia,Rainbow trout,Oceania - Inland waters,Freshwater,6691.77,3412.9,1863.14,7634.89,7921.41,11383.9,9360.13,6035.28,8115.42,6359.1,6405,5161.35,7415.01,9129.27,7937.88,7042.15,7571.33,6629.54,7005.56,101.73,243.07,1778.83,1579.46,330.77,115.46,110.78,93.51,137.59,63.18
Australia,Rainbow trout,"Pacific, Southwest",Marine,...,...,277.74,1549.43,4885.69,6241.17,5924.13,2073.44,1825.74,1612.96,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...
Australia,Red claw crayfish,Oceania - Inland waters,Freshwater,...,...,...,...,126.26,2091.8,397.52,371.51,411.6,401.47,353.56,464.34,613.87,649.57,549.44,604,489.96,579.57,546.21,686.92,914.27,978.52,979.28,1215.91,938.05,887.04,879.04,937.27,820.33
Australia,Sea trout,Oceania - Inland waters,Freshwater,...,54.66,84.53,9.53,10.67,7.93,7.81,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Short-finned eel,"Indian Ocean, Eastern",Brackishwater,88,112.5,117.4,192.74,235.27,257.57,350.02,1168.65,1440.6,1387.2,1939.8,1484,1573.83,2458.77,2079.76,564.11,269.87,367.59,238.12,217.36,63.82,70.95,68.1,1792.47,1667.19,...,...,866,852.26
Australia,Silver perch,Oceania - Inland waters,Freshwater,...,...,...,...,...,...,7.81,171.4,239.32,174.08,66.54,154.26,258.39,719.66,897.27,1181.58,1481.89,1323.7,1514.92,2053.32,2040.36,2254.46,2473.5,2938.62,2732.78,2616.73,3552.68,4629.3,4412.22
Australia,Southern Australia scallop,"Pacific, Southwest",Marine,...,...,...,...,...,...,...,85.7,83.79,276.76,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Southern bluefin tuna,"Indian Ocean, Eastern",Marine,...,...,...,...,...,...,...,...,3447.15,10379.52,17732.7,28167.73,31523.58,29907.14,17644.88,23204.26,86248.7,105721.16,103220.7,53275.62,85369.11,31986.46,48122.94,32985.8,74187.8,53277.12,42872.34,44260.72,54502.41
Australia,Sydney cupped oyster,"Indian Ocean, Eastern",Marine,1637.64,2037.23,2468.8,2523.1,3705.44,4477.99,3708.39,2729.19,620.12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Sydney cupped oyster,"Pacific, Southwest",Marine,16451.83,15431.62,20367.62,20784.01,28898.31,21259.9,19684.99,20072.73,24080.59,24279.4,21291.24,20370.87,20279.7,18950.62,16029.46,16761.07,16525.19,15649.76,16079.92,21269.52,26564.02,25867.9,24535.1,26833.94,25770.65,25757.79,...,...,...
Australia,Yabby crayfish,Oceania - Inland waters,Freshwater,0,4.2,4.03,12.62,70.58,270.25,511.9,650.7,837.9,942.28,2311.95,2187.71,1386.69,1404.5,1362.21,1560.43,2133.48,1755.83,1128.22,1108.23,1160.47,1420.74,985.82,1406.69,1158.1,806.32,974.03,657.01,768.33
Austria,Arctic char,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.46,20.71,11.95,0,6,0,60,126,134.4,117.6,156,528,747,1947.97,1928.36
Austria,Bighead carp,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,20.1,3.39,3.13,3.62,0,3.65,3.65,0,0,0,5,0,0,9.7,2.25,3.47
Austria,Brook trout,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,557.95,630.09,988.86,968.32,1128,1128,1302,1380,1476,2184,2125.2,3084,2928,4249.6,3827.76,3599.61
Austria,Catfishes nei,Europe - Inland waters,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Common carp,Europe - Inland waters,Freshwater,2406.86,1876.45,2670.91,3327.41,3692.69,3311.22,3240.54,3985.13,3543.74,2657.06,2606.15,2562.04,2296.28,1550.76,1734.37,1540.24,1950.48,1181.95,930.21,1034.59,918,963,1453.2,1583.4,2172,2070,2888.4,2985.4,2776.84
Austria,Cyprinids nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,20.1,13.57,62.67,39.8,32.85,18.25,10.95,14.8,7.4,15,10,28,28,38.8,33.39,38.57
Austria,Euro-American crayfishes nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,31.46,32,32,20,0,0,0,0,0,0,0,0,0
Austria,Freshwater fishes nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.18,25.07,3.62,10.95,18.25,3.65,0,0,0,0,0,0,0,0,0
Austria,Grass carp(=White amur),Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,51.69,47.5,28.2,28.94,29.2,18.25,29.2,33.3,25.9,75,85,70,77,106.7,137.47,122.13
Austria,Huchen,Europe - Inland waters,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,6,12,25.2,33.6,42,42,96.5,333.94,205.69
Austria,North African catfish,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,688.75,655.64
Austria,Northern pike,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,17.23,10.18,9.4,7.24,7.3,7.3,14.6,11.1,14.8,10,15,21,28,19.4,169.06,173.55
Austria,Pike-perch,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,20.1,10.18,12.53,7.24,10.95,7.3,7.3,10,10,14,14,30,20,41.4,269.38,226.26
Austria,Rainbow trout,Europe - Inland waters,Freshwater,9025.74,7310.85,9538.97,11091.36,14283.81,13320.56,10068.16,9049.29,9258.42,8708.97,8899.86,8174.71,8085.16,8861.51,8872.58,7856.85,8435.04,8206.55,8220.74,7539.62,7380,7780.5,10527.3,10287.9,10836,11214,15016.4,10257.18,9693.22
Austria,Salmonoids nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9.69,31.06,35.86,18,66,30,60,96,109.2,428.4,552,588,597.6,0,0
Austria,Sea trout,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,229.74,336.05,538.44,364.61,252,312,318,264,372,571.2,688.8,876,972,1411,2528.47,2474.73
