country,species_fao,fao_area,environment,species_Truj,taxon,match_type,gapfill,label_fao,label_Trujillo,Maric_sustainability,Genetic escapees,used to be
Indonesia,Banana prawn,,,Banana prawn,,c_sp,actuals,Indonesia_Banana prawn,Indonesia_Banana prawn,0.27,1,
Indonesia,Barramundi,,,Barramundi,,c_sp,actuals,Indonesia_Barramundi,Indonesia_Barramundi,0.17,1,
Indonesia,Groupers nei,,,Groupers nei,,c_sp,actuals,Indonesia_Groupers nei,Indonesia_Groupers nei,0.33,0.9,
Indonesia,Milkfish,,,Milkfish,,c_sp,actuals,Indonesia_Milkfish,Indonesia_Milkfish,0.43,1,
Iran (Islamic Rep. of),Indian white prawn,,,Indian white prawn,,c_sp,actuals,Iran (Islamic Rep. of)_Indian white prawn,Iran (Islamic Republic of)_Indian white prawn,0.3,0.1,
Ireland,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Ireland_Atlantic salmon,Ireland_Atlantic salmon,0.43,1,
Ireland,Blue mussel,,,Blue mussel,,c_sp,actuals,Ireland_Blue mussel,Ireland_Blue mussel,0.93,1,
Ireland,European flat oyster,,,European flat oyster,,c_sp,actuals,Ireland_European flat oyster,Ireland_European flat oyster,0.83,1,
Ireland,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Ireland_Pacific cupped oyster,Ireland_Pacific cupped oyster,0.83,0.1,
Italy,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,Italy_Cupped oysters nei,Italy_Cupped oysters nei,1,0.5,
Italy,European eel,,,European eel,,c_sp,actuals,Italy_European eel,Italy_European eel,0.43,1,
Italy,European flat oyster,,,European flat oyster,,c_sp,actuals,Italy_European flat oyster,Italy_European flat oyster,0.83,1,
Italy,European seabass,,,European seabass,,c_sp,actuals,Italy_European seabass,Italy_European seabass,0.43,1,
Italy,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,Italy_Flathead grey mullet,Italy_Flathead grey mullet,0.43,1,
Italy,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,Italy_Giant tiger prawn,Italy_Giant tiger prawn,0.3,0.1,
Italy,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,Italy_Gilthead seabream,Italy_Gilthead seabream,0.23,1,
Italy,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,Italy_Gracilaria seaweeds,Italy_Gracilaria seaweeds,0.9,1,
Italy,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,Italy_Kuruma prawn,Italy_Kuruma prawn,0.5,0.1,
Japan,Coho(=Silver)salmon,,,Coho(=Silver)salmon,,c_sp,actuals,Japan_Coho(=Silver)salmon,Japan_Coho(=Silver)salmon,0.37,1,
Japan,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,Japan_Flathead grey mullet,Japan_Flathead grey mullet,0.43,1,
Japan,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,Japan_Kuruma prawn,Japan_Kuruma prawn,0.5,1,
Japan,Laver (Nori),,,Laver (Nori),,c_sp,actuals,Japan_Laver (Nori),Japan_Laver (Nori),0.73,1,
Japan,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Japan_Pacific cupped oyster,Japan_Pacific cupped oyster,0.77,1,
Kiribati,Milkfish,,,Milkfish,,c_sp,actuals,Kiribati_Milkfish,Kiribati_Milkfish,0.37,1,
"Korea, Dem. People's Rep",Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,"Korea, Dem. People's Rep_Gracilaria seaweeds","Korea, Dem. People's Rep_Gracilaria seaweeds",0.83,0.5,
"Korea, Dem. People's Rep",Laver (Nori),,,Laver (Nori),,c_sp,actuals,"Korea, Dem. People's Rep_Laver (Nori)","Korea, Dem. People's Rep_Laver (Nori)",0.67,1,
Madagascar,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,Madagascar_Giant tiger prawn,Madagascar_Giant tiger prawn,0.23,1,
Malaysia,Banana prawn,,,Banana prawn,,c_sp,actuals,Malaysia_Banana prawn,Malaysia_Banana prawn,0.3,1,
Malaysia,Banana prawn,,,Banana prawn,,c_sp,actuals,Malaysia_Banana prawn,Malaysia_Banana prawn,0.3,1,
Malaysia,Barramundi,,,Barramundi,,c_sp,actuals,Malaysia_Barramundi,Malaysia_Barramundi,0.17,1,
Malaysia,Blood cockle,,,Blood cockle,,c_sp,actuals,Malaysia_Blood cockle,Malaysia_Blood cockle,0.67,1,
Malaysia,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,Malaysia_Cupped oysters nei,Malaysia_Cupped oysters nei,0.83,0.5,
Malaysia,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,Malaysia_Giant tiger prawn,Malaysia_Giant tiger prawn,0.17,1,
Mexico,Abalones nei,,,Abalones nei,,c_sp,actuals,Mexico_Abalones nei,Mexico_Abalones nei,0.67,0.5,
Mexico,Atlantic bluefin tuna,,,Atlantic bluefin tuna,,c_sp,actuals,Mexico_Atlantic bluefin tuna,Mexico_Atlantic bluefin tuna,0.23,1,
Mexico,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,Mexico_Flathead grey mullet,Mexico_Flathead grey mullet,0.43,1,
Mexico,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Mexico_Pacific cupped oyster,Mexico_Pacific cupped oyster,0.77,0.1,
Mexico,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Mexico_Whiteleg shrimp,Mexico_Whiteleg shrimp,0.43,1,
Mexico,Yellowfin tuna,,,Yellowfin tuna,,c_sp,actuals,Mexico_Yellowfin tuna,Mexico_Yellowfin tuna,0.1,1,
Morocco,"Clams, etc. nei",,,"Clams, etc nei",,c_sp,actuals,"Morocco_Clams, etc. nei","Morocco_Clams, etc nei",0.77,0.5,
Morocco,European eel,,,European eel,,c_sp,actuals,Morocco_European eel,Morocco_European eel,0.43,1,
Morocco,European flat oyster,,,European flat oyster,,c_sp,actuals,Morocco_European flat oyster,Morocco_European flat oyster,0.77,1,
Morocco,European seabass,,,European seabass,,c_sp,actuals,Morocco_European seabass,Morocco_European seabass,0.43,1,
Morocco,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,Morocco_Gilthead seabream,Morocco_Gilthead seabream,0.43,1,
Morocco,Marine fishes nei,,,Marine fishes nei,,c_sp,actuals,Morocco_Marine fishes nei,Morocco_Marine fishes nei,0.47,0.5,
Morocco,Mediterranean mussel,,,Mediterranean mussel,,c_sp,actuals,Morocco_Mediterranean mussel,Morocco_Mediterranean mussel,0.83,1,
Morocco,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,Morocco_Penaeus shrimps nei,Morocco_Penaeus shrimps nei,0.43,0.5,
Morocco,Yesso scallop,,,Yesso scallop,,c_sp,actuals,Morocco_Yesso scallop,Morocco_Yesso scallop,0.87,0.1,
Myanmar,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,Myanmar_Giant tiger prawn,Myanmar_Giant tiger prawn,0.17,1,
Namibia,Blue mussel,,,Blue mussel,,c_sp,actuals,Namibia_Blue mussel,Namibia_Blue mussel,0.77,0.1,
Namibia,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,Namibia_Gracilaria seaweeds,Namibia_Gracilaria seaweeds,0.8,1,
Namibia,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Namibia_Pacific cupped oyster,Namibia_Pacific cupped oyster,0.77,0.1,
Netherlands,Blue mussel,,,Blue mussel,,c_sp,actuals,Netherlands_Blue mussel,Netherlands_Blue mussel,0.93,1,
Netherlands,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,Netherlands_Cupped oysters nei,Netherlands_Cupped oysters nei,0.9,0.5,
Netherlands,European flat oyster,,,European flat oyster,,c_sp,actuals,Netherlands_European flat oyster,Netherlands_European flat oyster,0.83,1,
New Zealand,Abalones nei,,,Abalones nei,,c_sp,actuals,New Zealand_Abalones nei,New Zealand_Abalones nei,0.5,0.5,
New Zealand,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,New Zealand_Pacific cupped oyster,New Zealand_Pacific cupped oyster,0.77,0.1,
Nicaragua,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Nicaragua_Whiteleg shrimp,Nicaragua_Whiteleg shrimp,0.37,1,
Nigeria,Bagrid catfish,,,Bagrid catfish,,c_sp,actuals,Nigeria_Bagrid catfish,Nigeria_Bagrid catfish,0.5,1,
Nigeria,Freshwater fishes nei,,,Freshwater fishes nei,,c_sp,actuals,Nigeria_Freshwater fishes nei,Nigeria_Freshwater fishes nei,0.37,0.5,
Nigeria,Mullets nei,,,Mullets nei,,c_sp,actuals,Nigeria_Mullets nei,Nigeria_Mullets nei,0.43,0.5,
Nigeria,Snappers nei,,,Snappers nei,,c_sp,actuals,Nigeria_Snappers nei,Nigeria_Snappers nei,0.43,0.5,
Nigeria,Tilapias nei,,,Tilapias nei,,c_sp,actuals,Nigeria_Tilapias nei,Nigeria_Tilapias nei,0.37,0.5,
Nigeria,Torpedo catfishes nei,,,Torpedo catfishes nei,,c_sp,actuals,Nigeria_Torpedo catfishes nei,Nigeria_Torpedo catfishes nei,0.37,0.5,
Norway,Atlantic cod,,,Atlantic cod,,c_sp,actuals,Norway_Atlantic cod,Norway_Atlantic cod,0.17,1,
Norway,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Norway_Atlantic salmon,Norway_Atlantic salmon,0.23,1,
Norway,Blue mussel,,,Blue mussel,,c_sp,actuals,Norway_Blue mussel,Norway_Blue mussel,0.93,1,
Norway,European flat oyster,,,European flat oyster,,c_sp,actuals,Norway_European flat oyster,Norway_European flat oyster,0.83,1,
Norway,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Norway_Pacific cupped oyster,Norway_Pacific cupped oyster,0.73,0.1,
Pakistan,Marine crustaceans nei,,,Marine crustaceans nei,,c_sp,actuals,Pakistan_Marine crustaceans nei,Pakistan_Marine crustaceans nei,0.3,0.4,
Panama,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Panama_Whiteleg shrimp,Panama_Whiteleg shrimp,0.43,1,
Peru,False abalone,,,False abalone,,c_sp,actuals,Peru_False abalone,Peru_False abalone,0.73,1,
Peru,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,Peru_Gracilaria seaweeds,Peru_Gracilaria seaweeds,0.83,1,
Peru,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Peru_Pacific cupped oyster,Peru_Pacific cupped oyster,0.83,0.1,
Peru,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Peru_Whiteleg shrimp,Peru_Whiteleg shrimp,0.37,1,
Philippines,Banana prawn,,,Banana prawn,,c_sp,actuals,Philippines_Banana prawn,Philippines_Banana prawn,0.2,1,
Philippines,Barramundi,,,Barramundi,,c_sp,actuals,Philippines_Barramundi,Philippines_Barramundi,0.23,1,
Philippines,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,Philippines_Giant tiger prawn,Philippines_Giant tiger prawn,0.1,1,
Philippines,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,Philippines_Gracilaria seaweeds,Philippines_Gracilaria seaweeds,0.83,1,
Philippines,"Groupers, seabasses nei",,,"Groupers, seabasses nei",,c_sp,actuals,"Philippines_Groupers, seabasses nei","Philippines_Groupers, seabasses nei",0.33,0.9,
Philippines,Milkfish,,,Milkfish,,c_sp,actuals,Philippines_Milkfish,Philippines_Milkfish,0.37,1,
Philippines,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,Philippines_Penaeus shrimps nei,Philippines_Penaeus shrimps nei,0.23,0.5,
Poland,Freshwater fishes nei,,,Freshwater fishes nei,,c_sp,actuals,Poland_Freshwater fishes nei,Poland_Freshwater fishes nei,0.53,0.5,
Portugal,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Portugal_Atlantic salmon,Portugal_Atlantic salmon,0.4,0.1,
Portugal,Brill,,,Brill,,c_sp,actuals,Portugal_Brill,Portugal_Brill,0.57,1,
Portugal,Common cuttlefish,,,Common cuttlefish,,c_sp,actuals,Portugal_Common cuttlefish,Portugal_Common cuttlefish,0.6,1,
Portugal,Common edible cockle,,,Common edible cockle,,c_sp,actuals,Portugal_Common edible cockle,Portugal_Common edible cockle,0.73,1,
Portugal,Common sole,,,Common sole,,c_sp,actuals,Portugal_Common sole,Portugal_Common sole,0.53,1,
Portugal,European eel,,,European eel,,c_sp,actuals,Portugal_European eel,Portugal_European eel,0.53,1,
Portugal,European flat oyster,,,European flat oyster,,c_sp,actuals,Portugal_European flat oyster,Portugal_European flat oyster,0.73,1,
Portugal,European seabass,,,European seabass,,c_sp,actuals,Portugal_European seabass,Portugal_European seabass,0.43,1,
Portugal,Flat and cupped oysters nei,,,Flat and cupped oysters nei,,c_sp,actuals,Portugal_Flat and cupped oysters nei,Portugal_Flat and cupped oysters nei,0.83,1,
Portugal,Freshwater fishes nei,,,Freshwater fishes nei,,c_sp,actuals,Portugal_Freshwater fishes nei,Portugal_Freshwater fishes nei,0.5,0.5,
Portugal,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,Portugal_Gilthead seabream,Portugal_Gilthead seabream,0.4,1,
Portugal,Grooved carpet shell,,,Grooved carpet shell,,c_sp,actuals,Portugal_Grooved carpet shell,Portugal_Grooved carpet shell,0.87,1,
Portugal,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,Portugal_Kuruma prawn,Portugal_Kuruma prawn,0.4,0.1,
Portugal,Marine fishes nei,,,Marine fishes nei,,c_sp,actuals,Portugal_Marine fishes nei,Portugal_Marine fishes nei,0.53,0.5,
Portugal,Marine molluscs nei,,,Marine molluscs nei,,c_sp,actuals,Portugal_Marine molluscs nei,Portugal_Marine molluscs nei,0.53,0.5,
Portugal,Mullets nei,,,Mullets nei,,c_sp,actuals,Portugal_Mullets nei,Portugal_Mullets nei,0.53,0.5,
Portugal,Octopuses nei,,,Octopuses nei,,c_sp,actuals,Portugal_Octopuses nei,Portugal_Octopuses nei,0.53,0.5,
Portugal,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Portugal_Pacific cupped oyster,Portugal_Pacific cupped oyster,0.83,0.1,
Portugal,Pullet carpet shell,,,Pullet carpet shell,,c_sp,actuals,Portugal_Pullet carpet shell,Portugal_Pullet carpet shell,0.83,1,
Portugal,Razor clams nei,,,Razor clams nei,,c_sp,actuals,Portugal_Razor clams nei,Portugal_Razor clams nei,0.83,0.5,
Portugal,Sargo breams nei,,,Sargo breams nei,,c_sp,actuals,Portugal_Sargo breams nei,Portugal_Sargo breams nei,0.4,0.6,
Portugal,Sea mussels nei,,,Sea mussels nei,,c_sp,actuals,Portugal_Sea mussels nei,Portugal_Sea mussels nei,0.8,0.5,
Portugal,Turbot,,,Turbot,,c_sp,actuals,Portugal_Turbot,Portugal_Turbot,0.47,1,
"Korea, Republic of",Abalones nei,,,Abalones nei,,c_sp,actuals,"Korea, Republic of_Abalones nei",Republic of Korea_Abalones nei,0.57,1,
"Korea, Republic of",Blood cockle,,,Blood cockle,,c_sp,actuals,"Korea, Republic of_Blood cockle",Republic of Korea_Blood cockle,0.67,1,
"Korea, Republic of",Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,"Korea, Republic of_Flathead grey mullet",Republic of Korea_Flathead grey mullet,0.43,1,
"Korea, Republic of",Groupers nei,,,Groupers nei,,c_sp,actuals,"Korea, Republic of_Groupers nei",Republic of Korea_Groupers nei,0.33,0.9,
"Korea, Republic of",Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,"Korea, Republic of_Kuruma prawn",Republic of Korea_Kuruma prawn,0.5,1,
"Korea, Republic of",Laver (Nori),,,Laver (Nori),,c_sp,actuals,"Korea, Republic of_Laver (Nori)",Republic of Korea_Laver (Nori),0.73,1,
"Korea, Republic of",Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,"Korea, Republic of_Pacific cupped oyster",Republic of Korea_Pacific cupped oyster,0.83,0.1,
Russian Federation,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Russian Federation_Atlantic salmon,Russian Federation_Atlantic salmon,0.43,0.1,
Russian Federation,Brown seaweeds,,,Brown seaweeds,,c_sp,actuals,Russian Federation_Brown seaweeds,Russian Federation_Brown seaweeds,0.93,1,
