"rgn_id","year","lbs_per_mi","rgn_name"
218,2013,131.781945453345,"Canada"
220,2010,9262.72727272727,"Sint Maarten"
220,2011,88.2321176470588,"Sint Maarten"
220,2012,846.176079734219,"Sint Maarten"
220,2013,3446.4,"Sint Maarten"
222,2010,11624.6666666667,"Sweden"
222,2011,1547.507375,"Sweden"
222,2012,18.0973170611196,"Sweden"
222,2013,367.048710601719,"Sweden"
223,2011,597.125945945946,"Norway"
224,2010,9046.3963963964,"Chile"
224,2011,842.3328,"Chile"
224,2012,1735.00374031526,"Chile"
224,2013,2643.8752293578,"Chile"
231,2010,3856.15384615385,"East Timor"
244,2012,461.6,"Curacao"
247,2012,403.584677419355,"Brunei"
247,2013,862.861111111111,"Brunei"
248,2013,1450,"Saba"
250,2012,0.78862660944206,"Aruba"
255,2012,533.8,"Azerbaijan"
