"type","sp_id","year","score","ccamlr_area"
"cp",258410,1995,1,7937.65663524
"cp",258410,1987,1,7937.65663524
"cp",258410,1976,1,7937.65663524
"cp",258410,1989,1,7937.65663524
"cp",258420,1998,1,5561.65492845
"cp",258420,2002,1,5561.65492845
"cp",258420,1981,1,5561.65492845
"cp",258420,2001,1,5561.65492845
"cp",258420,2011,1,5561.65492845
"cp",258420,1978,1,5561.65492845
"cp",258420,2009,1,5561.65492845
"cp",258420,1985,1,5561.65492845
"cp",258420,2003,1,5561.65492845
"cp",258420,1986,1,5561.65492845
"cp",258420,1984,1,5561.65492845
"cp",258420,2005,1,5561.65492845
"cp",258420,1982,1,5561.65492845
"cp",258420,2006,1,5561.65492845
"cp",258420,2004,1,5561.65492845
"cp",258420,1999,1,5561.65492845
"cp",258420,1992,1,5561.65492845
"cp",258420,1983,1,5561.65492845
"cp",258420,2007,1,5561.65492845
"cp",258420,2012,1,5561.65492845
"cp",258420,1976,1,5561.65492845
"cp",258420,2010,1,5561.65492845
"cp",258420,1993,1,5561.65492845
"cp",258420,1975,1,5561.65492845
"cp",258420,1979,1,5561.65492845
"cp",258420,1977,1,5561.65492845
"cp",258420,1980,1,5561.65492845
"cp",258420,1997,1,5561.65492845
"cp",258420,1987,1,5561.65492845
"cp",258420,2000,1,5561.65492845
"cp",258420,1988,1,5561.65492845
"cp",258420,1991,1,5561.65492845
"cp",258420,1990,1,5561.65492845
"cp",258420,2008,1,5561.65492845
"cp",258420,1996,1,5561.65492845
"cp",258420,1994,1,5561.65492845
"cp",258420,1989,1,5561.65492845
"cp",258420,1995,1,5561.65492845
"cp",258431,1981,1,0
"cp",258431,1975,1,0
"cp",258431,1982,1,0
"cp",258431,1976,1,0
"cp",258431,1983,1,0
"cp",258431,1977,1,0
"cp",258431,1984,1,0
"cp",258431,1978,1,0
"cp",258431,1985,1,0
"cp",258431,1979,1,0
"cp",258431,1986,1,0
"cp",258431,1980,1,0
"cp",258431,1987,1,0
"cp",258431,1994,1,0
"cp",258431,1988,1,0
"cp",258431,2001,1,0
"cp",258431,1995,1,0
"cp",258431,1989,1,0
"cp",258431,2002,1,0
"cp",258431,1996,1,0
"cp",258431,1990,1,0
"cp",258431,2003,1,0
"cp",258431,1997,1,0
"cp",258431,1991,1,0
"cp",258431,2004,1,0
"cp",258431,1998,1,0
"cp",258431,1992,1,0
"cp",258431,2005,1,0
"cp",258431,1999,1,0
"cp",258431,1993,1,0
"cp",258431,2006,1,0
"cp",258431,2000,1,0
"cp",258431,2009,1,0
"cp",258431,2007,1,0
"cp",258431,2010,1,0
"cp",258431,2008,1,0
"cp",258431,2011,1,0
"cp",258431,2012,1,0
"cp",258432,1975,1,0
"cp",258432,1976,1,0
"cp",258432,1977,1,0
"cp",258432,1978,1,0
"cp",258432,1979,1,0
"cp",258432,1980,1,0
"cp",258432,1981,1,0
"cp",258432,1982,1,0
"cp",258432,1983,1,0
"cp",258432,1984,1,0
"cp",258432,1985,1,0
"cp",258432,1986,1,0
"cp",258432,1987,1,0
"cp",258432,2000,1,0
"cp",258432,1994,1,0
"cp",258432,1988,1,0
"cp",258432,2003,1,0
"cp",258432,2001,1,0
"cp",258432,1995,1,0
"cp",258432,1989,1,0
"cp",258432,2004,1,0
"cp",258432,2002,1,0
"cp",258432,1996,1,0
"cp",258432,1992,1,0
"cp",258432,1990,1,0
"cp",258432,2005,1,0
"cp",258432,1997,1,0
"cp",258432,1993,1,0
"cp",258432,1991,1,0
"cp",258432,2006,1,0
"cp",258432,1998,1,0
"cp",258432,2007,1,0
"cp",258432,2008,1,0
"cp",258432,1999,1,0
"cp",258432,2011,1,0
"cp",258432,2009,1,0
"cp",258432,2010,1,0
"cp",258432,2012,1,0
"cp",258441,1975,1,0
"cp",258441,1976,1,0
"cp",258441,1977,1,0
"cp",258441,1978,1,0
"cp",258441,1979,1,0
"cp",258441,1980,1,0
"cp",258441,1981,1,0
"cp",258441,1982,1,0
"cp",258441,1983,1,0
"cp",258441,1984,1,0
"cp",258441,1985,1,0
"cp",258441,1986,1,0
"cp",258441,1987,1,0
"cp",258441,1988,1,0
"cp",258441,1989,1,0
"cp",258441,1990,1,0
"cp",258441,1991,1,0
"cp",258441,2000,1,0
"cp",258441,2005,1,0
"cp",258441,2003,1,0
"cp",258441,2001,1,0
"cp",258441,1994,1,0
"cp",258441,1992,1,0
"cp",258441,1993,1,0
"cp",258441,2006,1,0
"cp",258441,2004,1,0
"cp",258441,2002,1,0
"cp",258441,1995,1,0
"cp",258441,1998,1,0
"cp",258441,1996,1,0
"cp",258441,2007,1,0
"cp",258441,1999,1,0
"cp",258441,2008,1,0
"cp",258441,2009,1,0
"cp",258441,1997,1,0
"cp",258441,2012,1,0
"cp",258441,2010,1,0
"cp",258441,2011,1,0
"cp",258442,1981,1,0
"cp",258442,1975,1,0
"cp",258442,1988,1,0
"cp",258442,1982,1,0
"cp",258442,1976,1,0
"cp",258442,1989,1,0
"cp",258442,1983,1,0
"cp",258442,1977,1,0
"cp",258442,1990,1,0
"cp",258442,1984,1,0
"cp",258442,1978,1,0
"cp",258442,1991,1,0
"cp",258442,1985,1,0
"cp",258442,1979,1,0
"cp",258442,1992,1,0
"cp",258442,1986,1,0
"cp",258442,1980,1,0
"cp",258442,1993,1,0
"cp",258442,1987,1,0
"cp",258442,1994,1,0
"cp",258442,1995,1,0
"cp",258442,1996,1,0
"cp",258442,1997,1,0
"cp",258442,1998,1,0
"cp",258442,1999,1,0
"cp",258442,2000,1,0
"cp",258442,2001,1,0
"cp",258442,2002,1,0
"cp",258442,2005,1,0
"cp",258442,2003,1,0
"cp",258442,2006,1,0
"cp",258442,2004,1,0
"cp",258442,2007,1,0
"cp",258442,2008,1,0
"cp",258442,2009,1,0
"cp",258442,2010,1,0
"cp",258442,2011,1,0
"cp",258442,2012,1,0
"cp",258510,1981,1,0
"cp",258510,1975,1,0
"cp",258510,1988,1,0
"cp",258510,1982,1,0
"cp",258510,1976,1,0
"cp",258510,1989,1,0
"cp",258510,1983,1,0
"cp",258510,1977,1,0
"cp",258510,1990,1,0
"cp",258510,1984,1,0
"cp",258510,1978,1,0
"cp",258510,1991,1,0
"cp",258510,1985,1,0
"cp",258510,1979,1,0
"cp",258510,1992,1,0
"cp",258510,1986,1,0
"cp",258510,1980,1,0
"cp",258510,1993,1,0
"cp",258510,1987,1,0
"cp",258510,1994,1,0
"cp",258510,1995,1,0
"cp",258510,1996,1,0
"cp",258510,1997,1,0
"cp",258510,1998,1,0
"cp",258510,1999,1,0
"cp",258510,2000,1,0
"cp",258510,2001,1,0
"cp",258510,2002,1,0
"cp",258510,2003,1,0
"cp",258510,2004,1,0
"cp",258510,2007,1,0
"cp",258510,2005,1,0
"cp",258510,2008,1,0
"cp",258510,2006,1,0
"cp",258510,2011,1,0
"cp",258510,2009,1,0
"cp",258510,2010,1,0
"cp",258510,2012,1,0
"cp",258520,1981,1,0
"cp",258520,1975,1,0
"cp",258520,1988,1,0
"cp",258520,1982,1,0
"cp",258520,1976,1,0
"cp",258520,1989,1,0
"cp",258520,1983,1,0
"cp",258520,1977,1,0
"cp",258520,1990,1,0
"cp",258520,1984,1,0
"cp",258520,1978,1,0
"cp",258520,1991,1,0
"cp",258520,1985,1,0
"cp",258520,1979,1,0
"cp",258520,1992,1,0
"cp",258520,1986,1,0
"cp",258520,1980,1,0
"cp",258520,1993,1,0
"cp",258520,1987,1,0
"cp",258520,2000,1,0
"cp",258520,1994,1,0
"cp",258520,2007,1,0
"cp",258520,2001,1,0
"cp",258520,1995,1,0
"cp",258520,2008,1,0
"cp",258520,2002,1,0
"cp",258520,1996,1,0
"cp",258520,2009,1,0
"cp",258520,2003,1,0
"cp",258520,1997,1,0
"cp",258520,2010,1,0
"cp",258520,2004,1,0
"cp",258520,1998,1,0
"cp",258520,2011,1,0
"cp",258520,2005,1,0
"cp",258520,1999,1,0
"cp",258520,2012,1,0
"cp",258520,2006,1,0
"cp",258600,1987,1,0
"cp",258600,1981,1,0
"cp",258600,1975,1,0
"cp",258600,1988,1,0
"cp",258600,1982,1,0
"cp",258600,1976,1,0
"cp",258600,1989,1,0
"cp",258600,1983,1,0
"cp",258600,1977,1,0
"cp",258600,1990,1,0
"cp",258600,1984,1,0
"cp",258600,1978,1,0
"cp",258600,1991,1,0
"cp",258600,1985,1,0
"cp",258600,1979,1,0
"cp",258600,1992,1,0
"cp",258600,1986,1,0
"cp",258600,1980,1,0
"cp",258600,1993,1,0
"cp",258600,2000,1,0
"cp",258600,1994,1,0
"cp",258600,2007,1,0
"cp",258600,2001,1,0
"cp",258600,1995,1,0
"cp",258600,2008,1,0
"cp",258600,2002,1,0
"cp",258600,1996,1,0
"cp",258600,2009,1,0
"cp",258600,2003,1,0
"cp",258600,1997,1,0
"cp",258600,2010,1,0
"cp",258600,2004,1,0
"cp",258600,1998,1,0
"cp",258600,2011,1,0
"cp",258600,2005,1,0
"cp",258600,1999,1,0
"cp",258600,2012,1,0
"cp",258600,2006,1,0
"cp",258700,1975,1,0
"cp",258700,1976,1,0
"cp",258700,1977,1,0
"cp",258700,1978,1,0
"cp",258700,1979,1,0
"cp",258700,1980,1,0
"cp",258700,1987,1,0
"cp",258700,1981,1,0
"cp",258700,1988,1,0
"cp",258700,1982,1,0
"cp",258700,1989,1,0
"cp",258700,1983,1,0
"cp",258700,1990,1,0
"cp",258700,1984,1,0
"cp",258700,1991,1,0
"cp",258700,1985,1,0
"cp",258700,1992,1,0
"cp",258700,1986,1,0
"cp",258700,1993,1,0
"cp",258700,2002,1,0
"cp",258700,2000,1,0
"cp",258700,1994,1,0
"cp",258700,2009,1,0
"cp",258700,2007,1,0
"cp",258700,2003,1,0
"cp",258700,2001,1,0
"cp",258700,1995,1,0
"cp",258700,2010,1,0
"cp",258700,2008,1,0
"cp",258700,2004,1,0
"cp",258700,1998,1,0
"cp",258700,1996,1,0
"cp",258700,2011,1,0
"cp",258700,2005,1,0
"cp",258700,1999,1,0
"cp",258700,1997,1,0
"cp",258700,2012,1,0
"cp",258700,2006,1,0
"cp",288100,1975,1,6340.18413736
"cp",288100,2006,1,6340.18413736
"cp",288100,1987,1,6340.18413736
"cp",288100,1976,1,6340.18413736
"cp",288100,1990,1,6340.18413736
"cp",288100,1985,1,6340.18413736
"cp",288100,1991,1,6340.18413736
"cp",288100,1983,1,6340.18413736
"cp",288100,2000,1,6340.18413736
"cp",288100,1993,1,6340.18413736
"cp",288100,1977,1,6340.18413736
"cp",288100,1986,1,6340.18413736
"cp",288100,1992,1,6340.18413736
"cp",288100,1989,1,6340.18413736
"cp",288100,2009,1,6340.18413736
"cp",288100,1994,1,6340.18413736
"cp",288100,2007,1,6340.18413736
"cp",288100,1988,1,6340.18413736
"cp",288100,1981,1,6340.18413736
"cp",288100,2010,1,6340.18413736
"cp",288100,2005,1,6340.18413736
"cp",288100,1979,1,6340.18413736
