saup_rgn,ohi_rgn,percent_saup,complication
768,98,1,NA
772,156,1,NA
776,155,1,NA
780,126,1,NA
784,54,1,combine SAUP catch per OHI region
788,61,1,NA
793,76,1,combine SAUP catch per OHI region
794,76,1,combine SAUP catch per OHI region
796,111,1,NA
798,19,1,NA
804,75,1,NA
826,180,1,NA
830,227,0.251798561,split SAUP catch among OHI regions
830,228,0.742655875,split SAUP catch among OHI regions
834,202,1,NA
842,163,1,combine SAUP catch per OHI region
844,150,1,NA
845,149,1,NA
846,158,1,NA
848,163,1,combine SAUP catch per OHI region
850,116,1,combine SAUP catch per OHI region
851,163,1,combine SAUP catch per OHI region
852,163,1,combine SAUP catch per OHI region
855,85,1,NA
856,88,1,NA
858,173,1,NA
862,139,1,NA
872,12,1,NA
876,161,1,NA
882,152,1,NA
891,186,1,NA
895,92,1,NA
896,91,1,NA
897,93,1,NA
898,107,1,NA
899,179,1,combine SAUP catch per OHI region
900,80,1,combine SAUP catch per OHI region
901,184,1,combine SAUP catch per OHI region
902,184,1,combine SAUP catch per OHI region
903,182,1,combine SAUP catch per OHI region
904,221,1,combine SAUP catch per OHI region
905,221,1,combine SAUP catch per OHI region
906,244,1,NA
907,245,1,NA
908,248,0.807692308,split SAUP catch among OHI regions
908,249,0.184615385,split SAUP catch among OHI regions
909,220,1,NA
911,48,1,combine SAUP catch per OHI region
912,73,1,combine SAUP catch per OHI region
913,73,1,combine SAUP catch per OHI region
914,222,1,combine SAUP catch per OHI region
915,222,1,combine SAUP catch per OHI region
916,47,1,combine SAUP catch per OHI region
917,47,1,combine SAUP catch per OHI region
918,179,0.993551271,split and then combine SAUP catch per OHI region
918,185,0.006448729,split SAUP catch among OHI regions
919,179,1,combine SAUP catch per OHI region
920,133,1,combine SAUP catch per OHI region
921,133,1,combine SAUP catch per OHI region
922,191,1,combine SAUP catch per OHI region
923,191,1,combine SAUP catch per OHI region
924,218,1,combine SAUP catch per OHI region
925,218,1,combine SAUP catch per OHI region
926,218,1,combine SAUP catch per OHI region
927,132,1,combine SAUP catch per OHI region
928,132,1,combine SAUP catch per OHI region
929,130,1,combine SAUP catch per OHI region
930,130,1,combine SAUP catch per OHI region
931,175,1,combine SAUP catch per OHI region
932,175,1,combine SAUP catch per OHI region
933,214,1,combine SAUP catch per OHI region
934,214,1,combine SAUP catch per OHI region
935,136,1,combine SAUP catch per OHI region
936,136,1,combine SAUP catch per OHI region
937,216,1,combine SAUP catch per OHI region
938,216,1,combine SAUP catch per OHI region
939,79,1,combine SAUP catch per OHI region
940,79,1,combine SAUP catch per OHI region
941,212,1,NA
942,148,1,NA
943,157,1,NA
944,135,1,combine SAUP catch per OHI region
945,135,1,combine SAUP catch per OHI region
946,62,1,combine SAUP catch per OHI region
947,62,1,combine SAUP catch per OHI region
948,63,1,NA
949,131,1,combine SAUP catch per OHI region
950,131,1,combine SAUP catch per OHI region
951,129,1,combine SAUP catch per OHI region
952,129,1,combine SAUP catch per OHI region
953,102,1,combine SAUP catch per OHI region
954,102,1,combine SAUP catch per OHI region
956,25,1,combine SAUP catch per OHI region
957,25,1,combine SAUP catch per OHI region
958,163,1,combine SAUP catch per OHI region
959,163,1,combine SAUP catch per OHI region
962,60,0.004205981,split SAUP catch among OHI regions
962,182,0.995794019,split and then combine SAUP catch per OHI region
963,182,1,combine SAUP catch per OHI region
966,76,1,combine SAUP catch per OHI region
967,250,1,NA
968,54,1,combine SAUP catch per OHI region
969,171,1,combine SAUP catch per OHI region
970,171,1,combine SAUP catch per OHI region
971,210,1,combine SAUP catch per OHI region
972,30,1,NA
