saup_id,saup_name,fao_rgn,prop_area
368,Iraq,51,1
372,Ireland,27,1
380,Italy (mainland),37,1
384,Côte d'Ivoire,34,1
388,Jamaica,31,1
390,Japan (main islands),61,1
393,Japan (Daito Islands),71,0.22226668
393,Japan (Daito Islands),61,0.77773332
396,Johnston Atoll (USA),77,1
400,Jordan,51,1
404,Kenya,51,1
408,Korea (North),61,1
410,Korea (South),61,1
414,Kuwait,51,1
422,Lebanon,37,1
428,Latvia,27,1
430,Liberia,34,1
434,Libya,37,1
440,Lithuania,27,1
450,Madagascar,51,1
459,Malaysia (Peninsula West),71,0.10048233
459,Malaysia (Peninsula West),57,0.89951767
460,Malaysia (Peninsula East),71,1
461,Malaysia (Sabah),71,1
462,Maldives,51,1
463,Malaysia (Sarawak),71,1
470,Malta,37,1
474,Martinique (France),31,1
478,Mauritania,34,1
480,Mauritius,51,1
488,Hawaii Northwest Islands (USA),77,0.726042709
488,Hawaii Northwest Islands (USA),61,0.273957291
500,Montserrat (UK),31,1
508,Mozambique,51,1
512,Oman,51,1
516,Namibia,47,1
520,Nauru,71,1
528,Netherlands,27,1
540,New Caledonia (France),71,0.895795496
540,New Caledonia (France),81,0.104204504
548,Vanuatu,71,0.970033676
548,Vanuatu,81,0.029966324
554,New Zealand,81,1
555,Kermadec Isl. (New Zealand),81,1
566,Nigeria,34,1
570,Niue (New Zealand),77,1
574,Norfolk Isl. (Australia),81,1
578,Norway,27,1
579,Jan Mayen Isl. (Norway),27,1
580,Northern Marianas (USA),71,0.68720611
580,Northern Marianas (USA),61,0.31279389
583,Micronesia (Federated States of),71,1
584,Marshall Isl.,71,1
585,Palau,71,1
586,Pakistan,51,1
598,Papua New Guinea,71,1
604,Peru,87,1
608,Philippines,71,0.958684095
608,Philippines,61,0.041315905
612,Pitcairn (UK),81,0.443219625
612,Pitcairn (UK),77,0.556780375
616,Poland,27,1
620,Portugal (mainland),34,0.139926979
620,Portugal (mainland),27,0.860073021
621,Madeira Isl. (Portugal),34,0.965931246
621,Madeira Isl. (Portugal),27,0.034068754
622,Azores Isl. (Portugal),34,0.161843851
622,Azores Isl. (Portugal),27,0.838156149
624,Guinea-Bissau,34,1
626,Timor Leste,57,1
630,Puerto Rico (USA),31,1
634,Qatar,51,1
638,Réunion (France),51,1
642,Romania,37,1
645,Russia (Barents Sea),27,1
647,Russia (Black Sea),37,1
648,Russia (Baltic Sea),27,1
649,Russia (Far East),61,1
654,Saint Helena (UK),47,1
659,Saint Kitts & Nevis,31,1
660,Anguilla (UK),31,1
662,Saint Lucia,31,1
666,Saint Pierre & Miquelon (France),21,1
670,Saint Vincent & the Grenadines,31,1
678,Sao Tome & Principe,34,1
683,Saudi Arabia (Red Sea),51,1
684,Saudi Arabia (Persian Gulf),51,1
686,Senegal,34,1
690,Seychelles,51,1
694,Sierra Leone,34,1
702,Singapore,71,1
704,Viet Nam,71,0.760471596
704,Viet Nam,61,0.239528404
705,Slovenia,37,1
706,Somalia,51,1
711,Prince Edward Isl. (South Africa),51,0.183977842
711,Prince Edward Isl. (South Africa),58,0.816022158
723,Canary Isl. (Spain),34,1
736,Sudan,51,1
740,Suriname,31,1
744,Svalbard Isl. (Norway),27,1
760,Syria,37,1
768,Togo,34,1
772,Tokelau (New Zealand),71,0.075224924
772,Tokelau (New Zealand),77,0.924775076
776,Tonga,71,0.423361884
776,Tonga,81,0.034344365
776,Tonga,77,0.542293751
780,Trinidad & Tobago,31,1
784,United Arab Emirates,51,1
788,Tunisia,37,1
793,Turkey (Mediterranean Sea),37,1
794,Turkey (Black Sea),37,1
796,Turks & Caicos Isl. (UK),31,1
798,Tuvalu,71,1
804,Ukraine,37,1
826,United Kingdom (UK),27,1
830,Channel Isl. (UK),27,1
834,Tanzania,51,1
842,Hawaii Main Islands (USA),77,1
844,Palmyra Atoll & Kingman Reef (USA),77,1
845,Jarvis Isl. (USA),77,1
846,Howland & Baker Isl. (USA),71,0.813593568
846,Howland & Baker Isl. (USA),77,0.186406432
848,USA (West Coast),67,0.409205531
848,USA (West Coast),77,0.590794469
850,US Virgin Isl.,31,1
851,USA (East Coast),31,0.449935417
851,USA (East Coast),21,0.550064583
852,USA (Gulf of Mexico),31,1
855,Ascension Isl. (UK),47,0.846217987
855,Ascension Isl. (UK),34,0.153782013
856,Tristan da Cunha Isl. (UK),47,1
858,Uruguay,41,1
862,Venezuela,31,1
872,Wake Isl. (USA),71,0.60741467
872,Wake Isl. (USA),61,0.39258533
876,Wallis & Futuna Isl. (France),71,0.900623452
876,Wallis & Futuna Isl. (France),77,0.099376548
882,Samoa,77,1
891,Montenegro,37,1
895,St Paul & Amsterdam Isl. (France),51,0.836987489
895,St Paul & Amsterdam Isl. (France),57,0.163012511
896,Crozet Isl. (France),51,0.272087557
896,Crozet Isl. (France),58,0.727912443
897,Kerguelen Isl. (France),58,1
898,Clipperton Isl.  (France),77,1
899,Corsica (France),37,1
900,Crete (Greece),37,1
901,Sicily (Italy),37,1
902,Sardinia (Italy),37,1
903,Balearic Island (Spain),37,1
904,St Barthelemy (France),31,1
905,St Martin (France),31,1
906,Curacao (Netherlands),31,1
907,Bonaire (Netherlands),31,1
908,Saba and Sint Eustaius (Netherlands),31,1
909,Sint Maarten (Netherlands),31,1
910,South Orkney Islands (UK),41,0.02498689
910,South Orkney Islands (UK),48,0.97501311
911,Oman (Musandam),51,1
912,Russia (Kara Sea),18,1
913,Russia (Laptev to Chukchi Sea),18,1
914,Sweden (Baltic),27,1
915,Sweden (West Coast),27,1
916,Yemen (Red Sea),51,1
917,Yemen (Arabian Sea),51,1
918,France (Mediterranean),37,1
919,France (Atlantic Coast),27,1
920,Honduras (Pacific),77,1
921,Honduras (Caribbean),31,1
922,Iran (Persian Gulf),51,1
923,Iran (Sea of Oman),51,1
924,Canada (Arctic),18,1
925,Canada (Pacific),67,1
926,Canada (East Coast),21,1
927,Colombia (Caribbean),31,1
928,Colombia (Pacific),87,1
929,Costa Rica (Caribbean),31,1
930,Costa Rica (Pacific),77,0.713125641
930,Costa Rica (Pacific),87,0.286874359
931,Denmark (Baltic Sea),27,1
932,Denmark (North Sea),27,1
933,Egypt (Mediterranean),37,1
934,Egypt (Red Sea),51,1
935,Guatemala (Caribbean),31,1
936,Guatemala (Pacific),77,1
937,Indonesia (Central),71,1
938,Indonesia (Indian Ocean),71,0.015068153
938,Indonesia (Indian Ocean),57,0.984931847
939,Israel (Mediterranean),37,1
940,Israel (Red Sea),51,1
941,Kiribati (Gilbert Islands),71,1
942,Kiribati (Line Islands),77,1
943,Kiribati (Phoenix Islands),71,0.220398017
943,Kiribati (Phoenix Islands),77,0.779601983
944,Mexico (Atlantic),31,1
945,Mexico (Pacific),77,1
946,Morocco (Central),34,1
947,Morocco (Mediterranean),37,1
948,Morocco (South),34,1
949,Nicaragua (Caribbean),31,1
950,Nicaragua (Pacific),77,1
951,Panama (Caribbean),31,1
952,Panama (Pacific),77,1
953,South Africa (Atlantic Coast),47,1
954,South Africa (Indian Ocean Coast),51,0.447622215
954,South Africa (Indian Ocean Coast),47,0.552377785
956,Thailand (Andaman Sea),57,1
957,Thailand (Gulf of Thailand),71,1
958,"USA (Alaska, Arctic)",18,1
959,"USA (Alaska, Subarctic)",67,0.861832329
959,"USA (Alaska, Subarctic)",61,0.138167671
962,"Spain (mainland, Med and Gulf of Cadiz)",34,0.014816465
962,"Spain (mainland, Med and Gulf of Cadiz)",27,0.084911992
962,"Spain (mainland, Med and Gulf of Cadiz)",37,0.900271544
963,Spain (Northwest),27,1
966,Turkey (Marmara Sea),37,1
967,Aruba (Netherlands),31,1
968,United Arab Emirates (Fujairah),51,1
969,Fernando de Noronha (Brazil),41,1
970,St Paul and St. Peter Archipelago (Brazil),41,0.567997422
970,St Paul and St. Peter Archipelago (Brazil),34,0.432002578
971,Japan (Ogasawara Islands),61,1
972,Glorieuse Islands (France),51,1
