"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","model"
"50","Chloroscombrus_chrysurus-31","Atlantic bumper",NA,NA,NA,NA,NA,"COM-SIR"
"51","Chloroscombrus_chrysurus-34","Atlantic bumper",NA,NA,NA,NA,NA,"COM-SIR"
"52","Chloroscombrus_chrysurus-41","Atlantic bumper",NA,NA,NA,NA,NA,"COM-SIR"
"53","Clupea_bentincki-87","Araucanian herring",NA,NA,NA,NA,NA,"COM-SIR"
"54","Clupea_harengus-18","Atlantic herring",NA,NA,NA,NA,NA,"COM-SIR"
"55","Clupea_harengus-21","Atlantic herring",NA,NA,NA,NA,NA,"COM-SIR"
"56","Clupea_harengus-27","Atlantic herring",NA,NA,NA,NA,NA,"COM-SIR"
"57","Clupea_harengus-31","Atlantic herring",NA,NA,NA,NA,NA,"COM-SIR"
"58","Conodon_nobilis-41","Barred grunt",NA,NA,NA,NA,NA,"COM-SIR"
"59","Coregonus_autumnalis-18","Arctic cisco",NA,NA,NA,NA,NA,"COM-SIR"
"60","Cynoscion_acoupa-41","Acoupa weakfish",NA,NA,NA,NA,NA,"COM-SIR"
"61","Diplodus_annularis-37","Annular seabream",NA,NA,NA,NA,NA,"COM-SIR"
"62","Engraulis_anchoita-41","Argentine anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"63","Engraulis_ringens-41","Anchoveta",NA,NA,NA,NA,NA,"COM-SIR"
"64","Engraulis_ringens-87","Anchoveta",NA,NA,NA,NA,NA,"COM-SIR"
"65","Epigonus_telescopus-81","Black cardinal fish",NA,NA,NA,NA,NA,"COM-SIR"
"66","Epinephelus_areolatus-51","Areolate grouper",NA,NA,NA,NA,NA,"COM-SIR"
"67","Gadus_morhua-18","Atlantic cod",NA,NA,NA,NA,NA,"COM-SIR"
"68","Gadus_morhua-21","Atlantic cod",NA,NA,NA,NA,NA,"COM-SIR"
"69","Gadus_morhua-27","Atlantic cod",NA,NA,NA,NA,NA,"COM-SIR"
"70","Gadus_morhua-31","Atlantic cod",NA,NA,NA,NA,NA,"COM-SIR"
"71","Genypterus_maculatus-87","Black cuskeel",NA,NA,NA,NA,NA,"COM-SIR"
"72","Hippoglossoides_platessoides-18","American plaice",NA,NA,NA,NA,NA,"COM-SIR"
"73","Hippoglossoides_platessoides-21","American plaice",NA,NA,NA,NA,NA,"COM-SIR"
"74","Hippoglossoides_platessoides-27","American plaice",NA,NA,NA,NA,NA,"COM-SIR"
"75","Hippoglossoides_platessoides-31","American plaice",NA,NA,NA,NA,NA,"COM-SIR"
"76","Hippoglossus_hippoglossus-21","Atlantic halibut",NA,NA,NA,NA,NA,"COM-SIR"
"77","Hippoglossus_hippoglossus-27","Atlantic halibut",NA,NA,NA,NA,NA,"COM-SIR"
"78","Hyperoglyphe_antarctica-81","Bluenose warehou",NA,NA,NA,NA,NA,"COM-SIR"
"79","Isopisthus_parvipinnis-41","Bigtooth corvina",NA,NA,NA,NA,NA,"COM-SIR"
"80","Istiompax_indica-51","Black marlin",NA,NA,NA,NA,NA,"COM-SIR"
"81","Istiompax_indica-57","Black marlin",NA,NA,NA,NA,NA,"COM-SIR"
"82","Istiompax_indica-61","Black marlin",NA,NA,NA,NA,NA,"COM-SIR"
"83","Istiompax_indica-71","Black marlin",NA,NA,NA,NA,NA,"COM-SIR"
"84","Istiophorus_albicans-34","Atlantic sailfish",NA,NA,NA,NA,NA,"COM-SIR"
"85","Lates_calcarifer-51","Barramundi",NA,NA,NA,NA,NA,"COM-SIR"
"86","Lates_calcarifer-57","Barramundi",NA,NA,NA,NA,NA,"COM-SIR"
"87","Lates_calcarifer-71","Barramundi",NA,NA,NA,NA,NA,"COM-SIR"
"88","Lophius_americanus-21","American angler",NA,NA,NA,NA,NA,"COM-SIR"
"89","Lophius_americanus-31","American angler",NA,NA,NA,NA,NA,"COM-SIR"
"90","Lophius_piscatorius-27","Angler",NA,NA,NA,NA,NA,"COM-SIR"
"91","Lophius_piscatorius-37","Angler",NA,NA,NA,NA,NA,"COM-SIR"
"92","Macruronus_novaezelandiae-57","Blue grenadier",NA,NA,NA,NA,NA,"COM-SIR"
"93","Macruronus_novaezelandiae-81","Blue grenadier",NA,NA,NA,NA,NA,"COM-SIR"
"94","Makaira_nigricans-31","Blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"95","Makaira_nigricans-34","Blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"96","Makaira_nigricans-41","Blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"97","Merluccius_hubbsi-41","Argentine hake",NA,NA,NA,NA,NA,"COM-SIR"
"98","Merluccius_polli-47","Benguela hake",NA,NA,NA,NA,NA,"COM-SIR"
"99","Micropogonias_undulatus-21","Atlantic croaker",NA,NA,NA,NA,NA,"COM-SIR"
"100","Micropogonias_undulatus-31","Atlantic croaker",NA,NA,NA,NA,NA,"COM-SIR"
"101","Molva_dypterygia-27","Blue ling",NA,NA,NA,NA,NA,"COM-SIR"
"102","Nematalosa_nasus-51","Blochs gizzard shad",NA,NA,NA,NA,NA,"COM-SIR"
"103","Opisthonema_oglinum-21","Atlantic thread herring",NA,NA,NA,NA,NA,"COM-SIR"
"104","Opisthonema_oglinum-31","Atlantic thread herring",NA,NA,NA,NA,NA,"COM-SIR"
"105","Opisthonema_oglinum-41","Atlantic thread herring",NA,NA,NA,NA,NA,"COM-SIR"
"106","Pagellus_acarne-37","Axillary seabream",NA,NA,NA,NA,NA,"COM-SIR"
"107","Pagellus_bogaraveo-27","Blackspot seabream",NA,NA,NA,NA,NA,"COM-SIR"
"108","Pagellus_bogaraveo-37","Blackspot seabream",NA,NA,NA,NA,NA,"COM-SIR"
"109","Paralichthys_olivaceus-61","Bastard halibut",NA,NA,NA,NA,NA,"COM-SIR"
"110","Paralichthys_olivaceus-71","Bastard halibut",NA,NA,NA,NA,NA,"COM-SIR"
"111","Paralonchurus_brasiliensis-41","Banded croaker",NA,NA,NA,NA,NA,"COM-SIR"
"112","Parastromateus_niger-51","Black pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"113","Parastromateus_niger-57","Black pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"114","Parastromateus_niger-61","Black pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"115","Parastromateus_niger-71","Black pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"116","Pellona_harroweri-41","American coastal pellona",NA,NA,NA,NA,NA,"COM-SIR"
"117","Peprilus_triacanthus-21","Atlantic butterfish",NA,NA,NA,NA,NA,"COM-SIR"
"118","Peprilus_triacanthus-31","Atlantic butterfish",NA,NA,NA,NA,NA,"COM-SIR"
"119","Platycephalus_indicus-51","Bartail flathead",NA,NA,NA,NA,NA,"COM-SIR"
"120","Platycephalus_indicus-57","Bartail flathead",NA,NA,NA,NA,NA,"COM-SIR"
"121","Platycephalus_indicus-61","Bartail flathead",NA,NA,NA,NA,NA,"COM-SIR"
"122","Platycephalus_indicus-71","Bartail flathead",NA,NA,NA,NA,NA,"COM-SIR"
"123","Pleurogrammus_monopterygius-61","Atka mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"124","Pleurogrammus_monopterygius-67","Atka mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"125","Pogonias_cromis-31","Black drum",NA,NA,NA,NA,NA,"COM-SIR"
"126","Pogonias_cromis-41","Black drum",NA,NA,NA,NA,NA,"COM-SIR"
"127","Pomatomus_saltatrix-21","Bluefish",NA,NA,NA,NA,NA,"COM-SIR"
"128","Pomatomus_saltatrix-31","Bluefish",NA,NA,NA,NA,NA,"COM-SIR"
"129","Pomatomus_saltatrix-34","Bluefish",NA,NA,NA,NA,NA,"COM-SIR"
"130","Pomatomus_saltatrix-37","Bluefish",NA,NA,NA,NA,NA,"COM-SIR"
"131","Pomatomus_saltatrix-41","Bluefish",NA,NA,NA,NA,NA,"COM-SIR"
"132","Pomatomus_saltatrix-47","Bluefish",NA,NA,NA,NA,NA,"COM-SIR"
"133","Prionace_glauca-21","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"134","Prionace_glauca-27","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"135","Prionace_glauca-34","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"136","Prionace_glauca-37","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"137","Prionace_glauca-41","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"138","Prionace_glauca-47","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"139","Prionace_glauca-51","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"140","Prionace_glauca-57","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"141","Prionace_glauca-71","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"142","Pseudopercis_semifasciata-41","Argentinian sandperch",NA,NA,NA,NA,NA,"COM-SIR"
"143","Rhizoprionodon_terraenovae-31","Atlantic sharpnose shark",NA,NA,NA,NA,NA,"COM-SIR"
"144","Salmo_salar-21","Atlantic salmon",NA,NA,NA,NA,NA,"COM-SIR"
"145","Salmo_salar-27","Atlantic salmon",NA,NA,NA,NA,NA,"COM-SIR"
"146","Salvelinus_alpinus_alpinus-18","Arctic char",NA,NA,NA,NA,NA,"COM-SIR"
"147","Sarda_sarda-27","Atlantic bonito",NA,NA,NA,NA,NA,"COM-SIR"
"148","Sarda_sarda-31","Atlantic bonito",NA,NA,NA,NA,NA,"COM-SIR"
"149","Sarda_sarda-34","Atlantic bonito",NA,NA,NA,NA,NA,"COM-SIR"
"150","Sarda_sarda-37","Atlantic bonito",NA,NA,NA,NA,NA,"COM-SIR"
"151","Sarda_sarda-41","Atlantic bonito",NA,NA,NA,NA,NA,"COM-SIR"
"152","Sarda_sarda-47","Atlantic bonito",NA,NA,NA,NA,NA,"COM-SIR"
"153","Sardinella_lemuru-57","Bali sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"154","Sardinella_lemuru-71","Bali sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"155","Scolopsis_taeniata-51","Blackstreaked monocle bream",NA,NA,NA,NA,NA,"COM-SIR"
"156","Scomber_australasicus-61","Blue mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"157","Scomber_australasicus-71","Blue mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"158","Scomber_australasicus-81","Blue mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"159","Scomber_colias-34","Atlantic chub mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"160","Scomber_colias-37","Atlantic chub mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"161","Scomberomorus_maculatus-21","Atlantic Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"162","Scomberomorus_maculatus-31","Atlantic Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"163","Scomber_scombrus-21","Atlantic mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"164","Scomber_scombrus-27","Atlantic mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"165","Scomber_scombrus-31","Atlantic mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"166","Scomber_scombrus-34","Atlantic mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"167","Scomber_scombrus-37","Atlantic mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"168","Sebastes_mentella-18","Beaked redfish",NA,NA,NA,NA,NA,"COM-SIR"
"169","Sebastes_mentella-21","Beaked redfish",NA,NA,NA,NA,NA,"COM-SIR"
"170","Sebastes_mentella-27","Beaked redfish",NA,NA,NA,NA,NA,"COM-SIR"
"171","Selar_crumenophthalmus-31","Bigeye scad",NA,NA,NA,NA,NA,"COM-SIR"
"172","Selar_crumenophthalmus-34","Bigeye scad",NA,NA,NA,NA,NA,"COM-SIR"
"173","Selar_crumenophthalmus-61","Bigeye scad",NA,NA,NA,NA,NA,"COM-SIR"
"174","Selar_crumenophthalmus-71","Bigeye scad",NA,NA,NA,NA,NA,"COM-SIR"
"175","Selar_crumenophthalmus-77","Bigeye scad",NA,NA,NA,NA,NA,"COM-SIR"
"176","Selene_dorsalis-34","African moonfish",NA,NA,NA,NA,NA,"COM-SIR"
"177","Selene_setapinnis-31","Atlantic moonfish",NA,NA,NA,NA,NA,"COM-SIR"
"178","Selene_setapinnis-41","Atlantic moonfish",NA,NA,NA,NA,NA,"COM-SIR"
"179","Seriolina_nigrofasciata-71","Blackbanded trevally",NA,NA,NA,NA,NA,"COM-SIR"
"180","Spicara_maena-37","Blotched picarel",NA,NA,NA,NA,NA,"COM-SIR"
"181","Spondyliosoma_cantharus-27","Black seabream",NA,NA,NA,NA,NA,"COM-SIR"
"182","Spondyliosoma_cantharus-37","Black seabream",NA,NA,NA,NA,NA,"COM-SIR"
"183","Squatina_argentina-41","Argentine angelshark",NA,NA,NA,NA,NA,"COM-SIR"
"184","Stromateus_fiatola-34","Blue butterfish",NA,NA,NA,NA,NA,"COM-SIR"
"185","Theragra_chalcogramma-61","Alaska pollock",NA,NA,NA,NA,NA,"COM-SIR"
"186","Theragra_chalcogramma-67","Alaska pollock",NA,NA,NA,NA,NA,"COM-SIR"
"187","Theragra_chalcogramma-77","Alaska pollock",NA,NA,NA,NA,NA,"COM-SIR"
"188","Thunnus_alalunga-21","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"189","Thunnus_alalunga-27","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"190","Thunnus_alalunga-31","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"191","Thunnus_alalunga-34","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"192","Thunnus_alalunga-41","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"193","Thunnus_alalunga-47","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"194","Thunnus_alalunga-51","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"195","Thunnus_alalunga-57","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"196","Thunnus_alalunga-61","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"197","Thunnus_alalunga-67","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"198","Thunnus_alalunga-71","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"199","Thunnus_alalunga-77","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"200","Thunnus_alalunga-81","Albacore",NA,NA,NA,NA,NA,"COM-SIR"
"201","Thunnus_atlanticus-31","Blackfin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"202","Thunnus_obesus-21","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"203","Thunnus_obesus-27","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"204","Thunnus_obesus-31","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"205","Thunnus_obesus-34","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"206","Thunnus_obesus-41","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"207","Thunnus_obesus-47","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"208","Thunnus_obesus-51","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"209","Thunnus_obesus-57","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"210","Thunnus_obesus-61","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"211","Thunnus_obesus-71","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"212","Thunnus_obesus-77","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"213","Thunnus_obesus-81","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"214","Thunnus_obesus-87","Bigeye tuna",NA,NA,NA,NA,NA,"COM-SIR"
"215","Thunnus_thynnus-21","Atlantic bluefin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"216","Thunnus_thynnus-27","Atlantic bluefin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"217","Thunnus_thynnus-31","Atlantic bluefin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"218","Thunnus_thynnus-34","Atlantic bluefin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"219","Thunnus_thynnus-37","Atlantic bluefin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"220","Trachurus_picturatus-27","Blue jack mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"221","Trachurus_picturatus-34","Blue jack mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"222","Trachurus_trachurus-27","Atlantic horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"223","Trachurus_trachurus-34","Atlantic horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"224","Trachurus_trachurus-37","Atlantic horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"225","Umbrina_canosai-41","Argentine croaker",NA,NA,NA,NA,NA,"COM-SIR"
