"","sciname","common","TaxonKey","Resilience","SpecCode"
"73","Abudefduf sordidus","Blackspot sergeant",605689,"Medium",5689
"74","Istiophorus albicans","Atlantic sailfish",600078,"Medium",78
"75","Chrysiptera biocellata","Twinspot damselfish",605693,"High",5693
"76","Chrysiptera glauca","Grey demoiselle",605696,"High",5696
"77","Plectroglyphidodon lacrymatus","Whitespotted devil",605712,"High",5712
"78","Plectroglyphidodon leucozonus","Singlebar devil",605713,"High",5713
"79","Pomacentrus amboinensis","Ambon damsel",605715,"High",5715
"80","Pomacentrus pavo","Sapphire damsel",605726,"High",5726
"81","Pomacentrus vaiuli","Ocellate damselfish",605730,"High",5730
"82","Sphyraena acutipinnis","Sharpfin barracuda",605733,"Medium",5733
"83","Sphyraena forsteri","Bigeye barracuda",605734,"Medium",5734
"84","Platax orbicularis","Orbicular batfish",605737,"Medium",5737
"85","Platax pinnatus","Dusky batfish",605738,"Medium",5738
"86","Platax teira","Longfin batfish",605739,"Medium",5739
"87","Apogonichthys ocellatus","Ocellated cardinalfish",605740,"High",5740
"88","Apogon coccineus","Ruby cardinalfish",605752,"High",5752
"89","Lamna nasus","Porbeagle",600088,"Very low",88
"90","Nectamia bandanensis","Bigeye cardinalfish",605763,"High",5763
"91","Nectamia savayensis","Samoan cardinalfish",605764,"High",5764
"92","Zoramia gilberti","Gilberts cardinalfish",605772,"High",5772
"93","Zoramia perlita","Pearly cardinalfish",605774,"High",5774
"94","Cheilodipterus artus","Wolf cardinalfish",605780,"High",5780
"95","Cheilodipterus macrodon","Largetoothed cardinalfish",605781,"High",5781
"96","Cheilodipterus singapurensis","Truncate cardinalfish",605782,"High",5782
"97","Synodus marchenae","Lizardfish",650023,"High",50023
"98","Thunnus albacares","Yellowfin tuna",600143,"Medium",143
"99","Thunnus atlanticus","Blackfin tuna",600144,"Medium",144
"100","Urotrygon serrula","Stingray",650099,"Low",50099
"101","Peprilus paru","American harvestfish",628143,"High",28143
"102","Liza haematocheila","So-iny mullet",657506,"Medium",13000
"103","Thunnus maccoyii","Southern bluefin tuna",600145,"Low",145
"104","Thunnus obesus","Bigeye tuna",600146,"Low",146
"105","Thaleichthys pacificus","Eulachon",600256,"Medium",256
"106","Glossanodon semifasciatus","Deepsea smelt",600257,"High",257
"107","Lampanyctodes hectoris","Hectors lanternfish",600259,"High",259
"108","Harpadon nehereus","Bombay duck",600260,"High",260
"109","Lutjanus fulviflamma","Dory snapper",600261,"Medium",261
"110","Lutjanus fulvus","Blacktail snapper",600262,"Medium",262
"111","Lutjanus johnii","Johns snapper",600264,"Medium",264
"112","Lutjanus gibbus","Humpback red snapper",600265,"Medium",265
"113","Galeichthys feliceps","White barbel",600288,"Medium",288
"114","Muraenesox cinereus","Daggertooth pike conger",600298,"Low",298
"115","Conger conger","European conger",600301,"Very low",301
"116","Conger myriaster","Whitespotted conger",600302,"Low",302
"117","Cololabis saira","Pacific saury",600303,"High",303
"118","Hyporhamphus sajori","Japanese halfbeak",600305,"Medium",305
"119","Salilota australis","Tadpole codling",600306,"Medium",306
"120","Gadus macrocephalus","Pacific cod",600308,"Low",308
"121","Gadus ogac","Greenland cod",600309,"Medium",309
"122","Urophycis chuss","Red hake",600312,"Medium",312
"123","Urophycis tenuis","White hake",600313,"Low",313
"124","Eleginus nawaga","Navaga",600314,"Medium",314
"125","Eleginus gracilis","Saffron cod",600315,"Medium",315
"126","Microgadus tomcod","Atlantic tomcod",600316,"Medium",316
"127","Theragra chalcogramma","Alaska pollock",600318,"Low",318
"128","Boreogadus saida","Polar cod",600319,"Medium",319
"129","Micromesistius australis","Southern blue whiting",600320,"Medium",320
"130","Merluccius senegalensis","Senegalese hake",600321,"Low",321
"131","Merluccius australis","Southern hake",600322,"Low",322
"132","Merluccius bilinearis","Silver hake",600323,"Medium",323
"133","Merluccius gayi gayi","South Pacific hake",600324,"Medium",324
"134","Merluccius hubbsi","Argentine hake",600325,"Low",325
"135","Merluccius productus","North Pacific hake",600326,"Low",326
"136","Merluccius polli","Benguela hake",600327,"Medium",327
"137","Macruronus magellanicus","Patagonian grenadier",600329,"Low",329
"138","Trachurus japonicus","Japanese jack mackerel",600366,"Medium",366
"139","Macrourus berglax","Roughhead grenadier",600331,"Very low",331
"140","Coryphaenoides rupestris","Roundnose grenadier",600332,"Low",332
"141","Macroramphosus scolopax","Longspine snipefish",600333,"Medium",333
"142","Hoplostethus atlanticus","Orange roughy",600334,"Very low",334
"143","Zenopsis conchifer","Silvery John dory",600336,"Low",336
"144","Joturus pichardi","Bobo mullet",600338,"Medium",338
"145","Menidia menidia","Atlantic silverside",600339,"High",339
"146","Galeoides decadactylus","Lesser African threadfin",600341,"Medium",341
"147","Lates calcarifer","Barramundi",600346,"Medium",346
"148","Epinephelus analogus","Spotted grouper",600348,"Medium",348
"149","Polyprion americanus","Wreckfish",600349,"Low",349
"150","Hoplopagrus guentherii","Mexican barred snapper",601393,"Low",1393
"151","Lutjanus apodus","Schoolmaster snapper",601404,"Medium",1404
"152","Lutjanus bohar","Two-spot red snapper",601417,"Medium",1417
"153","Dussumieria acuta","Rainbow sardine",601453,"High",1453
"154","Dussumieria elopsoides","Slender rainbow sardine",601454,"High",1454
"155","Etrumeus sadina","Red-eye round herring",601455,"Medium",1455
"156","Etrumeus whiteheadi","Whiteheads round herring",601456,"High",1456
"157","Spratelloides gracilis","Silverstriped round herring",601458,"High",1458
"158","Sprattus fuegensis","Falkland sprat",601466,"High",1466
"159","Clupeonella cultriventris","Caspian Sea sprat",601470,"Medium",1470
"160","Opisthonema libertate","Pacific thread herring",601484,"High",1484
"161","Opisthonema oglinum","Atlantic thread herring",601486,"Medium",1486
"162","Herklotsichthys quadrimaculatus","Bluestripe herring",601494,"High",1494
"163","Sardinella brasiliensis","Brazilian sardinella",601505,"High",1505
"164","Sardinella gibbosa","Goldstripe sardinella",601508,"High",1508
"165","Sardinella lemuru","Bali sardinella",601510,"High",1510
"166","Sardinella longiceps","Indian oil sardine",601511,"High",1511
"167","Sardinella zunasi","Japanese sardinella",601519,"High",1519
"168","Clupea pallasii pallasii","Pacific herring",601520,"Medium",1520
"169","Lile stolifera","Pacific piquitinga",601529,"High",1529
"170","Clupea bentincki","Araucanian herring",601530,"High",1530
"171","Alosa aestivalis","Blueback shad",601574,"Medium",1574
"172","Alosa mediocris","Hickory shad",601582,"Medium",1582
"173","Alosa pseudoharengus","Alewife",601583,"Medium",1583
"174","Alosa sapidissima","American shad",601584,"Low",1584
"175","Brevoortia aurea","Brazilian menhaden",601587,"High",1587
"176","Brevoortia patronus","Gulf menhaden",601589,"Medium",1589
"177","Brevoortia pectinata","Argentine menhaden",601590,"High",1590
"178","Gymnura micrura","Smooth butterfly ray",602579,"Very low",2579
"179","Brevoortia tyrannus","Atlantic menhaden",601592,"Medium",1592
"180","Ethmidium maculatum","Pacific menhaden",601593,"High",1593
"181","Ethmalosa fimbriata","Bonga shad",601594,"High",1594
"182","Hilsa kelee","Kelee shad",601595,"High",1595
"183","Tenualosa ilisha","Hilsa shad",601596,"High",1596
"184","Tenualosa toli","Toli shad",601600,"High",1600
"185","Dorosoma cepedianum","American gizzard shad",601604,"Medium",1604
"186","Clupanodon thrissa","Chinese gizzard shad",601608,"High",1608
"187","Konosirus punctatus","Dotted gizzard shad",601609,"High",1609
"188","Anodontostoma chacunda","Chacunda gizzard shad",601619,"High",1619
"189","Ilisha africana","West African ilisha",601625,"High",1625
"190","Ilisha elongata","Elongate ilisha",601627,"High",1627
"191","Pellona ditchela","Indian pellona",601641,"High",1641
"192","Engraulis anchoita","Argentine anchovy",601659,"Medium",1659
"193","Engraulis capensis","Southern African anchovy",601661,"High",64907
"194","Engraulis japonicus","Japanese anchovy",601663,"High",1663
"195","Engraulis mordax","Californian anchovy",601664,"Medium",1664
"196","Anthias anthias","Swallowtail seaperch",601692,"Medium",1692
"197","Atherina boyeri","Bigscale sand smelt",601696,"Medium",1696
"198","Mora moro","Common mora",601734,"Low",1734
"199","Liza aurata","Golden grey mullet",601735,"Medium",1735
"200","Liza saliens","Leaping mullet",601736,"Medium",1736
"201","Phycis phycis","Forkbeard",601747,"Medium",1747
"202","Diplodus puntazzo","Sharpsnout seabream",601749,"Medium",1749
"203","Diplodus annularis","Annular seabream",601752,"Medium",1752
"204","Diplodus sargus sargus","White seabream",601753,"Medium",1753
"205","Diplodus vulgaris","Common twobanded seabream",601754,"Medium",1754
"206","Pagrus pagrus","Red porgy",601756,"Medium",1756
"207","Scorpaena scrofa","Red scorpionfish",601759,"Low",1759
"208","Trachinotus ovatus","Pompano",601773,"Medium",1773
"209","Trachipterus trachypterus","Mediterranean dealfish",601777,"Low",1777
"210","Tetrapturus belone","Mediterranean spearfish",601823,"Low",1823
"211","Macruronus novaezelandiae","Blue grenadier",601825,"Low",1825
"212","Merluccius angustimanus","Panama hake",601827,"Medium",1827
"213","Merluccius capensis","Shallow-water Cape hake",601828,"Low",1828
"214","Gnathodentex aureolineatus","Striped large-eye bream",601832,"Medium",1832
"215","Lethrinus rubrioperculatus","Spotcheek emperor",601848,"Medium",1848
"216","Lethrinus amboinensis","Ambon emperor",601853,"Medium",1853
"217","Lethrinus miniatus","Trumpet emperor",601858,"Medium",1858
"218","Lethrinus lentjan","Pink ear emperor",601863,"Medium",1863
"219","Lethrinus olivaceus","Longface emperor",601864,"Low",1864
"220","Enchelyopus cimbrius","Fourbeard rockling",601874,"Medium",1874
"221","Microgadus proximus","Pacific tomcod",601879,"Medium",1879
"222","Alectis alexandrina","Alexandria pompano",601888,"Medium",1888
"223","Caranx rhonchus","False scad",601899,"Medium",1899
"224","Caranx melampygus","Bluefin trevally",601906,"Medium",1906
"225","Scarus oviceps","Darkcapped parrotfish",605551,"High",5551
"226","Caranx ruber","Bar jack",601918,"Medium",1918
"227","Ulua aurochs","Silvermouth trevally",601931,"Medium",1931
"228","Caranx crysos","Blue runner",601933,"Medium",1933
"229","Decapterus maruadsi","Japanese scad",601939,"High",1939
"230","Parastromateus niger","Black pomfret",601947,"High",1947
"231","Scomberoides commersonnianus","Talang queenfish",601950,"Medium",1950
"232","Trachinotus blochii","Snubnose pompano",601963,"Medium",1963
"233","Trachinotus mookalee","Indian pompano",601964,"Medium",1964
"234","Trachurus longimanus","Crozet scad",601980,"High",1980
"235","Antimora rostrata","Blue antimora",602005,"Medium",2005
"236","Drepane punctata","Spotted sicklefish",600454,"Medium",454
"237","Lycengraulis grossidens","Atlantic sabretooth anchovy",600552,"Medium",552
"238","Squatina californica","Pacific angelshark",600729,"Very low",729
"239","Anchoa marinii","Marini's anchovy",600925,"High",925
"240","Amphichthys cryptocentrus","Bocon toadfish",600967,"Medium",967
"241","Merluccius albidus","Offshore silver hake",601080,"Medium",1080
"242","Haemulon album","White margate",601126,"Medium",1126
"243","Anchoa spinifer","Spicule anchovy",600538,"High",538
"244","Notarius grandicassis","Thomas sea catfish",600949,"Low",949
"245","Sciades parkeri","Gillbacker sea catfish",600952,"High",952
"246","Pomadasys corvinaeformis","Roughneck grunt",601146,"Medium",1146
"247","Sebastolobus macrochir","Broadbanded thornyhead",611704,"Very low",11704
"248","Cleisthenes pinetorum","Sôhachi",652511,"Low",52511
"249","Hippoglossoides dubius","Flathead flounder",608845,"Low",8845
"250","Chiloscyllium griseum","Grey bambooshark",604304,"Low",4304
"251","Amphiarius phrygiatus","Kukwari sea catfish",600954,"Medium",954
"252","Hypoatherina temminckii","Samoan silverside",601307,"High",1307
"253","Caranx latus","Horseeye jack",601935,"Medium",1935
"254","Haemulon plumierii","White grunt",601140,"Medium",1140
"255","Pseudupeneus maculatus","Spotted goatfish",601094,"High",1094
"256","Anchoa nasus","Longnose anchovy",601163,"High",1163
"257","Dasyatis americana","Southern stingray",601247,"Very low",1247
"258","Lutjanus cyanopterus","Cubera snapper",601427,"Low",1427
"259","Harengula thrissina","Pacific flatiron herring",601481,"High",1481
"260","Stegastes punctatus","Blunt snout gregory",658951,"High",4351
"261","Lagocephalus sceleratus","Silvercheeked toadfish",604761,"Low",4761
"262","Serranus scriba","Painted comber",601761,"Medium",1761
"263","Selene brevoortii","Hairfin lookdown",601956,"High",1956
"264","Brotula clarkae","Pacific bearded brotula",608275,"Low",8275
"265","Parapsettus panamensis","Panama spadefish",608326,"High",8326
"266","Epinephelus guttatus","Red hind",600015,"Medium",15
"267","Epinephelus morio","Red grouper",600017,"Low",17
"268","Epinephelus striatus","Nassau grouper",600018,"Low",18
"269","Anguilla anguilla","European eel",600035,"Very low",35
"270","Aphia minuta","Transparent goby",600039,"High",39
"271","Arnoglossus laterna","Mediterranean scaldfish",600041,"Medium",41
"272","Caesio lunaris","Lunar fusilier",600920,"High",920
"273","Caesio teres","Yellow and blueback fusilier",600923,"High",923
"274","Chelidonichthys cuculus","Red gurnard",600044,"Medium",44
"275","Pterocaesio pisang","Banana fusilier",600936,"High",936
"276","Atrobucca nibe","Blackmouth croaker",600941,"Medium",941
"277","Melichthys niger","Black triggerfish",600966,"Medium",966
"278","Ablennes hians","Flat needlefish",600972,"Medium",972
"279","Tylosurus crocodilus","Hound needlefish",600977,"Low",977
"280","Caulolatilus chrysops","Atlantic goldeye tilefish",600983,"Medium",983
"281","Alectis ciliaris","African pompano",600988,"Low",988
"282","Sphoeroides maculatus","Northern puffer",601181,"High",1181
"283","Sciaenops ocellatus","Red drum",601191,"Medium",1191
"284","Chanos chanos","Milkfish",600080,"Low",80
"285","Aphareus furca","Small toothed jobfish",600081,"Medium",81
"286","Aprion virescens","Green jobfish",600084,"Medium",84
"287","Apsilus fuscus","African forktail snapper",600086,"Medium",86
"288","Etelis carbunculus","Deepwater red snapper",600087,"Very low",87
"289","Allothunnus fallai","Slender tuna",600091,"Medium",91
"290","Grammatorcynus bilineatus","Doublelined mackerel",600104,"Medium",104
"291","Hyporthodus flavolimbatus","Yellowedge grouper",601205,"Low",1205
"292","Hyporthodus nigritus","Warsaw grouper",601207,"Low",1207
"293","Hyporthodus niveatus","Snowy grouper",601208,"Low",1208
"294","Mycteroperca bonaci","Black grouper",601209,"Low",1209
"295","Mycteroperca interstitialis","Yellowmouth grouper",601211,"Low",1211
"296","Mycteroperca microlepis","Gag",601212,"Low",1212
"297","Mycteroperca rubra","Mottled grouper",601214,"Medium",1214
"298","Paranthias furcifer","Creolefish",601217,"Medium",1217
"299","Archosargus rhomboidalis","Western Atlantic seabream",601219,"High",1219
"300","Calamus bajonado","Jolthead porgy",601221,"Medium",1221
"301","Sphyraena barracuda","Great barracuda",601235,"Low",1235
"302","Spratelloides delicatulus","Delicate round herring",601457,"High",1457
"303","Clupeonella engrauliformis","Anchovy sprat",601471,"High",1471
"304","Harengula clupeola","False herring",601478,"High",1478
"305","Harengula humeralis","Redear herring",601479,"High",1479
"306","Sargocentron diadema","Crown squirrelfish",604699,"High",4699
"307","Amblygaster sirm","Spotted sardinella",601501,"High",1501
"308","Sardinella fimbriata","Fringescale sardinella",601507,"High",1507
"309","Plotosus lineatus","Striped eel catfish",604706,"Medium",4706
"310","Pomadasys jubelini","Sompat grunt",604708,"Medium",4708
"311","Callorhinchus milii","Ghost shark",604722,"Low",4722
"312","Acanthurus nubilus","Bluelined surgeon",604733,"High",4733
"313","Acanthurus guttatus","Whitespotted surgeonfish",604736,"High",4736
"314","Acanthurus nigrofuscus","Brown surgeonfish",604739,"Medium",4739
"315","Acanthurus pyroferus","Chocolate surgeonfish",604742,"Medium",4742
"316","Acanthurus blochii","Ringtail surgeonfish",604750,"Low",4750
"317","Leuciscus aspius","Asp",604783,"Medium",4783
"318","Plectropomus leopardus","Leopard coralgrouper",604826,"Medium",4826
"319","Pollachius pollachius","Pollack",600034,"Medium",34
"320","Atherina presbyter","Sand smelt",600045,"High",45
"321","Nematalosa nasus","Blochs gizzard shad",601616,"High",1616
"322","Anchoa choerostoma","Bermuda anchovy",601684,"High",1684
"323","Sphyraena jello","Pickhandle barracuda",604827,"Low",4827
"324","Spicara maena","Blotched picarel",604887,"Medium",4887
"325","Anampses caeruleopunctatus","Bluespotted wrasse",604888,"Medium",4888
"326","Sargocentron punctatissimum","Speckled squirrelfish",604906,"High",4906
"327","Sargocentron caudimaculatum","Silverspot squirrelfish",604907,"High",4907
"328","Sargocentron violaceum","Violet squirrelfish",604909,"High",4909
"329","Pterois radiata","Radial firefish",604913,"Medium",4913
"330","Belone belone","Garfish",600047,"Medium",47
"331","Brosme brosme","Tusk",600051,"Low",51
"332","Chromis chromis","Damselfish",601706,"Medium",1706
"333","Sciaena umbra","Brown meagre",601707,"Medium",1707
"334","Lepidotrigla cavillone","Largescaled gurnard",601722,"Medium",1722
"335","Muraena helena","Mediterranean moray",601729,"Very low",1729
"336","Mola mola","Ocean sunfish",601732,"Medium",1732
"337","Gymnothorax javanicus","Giant moray",606380,"High",6380
"338","Spicara smaris","Picarel",601766,"Medium",1766
"339","Uranoscopus scaber","Stargazer",601779,"Medium",1779
"340","Acanthurus monroviae","Monrovia doctorfish",601800,"Medium",1800
"341","Priacanthus hamrur","Moontail bullseye",605791,"High",5791
"342","Malacanthus brevirostris","Quakerfish",605795,"Medium",5795
"343","Malacanthus latovittatus","Blue blanquillo",605796,"Medium",5796
"344","Gazza achlamys","Smalltoothed ponyfish",605797,"High",5797
"345","Equulites stercorarius","Oblong slipmouth",605798,"High",5798
"346","Gerres oblongus","Slender silverbiddy",605801,"High",5801
"347","Pempheris oualensis","Silver sweeper",605802,"High",5802
"348","Parapriacanthus ransonneti","Pigmy sweeper",605803,"High",5803
"349","Kyphosus bigibbus","Brown chub",605804,"Low",5804
"350","Kyphosus cinerascens","Blue seachub",605805,"Medium",5805
"351","Kyphosus vaigiensis","Brassy chub",605806,"Low",5806
"352","Sebastapistes strongia","Barchin scorpionfish",605814,"High",5814
"353","Scorpaenodes guamensis","Guam scorpionfish",605819,"Medium",5819
"354","Scorpaenopsis macrochir","Flasher scorpionfish",605820,"Medium",5820
"355","Scorpaenopsis oxycephala","Tassled scorpionfish",605822,"Low",5822
"356","Neocirrhites armatus","Flame hawkfish",605832,"High",5832
"357","Cantherhines dumerilii","Whitespotted filefish",605836,"Medium",5836
"358","Kuhlia mugil","Barred flagtail",605790,"Low",5790
"359","Melichthys vidua","Pinktail triggerfish",605838,"Medium",5838
"360","Sargocentron microstoma","Smallmouth squirrelfish",605841,"High",5841
"361","Nemipterus randalli","Randalls threadfin bream",605852,"High",5852
"362","Pentapodus trivittatus","Three-striped whiptail",605873,"High",5873
"363","Scolopsis lineata","Striped monocle bream",605877,"High",5877
"364","Scolopsis bilineata","Two-lined monocle bream",605885,"High",5885
"365","Scolopsis taeniata","Blackstreaked monocle bream",605889,"High",5889
"366","Nebrius ferrugineus","Tawny nurse shark",605895,"Very low",5895
"367","Acanthocybium solandri","Wahoo",600089,"Medium",89
"368","Cetorhinus maximus","Basking shark",600090,"Very low",90
"369","Auxis rochei","Bullet tuna",600093,"Medium",93
"370","Auxis thazard","Frigate tuna",600094,"Medium",94
"371","Mustelus lenticulatus","Spotted estuary smooth-hound",605933,"Very low",5933
"372","Corythoichthys intestinalis","Scribbled pipefish",605961,"High",5961
"373","Mulloidichthys vanicolensis","Yellowfin goatfish",605984,"Medium",5984
"374","Mulloidichthys pfluegeri","Orange goatfish",605985,"Medium",5985
"375","Parupeneus barberinoides","Bicolor goatfish",605986,"High",5986
"376","Parupeneus barberinus","Dash-and-dot goatfish",605987,"Medium",5987
"377","Parupeneus trifasciatus","Doublebar goatfish",605988,"Medium",5988
"378","Parupeneus ciliatus","Whitesaddle goatfish",605989,"Medium",5989
"379","Aphareus rutilans","Rusty jobfish",600083,"Medium",83
"380","Rhinobatos percellens","Chola guitarfish",600140,"Low",140
"381","Callorhinchus capensis","Cape elephantfish",600167,"Low",167
"382","Pristipomoides multidens","Goldbanded jobfish",600208,"Medium",208
"383","Hypophthalmichthys molitrix","Silver carp",600274,"Medium",274
"384","Pentanemus quinquarius","Royal threadfin",600342,"High",342
"385","Priacanthus macracanthus","Red bigeye",600356,"Medium",356
"386","Selene dorsalis","African moonfish",600379,"High",379
"387","Conodon nobilis","Barred grunt",600401,"Medium",401
"388","Dentex angolensis","Angola dentex",600440,"Medium",440
"389","Archosargus probatocephalus","Sheepshead",600441,"Medium",441
"390","Tautoga onitis","Tautog",600458,"Low",458
"391","Scymnodon ringens","Knifetooth dogfish",600700,"Low",700
"392","Squalus blainville","Longnose spurdog",600708,"Very low",708
"393","Scyliorhinus canicula","Smallspotted catshark",600845,"Low",845
"394","Pterocaesio marri","Marr's fusilier",600935,"High",935
"395","Pterocaesio tile","Darkbanded fusilier",600939,"High",939
"396","Dasyatis akajei","Whip stingray",600940,"Low",940
"397","Sciades couma","Couma sea catfish",600948,"Medium",948
"398","Platycephalus indicus","Bartail flathead",600950,"Medium",950
"399","Acanthistius brasilianus","Argentine seabass",600351,"Medium",351
"400","Morone saxatilis","Striped bass",600353,"Low",353
"401","Morone americana","White perch",600355,"Low",355
"402","Synagrops japonicus","Blackmouth splitfin",600357,"Medium",357
"403","Sander lucioperca","Pike-perch",600360,"Low",360
"404","Lactarius lactarius","False trevally",600363,"High",363
"405","Pomatomus saltatrix","Bluefish",600364,"Medium",364
"406","Trachurus murphyi","Chilean jack mackerel",600367,"Low",367
"407","Trachurus symmetricus","Pacific jack mackerel",600368,"Low",368
"408","Trachurus lathami","Rough scad",600369,"Medium",369
"409","Trachurus trecae","Cunene horse mackerel",600371,"Medium",371
"410","Trachurus declivis","Greenback horse mackerel",600372,"Medium",372
"411","Decapterus russelli","Indian scad",600374,"Medium",374
"412","Selene setapinnis","Atlantic moonfish",600378,"Medium",378
"413","Thyrsites atun","Snoek",600489,"Medium",489
"414","Trachinotus carolinus","Florida pompano",600380,"Medium",380
"415","Seriola quinqueradiata","Japanese amberjack",600381,"Medium",381
"416","Seriola lalandi","Yellowtail amberjack",600382,"Low",382
"417","Megalaspis cordyla","Torpedo scad",600384,"Medium",384
"418","Chloroscombrus chrysurus","Atlantic bumper",600385,"Medium",385
"419","Selar crumenophthalmus","Bigeye scad",600387,"High",387
"420","Selaroides leptolepis","Yellowstripe scad",600388,"High",388
"421","Brama brama","Atlantic pomfret",600391,"Low",391
"422","Arripis georgianus","Ruff",600392,"Medium",392
"423","Dicentrarchus punctatus","Spotted seabass",600394,"Medium",394
"424","Isacia conceptionis","Cabinza grunt",600397,"Medium",397
"425","Plectorhinchus mediterraneus","Rubberlip grunt",600398,"Medium",398
"426","Brachydeuterus auritus","Bigeye grunt",600400,"Medium",400
"427","Cynoscion striatus","Striped weakfish",600407,"High",407
"428","Micropogonias undulatus","Atlantic croaker",600408,"Medium",408
"429","Menticirrhus americanus","Southern kingcroaker",600409,"Medium",409
"430","Menticirrhus saxatilis","Northern kingcroaker",600410,"High",410
"431","Elagatis bipinnulata","Rainbow runner",600412,"Medium",412
"432","Larimichthys polyactis","Yellow croaker",600416,"Medium",416
"433","Macrodon ancylodon","King weakfish",600417,"Medium",417
"434","Argyrosomus regius","Meagre",600418,"Low",418
"435","Argyrosomus hololepidotus","Southern meagre",600419,"Very low",419
