"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","model"
"89","Istiophorus_platypterus-57","Indo-Pacific sailfish",NA,NA,NA,NA,NA,"COM-SIR"
"90","Laemonema_longipes-61","Longfin codling",NA,NA,NA,NA,NA,"COM-SIR"
"91","Lampanyctodes_hectoris-47","Hectors lanternfish",NA,NA,NA,NA,NA,"COM-SIR"
"92","Larimichthys_crocea-61","Large yellow croaker",NA,NA,NA,NA,NA,"COM-SIR"
"93","Larimichthys_crocea-71","Large yellow croaker",NA,NA,NA,NA,NA,"COM-SIR"
"94","Lateolabrax_japonicus-61","Japanese seaperch",NA,NA,NA,NA,NA,"COM-SIR"
"95","Lepidorhombus_whiffiagonis-27","Megrim",NA,NA,NA,NA,NA,"COM-SIR"
"96","Lethrinus_olivaceus-51","Longface emperor",NA,NA,NA,NA,NA,"COM-SIR"
"97","Leucoraja_erinacea-21","Little skate",NA,NA,NA,NA,NA,"COM-SIR"
"98","Leucoraja_erinacea-31","Little skate",NA,NA,NA,NA,NA,"COM-SIR"
"99","Lichia_amia-34","Leerfish",NA,NA,NA,NA,NA,"COM-SIR"
"100","Lichia_amia-37","Leerfish",NA,NA,NA,NA,NA,"COM-SIR"
"101","Lutjanus_analis-31","Mutton snapper",NA,NA,NA,NA,NA,"COM-SIR"
"102","Lutjanus_analis-41","Mutton snapper",NA,NA,NA,NA,NA,"COM-SIR"
"103","Lutjanus_argentimaculatus-51","Mangrove red snapper",NA,NA,NA,NA,NA,"COM-SIR"
"104","Lutjanus_campechanus-31","Northern red snapper",NA,NA,NA,NA,NA,"COM-SIR"
"105","Lutjanus_griseus-31","Grey snapper",NA,NA,NA,NA,NA,"COM-SIR"
"106","Lutjanus_johnii-51","Johns snapper",NA,NA,NA,NA,NA,"COM-SIR"
"107","Lutjanus_johnii-57","Johns snapper",NA,NA,NA,NA,NA,"COM-SIR"
"108","Lutjanus_johnii-71","Johns snapper",NA,NA,NA,NA,NA,"COM-SIR"
"109","Lutjanus_malabaricus-51","Malabar blood snapper",NA,NA,NA,NA,NA,"COM-SIR"
"110","Lutjanus_malabaricus-57","Malabar blood snapper",NA,NA,NA,NA,NA,"COM-SIR"
"111","Lutjanus_malabaricus-71","Malabar blood snapper",NA,NA,NA,NA,NA,"COM-SIR"
"112","Lutjanus_synagris-31","Lane snapper",NA,NA,NA,NA,NA,"COM-SIR"
"113","Macrodon_ancylodon-31","King weakfish",NA,NA,NA,NA,NA,"COM-SIR"
"114","Macrodon_ancylodon-41","King weakfish",NA,NA,NA,NA,NA,"COM-SIR"
"115","Macroramphosus_scolopax-27","Longspine snipefish",NA,NA,NA,NA,NA,"COM-SIR"
"116","Macroramphosus_scolopax-34","Longspine snipefish",NA,NA,NA,NA,NA,"COM-SIR"
"117","Macruronus_magellanicus-41","Patagonian grenadier",NA,NA,NA,NA,NA,"COM-SIR"
"118","Macruronus_magellanicus-87","Patagonian grenadier",NA,NA,NA,NA,NA,"COM-SIR"
"119","Makaira_mazara-51","Indo-Pacific blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"120","Makaira_mazara-57","Indo-Pacific blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"121","Makaira_mazara-61","Indo-Pacific blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"122","Makaira_mazara-71","Indo-Pacific blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"123","Makaira_mazara-77","Indo-Pacific blue marlin",NA,NA,NA,NA,NA,"COM-SIR"
"124","Megalops_cyprinoides-51","Indo-Pacific tarpon",NA,NA,NA,NA,NA,"COM-SIR"
"125","Megalops_cyprinoides-57","Indo-Pacific tarpon",NA,NA,NA,NA,NA,"COM-SIR"
"126","Megalops_cyprinoides-71","Indo-Pacific tarpon",NA,NA,NA,NA,NA,"COM-SIR"
"127","Melanogrammus_aeglefinus-21","Haddock",NA,NA,NA,NA,NA,"COM-SIR"
"128","Melanogrammus_aeglefinus-27","Haddock",NA,NA,NA,NA,NA,"COM-SIR"
"129","Melanogrammus_aeglefinus-31","Haddock",NA,NA,NA,NA,NA,"COM-SIR"
"130","Mene_maculata-61","Moonfish",NA,NA,NA,NA,NA,"COM-SIR"
"131","Mene_maculata-71","Moonfish",NA,NA,NA,NA,NA,"COM-SIR"
"132","Merluccius_productus-67","North Pacific hake",NA,NA,NA,NA,NA,"COM-SIR"
"133","Merluccius_productus-77","North Pacific hake",NA,NA,NA,NA,NA,"COM-SIR"
"134","Microstomus_kitt-27","Lemon sole",NA,NA,NA,NA,NA,"COM-SIR"
"135","Miichthys_miiuy-61","Mi-iuy croaker",NA,NA,NA,NA,NA,"COM-SIR"
"136","Miichthys_miiuy-71","Mi-iuy croaker",NA,NA,NA,NA,NA,"COM-SIR"
"137","Mola_mola-37","Ocean sunfish",NA,NA,NA,NA,NA,"COM-SIR"
"138","Molva_molva-27","Ling",NA,NA,NA,NA,NA,"COM-SIR"
"139","Mugil_liza-31","Lebranche mullet",NA,NA,NA,NA,NA,"COM-SIR"
"140","Mugil_liza-41","Lebranche mullet",NA,NA,NA,NA,NA,"COM-SIR"
"141","Mustelus_schmitti-41","Narrownose smoothhound",NA,NA,NA,NA,NA,"COM-SIR"
"142","Nemipterus_japonicus-51","Japanese threadfin bream",NA,NA,NA,NA,NA,"COM-SIR"
"143","Nemipterus_japonicus-57","Japanese threadfin bream",NA,NA,NA,NA,NA,"COM-SIR"
"144","Nemipterus_japonicus-71","Japanese threadfin bream",NA,NA,NA,NA,NA,"COM-SIR"
"145","Nibea_mitsukurii-61","Honnibe croaker",NA,NA,NA,NA,NA,"COM-SIR"
"146","Nibea_mitsukurii-71","Honnibe croaker",NA,NA,NA,NA,NA,"COM-SIR"
"147","Normanichthys_crockeri-87","Mote sculpin",NA,NA,NA,NA,NA,"COM-SIR"
"148","Notothenia_rossii-48","Marbled rockcod",NA,NA,NA,NA,NA,"COM-SIR"
"149","Ophiodon_elongatus-67","Lingcod",NA,NA,NA,NA,NA,"COM-SIR"
"150","Ophiodon_elongatus-77","Lingcod",NA,NA,NA,NA,NA,"COM-SIR"
"151","Opisthonema_libertate-77","Pacific thread herring",NA,NA,NA,NA,NA,"COM-SIR"
"152","Opisthonema_libertate-87","Pacific thread herring",NA,NA,NA,NA,NA,"COM-SIR"
"153","Paralabrax_humeralis-87","Peruvian rock seabass",NA,NA,NA,NA,NA,"COM-SIR"
"154","Paralichthys_microps-87","Paralichthys microps",NA,NA,NA,NA,NA,"COM-SIR"
"155","Paralonchurus_peruanus-87","Peruvian banded croaker",NA,NA,NA,NA,NA,"COM-SIR"
"156","Parapercis_colias-81","New Zealand blue cod",NA,NA,NA,NA,NA,"COM-SIR"
"157","Patagonotothen_brevicauda_brevicauda-48","Patagonian rockcod",NA,NA,NA,NA,NA,"COM-SIR"
"158","Pleurogrammus_azonus-61","Okhostk atka mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"159","Polyprion_oxygeneios-81","Hapuka",NA,NA,NA,NA,NA,"COM-SIR"
"160","Pomadasys_kaakan-51","Javelin grunter",NA,NA,NA,NA,NA,"COM-SIR"
"161","Prionotus_stephanophrys-77","Lumptail searobin",NA,NA,NA,NA,NA,"COM-SIR"
"162","Prionotus_stephanophrys-87","Lumptail searobin",NA,NA,NA,NA,NA,"COM-SIR"
"163","Psenopsis_anomala-61","Pacific rudderfish",NA,NA,NA,NA,NA,"COM-SIR"
"164","Psenopsis_anomala-71","Pacific rudderfish",NA,NA,NA,NA,NA,"COM-SIR"
"165","Psettodes_erumei-51","Indian halibut",NA,NA,NA,NA,NA,"COM-SIR"
"166","Psettodes_erumei-57","Indian halibut",NA,NA,NA,NA,NA,"COM-SIR"
"167","Psettodes_erumei-61","Indian halibut",NA,NA,NA,NA,NA,"COM-SIR"
"168","Psettodes_erumei-71","Indian halibut",NA,NA,NA,NA,NA,"COM-SIR"
"169","Pseudotolithus_senegallus-34","Law croaker",NA,NA,NA,NA,NA,"COM-SIR"
"170","Pterogymnus_laniarius-47","Panga seabream",NA,NA,NA,NA,NA,"COM-SIR"
"171","Rastrelliger_kanagurta-51","Indian mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"172","Rastrelliger_kanagurta-57","Indian mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"173","Rastrelliger_kanagurta-61","Indian mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"174","Rastrelliger_kanagurta-71","Indian mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"175","Reinhardtius_hippoglossoides-18","Greenland halibut",NA,NA,NA,NA,NA,"COM-SIR"
"176","Reinhardtius_hippoglossoides-21","Greenland halibut",NA,NA,NA,NA,NA,"COM-SIR"
"177","Reinhardtius_hippoglossoides-27","Greenland halibut",NA,NA,NA,NA,NA,"COM-SIR"
"178","Reinhardtius_hippoglossoides-61","Greenland halibut",NA,NA,NA,NA,NA,"COM-SIR"
"179","Reinhardtius_hippoglossoides-67","Greenland halibut",NA,NA,NA,NA,NA,"COM-SIR"
"180","Ruvettus_pretiosus-61","Oilfish",NA,NA,NA,NA,NA,"COM-SIR"
"181","Ruvettus_pretiosus-71","Oilfish",NA,NA,NA,NA,NA,"COM-SIR"
"182","Sardinella_longiceps-51","Indian oil sardine",NA,NA,NA,NA,NA,"COM-SIR"
"183","Sardinella_longiceps-57","Indian oil sardine",NA,NA,NA,NA,NA,"COM-SIR"
"184","Sardinella_maderensis-34","Madeiran sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"185","Sardinella_maderensis-47","Madeiran sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"186","Sardinella_zunasi-61","Japanese sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"187","Sardinella_zunasi-71","Japanese sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"188","Sardinops_sagax-47","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"189","Sardinops_sagax-51","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"190","Sardinops_sagax-57","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"191","Sardinops_sagax-61","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"192","Sardinops_sagax-67","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"193","Sardinops_sagax-71","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"194","Sardinops_sagax-77","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"195","Sardinops_sagax-87","Pacific sardine",NA,NA,NA,NA,NA,"COM-SIR"
"196","Saurida_tumbil-57","Greater lizardfish",NA,NA,NA,NA,NA,"COM-SIR"
"197","Saurida_tumbil-61","Greater lizardfish",NA,NA,NA,NA,NA,"COM-SIR"
"198","Saurida_tumbil-71","Greater lizardfish",NA,NA,NA,NA,NA,"COM-SIR"
"199","Scomberomorus_cavalla-21","King mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"200","Scomberomorus_cavalla-31","King mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"201","Scomberomorus_cavalla-41","King mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"202","Scomberomorus_commerson-51","Narrowbarred Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"203","Scomberomorus_commerson-57","Narrowbarred Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"204","Scomberomorus_commerson-61","Narrowbarred Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"205","Scomberomorus_commerson-71","Narrowbarred Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"206","Scomberomorus_guttatus-51","Indo-Pacific king mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"207","Scomberomorus_guttatus-57","Indo-Pacific king mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"208","Scomberomorus_guttatus-61","Indo-Pacific king mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"209","Scomberomorus_guttatus-71","Indo-Pacific king mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"210","Scomberomorus_niphonius-61","Japanese Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"211","Scomberomorus_niphonius-71","Japanese Spanish mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"212","Scomberomorus_sierra-77","Pacific sierra",NA,NA,NA,NA,NA,"COM-SIR"
"213","Scomberomorus_sierra-87","Pacific sierra",NA,NA,NA,NA,NA,"COM-SIR"
"214","Sebastes_alutus-61","Pacific ocean perch",NA,NA,NA,NA,NA,"COM-SIR"
"215","Sebastes_alutus-67","Pacific ocean perch",NA,NA,NA,NA,NA,"COM-SIR"
"216","Sebastes_alutus-77","Pacific ocean perch",NA,NA,NA,NA,NA,"COM-SIR"
"217","Sparisoma_cretense-34","Old parrotfish",NA,NA,NA,NA,NA,"COM-SIR"
"218","Syacium_ovale-77","Oval flounder",NA,NA,NA,NA,NA,"COM-SIR"
"219","Tenualosa_ilisha-51","Hilsa shad",NA,NA,NA,NA,NA,"COM-SIR"
"220","Tenualosa_ilisha-57","Hilsa shad",NA,NA,NA,NA,NA,"COM-SIR"
"221","Terapon_jarbua-51","Jarbua terapon",NA,NA,NA,NA,NA,"COM-SIR"
"222","Terapon_jarbua-57","Jarbua terapon",NA,NA,NA,NA,NA,"COM-SIR"
"223","Thunnus_orientalis-61","Pacific bluefin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"224","Thunnus_orientalis-77","Pacific bluefin tuna",NA,NA,NA,NA,NA,"COM-SIR"
"225","Thunnus_tonggol-51","Longtail tuna",NA,NA,NA,NA,NA,"COM-SIR"
"226","Thunnus_tonggol-57","Longtail tuna",NA,NA,NA,NA,NA,"COM-SIR"
"227","Thunnus_tonggol-71","Longtail tuna",NA,NA,NA,NA,NA,"COM-SIR"
"228","Trachinus_draco-27","Greater weever",NA,NA,NA,NA,NA,"COM-SIR"
"229","Trachurus_declivis-57","Greenback horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"230","Trachurus_declivis-71","Greenback horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"231","Trachurus_declivis-81","Greenback horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"232","Trachurus_japonicus-61","Japanese jack mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"233","Trachurus_japonicus-71","Japanese jack mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"234","Trachurus_mediterraneus-37","Mediterranean horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"235","Trachurus_symmetricus-67","Pacific jack mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"236","Trachurus_symmetricus-77","Pacific jack mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"237","Trichiurus_lepturus-31","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"238","Trichiurus_lepturus-34","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"239","Trichiurus_lepturus-37","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"240","Trichiurus_lepturus-41","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"241","Trichiurus_lepturus-47","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"242","Trichiurus_lepturus-51","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"243","Trichiurus_lepturus-57","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"244","Trichiurus_lepturus-61","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"245","Trichiurus_lepturus-71","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"246","Trichiurus_lepturus-87","Largehead hairtail",NA,NA,NA,NA,NA,"COM-SIR"
"247","Trisopterus_esmarkii-27","Norway pout",NA,NA,NA,NA,NA,"COM-SIR"
"248","Tylosurus_crocodilus-71","Hound needlefish",NA,NA,NA,NA,NA,"COM-SIR"
"249","Zeus_faber-27","John dory",NA,NA,NA,NA,NA,"COM-SIR"
"250","Zeus_faber-34","John dory",NA,NA,NA,NA,NA,"COM-SIR"
"251","Zeus_faber-37","John dory",NA,NA,NA,NA,NA,"COM-SIR"
"252","Zeus_faber-47","John dory",NA,NA,NA,NA,NA,"COM-SIR"
"253","Zeus_faber-81","John dory",NA,NA,NA,NA,NA,"COM-SIR"
"254","Zoarces_americanus-21","Ocean pout",NA,NA,NA,NA,NA,"COM-SIR"
"255","Zoarces_americanus-31","Ocean pout",NA,NA,NA,NA,NA,"COM-SIR"
